,url,Date,Title,Thank,Reply,author,title,context
0,/pennsylvania/abington/pa-working-cvs-expand-covid-testing-nursing-homes,2020-06-26T18:01:56Z,"PA, CVS Testing For Coronavirus In Nursing Homes",0,0,Justin Heinze,Patch Staff,"PENNSYLVANIA — The Pennsylvania Department of Health has announced a new partnership with CVS to help expand coronavirus testing capabilities in nursing homes statewide.
The move comes as the state works to reach compliance with the mandate to execute universal testing in all long term care facilities in Pennsylvania.
""This partnership strengthens and increases access to ensure universal testing is completed in nursing homes, as required in the order issued earlier this month,"" Secretary of Health Dr. Rachel Levine said in a statement. ""It will provide us the opportunity to better address outbreaks and work to prevent future outbreaks in nursing home facilities.""
CVS will administer up to 50,000 tests for nursing residents and staff members. The tests are free and will begin next Monday, June 29.
Facilities will be tested based on a three-tiered priority list that considers homes with new outbreaks, ongoing outbreaks, resolved outbreaks, and no outbreaks, in that order.
Nursing homes have been especially hard hit by the virus, particularly in Pennsylvania, where many counties have seen more than 80 percent of their deaths due to coronavirus in long term care facilities.
A total of 678 facilities in Pennsylvania have confirmed a positive case of the virus, with 3,162 employees and 17,527 residents becoming infected. This has resulted in 4,518 deaths in the state's long term care facilities, as of Friday afternoon.
CVS also offers testing to the general public at certain locations statewide, along with Patient First, Rite Aid, Walmart, and numerous government community testing sites.
The state has a map of all testing sites in Pennsylvania on their website."
1,/pennsylvania/abington/abington-patient-first-now-offering-antibody-testing,2020-06-23T15:09:18Z,Abington Patient First Antibody Testing,1,0,Justin Heinze,Patch Staff,"ABINGTON, PA — Coronavirus antibody testing is now available at all Patient First medical care centers around the region, including at the Abington Urgent Care.
The tests are available on a walk-up basis, from 8 a.m. to 10 p.m. daily. No appointments are needed.
The antibody test is used to determine if someone previously had COVID-19 and not to diagnose an active infection. Antibodies may give full or partial immunity to the coronavirus but it's unknown whether they actually give immunity.
Patients are eligible to receive the test at Patient First if they believe they may have had coronavirus already or if they're experiencing symptoms. Anyone age 5 and older may receive the tests.
Patient First recommends waiting at least 14 days after symptoms begin to be tested, as it can take up to two weeks for antibodies to truly develop.
Results will be back to two to five days. Patients can agree to receive results either via text message or phone call.
For most patients, there is no out-of-pocket expense for antibody testing.
Abington Urgent Care is located on 938 Old York Road.
Appointments for testing are made by calling a select designated testing center. Updates about testing sites, instructions about how to make an appointment, and other information is available online here."
2,/pennsylvania/abington/jenkintown-fire-department-s-new-recruitment-campaign-launched,2020-06-08T20:19:46Z,Jenkintown Fire Department’s New Recruitment...,0,0,Leza Raffel,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
The Jenkintown Fire Department's New Recruitment Campaign Encourages Neighbors to Save Neighbors by Volunteering
Jenkintown, Pa. –Now that the town has reached the state's yellow reopening phase, the Jenkintown Fire Department is stepping up its volunteer recruitment effort with a comprehensive outreach campaign. The recruitment slogan and branding, ""Be The Neighbor Who Saves A Neighbor,"" was developed during a brainstorming session between volunteers from both Pioneer and Independence Fire Company. The biggest recruitment tool is a stand-alone website, www.fightjenkintownfires.org , designed to answer volunteer questions and collect inquiries from potential volunteers.
With so many people working outside the area and two career families now the norm rather than the exception, the need for volunteers to staff the fire houses is acute. The campaign will focus on what makes Jenkintown so special: the people, the small town atmosphere and the neighbors who help each other in their time of need.
""It's a hometown feeling, the firehouse has a family kind of atmosphere,"" said Ken Lynch, chief of the Independent Fire Company, which serves Jenkintown along with the Pioneer Fire Company. ""It's neighbor helping neighbor.""
""I am excited,"" added Nicholas Pettinati, chief of the Pioneer Company. ""We always like new members."" Pettinati takes particular pride in mentoring young firefighters.
And you never know what volunteering with the Jenkintown Fire Department will bring.
Jacklyn Boutcher felt so strongly about the fire company that she encouraged her roommate, Annabelle Moreno, to join. Flash forward 10 years and Moreno is now married to Scott Smyth, a lieutenant at Pioneer who she met through volunteering.
""This is such a wonderful group of individuals,"" said Moreno, about the Jenkintown Fire Department. ""Being part of their family is an honor.""
Training and gear is provided at no charge and no experience is needed. Volunteer opportunities include:
*Firefighter: Train to fight fires and respond to traffic accidents, hazardous material (HAZMAT) events, rescues and other dangerous situations.
*Fire Police: The fire police are attached to the Pioneer Fire Company. Their primary duty is to ensure the safety of firefighters going to and from the fire scene. They also direct traffic at the scene and provide security and crowd control. The fire police prevent thieves from accessing a burned building until it can be boarded up, as well.
*Contributing Members: Contributing members are needed for administrative tasks, fundraising or serving on the board. The Jenkintown Fire Department also sponsors the annual 4th of July Parade. There's plenty to do besides fighting fires.
*Junior Firefighter: Age 14 through 17. Teenagers can train and learn the skills they need to become a firefighter when they turn 18.
The Borough of Jenkintown applied for a Staffing for Adequate Fire & Emergency Response (SAFER) grant from the Federal Emergency Management Agency (FEMA) to cover the cost of the campaign. No local tax money will be needed to run the four-year recruitment campaign.
""The grant has provided our community and our two fire companies a wonderful opportunity to collaborate on something that is so important to the safety of our community – growing our base of volunteer firefighters, "" said George Locke, Manager of Jenkintown Borough.
The Communication Solutions Group Inc., a full-service public relations and marketing firm based in Jenkintown, was hired to implement the program. The company has successfully run numerous recruitment and retention campaigns for fire and rescue organizations including Darby Fire Company #1, Paoli Fire Company, the Abington Township Fire Department and many others.
For more information visit: www.fightjenkintownfires.org"
3,/pennsylvania/abington/abington-students-police-join-peaceful-george-floyd-protest,2020-06-05T17:25:12Z,Peaceful George Floyd Protest In Abington,2,5,Justin Heinze,Patch Staff,"ABINGTON, PA — A large student-organized demonstration protesting the death of George Floyd was held in Abington on Thursday. The peaceful protest was joined by officers from the Abington Police Department, who knelt alongside protesters in a sign of solidarity.
Numerous demonstrators marched through town, starting at the high school, passing by the hospital, and gathering before the township building and police headquarters. Roads were closed to faciliated the march. Rain fell during protest but the crowd continued undeterred.
At one point the crowd knelt for 8 minutes and 46 seconds. That was in solidarity with the amount of time that Minneapolis police officer Derek Chauvin is accused of kneeling on Floyd's neck until he died. Police officers joined in taking a knee.
In addition to the local student organizers from Abington Senior High School, several area organizations joined in the demonstration, including the First Baptist Church of Crestmont.
Protesters carried signs and wore shirts reading ""I Can't Breathe"" and ""8 Minutes 46 Seconds."" Police held signs reading ""Blue N Black not Black N Blue.""
Many protesters wore masks to prevent the spread of coronavirus. Some protesters adhered to social distancing protocols.
In a statement, police said the event was ""both inspiring and encouraging.""
""The event was extremely peaceful and served to be a model for what a peaceful protest should look like,"" the statement read. ""We look forward to working together to bring about meaningful change. We are all in this together and, in order to bring about peace we need to remember that we belong to one another. Our thoughts and prayers are with Mr. Floyd and his family. May he rest in peace!""
A peaceful vigil in Floyd's honor, and in memory of all people of color unjustly killed, is also planned at the corner of Old York Road and Township Line Road on Friday, June 5, at 4 p.m. Attendees are asked to bring canned goods and non-perishable items for the needy if they can."
4,/pennsylvania/abington/2020-candidate-profile-napoleon-nelson-state-rep-154th,2020-05-20T21:08:24Z,2020 Candidate Profile: Napoleon Nelson,0,1,Justin Heinze,Patch Staff,"
Age (as of Election Day)
40
Position Sought
Pennsylvania State House of Representatives 154
Party Affiliation
Democrat
Family
Shareese, 2 children - son and a daughter
Does anyone in your family work in politics or government?
I am the elected Finance Officer for Cheltenham township.
Education
MIT graduated 2002, Wharton MBA graduated 2007
Occupation
Finance Officer for Cheltenham township
Previous or Current Elected or Appointed Office
Cheltenham Finance Officer (2018-present, elected)
Trustee for Montgomery County Community College (2018-present, appointed)
Cheltenham School Board (2011-2017, elected for two terms)
Campaign website
www.napoleonfor154.com
Why are you seeking elective office?
Our campaign platform is anchored in fighting for public education, community investment and real tax reform, but we know that there is far more work to do. I will fight for middle class families and workers, small businesses, minority communities, and all those that Harrisburg has ignored for so long. I am a champion for the role Government is supposed to play in our lives.
The single most pressing issue facing our state/nation is _______, and this is what I intend to do about it.
The single most pressing issue facing our state and nation is the faith, expectation, and implementation of our Democracy. From gerrymandering to our low ethical expectations of elected officials to our poor off-year voting trends, to just the way we talk about those on the other side of the isle, our execution of Democracy is NOT moving us forward. We are not prepared to handle our environmental crisis or to adequately educate our children. We are not prepared for health pandemics, global leadership, or to control the traffic along our streets. When elected, I will support the drawing of fair districts, invest state funds in support of local journalism, advance civics curriculum in our schools, hire staff from both parties and from backgrounds that reflect the diversity of the 154th to my team, and champion progressive solutions not just here in our district, but all across the state of Pennsylvania.
What are the critical differences between you and the other candidates seeking this post?
I am the only candidate in this race with experience in education system governance. I am the only candidate in this race with significant insight into the impact of our tax policies on seniors, businesses, and every other resident. I am also the only elected official from the largest municipality in this district and have been elected township wide three times.
Describe the other issues that define your campaign platform
My top three platform priorities are:
Safe, equitable, rigorous and fully funded public schools.
Tax reform that protects seniors and small businesses instead of industrial polluters and internet giants.
Investing in our communities with legislation to reduce inequalities based on race, religion, and socio-economic status. This includes improving healthcare access, social justice, protecting our civil rights, and dealing with the existential threat of this climate crisis.
What accomplishments in your past would you cite as evidence you can handle this job?
I am proud of what I have already done to help my community. Within my educational governance roles, we have built new schools, invested in innovative programs and instruction, crafted discipline and policing policies that were more responsive to the expectations of students, and passed policies that demonstrate first-rate fiscal governance. In the tax office, we just wrapped up a phenomenal year with outstanding collection rates, and more importantly, we are providing more resources to residents and businesses than ever before. We're not just talking about what we can do to help, but we're executing.
In response to the COVID-19 crisis, I redirected my campaign staff to identify and address the needs of residents, non-profits and businesses across the 154th district. We now hold weekly Business Roundtables, host a Facebook group to facilitate the identification of needs and solutions, and work on a daily basis to facilitate solutions for residents that need assistance. I have spent the past several weeks working behind the scenes with the County Commissioners, the county solicitor's office, the leadership at Montgomery County Community College, and our local elected officials and we are finally seeing movement on local property and business tax extensions! COVID-19 is having a significant health and economic impact on our communities. I am happy to have worked with our governing partners to respond to the needs of our community during this time. On Thursday the 26th, the Cheltenham and Springfield Township Boards of Commissioners extended local tax deadlines.
The best advice ever shared with me was …
My grandfather would always tell me to ""Do good, no matter who is looking.""
What else would you like voters to know about yourself and your positions?
Public policy and governance is about serving your community. As an African American man from Philadelphia who is raising a family in Cheltenham, I am deeply connected to a community that spans from Southwest Philadelphia to Montgomery County. Serving this community demands that we focus on how we educate and nurture our children to achieve successful adult lives, how we care for our seniors, and how we establish a social safety network that meets the needs of vulnerable community members. We need policy makers who are dedicated to supporting small business owners who must care for their children and aging parents, families struggling with healthcare challenges and are facing bankruptcy and homelessness, residents who struggle with crumbling infrastructure and communities that need to broaden the tax base with development projects that serve comprehensive community rather than special interests. I recently spoke with a WWII veteran living in an assisted living facility that no longer serves fresh food on clean dishes or maintains a staff who monitor medications in a safe manner. I also spoke with residents concerned with delays to road and gas pipeline work that impacts the livability of their neighborhoods and business development plans that would expand the tax base but cause excessive congestion.
I will advocate for access to quality preschool, full day kindergarten for all students, and 21st century K-12 public schools that incorporate support for students living with mental health challenges, learning differences, hunger and homelessness with qualified teachers and counselors from diverse backgrounds.
My policy priorities for seniors involve advocating for health outcomes, transportation, tax reforms, and enforcement of licensing and inspections to ensure the safety and security of our most vulnerable in assisted living and nursing homes.
My civil rights and criminal justice reform policies will promote significant reforms to protect voting rights, reform bail and pre-trial detention for indigent defendants, establish community policing initiatives that ensure accountability and transparency in police conduct and eliminate profiling, incorporate police collaboration with broad based social service agencies to reduce over policing.
My top three policy initiatives once elected are:
Establish a pipeline of mental health, school nurses, diverse educators, skilled laborers, and other positions of need that recruits from early high school years and ends with scholarships and loan forgiveness.
Establish a property tax freeze for seniors across the state and build a rebate program for low income individuals that ties their tax rebate to a share of their assets.
Expand the definition of local business presence (or nexus) to close the significant loopholes that allow internet and cellular businesses to avoid paying the same local taxes that our small local businesses must pay."
5,/pennsylvania/abington/here-are-abingtons-new-polling-places-2020-primary-election,2020-05-13T17:54:41Z,Where To Vote In Abington Primary 2020,0,0,Justin Heinze,Patch Staff,"ABINGTON, PA — Montgomery County has reduced its number of polling places by 60 percent and moved all voting locations into schools in an effort to maintain public health amid the coronavirus outbreak.
Officials have published an updated list of the new polling locations that were approved recently by the Montgomery County Board of Elections.
Leaders at both the county and state level continue to urge residents to vote by mail. Ballot applications can be made online at Votespa.com.
>>Montco Proposes To Move All Primary Polling Places Into Schools
In the Abington area, here are the new polling locations, and the precincts that will now vote at that location.
Abington Junior High School
Vote here if you previously voted at:
Copper Beech Elementary School
Vote here if you previously voted at:
Highland Elementary School
Vote here if you previously voted at:
Jenkintown Elementary School
Vote here if you previously voted at:
McKinley School
Vote here if you previously voted at:
Murray Avenue School
Vote here if you previously voted at:
Overlook Elementary School
Vote here if you previously voted at:
Roslyn Elementary School
Vote here if you previously voted at:
Rydal Elementary School East
Vote here if you previously voted at:
Rydal Elementary School West

Vote here if you previously voted at:
Willow Hill Elementary School
Vote here if you previously voted at:
For a full list of all new polling locations in Montgomery County, see here."
6,/pennsylvania/abington/abington-school-district-seeking-556k-emergency-funding,2020-05-04T17:59:12Z,Local Schools Seeking Emergency State Funding,0,1,Justin Heinze,Patch Staff,"ABINGTON, PA — Abington School District has joined schools around Pennsylvania in applying for emergency funding to help provide critical resources to the district in the midst of the coronavirus crisis.
Abington is looking for $556,425, according to a list of allocations published by the Pennsylvania Department of Education.
Schools can use Elementary and Secondary School Emergency Relief funding for a wide range of purposes, including food service; professional training; technology purchases; sanitization and cleaning supplies; summer and after-school programs; and mental health supports.
Sign up for Patch news alerts.
The state filed their Elementary and Secondary School Emergency Relief Fund application to the U.S. Department of Education on Monday. It is the federal government that must approve the application and the proposed allocations.
Applications are expected to be approved in about a week and the state department of education is finalizing a streamlined application to ensure that funds are available to schools in an expedited manner.
A full list of funding allocations is available here.
>>>PA Coronavirus Updates: 24 Counties To Begin Reopening May 8"
7,/pennsylvania/abington/2-blue-angels-montgomery-county-were-tuesdays-flyover,2020-04-29T19:59:49Z,2 Blue Angels From Montco Were In Tuesday's Flight,2,1,Justin Heinze,Patch Staff,"MONTGOMERY COUNTY, PA — While national attention was turned to the I-95 corridor on Tuesday as the U.S. Navy's Blue Angels made their flight over the region to honor healthcare workers amid the coronovirus crisis, many may have been unaware of exactly who it was inside the jets.
Two of the service members in the skies on Tuesday were actually graduates from Montgomery County high schools.
Lieutenant Commander Adam Kerrick, a Huntingdon Valley native, graduated from Abington High School in 2001. He even took an aerial photo during the flyover of Montgomery County:

Serving alongside Kerrick was a Willow Grove native, Commander Todd Royles, who graduated from Upper Moreland High School with the class of 1997.
""We want to thank both of them, and the entire Blue Angel team, for bringing a little joy to our lives yesterday,"" Montgomery County Commissioner Val Arkoosh said Wednesday.
Royles has served with the Blue Angels since Sept. 2019, and has accumulated more than 2,800 flight hours, according to the Navy. He's also been decorated with numerous service medals for a career that includes missions in support of Operation Iraqi Freedom.
Kerrick, who lettered in football and lacrosse while at Abington, also served as a fireman at McKinley Fire Company before his military career. He's flown more than 1,600 flight hours in his distinguished, medal-earning career, which has included deployments in the western Pacific and Operation Enduring Freedom.
The flight path included parts of Montgomery County, including a direct flyover of Abington High School.
The flyovers were a show of appreciation to first responders, essential workers, and others still working to keep people heavy and America running amid the pandemic."
8,/pennsylvania/abington/southeastern-pa-will-be-among-last-state-reopen-wolf,2020-04-23T17:11:33Z,SE PA 'Among The Last' To Reopen In State: Wolf,1,106,Justin Heinze,Patch Staff,"SOUTHEASTERN PA — While Pennsylvania has begun to roll out an incremental plan for easing coronavirus restrictions and firing up portions of the economy, the greater Philadelphia area remains unlikely to see any significant reopening before other parts of the state.
It's safe to say that ""the southeastern part of the state will be among the last to reopen,"" Gov. Wolf said during a call with reporters on Thursday, citing the already high and continually growing number of cases of the virus in Philadelphia and the surrounding counties.
Stay up-to-date on developments — sign up for Patch emails
Montgomery County was the first county in the state to be shut down, as courts, schools, community centers, and other public places have been closed since March 12.
While Montgomery County was briefly the epicenter of the virus, Philadelphia saw an exponential rise that has it leading all counties in the state with 10,090 cases, as of Wednesday.
The next two counties will the most cases are Montgomery (3,395) and Delaware (2,902).
While Chester is doing a bit better than its neighbors with 989 cases, the comparatively populous eastern Pennsylvania counties account for the next highest numbers: Lehigh with 2,418, Berks with 2,212, and Bucks with 2,131.
>>Gov. Wolf Unveils 3-Phased, Color-Coded Reopening Plan By Region
There is concern that leaving all decisions on reopening in the hands of individual counties would be shortsighted. The state has a broader perspective in looking at regional data, Gov. Wolf said, and decisions need to be made
There is concern, for example, that reopening one county with low cases could expose it to a neighboring county that has a high number of cases, due to the amount of travel between neighboring counties.
Howevere, there are parts of the state have been barely touched by the virus, a geographical reality that state officials are aware of as they continue to plan exactly how the state will reopen.
""Our state is big enough that we can do this in phases,"" Gov. Wolf added. ""What's good for Tioga County's not good for Montgomery County.""
Pennsylvania has announced a three-phase reopening plan, coded by color into stages: red, yellow, green, the governor explained. Each region of the state will be assigned a color, which will determine what mitigation measures previously set to stop the spread of the virus can be lifted, if any. The governor said he plans to analyze the north-central and northwest regions first, with a target of moving from them from red to yellow on May 8.
""The goal here is to keep peope safe,"" Gov. Wolf said Thursday. ""Not to place unreasonable restriction on people's movements.""
A timeline for the length of each phase was not provided, and will likely vary by region based on the current data. To determine when it may be safe to move to a new phase, the state has partnered with Carnegie Mellon University to develop a data tool using Department of Health metrics, looking at a variety of measures including the amount of cases per capita. To reopen, the target goal is an average of less than 50 cases per 100,000 people over a period of 14 days.
He added that he thought Pennsylvania was doing well overall, considering its size as the fifth most populous state in the nation.
Pennsylvania has seen 35,600 cases of the virus and 1,622 deaths as of early Wednesday.
>>>View Patch's full coverage of coronavirus in Pennsylvania"
9,/pennsylvania/abington/first-spotted-lanterfly-hatch-2020-confirmed-pennsylvania,2020-04-22T16:21:06Z,PA Confirms 1st Spotted Lanternfly Hatch Of 2020,2,1,Justin Heinze,Patch Staff,"PENNSYLVANIA — Pennsylvania has confirmed its first spotted lanternfly hatch of 2020, the state Department of Agriculture announced on Tuesday. The discovery of the first newly hatched specimen of the devastating invasive bug marks the beginning of their season, and is a stark reminder for residents to be vigilant in killing egg masses whenever they see them.
The bug was located by a US Department of Agriculture employee in the University City section of Philadelphia on Monday.
Officials said that the first hatches are typically around mid to late April, and usually hit the southern part of Pennsylvania first.
They added that residents should use the coronavirus crisis and quarantine measures to spend the time addressing the issue near their homes.
""Let's use this time at home to make a positive impact on Spotted Lanternfly this season; scrape and destroy any remaining egg masses you find and band your trees now,"" said Agriculture Secretary Redding. ""We need every Pennsylvanian to keep their eyes peeled for this bad bug, we can't let our guard down.""
The spotted lanternfly causes massive economic and environmental damage as it feeds on plants and trees, destroying forests, vineyards, and orchards and destabilizing ecosystems as it progresses.
Studies have shown the inch-long plant hopper, a native to China, India, and Vietnam, could cost the Pennsylvania economy up to $324.9 million a year, and lead to the loss of 2,810 jobs.
Having the general public scrape egg masses is one the key tools in the fight against the bug. Use a putty knife, credit card, or other firm, blunt-edged tool to scrape. A helpful tutorial on this process is here, courtesy of Penn State Extension.
Report all sightings or squashed lanterflies online.
Since it was first discovered in the United States in Berks County in 2014, the spotted lanternfly has spread to New Jersey, Delaware, Virginia and Maryland.
"
