,url,Date,Title,Thank,Reply,author,title,context
0,/minnesota/applevalley-rosemount/apple-valley-city-council-meetings-will-be-held-council-chambers,2020-07-06T20:22:08Z,Apple Valley City Council Meetings,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
July 6, 2020
Public meetings are now being held in person in the Council Chambers with social distancing restrictions. Regular City Council meetings will continue to be broadcast and streamed online for viewers to watch from the safety of their homes.
CITY COUNCIL MEETING
ATTENDANCE AND PARTICIPATION INFORMATION
OPEN: Public meetings are now being held in person in the Council Chambers and other meeting rooms that are open to the public with social distancing restrictions. Regular City Council meetings will continue to be broadcast and streamed online for viewers to watch from the safety of their homes. Virtual attendees may participate through the GoToWebinar link posted on the City's website.
SEATING: A limited number of attendees will be allowed in the meeting rooms to view live meetings based on occupancy capacity using six-foot physical distancing requirements. Seats are available on a first-come, first-served basis. Due to the limited seating, overflow standing space may be available in the lobby or other nearby public meeting spaces with screens playing the meeting live. Occupancy in these spaces will also be restricted to capacity using six-foot physical distancing requirements. All meeting attendees are asked to follow the Governor's physical distancing orders while in the building.
PARTICIPATION: Due to the limited seating in the Council Chambers, those wishing to speak during public input items must sign up prior to the start of the meeting and will be called up to the podium one at a time. People wishing to speak may email the City Clerk at cityclerk@cityofapplevalley.org by 4:30 p.m. the day of the meeting (please include name, address and subject in email). The sign-up sheet for public input items will be available near the entrance of the Council Chambers the day of each meeting and collected by the City Clerk 5 minutes prior to the start of the meeting. Names will be called to approach the podium to address the Council.
Those watching from overflow areas can enter the Chambers to speak when their name is called and then proceed back to the overflow area to continue viewing.
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
1,/minnesota/applevalley-rosemount/apple-valleys-regular-city-council-meeting-july-9,2020-07-06T20:18:59Z,Apple Valley's Regular City Council Meeting,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
July 6, 2020
The City is currently using electronic means to supplement in-person meetings due to in-person social distancing limitations. Here's how you can continue to view or participate in meetings.
As part of the Local Emergency in response to the COVID-19 pandemic and the need to restrict in-person attendance to maintain social distancing, the City is using electronic means to supplement in-person meetings.
Viewing and Listening to an Electronic Meeting
For those who want to view a meeting, you can watch and listen over the government cable TV channel or through the webstream just as you have done in the past. Live, rebroadcast and on-demand viewing of meetings will still occur as normal by either the city website Webstream or the Apple Valley Government Channel on Spectrum channel 180 or Frontier channel 191 television services.
Providing Public Comments During an Electronic Meeting
Not all meeting items involve public comment. However, public comments will still be taken at appropriate agenda items through electronic public participation. If you are not attending in-person, you would need to participate as an electronic attendee during the meeting. A link for electronic participation in the upcoming meeting is provided below. You will be asked to register as an attendee. Once registered, you will be able to participate in the meeting via a chat window and made public. Please note that the chat questions are sent to a moderator. The moderator will facilitate the meeting and pass along public comments during the meeting.
Link to Register to Participate in Meeting
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
2,/minnesota/applevalley-rosemount/absentee-voting-city-rosemount,2020-06-26T15:08:04Z,Absentee Voting In City Of Rosemount,0,0,Press Release Desk,News Partner,"Press release from the City of Rosemount:
June 25, 2020
Absentee voting is available at Rosemount City Hall during normal business hours, from June 26 through August 10.
Additional Info...
This press release was produced by the City of Rosemount. The views expressed here are the author's own."
3,/minnesota/applevalley-rosemount/watch-state-city-address-rosemount-mayor,2020-06-24T19:42:06Z,Watch State Of The City Address By Rosemount Mayor,0,0,Press Release Desk,News Partner,"Press release from the City of Rosemount:
June 22, 2020
Join Mayor Droste as he delivers his 2019 State of the City address, looking back on the accomplishments of last year and forward into the future.
Watch here...
This press release was produced by the City of Rosemount. The views expressed here are the author's own."
4,/minnesota/applevalley-rosemount/apple-valley-planning-commission-will-meet-june-17,2020-06-17T10:15:08Z,Planning Commission Will Meet On June 17,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
June 16, 2020
The City is currently using electronic means instead of in-person meetings. Here's how you can continue to view or participate in meetings.
As part of the Local Emergency in response to the COVID-19 pandemic, the City is using electronic means instead of in-person meetings.
Viewing and Listening to an Electronic Meeting
For those who want to view a meeting, you can watch and listen over the government cable TV channel or through the webstream just as you have done in the past. Live, rebroadcast and on-demand viewing of meetings will still occur as normal by either the city website Webstream or the Apple Valley Government Channel on Spectrum channel 180 or Frontier channel 191 television services.
Providing Public Comments During an Electronic Meeting
Not all meeting items involve public comment. However, public comments will still be taken at appropriate agenda items through electronic public participation. Since the meeting is not in-person, you would need to participate as an electronic attendee during the meeting. A link for electronic participation in the upcoming meeting is provided below. You will be asked to register as an attendee. Once registered, you will be able to participate in the meeting via a chat window and made public. Please note that the chat questions are sent to a moderator. The moderator will facilitate the meeting and pass along public comments during the meeting.
Link to Register to Participate in Meeting
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
5,/minnesota/applevalley-rosemount/apple-valley-announces-regular-city-council-meeting-june-11,2020-06-10T10:44:35Z,Regular City Council Meeting On June 11,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
June 9, 2020
The City is currently using electronic means instead of in-person meetings. Here's how you can continue to view or participate in meetings.
As part of the Local Emergency in response to the COVID-19 pandemic, the City is using electronic means instead of in-person meetings.
Viewing and Listening to an Electronic Meeting
For those who want to view a meeting, you can watch and listen over the government cable TV channel or through the webstream just as you have done in the past. Live, rebroadcast and on-demand viewing of meetings will still occur as normal by either the city website Webstream or the Apple Valley Government Channel on Spectrum channel 180 or Frontier channel 191 television services.
Providing Public Comments During an Electronic Meeting
Not all meeting items involve public comment. However, public comments will still be taken at appropriate agenda items through electronic public participation. Since the meeting is not in-person, you would need to participate as an electronic attendee during the meeting. A link for electronic participation in the upcoming meeting is provided below. You will be asked to register as an attendee. Once registered, you will be able to participate in the meeting via a chat window and made public. Please note that the chat questions are sent to a moderator. The moderator will facilitate the meeting and pass along public comments during the meeting.
Link to Register to Participate in Meeting
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
6,/minnesota/applevalley-rosemount/public-meeting-will-be-held-during-city-council-meeting-june-16,2020-06-09T10:38:11Z,Public Meeting Will Be Held,0,0,Press Release Desk,News Partner,"Press release from the City of Rosemount:
June 8, 2020
A public meeting will be held during the City Council meeting on Tuesday, June 16, 2020, at 7 p.m. The purpose of this meeting will be to review and receive public comments regarding the City's Storm Water Pollution Prevention Program (SWPPP). The meeting will be recorded and available for viewing on the City's website.
The SWPPP is a document required by the State and Federal government which outlines the City's programs and policies for reducing stormwater pollution. The Program will be reviewed at the meeting and public comments will be received. The document is available for public review at Rosemount City Hall during regular business hours or can be viewed online: Rosemount Storm Water Pollution Prevention Program.
Attendance from City residents at the meeting is encouraged, as the City seeks your input into the SWPPP. Those wishing to provide comment but unable to attend the meeting, can send comments on the SWPPP through Friday June 26, 2020, to the following:
City of Rosemount Attn: Jane Byron 2875 145th Street West Rosemount, MN 55068-4997 or jane.byron@ci.rosemount.mn.us
This press release was produced by the City of Rosemount. The views expressed here are the author's own."
7,/minnesota/applevalley-rosemount/link-apple-valley-city-council-meeting,2020-05-27T10:55:57Z,Link To Apple Valley City Council Meeting,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
May 26, 2020
The City is currently using electronic means instead of in-person meetings. Here's how you can continue to view or participate in meetings.
As part of the Local Emergency in response to the COVID-19 pandemic, the City is using electronic means instead of in-person meetings.
Viewing and Listening to an Electronic Meeting
For those who want to view a meeting, you can watch and listen over the government cable TV channel or through the webstream just as you have done in the past. Live, rebroadcast and on-demand viewing of meetings will still occur as normal by either the city website Webstream or the Apple Valley Government Channel on Spectrum channel 180 or Frontier channel 191 television services.
Providing Public Comments During an Electronic Meeting
Not all meeting items involve public comment. However, public comments will still be taken at appropriate agenda items through electronic public participation. Since the meeting is not in-person, you would need to participate as an electronic attendee during the meeting. A link for electronic participation in the upcoming meeting is provided below. You will be asked to register as an attendee. Once registered, you will be able to participate in the meeting via a chat window and made public. Please note that the chat questions are sent to a moderator. The moderator will facilitate the meeting and pass along public comments during the meeting.
Link to Register to Participate in Meeting
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
8,/minnesota/applevalley-rosemount/link-may-20-apple-valley-regular-planning-commission-meeting,2020-05-20T10:28:13Z,Apple Valley Regular Planning Commission Meeting,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
May 19, 2020
The City is currently using electronic means instead of in-person meetings. Here's how you can continue to view or participate in meetings.
As part of the Local Emergency in response to the COVID-19 pandemic, the City is using electronic means instead of in-person meetings.
Viewing and Listening to an Electronic Meeting
For those who want to view a meeting, you can watch and listen over the government cable TV channel or through the webstream just as you have done in the past. Live, rebroadcast and on-demand viewing of meetings will still occur as normal by either the city website Webstream or the Apple Valley Government Channel on Spectrum channel 180 or Frontier channel 191 television services.
Providing Public Comments During an Electronic Meeting
Not all meeting items involve public comment. However, public comments will still be taken at appropriate agenda items through electronic public participation. Since the meeting is not in-person, you would need to participate as an electronic attendee during the meeting. A link for electronic participation in the upcoming meeting is provided below. You will be asked to register as an attendee. Once registered, you will be able to participate in the meeting via a chat window and made public. Please note that the chat questions are sent to a moderator. The moderator will facilitate the meeting and pass along public comments during the meeting.
Link to Register to Participate in Meeting
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
9,/minnesota/applevalley-rosemount/apple-valley-city-will-hold-informal-city-council-meeting-may-14,2020-05-12T10:33:58Z,City Will Hold Informal City Council Meeting,0,0,Press Release Desk,News Partner,"Press release from the City of Apple Valley:
May 11, 2020
The City is currently using electronic means instead of in-person meetings. Here's how you can continue to view or participate in meetings.
As part of the Local Emergency in response to the COVID-19 pandemic, the City is using electronic means instead of in-person meetings.
Viewing and Listening to an Electronic Meeting
For those who want to view a meeting, you can watch and listen over the government cable TV channel or through the webstream just as you have done in the past. Live, rebroadcast and on-demand viewing of meetings will still occur as normal by either the city website Webstream or the Apple Valley Government Channel on Spectrum channel 180 or Frontier channel 191 television services.
Providing Public Comments During an Electronic Meeting
Not all meeting items involve public comment. However, public comments will still be taken at appropriate agenda items through electronic public participation. Since the meeting is not in-person, you would need to participate as an electronic attendee during the meeting. A link for electronic participation in the upcoming meeting is provided below. You will be asked to register as an attendee. Once registered, you will be able to participate in the meeting via a chat window and made public. Please note that the chat questions are sent to a moderator. The moderator will facilitate the meeting and pass along public comments during the meeting.
Link to Register to Participate in Meeting
This press release was produced by the City of Apple Valley. The views expressed here are the author's own."
