,url,Date,Title,Thank,Reply,author,title,context
0,/maryland/arbutus/tax-refund-expect-delay-patch-pm,2017-01-23T22:47:31Z,Tax Refunds Likely Delayed This Year | Patch PM,0,0,Greg Hambrick,Patch Staff,"Stories to share this evening:
2017 Income Tax Season: IRS Now Accepting Returns, Delayed Refunds
Early-bird taxpayers can submit their income tax returns starting Jan. 23, while procrastinators have an extra weekend to buckle down, compile and submit their tax returns in 2017. New IRS scrutiny of two tax credits means that refunds will be delayed until late February for taxpayers who claim the credits, so be prepared to wait on your money in those cases. >>> Read more.
'Lucky Store' Sells Two $10K Scratch-Off Tickets in One Day
A Bel Air woman has dubbed one gas station a ""lucky store"" after she and another customer both won $10,000 prizes on the same day. >>> Read more.
Women's March in Baltimore: PHOTOS
Hundreds flocked to North Charles at 33rd streets on Saturday afternoon to advocate for women's rights. Among them were many children and several pets sporting messages about love and equality. Chants of ""Not my President"" erupted as sign wavers stood their ground near the Johns Hopkins University campus, holding handwritten or typed messages such as ""Love Trumps hate"" and ""Women's rights are human rights."" >>> Read more.

Ravens Linebacker to Retire at Age 24
Bel Air Man Wins $100K on Scratch-Off Ticket
Maryland Cracking Down on Tax Fraud, Identity Theft: Comptroller
Patch PM shares a few of the day's must-read items from our Maryland network. The Patch community platform covers communities across the state."
1,/maryland/arbutus/gov-hogan-meet-pope-francis-dc-0,2015-09-24T01:03:27Z,Gov. Hogan to Meet With Pope Francis in DC,0,0,Deb Belt,Patch Staff,"Maryland Gov. Larry Hogan – who just spent five days in the hospital for cancer treatment -- will meet with Pope Francis Thursday afternoon to seek his blessing for cancer patients.
Hogan, a Catholic, announced the meeting on his Facebook page Tuesday: ""As Governor of Maryland, I would like to warmly welcome the Holy Father Pope Francis to Maryland to begin his first-ever trip to the United States! I will have the great honor of meeting him on Thursday and will seek prayers and his blessing for cancer patients everywhere.""
SEE ALSO:
PHOTOS: Pope Francis' First Full Day in Washington, D.C.
Guide to Pope Francis 2015 Visit to Washington, D.C.
The pontiff speaks to both houses of Congress Thursday morning, and leaves for New York at 4 p.m. Thursday from Joint Base Andrews.
A Hogan spokesman told The Baltimore Sun the governor will be part of a closed meeting with Pope Francis and Catholic Charities of Washington, D.C.
Hogan has completed five of six courses of chemotherapy to treat non-Hodgkin's lymphoma. In June, he was diagnosed with non-Hodgkins lymphoma, a cancer of the lymph nodes.
In July, Hogan changed his profile picture on Facebook to show his bald head as chemo caused hair loss. ""Bald is beautiful,"" he wrote.
»Photo of Gov. Larry Hogan from his Facebook page"
2,/maryland/arbutus/omalley-scopes-out-legal-marijuana-colorado-0,2015-09-19T18:20:22Z,O'Malley Scopes Out Legal Marijuana in Colorado,0,0,Elizabeth Janney,Patch Staff,"By Jon Banister, CAPITAL NEWS SERVICE
Former Maryland Gov. Martin O'Malley met with marijuana policy experts in Denver Thursday to hear about how legalizing the drug has affected communities in Colorado, but he isn't yet ready to endorse federal legislation legalizing recreational use of pot.
Among the issues the Democratic presidential candidate has touted as he has campaigned around the country is his move while governor to decriminalize marijuana.
But he is being cautious about the next step on the federal level.
""I think we still have to watch, and we have to learn in Colorado and Washington state,"" the ex-governor told reporters after the meeting, according to The Denver Post. ""I'm not there yet, but I am watching very closely what's happening.""
Throughout the 90-minute Denver meeting, lawmakers, administrators, business owners, police officers and veterans detailed positive impacts of the state's legalization experiment.
""Colorado's economy is doing well, it's going up,"" State Rep. Jonathan Singer told O'Malley. ""Teen use has either stayed stagnant or gone down and we're seeing our law enforcement able to focus on crimes that hurt people.""
After listening to several speakers, O'Malley addressed the group, stressing the importance of learning from the states that have legalized marijuana.
""I think as Americans, given the hard truths about drug overdose, violent crime and incarceration, we should have this conversation and be informed by true facts and experiences that people of Colorado are having on the ground here,"" O'Malley said.
The meeting was hosted by Vicente Sederberg LLC, a Denver-based marijuana law firm. Managing partner Brian Vicente said he appreciated O'Malley taking the time to hear from Colorado's leading minds on marijuana policy.
""It showed that he's a thoughtful candidate and he is in touch with the issues that are really hot topics in our country right now,"" Vicente said. ""It speaks volumes that he came to Colorado and sat down with experts to hear about how it's going here and educate his viewpoint.""
Vicente wrote Colorado's constitutional amendment that legalized recreational use of marijuana.
As part of his criminal justice reform proposal, O'Malley has said he will move to reclassify marijuana from a Schedule I drug, alongside Heroin and LSD, to a Schedule II drug. The reclassification is largely a symbolic move, said Vincente, who advocated for full declassification, but it will help make it easier to conduct research on marijuana. On the campaign trail,
O'Malley has highlighted his marijuana policy record in Maryland. He signed a bill in 2014 decriminalizing the possession of small amounts of marijuana, making Maryland the 18th state to do so. He also made Maryland the 21st state with a medical marijuana program, allowing the state to issue licenses to growers and dispensaries and for patients to possess up to a 30-day supply.
While O'Malley oversaw the loosening of Maryland's cannabis laws, some activists worry about his previous opposition to marijuana reform and his inactive role in his own state's policy changes.
""He presided over [decriminalization and medical marijuana] but he is certainly not viewed as championing that legislation,"" Vincente said. ""He's simply not.""
See Also: O'Malley Opposes Legalizing Marijuana in Maryland
The Marijuana Policy Project (MPP), a legalization advocacy group who had a spokesperson present at O'Malley's meeting, has graded each 2016 presidential candidate on marijuana policy.
O'Malley received a C-minus, the lowest grade of any declared Democratic candidate.
""He has always been steadfastly an opponent of marijuana policy reform as governor, although it is certainly a welcome development his change in approaches more recently,"" said Dan Riffle, MPP's federal policy director who focused on the Maryland region between 2009 and 2012, during part of O'Malley's time in office.
Riffle said it is not important that candidates support federal legalization, but rather that they respect states' rights to legalize marijuana.
""What I would like to see from O'Malley and other candidates is a pledge to work to change federal law so that not only are we not enforcing federal law in states like Colorado but we're actually changing federal law so that people who are in compliance of state law in Colorado aren't violating federal law,"" Riffle said.
Marijuana business owners at Thursday's listening session said because of federal drug enforcement, banks refuse to deal with marijuana-related companies, forcing the businesses to operate exclusively with cash.
The issue of a state's rights to decide its own marijuana laws came up inWednesday night's Republican debate, with libertarian-leaning Rand Paul arguing against federal government interference.
""I would let Colorado do what the Tenth Amendment says,"" said the Kentucky senator, who received MPP's highest grade of any candidate, with an A-minus. ""This power, we were never intended to have crime dealing at the federal level, crime was supposed to be left to the states. Colorado has made their decision."""
3,/maryland/arbutus/six-democratic-debates-set-2016-primary-cycle-0,2015-08-06T19:15:11Z,Six Democratic Debates Set for 2016 Primary Cycle,0,1,Deb Belt,Patch Staff,"By TONY SCHINELLA and DEB BELT
Former Maryland Gov. Martin O'Malley is criticizing the Democratic National Committee's plan to host six primary debates for the 2016 presidential primary, noting the party held 16 debates in 2008 and 13 debates in the 2004 election cycle.
The national committee also issued a threat to candidates who accept any unsanctioned debate invitation or forum, according to news outlets.
Each of the early primary states – Iowa, New Hampshire, South Carolina, and Nevada – will host a single debate, according to the official schedule. Two other debates will be held in February or March in Florida or Wisconsin.
On Twitter O'Malley said: ""The number of presidential debates should be dictated by voters—not @TheDemocrats in Washington. #WeNeedDebate""
On Wednesday O'Malley also tweeted on the subject: ""@TheDemocrats think they can limit the number of debates we're going to have before the Iowa caucuses…We need to have not just one debate, not just two, but many. Because they will shape the future of the country we give our kids.""
On a conference call, O'Malley for President New Hampshire State Director John Bivona said voters like him in the Granite State are ""swayed by big ideas"" and candidates that actually go out and meet first-in-the-nation primary voters in intimate settings, as has historically been done for generations.
""It's simply wrong,"" he said. ""(The DNC) debate plan should be viewed as a non-starter. It's DC bigfooting at its worse. The DNC should have no role in this process. Candidates should be able to participate without retribution.""
The retribution comments came after The Daily Beast noted in a story earlier this week that Democratic candidates that strayed from the rules would be punished, according to DNC officials.
Bernie Sanders, another Democratic presidential candidate, said he was ""disappointed, but not surprised,"" by the DNC's six debate limit.
""At a time when many Americans are demoralized about politics and have given up on the political process, I think it's imperative that we have as many debates as possible – certainly more than six,"" he said. ""I look forward to working with the DNC to see if we can significantly expand the proposed debate schedule.""
According to NECN, here are the locations and dates of the six debates:"
4,/maryland/arbutus/maryland-attorney-general-pushes-recall-confederate-license-plate-report-0,2015-07-17T23:20:36Z,Maryland Attorney General Pushes for Recall of...,0,0,Elizabeth Janney,Patch Staff,"Maryland has reportedly asked federal authorities for permission to recall more than 100 license plates in circulation that bear the Confederate flag.
The state allowed the Maryland Sons of Confederate Veterans to release a Confederate flag license plate in 1996 and after ""numerous, substantial complaints... about the apparent negative racial connotations of the logo design,"" the Maryland Motor Vehicle Administration went to court in 1997 to try to recall the plates, according to court filings. The judge determined that the design was protected under the First Amendment.
On Friday, Maryland Attorney General Brian Frosh asked federal authorities to override the injunction from the 1997 court case so Maryland could recall the plates, USA Today reported.
Lawmakers in Maryland have been pushing for the recall of the plate after Dylann Roof killed nine African-American churchgoers last month during a Bible study in a church in Charleston, S.C. Images widely distributed of Roof show him holding a Confederate flag, and he has reportedly told authorities he was attempting to start a race war.
Related: Mayor Calls for End to Confederate License Plate in Maryland
The request by Maryland's attorney general to allow the state to recall the plates comes after the Supreme Court ruled in June that Texas could deny a request for a Confederate flag design on license plates because the objects contain ""government speech,"" outside the traditional context of the First Amendment as it pertains to individuals.
There are 178 vehicles, including 27 motorcycles, that have the Confederate flag plate in Maryland, according to WMDT.
The Confederate flag plate was no longer available Friday through the Maryland Motor Vehicle Administration, and WMDT reports that the administration under Gov. Larry Hogan has suspended its production."
5,/maryland/arbutus/maryland-congressional-delegation-applauds-obamacare-ruling-0,2015-06-25T17:58:19Z,Maryland Congressional Delegation Applauds...,0,0,Deb Belt,Patch Staff,"PHOTO: Justice of the U.S. Supreme Court, court photo
__________________
The U.S. Supreme Court announced Thursday that it has sided with the Obama administration over its major healthcare overhaul, upholding federal subsidies across the country.
In a 6-3 ruling, the nation's highest court ruled that critics' reading of Obamacare might make sense in isolation, but not when viewed in a larger context and in light of the intention of the law, according to ABC News.
It's the second time the high court, ABC News points out, and Chief Justice John Roberts — has backed controversial portions of Obamacare. The first ruling was in 2012. Read a transcript of the March 4 oral argument here.
Congressman Chris Van Hollen released the following statement after the U.S. Supreme Court issued its decision in King v. Burwell ruling that individuals who get their health insurance through exchanges established by the federal government will remain eligible for tax subsidies:
""The Supreme Court today, for the second time, affirmed the legality of the Affordable Care Act in a decision that assures the law will continue to improve the health and wellbeing of millions of Americans. Republicans in Congress must now give up their ludicrous crusade to delegitimize and dismantle this lifesaving law which, as the Congressional Budget Office indicated last week, also puts America on a more sustainable fiscal path. The Affordable Care Act has truly empowered families and changed health care in our country for the better.""
Democratic Whip Steny Hoyer said the law's subsidies are to be made available to every consumer, whether they get their health care through the federal marketplace or through state-based marketplaces.
He added, ""The Affordable Care Act is working, helping millions access quality, affordable coverage and slowing the growth in health care spending to its lowest rate in half a century. Republicans in Congress should think twice before holding further votes, beyond the 60 they already have held, to undo the critical patient protections and cost savings the Affordable Care Act provides.""
U.S. Senator Ben Cardin also applauded the ruling, saying that users of the system can exhale in relief. He added:
""Because of the Affordable Care Act, insurance companies can no longer discriminate against sick people, women can't be charged more for their health care, and young adults getting their start in the world can stay on their parents' health plans. Health care costs are being reined in, and millions of Americans finally have gained security and stability through affordable health coverage. More than 80 percent of Americans who purchased their health care coverage through one of the health exchanges is satisfied with their health insurance.""
Rep. Elijah E. Cummings also weighed in: ""It's time for Republicans to stop attacking this incredibly successful law—which will save hundreds of billions of dollars in the next ten years—and focus on ensuring that every American has access to the benefits of the Affordable Care Act.""
Congresswoman Donna F. Edwards (MD-4) said the court correctly interpreted Congress' aim to make health insurance affordable for millions of Americans.
""With the Supreme Court once again upholding the legitimacy of the ACA, it is long overdue that we stop wasting time and resources fighting these old political battles. We must work together and focus on addressing the challenges ahead, including long-term transportation funding, ensuring college affordability and reducing student debt, and providing quality, affordable child care.""
Congressman John Sarbanes also cheered the court's decision: ""Despite more than 60 attempts by Republicans to repeal the ACA and two Supreme Court challenges, it's been proven over and over again that this law is constitutional and that it's working. After today's decision, all Americans – regardless of where they live – will continue to have access to premium tax credits so that they can get the high-quality, affordable health care they deserve."""
6,/maryland/arbutus/lawsuit-throw-out-states-gerrymandered-congressional-districts-0,2015-06-25T15:21:07Z,Lawsuit: Throw Out State's Gerrymandered...,0,0,Deb Belt,Patch Staff,"A lawsuit filed by Judicial Watch seeking to have Maryland's congressional district maps redrawn says Maryland's congressional district map is the most distorted and confused in the country.
The government watchdog group said it filed the voter lawsuit challenging the constitutionality of Maryland's districts, arguing that their design in 2011 pushed 27 percent of the state's voters into new districts.
Plaintiffs in the new lawsuit include Maryland Delegates Neil C. Parrott and Matt Morgan, and former Maryland legislator and gubernatorial candidate Ambassador Ellen Sauerbrey.
The lawsuit Parrott, et al, v. Lamone, et al says the congressional districting plan signed into law by then-Gov. Martin O'Malley in October 2011 greatly reconfigured Maryland's congressional districts. In total, 27 percent of all Marylanders were placed in a different congressional district.
The lawsuit cites the 6th Congressional District in western Maryland as an example of the intent to manipulate districts to help political candidates. The redistricting process added part of Democrat-heavy Montgomery County to what had been a Republican stronghold in western Maryland, WTOP reports, to target 10-term Republican Roscoe Bartlett. He lost the 2012 election to Democrat John Delaney.
Maryland's gerrymander produces ""split counties, county fragments, and split precincts,"" resulting in the arbitrary political fragmentation of the state, the group says, which harms Republicans, Democrats, and independent voters.
Critics of the district maps claim the districts were designed to enhance the power of select incumbents while minimizing the voting power of minorities, rural voters and Republicans.
""In Maryland, politicians pick their voters, which is unconstitutional,"" said Judicial Watch President Tom Fitton. ""Maryland's gerrymandered congressional district map is a national embarrassment and harms both Democrat and Republican voters. The courts should require Maryland to go back and draw district maps that respect Maryland voters and don't make a mockery of commonsense and the rule of law."""
7,/maryland/arbutus/mayor-calls-end-confederate-flag-license-plate-maryland-0,2015-06-23T20:53:11Z,Mayor Calls for End to Confederate Flag License...,0,0,Deb Belt,Patch Staff,"A move by government officials in several states to remove the Confederate flag from state license plates was echoed Tuesday by Baltimore Mayor Stephanie Rawlings-Blake, who called for Maryland officials to stop issuing specialty plates with the symbol.
""The Confederate is flag divisive and offensive, and should not be allowed as a symbol on Maryland license plates,"" Mayor Rawlings-Blake said on Twitter.
The flag has been controversial for decades as a symbol adopted by white supremacists.
It has come under increasing scrutiny in the last week after Dylann Roof killed nine African-American churchgoers during a bible study in a historic Charleston, S.C. church. Images widely distributed of Roof show him holding a Confederate flag, and he has reportedly told authorities he was attempting to start a race war.
Similarly, Confederate-themed monuments are being questioned in the region, with Baltimore County Executive Kevin Kamenetz seeking to rename Robert E. Lee Park, which honors the Confederate general.
Kamenetz told The Baltimore Sun that county officials have for months discussed a new name for the park that reflects the area's diverse population.
""We believe Lake Roland Park is more reflective of this open-space treasure, and we are confident that the city will approve our request,"" Kamenetz said.
The U.S. Supreme Court ruled last week that Texas can refuse a license plate request from the Sons of Confederate Veterans. The court ruled in a 5-4 decision that the specialty license plate constitutes government speech, and Texas is entitled to reject a plate with the Confederate battle flag on it.
Neighboring Virginia Gov. Terry McAuliffe said Tuesday he plans to replace a specialty license plate for members of the Sons of Confederate Veterans because the current plate prominently features the Confederate battle flag.
On Monday, South Carolina Gov. Nikki Haley and other prominent Palmetto State officials announced they would begin the process of removing a Confederate flag that currently flies in a high-profile spot in front of the statehouse.
»Sample of Maryland's Sons of Confederate Veterans license tag, from state MVA website"
8,/maryland/arbutus/gov-larry-hogan-diagnosed-advanced-cancer-0,2015-06-23T02:05:25Z,Gov. Larry Hogan Diagnosed With 'Advanced' Cancer,0,0,Patch Staff,Patch Staff,"By GREG HAMBRICK (Patch Staff)
Gov. Larry Hogan has been diagnosed with cancer. The reform-minded Republican who surprised politicos nationwide with his win in deep-blue Maryland in November announced the diagnosis Monday afternoon, noting he was exactly five months into his term — and not going anywhere.
Hogan was diagnosed less than two weeks ago with non-Hodgkins lymphoma, a cancer of the lymph nodes. The governor delivered the news with the same balance of candor and charming levity that he has used to tackle partisan realities in the Statehouse.
""This cancer is very advanced and very aggressive,"" Hogan said, while noting there was a strong chance of success.
""The odds of beating this are much, much better than my odds of beating Anthony Brown,"" Hogan said, referring to his Democratic opponent in the 2014 general election.
Hogan described the cancer as ""very advanced stage 3 or stage 4"" and referred to cancerous tumors located in various parts of his body, including a tumor in his back.
The governor said he will be undergoing aggressive chemotherapy treatment over the next 18 weeks, including a four-day stay in the hospital.
Hogan told the press during his announcement that he'll continue to perform his duties as governor when not in treatment.
Lt. Gov. Boyd Rutherford and Hogan's cabinet leaders will be stepping up to assist with his duties, Hogan said."
9,/maryland/arbutus/trump-attend-maryland-gop-fundraiser-following-controversial-announcement-0,2015-06-19T15:56:44Z,Trump to Attend Maryland GOP Fundraiser...,0,0,Patch Staff,Patch Staff,"By ETHAN LEVINE (Patch Staff)
Less than a week after the controversial announcement of his presidential candidacy, Donald Trump will attend the Maryland Republican Party's 25th annual Red, White and Blue Dinner — the organization's largest fundraiser of the year.
The dinner will be held on Tuesday, June 23, at the BWI Airport Marriott on West Nursery Road in Linthicum, Maryland, and will begin at 7 p.m.
It's not uncommon for some of the biggest players in the party to attend the event, but Trump's appearance will bring added attention to the fundraiser, and perhaps not for the best of reasons.
On Tuesday, exactly one week in advance of the Maryland fundraiser, Trump announced his GOP candidacy in the 2016 presidential election, and made some controversial statements in doing so.
Among his comments were what some critics deemed his insensitive quips regarding the United States' foreign relations, Obamacare and more.
""When do we beat Mexico at the border? They're laughing at us, at our stupidity,"" Trump said of the U.S.'s relationship with Mexico. ""And now they are beating us economically. They are not our friend, believe me. But they're killing us economically. The U.S. has become a dumping ground for everybody else's problems.
""When Mexico sends its people, they're not sending their best. … They're sending people that have lots of problems, and they're bringing those problems with us. They're bringing drugs. They're bringing crime. They're rapists.
""... It's coming from more than Mexico. It's coming from all over South and Latin America, and it's coming probably — probably — from the Middle East. But we don't know.""
Trump went on to suggest the U.S. build a ""great wall"" (alluding to the Great Wall of China) along the U.S.-Mexico border, and even vowed to have Mexico pay for it.
But he wasn't finished. He went on to question the intelligence of American leaders in comparison to Chinese leaders, stating:
""Take the New England Patriots and Tom Brady and have them play your high school football team. That's the difference between China's leaders and our leaders.""
He then went on to praise his own wealth:
""I'm really rich. I'll show you in a second,"" he said as he revealed his net worth of $8.7 billion. ""I don't have to brag but that's the kind of thinking our country needs. ... We got to make the country rich.""
He then went on to claim ""we have losers"" leading the United States."
