,url,Date,Title,Thank,Reply,author,title,context
0,/maryland/belair/harford-will-continue-safely-quickly-reopen-glassman,2020-09-01T21:55:09Z,Harford 'Will Continue To Safely And Quickly...,0,4,Elizabeth Janney,Patch Staff,"HARFORD COUNTY, MD — After Maryland Gov. Larry Hogan said the state would be moving into stage three of its reopening, County Executive Barry Glassman said the plan for Harford County was to follow suit.
""Harford County's metrics remain low, and we will continue to safely and quickly reopen to the extent permitted by Gov. Hogan effective at 5 p.m. Friday, Sept. 4, 2020,"" Glassman said in a statement Tuesday night.
Harford County has 2,500 confirmed cases of the coronavirus, and 67 people have died from COVID-19, the disease caused by the virus, according to the Maryland Department of Health.
Masks are still required in retail establishments, on public transit and in situations where people cannot maintain 6 feet of physical distance.

See Also:
"
1,/maryland/belair/mail-voting-maryland-deadlines-how-get-ballot,2020-08-26T18:27:09Z,"Mail-In Voting In Maryland: Deadlines, How To...",0,7,Elizabeth Janney,Patch Staff,"MARYLAND — More than 500,000 mail-in ballots went uncounted during the 2020 primary season nationwide, many of them because they were deemed incomplete or because they arrived too late.
In Maryland, state election officials said nearly 35,000 ballots were rejected during the primary.
Of those, authorities said more than 30,000 ballots were received late and more than 3,000 did not have signatures.
The issue could grow: A record number of voters may stay away from traditional polling places for the Nov. 3 general election because of the coronavirus pandemic and instead cast their ballots by mail.
To help ensure your vote is among those tallied in Maryland, follow this checklist:
Note: Due to a change in law, the Maryland Board of Elections must use the terms ""mail-in ballot"" and ""mail-in voting"" rather than absentee ballot or absentee voting.
With guidelines changing in many states, more than 80 percent of all American voters will be eligible to receive a ballot in the mail for the 2020 election, by far the most in U.S. history.
That's a result of 20 states loosening vote-by-mail laws this year due to the pandemic. As of Aug. 25, data from The Washington Post indicates 100 million people will be eligible to vote by mail either with no ""excuse"" or citing fears of the coronavirus as a reason. Among them, 51 million people will be automatically sent a ballot in the mail and 44 million people sent an application for a mail-in ballot.
Only six states still require a valid excuse other than coronavirus fears to vote by mail. Five states had already conducted elections solely by mail even before the pandemic.
Will your vote count?
In the primary election, a study by the Post showed 534,731 ballots were nixed in 23 states, and NPR found even more — 558,032 in 30 states — in a similar study. In New York City alone, more than 84,000 mail-in ballots were tossed and lawsuits were filed over the legitimacy of the outcomes of some close races.
Millions of people will cast their ballots by mail for the first time in the 2020 general election. Pew Research numbers show the number of people who vote by mail had already been on a sharp increase for years. In 2016, more than 20 percent of voters nationwide voted by mail, a total of about 27 million.
Of the 14.6 million votes cast by mail in the 2016 and 2018 general elections, officials found 372 possible cases of double voting or voting on behalf of deceased people, according to Electronic Registration Information Center data analyzed by the Post. That equates to a 0.0025 percent fraud rate. The Brennan Center for Justice has described vote-by-mail fraud as ""infinitesimally small.""
Why are people concerned about a legitimate election with so few documented cases of actual fraud?
Partly, it's problems with the U.S. Postal Service. But equally troublesome are problems that exposed themselves during the primaries. The Post data shows more ballots were rejected in 23 states than the number of absentee ballot rejections reported in the 2016 general election nationwide, in large part because of mistakes in filling out the ballots.
That means a lot more opportunities for inexperienced mail-in voters to make mistakes — which Daniel A. Smith, a political science professor at the University of Florida, says could pose a significant problem in the rejection rate come November.
""Experience matters,"" Smith told the Post. ""If you lack experience voting by mail, the odds of you casting a ballot that doesn't count will go up.""
To make sure your ballot is counted:
Charles Stewart III, a political science professor at the Massachusetts Institute of Technology, said if the election between President Donald Trump and Democratic challenger Joe Biden is close, the mail-in ballots will create ""a mess.""
""The two campaigns will be arguing over nonconforming ballots, which is going to run up against voters' beliefs in fair play,"" Stewart told the Post.
There's also growing concern over the governmental entity tasked with handling the influx of mail-in ballots.
The Postal Service has come under fire for increasingly slow service, mail backlogs and planned changes that some have feared will have an effect on their ability to handle the expected massive increase of mail-in ballots this year.
Postmaster General Louis DeJoy told senators on Capitol Hill in recent testimony he was unaware of certain changes at the Postal Service until they caused a public uproar. But he also said there are no plans to restore mailboxes or high-speed sorting machines that have been removed. His testimony raised fresh questions about how the Postal Service will ensure timely delivery of ballots for the November election.
In Maryland, vote-by-mail drop boxes will be installed so voters can avoid the lines at the polls and not have to worry about Postal Service issues. At least 200 drop boxes will be open until 8 p.m. on Nov. 3.
— By Elizabeth Janney and Tim Moran
The Associated Press contributed reporting to this story."
2,/maryland/belair/rooftop-dining-area-hospital-expansion-proposed-bel-air,2020-07-09T12:44:11Z,"Rooftop Dining Area, Hospital Expansion...",0,0,Elizabeth Janney,Patch Staff,"BEL AIR, MD — Three proposed developments in town were approved Thursday night in Bel Air. Among them were changes at the Main Street Tower and Upper Chesapeake Medical Center.
The Main Street Tower was granted permission for its rooftop deck to be used for outdoor dining. The proposal calls for a 1,658-square-foot outdoor dining area.
In September 2019, owner Renato Buontempo appeared before the Bel Air Planning Commission about a 2,311-square-foot outdoor dining area on the rooftop deck.
At that time, the Tower received authorization to update a railing and install a sound wall over the winter. The architect who presented the proposal described it as ""phase one"" of the deck project, for which he said planning began in early 2019. Buontempo and his architect were told they would need to come back to the board with a site plan outlining proposed use of the deck. The planning commission also stipulated that permits would be required for the deck, roof rails and outdoor dining.
At Thursday's hearing, the commission approved the site plan and special development request.
One other proposal before the commission was for an 11,000-square-foot addition to Upper Chesapeake Medical Center at 500 Upper Chesapeake Drive. The expansion would be on the support services part of the hospital. A site plan, landscape plan and special development request were approved.
Plans also got the green light for additions to the previously approved ambulatory surgical center at 515 South Tollgate Road. They include a 16,061-square-foot addition and 2,299-square-foot addition to the first floor, according to the planning commission. The surgical center will offer surgery in a less costly setting than a hospital and is designed to meet the needs of the community for more inpatient and outpatient beds with the future closure of Harford Memorial Hospital, Upper Chesapeake's representative said at previous hearing in November 2018 about the project."
3,/maryland/belair/harford-county-offering-curbside-pickup-property-tax-payments,2020-06-29T14:46:30Z,County Offering Curbside Pickup For Tax Payments,0,0,Press Release Desk,News Partner,"Press release from Harford County Government: To limit the spread of COVID-19, Harford County government is offering curbside pickup at its Bel Air office for residents who choose to pay property taxes and other fees in person. County residents, and especially senior citizens, are still strongly encouraged to pay by mail or electronically, if possible.
Timed to coincide with the annual issuance of property tax bills, the curbside service will begin on Monday, July 6, 2020. Residents are asked to park along the north side of the county administration building at 220 S. Main Street, remain in their car, and call 410-638-3450 or look for an attendant. County staff will come to them to collect checks or money order payments only; no cash will be accepted curbside.
Harford County's Payment Center inside the building remains closed due to the pandemic. A drop box in the building vestibule and a locked drop box in the rear of the building are still available, in addition to the new curbside service.
County government has been operating throughout the COVID-19 crisis, with modifications where necessary to protect the public and county employees. More information is on the county website at https://www.harfordcountymd.gov/2823/COVID-19-Resources.
This press release was produced by the Harford County Government. The views expressed here are the author's own."
4,/maryland/belair/census-response-harford-county-2nd-highest-maryland,2020-06-27T13:31:00Z,How Much Of Harford County Has Responded To Census,0,1,Elizabeth Janney,Patch Staff,"HARFORD COUNTY, MD — Nearly two out of every five U.S. households nationwide have yet to respond to the U.S. Census, stoking fears that billions of federal dollars could be left on the table — dollars that fund crucial services including during the pandemic. Harford County has the third-highest response rate to the U.S. Census in Maryland.
According to the U.S. Census Bureau's self-response map, 73.7 households in Harford County have responded to this year's census either online, by phone or by mail.
Nationally, about 61.5 percent of households have responded as of June 26; and in Maryland, 65.7 percent have responded to the census.
This means more than three out of every 10 households in Maryland have not yet been counted.
Here are the counties with the highest response rates in Maryland as of June 26:
People can respond to the census through Oct. 31 online, by phone or by mail.
The purpose of the once-each-decade count is to help determine where $1.5 trillion in federal funding goes and how many congressional seats each state gets.
If 20 percent of the population in Harford County does not get counted in 2020, government officials say the county would lose $93 million in federal funding per year.
The new coronavirus erupted just as the 2020 census was getting underway.
In the wake of mass layoffs and unprecedented economic damage, studies are projecting that more than 4 million people could be undercounted this year.
Should these households not respond, billions of dollars that fund crucial services before, during and after the coronavirus pandemic will be lost. Services include hospitals, Head Start programs, school lunches and summer lunch programs, Medicaid, food stamps and dozens more.
Historically, people of color, children, senior citizens, undocumented immigrants, people with disabilities, the LGBTQ community, Native Americans in tribal areas, the homeless and low-income people are among the least likely to be counted accurately in the census.
Both the National Urban League and the NALEO Educational Fund have sounded the alarm that communities with large concentrations of black and Hispanic residents are trailing the rest of the nation in answering the 2020 questionnaire, the Associated Press reported.
A more detailed analysis of response rates in late May and early June conducted by the Center for Urban Research at the City University of New York's Graduate Center showed that neighborhoods with concentrations of black residents had a self-response rate of 51 percent, compared with 53.8 percent for Hispanic-concentrated neighborhoods and 65.5 percent for white-dominant neighborhoods.
These populations are also among the hardest hit by the pandemic.
Young people and low-income workers are bearing the brunt of coronavirus-related layoffs, according to one study. So are women and people of color, Department of Labor data says.
This is causing outreach challenges for both the Census Bureau and organizations providing services to impacted communities.
The Census Bureau suspended field operations in March, pulling workers off the streets to protect them from the virus. This also included efforts to drop off census forms at households in rural areas with no traditional addresses.
Workers didn't return until May 4 as part of a phased restart.
The Census Bureau told the Associated Press that it had finished dropping off questionnaire forms in June to almost the 6.8 million mostly rural households across the country.
Organizations nationwide have put in-person outreach on hold. Plans to set up booths at farmers markets and work with child care centers have been abandoned, replaced by digital advertising, social media and telephone calls.
Because of the pandemic, the bureau pushed back the deadline for finishing the 2020 census from the end of July to the end of October, and it asked Congress for a delay in handing over apportionment and redistricting numbers.
Census officials have encouraged Americans to respond to the decennial survey online, a first for the census.
In a move designed to cut costs and keep up with digital lifestyles, the census questionnaire is available at my2020census.gov. Americans can access the online questionnaire by using a 12-digit ID code included with their census invitation sent by mail.
The 2020 census counts everyone living in the United States and its five territories. Learn more about how to respond to this year's census.
— By Megan VerHelst and Elizabeth Janney"
5,/maryland/belair/harford-county-earns-two-national-association-counties-awards,2020-06-17T17:20:33Z,Harford County Earns Two National Association...,0,0,Cindy Mumby,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
The National Association of Counties (NACo) has recognized Harford County in 2020 with two awards for innovative and effective county government programs. The county was honored with Achievement Awards for its Halloween costume workshop for children who use wheelchairs and the anti-drug Pledge Program for youth, presented in partnership with the Harford County Sheriff's Office.
The Glassman administration has earned a total of eleven NACo awards over the past five years.
""I would like to thank our community partners and sponsors, and our creative county employees, for these outstanding programs,"" County Executive Glassman said. ""Together we were able to help children learn early on about the dangers of drugs and alcohol and give all kids a chance to share in the joys of childhood.""
Halloween Costume Workshop
For some children who use a wheelchair, dressing up in a costume and trick-or-treating in their neighborhood can be a challenge. Traditional Halloween costumes often don't fit and the physical inaccessibility of neighborhoods leaves many children with disabilities home on that magical night. Imagine a place where every child who uses a wheelchair can not only trick or treat with their siblings and peers, but be the star of the evening in a unique costume designed specifically for them. In most communities around the country, this does not exist. In Harford County, Maryland it does.
Rachel Harbin in the Harford County Department of Community Services developed the region's first Wheelchair Costume Workshop, held at Ripken Stadium in October 2019. Over two days, more than 100 community volunteers designed, built and painted completely original costumes that fit securely on 12 children's wheelchairs. Once the costumes were fitted, the children joined over 300 children of all abilities for inclusive trick-or-treating at the stadium, providing an important example to the community that ALL children should be able to have fun, play with their peers, and enjoy Halloween! The Wheelchair Costume Workshop is an outstanding example of a public-private partnership—with over 30 local businesses and community organizations coming together to provide volunteers, donate building materials, and sponsor trick or treat stations.
Pledge Program
The Pledge Program was developed by Tara Lathrop in Harford County government's Office of Drug Control Policy and by the Harford County Sheriff's Office. The program for children ages 8 to 11 years old educates young people before they are exposed to substances and trains them to use refusal skills to resist drugs and alcohol. The interactive program incorporates guest speakers, including a doctor, an individual in recovery, and a parent who has lost a child to drug use. Children also have the opportunity to participate in role play scenarios with local high school theater students to experience mock-peer pressure and practice refusal skills. Another important component of the Pledge Program is the participation of parents and guardians. Parents and caregivers are provided topics to discuss with youth to continue the conversation at home and encourage discussion among family members. Since its inception in January 2019, the Pledge Program has partnered with five Harford County elementary schools with a total of 153 participants. Each participant received training and information that help expand their understanding of drugs and drug use in order to make positive and healthy choices in the future.
""Our community has been rocked by addiction and the overwhelming loss of life to opioid overdoses,"" Harford County Sheriff Jeffrey R. Gahler said. ""It isn't enough to lock up dealers, we must find a way to prevent the overdoses from occurring. When Sgt. Aaron Penman approached me with the idea of the Pledge Program, it was an easy 'yes' from me. We know that early intervention is the key to preventing drug use and this program offers us one more tool to prevention and reaching our most vulnerable population, our children. I am exceedingly proud of this program, our partnerships to get this accomplished, and for the young people who are so willing to participate and learn."""
6,/maryland/belair/harford-county-stage-2-reopening-continue-indoors-out,2020-06-11T18:30:39Z,"Harford Co. Stage 2 Reopening: Dining, Amusements",0,1,Elizabeth Janney,Patch Staff,"BEL AIR, MD — Harford County will follow the latest guidance within stage two of the state's reopening plan, which the governor outlined this week. Starting Friday night, indoor dining and outdoor amusements will be allowed. A week later, other businesses will be allowed to reopen, such as gyms and malls.
""I know that Harford County businesses are anxious to get started rebuilding their business,"" Harford County Executive Barry Glassman said in a statement. ""We will continue to interpret guidelines with as much flexibility as possible.""
Soon after Gov. Larry Hogan said the state would allow more services to reopen June 12 and June 19, Glassman released a statement of support.
""Harford County will continue reopening safely to the extent permitted by Gov. Hogan and will follow the additional steps allowed in Stage Two on the effective dates outlined in today's announcement,"" Glassman said in a statement Wednesday.
Indoor dining will be allowed at 5 p.m. on Friday.
Amusement parks, miniature golf courses, go-kart tracks and outdoor areas that are subject to the state's admission and amusement tax will be allowed to reopen at 5 p.m. Friday as well, according to the governor's guidance.
Which parts of the reopening are you looking forward to the most? Tell us in the comments!

These will reopen at 5 p.m. on Friday, June 19:
See Also:
"
7,/maryland/belair/bel-air-mva-office-reopen-monday-june-8,2020-06-08T01:02:31Z,Bel Air MVA Office To Reopen Monday,0,0,Elizabeth Janney,Patch Staff,"BEL AIR, MD — The Motor Vehicle Administration branch in Bel Air will reopen Monday as part of the stage two reopening plan in Maryland. It is one of 17 MVA offices that will open following the months-long closure due to the coronavirus.
Appointments are required to go to the MVA branches that are open to minimize the amount of people in the building at one time.
Those who had to reschedule appointments that had been canceled due to the closure are prioritized first. By order of the governor, the MVA shut down all branches to in-person services March 20. Although the governor enabled these to be extended due to the state of emergency, these cases are prioritized by the MVA first.
Gov. Larry Hogan ordered extensions for driver's licenses, ID cards, permits and registrations that expire March 12 through the state of emergency, and they will not expire until 30 days after the state of emergency is lifted. Currently the state of emergency remains in effect in Maryland.
These services will be available by making an appointment online: learner's permits, commercial driving tests, non-commercial driving tests, driver's license and identification card renewal and title work.
Here are the locations that will open Monday, June 8:
New requirements will be in place at the entryway, in the office itself and at each work station.
Before both customers and employees enter, they must participate in a brief health screening.
Plexiglass dividers will separate work stations inside the MVA office.

In the building, social distancing markers will indicate where people should stand to allow an adequate amount of space between one another.

""We are making the necessary adjustments to our procedures to ensure a healthy and safe environment for our employees and customers,"" MVA Administrator Chrissy Nizer said in a statement.
""We appreciate our customers' patience during the closure and look forward to providing premier customer service whether you complete a transaction through our eStore, kiosks, mail-in processes or in person at our branch offices,"" Nizer said.
People can renew registrations, change their address, make insurance compliance payments and get information on flag fees online at mva.maryland.gov.
Since it closed its offices in late March, the MVA reports it has processed more than 740,000 transactions online.
See Also:
"
8,/maryland/belair/town-bel-air-issues-notice-public-hearing-june-15,2020-06-05T23:32:07Z,Town of Bel Air Issues Notice Of Public Hearing,0,0,Press Release Desk,News Partner,"Press release from the Town of Bel Air:
June 3, 2020
Notice of Public Hearing
The Bel Air Board of Commissioners will hold a public hearing on Monday, June 15, 2020 at 7:30 p.m. to consider Resolution No. 1153-20, amending the Town of Bel Air Fee Schedule modifying the Sewer Fees, specifically the Harford County System Development Fee (collected by the Town of Bel Air on behalf Harford County) with a six percent increase. Due to the Coronavirus COVID-19 pandemic, the Public Hearing will be conducted via teleconference. Citizens may participate remotely either online or by telephone by calling: United States (Toll Free): 1 877 568 4106 or United States: +1 (312) 757-3129 and entering Access Code: 614-751-925. Copies of the Resolution and online access information, for the teleconference, are available on the town's website at www.belairmd.org.
Michael L. Krantz, Town Clerk
Please join my meeting from your computer, tablet or smartphone. https://www.gotomeet.me/MichaelKrantz/bel-air-board-of-commissioners-public-meeting
You can also dial in using your phone.
United States (Toll Free): 1 877 568 4106
United States: +1 (312) 757-3129
Access Code: 614-751-925
New to GoToMeeting? Get the app now and be ready when your first meeting starts: https://global.gotomeeting.com/install/614751925
This press release was produced by the Town of Bel Air. The views expressed here are the author's own."
9,/maryland/belair/harford-county-enters-phase-2-what-means,2020-06-05T21:03:18Z,Harford County Enters Phase 2: What That Means,0,0,Elizabeth Janney,Patch Staff,"HARFORD COUNTY, MD — Harford County moved into stage two of the state's reopening plan at 5 p.m. Friday, according to County Executive Barry Glassman.
In stage two, most businesses that were deemed nonessential can reopen, such as nail salons, real estate offices and law offices, among others. In addition, Harford Transit will begin taking requests for on-demand service.
""This is a gradual step forward for businesses with specifics posted on the governor's website,"" Glassman said in a statement.
As additional businesses open and services become available, Glassman said he and health officials were tracking the data around the coronavirus. Cases in Harford County are ""relatively low,"" Glassman said Friday.
""Locally, new cases and fatalities are trending downward; testing is increasing; hospital and ICU capacities appear adequate in case of a surge, and contact tracing is expanding,"" Glassman said. ""I continue to work closely with the Harford County Health Department as we monitor key metrics that guide our reopening to the extent permitted by Gov. Hogan.""
There are 939 confirmed cases of the virus in Harford County, according to state health officials. A total of 48 people have died from COVID-19, the disease caused by the virus, and three others are believed to have died from the virus, with test results pending.
""Two nursing homes continue to represent more than half of reported fatalities,"" Glassman said. There have been 26 resident deaths in congregate living facilities. He advised those of all ages to continue to keep 6 feet between one another.
""Everyone is encouraged to continue social distancing and wearing face masks inside public places,"" Glassman said. ""While some employees can return to work, the governor has urged those who can telework to continue doing so.""
Harford Transit will accept applications for on-demand services starting Monday, according to Glassman, in accordance with the state's plan for gradually reopening public transportation. Fixed-route service remains suspended until further notice.
See Also:"
