,url,Date,Title,Thank,Reply,author,title,context
0,/connecticut/bethwood/instructions-accessing-bethany-town-hall-during-reopening,2020-06-19T22:47:51Z,Instructions For Accessing Bethany Town Hall,1,0,Press Release Desk,News Partner,"From the Town of Bethany:
June 19, 2020
Click Here to Read a Notice to All Residents – Instructions for Town Hall Reopening
This press release was produced by the Town of Bethany. The views expressed are the author's own."
1,/connecticut/bethwood/bethany-board-assessment-appeals-meet-sept-12,2020-06-19T22:42:43Z,Board Of Assessment Appeals To Meet Sept. 12,0,0,Press Release Desk,News Partner,"From the Town of Bethany:
June 19, 2020
By Fran Doba
BOARD OF ASSESSMENT APPEALS
TOWN OF BETHANY
Town Hall – 40 Peck Road
Bethany, Connecticut 06524-3378
Telephone: (203) 393-2100 x1112
Fax (203) 393-0828
The Board of Assessment Appeals of the Town of Bethany will meet on Saturday, September 12, 2020 from 9:00 a.m. to 12:00 p.m., Bethany Town Hall, 40 Peck Rd. Bethany, CT. Pursuant to Connecticut General Statute 12-110 The Board of Assessment Appeals will meet for the sole purpose of hearing appeals related to the assessment of motor vehicles on the Grand List of October 1, 2019. Appeals will be heard on a walk-in basis.
If you have any questions concerning the Board of Assessment Appeals, please call the Assessor's office at
203-393-2100 ext. 1112.
Gary Ross, Chairman
Janet Brunwin
Nancy Spagnolo
Bethany Board of Assessment Appeals
This press release was produced by the Town of Bethany. The views expressed are the author's own."
2,/connecticut/bethwood/connecticut-state-rep-lezlye-zupkus-unanimously-endorsed,2020-05-25T02:55:40Z,State Rep. Lezlye Zupkus Unanimously Endorsed,0,0,Press Release Desk,News Partner,"Press release from the Office of State Rep. Lezlye Zupkus: Through a cheerful video nominating convention, State Representative Lezlye Zupkus was unanimously endorsed Tuesday night by delegates of the 89th Assembly District, which includes Bethany, Prospect and a portion of Cheshire.
In her acceptance speech, Zupkus pledged to help rebuild Connecticut back after the pandemic.

""The past few months have been unprecedented to say the least. As an elected official, it is my duty to keep the public as informed as possible, especially during a time like this. I have worked to do this through my email blasts, social media and mailings. We are in this together, and together we will get through this.""

When the legislature re-convenes for special session, we will need to help those working families who are struggling so mightily. And also make small businesses a priority because businesses that stay provide job opportunities.

Prospect resident Marie Delage provided her nominating speech in support of Lezlye during the 89thAssembly District convention.

In her speech, Lezlye also thanked the delegates for their trust and support, it is my honor to accept this nomination to continue to lead the residents of Bethany, Prospect and Cheshire residing in the 89th Assembly District.

During Lezlye's last term as state representative she helped stop a legislative proposal to force school districts to regionalize and halted a state budget proposal to shift the teacher pension costs to our local communities.

Zupkus has also been a voice in the fight against tolls, both a trucks-only, and all vehicle toll proposal and also fought a plan to raid out special transportation fund lock box. The fund was raided by $171 million by the governor last year.

Lezlye also opposed the 2019-2020 state budget that would have raised taxes on working families by $1.7 billion.
Zupkus is the Deputy Leader at large for the House Republicans

Lezlye wrapped up her speech saying she will continue to fight for a Connecticut where people can afford to live, businesses can thrive and our kids have the choice to raiser their families here.
This press release was produced by Office of State Rep. Lezlye Zupkus. The views expressed here are the author's own."
3,/connecticut/bethwood/center-road-tennis-courts-reopened,2020-05-22T22:30:29Z,Center Road Tennis Courts Reopened,0,0,Press Release Desk,News Partner,"From the Town of Woodbridge:
May 22, 2020
The Center Road tennis courts are now reopened. All COVID-19 social distancing rules must be followed at all times while playing tennis. Please call the Rec Department office if you would like to take out a permit.
This press release was produced by the Town of Woodbridge. The views expressed are the author's own."
4,/connecticut/bethwood/woolbridge-restaurants-may-apply-outdoor-seating,2020-05-22T22:29:15Z,Restaurants May Apply For Outdoor Seating,0,0,Press Release Desk,News Partner,"From the Town of Woodbridge:
May 22, 2020
An Executive Order from Governor Lamont allows restaurants to add or expand outdoor seating. To do so restaurants must fill out a zoning permit online and must comply with the State regulations regarding outdoor seating.
This press release was produced by the Town of Woodbridge. The views expressed are the author's own."
5,/connecticut/bethwood/woodbridge-town-offices-closed-public-noon-3-13,2020-03-13T15:03:23Z,Woodbridge Town Offices Closed to the Public as...,0,0,Betsy Yagla,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
First Selectman Beth Heller announced that starting at noon on Friday march 13 all Town buildings are closed to the public for the foreseeable future.
Municipal staff will continue to report for work as normal and residents who need to conduct Town business may do so online or via phone. Visit the Town website www.woodbridgect.org for a listing of departments and phone numbers.
Two exceptions: The Board of Assessment Appeals meeting scheduled for this evening, March 13, will go on as scheduled and the Board of Finance meeting on March 19 will go on, but without public comment.
Over the weekend the Town buildings will be deep cleaned.
""We are being proactive and not reactive, and we are taking steps to limit community spread in Woodbridge,"" said Heller. ""As a community, I ask residents to do their part by diligently washing hands, minimizing travel, and canceling or avoiding large gatherings. While these steps may seem drastic or disruptive to some it is our responsibility to protect our most vulnerable residents. We are all in this together.""
The Transfer Station is still open.
Residents are encouraged to conduct more business online or remotely:
*Residents who need to pay taxes may do so online with a credit card (a 2.5% fee is applied by the vendor). Residents may also access their income tax information on the Tax Collector's page of the Town website. Click ""check your tax payment status,"" enter your name and click the ""IRS payment record"" button.
*Starting April 1 all building permits will be available on the Town's website.
*Qualifying families in need of food assistance may call the Woodbridge Food and Fuel pantry at 203-389-3429.
*Library patrons who are sick with overdue books may call 203 389 3433 for a due date extension. Many Library services are available online including e-book checkouts and streaming movies via Kanopy.
*Voter registration for the Presidential Primary (to be held April 28) is available online for new voters at voterregistration.ct.gov. Unaffiliated voters may register with a party online until April 23 at 11:59 pm or via mail postmarked by April 23 or in person until noon on April 27. Voters affiliated with a party may not change their registration (deadline was Jan. 28).
*Absentee ballots may be requested through an online application.
*Land records at the Town Clerk's office are available online and land records may be recorded through the mail.
*Birth, death or marriage certificate copies may be requested online or through the mail.
*Staff are also working to accommodate public participation at the April 20 Preliminary Budget Hearing.
Visit the CDC website or the state website for the most up-to-date information: cdc.gov/coronavirus and ct.gov/coronavirus"
6,/connecticut/bethwood/woodbridge-prepares-coronavirus,2020-03-06T18:51:32Z,Woodbridge Prepares for Coronavirus,0,0,Betsy Yagla,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
First Selectmen Beth Heller convened a meeting for town and school staff to hear from the Quinnipiack Valley Health Department interim director regarding Coronavirus Disease (COVID 19) on March 4.
The First Selectman was joined by the superintendents and nursing staff from the Woodbridge and Amity school districts and representatives from the Police, Human Services and Registrars.
QVHD Interim Director Rick Matheney explained that QVHD is in regular contact with the State Department of Public Health and the federal Center for Disease Control.

If there are many cases in our area QVHD may recommend action to reduce exposure to COVID-19, and slow the disease's spread.
Additionally, First Selectman Heller has convened a follow-up meeting with Town department heads to review their department's specific needs and plans.
""I want our staff and residents to be as prepared as possible,"" said First Selectman Heller. ""I will continue to be in touch with the health district and share any updates or additional guidance as we receive it. In the interim I ask that anyone who is sick – staff or resident – to please stay home.""
Below are the CDC recommendations for prevention:
There is currently no vaccine to prevent coronavirus disease 2019 (COVID-19). The best way to prevent illness is to avoid being exposed to this virus. However, as a reminder, CDC always recommends everyday preventive actions to help prevent the spread of respiratory diseases, including:
Visit the CDC's website for updated information: https://www.cdc.gov/coronavirus/"
7,/connecticut/bethwood/logan-zupkus-talk-tolls-state-finances-office-hour,2020-01-10T20:53:48Z,"Logan, Zupkus Talk Tolls And State Finances",0,0,Press Release Desk,News Partner,"From the Connecticut General Assembly:
January 10 2020
Logan, Zupkus Talk Tolls and State Finances at Office Hour
BETHANY – State Senator George Logan (R-17) and State Representative Lezlye Zupkus (R-89) met with Bethany taxpayers at Clark Memorial Library on Jan. 8 to talk about the upcoming legislative session that starts on February 5th.
""I want to thank all the residents that came out to express their concerns and share their ideas about how we can better move our state forward,"" said Rep. Zupkus. ""Our state faces difficult fiscal problems and we need to address how we are spending our money in Connecticut. The legislature needs learn to say 'no' to extravagant state union contracts and wasteful state spending that leave taxpayers holding the bag. We don't need tolls or to raise taxes to fund our state government.""
Sen. Logan said, ""At meetings like this, we let Bethany taxpayers know that we are doing everything we can at the State Capitol to protect their wallets. Rep. Zupkus and I will not stop fighting On behalf of you, the taxpayers. We work for you. We're listening. It's an honor to be Bethany's voices in Hartford. Please feel free to contact us on any issue.""
The topics of discussion included tolls, state pension and benefit costs and the state's fiscal issues.
Recently, Comptroller Kevin Lembo announced that the state is headed to end the year with a $28 million budget deficit. The state budget that was passed this year was crafted by Governor Ned Lamont and legislative Democrats without input from Republican lawmakers.
In addition, Governor Lamont met with legislative Democrats this week to encourage them to call a special session to pass truck-only tolls.
Both Logan and Zupkus have been vocal opponents of tolls and believe truck-only tolls will just be the beginning and will lead to tolls on both cars and trucks, taking more money out of the pockets of Bethany taxpayers.
This press release was produced by the Connecticut General Assembly. The views expressed here are the author's own."
8,/connecticut/bethwood/bethany-officials-host-office-hours,2020-01-02T10:30:00Z,Bethany Officials to Host Office Hours,0,0,Press Release Desk,News Partner,"From CT Government: State Representative Lezlye Zupkus (R-89) and State Senator George Logan (R-17) along Bethany First Selectwoman Paula Cofrancesco will be hosting a Bethany Office Hours for town residents on Wednesday, January 8th at Clark Memorial Library.
* WHAT: Legislative Office Hours
* WHEN: Wednesday, January 8th 5:30 pm - 6:30 pm
* WHERE: Clark Memorial Library on 538 Amity Road in Bethany
The legislators want to hear from their constituents and encourage them to talk about any issues, questions or concerns related to state government. Residents are encouraged to bring their ideas forward for possible consideration.
The 2020 Legislative Session begins on February 5th.
For more information, contact Representative Zupkus at: 800-842-1423 or Lezlye.Zupkus@housegop.ct.gov or Senator Logan at: 800-842-1421 or George.Logan@cga.ct.gov.
The press release was produced by CT Government . The views are the author's own."
9,/connecticut/bethwood/woodbridge-council-consider-three-new-ordinances,2019-12-16T19:06:13Z,Woodbridge Council To Consider 3 New Ordinances,0,0,Chris Rhatigan ,Patch Staff,"Information via First Selectman Beth Heller
WOODBRIDGE, CT — The Board of Selectmen voted to set the dates for three proposed new ordinances. At the January 8 Board of Selectmen meeting there will be a public hearing regarding a revision to the Blight Ordinance, a revision to the Stormwater Management Ordinance and an ordinance to create an Agricultural Commission. After the public hearing, if the Board votes to approve the ordinances they will be in effect 30 days later."
