,url,Date,Title,Thank,Reply,author,title,context
0,/new-jersey/bloomfield/see-average-property-tax-bill-bloomfield,2022-02-01T15:39:54Z,Property Taxes In Bloomfield: See The 'Average'...,0,0,Eric Kiefer,Patch Staff,"BLOOMFIELD, NJ — Bloomfield has the 137th highest average property taxes in New Jersey, according to a recent report from the state Department of Community Affairs.
Every year, the department releases property tax statistics for each town and city in New Jersey, including Bloomfield. There were 565 municipalities on this year's list. Read More: See How Every NJ Towns Ranks For Property Taxes On New List
The average residential property tax in Bloomfield in 2021 was $11,064 for a home valued at $352,041. That's a $176 increase from 2020 – a difference of 1.6 percent.
Property taxes in New Jersey are made up of three parts: school, municipal and county. Here's how that broke down in Bloomfield last year:
As a state, New Jersey routinely ranks among the highest in the nation when it comes to property taxes. Last year, four of the seven counties with the highest median payments in the U.S. were located in New Jersey.
Taxes and home values have gone up steadily throughout the state over the past decade, regardless of what political party is in power. When former Gov. Chris Christie and the state Legislature reached a historic deal for a 2 percent cap in 2011, the average property tax bill in New Jersey was at $7,759 for a home valued at $299,014, not including credits or deductions. By the time Gov. Phil Murphy began his first term in 2018, the average property tax payment had risen by 13 percent.
The numbers have continued to rise during Murphy's tenure. According to the latest figures, the average property tax in New Jersey was $9,284 for a home valued at $335,623 in 2021, not including credits and deductions. Those numbers were up 1.9 percent from 2020, when they stood at $9,112 for a home valued at $330,578.
Send local news tips and correction requests to eric.kiefer@patch.com
Sign up for Patch email newsletters. Learn more about posting announcements or events to your local Patch site. Don't forget to visit the Patch Bloomfield Facebook page."
1,/new-jersey/bloomfield/bloomfield-township-bloomfield-releases-information-regarding-imp-nodx,2022-01-29T14:50:06Z,Bloomfield Township: Bloomfield Releases...,0,0,Press Release Desk,News Partner,"Press release from the Bloomfield Township:
January 28, 2022
BLOOMFIELD, NJ –  As a result of the impending snow storm, the Township of Bloomfield is releasing the following information.  The Township is asking that residents remove their cars from the street by 7pm on Friday in order to ensure that the streets can be properly plowed. Because of the storm, garbage pickup for Saturday has been canceled and the recycling depot at the DPW will be closed.  ""With Bloomfield expected to get a significant amount of snow tonight into tomorrow, we are asking that residents stay off the roads if possible to avoid any potential accidents,"" said Mayor Venezia. ""We are also asking that residents remove their cars from the streets so that our plows can clear the snow.""  Vehicles that are not moved from designated snow streets may be towed. Residents that need a place to park their cars may do so in any Bloomfield Public School lot or any recreation lot. Additionally, the Glenwood Garage will have fees suspended from 9pm Friday to noon Saturday. Please note there are limited parking spots available in the Glenwood Garage.  The Office of Emergency Management will be activated to take calls beginning at midnight related to this snowstorm and can be reached at 973-680-4177. For all other emergencies contact 911.  Updates will be on the township website and Facebook page throughout the storm. 
This press release was produced by the Bloomfield Township. The views expressed here are the author's own."
2,/new-jersey/bloomfield/redistricting-bloomfield-see-local-changes-voters-map,2022-01-21T19:19:56Z,Redistricting In Bloomfield: See Local Changes...,0,2,Eric Kiefer,Patch Staff,"BLOOMFIELD, NJ — The state's latest round of congressional redistricting continues to cause changes for future elections in Bloomfield, especially those who live in the first and second wards.
Every decade, the process of ""redistricting"" tweaks Congressional lines throughout New Jersey. And this year, the state's new map is shaking things up for several towns and cities – including Bloomfield.
The New Jersey Congressional Redistricting Commission recently released its new map of districts, which can be seen here. Read more about the process and purpose of redistricting here.
According to the map released by the commission, Bloomfield will be moving entirely to the 11th District, which is represented by Rep. Mikie Sherrill, a Democratic Party member.
The town has been split between the 11th District and the 10th District, which is represented by Rep. Donald Payne Jr., also a Democrat.
On Friday, Bloomfield town officials released a ward map, breaking down the new boundaries on a local level. See it online here.
Notably, district 1-12 has been moved to the second ward, while district 3-14 has been moved to the first ward, officials said.
For more information on these changes, contact the municipal clerk's office at 973-680-4015. Polling locations for the next election will be made available in coming weeks, Bloomfield officials said.
""After this change to our ward maps, I encourage residents to check and make sure they know their ward and district,"" Mayor Michael Venezia said. ""Knowing what district and ward you live in is important to understand who your representative on the council is and where you vote.""
""As Bloomfield continues to grow and thrive, it becomes necessary to shift the composition of our wards so that everyone has proper representation,"" First Ward Councilwoman Jenny Mundell said. ""The first ward is a wonderful place to live and I can't wait to hear from the new residents of our ward.""
""To the new residents of the second ward I would like to welcome you and to let you know that I am always here to assist you in any way that I can,"" Second Ward Councilman Nicholas Joanow said. ""I look forward to meeting you in the near future at one of our regular community meetings that take place throughout the year.""
Send local news tips and correction requests to eric.kiefer@patch.com
Sign up for Patch email newsletters. Learn more about posting announcements or events to your local Patch site. Don't forget to visit the Patch Bloomfield Facebook page."
3,/new-jersey/bloomfield/bloomfield-council-meeting-will-be-virtual-due-coronavirus,2022-01-18T17:09:14Z,Bloomfield Council Meeting Will Be Virtual Due...,0,0,Eric Kiefer,Patch Staff,"BLOOMFIELD, NJ — In an effort to prevent further spread of COVID-19, the meeting of the Bloomfield Town Council on Monday, Jan. 24 will be closed to the general public. The meeting will be streamed live for those at home, officials said.
Bloomfield township officials released the following advisory about the meeting:
Send local news tips and correction requests to eric.kiefer@patch.com
Sign up for Patch email newsletters. Learn more about posting announcements or events to your local Patch site. Don't forget to visit the Patch Bloomfield Facebook page."
4,/new-jersey/bloomfield/bloomfield-township-virtual-mlk-day-celebration-today-4-p-m-vi-nodx-20220117,2022-01-17T14:50:16Z,Bloomfield Township: Virtual MLK Day...,0,0,Press Release Desk,News Partner,"Press release from the Bloomfield Township:
January 17, 2022
Please join Mayor Venezia and the Town Council, along with Congresswoman Mikie Sherrill and Dr. Khalila Brown-Dean, Associate Provost and Professor of Political Science at Quinnipiac University, for a virtual MLK Day Celebration today at 4 p.m. via Zoom.  
Essay Awards will be presented by the Bloomfield Commission on Civil Rights and community service awards will be presented to the @Bloomfield Educational Foundation, @Bloomfield MLK Season of Service Committee, @Bloomfield Pride, and @Neighbor to Neighbor Network.
https://tinyurl.com/MLK-Jr-Day-Celebration
This press release was produced by the Bloomfield Township. The views expressed here are the author's own."
5,/new-jersey/bloomfield/bloomfield-area-unemployment-rate-improves-new-update-nodx-20220114,2022-01-14T20:52:23Z,Bloomfield-Area Unemployment Rate Improves: New...,0,0,Local Data,Patch Staff,"BLOOMFIELD, NJ — Job growth slowed near the end of 2021, but the country is within striking distance of pre-pandemic unemployment levels, according to the U.S. Bureau of Labor Statistics' December jobs report.
Nationally, employment rose by 199,000 jobs in December, and the unemployment rate dropped by 0.3 percentage points to 3.9 percent when seasonally adjusted, according to the BLS. The total number of jobs added was the lowest of any month in 2021; however, the BLS tends to revise job estimate figures upward in subsequent months.
The national unemployment rate dropped by 2.8 percentage points over the course of 2021 and continued to move closer to the pre-pandemic rate of 3.5 percent.
The latest available local unemployment figures are for November; that rate improved since October in the Bloomfield area and continues to be lower than it was after the pandemic first struck.
The Essex County unemployment rate was 6.7 percent in November, down from 7 percent in October. That reflected significant improvement from November 2020, when the unemployment rate stood at 12.5 percent.
The November unemployment rate in Essex County was higher than the New Jersey rate of 5.3 percent, according to the latest figures from the BLS.
Nationally, average hourly earnings increased by 19 cents per hour from November to December, up to $31.31, according to the BLS. Average hourly earnings increased 4.7 percent in 2021.
Some experts predict January and possibly February hiring will slow down due to the omicron coronavirus variant, according to The New York Times.
The leisure/hospitality industry continued to add jobs, with a net gain of 53,000 positions in December. Still, employment in the industry is down by 1.2 million positions, or 7.2 percent, since February 2020.
The BLS also revised previous national monthly employment figures upwards; October's total job growth was revised by 102,000 positions, for a total growth of 648,000. November's job growth went up an additional 39,000 positions to a total of 249,000.
Editor's note: This post was automatically generated using data from the U.S. Department of Labor's Bureau of Labor Statistics Local Area Unemployment Statistics (LAUS) program. National figures are seasonally-adjusted, while county and state figures are not seasonally adjusted. November's figures are preliminary. Please report any errors or other feedback to content@patch.com."
6,/new-jersey/bloomfield/bloomfield-township-bloomfield-fire-department-takes-part-nata-nodx-20220111,2022-01-11T14:50:19Z,Bloomfield Township: Bloomfield Fire Department...,0,0,Press Release Desk,News Partner,"Press release from the Bloomfield Township:
January 10, 2022
  BLOOMFIELD, NJ – Recently, the Bloomfield Fire Department took part in NATAL resilience training facilitated by Bloomfield firefighter Oscar Morales. NATAL was established in 1998 as a comprehensive trauma treatment and resiliency training organization in Israel, whose mission is to address the prevalent problem of psychological trauma related to terrorism and war. 
  ""The Bloomfield Fire Department has done an exceptional job at always being proactive and ensuring that its members always have the training and skills necessary to deal with whatever they may encounter,"" said Mayor Michael Venezia. ""NATAL is a tremendous resource for the men and women in our Fire Department that put their lives on the line to keep our community safe.""   Oscar Morales, a Bloomfield firefighter since September 2014, is a trained facilitator/instructor for NATAL: Israel Trauma & Resiliency Center UASI – Urban Area Security Initiative, New Jersey. He has been facilitating the resilience training over the past few weeks to help educate the department and his first responder peers on ways to deal with underlying stress and psychological trauma caused by responding to the emergencies within their community. The class is designed to help the first responders understand resilience and ways to implement positive coping strategies and tactics to deal with stress and trauma.   With multiple programs, 250 therapists, and 180 highly trained volunteers throughout the country, NATAL is an apolitical nonprofit organization. While NATAL's work began in Israel, its mission resonates worldwide. In recent years, NATAL has been called upon to deliver its expertise to at-risk communities and populations outside of Israel. As part of that, NATAL has led and participated in groundbreaking work to assist American wounded warriors dealing with PTSD, as well as providing first responder resilience training.   ""I would like to commend one of our own firefighters Oscar Morales for the work that he has done to teach valuable coping skills to our members through this groundbreaking program,"" said Chief Lou Venezia. ""Being a firefighter can be psychologically difficult and it is imperative that we have the necessary tools to deal with the potentially negative side effects that come with the territory.""
  This program is made possible through the Urban Areas Security Initiative (UASI) program in order to enhance regional preparedness in major metropolitan areas. The UASI program provides funding to address the unique multi-discipline planning, operations, equipment, training and exercise needs of high-threat, high-density urban areas. UASI assists in building and sustaining capabilities related to terrorism prevention, protection, mitigation, response, and recovery.
This press release was produced by the Bloomfield Township. The views expressed here are the author's own."
7,/new-jersey/bloomfield/nj-redistricting-will-impact-future-elections-bloomfield,2021-12-27T22:05:14Z,NJ Redistricting Will Impact Future Elections...,0,0,Eric Kiefer,Patch Staff,"BLOOMFIELD, NJ — Every decade, the process of ""redistricting"" tweaks Congressional lines throughout New Jersey. And this year, the state's new map is shaking things up for several towns and cities – including Bloomfield.
Last week, the New Jersey Congressional Redistricting Commission released its new map of districts, which can be seen here. Street-level maps of the new districts aren't available yet on the commission's website. See related: NJ Democrats Win Tug Of War Over Redistricting Map
Read more about the process and purpose of redistricting here. See demographics of each district broken down by race here.
According to the map released by the commission – which still needs to be certified – Bloomfield will be moving entirely to the 11th District, which is represented by Rep. Mikie Sherrill, a Democratic Party member.
The town has been split between the 11th District and the 10th District, which is represented by Rep. Donald Payne Jr., also a Democrat.
Send local news tips and correction requests to eric.kiefer@patch.com
Sign up for Patch email newsletters. Learn more about posting announcements or events to your local Patch site. Don't forget to visit the Patch Bloomfield Facebook page."
8,/new-jersey/bloomfield/nj-tackles-3-hot-button-policing-issues-new-directives,2021-12-14T17:16:13Z,NJ Tackles 3 Hot-Button Policing Issues With...,1,0,Eric Kiefer,Patch Staff,"NEW JERSEY — New Jersey's attorney general has rolled out new, statewide directives that tackle three, hot-button policing issues: no-knock warrants, filming cops and diversity in hiring.
Last week, Acting Attorney General Andrew Bruck released details about a series of new policies that he said will ""reinforce New Jersey's position as a national leader in the policing profession."" See full details about each below, and read a summary here.
They include:
The new policies have seen support from several law enforcement groups and community organizations, including the American Civil Liberties Union (ACLU-NJ), County Prosecutors Association of New Jersey (CPANJ), Latino Action Network (LAN), Muslim American Law Enforcement Association (MALEA), National Action Network (NAN), New Jersey Institute for Social Justice (NJISJ), New Jersey Muslim Officers Society (NJMOS), New Jersey State Association of Chiefs of Police (NJSACOP), New Jersey Women in Law Enforcement (NJWLE), National Organization of Black Law Enforcement Executives (NOBLE), and State Troopers Fraternal Association (STFA).
The directives also picked up a thumbs-up from Gov. Phil Murphy, who called them a ""tremendous step forward.""
""They will build public trust and better reflect the diversity of the communities they protect and serve, underscoring our administration's commitment to transparency, racial equity, and justice in our policing practices,"" Murphy said.
Colonel Patrick Callahan, superintendent of the New Jersey State Police, also supported the attorney general's new policies.
""As our country continues to evolve, New Jersey remains at the forefront of transparent policing by implementing policies that help reinforce the trust between law enforcement and our residents,"" Callahan said.
""New Jersey is a national leader on policing issues, and the three policies we are issuing today reaffirm our commitment to excellence,"" Bruck said. ""But what makes the Garden State special is that we develop policing policies collaboratively, by engaging law enforcement and community members alike, as we work to promote public trust and protect public safety.""
Bruck released the following details about each of the new directives.
AG Directive 2021-12: Regulating ""No-Knock"" Warrants - This directive provides common-sense regulations on both no-knock and knock-and-announce warrants that will promote officer and civilian safety.
Instructs law enforcement to take reasonable steps to identify the occupants of the premises to be searched, including any children or individuals with known vulnerabilities, prior to warrant execution.
AG Directive 2021-11: First Amendment Right to Observe, Object to, and Record Police Activity - In order to continue building better relationships between communities and police, this directive outlines as clearly as possible a bystander's right to observe, object to, and record police activity under the First Amendment, as well as its limitations.
AG Guidelines: Promoting Diversity in Law Enforcement Recruiting and Hiring - A 2020 law, N.J.S.A. 52:17B-4.10 (the ""Act""), directed the attorney general to develop guidelines to ensure the act's uniform application. The guidelines include the following:
According to Bruck:
Send news tips and correction requests to eric.kiefer@patch.com
Sign up for Patch email newsletters. Learn more about posting announcements or events to your local Patch site."
9,/new-jersey/bloomfield/menendez-urges-biden-nix-student-loan-debt-deadline-looms,2021-12-08T20:08:12Z,Menendez Urges Biden To Nix Student Loan Debt...,0,1,Eric Kiefer,Patch Staff,"NEW JERSEY — U.S. Sen. Bob Menendez continues to call on President Joe Biden to ""cancel student loan debt."" And with a pandemic-inspired deferment period set to expire at the end of January, time is running out before more than a million people across New Jersey are again walloped by payments they can't afford, he says.
On Tuesday, Menendez – who has been a vocal supporter of nixing student loan debt for millions of Americans – repeated his plea to Biden, urging the president to cancel student loan debt up to $50,000.
According to Menendez, Biden wouldn't need Congress to make such a move happen if he uses his executive authority through the Higher Education Act of 1965.
The senator's renewed call to action comes as an emergency deferment period put in place in March 2020 approaches its expiration date: Jan. 31, 2022.
Menendez isn't alone. This week, groups including Public Citizen, the Student Debt Crisis Center and the Student Borrower Protection Center are hosting a ""Week of Action"" to push for federal student loan cancellation.
According to Lending Tree, there are an estimated 1.3 million borrowers in New Jersey holding $48.8 billion in public and private student loan debt, with an average balance of more than $33,000 or bills of $310 per month on average. More than 43 million Americans hold a combined $1.6 trillion in federal student loan debt, with more than 9 million borrowers in default.
""For many New Jerseyans, particularly people of color, crippling student loan debt has turned the promise of a college education into a financial burden that plagues them for decades,"" Menendez said.
""That financial nightmare existed long before the COVID-19 pandemic laid bare the deep disparities that exist for communities of color and low-income communities,"" he continued. ""For far too long, incomes have failed to keep pace with the rising cost not only of education but also health care, housing, child care, and other basic living expenses.""
""When you're barely keeping your head above water, it is nearly impossible to make a dent in your student loan principal,"" Menendez emphasized.
Some experts have criticized the drive to cancel student loan debt.
The bipartisan Committee for a Responsible Federal Budget recently argued that canceling student loan debt would be a poor stimulus to the economy. Researchers said that while student loan forgiveness would increase cash flow by $90 billion per year, it would come at a cost of $1.5 trillion.
""Simply extending the current executive action to defer loan repayments and cancel interest would achieve much of the economic benefit of loan cancellation at only a very small fraction of the cost,"" the committee's report states.
But according to Menendez, bolder moves are needed to level a playing field that's been unfair for far too long.
""Student loan forgiveness has the power to unleash a wave of consumer-driven growth in this country — and President Biden does not need Congress to do it,"" Menendez said. ""The time is now for the president to use his authority to cancel up to $50,000 in student loan debt. This relief would transform the lives of millions of Americans, especially poor, low-income and minority communities, narrow the racial wealth gap, and provide a much-need shot in the arm to our economy.""

Send news tips and correction requests to eric.kiefer@patch.com
Sign up for Patch email newsletters. Learn more about posting announcements or events to your local Patch site."
