,url,Date,Title,Thank,Reply,author,title,context
0,/vermont/burlington-vt/mayor-hud-announce-award-more-3-6-million-burlington-lead-program,2020-11-11T16:09:41Z,"Mayor, HUD, Announce Award Of More Than $3.6...",0,0,Press Release Desk,News Partner,"From the City of Burlington:
November 9, 2020
Mayor Miro Weinberger and the U.S. Department of Housing and Urban Development (HUD) today announced that HUD has awarded more than $3.6 million to the City of Burlington to help protect low-income children and families from lead-based paint and home health hazards. The announcement took place at a home that is enrolled in the Burlington Lead Program.
With this funding, the City's Burlington Lead Program will be able to address lead hazards in 110 homes that are occupied by low- and very low-income families with children. The program also will use this funding to conduct education, outreach, workforce development, and capacity-building within Burlington and Winooski, and leverage local resources to further protect the community from lead poisoning.
""All Burlington families deserve homes that are safe, healthy, and affordable,"" said Mayor Miro Weinberger. ""Our Burlington Lead Program is a critical part of the City's work to make that vision of a reality, and this award means that that work will continue. With this funding, the lead program team will keep working to prevent childhood lead poisoning, and also expand the scope of our program to address other housing safety and health issues faced by the most vulnerable members of our community. I am grateful to HUD for this award, to Vermont's federal delegation for their support, and to CEDO and our Burlington Lead Program team for creating safer homes for Burlington families.""
""A healthy start at home translates to a successful life outside of the home,"" said David Tille, HUD New England Regional Administrator. ""We congratulate Mayor Weinberger and his team for their outstanding work to eradicate lead paint in Burlington homes. HUD is proud to be your partner in making Burlington homes safe for families and their kids.""
""Lead paint is a dangerous and invisible toxin that often hits us where we live: in our homes,"" said Senator Patrick Leahy. ""I've been glad to partner with Burlington and other communities to make lead removal a priority. With the hard work of organizations like the Burlington Lead Program, its risk to children and families can be avoided. During this pandemic, we all are spending more time at home. Vermont has one of the oldest housing stocks in the country, and this funding is more important than ever to help ensure that people living in housing built before 1978 stay safe and healthy.""
""Burlington is full of historic homes with character, but every resident deserves to know that their house is safe from poisonous chemicals like lead that have not been used for many years,"" said Congressman Peter Welch. ""This award is wonderful news for the Burlington Lead Program to continue their mission of protecting families and children from exposure to lead in their homes.""
""Lead dust is invisible and causes the most harm in children's growing bodies,"" said Margaret Williams, Coordinator of the Burlington Lead Program. ""Our program works to keep children safe from hazards that may be in their home by replacing windows, stabilizing paint, and other needed treatments. I invite members of the community to reach out to the Burlington Lead Program with any questions or concerns about home hazards, and our program currently is accepting applications.""
Funding Breakdown
The funding is made up of $3,093,992 from the Lead Based Paint Hazard Reduction (LBPHR) Grant Program and $530,000 in Healthy Homes Supplemental Funding, and is part of HUD awards of $165 million across 44 state and local government agencies in 23 states, which will improve over 14,000 homes. The LBPHR program is designed to identify and clean up dangerous lead in low-income families' homes, and the Healthy Homes Supplemental Funding is designed to help communities with housing-related health and safety hazards in addition to lead-based paint hazards.
Click here to read more.
This press release was produced by the City of Burlington. The views expressed here are the author's own."
1,/vermont/burlington-vt/burlington-mayor-updates-his-call-vigilance-response-rising-coronavirus-case,2020-11-09T20:25:52Z,Burlington Mayor Updates His Call For Vigilance...,0,0,Press Release Desk,News Partner,"From the City of Burlington:
November 9, 2020
As Covid-19 cases remain high in Burlington and Chittenden County, Mayor Miro Weinberger today extended his call for Burlingtonians to exercise extra caution and shared key updates.
""Since Friday we have seen even more indications of elevated virus risk right now in Burlington and throughout much of Vermont,"" said Mayor Miro Weinberger. ""Now is a time to avoid high-risk activities, and to follow the Department of Health's new guidance on social gatherings and testing. As in earlier stages of this pandemic, we can keep the spread of the virus in check if we work together and exercise vigilance.""
Mayor Weinberger also shared the following key updates:
Burlingtonians are invited to discuss this next stage of our response to the pandemic in a Telephone Town Hall meeting on Tuesday at 5:30 pm. Mayor Weinberger, Vermont Department of Health Commissioner Dr. Mark Levine, and UVM Medical Center President and COO Dr. Stephen Leffler will discuss how to assess risk, what Burlingtonians should keep in mind as they're making holiday plans, and other key topics, and also take as many questions as they can from callers. Find the full details and RSVP on the event page.
This press release was produced by the City of Burlington. The views expressed here are the author's own."
2,/vermont/burlington-vt/veterans-active-duty-military-members,2020-11-09T14:00:00Z,Veterans And Active Duty Military Members,0,0,Elizabeth Newport,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Every year on Veterans Day, we honor the people who risk their lives to protect our country. Our disability program is an important part of our obligation to wounded warriors and their families.
Social Security is an important resource for military members who return home with injuries. If you know a wounded veteran, please let them know about our Wounded Warriors webpage. You can find it at www.ssa.gov/woundedwarriors.
The Wounded Warriors webpage answers many commonly asked questions, and shares other useful information about disability benefits, including how veterans can receive expedited processing of their Social Security disability claims. Benefits available through Social Security are different from those from the Department of Veterans Affairs and require a separate application.
We apply our expedited process for military service members who become disabled while on active military service on or after October 1, 2001, regardless of where the disability occurs."
3,/vermont/burlington-vt/social-security-important-women,2020-11-02T14:00:00Z,Social Security Is Important For Women,0,0,Elizabeth Newport,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
In November, we show gratitude for the many things we are thankful for throughout the year. Family usually tops the list. The strong women in our lives are one of the central figures we appreciate.
More women in the 21st century work, pay Social Security taxes, and earn credit toward monthly retirement income than at any other time in our nation's history. Yet, on average, women face greater economic challenges in retirement than men.
The majority of the people receiving Social Security benefits are women. Women generally live longer than men while often having lower lifetime earnings. And women may reach retirement with smaller pensions and other assets compared to men. These are three key reasons why Social Security is vitally important to women.
If you've worked and paid taxes into the Social Security system for at least 10 years, and have earned a minimum of 40 work credits, you may be eligible for your own benefits. Once you reach age 62, you may be eligible for your own Social Security benefit whether you're married or not and whether your spouse collects Social Security or not. If you're eligible and apply for benefits on more than one work record, you generally receive the higher benefit amount."
4,/vermont/burlington-vt/feds-approve-new-sound-mitigation-program-homes-near-burlington-airport,2020-10-29T21:19:12Z,Feds Approve New Sound Mitigation Program For...,0,0,Press Release Desk,News Partner,"From the City of Burlington:
October 29, 2020
Today, Mayor Miro Weinberger announced a partnership between the Burlington International Airport and VGS in which the utility will provide the local match for the BTV Sound Mitigation Program, closing the gap needed to apply for $4.5 million in federal funds for soundproofing in 2021, and without any impact on the general funds of the communities around the Airport. Mayor Weinberger was joined at the announcement by South Burlington Council Chair Helen Riehle, Winooski Mayor Kristine Lott, and VGS President and CEO Neale Lunderville.
""From my first days in this office, one of my top goals for the Airport has been to put the millions of dollars that we receive from the federal government into improving homes instead of tearing them down,"" said Mayor Weinberger. ""Today we're announcing that we've nearly turned around the ocean liner, and are now on a route that should eventually make hundreds of homes in Winooski, Burlington, and South Burlington more energy efficient, comfortable, and quiet in the years to come. I'm grateful to Mayor Lott and Chair Riehle for the collaboration that brought us to this point, and to VGS for coming to the table with an innovative and impactful solution. I also want to thank Vermont's federal delegation for their work to secure vital federal funds, and the Airport team, with leadership from Nic Longo, for their tireless work to get to this outcome.""
Through the partnership, VGS will use Energy Efficiency Utility (EEU) funds to provide the 10 percent local match that is required to secure federal funding for the program. Starting in 2021, VGS is prepared to commit $550,000 in EEU funds to provide the local match for $4.5 million in federal funds. The years of 2021 and 2022 will be considered pilot years during which the program will be launched and adjusted as necessary, and VGS and the airport will work together to lay the groundwork for investment at similar levels in the years to follow. The Airport's previous FAA noise mitigation program was in place for 30 years, and it is expected that the new program also could be in place for a decade or more.
""Weatherization is a cornerstone strategy for achieving both Vermont's and VGS's bold climate goals,"" said Neale Lunderville, President and CEO of VGS. ""By pairing up weatherization and soundproofing, we help reduce our customers' carbon footprint, lower their monthly costs, and make their homes more comfortable. This innovative approach demonstrates the value of partnership and collaboration, and is the kind of thinking we need to fight climate change in the years ahead. I applaud our community leaders for their unwavering commitment to make this project a reality.""
""I welcome the collaborative approach and partnership that Burlington International Airport and Vermont Gas Systems are bringing to sound insulation efforts affecting the surrounding communities,"" said Senator Patrick Leahy. ""As Vice Chairman of the Senate Appropriations Committee, I will continue to do my part by advocating for the necessary federal funding for the FAA's Airport Improvement Program that supplies grants in support of those activities."" John Tracy, State Director for the Office of Senator Leahy, shared remarks at the announcement.
The Airport and VGS have signed a Letter of Intent, and now will be seeking further approvals. As an immediate next step, VGS will work with the Airport and the Airport's sound consultant, the Jones Payne Group, to continue planning for the rollout of the sound program. The pilot program will enable the design and construction of soundproofing for an estimated 10-12 homes in 2021, and position the Airport to apply for federal funds to design soundproofing for 50 homes in 2021, construct soundproofing for those homes in 2022, and continue serving a similar number of homes in the years to follow.
This partnership follows other recent advances in noise mitigation, most notably, a $3.49 million federal appropriation that did not require a local match for soundproofing and HVAC upgrades at Chamberlin Elementary School in South Burlington. The design of this project is currently underway, with construction anticipated to start in summer 2021.
New BTV Sound Mitigation Program Received Federal Approval on October 16, 2020
The partnership follows the recent approval of the new BTV Sound Mitigation Program earlier this month by the Federal Aviation Administration.
Previously, the Airport operated under a sound program that was in place from 1989 to 2019, which followed a model of acquiring and demolishing impacted homes as its primary noise mitigation measure.
The new program, which has been in development for several years, was formally approved on October 16, 2020, and adopts sound insulation as the primary noise mitigation measure. Under this program, the Airport will work with homeowners to determine if they qualify, and if they do, will then plan for and construct replacements of windows and doors, and in some circumstances, air conditioning and air sealing.
Partnership Follows Breakthrough Agreement between Burlington, South Burlington, and Winooski
The partnership follows two years of discussions and negotiations between the cities of Burlington, South Burlington, and Winooski, that improved strained municipal relations on Airport issues and culminated in a memorandum of understanding (MOU) that Mayor Weinberger, Councilor Riehle, and Mayor Lott agreed to in the winter of 2020, and were on track toward finalizing when the process was interrupted by the pandemic. The MOU committed the municipalities to collaboration on multiple fronts including finding a source for the local match that is not the general funds of the three communities, and to work with local utilities to maximize weatherization money. Though the MOU is not yet finalized, the partnership with VGS flows directly from the work that led to this agreement.
""South Burlington has been committed to finding a way to preserve and improve housing affected by the military mission at BTV,"" said South Burlington Council Chair Helen Riehle. ""We have been very vocal at times and determined to achieve noise mitigation. This partnership is a real start and a classic example of the 'Vermont Way' — don't give up, talk through the differences, find a creative approach that works for all, collaborate with interested parties, and voila, you find a path forward! The City of South Burlington is pleased and looks forward to moving ahead.""
""The City of Winooski has prioritized preservation of quality affordable housing throughout this process,"" said Winooski Mayor Kristine Lott. ""We're very pleased to see this kind of collaboration that can bring joint benefits of both sound insulation and weatherization to many of our residents. This is a great start and I look forward to continued collaboration in the effort to fund mitigation for as many homes as we can as quickly as possible.""
That Memorandum of Understanding followed, in 2019, the Airport releasing an updated Noise Exposure Map that identified 2,640 homes in South Burlington, Williston, Winooski, Colchester, and Burlington that are within the contour lines of 65-plus decibels, and therefore may be eligible for Federal Aviation Administration funds for sound mitigation through the Airport Improvement Program.
""For over 30 years, BTV has committed to participating in the voluntary Federal Aviation Administration (FAA) sponsored Part 150 program that assesses and quantifies noise impacts from aircraft noise, which aids in the development of the Noise Compatibility Program (NCP) to minimize those impacts,"" said Gene Richards, Director of Aviation at Burlington International Airport. ""This partnership with VGS illustrates how the Airport has worked with diverse partners. The Airport is grateful for VGS' commitment to generating a win-win for our community.""
For additional information, please see:

This press release was produced by the City of Burlington. The views expressed here are the author's own."
5,/vermont/burlington-vt/understanding-social-security-survivors-benefits-0,2020-10-29T13:00:00Z,Understanding Social Security Survivors Benefits,0,0,Elizabeth Newport,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
We are here for surviving family members when a worker dies. In the event of your death, certain members of your family may be eligible for survivors benefits. These include widows and widowers, divorced widows and widowers, children, and dependent parents.
The amount of benefits your survivors receive depends on your lifetime earnings. The higher your earnings, the higher their benefits. That's why it's important to make sure your earnings history is correct in our records. You can do this by creating a personal my Social Security account at www.ssa.gov/myaccount. A my Social Security account is secure and gives you immediate access to your earnings records, Social Security benefit estimates, and a printable Social Security Statement to see an estimate of survivors benefits we could pay your family."
6,/vermont/burlington-vt/anew-place-closes-purchase-champlain-inn-temporary-low-barrier-housing,2020-10-27T00:43:15Z,ANEW Place Closes On Purchase Of Champlain Inn...,0,0,Press Release Desk,News Partner,"From the City of Burlington:
October 26, 2020
ANEW Place today announced the purchase of the Champlain Inn at 165 Shelburne Road, and its plans to transform the space to provide temporary housing for those in our community who are experiencing homelessness. The Inn will fill the void left by the closing of the low-barrier shelter on South Winooski Ave, and realize the goal of establishing a year-round low-barrier option in Burlington that Mayor Miro Weinberger articulated in his 2017 State of the City and has budgeted local funds for in recent budget cycles. The City actively worked to support ANEW Place's efforts through technical assistance, an emergency resolution, and funding for ongoing operations, and by fully backing and advocating for Covid-emergency funds to be used for this project.
At the Inn, there will be space for up to 50 people experiencing homelessness to access shelter in a way that is Covid-safe and available throughout the year. ANEW Place will provide Inn guests with onsite services, including case managers and assistance with finding permanent housing.
""ANEW Place is excited for the opportunity to purchase and reimagine the Champlain Inn,"" said Kevin Pounds, Director of ANEW Place ""Thank you to the Vermont Housing & Conservation Board for believing in this project and providing the federal funds to make it possible. All of us have been impacted in some way by the COVID crisis, and this is especially true for the increasing number of our neighbors experiencing homelessness. Our hope and prayer is the Champlain Inn will be a place where people, regardless of their situation and story, experience a new start. ANEW Place is blessed with an incredible team of people who've moved this project forward: Cindy Reid with Cathedral Square, Mark Sammut with Wright & Morrissey Inc., Bob Duncan with Duncan Wisniewski Architecture, Grace Ciffo with CEDO, and Hobart Popick with Langrock, Sperry, & Wool. I especially want to thank ANEW's frontline staff who've worked tirelessly to provide a supportive shelter environment in a basement, RVs, and tents while navigating the challenges of COVID. We're only as good as the team around us.""
""Low-barrier shelters save lives and are a critical resource for protecting some of our most vulnerable residents. The opening of a year-round facility represents a major expansion of our community's capacity to address the challenge of homelessness,"" said Mayor Miro Weinberger. ""I am so grateful to the many partners who came together to realize this goal that we have labored for years to achieve. I am thankful to ANEW Place and their committed team led by Kevin Pounds, Cathedral Square, and the Vermont Housing and Conservation Board for finding a way to leverage the great need presented by this global pandemic and turn it into long-term opportunity, and to the neighbors and South End City Councilors who supported this initiative. Having a year-round low-barrier solution is just one of the ways that our community is going to emerge from this pandemic even stronger.""
ANEW Place closed on the purchase of the Champlain Inn on Friday, October 23, and funded the purchase with $2.5 million in Coronavirus Relief Funds granted by the Vermont Housing and Conservation Board (VHCB). ANEW Place will use the 33-unit motel to offer free rooms year-round for projected occupancy of 50 people. The property also includes a 2,800 square foot house that will provide space for on-site services, group meetings, and laundry facilities.
Now, ANEW Place will make several needed repairs to the property, and plans to re-open to serve clients on December 1.
Meeting the Needs of People Experiencing Homelessness During Covid-19 Pandemic
Prior to the Covid-19 pandemic, ANEW Place was operating the Burlington Low-Barrier Shelter at a location at 179 South Winooski Avenue. However, when the pandemic hit, it became clear that the facility was not safe for staff and guests. It did not allow for physical distance, had poor ventilation, and did not have space where symptomatic individuals could isolate.
As a result, ANEW Place, the City of Burlington, and the State of Vermont worked quickly to find an alternative. ANEW Place shut down the site on March 26, and as a temporary solution, moved the remaining guests into 26 RVs at the City's campground at North Beach. In June, this transitioned into a sanctioned tenting area with ANEW Place staff continuing to provide support.
The demand for a low-barrier shelter typically decreases during the warm weather months, but this year, by August, up to 40 people were staying at the campground, approximately two-thirds of whom were not staying at the Low-Barrier Shelter during the winter months before Covid-19. This is true even as more than 400 people experiencing homelessness are using State vouchers to stay in Chittenden County hotels.
With the need for a low-barrier facility clear, and the winter months approaching, the City of Burlington and ANEW Place began pursuing a plan to create a tiny home community for people experiencing homelessness on City-owned land on Sears Lane. However, funding for that plan proved difficult to secure. ""It was August, our backs were against the wall, and we were praying for a miracle,"" says Kevin Pounds, Director of ANEW Place. Kevin met with Champlain Housing Trust COO Michael Monte to identify possible facilities, and only the Champlain Inn met the needs of a low-barrier facility. Though the Inn was not for sale, Kevin reached out to the owner and initiated a discussion about purchase.
Hurdles remained. On October 5, the Burlington City Council approved an emergency resolution to amend the zoning of the inn so that people experiencing homelessness would have a Covid-safe option before the freezing temperatures of winter. The resolution aligns the occupancy permitted for a residential use with the occupancy that the Inn was permitted as a commercial use. Then, on October 13, the Vermont Housing and Conservation Board approved ANEW Place's application for Coronavirus Relief Funds to purchase the Inn.
At the Champlain Inn, each room will provide guests with a private or semi-private sleeping area, electrical outlets to recharge phones and for other needs, and direct access to ANEW Place's programs and services. The facility provides space for physical distancing, has appropriate ventilation, and allows for the isolation of symptomatic guests – making it a space that meets the needs of the Covid era and where people experiencing homelessness will be able to access shelter with dignity and respect.
""The Board believes the successful application for a grant of $2.5 million to acquire and rehabilitate the Champlain Inn reflects both the tenacity and heart of ANEW and the City of Burlington,"" said Gus Seelig, Director for the Vermont Housing and Conservation Board. ""In this time of responding to a pandemic, it has never been more clear that Housing is Health Care. The Champlain Inn will keep people warmer and healthier in the months ahead. We thank CHT for identifying this opportunity and deeply appreciate the hard work of Cindy Reid and the Cathedral Square Corporation in developing the application and planning for improvements. Finally, much thanks go to Senators Jane Kitchel, Tim Ashe, and Michael Sirotkin, Speaker Mitzi Johnson, and Chair Tom Stevens for insisting the a portion of the Coronavirus Relief Fund be used to expand Vermont's supply of affordable homes.""
""This project is one of several collaborations between Cathedral Square and ANEW Place,"" said Cindy Reid, Director of Development for Cathedral Square. ""The pandemic has certainly highlighted systemic inequities in our housing system. We share ANEW's compassion for treating people in need with dignity, and for identifying and mobilizing resources to provide safe homes and services to help those in need.""
History of Effort to Create Low-Barrier Facility in Burlington
Until several years ago, there was no low-barrier facility in Burlington, meaning a facility that welcomes any adult regardless of their sobriety or mental health. That changed in 2014, when Mayor Miro Weinberger ended the City's long-standing opposition to a low-barrier shelter, and several organizations worked with the City's support to establish a low-barrier shelter for the winter months. In the years that followed, the facility took several forms:
This section draws on information that was put together by the Community Health Centers of Burlington (CHCB) during the years that they ran the low-barrier shelter.
This press release was produced by the City of Burlington. The views expressed here are the author's own."
7,/vermont/burlington-vt/social-security-can-help-your-plan-achieving-self-support,2020-10-22T13:00:00Z,Social Security Can Help Your Plan For...,0,0,Elizabeth Newport,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
If you rely on Supplemental Security Income (SSI) payments or Social Security Disability (SSDI) benefits and want to start working or return to work, we can help. A Plan for Achieving Self-Support (PASS) is a rule under SSI to help people with disabilities return to work. If you receive SSI or could qualify for SSI after setting aside income or resources so you can pursue—or achieve—a work goal, you could benefit from a PASS.
How does a PASS help someone return to work?
We base SSI eligibility and payment amounts on income and resources (things of value that the individual owns).
PASS lets a disabled individual set aside money and things he or she owns to pay for items or services needed to achieve a specific work goal.
The objective of the PASS is to help disabled individuals find employment that reduces or eliminates SSI or SSDI benefits.
You can read all about the PASS program at www.ssa.gov/pubs/EN-05-11017.pdf.
The plan must be in writing, and Social Security must approve it beforehand. To start, contact your local Social Security office for an application (Form SSA-545-BK) or you can access the form at www.ssa.gov/forms/ssa-545.html."
8,/vermont/burlington-vt/access-social-security-just-anywhere,2020-10-15T13:00:00Z,Access Social Security From Just About Anywhere,0,0,Elizabeth Newport,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
You can access our programs and services from just about anywhere with your personal and secure my Social Security account. It's easy to sign up for one, and it will give you access to important information you can't find anywhere else. With your personal my Social Security account, you can:
Use our Retirement Calculator to compare future benefit estimates for different dates or ages to begin receiving benefits.
Check the status of your application or appeal for benefits.
Review your work history.
Request a replacement Social Security card (in most States).
If you already receive benefits, you can also:
Get a benefit verification or proof of income letter.
Set up or change your direct deposit.
Change your address.
Request a replacement Medicare card.
Get a Social Security 1099 form (SSA-1099)."
9,/vermont/burlington-vt/social-security-program-experts-can-answer-your-questions,2020-10-08T13:00:00Z,Social Security Program Experts Can Answer Your...,0,0,Elizabeth Newport,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
There are many online resources about Social Security, so it is important that you come to us as the first place for answers. You can find many of the answers about our programs and services on our Frequently Asked Questions page at faq.ssa.gov. We feature our most-asked questions at the top of the page to help you find answers to the most common questions quickly, like:
Are Social Security services affected by Coronavirus (COVID-19)?
What should I do if I receive a call from someone claiming to be a Social Security employee?
How do I change or correct my name on my Social Security number card?
How do I apply for a new or replacement Social Security number card?
How can I get a Social Security Statement that shows a record of my earnings and an estimate of my future benefits?
You can also browse by topics like:
Disability.
Social Security Payments.
Retirement."
