,url,Date,Title,Thank,Reply,author,title,context
0,/new-york/carrollgardens/cb6-postponement-reminder-resources-more,2020-03-11T21:04:35Z,"CB6 Postponement Reminder, Resources, More​",0,0,Jeannine Mele,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
Good Afternoon.
As was announced yesterday, our March board meeting is postponed until further notice. Everyone who receives these emails will, of course, be kept in the loop concerning any rescheduling as we all deal with what is now, officially, a global pandemic.
If you read on, you'll find more info on various other things happening and no longer happening in our community, as well as various resources and items of interest. Also, please utilize the NYP Brooklyn Methodist Hotline (646-697-4000), the New York State Hotline(1-888-364-3065), and receive text updates from NYC's Department of Health by texting COVID to 692692.
We will share new information as soon as we receive it, but for now, feel free to share this information however you'd like, stay healthy and enjoy the rest of your day and sign up to receive move CB6 information here.
Michael Racioppo, District Manager
Brooklyn Community Board 6
250 Baltic Street, Brooklyn, NY 11201-6401
t. 718.643.3027, ext. 205
w. www.BrooklynCB6.org
e. Mike@bkcb6.org
P.S Please forgive any typos or brain freezes in the text as I get these updates out in haste at the end of the day, and and if there is a community-centric item you think I should know about please reach out."
1,/new-york/carrollgardens/cb6-meeting-postponed,2020-03-10T23:04:44Z,CB6 Meeting Postponed ,0,0,Jeannine Mele,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
Good Evening,
Tomorrow's Brooklyn Community Board 6 General Board meeting will be postponed until further notice. This decision was made based on feedback from board members, indicating that we would not have achieved quorum. By law, there can be no action taken in the absence of a quorum. Given members' health concerns and the fact that there is nothing time-sensitive on the agenda , there is no reason to cajole our volunteers to attend.
Of course, we'll keep you posted, and share information as we receive it. Please note that we hope to be able to reschedule this meeting at some point this month.
Reporting on some good news, our district's biggest healthcare provider, NYP Brooklyn Methodist, has set up a hotline( (646-697-4000) for questions regarding Coronavirus (COVID-19), as well as a fact sheet and webpage dedicated to providing useful information .
You can also receive text updates from NYC's Department of Health by texting COVID to 692692.
There is more information below, including various postponements and cancellations and rest assured we are going to continue to keep you posted.
Enjoy the rest of your Tuesday, feel free to share this information and we hope everyone reading, and those not reading, remains in good health.
Peter Fleming- Board Chair"
2,/new-york/carrollgardens/corona-update-cb6,2020-03-09T11:00:00Z,Corona  Update From CB6,0,0,Jeannine Mele,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
Good morning,
I hope this message finds you well after an enjoyable weekend as we begin a week that includes Wednesday's General board meeting, the start of the Census, and more.
Just like the perpetual hope that emails I send find the receiver well, as usual, there is lots of information below. But, before getting to that I'd like to highlight the Coronavirus and NYC's directive on how best to state safe and keep our most vulnerable safe as well.
The New York City Health Department recommends the following precautions to slow the spread of COVID-19:
Since the city started giving updates the resource section of this newsletter has included shareable bits of information. Scroll down and you'll continue to find them and I'll keep updating as we receive more information but that's what is available right now.
Have a good day, remember that alternate side parking rules are suspended tomorrow, and feel free to share this information however you'd like.
Michael Racioppo, District Manager
Brooklyn Community Board 6
250 Baltic Street, Brooklyn, NY 11201-6401
t. 718.643.3027 , ext. 205
w . www.BrooklynCB6.org
e. Mike@bkcb6.org"
3,/new-york/carrollgardens/cb6-february-recap,2020-02-14T00:17:52Z,CB6 February Recap,0,0,Jeannine Mele,Local Official,This post was contributed by a community member. The views expressed here are the author's own.
4,/new-york/carrollgardens/january-cb6-meeting,2020-01-10T14:19:50Z,January CB6 Meeting,0,0,Jeannine Mele,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
Our January board meeting, held Wednesday night at PS 58, had a light agenda, but it's likely to be ""the calm before the storm"" before winds of 2020 starting blowing in. We were out of there in under an hour, as there was only 1 item on the agenda for approval.
Prior to dealing with the permits and licensing motion, our Board Secretary Karen Broughton, officially, certified the election of our current officers (Chair, 1st Vice-Chair, 2nd Vice-Chair, Secretary, and Treasurer) for another one-year term. It must be noted that Karen's attendance is particularly impressive as she made it back in time after being in Albany, where she attended the Governor's ""State of the State"" address.
The December 2019 minutes were approved. Chairperson Peter Fleming then gave his report, which included informing those in attendance about the revocation of the liquor license for Woodlands and the resale of the 5th Avenue Key food site. Peter made a point of mentioning that the new owners have indicated they will adhere to the agreement to retain a supermarket at the 120 5th Avenue address. We will continue to monitor the situation in conjunction with Councilmember Lander's office. This is especially important with so many supermarkets closing in recent years, and given how hard the community worked to make sure a supermarket would still serve our community. Peter also let folks know that applications for membership on Brooklyn community boards are open and will remain so until February 14th.
On the subject of board applications, my report got rolling by letting folks know that hard copies of the applications were available at the meeting, as well as online and that with few opening becoming a public member was a terrific alternative option. I then mentioned the Noel Pointer Foundation becoming the new tenants at the Degraw Street Firehouse and discussed our involvement with Warren Street tenants as an example of how CB6 can work to build better relationships between our neighbors and their city government. I mentioned subscribing to our email updates as it's helped create a dialogue and open lines of communication. If something is going on in our community that you'd like to get on the CB6 radar, please let me know. For example, this update is the reason I was planning on attending the Park Slope Civic Council meeting Thursday night at the Old Stone House.
Our Permits and Licenses Committee Chair Rachel Freeman presented their recommendation for approval of a sidewalk café at 72 5th Avenue that we overwhelmingly approved.
Representatives from the offices of Borough President Adams, Congresswoman Clarke, Councilmembers Lander and Levin, State Senators Montgomery and Myrie, Assemblymembers Carroll and Simon each spoke on behalf of their principals.
When we went into community session, there was mention of public safety concerns and drug use around Baltic Street and 4th Avenue/ Gregory Place about and we've already reached out to proper authorities.
During New Business, Joe Anne Brown reemphasized the work we've been doing at Warren Street and the concerns residents continue to express. Kathy Park Price reminded everyone of the Citizens Squirrel event CB6 is co-sponsoring this upcoming Tuesday, January 14th and 1st Vice-Chair Eric McClure announced that our Transportation /Public Safety committee, with a location & agenda still being ironed out, would be meeting on January 30th which is the 5th Thursday of the month and not the usual 3rd Thursday."
5,/new-york/carrollgardens/bkcb6-november-meeting,2019-11-15T21:30:52Z,BKCB6 November Meeting ,0,0,Jeannine Mele,Local Official,This post was contributed by a community member. The views expressed here are the author's own.
6,/new-york/carrollgardens/carroll-gardens-activist-looks-take-landers-city-council-seat,2019-09-12T19:45:19Z,Carroll Gardens Activist To Challenge Lander,0,0,Anna Quinn,Patch Staff,"CARROLL GARDENS, BROOKLYN — A local education activist has put her hat in the ring to become the next City Council member for Brad Lander's District 39 seat, once held by Mayor Bill de Blasio.
Briget Rein, a Carroll Gardens resident and former Brooklyn teacher, announced her campaign with Kings County Politics this week. She has become the second candidate officially running for the District 39 seat, which will be empty once Lander's term-limit is up in the 2021 election.
Rein told Kings County Politics that she has been hoping for a while to continue Lander's, and de Blasio's, legacy representing the Northwest Brooklyn district, which stretches over Park Slope and Gowanus from Kensington, all the way to the Columbia Waterfront.
""Two years ago, I decided that it would be a good opportunity for me to continue my work in City Hall and run for City Council,"" Rein said. ""I believe that my community is extremely important. I thank Bill de Blasio and Brad Lander for their service. Both of them did a superb job, and I want to continue doing that job.""
Rein was raised in Midwood and worked as a teacher at PS109 in Flatbush before joining the political world when she became the United Federation of Teachers chapter leader for her school. She would eventually go on to work for the union and has been a longtime activist for their cause.
""With that activism, I got involved in campaigns,"" Rein told Kings County Politics.
Rein works now as the union's city hall liaison and has worked as the deputy political director for the organization.
The issues she holds most closely include education and the new development that will hit the Gowanus area, which is currently slated for a massive rezoning plan.
She is joined in the race by New Kings Democrats President Brandon West. Others have been rumored to run, but haven't officially announced yet.
Patch plans to talk more with Rein next week."
7,/new-york/carrollgardens/broken-scanners-long-lines-plague-brooklyn-polling-sites,2018-11-06T18:00:07Z,Broken Scanners And Lines Plague Brooklyn Polls,0,0,Kathleen Culliton,Patch Staff,"BROOKLYN, NEW YORK -- Voters across Brooklyn reported polling stations with broken scanning machines that caused many to wait hours in line and others to walk away without casting a ballot, Brooklynites reported.
Brooklynites participating in the 2018 midterm elections on Nov. 6 were plagued by busted ballot scanners at dozens of polling sites all over the borough, from Greenpoint to Bay Ridge and from Carroll Gardens to Flatbush, according to reports from Twitter.
""I had to document this,"" wrote Williamsburg voter Marshall S. Thompson. ""3 broken voting machines and 1 working machine is unacceptable. 400+ people waiting 2-3 hours to vote""
The New York City Board of Elections did not immediately respond to Patch's request for more information about the numerous broken scanners, and voters noted difficulty in connecting with the agency on election day.
""No one answering the scanner extension on the Brooklyn office line,"" Will Femia alerted the BOE on Twitter.
""Are you guys doing anything about broken machines?"" Asked @AVeryNastyWoman. ""There are many tweets re scanners not working in Brooklyn.""
But, despite delays, New Yorkers also noted the large number of people willing to stick out the rain and long lines to cast their votes.
And several voters told Patch they'd never seen so many people turn out at their polling sites before.
""This is the biggest turnout I've ever seen,"" said Andie Springer, 34, who voted in Ditmas Park Tuesday morning.
Springer said she believed the turnout was a response to the low numbers of voters reported in the 2016 presidential election.
""It's been made clear how apathetic everyone is,"" Springer said. ""We have to right this s---.""
Photo courtesy of Marshall S. Thompson/Twitter, used with permission"
8,/new-york/carrollgardens/da-expected-drop-charges-against-brooklyn-community-board-district-manager,2017-09-29T19:37:14Z,DA Expected To Drop Charges Against CB Manager,0,0,Marc Torrence,Patch Staff,"BROOKLYN, NY — The attorney for a Brooklyn community board district manager who was arrested twice and charged with stalking and harassing his ex-girlfriend says the borough's district attorney's office is planning to drop the charges against her client.
Craig Hammerman returned to work this week at Community Board 6 — a panel that advises the city and state on local issues in Red Hook, Carroll Gardens, Cobble Hill, Gowanus and Park Slope — after a lengthy leave of absence following his arrests.
His attorney, Joyce David, told Patch on Friday that his case has been adjourned until Nov. 1, and unless the D.A.'s office notifies the court that it is ready to proceed, the case will be dropped. David said the D.A.'s office has told her they expect the case to be dismissed.
""I expect that it will,"" she told Patch. ""But I've been around too long to have anything be guaranteed.""
A spokesperson at the D.A.'s office declined to comment on the case when reached by Patch.
Hammerman has been with the board since 1990 and makes more than $110,000 a year in his post as its only paid member.
In early April, he was arrested after police said he used his ex-girlfriend's Uber account to follow her to a hotel in Bed-Stuy. Then, prosecutors said, he was arrested for breaking a restraining order when he sat next to her at a Park Slope bar. Hammerman turned down a plea deal over the summer in the case.
If the charges against Hammerman are dropped, that doesn't necessarily mean his position as a public servant in the community is safe.
Community Board 6's closed-door finance, personnel and law committee arise reviewing his status with the board. And the city's Law Department is investigating his conduct.
The board's chair, Sayar Lonial, has declined to comment on the review, including to other board members. That has angered some in the community, who think the board should be more forthcoming in its deliberations.
""This remains an internal personnel matter and public comment at present would be inappropriate,"" Lonial told Patch in an email.
Image: Patch file photo"
9,/new-york/carrollgardens/brad-lander-spends-election-night-arcade-fires-will-butler,2017-09-13T19:13:32Z,Brad Lander Spends Election Night With Arcade Fire,0,0,Marc Torrence,Patch Staff,"NEW YORK, NY — Unlike some of his counterparts nearby in Brooklyn, City Councilman Brad Lander had a relatively stress-free primary election night on Wednesday.
Lander, who represents Carroll Gardens, Cobble Hill, Gowanus, Park Slope, Windsor Terrace and Kensington, didn't face a challenger in Tuesday's Democratic primary and, as a result, wasn't even on the ballot. He'll likely cruise to a third term in November's general election in the hyper-liberal district.
So how did Lander spend the last part of his election night, without having to watch election returns with bated breath? He hung out with Arcade Fire's Will Butler, at an activism-themed after party of the band's show at Madison Square Garden.
Butler hosted a ""Disco Town Hall"" at Nublu in Alphabet City. The event was meant to ""engage Arcade Fire fans (and others!) with local organizations, activists, and politicians engaged in helping the vulnerable and empowering communities. There will also be music and dancing. Because that's important too.""
Lander provided the politician part of that.
On the agenda, according to Lander's office, was the campaign to close Rikers and ""other work for racial justice in New York City.""
The appearance alongside Butler came after a long day of campaigning for other candidates across the city. Nearby, two of Lander's choices for the council, Carlos Menchaca and Laurie Cumbo, both incumbents, won their races.
Images courtesy Brad Lander's office"
