,url,Date,Title,Thank,Reply,author,title,context
0,/maryland/columbia/3-seats-remain-open-howard-county-board-health,2020-08-28T21:52:28Z,3 Seats Remain Open On Howard County Board Of...,0,1,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — Two health professionals and one member of the general public with health training is being sought to serve on the Howard County's board of health. Board members serve 5-year terms and are responsible for the health and sanitary interests of the people of Howard County.
""Our Howard County Board of Health is an essential body that helps improve public health for our residents and community,"" said Howard County Executive Ball in a statement. ""Amid a global pandemic, it is especially clear how public health impacts our daily lives and the quality of life in our community. Now more than ever, we need thoughtful leaders to support our department of health and its efforts. Please consider joining the board to collaborate on health initiatives and set goals so that all of our residents can be healthy and thriving.""

Comprised of 11 members, the board must include one environmental health professional; three health professionals, one which may be a veterinarian; and seven members from the general public. Those representing the general public must meet one of the following qualifications provided that not more than three meet the same qualification:
· at least two may not have professional or administrative training in the health occupations;
· at least one shall have professional experience in mental health; and
· at least one shall have professional experience in substance use disorders.

To be eligible for consideration, candidates must be Howard County residents, 18 years of age or older, have an interest in public health and be able to attend the board's meetings. Except for December, July and August, board meetings are currently being held virtually on the fourth Tuesday of each month at 6 p.m.

Applicants should send a resume and a brief letter explaining why they want to serve on the Commission to: Howard County Government, Office of the County Executive, Attn: Kim Pruim, 3430 Court House Drive, Ellicott City, MD 21043. The names of eligible applicants will be submitted to the County Executive for approval and the nominee will be submitted to the County Council for confirmation. The deadline to apply is Sept. 11, 2020."
1,/maryland/columbia/retirement-benefits-awarded-hoco-volunteer-first-responders,2020-08-27T14:38:35Z,Retirement Benefits Awarded To HoCo Volunteer...,0,0,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — Volunteer firefighters and EMS personnel serving Howard County on the front lines of the coronavirus pandemic will be awarded ""length of service"" points through a county funded program that provides retirement benefits to the volunteer first responders during a state of emergency. A bill has been pre-filed authorizing Howard County Executive Calvin Ball to issue the points.
Howard County Fire Chief William Anuszewski said the coronavirus pandemic has impacted the department in numerous ways.
""The county executive recognizes the impact this pandemic has had on the volunteer system and the ability for a volunteer to earn LOSAP points. This legislative change will help lessen the impact for the volunteer membership,"" he noted.
To receive credit for a year of active service, a volunteer must have accumulated at least 50 creditable points during the calendar year. Points are awarded for training courses, drills, elected or appointed positions, attendance at meetings, emergency responses, military service and those with a permanent disability.
""Our members have expressed concern with obtaining their annual points due to the reduced fundraising activities and operational support the pandemic has caused,"" said Howard County Volunteer Firefighters Association President Raymond Wines. ""Our personnel remain committed to volunteer but need to take every precaution in keeping their families healthy. We all strive to accumulate the appropriate points, but these times are challenging. I, personally, thank Executive Ball for his consideration on this matter.""
Ball expressed his appreciation for the volunteers during such a trying time.
""We deeply appreciate the many volunteers who continue to support our department of fire and rescue services and are pleased to provide these benefits to our volunteer members who we rely on for a safe and engaged community,"" he said."
2,/maryland/columbia/new-buses-announcing-system-be-purchased-howard-county,2020-08-13T18:21:42Z,"New Buses, Announcing System To Be Purchased By...",0,0,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — Three transit vehicles will be replaced and an automated bus stop announcement system will be implemented on Howard County's fixed route fleet with a grant awarded by the Federal Transit Administration. This project should improve service reliability while maintaining a state of good repair, county officials noted. Each new transit bus costs approximately $400,000 and the bus announcing system cost has been estimated at $260,000.
""The modernization of our RTA fleet has been one of our top priorities as we strive to create more reliable and accessible infrastructure for our residents,"" said Howard County Executive Calvin Ball in a statement. ""New and more reliable buses mean a more comfortable ride for passengers, reduced operating costs related to the repair and maintenance of older buses and, more importantly, fewer breakdowns and improved on-time performance."""
3,/maryland/columbia/court-dismisses-hocos-request-review-faa-flight-path-change,2020-08-13T04:30:57Z,Court Dismisses HoCo's Request To Review FAA...,0,0,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — The Fourth Circuit of U.S. Court of Appeals has dismissed Howard County's petition for judicial review of the Federal Aviation Administration changing flight paths as part of its implementation of NextGen. The case stems from FAA changes to flight patterns at BWI Thurgood Marshall Airport (BWI), which the county claims were made ""without proper notice or environmental consideration that have caused terrible noise pollution in some neighborhoods.""
""We're disappointed at the court's ruling and are carefully considering our options moving forward,"" said Howard County Executive Calvin Ball in a statement. ""We know this is a significant issue for our residents and we're not done fighting on behalf of them. In the meantime, we will continue engaging with the BWI Roundtable and encourage the FAA to implement proposed changes to flight paths. We're also urging the state of Maryland to get back on track with the noise abatement plan, which has been severely delayed. Our residents deserve progress and we will continue to pursue all options to provide relief.""
In October 2019, Ball announced a procedural win in one of the county's two ongoing cases against the Federal Aviation Administration in the U.S. Court of Appeals for the 4th Circuit. The court granted Howard County's ""Motion to Allow Extra-Record Evidence."" The FAA and the state of Maryland opposed the motion, but the court decided evidence should be presented to help determine whether the FAA unlawfully ignored the facts."
4,/maryland/columbia/3-open-seats-howard-countys-commission-women,2020-08-07T16:18:08Z,3 Open Seats On Howard County's Commission For...,0,1,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — Three spots are open on Howard County's Commission for Women, one for a student and two for general members. The deadline to apply is Friday, August 28.
""This year marks the 100th anniversary of women's suffrage, and although significant progress has been made in ensuring women's voices are heard, there is still work to do,"" said Howard County Executive Calvin Ball. ""Our Commission for Women was created just for that purpose. I encourage Howard County residents to apply to the commission and be an active voice in blazing new trails for women in Howard County and beyond.""
Comprised of 12 members, including one student, the commission helps promote the economic, social and political equality of women in Howard County. General members serve five-year terms, while the student member's term ends June 30, 2021.
To be eligible for consideration, candidates must be a Howard County resident, 18 years of age or older (for general membership) or entering the 11th or 12th grade in Howard County (for student membership), have an interest in women's equality and be able to attend the commission's meetings. The meetings are held the second Tuesday of each month from 7 to 9 p.m. in the department of community resources and services office at 9830 Patuxent Woods Drive in Columbia. However, due to the coronavirus pandemic, meetings are currently taking place virtually via WebEx.
Applicants should send a resume and brief letter explaining why they want to serve on the Commission to Kimberly Pruim either by email to kpruim@howardcountymd.gov or by mail to: Howard County Government, Office of the County Executive, Attn: Kimberly Pruim, 3430 Court House Drive, Ellicott City, MD 21043. The names of eligible applicants will be submitted to the County Executive for approval and then to the County Council for confirmation."
5,/maryland/columbia/howard-county-joins-lawsuit-against-president-trump,2020-08-06T15:09:18Z,Howard County Joins Lawsuit Against President...,2,14,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — President Trump and his administration are being sued by a number government entities, including Howard County. The county has joined the New York lawsuit against the president and his Administration for their July 21, 2020, census policy attempting to ""exclude from the apportionment base aliens who are not in a lawful immigration status."" The exclusion of undocumented persons would significantly impact the apportionment of congressional districts and the electoral college. The case was filed in federal court last week, with the state of New York as the lead plaintiff.
""This latest attempt to co-opt the constitutionally mandated census process is illegal and clearly violates our federal laws and standards,"" said Howard County Executive Calvin Ball in a statement. ""Especially now, as the Census Bureau just announced they will end all counting efforts by Sept. 30, there is a greater risk of undercounting populations. Howard County loses out on nearly $18,000 in federal funding for each person not counted in the Census. This funding will support critical programs including our emergency services, medicare, school lunches and so much more. Our federal representation must truly represent all the people in a jurisdiction – no matter their citizenship status. As a community that strives to be inclusive and sees our diversity as our strength, we will not let the current administration continue to scapegoat our immigrant community or intimidate our residents from participating in the census.""
The complaint is expected to be amended this week, at which time Howard County will be added as a plaintiff. The lawsuit challenges the president's disregard for the Constitution, and violation of the Fourteenth Amendment, where it states, ""representatives shall be apportioned among the several States according to their respective numbers, counting the whole number of persons in each State.""
""Howard County prides itself in the richness of its diversity,"" said Jackie Scott, director of the county department of community resources and services. ""The administration's policy undermines these values and presents a dangerous precedent which could lead to withholding critically needed resources from states and localities; leaving millions of families and children without the ability to meet their basic needs. We urge our federal lawmakers to stand for the moral and civic obligation to care for all people who call America their home and protect their fundamental rights to be heard, counted and represented.""
The Census Bureau announced this week that they are ending all counting efforts by Sept. 30, a month earlier than previously planned of Oct. 31. Across the country, 4 out of 10 households have not been counted, and with limited to no door-knocking efforts, there is a risk of significantly undercounting immigrants, minority populations, and rural households who are less likely to self-report, officials noted. In Howard County the response rate is currently 76.5 percent."
6,/maryland/columbia/book-review-murder-potomac,2020-07-14T11:32:48Z,Book Review: Murder on the Potomac,0,0,Skye Anderson,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Murder on the Potomac (Capital Crimes Book 12), by Margaret Truman (Fawcett, 2014, 354 pages, $21.00)
The Plot
Two high-powered Washington lawyers change careers and marry each other. Mac becomes a law professor and Annabel runs an art gallery, specializing in pre-Colombian objects. Both become enmeshed in one murder after another.
Mac witnesses a young child fall into the falls and has nightmares which come to fruition when the body of the assistant of a prominent Washington board member is found washed up on the edge of an island in the Potomac. Annabel is on the same board and Mac is a friend of the board member. Clues lead to an affair or two plus some money-lifting.
When numerous people enter the fray, including a comely female detective student of Mac's who is finishing her PhD, an adopted Chinese young man also with a PhD who may be dealing in nefarious characters, a reenactment of a famous killing followed by a black-tie dinner, a young woman wanna-be actress who is the delivery person of unknown objects for her brother who is deeply in debt (gambling), Mac and Annabel are reluctantly drawn into the fray and happen upon the clues that lead to a dangerous solution.
The Author
Yes, the author was the daughter of Harry S. Truman, an only child, well-thought of and a talented classical soprano, actress, journalist, socialite, media personality, and writer.
Mary Margaret Truman, known as Margaret, authored a book about her father, another about her mother, and one about White House pets. Her name is also on this slew of ghostwritten murder mysteries set in Washington, DC, that are fabulous, as you can see.
The Setting
If you live or work in DC or have ever visited the city, you will select a particular Truman mystery that has meaning to you to become enmeshed in first. Perhaps you were in the military (Murder at the Pentagon). Perhaps you are interested in diplomacy (Murder at Foggy Bottom or Murder on Embassy Row), or the arts (Murder at the Kennedy Center), or the law (Murder in the Supreme Court, Murder at the FBI, or Murder in the House).
But, trust me, if you are merely a connoisseur of a good murder mystery tale, you will not become bogged down in the history of our nation's capital. On the other hand, there are just enough tidbits of the famous landmark to bring back memories and educate the political novice. The pace accelerates. . . .
-----------------------------------------
Caveat: This book was purchased for review.
Other titles in the series of 31, in order:
Murder in the White House, 1980
Murder on Capitol Hill, 1981
Murder in the Supreme Court, 1982
Murder in the Smithsonian, 1983
Murder on Embassy Row, 1984
Murder at the FBI, 1985
Murder In Georgetown, 1986
Murder in the CIA, 1987
Murder at the Kennedy Center, 1989
Murder at the National Cathedral, 1990
Murder at the Pentagon, 1992
Murder on the Potomac, 1994
Murder at the National Gallery, 1996
Murder in the House, 1997
Murder at the Watergate,1998
Murder at the Library of Congress, 1999
Murder in Foggy Bottom, 2000
Murder in Havana, 2001
Murder at Ford's Theater, 2002
Murder at Union Station, 2004
Murder at the Washington Tribune, 2005
Murder at the Opera, 2006
Murder on K Street, 2007
Murder inside the Beltway, 2008"
7,/maryland/columbia/apply-through-july-31-moderate-income-housing-unit-program,2020-07-01T21:17:55Z,Apply Through July 31 For HoCo MIHU Program,0,0,Kristin Danley-Greiner,Patch Staff,"COLUMBIA, MD — Individuals have until July 31 to apply for Howard County's moderate income housing unit program. Due to the coronavirus pandemic, the county department of housing and community development will not be hosting its regularly scheduled in-person renter and homeownership informational workshops during its July open enrollment period. However, the presentations from each of these informational workshops are available online.
""Homeownership improves economic mobility and expands opportunity for generations as families build wealth,"" said Howard County Executive Calvin Ball in a news release. ""Through our MIHU program, we are creating affordable homeownership opportunities to help families call Howard County home as we foster safe and engaged communities.""
To purchase an MIHU home, individuals must apply during an open enrollment period to be placed in the database. To qualify, an applicant's household income may not exceed 80 percent of Howard County's median income. Applicants must meet minimum credit score requirements and household income must be sufficient to qualify for a mortgage based on industry standards. Sale prices for MIHUs available now currently range from $245,000 for a new condo to $370,000 for a new townhouse. Actual sale prices may vary depending on the size and amenities of the unit.
Homeownership opportunities are currently offered at below-market sales prices in several communities, including Delacour at Blue Stream in Elkridge, Paddock Pointe in Laurel, River Overlook and the Yards at Oxford Square in Hanover, and Trotters Knoll in Ellicott City. Previously owned condominiums and townhomes throughout the county are also for sale under the MIHU program as they become available. With historically low interest rates now available, individuals and families with incomes as low as $65,000 or slightly less may qualify to purchase a home. MIHU homeownership program applications are available online.
To rent an MIHU unit, a qualified applicant's household income may not exceed 60 percent of the Howard County median income. MIHUs are rented on a first-come, first-served basis, are interspersed throughout each community and residents enjoy the same amenities of community life as market rate tenants. Alta at Regency Crest, Annapolis Junction, Ashbury Courts, Azure Oxford Square, Belmont Station, Brompton House, Burgess Mill Station II, Dartmoor Place, Miller's Grant, Mission Place, Orchard Meadows, Orchard Park, Penniman Park, Townes at Pine Orchard, The Refinery, The Vine and Verde II currently participate in the MIHU program. Prospective renters may apply directly to a participating rental community at any time during the year. Visit DHCD's open enrollment website for more information."
8,/maryland/columbia/109k-grants-help-hoco-build-microgrid-project-h-p-system,2020-06-24T20:16:45Z,"$109K In Grants To Help HoCo Build Project, System",0,1,Kristin Danley-Greiner,Patch Staff,"HOWARD COUNTY, MD — The Howard County Office of Community Sustainability has been awarded two grants totaling $109,000 from the Maryland Energy Administration. The county received a $9,000 grant to plan a combined heat and power system at the Howard County Detention Center and up to $100,000 to plan a microgrid project at the George Howard Complex and the Roger Carter Center. The microgrid project includes two forms of clean and efficient onsite power generation to improve the resiliency of critical public safety operations.
""Especially in tough times Howard County needs to lead with bold visions for the future,"" said Howard County Executive Calvin Ball in a statement. ""As we anticipate more extreme weather and other adverse effects of climate change these projects will increase our emergency preparedness and our community resiliency, without any additional costs to Howard County residents.""
The microgrid, which can operate independently of the power grid, would allow Howard County to provide uninterrupted public safety and other critical services even in the event of prolonged grid outages, while generating clean energy and reducing greenhouse gas emissions. The planning and design work funded by the grant will help the County determine the exact configuration of power generation, which likely will include solar and highly efficient natural gas generators, among other technologies.
The microgrid planning project includes four buildings that are part of the Howard County Government Campus on Court House Drive in Ellicott City. These buildings house many critical government functions, including the County's Emergency Operations Center, County Government Administration, County Council, Northern District Police, Fire and Rescue, and other critical services. The microgrid may also extend to the nearby Roger Carter Community Center, an emergency cooling center for the community.
The project at the Howard County Detention Center will include a feasibility study and planning for the installation of a combined heat and power system, which uses the waste heat from onsite energy generation to provide hot water for the building. The system also would enable black start and islanding capability, allowing the facility to operate independent of the grid. The county also has plans to incorporate a rooftop solar photovoltaic array through a separate project which will further improve resiliency while using clean energy.
""Historically, Maryland has imported most of our energy from out of state coal-fired power plants,"" said MEA Director Mary Beth Tung. ""The Resilient Maryland pilot offers a unique opportunity for innovation right here in Maryland across a variety of clean energy alternatives, reducing both financial risk and total project costs.""
The grants are part of MEA's highly-competitive pilot Resilient Maryland program to provide funding for eligible organizations and governments to conduct feasibility analysis, engineering and design plans to increase resiliency of mission critical buildings, reduce greenhouse gas emissions, and lower the cost of energy. A total of 14 grant applications from across the state have been awarded $1.05 million dollars in funding."
9,/maryland/columbia/book-review-bringing-vincent-home-part-two,2020-06-22T17:14:55Z,"Book Review: Bringing Vincent Home, part two",0,0,Skye Anderson,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Bringing Vincent Home, by Madeleine Mysko* (Plain View Press, 2007, 182 pages, $14.95)
Bringing Vincent Home was the fifth and final book club selection of the Veterans Book Group in Columbia, Maryland. (For my review itself, read here.) Recently we discussed the group's opinion of the book – with invited guest, author Madeleine Mysko!
During this final session, we were so fortunate to be able to welcome the author herself, Madeleine Mysko, who began by talking about why she wrote the book. It was 10 years in the reminiscing and another 10 in the drafting and rewriting.
Mysko joined the Army not so much out of patriotism as to help soldiers and, as a matter of fact, had always been a writer. She became a nurse, received orders to Viet Nam, got married and, since the Army tried to station (assign) married soldiers together, her travel orders were postponed until her husband could also deploy; however, their contracts expired before they could ship out.
The author began her writing journey with a piece of non-fiction, which morphed into a memoir and finally a work of fiction, a thinly veiled autobiography.
Our book group wholeheartedly recommended Bringing Vincent Home and not only because the author was amongst us on Zoom. One of us had gone to high school in San Antonio, TX, where Vincent took place. Another pair of former soldiers in the group had been nurses; one, even a burn-unit nurse at Ft. Sam Houston in San Antonio. One had seen duty in Viet Nam as a young officer whose unit experienced four KIAs. Another had been a Vietnamese linguist. All of us felt welcomed into the book and also felt part of the book because we had lived so much of it: we reminisced about the military culture but also about the Berrigans and the Catonsville Nine.
We were fascinated to hear that the author saw herself in several of the characters though not in the protagonist. The novel took place in the late 60s, written by a nurse in 2007 who, at the time the story took place, was the same age as the nurses depicted in the book. The protagonist was the mother of a soldier in 1968 and most of the book club members (and author) are currently in the grandparent age group. Quite a cross-generational experience as the circle goes round and round.
We disagreed as to whether or not the epilogue was necessary, a la The Wonder Years.
Mysko was also concerned whether her memory of the burn unit was authentic: we assured her that most readers would think so and she later suggested that the few who might know burn-units would remember that Vincent is a work of fiction and that authors have poetic license!
Although Bringing Vincent Home could have been titled Kitty's Journey, we all felt that she was the epitome of moms everywhere – things happened to her and through her. It was amazing how much we came to learn about the other characters through the unobtrusive, calm and supportive personality of Kitty, the mom. Everything happens because of her: people open up to her.
First Look
Ah, the cover: Mysko searched far and wide for the perfect depiction of Kitty's house, the home to which Vincent would hopefully return; however, the publisher easily convinced her to feature a depiction of the Viet Nam Wall, a decision Mysko is well pleased with.
Bringing Vincent Home is a book I will take down from my bookshelf at least once a year to read again. It should be required for high school history classes as well as military leadership courses and medical schools.
----------------
Caveat: This book was a selection of the Veteran's Book Group, a program at the Howard County, MD, Public Library.
* Madeleine Mysko also authored two books of poetry: Crucial Blue and In The Margins as well as the longer 2015 novel Stone Harbor Bound. A former burn-unit nurse in the Army, she currently teaches writing in the Baltimore area."
