,url,Date,Title,Thank,Reply,author,title,context
0,/illinois/desplaines/elk-grove-township-announces-new-food-pantry-truck,2020-05-26T22:15:20Z,Elk Grove Township Announces New Food Pantry Truck,0,0,Vicarious Public Relations,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Elk Grove Township is proud to announce the addition of a food pantry truck, which will be available to serve in-need residents beginning in mid-May. This new truck will provide a more convenient way for residents to utilize the Township food pantry through deliveries, and for individuals, organizations and businesses to make donations. Boxed food supplied by the Greater Chicago Food Depository will also be dropped off by the truck to in-need seniors and disabled individuals who sign up to receive deliveries.
Meanwhile, Township bus services continue to transport elderly and disabled riders to doctor appointments, grocery stores and pharmacies within Elk Grove Township. Bus drivers are also regularly dropping off food for those registered for bus services. This transportation service is provided at no cost. To register, call the Transportation Department at 847-437-0300.
The Township continues to offer financial assistance to help with rent, utilities and other emergency needs, which due to skyrocketing unemployment resulting from the pandemic and business closures, has grown exponentially. Applications are being taken over the phone by calling 224-265-6111.
For those seeking new employment, virtual job assistance is available through the Employment Support Services Department. Residents can get help updating resumes and practicing interviewing skills, along with educational webinars related to finding a new job. Call 224-222-0935 for additional information.
Complimentary counseling services are additionally available throughout the month of May for individuals who are dealing with challenges. Individual, child and family 'teletherapy' counseling is provided through secured video conferencing from licensed therapists. Call 847-981-0373 to learn more."
1,/illinois/desplaines/gop-women-reps-call-governor-convene-legislature,2020-04-30T01:47:31Z,GOP Women Reps Call on Governor to Convene...,0,0,Lori Solyom,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
April 28, 2020
Dear Governor Pritzker,
During this unprecedented challenge to our state, you stressed multiple times your willingness and eagerness to work with legislators from both sides of the aisle and from every part of the state. As the women of the House Republican Caucus, we stand ready to offer solutions and work with you to implement a safe and reasonable regional plan to open Illinois. We are business owners, scientists, mayors, lawyers, community organizers, volunteers, officers, mothers, sisters, grandmothers, caregivers, and legislators. We represent 880,000 Illinoisans across all regions of the state—from the Chicago suburbs to regions in northern, western, eastern, southern, and central Illinois.
Our family members and constituents are fighting on the front lines as healthcare workers. We know and love people who are diagnosed with and suffering from COVID-19. We know, love, and represent people who lost their jobs, closed their small businesses, and exhausted their savings. For us, this is not political. This is personal.
We asked many questions concerning IDPH modeling, PPE procurement process and inventory, IDOC policies for transfers and releases, issues at IDES, safeguarding Long Term Care Facilities, and protecting state facilities for veterans and the developmentally disabled. We made many suggestions to promote physical and mental wellbeing, including opening state parks, locking down our prisons, housing our homeless, and protecting our most vulnerable populations. You did respond to our request for IDNR to open our state parks, thank you.
Unfortunately, a majority of our questions and suggestions are not acknowledged. We reached out to you, but you have not contacted one Republican woman legislator to discuss our concerns, suggestions, or solutions. We are writing to tell you as a matter of record the House Republican Women are here for Illinois. We are ready to offer suggestions, strategies, and solutions; and we are calling for the legislature to reconvene. We want to do our job as essential employees for our state and want to work with you to safely and regionally reopen our state.
SAFELY
● As elected officials, we have a responsibility to all Illinois citizens. Our number one priority as wereopen Illinois is to protect those who are vulnerable to this virus and ensure they have the appropriate support and necessary resources.
REASONABLY
● Illinois needs a reasoned and common-sense plan to reopen our state region by region understanding the virus affects each region differently. Some of these common sense steps include:
RESPONSIBLY
● Our constituents deserve a responsible government—a government where there are effective checks and balances and a government where all voices are heard. A responsible government means calling the legislature back to session.
REGIONALLY
● One size does not fit all. We must safely open our state on a regional basis. Other states including New York, Michigan, Pennsylvania, and Iowa proposed measured, regional reopening strategies.
We, the women of the House Republican Caucus, ask you to work with us. We are prepared to work on a serious plan to reopen Illinois safely, reasonably, responsibly, and regionally. We request you meet with us collectively as a group to share our ideas and offer solutions. We must continue to protect our vulnerable populations and safeguard our healthcare delivery systems, while we must also save our economy and our families. We are prepared to assist in developing and implementing a plan to safely get Illinois back to business reasonably, regionally, and responsibly.
Finally, as members of a co-equal branch of government, we request you call a special legislative session to start work on reopening Illinois safely and regionally.
We are ready and await a meeting with you.
Sincerely,
Rep. Avery Bourne
Rep. Terri Bryant
Rep. Amy L. Grant
Rep. Norine K. Hammond
Rep. Deanne M Mazzochi
Rep. Tony M. McCombie"
2,/illinois/desplaines/maine-township-responds-covid-19-crisis,2020-04-08T16:20:18Z,Maine Township Responds to the Covid 19 Crisis,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.

Caption #1
Maine Township staff members were on hand recently to help take donations and distribute prepared boxes from the Food Pantry.
Caption #2
Dayna Berman, Administrator, and North Maine Fire Dept. District Chief Mike Bronk helped distribute 300 masks from the Office of Emergency Management. The masks were donated to Lutheran General Hospital and North Maine Fire Department.
Caption #3
Mike Samaan, Maintenance Director, left; Dr. Joe Ogarek, an emergency room doctor from Lutheran General, center; and Vicki Rizzo, Deputy Administrator, right; help with the distribution of masks which were donated to Lutheran General Hospital and North Maine Fire Department.
Caption #4
A screen shot shows participants at a department head meeting held via Zoom to discuss how the township is handling its services to the residents.

As Maine Township continues to deal with the worldwide Covid-19 pandemic, CDC guidelines are being followed and policies and procedures updated as necessary. While the physical Townhall remains closed through at least April 30, most regular Township services are still being offered to the public. Specifically, the Food Pantry and emergency General Assistance are open and handling an incredible increase in requests. ""As of April 3, staff delivered over 400 food boxes to the public,"" said Supervisor Laura J. Morask. Maine Township residents may pick up food box from 9 a.m. to 5 p.m., Monday through Friday. General Assistance is operating as it has been since the beginning of the shelter in place orders.
As part of its response to the larger community, the Supervisor asked the Office of Emergency Management pull together any masks they had stored or could find and donated hundreds of masks to Lutheran General Hospital and North Maine Fire Department in several batches. ""We were so happy to be able to help our medical staff and first responders on the front lines"" said Supervisor Morask.
""We very much appreciate our employees who have volunteered to staff the Food Pantry and the numerous local residents who have donated,"" said Supervisor Morask. For information about these services and any other questions, call 847-297-2510 or visit www.mainetown.com.
MaineStay Youth & Family Services now offers telehealth services exclusively and continues to provide affordable counseling and psychiatric services via video or phone sessions. All fees for counseling services have temporarily been waived due to the financial hardship COVID-19 is causing for so many families. MaineStay has also changed the delivery method of some of their programs such as mentoring and parenting classes into a virtual format."
3,/illinois/desplaines/maine-township-seeks-nominations-good-citizen-award-1,2020-02-14T17:44:41Z,Maine Township Seeks Nominations for Good...,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Nominations are being sought for the 2020 Sgt. Karen Lader Memorial Good Citizen's Award which will be presented to a Maine Township resident who has demonstrated strong support and dedication to his/her community. The winner of the award will be announced at the Maine Township Annual Town Meeting on Tuesday, April 14, where he/she will be honored with a plaque and a monetary award.
""Karen Lader epitomized to both Township residents and her Sheriff's office co-workers what it means to be a good citizen, said Laura J. Morask, Township Supervisor. ""Always ready with a smile, a kind word and an indefatigable source of ideas and energy for our Neighborhood Watch group, she is sorely missed. It gives all of us some measure of comfort to each year honor someone who exemplifies her spirit.""
Nomination forms are available online at www.mainetown.com or by visiting Maine Township Town Hall, 1700 Ballard Rd., Park Ridge, during regular business hours from 9 a.m. to 5 p.m. weekdays. The deadline for submission is Friday, April 3.
In 2011, Maine Township instituted the award which honors Lader, a resident of Des Plaines and a 15-year veteran of the Cook County Sheriff's Police who lost her battle with cancer in 2010. Deeply involved with Maine Township residents especially in the Neighborhood Watch Program, she was also active in the successful National Night Out Against Crime event held each August. She also worked on Special Olympics and animal rescue.
""Sergeant Karen Lader was not only a caring police officer, her life was an example of what it means to be a good citizen,"" said Maine Township Clerk Peter Gialamas. ""She was someone who truly cared about making a difference. I am proud to have known her.""
Completed nomination forms should be returned Maine Township Clerk Peter Gialamas, Maine Township Town Hall, 1700 Ballard Rd., Park Ridge, IL 60068, or emailed to him at info@mainetown.com.
For more information on this award or any of the Township programs and services, call 847-297-2510 or visit www.mainetown.com."
4,/illinois/desplaines/maine-township-board-recognizes-local-fire-protection-district,2020-02-07T21:01:20Z,Maine Township Board Recognizes Local Fire...,0,0,BMG Media Services/Karen Larsen,Community Contributor,
5,/illinois/desplaines/maine-township-board-approves-2020-agency-funding,2020-01-25T19:36:13Z,Maine Township Board Approves 2020 Agency Funding,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
A total of $436,096 allocated among 29 agencies that provide services to people in Maine Township was approved by the Maine Township Board of Trustees on Dec. 16. Funds come from a line item under the Town Fund of the Maine Township annual budget.
Because of this funding, when a senior needs housing assistance, the help will be there. A drug or alcohol dependent resident will get the counseling needed. A single mother will have daycare services so she can work. These and other services are provided by dozens of social service agencies throughout the area that receive funding from Maine Township.
""As a Township elected official for almost two decades, Agency funding is, in my opinion, the most important function we as a Township provide our residents and illustrates the essence of Township government; direct services to our residents in need.""
Each year agencies are invited to present written applications to the Township for funding. Representatives are required to give a presentation to the Board to answer questions before any financial determinations are made. Township staff members visit agencies to ensure compliance with grant provisions and agencies also submit monthly performance reports. Township also supports these agencies with events and activities such as Agency Day that provides training and networking opportunities for agency representatives.
Agencies and the funding they will receive in 2020 include:
For more information about other services provided by Maine Township visit www.mainetown.com or call 847-297-2510"
6,/illinois/desplaines/maine-township-assessor-has-good-tax-news-senior-citizens,2020-01-16T21:02:59Z,Maine Township assessor has good tax news for...,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Assessor Susan Moylan Krey has reminded senior citizens in Maine Township about good tax news for them thanks to a new law taking effect this year that eliminates the annual renewal requirement for the Senior Exemption. Some seniors may also be eligible for the existing Senior Citizen Tax Deferral Program.
Although senior citizens seeking the Senior Tax Freeze will still need to file renewal forms, they will no longer need to file renewal forms for the Senior Exemption, according to Assessor Krey. The Senior Exemption is available to all homeowners 65 years of age or older, regardless of income. Under the new law, property owners who received the Senior Exemption last year will have it automatically renewed this year. Homeowners who were born in 1954 would have turned 65 in 2019, will have to apply for the Senior Exemption this year.
The Senior Freeze, which must be applied for annually because incomes change from year to year, provides additional tax savings for low- to moderate-income seniors. Any senior who received the Freeze last year must return a renewal application by Feb. 13. Applications for those qualifying for the freeze for the first time are available at Maine Township.
""Last year my office helped over 4,000 residents apply for their exemptions,"" said Assessor Krey. ""We also helped residents with Certificates of Errors which were missed exemptions from previous years which totaled over $800,000 returned to our residents.""
The Senior Citizens Tax Deferral Program, an additional benefit for senior citizens 65 years of age or older who are struggling with property taxes, allows them to defer payment of as much as $5,000 in property taxes until their homes or condominiums are sold. To qualify for the deferral program, seniors must have annual household income of less than $55,000, have equity in their homes that exceeds the sum of property taxes deferred, and have lived in their homes for at least three years. Two-flats and other properties that generate rental income are not eligible for the program. Properties held in a trust are also ineligible, although there are some exceptions to this rule. Applications must be submitted by March 1.
The tax deferral program is essentially a loan from the state that is charged simple interest of 6 percent per year. To assure repayment, a lien is placed on the senior's home that will prevent it from being sold until the loan is paid. Because there are some circumstances where senior citizens might not want a lien on their homes, seniors uncertain about whether to apply contact the Township Assessor's office, but should also consider discussing the matter with legal advisers, financial advisers or family members."
7,/illinois/desplaines/maine-township-donates-honor-flight-chicago,2019-12-28T18:59:59Z,Maine Township donates to Honor Flight Chicago,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
CAPTION
Shown here at the Dec. 26 meeting of the Maine Township Board are, l to r, Trustee Susan Sweeney, Trustee Kimberly Jones, Clerk Peter Gialamas, Ron Wolflick of Honor Flight Chicago, Trustee Claire McKenzie, and Trustee David Carrabotta.
For the past 5+ years, the Clerk's Department of Maine Township has donated $1000 per year to help support Honor Flight Chicago, a non-profit organization dedicated to taking veterans from World War II and more recently the Korean and Viet Nam wars to Washington DC. The one-day trips take groups of veterans to view the war memorials in our nation's capital. Along the way and back, the veterans are honored by families, friends, various military personnel, and others in recognition of their service to our country, says Peter Gialamas, Clerk of Maine Township.
Funds come from the processing fees the Clerk's Department collects for processing passports, Gialamas says.
For more information about Maine Township, visit www.mainetown.com or call 847-297-2510."
8,/illinois/desplaines/maine-township-residents-save-money-free-prescription-card,2019-12-20T23:34:42Z,Maine Township residents save money with free...,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
CAPTION
Pick up your free Coast2Coast prescription card available at Maine Township, 1700 Ballard Rd, Park Ridge, and begin saving on your medications today. The card may also be downloaded and printed from www.coast2coastrx.com.
Since Maine Township launched the Coast2Coast Rx Plan six years ago, it has saved township participants more than a million dollars. According to Austin Kelso, Director of General Assistance, the program has typically saved program participants more than $200,000 annually on prescriptions.
All Maine Township residents—regardless of income, age, or health status—are encouraged to save on the cost of their medications through this program. The free prescription drug card offered through Coast2Coast Rx is good for the entire family and may be picked up at Maine Township offices or at participating pharmacies. The card may also be downloaded and printed from www.coast2coastrx.com.
Not insurance—and not intended to replace insurance—the Coast2Coast Rx plan features 59,000 plus participating pharmacies including major chains and most independents, more than 60,000 drugs, and savings of up to 65 percent on brand name generics. The card has no expiration date and may be used as needed—even for pet prescriptions that are filled at a participating pharmacy.
Although the card was originally designed for people without health insurance, all residents should compare pricing whether or not they have insurance, according to Kelso, who said that in in some cases it may offer better pricing than certain health insurance plans. In addition, some medications might not be covered in health plans that are covered by the Coast2Coast Rx card."
9,/illinois/desplaines/maine-township-promotes-safety-during-winter-months,2019-12-06T01:06:18Z,Maine Township promotes safety during winter...,0,0,BMG Media Services/Karen Larsen,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
CAPTION
Now that the calendar says December, snow cannot be far behind and Maine Township wants residents to be ready for the weather ahead.
Planning ahead for winter can really pay dividends, according to Walter Kazmierczak, Maine Township Highway Commissioner. ""If we all follow these simple rules, it can help make winter less of a burden on all of us,"" he said.
""It is important for residents to observe snow route parking bans that go into effect after two inches of snow,"" said Kazmierczak who added that cars that restrict the Township's ability to plow streets may be ticketed and or towed. He advised residents to use off street parking, if possible.
Residents are also asked to keep sidewalks shoveled to facilitate safe pedestrian traffic and also to make sure that fire hydrants are accessible and visible from the street. However, snow should not be shoveled or blown from private property onto public sidewalks or streets. ""This causes unnecessary hazards and is also subject to tickets or fines,"" said Kazmierczak.
The safety and mobility of all residents depend on easy access to streets and sidewalks, according the highway commissioner, who reminded people that emergency and snow plow vehicles have the right of way. He also cautioned people not to follow a snow plow or a salt truck as weather conditions may make it difficult for the driver to see them."
