,url,Date,Title,Thank,Reply,author,title,context
0,/south-carolina/easley/should-your-state-legalize-pot-easley,2014-04-23T21:28:44Z,Should Your State Legalize Pot?,0,0,Megan Taros,Patch Staff,"In January of this year, the state of Colorado began legal sales of marijuana. While the decision to sell marijuana has caused a great deal of controversy and attracted scrutiny from the federal government, one thing that's not debatable is its economic impact.

Since Colorado began allowing the sale of marijuana:"
1,/south-carolina/easley/what-child-care-costs-mean-for-you-and-your-family-easley,2013-11-12T17:59:33Z,What Child Care Costs Mean for You and Your Family,0,0,Patch Staff,Patch Staff,"Written by Brian Stoffel, Daily Finance

Politics aside, Hillary Clinton was right: For most of human history, it usually took a village (or a tribe) of people to raise a child. Humans are social creatures: Though moms and -- to a lesser extent -- dads shouldered the major tasks of child-rearing, the support of the community played a huge role. Meals were cooked, kids were looked after, and social groups helped ensure the safe upbringing of the young.

Today, that same societal structure isn't anywhere near as prevalent. In its place are long waiting lists and sky-high costs associated with putting a child in day care.

How expensive has this gotten? If you lived in Washington, D.C., in 2011, putting your infant in a child care center would have cost $388 per week—or more than $20,000 for a full year. Of course, I'm cherry-picking one of the most expensive locales, but it highlights a nationwide trend. In fact, in every region of the country except for the West, a family with two children in child care spent more for their kids to be looked after than they did on all housing costs combined.

If you're expecting, or already have children, here are some key trends to keep in mind when deciding what to do when it comes to looking after your kids.

Location, Location, Location

This is the mantra of just about every real estate agent, but the same could be said of child care providers. For instance, full-time child care for an infant in Mississippi averaged $4,600 per year in 2011, but was $15,000 in Massachusetts.

But the difference in absolute dollars doesn't mean much when you consider that the average salary in Massachusetts is higher than what it is in Mississippi. Instead, the chart above shows the five least and most expensive states to have an infant in center-based care, as a percentage of median family income.

Even within states, however, there are big differences. And no variable seems to be more important than -- you guessed it -- location. But this time, instead of talking about different states, we're referring to the difference between living in an urban or suburban community (defined as near a city center of at least 50,000) and a rural one.

The most extreme example would be in Oregon, where the cost to put your infant in a child care center in an urban area is more than twice as expensive as it is in a rural area. But Oregon isn't alone (see the Urban Care vs. Rural Care chart above).

Is It a Better Option to Quit Your Job and Stay at Home?

When confronted with such costs -- and endless waiting lists -- many parents are faced with the difficult decision of whether to continue working or to take a few years off to care for their children themselves.

Of course, finances alone aren't the only consideration; for many people, their work is an intrinsically rewarding experience that goes beyond just earning a paycheck. But because one's approach to their work varies from individual to individual, let's just focus on the dollars and cents of such a decision.

One very important matter to be aware of is a federal tax credit available to families who have to pay for child care. The credit is good for up to 35 percent of your child care bill with a limit of $3,000 for one child and $6,000 for two or more children.

Let's take the most average state from our data set—Iowa—and see when it makes more financial sense to stay at home (See first chart for ""Two Working Parents vs. One Working Parent"" above). The income for two working parents is $75,581, about double the income for one parent. As you can see in the chart, after taxes and the cost of childcare, it still makes far more financial sense to have both parents working.

But oftentimes, there's more than one child at home. In fact, let's assume there are three. And instead of assuming that both parents earn the same amount, let's assume the wife makes 77 percent of what the husband makes -- which reflects societal norms. How might that change the equation? (See last chart for ""Two Working Parents vs. One Working Parent"" above).

Even though it still makes financial sense to keep working, the numbers are much closer ($44,193 for two working parents vs. $39,167 for one working parent). Factor in the costs of buying formula and transportation, and you might easily find that staying home is just as good an option.

One thing to note here is that these are incredibly simple calculations, only taking into consideration personal exemptions and standard deductions for filing jointly. In the end, running your own numbers is the only way to know what financially works for you.

Brian Stoffel is a contributing writer to The Motley Fool."
2,/south-carolina/easley/three-ways-the-shutdown-hurt-the-economy-easley,2013-11-09T14:45:49Z,Three Ways the Shutdown Hurt the Economy,0,0,John Ness,Patch Staff,"By Catherine Crawford

Once a day, Patch tackles national news that affects your community. If you have suggestions for tomorrow's story, email catherine.crawford@patch.com.

The Office of Management and Budget (OMB) released a 27-page report on Thursday detailing the expected costs of last month's two and a half week government shutdown. The report is based on information collected from independent forecasters.

The news isn't good. The OMB, an office of the President that aids in the management of the nation's budget, found that the congressional spat over health care and the debt ceiling will cost the United States at least $2 billion, and maybe as much as $6 billion.

Here are a few compelling reasons cited by the OMB:

1) Setback to jobs: In the first half of October, approximately 12,000 fewer private sector jobs were generated, first because of the threat of a shutdown, and then because of the shutdown itself.

2) Money for nothing: During the shutdown, federal workers were furloughed for a whopping combined total of 6.6 million days. After the dust settled, the government shelled out $2 billion to those furloughed federal employees for days that were never worked.

3) Impaired parks: Due to shutdown closures, the country's national parks forfeited about $500 million in visitor spending. Who knows how much the shutdown impacted private tourism companies in the United States.

The numbers above only speak to the economic bruise. The OMB report details further damage felt in areas such as public safety, international relations, federal research, and more.

Go here to read the entire report and see for yourself.

Do you think there will be a repeat of October's shutdown when Congress revisits the budget in January? Tell us in the comments or in a blog post."
3,/south-carolina/easley/faa-allows-most-electronic-devices-throughout-flights-easley,2013-10-31T16:40:52Z,FAA Allows Most Electronic Devices Throughout...,0,0,John Ness,Patch Staff,"Soon there will be no need to stop using your favorite app (or to pretend to stop using it) as your airplane takes off: the Federal Aviation Administration announced Thursday that airlines ""can safely expand passenger use of Portable Electronic Devices (PEDs) during all phases of flight.""

""Each airline will determine how and when this will happen,"" FAA administrator Michael Huerta said Thursday morning.

The easing of restrictions applies to many uses of smartphones, but not to calls themselves. A ban on calls is still in effect.

This will come as a relief to a nation of increasingly smartphone- and Kindle-obsessed travelers, who were banned from using their devices in the takeoff and landing portions of flights in the decade since the September 11 attacks."
4,/south-carolina/easley/letter-conservative-republicans-see-and-understand-the-negative-effects-of-deficit-spending,2013-10-14T23:00:20Z,Letter: Conservative Republicans See and...,0,0,Jason Evans,Patch Staff,"Dear Editor, 
While I may not agree with the strategy of conservative Republicans in Washington, I support their aim – reducing federal government spending. They see and understand the negative effects of deficit spending. 
The US government (more specifically the US Treasury) has run a deficit 36 of the past 40 years and the deficits are getting larger at an alarming rate. Under President Clinton the worst annual deficit was $255 billion. Under President Bush, the worst deficit was $458 billion. Under Obama, the deficits have been over $1 trillion. Total US Treasury debt is now $16.9 trillion.
Whenever the US Treasury spends more than it brings it, it borrows the difference. Specifically the Treasury issues bonds, notes and bills and borrows more money to fund its deficit. 
Savings are limited or growing very slowly, so the growing appetite of the US Treasury for credit pushes up interest rates. In turn, rising interest rates slow economic growth, because higher rates make it more expensive to buy a new home or car and make it more costly to build a new factory or start a new business.
Our leaders in Washington realize higher interest rates are harmful to the economy, but they also realize they lack the will to cut spending, so the Federal Reserve Bank (the national bank) steps in to help by printing more money. Since 2009, the Federal Reserve has printed about $2.9 trillion in new money. That is, the last four years the Fed has printed more 3 times the amount of money it printed the first 95 years of its existence. 
When the Fed prints money, it creates a surplus of money in the financial system, so when the US Treasury steps up its borrowing, interest rates don't rise and they remain low. You can see the low interest rates are stimulating the economy and it is growing again.
The problem with all this money sloshing around in the system is it gets spent on everything else too. This causes the general level of prices to rise (inflation). Why a pack of 500 envelopes are $8.99 when they were $5.99 a few years ago. Why, when you ask the local clerk at the home supply store, she says they are getting some sort of price increase every week now. Ice cream still costs $4.99, but instead of getting a half gallon (2 quarts), the container is only 1.5 quarts. 
The government's official inflation gauge (CPI – Consumer Price Index) states inflation is only 1.5%, but like most economic measures, the CPI was made more rosy in the early 1990's.  Using the old CPI, inflation is truly running at about 6%. Put that together with the fact average household income is rising at 2%, we are all falling behind. Doing the math, the typical person's purchasing power is declining about 4% a year. This will continue, continuing to erode our standard of living.
Using the debt ceiling or by shutting down the government, the conservatives in the US House are trying to get to the root of the problem -- excessive federal spending. I would have gone about it differently, but I do agree with their aim. Federal spending and the resulting deficits must be reduced or we'll all wake up in 10 years and see we are living a lifestyle that is significantly below what it was just a few years ago.
 
Alex Saitta
Pickens"
5,/south-carolina/easley/gov-haley-issues-executive-order-compelling-list-of-state-assets-easley,2013-10-14T21:49:41Z,Gov. Haley Issues Executive Order Compelling...,0,0,Lindsay Street,Patch Staff,"Gov. Nikki Haley issued Executive Order 2013-09, compelling all executive agencies to create and report an inventory of their respective assets to the Budget and Control Board by Dec. 15.
The Executive Order requires all agencies to become compliant with Section 1-11-58 of the South Carolina Code of Laws and Proviso 118.2, which mandates each state agency to perform a detailed, annual inventory and prepare a report of all real property to be submitted to the Budget and Control Board. The Division of General Services will use these reports to create a comprehensive inventory, to help determine excess real property in an effort to consolidate assets.
Haley wants the list of assets ""so she can review it with agencies and figure out what the state can sell or consolidate to save money,"" the State newspaper reported."
6,/south-carolina/easley/letter-case-study-of-a-criminal,2013-10-07T23:00:18Z,"Letter: Case Study of a ""Criminal""",0,0,Jason Evans,Patch Staff,"Dear Editor:

I bring before you a ""crime"" case study before the citizens of Pickens County.

Characters: 18 year old female ""criminal""
                    Male police officer, magistrate judge

Setting:  Well lit downtown Pickens city

Time:  approximately 10 pm

Crime: Headlights not on due to inadvertently hitting dial for auto turn on while helping mother with moving some items.

Background of ""criminal"":  Graduated 2013 a National Honor Society with a 4.0, attends more than full time, local community college for Computer Engineering, worked 6 days a week at local restaurant all summer, now works one day a week at same place due to school. Actively been seeking work, and has even recently took a job sign waving for a local furniture store so she can survive.

As a side note, a certain retired professor, recently gave her a large amount of money for her college education, after meeting her at the local restaurant over the summer including a letter of accommodation.

Never been in the slightest trouble. No past criminal record of any kind.

She has volunteered for the local hospital, and serves as a volunteer our great State of SC in the State Guard under our Governor Nikki Haley, when she enlisted on her 17th birthday with parental consent. She attends every military training and is on call to serve at a moments notice.

Case plead by 18 year old before the magistrate:

You honor I admit I did not have my lights on, I made a mistake, an honest mistake. The only defense I have is my lights are suppose to come on automatically, and I must have inadvertently taken them off auto, I was on a well lit street and and just honestly hadn't noticed. I was in the wrong. I ask the court to take into consideration I made an honest mistake.

I would also like to say I have never been in any kind of trouble. I attend college where I have an ""A"" average. I do volunteer work here in the county, I'm in the SC Guard, and I worked for several candidates in the last election.

I work 1 day a week at Jimmy's Resturant, where I earn minimum wage, just enough to pay gas and car expense to school.

While I can't tell you you will never see me in here again, I can promise you I will never violate the law intentionally.

I made a mistake I'm asking for mercy. If you would like, maybe I could do some community service, but I honestly am not a trouble maker. I'm just trying the best I can to serve my community, get an education, and be a good citizen.

Thank you for hearing me out your honor.

Decision of magistrate: $155 and 2 points

Background: magistrate did not look at defendant, and after defendant was done speaking her case, asking for mercy, only stated while then looking up at her: ""$155 by December -- and if you don't pay your license will be suspended."" Have a nice day.

On the ticket itself it says you can pay the fine or go to court and see the judge. My advice and other well respected folks of the community encouraged her to plead for mercy from the court.

Is this what our system is about? How are judges, judges? We know don't we?

 The police officer could have given a stern warning or of course the ticket as he chose. The judge is there to hear the case and use wisdom to decide what is just and fair in the circumstances and then make judgement.

It is one thing to willfully break the law and another to mistakenly break the law- is it not? Have we gone so far as to not care about our citizens as "" people""- individuals, human beings?

I sat and watched our justice system...

This is the first experience of a young person who believes innocently and naively in a system we call Justice.

Signed,
Proud mother of the 18 year old young lady.

Michelle Wiles"
7,/south-carolina/easley/find-out-where-all-the-bodies-are-buried-in-state-government,2013-10-04T23:00:15Z,Find Out Where All the “Bodies Are Buried” in...,0,0,Jason Evans,Patch Staff,"Ashley Landess, President of the South Carolina Policy Council, Columbia, will be the featured speaker at the Pickens County Taxpayers Association meeting, Tuesday, October 15, 2013, at 7:00 PM at the Farm Bureau Building, two and one half miles south of Pickens on Hwy 178
The Policy Council is a privately funded organization watchful of the South Carolina Legislature and state government's short comings and excesses. Their main audience is the citizens of South Carolina.  The Policy Council believes that it is only when the citizens have a grasp of what their government is doing can they have an impact on its direction. According to their web site they believe state government should be more transparent.
Come to the meeting on October 15th to find out ""where the bodies are buried in state government"" states Dennis Reinert, President of the Pickens County Taxpayers Association.   "
8,/south-carolina/easley/letter-delegation-should-stick-with-current-school-board-setup,2013-09-22T00:48:32Z,Letter: Delegation Should Stick With Current...,0,0,Jason Evans,Patch Staff,"Dear Editor, 
I read members of the local state delegation are considering adding a seventh seat to the school board, and they are seeking public input on the idea. I credit them for asking the public what it thinks before taking action. 
Some have said they fear of too many tie votes on the six member board.  That's an understandable concern, but the voting record doesn't justify that fear. The school board has cast hundreds of votes and only seven had 3 to 3 votes. Six of the seven of those votes were met with a compromise in that meeting or the meeting after, and the issue was resolved with a majority vote. For example, in the 2011-12 budget session, where significant spending cuts were made, three alternative plans were proposed that night. The first two plans failed 3 to 3, and the third passed 4 to 2 and the board passed its budget in short order.
Others have said Easley is under represented. This is untrue. The con­cept of one man/ one vote and equal representation is protected by the US Constitution, Constitutional case law and the Voting Rights Act of 1965. Those laws are enforced by the US Justice Department and the state. If anyone was under-represented, the size of the voting districts would have never been approved, or the county would have been sued long ago. 
Those supporting this 7th seat have argued the Easley school attendance zone has only 1 representative on the school board (the Easley trustee) but the Pickens zone has 2 representatives (the Pickens and Dacusville trustees). Close inspection of the school board districts reveals this also not true.  
The reason for the push to add a 7th seat is political, in my opinion. The spending, tax and borrowing group that ran the school board for years (from Easley and Clemson), overdid it with the Greenville Plan and raising property taxes a record 40 mills, so they lost a few elections. To regain a majority on the board, they are trying to gain an advan­tage not by winning the next election, but asking the delegation to change the rules for the election.
 My hope is the members of the delegation will see it fit to stick with the current board configuration, and let the voters of Pickens County determine in the November 2014 election whether or not the next step of the school board remains conservative, moderates or swings back to the left.
Alex Saitta
School board trustee – Pickens"
9,/south-carolina/easley/registrations--elections-commission-to-hold-voter-registration--voter-id-drives,2013-09-21T01:00:23Z,Registrations & Elections Commission to hold...,0,0,Jason Evans,Patch Staff,"The Pickens County Registration & Elections Commission wants to help citizens register to vote prior to the October 5th Registration Deadline and to obtain the necessary photo identification to prepare for the November
5, 2013 municipal elections in Central, Easley, Liberty, Norris, and Pickens. To accomplish this, the Commission will conduct Voter Registration & Voter ID Drives at which citizens will be able to register to vote, have their photo taken, and have their new Photo Voter Registration Cards mailed to them.

The Voter Registration & Voter ID Drives will be at the following Pickens County Library locations:

October 1, 2013 from 1pm to 4pm at the Captain Kimberly Hampton Memorial Library
304 Biltmore Road
Easley, SC 29640

October 3, 2013 from 1pm to 4pm at the Central-Clemson Regional Branch
105 Commons Way
Central, SC 29630

October 2, 2013 from 1pm to 4pm at the Sarlin Community Branch
15 S. Palmetto Street
Liberty, SC 29657

October 4, 2013 from 1pm to 4pm at the Village Branch
124 N. Catherine Street
Pickens, SC 29671

Attire and Appearance of Voter ID Applicants:

1. The person being photographed cannot wear caps, hats, scarves or other head coverings. The exceptions to this rule are head coverings for religious or medical reasons. In all cases, no item or attire should cover or otherwise obscure any part of the face.

2. The person being photographed cannot wear face veils, stage make-up, disguises, masks or any other article that would obstruct the full face front view and/or any prominent distinguishing facial characteristics and/or markings- examples: tattoos, scars, birth marks or moles.

3. Hair cannot obstruct voter's eyes and facial features.

4. The person being photographed cannot wear sunglasses or any other eye covering or protection that would obstruct the eyes- Exceptions are glasses with prescription lenses (not sunglasses) or eye patches worn for medical reasons. Eye patches, dark glasses, and nonprescription glasses with tinted lenses are not acceptable unless the voter is required to have them for medical reasons. A medical certificate will be required.

Note: At no time will an applicant be photographed when it appears that he/she is purposely altering his/her
appearance so that the photo would misrepresent his/her voting identity.

** This is NOT a library sponsored event! **"
