,url,Date,Title,Thank,Reply,author,title,context
0,/california/east-palo-alto/vote-center-opening-east-palo-alto,2020-02-21T23:57:31Z,Vote Center Opening In East Palo Alto,0,1,Renee Schiavone,Patch Staff,"REDWOOD CITY, CA — San Mateo County voters will have a total of nine places to vote in person come Saturday, Feb. 22 ahead of the upcoming March 3 election. There are already three centers open around the county, with six more slated to open this weekend.
The new locations to open Saturday include:
The centers will be open from 9 a.m. until 5 p.m. daily until Election Day. On that day, they will be open from 7 a.m. until 8 p.m.
Centers had previously opened on Feb. 3 in Redwood City, San Mateo and South San Francisco. Thirty-three additional Vote Centers will open on Feb. 29.
Here's more information from the County of San Mateo:
Voters are encouraged to check My Election Info on www.smcvote.org to track when the Registration & Elections Division received their voted ballot. Voters can also confirm if their ballot was accepted.
The Registration & Elections Division offers a toll-free hotline, 888.SMC.VOTE (888.762.8683), to assist in English, Spanish, Chinese, Korean, and Tagalog.
All-Mailed Ballot – Vote Center Election Model for the March 3, 2020 Presidential Primary Election
The March 3, 2020 Presidential Primary Election will be the fourth election San Mateo County conducts under the California Voter's Choice Act (VCA) model. It is the first Presidential Primary Election to be held under the VCA.
Traditional polling places have been replaced by Vote Centers, which will be open for voting for an extended period, and which will offer expanded voter services, including voter registration, multilingual assistance, and disabled access voting options. Every registered voter will also receive a Vote by Mail ballot, which voters can return with no postage required in any mailbox or into secure county ballot drop boxes located throughout the county.
For more information, call 650.312.5222, visit www.smcacre.org or follow us on Twitter and Instagram @smcvote"
1,/california/east-palo-alto/2-affordable-housing-peninsula-projects-get-38m-state,2019-07-01T17:46:58Z,2 Affordable Housing Projects To Get $33M From CA,0,0,California News Wire Services,News Partner,"EAST PALO ALTO, CA — Two affordable housing projects in Millbrae and East Palo Alto will receive over $38 million from the state, county officials announced on Friday.
The grant will add 208 units for veterans and very low and extremely low-income individuals in San Mateo County. The money was awarded for Bayshore Affordable Apartments in Millbrae and Light Tree Apartments in East Palo Alto. The funding came from the state Affordable Housing and Sustainable Communities program.
""This award represents the power of building strategic collaboration between the Department of Housing, the developers, the cities and our transportation partners,"" Ken Cole, director of San Mateo County's Department of Housing, said in a statement.
The application for the award takes three to six months to prepare, but the county and its partners prepared it in one month. Bayshore Affordable Apartments will be a part of the Gateway at Millbrae Station, a residential and retail development to be located near the Millbrae BART/Caltrain station. Light Tree Apartments, developed by Eden Housing and EPA CAN DO, at 1805 E. Bayshore Road, will provide 128 new and replacement units for families and substantially renovate and preserve the affordability of 57 units to remain at the property.
""The grant is an opportunity for us to take 91 families off our waiting list and into a high-quality home,"" Linda Mandolini, president of Eden Housing, said in a statement.
—Bay City News"
2,/california/east-palo-alto/20-million-designated-east-palo-alto-affordable-housing,2019-06-24T15:19:40Z,$20M Designated For E Palo Alto Affordable Housing,0,0,California News Wire Services,News Partner,"EAST PALO ALTO, CA — The city of East Palo Alto announced Friday a local coalition will
receive $20 million to build more affordable housing and make transit and other infrastructure greener.
The city of Palo Alto, Eden Housing, East Palo Alto Community Alliance & Neighborhood Development (EPACANDO), and San Mateo County Transit District (SamTrans) collaborated to submit the grant proposal, according to a City of East Palo Alto press release.
The coalition received $13.5 million in loans for affordable housing development and $6.5 million in grants for transit and infrastructure improvements. The grant funds the construction of 128 new units at Light Tree Apartments, located at 1805 E. Bayshore Road, including 14 units for the
formerly homeless, disabled and youth.
""The Light Tree Apartments, originally built in 1966, has been home to many generational cycles past and present. It is due a transformation and with these funds in will be one of the more modern housing facilities in the city,"" said Vice Mayor Regina Wallace-Jones.
Linda Mandolini, president of Eden Housing, which acquired the Light Tree Apartments property in 2001, said, ""More than 200 names are on Eden Housing's waiting list for a unit in Light Tree Apartments. The grant is an opportunity for us to take 91 families off of that list and into a
high-quality home.""
The transit allotment of $2.25 million was designated to SamTrans to buy three electric buses for a planned bus route linking East Palo Alto with BART at San Bruno and other places, according to the city.
SamTrans will use $500,000 of the funds to provide Light Tree residents with up to 650 SamTrans transit passes per year for up to three years. The city will use the remaining $3.75 of the transit and infrastructure portion of the grant to modernize Addison Street by installing
sidewalks, bikeways, and making other changes to bus stops.""
At EPACANDO we are excited to be awarded funding relating to control of greenhouse gas emissions. We are proud to address housing needs in coordination with transportation efforts by creating a development that models the link between them,"" said Duane Bay, executive director of
EPACANDO.
The grant money derives from Affordable Housing and Sustainable Communities funding, according to the city.
—Bay City News"
3,/california/east-palo-alto/peninsula-city-allow-rv-parking-living-space,2019-05-14T22:14:31Z,Peninsula City To Allow RV Parking/Living Space,0,0,California News Wire Services,News Partner,"EAST PALO ALTO, CA — The city of East Palo Alto has launched a program to provide people living in recreational vehicles with space to park overnight along with restrooms, showers and laundry services in response to the Bay Area's housing crisis.
According to the city manager's office, the increase of RVs in the city due to a lack of affordable housing options presented health and safety concerns that prompted the design of the pilot program.
The site, located at 1798 Bay Road, will accommodate 16 RVs throughout the night. The RVs are then asked to vacate during the day.
Participants will be required to engage with social workers sent by the nonprofit Project WeHOPE to assist them in their search for housing. Only RVs verified to have been in the city as of Jan. 15 were permitted to apply to the program because the city ""did not want to create a regional attraction for RVs,"" city officials said. There were 48 applicants. A waiting list remains active and RVs on the list are permitted to park on the streets for a while until they are admitted into the program.
A ceremony is set for 7 p.m. Tuesday to mark the opening of the site. Mayor Lisa Gauthier and other city officials and community members are expected to attend.
—Bay City News
See also"
4,/california/east-palo-alto/east-palo-alto-man-convicted-shooting-police-officers,2018-11-16T18:03:50Z,Man Convicted Of Shooting At Newark Police,0,0,Bay City News,News Partner,"OAKLAND, CA — An East Palo Alto man was convicted Thursday of two counts of attempted murder of a police officer and other charges for shooting at three officers in Menlo Park in 2015.
Haloti Lauese, 26, faces a sentence of up to life in prison for a crime spree on April 29, 2015, that began with a home invasion robbery at an apartment building in the 39800 block of Fremont Boulevard in Fremont and ended with him shooting at Newark and Fremont officers who pursued him to Menlo Park.
But Lauese will be eligible for parole after serving 20 years because he's considered a youthful offender since he was under the age of 23 at the time of his crimes. He's scheduled to be sentenced on Jan. 11.
Alameda County prosecutor John Brouhard told jurors in his closing argument on Tuesday that Lauese should be convicted of three counts of premeditated attempted murder of a police officer because Newark officers Lisa Schwerin and Jeffrey Saunders and Fremont Detective Jeff Lawrence
""almost got killed"" when Lauese fired at them after they chased him to Menlo Park.
But Lauese's attorney Stephen Avilla said Lauese shouldn't be convicted of premeditated attempted murder because he thinks Lauese was only shooting in the general direction of the officers as he tried to flee and didn't intend to kill them.
Jurors, who only deliberated for a day, delivered a nuanced verdict, as they only found Lauese guilty of one count of premeditated attempted murder, which was for shooting at Lawrence.
Jurors found Lauese guilty of attempted murder for shooting at Saunders but didn't find that that the shots he fired at her were premeditated.
Jurors acquitted Lauese of the attempted murder charge involving Schwerin but found him guilty of three counts of assault on a police officer with a semi-automatic firearm for shooting at all three officers.
Jurors also found Lauese guilty of two counts of robbery in concert for the home invasion robbery in Fremont in which Lauese and co-defendants Demetrius Crayton and Shawn Thomas stole marijuana, a laptop, a cellphone and cash.
Thomas pleaded no contest to robbery with the special use of a firearm and Crayton pleaded guilty to one count of home invasion robbery in concert with the use of a firearm. Both men will be sentenced next year.
After the verdict, Brouhard said, ""I'm very pleased with the jury's verdict because Mr. Lauese put the officers' lives in great danger.""
Brouhard said he believes Lauese really wanted to kill the three officers because he aimed at them.
""Luckily he missed,"" Brouhard said.
(Get Patch real-time email alerts for the latest news from your California neighborhood. Also, download the free Patch iPhone app or free Patch Android app. Also, be sure to follow your local Patch on Facebook!)
Also See:
— Bay City News; Image via Shutterstock"
5,/california/east-palo-alto/east-palo-alto-lawmakers-bill-outlaws-drones-above-prisons,2018-09-12T01:17:20Z,Gov. Signs East Palo Alto Lawmaker's Bill ,0,0,City News Service,News Partner,"SAN MATEO COUNTY, CA — Gov. Jerry Brown signed a bill Monday outlawing drone flights over
state prisons, jails, and juvenile facilities. State Sen. Jerry Hill, D-San Mateo, introduced Senate Bill 1355 earlier this year after several state prisons reported drugs and other contraband that were smuggled into the facilities via drones.
""SB 1355 updates current law to make clear that using drones to smuggle contraband into correctional facilities is also unlawful,"" Hill said.
The bill will go into effect in January, making any infractions punishable by a $500 fine. Employees of the prisons who are authorized to operate drones as part of their job will be exempt from the restrictions of the bill.
By Bay City News Service / Image via Shutterstock"
6,/california/east-palo-alto/east-palo-alto-smc-cops-need-anti-overdose-drug-grand-jury-says,2018-06-29T21:43:21Z,"SMC Cops Need Anti-Overdose Drug, Grand Jury Says",0,0,City News Service,News Partner,"Law enforcement officers in San Mateo County should start carrying the drug naloxone, also known as Narcan, to help prevent fatal opioid overdoses, according to a report issued this week by the county's civil grand jury.
Potent synthetic opioids like fentanyl pose a high risk to drug users, members of the public and law enforcement officers alike. In 2016, there were 19 people in San Mateo County who died as a result of exposure to the drug, and more than 1,900 fatalities statewide, according to the report.
Equipping police with naloxone, which can be administered nasally, can save the lives of anyone accidentally exposed to fentanyl through skin contact or inhalation of airborne particles.
Sometimes those victims include law enforcement officers investigating drug cases. Police dogs face some of the same risks, and can also be saved by administering naloxone.
While medical professionals frequently already have access to naloxone, law enforcement officers are frequently the first on scene for opioid overdoses, particularly in sparsely populated areas, according to the
report.
With roughly an hour of training, officers can administer the drug relatively easily -- and so far more than 35 law enforcement agencies in California have opted to equip their personnel with it.
The grand jury's report indicates that there's a pilot program under development by the San Mateo County Joint Narcotics Task Force, but as of this morning no other law enforcement agencies in the county were training or equipping their personnel to use or carry the life-saving drug.
Thursday afternoon, however, the San Mateo County Sheriff's Office announced that their deputies had undergone the training and would begin carrying Narcan to assist the public and each other.
Sheriff' Carlos Bolanos called it ""an important safety tool for my personnel and the community.""
By Bay City News Service / Image via Fuss Sergey, Shutterstock.com"
7,/california/east-palo-alto/ravenswood-city-school-district-funding-measure-s-passes,2018-06-06T21:57:27Z,Ravenswood School District Funding Measure Passes,0,0,City News Service,News Partner,"SAN MATEO COUNTY, CA — Multiple school district ballot measures in San Mateo County were either narrowly defeated or barely passed by voters in Tuesday's election, according to complete unofficial election results.
Measure J, a school bond measure in the Jefferson Union High School District, had 54.1 percent approval while Measure M from the Cabrillo Unified School District had 54.9 percent approval, both just short of the 55 percent needed to pass.
Measure J was a $33 million bond measure to fund rental housing for the district's teachers and staff, while Measure M was a $99 million bond measure to fund renovations of schools.
The Belmont-Redwood Shores School District sought a $118 parcel tax for five years to fund academic programs and school libraries, but needed two-thirds approval and came up short at 64.8 percent.
Measure L, a $166 parcel tax proposed by the Brisbane School District, narrowly passed with 67.3 percent of voters, just above the two-thirds majority needed for approval.
School district funding measures in the Las Lomitas Elementary School District, Pacifica School District and Ravenswood City School District passed with more comfortable margins.
Millbrae School District had 74.5 percent of the vote needed for Measure N.
The two non-school district measures on the San Mateo County ballot -- Foster City's Measure P to fund up to $90 million in bonds for levee improvements and Portola Valley's Measure T to reduce the utility user tax on telephone, gas, water and electricity -- also passed.
By Bay City News Service / Image via Shutterstock"
8,/california/east-palo-alto/east-palo-alto-offers-2-vote-mail-ballot-drop-locations,2018-05-30T16:07:11Z,East Palo Alto Offers 2 Vote-By-Mail Ballot Drop,0,0,City News Service,News Partner,"SAN MATEO COUNTY, CA — May 29, 2018 was the final day that registered voters could request a replacement Vote by Mail ballot to be delivered by mail for the June 5, 2018 Statewide Direct Primary Election. The deadline ensures that there is enough time for postal delivery.
""All County residents who registered to vote by the May 21 State voter registration deadline have been mailed a ballot,"" said Mark Church, San Mateo County's Chief Elections Officer and Assessor-County Clerk-Recorder. ""Voters who have not received their ballot or made a mistake may request a replacement ballot at a Vote Center through Election Day, June 5, 2018.""
To Request a Vote by Mail Ballot After May 29, 2018
All requests for a Vote by Mail ballot after May 29, 2018 must be made in person at one of the County's Vote Centers. For locations or assistance, contact the Registration & Elections Division.
Vote Center Hours of Operation:
• Tuesday, May 29 through Monday, June 4 (daily)
9 a.m. to 5 p.m.
• Tuesday, June 5 (Election Day)
7 a.m. to 8 p.m.
Returning Your Voted Ballot
You may mail in your voted ballot to the Registration & Elections Division or you may deliver it in person to any Vote Center or City/Town Hall in the County during business hours. There are also Ballot Drop-off Boxes inside the Burlingame, East Palo Alto and Half Moon Bay Libraries available during their regular business hours.
24-Hour Drive-Up Ballot Drop-off Boxes
There are four drive-up 24-hour Official Ballot Drop-off Boxes for your convenience. They are located at:
The Drop-off Boxes and Vote Centers will close at 8 p.m. on Election Day.
Voted Mail Ballot Deadline
To be counted, voted mail ballots must be postmarked on or before Election Day, June 5, 2018 and physically received no later than Friday, June 8, 2018.
New Election Model for June 5, 2018
The June 5, 2018 Statewide Direct Primary Election is the first election conducted under the California Voter's Choice Act (VCA). The VCA implements an All-Mailed Ballot/Vote Center election model, with every registered voter receiving a Vote by Mail Ballot through the mail. The voted ballot may be returned by mail, dropped off at any Vote Center or Ballot Drop-off Box located throughout the county. Return postage is pre-paid.
Vote Centers replace traditional polling places and are open for voting throughout the early voting period. Vote Centers provide expanded voter services such as voter registration, multilingual assistance, and disabled access voting options.
For more information on the California Voter's Choice Act and the new All-Mailed Ballot/Vote Center election model, please call 650.312.5222, visit www.smcacre.org or follow us on Twitter @smcvote.
— SUBMITTED FOR PUBLICATION BY: San Mateo County Registration & Elections Division / Patch file photo by Renee Schiavone"
9,/california/east-palo-alto/vote-center-now-open-east-palo-alto-more-opening-nearby,2018-05-22T22:15:52Z,Vote Center Now Open In East Palo Alto,0,0,Renee Schiavone,Patch Staff,"SAN MATEO COUNTY, CA — San Mateo County elections officials announced this week that five more voting centers will open to registered voters for the upcoming June election. The election, which is an all-mailed-in election, is slated for June 5, but residents can drop by early to cast their ballots in person if they'd like.
""The June 5 Election is the first All-Mailed Ballot/Vote Center Election under the California Voter's Choice Act,"" Mark Church, San Mateo County's Chief Elections Officer & Assessor-County Clerk-Recorder, said. ""I'm pleased to say that San Mateo County is one of just five counties in the State to offer voters these voting options under the new law.""
The new centers are located in Daly City, Half Moon Bay, Redwood City, San Bruno and San Mateo.
The county previously opened up locations in San Mateo, Redwood City, South San Francisco and East Palo Alto. Another 30 vote centers are slated to open on June 2.
More information about the centers can be found below:
Vote Centers for the Statewide Direct Primary Election currently open are located at:
Vote Centers opening on May 26 are located at:
Hours of operation for the nine Vote Centers are as follows:
• Saturday, May 26, 2018 through Monday, June 4, 2018
8 a.m. to 5 p.m. (daily including Memorial Day)
• Tuesday, June 5 (Election Day)
7 a.m. to 8 p.m.
--
Patch file photo by Renee Schiavone"
