,url,Date,Title,Thank,Reply,author,title,context
0,/minnesota/edenprairie/city-eden-prairie-publishes-friday-report-may-22,2020-05-22T19:08:44Z,Eden Prairie Publishes Friday Report,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
May 22, 2020
A temporary order is in effect allowing any Eden Prairie business located in a commercial or industrial zone to establish drive-up or drive-thru areas, customer ordering, waiting or pick-up areas, or customer seating or service areas on its property to facilitate safe commercial activity consistent with federal and state orders or guidelines. The temporary outdoor use can occur in parking areas or green space areas without a variance.
No City permits are required for establishing these customer service areas, but operators must prepare a traffic management plan, and provide on-site traffic and operational management. Customer waiting, seating or service areas must not impede sidewalk usage nor block disabled persons parking spaces or ramps, or create nuisance conditions for abutting properties.
Learn more at edenprairie.org/OutdoorService.
The City's public beaches at Riley Lake and Round Lake open Saturday, May 23, with lifeguards on duty and new COVID-19 rules in place. To facilitate appropriate physical distancing, we will supervise the beach area and restrict access to a manageable number of visitors. More information is available at edenprairie.org/Beaches.
To limit the spread of coronavirus, City meetings are being conducted virtually until further notice. If you would like to speak at the public hearing during the May 26 Planning Commission meeting, call 952-949-8300 or submit a Request to Speak form by noon on the meeting date. You will then receive a phone number and access code to participate in the meeting.
Planning Commission meetings are televised live on EPTV, the City's cable government access channel. Meetings are also streamed live at edenprairie.org/CityTV and available on-demand within 24 hours of each meeting.
Due to the COVID-19 pandemic, Eden Prairie's Assessing Division will review data remotely to conduct property inspections until further notice. To meet statutory requirements, while adhering to Minnesota Department of Health guidelines, properties will be reviewed remotely using online mapping and computer-assisted data analysis to conduct annual property reviews. Learn more at edenprairie.org/Assessing.
Through May 29, self-employed entrepreneurs and business owners with no additional employees can apply for grants of $1,500 up to $3,000 to help cover eligible expenses caused by COVID-19. Visit hennepin.us/economic-development/programs/Emergency-Relief for more information and to apply.
Project Profile [PDF]
Council Calendar [PDF]
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
1,/minnesota/edenprairie/eden-prairie-publishes-friday-report-may-15,2020-05-15T21:10:22Z,Eden Prairie Publishes Friday Report,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
May 15, 2020
The City is accepting applications for the Students on Commissions program for the 2020-2021 school year. The program is open to any high school junior or senior (as of September 2020) who lives in Eden Prairie. The application deadline is Friday, May 29; apply at edenprairie.org/StudentApp.
Five commissions have openings for students:
Beginning Tuesday, May 19, Valley View Road between Franklin Circle and Ontario Boulevard will be closed for one week. The closure is needed to accommodate the installation of sanitary sewer and water mains for the Eden Ridge Estates single-family residential development. A detour is posted around the work. Residents with driveways within the closure area will have access to their driveways during construction. Learn more about the Eden Ridge Estates project at edenprairie.org/Development Projects.
Minnesota voters can now apply for absentee ballots for the Aug. 11 Primary Election and/or Nov. 3 General Election. Ballots are mailed 6 weeks before each election. Visit MNVotes.org to apply for an absentee ballot and more information.
See Eden Prairie's 2020 election timeline.
Although racing as a group is not possible this year due to COVID-19 concerns, the annual Stop the Trafficking 5K will still take place virtually. The 5K is a collaborative, community-wide event to raise awareness about human trafficking. All proceeds from the race are designated towards organizations working to help sexually exploited youth and women in our surrounding communities.
The race itself will go on through walking or running a 5K in your home or neighborhood sometime between June 13-21 and then posting your results. For more information or to sign-up, visit StopTheTraffickingRun.org.
Project Profile [PDF]
Council Calendar [PDF]
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
2,/minnesota/edenprairie/minnesota-voters-can-apply-absentee-ballots-may-13,2020-05-13T10:59:31Z,Minnesota Voters Can Apply For Absentee Ballots,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
May 13, 2020
Starting today, May 13, Minnesota voters can apply for absentee ballots for the Aug. 11 Primary Election and/or Nov. 3 General Election. Ballots are mailed 6 weeks before each election.
Visit MNVotes.org to apply for an absentee ballot and more information.
You can also find an Eden Prairie 2020 election timeline at edenprairie.org/Elections.
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
3,/minnesota/edenprairie/eden-prairie-city-publishes-friday-report-may-8,2020-05-09T10:27:13Z,Eden Prairie City Publishes Friday Report,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
May 8, 2020
Parks and Recreation Programming Updates
To keep our community safe during the coronavirus pandemic, the City has made the difficult decision to cancel all Parks and Recreation programs and events through July 5. If you or a member of your family is registered for one of these programs, you will automatically receive a full refund, in the form of your original payment, within the next few weeks. Registration for remaining summer programs will reopen in June if circumstances allow.
Some of the impacts include our community's summer concert series, Hometown Celebration and City facility rentals. More details on Parks and Recreation programs.
Eden Prairie Liquor Stores
Effective Saturday, May 9, Eden Prairie Liquor will once again serve customers at all three locations when the store near Lunds & Byerlys reopens.
Reduced hours remain in effect until further notice. Eden Prairie Liquor staff members remain committed to keeping stores sanitized while following safe physical distancing measures. Employees and customers who feel sick are asked to not enter the stores.
#InThisTogether yard signs are available for $10 at any Eden Prairie Liquor location – all profits ($3 each) from the sale of these signs will help Eden Prairie PROP feed hungry families in our community.
Election Judge Recruitment
Election judges are essential to our democracy, as they are responsible for administering election procedures in each polling place on Election Day. They help guarantee the rights of voters are protected and ensure the election process is fair, accurate and in accordance with election laws. Learn how to become an election judge.
Apply at edenprairie.org/ElectionJudgeApp by Friday, June 5.
Annual Financial Report and Statements
The 2019 Comprehensive Annual Financial Report (CAFR) [PDF] is now available.
Real Talk With Rick Podcast
""COVID Conversation 3"" is the latest installment of the Real Talk with Rick podcast. Rick shares a few messages from individuals who responded to the City's resident check-in survey. He and the show's producer discuss how human interaction has shifted from in-person to over-the-screen meetings, managing the work/life balance with kids at home, and trends such as growing a beard during the stay-at-home order. You can listen to this and all previous episodes at edenprairie.org/RealTalk.
Project Profile [PDF]
Council Calendar [PDF]
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
4,/minnesota/edenprairie/eden-prairie-city-recruiting-election-judges-primary-day,2020-05-06T15:44:35Z,Eden Prairie City Recruiting Election Judges,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
May 5, 2020
The City of Eden Prairie is calling on eligible residents to serve as election judges on Primary Day, Aug. 11, and Election Day, Nov. 3.
Election judges are essential to our democracy, as they are responsible for administering election procedures in each polling place on Election Day. They help guarantee the rights of voters are protected and ensure the election process is fair, accurate and in accordance with election laws.
Learn more about becoming and election judge.
Apply at edenprairie.org/ElectionJudgeApp by Friday, June 5.
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
5,/minnesota/edenprairie/eden-prairie-city-council-meeting-will-be-held-virtually-may-5,2020-05-02T17:23:41Z,Eden Prairie City Council Meeting Will Be On May 5,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
May 01, 2020
Council members and City staff will join via video conference and residents can participate remotely. Meeting information, including agenda packets and minutes, can be viewed at edenprairie.org/Calendar.
Comments for the City Council can be made by calling 952-949-8300 or submitting online form.
If you would like to speak at a public hearing during the virtual City Council meeting, call 952-949-8300 or submit Request to Speak form by noon on the day of the meeting. You will then receive a phone number and access code to participate in the meeting.
City Council meetings are televised live on EPTV, the City's cable government access channel. Meetings are also streamed live at edenprairie.org/CityTV and available on-demand within 24 hours of each meeting.
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
6,/minnesota/edenprairie/eden-prairie-city-publishes-friday-report-april-24,2020-04-24T21:25:44Z,Eden Prairie City Publishes Friday Report,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
April 24, 2020
To support businesses impacted by COVID-19, Hennepin County is offering emergency forgivable loans of up to $7,500 to help small businesses meet immediate financial needs. Loans can be used to pay for critical operating expenses. The Small Business Relief Program application will become available April 27. Learn more about the criteria at hennepin.us/economic-development/programs/Emergency-relief.
The City is accepting applications for the Students on Commissions program for the 2020-2021 school year. The program is open to any high school junior or senior (as of September 2020) who lives in Eden Prairie. The application deadline is Friday, May 29. Five commissions have openings for students:
On Wednesday, April 22, lane closures from Flying Cloud Drive to Technology Drive began for SWLRT work. Access from Flying Cloud Drive to Technology Drive will be closed for approximately three months.
On Monday, April 27, the TC&W railroad crossing safety improvements project at West 62nd Street and Birch Island Road will begin. Road closures are expected during the course of the project, and the anticipated completion time is two months. For more details see edenprairie.org/InfrastructureProjects.
The Southwest Suburban Cable Commission 2019 Annual Report [PDF] document is now available.
March 2020 Construction News [PDF]
Project Profile [PDF]
Council Calendar [PDF]
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
7,/minnesota/edenprairie/eden-prairie-city-council-extends-emergency-declaration,2020-04-01T12:06:37Z,Eden Prairie City Council Extends Emergency,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
Earlier this evening, in response to the COVID-19 pandemic, the City Council voted to extend the Emergency Declaration in Eden Prairie, which permits City leaders to request and coordinate appropriate aid, and resources from our mutual aid partners as needed.
To prioritize the health and well-being of our community and employees, and to help slow the spread of coronavirus, the Eden Prairie City Center (8080 Mitchell Road) is closed to the public until further notice.
Essential services — including public safety, emergency services, public works, and water and sewer utilities — will continue.
""Closing City Center will greatly reduce the health risk to the public and City staff; however, residents can expect to receive the same exceptional level of service that is always provided to our community,"" said Mayor Ron Case. ""We are simply deploying a modified delivery model and asking for all business to be conducted online or by telephone.""
All non-essential employees able to work remotely will do so. To conduct business with the City:
For the most up-to-date City of Eden Prairie information, visit edenprairie.org/Coronavirus.
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
8,/minnesota/edenprairie/city-eden-prairie-reminds-residents-census-day,2020-04-01T12:02:48Z,Eden Prairie Reminds Residents Of Census Day,0,0,Press Release Desk,News Partner,"Press release from the City of Eden Prairie:
April 1, 2020
April 1 is Census Day. By this day, every U.S. household has received an invitation to participate in the 2020 U.S. Census.
Census data determines how billions of dollars in federal funds are distributed for health clinics, school lunch programs, disaster recovery initiatives, and other critical programs and services for the next 10 years.
Residents can respond online, by phone or by mail. If you haven't completed the census yet and need help, visit 2020census.gov.
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
9,/minnesota/edenprairie/mayor-ron-case-proclaims-may-30-parade-day-2020-eden-prairie,2020-03-19T18:22:09Z,Mayor Ron Proclaims May 30 As 'Parade Day 2020',0,0,Press Release Desk,News Partner,"From the City of Eden Prairie:
In June 1964, the Eden Prairie Lions Club hosted the first-ever Schooner Days event, including a parade of marching bands, floats and more. Since then, Schooner Days has become a beloved event marking the unofficial start of summer. This year, the Lions Club is bringing the historic Schooner Days Parade back to our community!
In celebration of this day, Mayor Ron Case has proclaimed Saturday, May 30 ""Parade Day 2020"" in Eden Prairie.
This press release was produced by the City of Eden Prairie. The views expressed here are the author's own."
