,url,Date,Title,Thank,Reply,author,title,context
0,/illinois/evergreenpark/gop-women-reps-call-governor-convene-legislature,2020-04-30T02:13:36Z,GOP Women Reps Call on Governor to Convene...,2,10,Lori Solyom,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
April 28, 2020
Dear Governor Pritzker,
During this unprecedented challenge to our state, you stressed multiple times your willingness and eagerness to work with legislators from both sides of the aisle and from every part of the state. As the women of the House Republican Caucus, we stand ready to offer solutions and work with you to implement a safe and reasonable regional plan to open Illinois. We are business owners, scientists, mayors, lawyers, community organizers, volunteers, officers, mothers, sisters, grandmothers, caregivers, and legislators. We represent 880,000 Illinoisans across all regions of the state—from the Chicago suburbs to regions in northern, western, eastern, southern, and central Illinois.
Our family members and constituents are fighting on the front lines as healthcare workers. We know and love people who are diagnosed with and suffering from COVID-19. We know, love, and represent people who lost their jobs, closed their small businesses, and exhausted their savings. For us, this is not political. This is personal.
We asked many questions concerning IDPH modeling, PPE procurement process and inventory, IDOC policies for transfers and releases, issues at IDES, safeguarding Long Term Care Facilities, and protecting state facilities for veterans and the developmentally disabled. We made many suggestions to promote physical and mental wellbeing, including opening state parks, locking down our prisons, housing our homeless, and protecting our most vulnerable populations. You did respond to our request for IDNR to open our state parks, thank you.
Unfortunately, a majority of our questions and suggestions are not acknowledged. We reached out to you, but you have not contacted one Republican woman legislator to discuss our concerns, suggestions, or solutions. We are writing to tell you as a matter of record the House Republican Women are here for Illinois. We are ready to offer suggestions, strategies, and solutions; and we are calling for the legislature to reconvene. We want to do our job as essential employees for our state and want to work with you to safely and regionally reopen our state.
SAFELY
● As elected officials, we have a responsibility to all Illinois citizens. Our number one priority as wereopen Illinois is to protect those who are vulnerable to this virus and ensure they have the appropriate support and necessary resources.
REASONABLY
● Illinois needs a reasoned and common-sense plan to reopen our state region by region understanding the virus affects each region differently. Some of these common sense steps include:
RESPONSIBLY
● Our constituents deserve a responsible government—a government where there are effective checks and balances and a government where all voices are heard. A responsible government means calling the legislature back to session.
REGIONALLY
● One size does not fit all. We must safely open our state on a regional basis. Other states including New York, Michigan, Pennsylvania, and Iowa proposed measured, regional reopening strategies.
We, the women of the House Republican Caucus, ask you to work with us. We are prepared to work on a serious plan to reopen Illinois safely, reasonably, responsibly, and regionally. We request you meet with us collectively as a group to share our ideas and offer solutions. We must continue to protect our vulnerable populations and safeguard our healthcare delivery systems, while we must also save our economy and our families. We are prepared to assist in developing and implementing a plan to safely get Illinois back to business reasonably, regionally, and responsibly.
Finally, as members of a co-equal branch of government, we request you call a special legislative session to start work on reopening Illinois safely and regionally.
We are ready and await a meeting with you.
Sincerely,
Rep. Avery Bourne
Rep. Terri Bryant
Rep. Amy L. Grant
Rep. Norine K. Hammond
Rep. Deanne M Mazzochi
Rep. Tony M. McCombie"
1,/illinois/evergreenpark/aventura-health-care-polling-place-moved-illinois-primary,2020-03-16T16:58:56Z,Precinct 57 Polling Place Changed,0,0,Lorraine Swanson,Patch Staff,"EVERGREEN PARK, IL — If you've voted in the past at Aventura Health Care, 10042 S. Kedzie Ave. in Evergreen Park (Precinct 57) your polling place has been relocated for voting in the Illinois Presidential Primary on Tuesday, March 17.
The polls will be open from 6 a.m. to 7 p.m. Gov. J.B. Pritzker has ordered the removal of polling places from all senior living facilities as a precaution against community spread of coronavirus to vulnerable populations.
Evergreen Park Precinct 57 voters are to report to the Evergreen Park Activity Center, 3220 W. 98th St., so get out there and vote if you haven't done so already."
2,/illinois/evergreenpark/patchs-2020-illinois-primary-voters-guide-cook-county,2020-03-05T03:54:18Z,Patch's 2020 Illinois Primary Voters Guide,0,2,Lorraine Swanson,Patch Staff,"COOK COUNTY, IL -- Are you voting early or do you love the excitement of voting on Election Day? Can you still register to vote? How do you vote by mail? Patch has compiled helpful links and info for the upcoming Illinois presidential primary on March 17, 2020.
Candidates are vying for their party's nominations for the midterm election in November.
Up for grabs are party nominations for the U.S. Senate, congressional primaries, Illinois state legislature, judicial posts, Cook County seats, Metropolitan Water Reclamation District and others.
Voters will be asked select a specific party ballot -- Democrat, Republican, Green, Libertarian -- to choose the candidate to represent that party in the general election this November.
Early voting is now underway. Early voting locations through Cook County will be open through March 16. Voters do not need to give a reason why they cannot make it to the polls on Election Day.
Grace period registration and voting extends the registration period by allowing voters to register and vote through the March 17 election. Voters may register to vote during the grace period at any Cook County early voting location, but must cast their vote immediately upon registration. Two pieces of identification area required to register. Early voting started March 2. A full list of early voting sites for Cook County suburban residents is available on the county clerk's website. A list of early voting sites for Chicago residents is available on the Chicago Board of Elections website. Both websites offer information about what forms of identification are accepted.
Voters who are not registered to vote can register and vote at their home precinct only.
Voters planning on registering to vote or updating their address on election day must bring two pieces of identification to register, one with a current address.
No ID is needed when: The voter is already registered at the voter's current address and is voting in the correct precinct; the signature appears to match the voter signature on file. Election Judges do not challenge the person's right to vote.
Any registered suburban Cook County voter may request a mail ballot using the clerk's online application. Once the clerk verifies your registration and process your application, a paper ballot will be sent to the mailing address designated on the voter's application. The deadline to apply is five days before an election (March 12).
Suburban Cook County registered voters can also download a vote-by-mail application from the clerk's website. Ballots are available in six languages.
Chicago registered voters can visit the Chicago Board of Election Commissioners to apply for a vote-by-mail election.
Suburban voters can use the Cook County Clerk's ""Your Voter Information Tool"" to find out who's on their ballot, registration status, early polling place, and election day polling place. Voters can search for their proper polling place and sample ballot via address or birthday.
Chicago voters can find their polling place and sample ballot on the Chicago Board of Election Commissioners website.
The League of Women Voters of Illinois has compiled a non-partisan candidate's guide to the upcoming March 17 primary. This guide includes candidate bios, stances and endorsements.
The BGA (Better Government Association) has also compiled a voters guide for the primary. Candidates running for contested state and Cook County-wide offices in the 2020 primary completed questionnaires on how they would improve and expand government accountability, efficiency and transparency for the residents they serve.
Vote judiciously for judges. Many bar groups provide non-partisan guides and research-based evaluations. Voters are permitted to bring newspaper endorsements, printouts, sample ballots and smart phones into the voting booth to view judicial evaluations.
>>> Election 2020: How To Vote For Judges In The Illinois Primary
Sources: Cook County Clerk Karen Yarbrough and Chicago Board of Election Commissioners"
3,/illinois/evergreenpark/election-2020-evergreen-park,2020-02-11T10:21:11Z,Election 2020 In Evergreen Park,0,0,Lorraine Swanson,Patch Staff,"EVERGREEN PARK — The 2020 primary election is right around the corner. This year, it falls on a holiday — St. Patrick's Day, Tuesday, March 17. And whether you're sick of politics or glued to the 24-hour news networks, this election season is already a hot one, with voters split on issues like impeachment and candidates looking to align themselves with one side or the other — and to capture their party's nomination in the primary.
Before we head to the polls on March 17, we want to hear from you.
We're asking Evergreen Park voters — what are the biggest issues facing Illinois and the country as we head into the primary? What impact does national politics have on the way you'll vote?
We're asking readers to take a moment to fill out Illinois election 2020 voter survey (below). No names will be used on Patch. Responses are due on Monday, Feb. 17.
Illinois Election Deadlines"
4,/illinois/evergreenpark/handwriting-expert-testify-rush-petition-challenge,2020-01-03T11:56:32Z,Gad Vs. Rush Hearing Set For Jan. 3,0,5,Lorraine Swanson,Patch Staff,"CHICAGO, IL — A third-year University of Chicago law student running for Congress plans to bring in a handwriting expert to testify on signatures on Congressman Bobby Rush's nomination petitions for the upcoming Illinois Democratic primary. An evidentiary hearing is set for Friday, Jan. 3 at the Thompson Center before the Illinois State Officers Electoral Board. Rush has smiled a motion to dismiss.
Sarah Gad is hoping to boot the long-serving, Democratic congressman off the ballot based on Rush's petition sheets, which she maintains demonstrate ""a clear pattern of fraud or substantial noncompliance with mandatory provisions of the Election Code."" Gad is one of three candidates running against Rush in Illinois's 1st Congressional District.""
Gad claims that Rush's petitions violate Illinois election statutes and are replete with the errors — misnumbered pages, missing dates, signature inconsistencies — that if made by candidate running for the school board or other local office thrown off the ballot.
The congressman has dismissed Gad's allegations, stating she ""is desperately throwing out ridiculous requests"" based on minor errors that don't affect the integrity of his nominating petitions.
A records review took place last month. Subpeonas were served Dec. 30 to Rush's notary public Darva Watkins, and circulator Harvey Cook, who gathered signatures to place the congressman's name on the primary ballot.
Gad plans to call Watkins, whom Gad accuses of acting inappropriately in her duties as a notary public. The challenge sites inconsistent addresses for petition circulators, which Gad claims fail to match up with addresses on their ID, voter registration or both. Gad also states that some sheets appear to have been notarized absent of the circulator's absence and show invalid addresses.
Cook is expected to be questioned on why his signature appears to be different on various petition sheets and not matching the signature on his voter registration. To bolster her claims of tampering, Gad plans to bring in forensic handwriting expert Warren Spencer, who will testify on certain petition sheets circulated by Cook and others.
Even if the outcome goes Gad's way, Rush's legal council is likely to be appealed in Cook County Circuit Court. A final decision will be made before the board at a future date.
Illinois's 1st Congressional District spans Cook and Will counties, including Chicago South Side neighborhoods and south suburbs, encompassing all or parts of Evergreen Park, Oak Lawn, Alsip, Crestwood, Oak Forest, Orland, Tinley, Frankfort, Elwood and Manhattan."
5,/illinois/evergreenpark/challenger-files-objections-bobby-rushs-primary-petitions,2019-12-17T08:10:44Z,Bobby Rush Faces Petition Challenge In Primary,0,34,Lorraine Swanson,Patch Staff,"CHICAGO, IL — A hearing before the Illinois State Officers Electoral Board is set for Monday, Dec. 23, at the James R. Thompson Center where officers are expected to determine if Congressman Bobby Rush remains on the Democratic primary ballot who is facing a petition challenge.
University of Chicago law student Sarah Gad, one of three challengers who have filed to run against Rush in the Illinois 1st Congressional District primary, filed an 11-page motion last week asking the electoral board to rule against Rush remaining on the ballot. Gad claims that Rush's petitions are replete with errors, such as missing dates, addresses and page numbers, which are required under Illinois election statutes. The third-year law student has also presented evidence of inconsistent signatures, forgeries and notary misconduct which Gad claims demonstrate ""a clear pattern of fraud or substantial noncompliance with mandatory provisions of the Election Code.""
Rush filed a motion to dismiss on Dec. 17, arguing ""ballot access."" The state electoral board is expected to battle it out on Monday.
The 26-year incumbent congressman represents a district that spans Cook and Will counties, including Chicago South Side neighborhoods and south suburbs, encompassing all or parts of Evergreen Park, Oak Lawn, Alsip, Crestwood, Oak Forest, Orland, Tinley, Frankfort, Elwood and Manhattan.
Over the years, Rush has been the target of numerous ethical probes of his campaign spending, personal finances, delinquent tax bills and a non-profit he founded. The 73-year-old congressman's payments of $130,000 in campaign funds to family members, as well as rent-free political office space, have resulted in fines and wage garnishments.
ProPublica ranked Rush tenth in votes missed in Congress — 22 percent — which he attributed to caring for his late, ailing wife. Earlier this year, Rush accused Mayor Lori Lightfoot of having ""an alliance with the devil,"" and a $1 million grant to build a technology center in Englewood never materialized.
A Chicago attorney consulted by Gad's campaign, Tom Cross, who is not affiliated with either party, says the allegations hold merit and may spell trouble for Rush.
""Let me put it this way, I've seen candidates kicked of the ballot for a lot less. If it were any other candidate, yes, I absolutely think it would get them kicked off.""
Gad says they've spoken to ""many attorneys"" who noted inconsistencies in Rush's filing petitions to put his name on the March 2020 primary ballot. Gad's campaign also provided screenshots of Rush petition circulators Ricky Morrow and Harvey L. Cook Jr.'s signatures, which Abour alleges appear to have been forged on Rush's circulation sheets.
""We pulled every opponent's petitions and challenged only those that demonstrated a clear pattern of fraud or substantial noncompliance with mandatory provisions of the Election Code,"" Gad's campaign said in a written statement to Patch. ""Mr. Rush's papers demonstrated a clear pattern of both. They were replete with errors, missing signatures and dates, forgeries, notary misconduct, not to mention, 222 out of 332 of the pages were improperly numbered.""
Gad is a recovering opioid addict and former Cook County Jail detainee, where she claims she was sexually abused. Given a second chance and a job by civil rights and wrongful convictions attorney Kathleen Zellner, Gad applied her medical background as Zellner's forensics director. She is a volunteer with the Chicago Community Board campaign to end cash bail and has founded an organization called Addiction 2 Action that works to raise awareness about the need for better opioid treatment in jails and prisons.
Gad said in a written statement that the objection was nothing personal and that she would simply like to see integrity restored to the electoral process.
""We can't continue to allow politicians to cut corners and then cry foul when they don't show up and do their jobs,"" she said.
Rush's campaign manager, Mary L. Datcher, responded to the Hyde Park Herald's questions of possible technical flaws on Rush's petitions, calling it a ""direct strategy to gain name recognition and media speculation by Ms. Gad in challenging our petitions.""
Also challenging Rush in the upcoming Illinois 1st Congressional District Democratic primary on March 17, 2020, are gun control activist Robert Emmons Jr. and Ameena Nuur Matthews.
This story has been updated with new information."
6,/illinois/evergreenpark/kelly-burke-sworn-fifth-term-illinois-state-house,2019-01-15T04:26:10Z,Kelly Burke Sworn In To Fifth Term In State House,0,1,Lorraine Swanson,Patch Staff,"SPRINGFIELD, IL – State Rep. Kelly Burke (36th District) was inaugurated for her fifth term in the Illinois General Assembly on Jan. 9. After her swearing-in, Burke said she would continue focusing on rebuilding higher education and stabilizing the middle class.
""The past four years have been extremely challenging under a governor's administration that put political games before real people and refused to make decisions to do what is right for the people of our state,"" Burke said in a written statement. ""As we enter the 101st General Assembly, I am excited for new opportunities – new opportunities to ensure our state universities are competitive with the best in the nation; new opportunities to provide property tax relief for people, especially seniors being taxed out of their homes; and new opportunities to get our state back on track and address issues that constituents care about.""
Burke said that state lawmakers needed to commit to making to making the tough decisions to turn Illinois around.
""As we continue to rebuild from a devastating budget impasse that decimated higher education, social services, companies that do business with the state and our most vulnerable residents, it is important that we commit to making the tough decisions to correct historic wrongs,"" Burke said. ""I am confident that in this upcoming General Assembly we will be able to work cooperatively, across the aisle and in both chambers, to provide the best leadership for our state.""
Burke is the House Appropriation Higher Education Chair and serves the 36th Representative District, which contains parts of Chicago's Beverly, Mt. Greenwood and Auburn-Gresham neighborhoods and portions of Evergreen Park, Oak Lawn, Chicago Ridge, Palos Heights, Palos Hills, Palos Park, Willow Springs and Worth. For more information, please contact Burke's district office at 708-425-0571 or email kburke@kellyburkerep36.org.
~ Photo provided"
7,/illinois/evergreenpark/evergreen-park-election-2018-polling-places-find-my-ballot,2018-11-06T10:57:57Z,Evergreen Park 2018 Voters Guide,0,0,Lorraine Swanson,Patch Staff,"EVERGREEN PARK, IL -- Evergreen Park voters head to the polls on Tuesday, Nov. 6. The polls will be open from 6 a.m. to 7 p.m. You can check your voter registration card to see what precinct you are in.
Report polling problems and other shenanigans to the Cook County Clerk Election Day legal hotline at (312) 603-0236 or the Cook County State's Attorney at (312) 603-7960. Then let Patch know.
Eligible voters can register to vote in-person on Election Day. Same-day registration is only possible at a voter's assigned local polling place. The voter must present two forms of identification to participate in same-day registration, one of which must show a current address.
Suburban Cook County residents can find their assigned polling location by entering their home address in a search bar on the Cook County Clerk's website as well as a sample ballot. Chicago residents can find their assigned polling place and a sample ballot on the Chicago Board of Elections website.
There are 16 write-in candidates running for congressional, state and county offices. Only eligible candidates who filed declarations of intent with each local election authority will be counted. The county clerk's office will provide a list of eligible write-in candidates to each precinct on Election Day.
NOTE: Write-in votes for Bart Simpson, Mickey Mouse, Wonder Woman, etc. will NOT be counted.
On a paper ballot:
On a touch screen:
In single-vote races, no other votes can be cast in a race where a write-in vote was cast. In multiple-vote races, a voter may cast one or more votes for write-in candidates, but is limited to the number of votes allowed in a given race.
Per the Cook County Clerk's Office: ""Complete accuracy of a write-in candidate's name is not necessary as long as the election judges can determine a voter's intent to select a specific write-in candidate. There should be some relationship between the appearance or sound of the name written or printed on the ballot and that of the write-in candidate's actual name.
""If there is a dispute, a majority of the election judges must agree as to the intent of the voter. If a majority agreement among the election judges cannot be reached, the write-in vote will not be counted.""
Fifty-nine judges are up for retention, including ten candidates are seeking seats on benches for the first time in contested races. Cook County voters will decide on Nov. 6 whether to retain all 59 circuit court judges
Voters are permitted to bring newspaper endorsements, printouts, sample ballots and smart phones to view judicial evaluations into the voting booth."
8,/illinois/evergreenpark/new-school-funding-formula-pumps-7-6m-south-suburban-schools,2018-08-31T06:05:55Z,New Funding Formula Injects $7.6M In Local Schools,0,1,Lorraine Swanson,Patch Staff,"SPRINGFIELD, IL – Southwest suburban families will continue to benefit from Illinois' new school funding formula, which guarantees local schools will receive nearly $4.3 million more this year than they did last year. Sen. Bill Cunningham, an Illinois Senate Democrat, supported the overhaul of Illinois' archaic school funding formula. The new formula will have pumped more than $7.6 million in additional money into schools in the 18th State Senate District during its first two years on the books.
""Superintendents are making meaningful changes in schools and classrooms across the southwest suburbs because of the new formula,"" Cunningham said in a news release. ""Schools that have gotten the short end of the stick for years are moving to the front of the line for support, and that's how it should be.""
Statewide, many school districts are rehiring teachers and counselors who were laid off because of budget constraints, reinstating vital programs, creating innovative new learning programs, and establishing much-needed stability so they can budget for the future.
Under Illinois' evidence-based model, no schools receive less money than they did the previous year, and last year's new money becomes part of the current year's base funding minimum. This allows long-underfunded schools to achieve adequate funding over time without penalizing schools that have already had adequate funding.
For example, last year – the first year under the new formula – Chicago Ridge District 127-5 received $1.2 million in new, additional state money. This year, more than $923,000 will be added to the district's total for 2018-2019 under the formula, bringing its total state funding for the academic year to nearly $9.6 million.
North Palos School District 117 received more than $620,000 under the new formula last year. This year, more than $1.3 million will be added to the district's total for 2018-2019 under the formula, bringing the district's total state funding to more than $11.1 million for this school year.
A breakdown of local schools' funding for 2018-2019 under Year 2 of the evidence-based model, according to calculations by the Illinois State Board of Education:
~ Image via Sen. Bill Cunningham"
9,/illinois/evergreenpark/date-set-appealing-property-taxes-worth-township,2018-06-22T03:13:33Z,Date Set For Appealing Property Taxes In Worth Twp,0,0,Lorraine Swanson,Patch Staff,"WORTH TOWNSHIP, IL -- The Cook County Assessor has opened the window for appealing residential property taxes in Worth Township. The deadline for homeowners in the following suburbs to file a property tax appeal is Monday, July 23, 2018, including these communities:
Appealing your home's assessed value is the only way to achieve property tax relief on your second installment property tax bill in July 2019, other than selling your home or claiming a new exemption. Assessments can be appealed every year, regardless of when a township was reassessed.
The Cook County Assessor's office encourages all homeowners to appeal to ensure fairness because they have publicly acknowledged that their initial assessments may not accurately reflect your home's fair value.
According to Kensington Research and Recovery, a Cook County property tax consulting company, homeowners can appeal directly with the Cook County Assessor via the assessor's website. However, unless you have thoroughly researched comparable properties (aka ""comps""), which are the most similar homes to yours, you may only win a reduction of hundreds of dollars while foregoing a reduction in the thousands.
A more comprehensive review of comps by an experienced third-party, especially one that purchases all home assessment data from Cook County as it becomes available (three times per year), can reveal a much more persuasive analysis that could lead to a reduction in the thousands.
~ Contributed by Kensington Research and Recovery"
