,url,Date,Title,Thank,Reply,author,title,context
0,/connecticut/fairfield/romano-csonka-endorsed-challenge-state-rep-mccarthy-vahey,2020-05-29T03:45:07Z,Romano-Csonka Endorsed,0,2,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — Fairfield resident Joanne Romano-Csonka has announced her candidacy for state representative in the 133rd district. Her candidacy was unanimously endorsed May 20 by the Fairfield Republican Town Committee.
""I am honored to have the opportunity to run for the Connecticut General Assembly at a critical time for our state where bipartisan, out-of-the-box thinking and leadership is needed, especially in the days and months ahead of us following the COVID-19 pandemic,"" Romano-Csonka said in a news release. ""... I want to bring creative and common-sense representation where I will be unafraid to challenge to the status quo.""
Additionally, on May 21, state Rep. Cristin McCarthy Vahey was unanimously nominated by the Democratic Town Committee to run for re-election representing District 133. First elected in 2014, McCarthy Vahey serves on the General Assembly's Government Administration and Elections Committee and the Planning and Development Committee, and co-chairs the Transportation Committee.
""I love our town: the natural beauty; our amazing libraries; our two universities and incredible school system. But most of all, I love the people, you, my neighbors and constituents,"" McCarthy Vahey said in a news release from the committee. ""It is my passion for the people of Fairfield and our state, along with my compassion for the hurt in a world that needs healing, that calls me to continue my service.""
Romano-Csonka, a former Norwalk resident, previously served on Norwalk's Common Council from 2005 to 2013. Romano-Csonka has been a member of the Fairfield Affordable Housing Committee since December. If elected to the state House, she would work to amend the state's affordable housing laws and make them fairer to local municipalities, according to the news release announcing her candidacy. The 67-year-old also hopes to be a strong advocate and voice for seniors, as evidenced by her years as an in-home caregiver for the senior community.
""We need to address issues such as making Connecticut a healthy place to do business with especially now, stop the tax-and-spend, ask questions later mentality and fix unfair housing laws like 8-30g that favor predatory developers, not homeowners which continues to have implications on our town,"" she said in the news release.
Romano-Csonka has volunteered with AdoptaPlatoon and organizations dedicated to missing and abused children. A mother and grandmother, she invented a ""keep them safe"" car seat, which contains an alarm system to keep young children safe from the hazards of extreme temperatures. She has also worked in sales and as an assistant to several Fairfield County attorneys.
A trained social worker, McCarthy Vahey co-chairs the Fairfield Cares Community Coalition and is a certified suicide prevention trainer. She served previously on Fairfield's Representative Town Meeting and as a Fairfield selectman. McCarthy Vahey lives in Fairfield with her husband, a U.S. Navy veteran, and their three children.
The election is set for Nov. 3, with primary petitions due June 9 and primaries planned for Aug. 11."
1,/connecticut/fairfield/volpe-endorsed-challenge-state-rep-incumbent-devlin,2020-05-28T23:23:46Z,Volpe Endorsed To Challenge Incumbent Devlin,0,0,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — Area teacher Carla Volpe won a unanimous Democratic endorsement last week for election to the 134th District in the Connecticut House of Representatives.
""Connecticut is beautiful and underappreciated, and our State and our District deserves representatives that will sow the seeds of a vibrant renewal with active leadership and a clear vision for the future,"" Volpe said in a news release.
Also last week, state Rep. Laura Devlin, who has held the seat in District 134 since 2014, received the Republican endorsement to seek re-election
""I will continue to work tirelessly for the people of Fairfield and Trumbull and for our state,"" Devlin said in a Facebook post. ""I take my job as your State Representative very seriously and I thank you for the responsibility that you have entrusted to me. We face unprecedented challenges and I am ready and willing to help lead our state forward.""
Volpe is a Trumbull resident and Fairfield native who has worked as a teacher at schools in both towns. Her husband is an Army veteran, and the couple has a 2-year-old daughter. Devlin and her husband have lived in Fairfield for over 20 years, where they raised and educated their two children.
The election is set for Nov. 3, with primary petitions due June 9 and primaries planned for Aug. 11."
2,/connecticut/fairfield/5-story-apartment-building-planned-downtown-fairfield,2020-05-27T22:22:47Z,5-Story Apartment Building Planned For Downtown,0,33,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — The view of Fairfield from a passing train could be about to change, as a five-story affordable apartment building is planned for a site near the downtown station.
Developer Fairfield Station Lofts LLC on Tuesday presented its proposal for apartments at 78 Unquowa Place to the Town Plan and Zoning Commission.
""We anticipate that all these units, be they affordable or market rate, are going to be very, very attractive,"" said attorney John Fallon, who represented the developer during the hearing, held via teleconference.
The proposed project, called Fairfield Station Lofts, would include a 31,298-square-foot building with 26 apartments on the 0.32-acre triangular lot, currently occupied by a single-family home built in 1884. The site neighbors the train tracks and downtown station, as well as a pediatric health center. The planned approximately 65-foot building would have a ground-floor parking structure with 27 spaces, and four stories of apartments.
The units would range from one bedroom to three bedrooms, and would vary in size from about 800 square feet to about 2,200 square feet. Four apartments would be designated for people earning less than 60 percent the statewide median income and four would be for those earning less than 80 percent of the statewide median income, according to Fallon.
""I don't have to belabor the need for affordable housing,"" he said.
The zoning application for Fairfield Station Lofts was made under state law Section 8-30g, which dictates the only way the commission could deny the proposal is by proving it poses a threat to public health, welfare and safety that outweighs Fairfield's need for affordable housing. Section 8-30g applies to towns where less than 10 percent of housing stock meets state criteria to be recognized as affordable. According to Fallon, 2.6 percent of Fairfield housing stock is affordable.
The town's Affordable Housing Committee had a favorable response to the project after a presentation in December, Fallon said, adding the building is intended to attract young adults, empty nesters and commuters.
Architect Rich Granoff told the zoning commission Tuesday that the building will have a light gray brick facade with metal paneling, oversized closets in the apartments, and a roof deck with dining areas, a fire pit and grilling stations.
""The views from the rooftop here are really spectacular,"" he said.
The principle on the project is Matt Finkle, who is also involved in the development of another downtown apartment building, a 13-unit complex at 1675 Post Road, which is already under construction.
Commission members asked the presenters about the project's construction process, the building design, the landscaping, emergency vehicle access, parking and traffic.
During public comment, nearby property owner Carey Mercurio expressed concern that parking from the apartment building would overflow into his lot.
Finkle responded that because the development plans to target commuters and empty nesters, he didn't think it would be an issue.
""It's a manageable situation,"" Finkle said. ""… This is a transit-oriented property."""
3,/connecticut/fairfield/leeper-endorsed-democrats-second-run-state-rep,2020-05-23T06:15:49Z,Leeper Endorsed By Democrats,0,2,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — Jennifer Leeper is expected to be the Democratic candidate for state representative in the 132nd District after she gained the Democratic Town Committee's unanimous support Thursday.
Leeper, a member of the school board, also ran for the seat during a special election in January, which she lost narrowly to state Rep. Brian Farnen, who received the Republican Town Committee's endorsement Wednesday.
""While on the one hand, it feels like the special election was just yesterday, it also feels like that was a lifetime ago,"" Leeper said in a news release announcing her endorsement. ""We have all been impacted by COVID-19 in many ways and our days no longer resemble anything that we are used to. Despite all of this change, stress, and turmoil, one thing has remained and that is my commitment to listening, bringing humanity to our discourse, and thoughtful policies that put people first. If anything, my commitment to these values has only grown in the past three months.""
The nominating meeting, usually held in person, was conducted over conference call because of the COVID-19 outbreak, which has proven to be a challenging time to launch a campaign. Leeper can't go door-to-door to meet her neighbors and discuss community concerns in person, something she enjoyed during her last campaign. Fairfield had a 29 percent voter turnout then, and Leeper remains optimistic about increased voter engagement in November, according to the news release.
""People are hungry for hope again — I know I am,"" Leeper said in the news release. ""This pandemic will likely be a part of our lives for the foreseeable future and when the next steps are not clear we need leaders in Hartford who trust the science, make data-driven and compassionate decisions for our families, our businesses, and who can communicate transparently with our community.""
Leeper is determined to find solutions that will bring the community together after the pandemic, and believes that people want someone working on their behalf who listens to them and proposes solutions, according to the news release.
""We all need to listen better. It's the only way to build understanding and replace fear with compassion. We need to find a way back to each other, so we can strengthen our connections and end this radical division,"" she said in the news release
Leeper lives in Fairfield with her husband and two children. She is a former partner at 475 Consulting, and she's committed to ensuring that residents and small business owners have a voice and collaboration with a representative in Hartford who understands their needs and concerns, according to the news release.
""Our post-COVID world will be different than it was before,"" she said in the news release. ""We have a unique opportunity to thoughtfully evaluate exactly the kind of world that we want to return to, and I will fight for that more just, empathetic, and collaborative future."""
4,/connecticut/fairfield/rep-farnen-endorsed-fairfield-gop-run-reelection,2020-05-22T03:17:22Z,Farnen Endorsed,1,0,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — State Rep. Brian Farnen was unanimously endorsed Wednesday night by the Fairfield Republican Town Committee to run for re-election in the 132nd district.
In his acceptance speech, Farnen pledged to continue to work to rebuild Connecticut's economy and help small businesses get back on their feet, bolster the state's public health system, and revitalize and modernize the state safety net infrastructure after its greatest stress test in modern history, according to a news release announcing the endorsement.
Farnen underscored how he wanted to prioritize education so teachers, students and parents are provided with the tools and flexibility to transition back to school in the fall, and fight attempts to solve the budget crisis through new taxes on working families, the news release said.
The Fairfield Democratic Committee on Thursday endorsed school board member Jennifer Leeper, who ran against Farnen in a special election in January, to seek the seat.
Farnen is a former member of the Representative Town Meeting and succeeded First Selectwoman Brenda Kupchick in serving the 132nd district. As a new legislator, Farnen was assigned to the education, transportation, and finance, revenue and bonding committees.
""It's been an honor to serve the 132nd district, and with the pandemic, the job of state representative has taken on a more important role — from helping local businesses with federal aid programs to helping constituents navigate their unemployment claims as they work through an antiquated state bureaucracy — to helping seniors receive facial masks and volunteering at weekly community food drives,"" Farnen said in the news release. ""In these challenging and very different times, now more than ever, we need common-sense solutions that are grounded in transparency and collaboration, not politics.""
Professionally, Farnen works as general counsel and chief legal officer of the Connecticut Green Bank. Farnen earned his law degree and master's degree in business administration from the University of Connecticut School of Law and School of Business, respectively.
""Brian Farnen has delivered on his promise to represent the residents of the 132nd district with honesty and passion,"" Kupchick said in her nominating speech, according to the news release. ""Since winning the special election in January, Brian hit the ground running listening, learning and leading on issues important to Fairfielders. I couldn't be more proud of the representation Brian has provided and his help for residents with state-related problems. I'm looking forward to Brian's continued good work on behalf of the residents in the 132nd district.""
Farnen and his wife are the parents of two children who attend Fairfield Public Schools. He is an active parent at Roger Sherman School, and volunteers on the Sherman PTA Executive Committee and as a youth soccer, basketball and football coach for his children."
5,/connecticut/fairfield/fairfield-legislative-delegation-hold-third-virtual-town-hall,2020-05-21T17:16:53Z,Fairfield Legislative Delegation Virtual Town Hall,0,0,Press Release Desk,News Partner,"Press release from the Fairfield Legislative Delegation:
May 21 2020
FAIRFIELD- State Senator Tony Hwang (R-28) along with State Reps. Brian Farnen (R-132), Laura Devlin (R-134) and Cristin McCarthy Vahey (D-133) with special guest Fairfield Director of Community & Economic Development Mark Barnhart will be hosting a third town hall via Zoom with the latest update on the COVID-19 pandemic and the state and Fairfield response.
The Virtual Town Hall will be on Friday, May 22 starting at 1 p.m.
The lawmakers who all represent a portion of Fairfield will each discuss the state and local response, after nine weeks, to the Coronavirus and answer questions from Fairfield residents via Zoom. Below is the agenda.
Please email any questions ahead of time to FairfieldZoom@housegop.ct.gov for legislators to answer.
Zoom link is https://us02web.zoom.us/j/89179918472 and Meeting ID is: 891 7991 8427.
This press release was produced by the Fairfield Legislative Delegation . The views expressed here are the author's own."
6,/connecticut/fairfield/farnen-leeper-seeking-fairfield-state-rep-seat-again,2020-05-19T05:06:24Z,"Farnen, Leeper Seeking Fairfield State Rep Seat",0,7,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — Voters in Fairfield's 132nd legislative district will likely see some familiar names on their ballots in November, as both Brian Farnen and Jennifer Leeper have said they intend to again run for state representative.
Farnen, a Republican, defeated Leeper, a Democrat, by less than 100 votes four months ago in a special election to fill the seat after its former occupant, Republican Brenda Kupchick, resigned to become Fairfield's first selectwoman.
In discussing their campaigns Monday, both candidates referenced the coronavirus outbreak, which is associated with more than 3,400 Connecticut deaths in two months and has resulted in the closure of schools and non-essential businesses.
""In these unprecedented times, there is no playbook on how you run for reelection,"" Farnen, an attorney for the Connecticut Green Bank and former Representative Town Meeting member, said in an op-ed submitted Monday to the Fairfield Patch. ""I could not in good conscience focus on politics and qualifying to run for office until it was absolutely necessary because I did not feel comfortable doing so when self-promotion or politics should be the last thing on our minds.""
Farnen said he has been helping residents with unemployment claims amid ""an antiquated state bureaucracy"" and answering questions from small businesses about how to get assistance. His future legislative priorities include rebuilding the economy, strengthening public health and providing teachers and students with tools to transition from remote education back to classroom learning.
Leeper, a Board of Education member and former partner at 475 Consulting, in the last election prioritized strengthening education, investing in infrastructure and incentivizing job growth.
""The need for good, honest, courageous leadership that is focused on science has never been more important,"" Leeper said Monday. ""The idea that all we need is less government to be freer has just been exposed as untrue.""
Fairfield's Republican Town Committee will hold its nomination Wednesday for the 132nd district. The Democratic Town Committee's nomination will be Thursday. Both events will take place remotely as a precaution against the virus."
7,/connecticut/fairfield/millions-cuts-fairfield-budget-amid-coronavirus,2020-05-12T07:50:49Z,Millions In Cuts To Fairfield Budget,0,25,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — Fairfield's Board of Finance made millions in cuts Monday to a town budget written in a pre-coronavirus world.
The board was presented with a $327.38 million budget and accompanying 2.46 percent tax increase that was approved by selectmen in early March. By the end of Monday's four-hour meeting, the estimated tax increase had dropped to about 0.4 percent. The board's actions saw the budget decrease by $9.09 million, to $318.29 million, a $1.89 million year-over-year increase, according to information provided Tuesday by Budget Director Linda Gardiner.
""This was horrible,"" said board member John Mitola, a Democrat. ""It was hard to do.""
The budget season occurred during the spread of the new coronavirus, which has killed more than 3,000 people across Connecticut since March and resulted in the widespread closure of schools and businesses. It has also made for an unusual budget process, with public comment possible only through email, and budget meetings, including Monday's, held via teleconference.
""This was definitely not a normal budget season,"" said Vice Chair Christopher DeWitt, a Republican.
While the board's vote Monday to approve the budget as amended was unanimous, many motions that passed throughout the evening fell along party lines, with the board's three Democrats voting in the minority.
Among the approved cuts were millions in revenue adjustments recommended by department heads. The board was presented with $2.68 million in cuts, but approved $2.31 million, opting to maintain revenue for the building department and fire marshal fees as originally presented.
The board also cut $2.29 million from the Board of Education budget as a result of $325,000 in pension savings, a $468,000 bus contract reduction and $1.5 million to be allocated as part of a non-lapsing account.
The non-lapsing account is also expected to include $1.8 million intended for costs associated with the virus outbreak such as computers and protective equipment. DeWitt said he did not want to see the school board use funds outside the account to pay for virus expenses.
Public works was among the town departments to see significant cuts, including a $334,000 capital reduction, a $300,000 fleet maintenance cut and $1 million in paving that was eliminated, but that the board discussed funding through a bond resolution.
""We need to tighten our belts and empathize with the general public right now,"" board member Edward Bateson, a Republican, said.
Fairfield's main and branch libraries received a combined $300,000 in cuts, while the Pequot Library evaded a proposed $50,000 reduction. The fire and police departments saw more than $260,000 combined in capital cuts.
Several jobs were eliminated as well, among them a new business development director position that came with a $130,000 salary and a $35,000 grant writer job.
""It's just not a year to be adding positions into town hall,"" board member James Walsh, a Republican, said.
Payroll was also reduced in the fire and building departments. The position of director of the Bigelow Center was cut from $66,000 to $32,000.
Now that the Board of Finance has made its adjustments, the budget will go the Representative Town Meeting for a final vote June 1. The town meeting is authorized only to lower budget appropriations. Once the budget is approved, the Board of Finance will set the mill rate for the town."
8,/connecticut/fairfield/letter-editor-dont-take-first-responders-granted,2020-05-11T21:16:51Z,Letter To The Editor,3,2,Anna Bybee-Schier,Patch Staff,"Dear editor,
Having served as the former fire chief/emergency management director for the Town of Fairfield, Connecticut, from 1998–2015, I was dismayed to read that a Board of Finance member would insult the men and women of the emergency services at a recent town meeting. To suggest that the overtime spent on the police officers and firefighters throughout the COVID-19 response shows a lack of understanding of the emergency services and its responsibilities.
Fairfield Union To Board of Finance Member: Apologize Or Resign>>>Read More.
Throughout many town difficulties, including Super Storm Sandy, I saw firsthand the dedication of the members that make up these two departments. Each day they work selflessly, not knowing if they will return home safely to their families. During a time of extreme crisis, they go beyond, working tirelessly to protect and aid the citizens of Fairfield and those who pass through town. The safety and well-being of Fairfield always comes first to these committed town employees. The amount of overtime paid is not a clear reflection of the time that has been devoted.
I have seen firsthand how many after-hours emails, phone calls and planning sessions are held that are not compensated for because these honorable people are not looking to hurt the town financially, but rather to help it in a time of need. The compensation they receive is more than fair based on the time they dedicate to creating, implementing and enforcing safety standards. I have known many emergency responders that take less compensation because they feel that providing their expertise is the right thing to do for the greater good. Even administrative assistants from these departments have sacrificed time with their families for the betterment of this community in support of the first responders, because we are truly a team of benevolent people first.
I am proud and honored to have been a part of such a dedicated team for 57 years. I was also fortunate enough to reside in Fairfield and reap the benefits of their service. The entire emergency service team, including the members of the ambulance services and dispatchers, work persistently to make things right for the rest of us, oftentimes at the expense of their own understanding, caring families at home.
Driving down the Post Road you may not see these men and women in action. To think that means crime and fires aren't happening, that planning and implementing policies aren't taking place, that non-COVID-related medical calls aren't occurring, is nothing more than naive. People should not need to ""see"" behind the scenes to appreciate what is happening. They should trust the administrators of these departments and realize that the emergency services are made of people who chose to work toward the greater good when they made these positions their career.
The people of Fairfield are fortunate to have compassionate responders keeping them safe both in the background and in the eyes of the public. Fairfield is equally lucky to have dedicated volunteers that support the efforts of career responders. That camaraderie makes living in Fairfield so special. Please do not take it for granted.
Sincerely,
Richard Felner
Retired fire chief and emergency management director
Fairfield Fire Department"
9,/connecticut/fairfield/fairfield-finance-chair-addresses-police-fire-union-complaints,2020-05-09T07:54:37Z,Fairfield Finance Chair Addresses Complaints,0,20,Anna Bybee-Schier,Patch Staff,"FAIRFIELD, CT — The head of Fairfield's Board of Finance has responded to criticism the body received from the town's fire and police unions after a board member questioned overtime costs for first responders and said there is ""no crime"" in Fairfield.
Board Chair James Brown began a meeting Tuesday by defending the board's prerogative to probe town spending, while acknowledging offense was caused by member James Walsh's remarks at a meeting April 29. Both meetings were held via teleconference due to the ongoing new coronavirus outbreak.
""We will continue to ask difficult questions regarding the budget and related town finances,"" Brown said. ""Every board member needs to feel comfortable and confident doing just that in a respectful manner.""
Walsh, a Republican, had been asking about nearly $60,000 in police and fire overtime incurred as of mid April because of the virus outbreak when he said police overtime seemed to be ""out of control"" and added there was ""no crime going on in town.""
""You drive through this town at night, you can't find a cop. It's a ghost town,"" he said, a remark that was followed by laughter on the teleconference recording.
Several days after the April 29 meeting, the International Association of Fire Fighters Local 1426 suggested Walsh's comments were political and asked him to apologize or resign. The police union, Connecticut Organization for Public Safety Local 550, called Walsh, ""uninformed and thoughtless."" Walsh did not respond at the time to emails seeking comment.
Brown, a Republican, said he and board Vice Chair Christopher DeWitt, also a Republican, spoke with the police and fire chiefs regarding the matter. Brown went on to clarify that the laughter heard on the recording from April 29 came from town administrative employees, who had since apologized to the police and fire unions. Brown also said he had tried to cut short the conversation between Walsh and town administrators.
""Offhanded comments or remarks do happen, and whether taken out of context or said in an inappropriate manner, they cause hurt feelings, misunderstandings and offense,"" Brown said Tuesday. ""To the extent that this happened in our last meeting while discussing overtime expenses related to the COVID crisis, I apologize as chairman of this board."""
