,url,Date,Title,Thank,Reply,author,title,context
0,/new-jersey/freehold/freehold-floyd-protest-grows-tense-hear-what-we-have-say,2020-06-02T21:59:15Z,Freehold Floyd Protest Grows Tense,0,3,Karen Wall,Patch Staff,"FREEHOLD, NJ — Protesters gathered in downtown Freehold Tuesday to protest over the death of George Floyd, another among the dozens of demonstrations that have been happening all over the country in the last week.
In addition to chants of ""I can't breathe"" and ""Black Lives Matter,"" the protesters in Freehold repeatedly chanted at members of the borough police force, ""Kneel With Us.""
The ""kneel with us"" chant is a nod to actions by law enforcement all over — including in nearby Asbury Park — that have aimed to convey the message of support for the peaceful demonstrations and acknowledgement of anger over the killing of Floyd, 46, died when a Minneapolis police officer kneeled on Floyd's neck for more than 8 minutes.
""The death of George Floyd at the hands of four police officers is tragic, and more importantly, could have been avoided by just one of those officers doing the right thing,"" Freehold Borough Police Chief Craig W. Dispenza said in a written statement. ""The Freehold Borough Police Department condemns the acts of these four officers and mourns with the Floyd Family.""
A livestream of the Freehold protest posted by the Asbury Park Press showed the demonstrators, who later marched to the Monmouth County Courthouse, repeatedly urging Freehold officers to kneel with them in a visible show of support in an event that was more tense than some of the other protests.
Freehold police officers declined to kneel, which made some of those in attendance angry.
""They won't kneel because they don't (care),"" one young woman said, yelling.
Adults in the crowd repeatedly told the younger protesters that they needed to ""watch their tone"" and urged them to calm down and have discussions with the police instead of confrontations.
""Use your voice, not your fists,"" the woman said to the crowd.
She also had a message for the police officers.
""Understand their anger, their frustration,"" she said. ""They are afraid. They just want to know you're not going to kill them on sight.""
""All we're asking is for you to hear what we have to say,"" another young woman said.
""Racism is alive and we will combat it,"" said one woman who addressed the crowd at the Monmouth County Courthouse.
They demanded those participated stay peaceful.
""Stay intelligent, stay calm. You have a voice but use it in a way that helps,"" Shelly Torrens said. ""The system has to change. In an intelligent, peaceful manner, things will change.""
""Be peaceful, but be mad,"" said another woman, who mentioned she has a 5-year-old son. ""In 13 years, this could be him.""
""The Freehold Borough Police Department has long enjoyed a positive relationship with the community that we serve and plan to keep that relationship on track,"" Dispenza's statement said. ""Freehold Borough is a small town, and enjoys the benefits of being a small town, one of which is that our police officers and citizens know each other. For most of our residents, when they have an interaction with an officer they are dealing with someone they know, not a stranger in uniform.""
""Because we have such a tight-knit community, I believe that we can solve any issue which might arise,"" he said. ""Dealing with issues by involving the community, police and town officials, has been successful in the past and I believe will be successful in the future. Be safe and be proud of your community and stay Freehold Strong.""
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
1,/new-jersey/freehold/nj-person-graduation-rules-impossible-some-supers-say,2020-05-28T20:26:35Z,NJ In-Person Graduation Rules Frustrate Some,0,0,Karen Wall,Patch Staff,"FREEHOLD, NJ — The release of guidance giving New Jersey school districts three options for graduation ceremonies for the class of 2020 in the midst of the coronavirus pandemic was met with frustration from some superintendents in the state.
Gov. Phil Murphy announced Tuesday that in-person graduation ceremonies could be held beginning July 6, outdoors and with social distancing in place, warning that for some districts it could mean the need for multiple ceremonies.
On Thursday, as school officials digested the guidelines from the state Department of Education, they expressed frustrations over what they said was a lack of clear direction.
Charles Sampson, superintendent of the Freehold Regional High School District, acknowledged the coronavirus crisis has presented many challenges for schools. ""(There are) no easy answers with (the) COVID-19 crisis,"" he said in a tweet Wednesday evening, ""but in 13 years as a superintendent I have never seen so much dumped to schools to fend for themselves with limited, shifting, convoluted or zero guidance.""
Don't miss local and New Jersey announcements about coronavirus precautions. Sign up for Patch alerts and daily newsletters.
The rules released Wednesday night by the education department tell districts ceremonies will be limited to the permitted gathering size at the time the ceremonies are held. Read more: NJ In-Person Graduations: Here Are The New Rules Amid Coronavirus
That limit, currently 25 people, is seen as an impediment to graduations particularly for schools with large graduating classes. But Murphy said the number of people permitted at a gathering will likely increase by July 6.
""I'll be shocked if it's 25 or even close to 25 by July 6,"" he said. Murphy acknowledged that school districts need advance notice to plan adequately, especially those districts that could be faced with multiple ceremonies.
""We want to give them notice, we get that,"" Murphy said. ""I'm just not going to do it today, because it's 39 days out and we don't have to, number one, and number two, Judy and Ed and I don't have the information we would want to have to be intelligent about that.""
Murphy's announcement allowing modified in-person graduations followed a few weeks of back-and-forth about what might happen. After he announced May 4 that schools would be doing remote learning for the remainder of the academic year, questions about graduation increased. On May 9, Col. Patrick Callahan, superintendent of the New Jersey State Police, issued a letter saying ""wave parades"" or similar celebrations for graduating seniors were not permitted. Two days later, Callahan and Murphy reversed course and approved wave parades. On May 13, drive-in graduations were approved.
Wednesday evening's guidance said drive-in graduations were only permitted beginning July 6 — a change from what districts previously had understood. After questions were raised at Thursday's coronavirus conference, the guidance was updated again Thursday evening to note that drive-in graduation ceremonies could be held at any time, as can virtual graduations.
""Virtual graduation ceremonies offer a number of ways to celebrate this year's graduating class,"" state education officials said. ""DOE recommends that districts take full advantage of virtual ceremonies, which are the safest alternative graduation ceremony at this time.""
""We can all plan for anything. We just need a guiding path,"" said Eric M. Hibbs, superintendent of the Marlboro Township Public Schools. ""No organization can thrive attempting to successfully design so many paths at once trying to make the best decisions for our staff, students and community with no guidance.""
Murphy has repeatedly said that all of the decisions on reopening will be driven by the data, with the number of hospitalizations a prime concern. Reopening of beaches and boardwalks — frequently cited by those pushing for in-person graduations — was done with capacity limits and other restraints, Murphy said Thursday. Read more: NJ Coronavirus Updates: Here's What You Need To Know
""When you're on a football field, it's only 100 yards long and 50 yards wide plus the end zones,"" he said. ""You are confined to that space, and we just gotta make sure we do it right.""
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
2,/new-jersey/freehold/monmouth-county-nursing-home-coronavirus-cases-deaths-released,2020-04-21T00:30:59Z,"Monmouth Nursing Home Coronavirus Cases, Deaths",0,4,Karen Wall,Patch Staff,"TRENTON, NJ — Thirty nursing care facilities in Monmouth County have had at least one patient who died of complications from the new coronavirus, and 28 facilities have had more than 10 positive cases of the virus.
Those are some of the numbers revealed Monday when the state Department of Health released information on all nursing facilities in New Jersey that have reported at least one case of the coronavirus.
Overall, there have been 4,787 people in Monmouth County who have tested positive for the virus; 230 of those, or 4.8 percent, have died, according to the state. There are 913 nursing home cases in Monmouth, 19 percent of the people who have tested positive in the county. Of those, 135 people have died, or 58.7 percent of the county's 230 deaths.
Don't miss local and New Jersey announcements about coronavirus precautions. Sign up for Patch alerts and daily newsletters.
The state Department of Health reported 43 county facilities have reported at least one patient has tested positive for the coronavirus. The listing comes after weeks of requests for the information and repeated warnings from the state to the owners and managers of long-term care facilities about their need to report that information to patients, employees and patients' families, Health Commissioner Judith Persichilli said Monday.
Long-term care facilities have been a point of concern since the earliest stages of the outbreak. There have been growing numbers of age-restricted communities throughout Monmouth County.
Overall, there have been 4,787 people in Monmouth County who have tested positive for the virus; 230 of those, or 4.8 percent, have died, according to the state. There are 913 nursing home cases in Monmouth, 19 percent of the people who have tested positive in the county. , and 58.7 percent of the deaths.
There were 88,806 people who have tested positive for the coronavirus across New Jersey as of Monday, and 4,377 of them have died, according to the state health department. Read more: NJ Coronavirus Updates: Here's What You Need To Know
Here are the facilities in Monmouth County that have patients positive for the coronavirus, along with deaths (in parentheses) that have happened at those facilities. The list of facilities was provided by the state Department of Health; there may be discrepancies due to a delay in communications between the facilites and the state.
On Friday, one of the facilities listed by the state contacted Patch to contest being included on the list.
""Encompass Health Toms River and Encompass Health Tinton Falls are licensed hospitals that provide physical medicine and rehabilitation services,"" said Hillary Carnel, associate director of media relations for the facilities. ""Our hospitals provide a different level of care than a nursing home. We serve patients and don't have residents in our care.""
Carnel said that on On April 6, Encompass Health Toms River opened a COVID-19 program with a dedicated, separate wing of 30 beds, and has admitted 34 COVID-19 patients from area hospitals and discharged 10 of those patients home, as of April 21.
""This unit was opened in response to the needs of the community and area hospitals and it has been received positively by the acute medical centers and patients that need our higher level of care,"" she said. ""To clarify, there have been zero confirmed COVID-19 positive expirations (deaths) at Encompass Health Toms River.""
""We are doing our part to support our community and local healthcare system and stand by our commitment to provide the high-quality care for which we are known, whether that be through our standard rehabilitation services or by temporarily serving patients recovering from COVID-19 during this challenging time.""
Note: This article has been updated to include comment from Encompass Health Care.
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
3,/new-jersey/freehold/freehold-regional-loses-5-8m-school-aid-murphys-budget,2020-02-28T19:15:54Z,Freehold Regional $5.8M In School Aid,0,0,Karen Wall,Patch Staff,"FREEHOLD, NJ — The Freehold Regional High School District is faced with significant cuts for the 2020-2021 school year, after learning it will be subject to a $5.8 million cut in state funding.
That's the amount announced by the state Department of Education on Thursday, two days after Gov. Phil Murphy announced his $40.98 billion budget for New Jersey for the 2020-21 fiscal year.
The cut is the result of S2, the law signed in 2018 by Murphy that set a schedule of cuts to so-called adjustment aid that a number of districts have been receiving since the School Funding Reform Act of 2008. Freehold Regional never received adjustment aid, however.
Under Murphy's budget proposal, Freehold Regional is scheduled to receive $40,732,705, a reduction of $5,782,685 from the 2019-2020 state aid award. That cut comes despite Murphy's statements in his budget address about the need to fund public schools to provide tax relief to the middle class.
""Our public schools rank as the very best in the nation in large part because of our commitment to investing in classrooms in every community,"" Murphy said in his address. ""School funding is an investment in our future.""
""But, just as important, school funding is property tax relief,"" he said. ""Let's be absolutely clear – every new dollar in school funding is a new dollar of property tax relief. Every new dollar we provide is a dollar that doesn't have to come out of the pockets of property taxpayers.""
The $5.8 million cut for 2020-2021 is more than double what was initially projected as the cut for the school year, based on a total cut of $25,211,640. The Education Law Center, which in 2018 calculated the potential cuts, estimated Freehold Regional would lose $2.5 million in the 2020-2021 school year.
The total cut in aid to the Freehold Regional district through S2 clearly will be higher than the what was initially projected. The district is receiving $9,985,047 less in aid in the 2020-2021 budget than it received in 2008-2009, the first year the School Funding Reform Act was in place. (Freehold Regional received $50,717,752 in aid in 2008-2009.)
""(The Freehold Regional High School District), who educates children for $3,500 less than average and runs comprehensive high schools with efficiency due to our regionalized scale, simply cannot absorb this,"" said Charles Sampson, superintendent of the district.
Because the cuts so far under S2 are so significantly different from the Education Law Center estimates, it's impossible to guess how deep the remaining cuts will be. The Education Law Center in January called for a halt to the cuts until state officials can take another look at the so-called formula the education department uses to calculate state aid. The state continues to refuse to release the formula and the methods it uses for the wealth calculations for each town, despite repeated Open Public Records Act requests. Read more: School Districts Seek 'Secret' Math Equation In School Aid Fight
Though Murphy also announced a $50 million allocation for ""stabilization"" aid, the process to apply for that aid will mean any funds Freehold Regional might receive will not be available until 2021 at the earliest.
Last July, the district, which serves 10,700 students from six towns, applied for emergency aid following the 2019-2020 cuts. It did not receive a response until December, at which time the district was notified it would receive no aid.
Though advocates of S2 and some state officials continue to insist taxpayers in the towns that make up the regional district — Freehold Borough, Freehold Township, Howell, Colts Neck, Marlboro and Manalapan — are not paying their fair share of property taxes to support their schools, raising the tax levy to make up for the cuts isn't an option.
Freehold Regional remains limited by the 2 percent cap on levy increases, and Murphy vetoed in January a bill that would have allowed districts that are under adequacy a waiver of the cap to bridge the hole created by the aid cuts.
A referendum asking voters to approve an increase in the tax levy would not be resolved until four months into the school year, too late for cuts made in the next 11 weeks (school districts must file their budgets with county superintendents by May 15) to be undone.
""We're glad to see historically struggling school districts such as Freehold Borough, Red Bank, and others finally starting to receive the resources they need to excel,"" state Senator Vin Gopal and Assembly members Eric Houghtaling and Joann Downey said in a joint statement. ""After many years of struggling to compensate for static funding in the face of growing enrollment, it's important that we're now starting to provide these students with the support they've long gone without.""
""Several schools in our district are on-track to lose state funds due to declining enrollment over the past several years — and in several cases, in greater proportions than the schools that are gaining funds,"" a joint statement from state Senator Vin Gopal and Assembly members Eric Houghtaling and Joann Downey said. ""Just as a sudden infusion of aid can provide a big boost to struggling schools, so too can a sudden hole in a school's budget pose a grave threat to vital student programs.""
""It's important to continue our efforts to build a more equitable funding system for all Garden State schools, but we need to do all we can to help schools transition painlessly to the new funding realities,"" the statement said.
The 11th District legislators called the stabilization aid ""little more than putting a bandaid on a much larger wound.""
""We need to take a long, hard look at more expansive reforms that could bring down costs in education and modernize our school funding formula,"" the statement said. ""By fully funding extraordinary special education aid, we can free up millions of dollars in school budgets across our state, making sure that special education funds follow the child instead of the district and lifting the burden on local property taxpayers.""
""We also need to strengthen regional school districts, supporting efficiently consolidated districts like Freehold Regional, and review and update the school funding formula to account for present-day costs of special education, transportation, free and reduced lunch, and other expenses.""
""If we come together, we fully believe that we can continue building a fairer, more efficient, and more effective school funding apparatus for all New Jersey students,"" they said.
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
4,/new-jersey/freehold/freehold-borough-schools-get-2m-aid-boost-murphys-budget,2020-02-28T17:50:16Z,Freehold Borough Schools Get $2M Aid Boost,0,3,Karen Wall,Patch Staff,"FREEHOLD, NJ — The Freehold Borough School District, which has been squeezed by growing enrollment for several years, is receiving an increase of more than $2 million in its state aid for the 2020-2021 school year.
That's the amount announced by the state Department of Education on Thursday, two days after Gov. Phil Murphy announced his $40.98 billion budget for New Jersey for the 2020-21 fiscal year.
Figures released by the state Department of Education show the borough school district, which has seen a 31 percent increase in enrollment since the 2008-2009 school year, will receive $17,351,053 in aid, a $2,096,571 increase over the 2019-2020 year.
That increase comes as the Freehold Regional High School District — where Freehold Borough students attend high school — is scheduled for an aid cut of nearly $5.8 million in aid. Both the Freehold Borough increase and the Freehold Regional cut are a result of S2, the law signed by Murphy in 2018 that put in specific timelines for addressing the needs of underfunded districts and also cutting adjustment aid from others.
Freehold Borough has been one of the districts that has been one of the highlighted in efforts to push the state to fully funds public schools. The district has seen its enrollment rise from 1,320 students in the 2008-2009 school year to 1,729 in 2017-2018, the most recent year available on the Taxpayers Guide to Education Spending on the education department's website.
Rocco Tomazic, the superintendent of the Freehold Borough Schools, said the increase would put the district at 70.6 percent of the state school funding it should be receiving.
The Education Law Center highlighted Freehold Borough's issues in 2016, noting the district was $550 per student under adequacy. Its increased enrollment also came with significant increases in at-rist/low-income students, who make up nearly three-quarters of the district's enrollment.
""Our public schools rank as the very best in the nation in large part because of our commitment to investing in classrooms in every community,"" Murphy said in his state budget address on Tuesday. ""School funding is an investment in our future.""
Tomazic said the 2020-2021 increase puts the district closer to receiving 100 percent of the funding it should receive by 2024-2025, the end of the seven-year changes pushed through under S2, the law that amended the School Funding Reform Act of 2008 to put timelines on funding changes across the state.
""We're glad to see historically struggling school districts such as Freehold Borough, Red Bank, and others finally starting to receive the resources they need to excel,"" state Senator Vin Gopal and Assembly members Eric Houghtaling and Joann Downey said in a joint statement. ""After many years of struggling to compensate for static funding in the face of growing enrollment, it's important that we're now starting to provide these students with the support they've long gone without.""
""With that said, several schools in our districts are also on-track to lose state funds due to declining enrollment over the past several years — and in several cases, in greater proportions than the schools that are gaining funds,"" the statement said. ""Just as a sudden infusion of aid can provide a big boost to struggling schools, so too can a sudden hole in a school's budget pose a grave threat to vital student programs. It's important to continue our efforts to build a more equitable funding system for all Garden State schools, but we need to do all we can to help schools transition painlessly to the new funding realities.""
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
5,/new-jersey/freehold/freehold-election-guide-2019-when-where-whos-ballot,2019-11-05T08:28:02Z,Freehold Election Guide 2019,0,0,Karen Wall,Patch Staff,"FREEHOLD, NJ — Election Day 2019 has arrived, and there are both local races and state elections to decide in Freehold and Freehold Township.
Voters will be focused on the schools, including the three-part, $42 million bonding referendum for the Freehold Regional High School District.
The polls across New Jersey open at 6 a.m. and close at 8 p.m.
Here is everything you need to know about Election Day in your town:
You can see the Freehold Borough sample ballot here or see the Freehold Township sample ballot.
Residents will vote on their two representatives in the New Jersey State Assembly. In the 30th District, there are five candidates: Republicans Sean T. Kean and Edward H. Thomson III, Democrats Steven Farkas and Yasin ""Jason"" Celik, and Hank Schroeder running as an independent.
At the Monmouth County level, two, three-year terms on the Board of Freeholders are on the ballot. Incumbent Thomas Arnone is joined on the Republican ticket by Dominic ""Nick"" DiRocco, and they are opposed by Democrats Michael Penna and Moira Nelson.
In addition, incumbent Sheriff Shawn Golden, a Republican, is being challenged for the position by Democrat Raymond Dothard for the position, a three-year term.
In Freehold, there are four candidates for three, three-year seats on the borough school board: Paul Ceppi; Caridad Argote-Freyre; Brent F. Costleigh and Tyler Jordan. Tomi ""Elisha"" Carter is seeking the one-year unexpired term.
In Freehold Township, there are four candidates for three, three-year terms: Jennifer Patten; Daniel DiBlasio; Debra A. Costanza, and Elena S. O'Sullivan.
Voters are being asked to give the Freehold Regional High School District permission, through a package of three bond proposals, to make security improvements and repairs at the six high schools.
READ MORE: School-By-School: Freehold Regional District's $42M Bond Proposal
Right here on Patch! You can follow Freehold Patch on Facebook to get results in your newsfeed or check back right here on Patch.
Your polling place is included on a sample ballot mailed out to all registered voters. If you're still not sure, or you misplaced that sample ballot, you can look up your polling location on the New Jersey Division of Election's website.
Election Day 2019 is Tuesday, Nov. 5. Polls will be open from 6 a.m. to 8 p.m. If you received a vote-by-mail ballot, it must be received at the Monmouth County Clerk's office by 8 p.m. on Tuesday."
6,/new-jersey/freehold/everykidcounts-campaign-aims-help-struggling-schools,2019-06-03T19:30:07Z,#EveryKidCounts Campaign Aims to Help...,0,0,Senator Vin Gopal,Neighbor,"This post was contributed by a community member. The views expressed here are the author's own.
A new campaign named ""Every Kid Counts"" aims to win new public funds for extraordinary special education aid to schools across New Jersey. The initiative, started by New Jersey State Senator Vin Gopal (D-Long Branch), Assemblyman Eric Houghtaling (D-Neptune), and Assemblywoman Joann Downey (D-Freehold), is looking to obtain a larger portion of the State's budget to help schools afford the costs of programs for students with special needs.
""Every student, whether they have special needs or not, deserves a quality education,"" Gopal said. ""But it's becoming clear that districts can't bear this burden alone - and that when skyrocketing special education costs force schools to do more with less, every student loses. Local taxpayers can't afford to shoulder these costs, and educators are struggling to make do with the limited resources available. Someone else needs to step in.""
The ""Every Kid Counts"" campaign has established a petition with a goal of obtaining signatures from concerned parents, taxpayers, and educators from school districts across the Garden State. Interested residents can find the petition and additional information about the campaign at www.EveryKidCountsNJ.com.
The costs of extraordinary special education programs can come from a variety of sources. Common expenses include personal aides for students, custom learning resources including workbooks and other materials, and renovated classrooms to provide students a personalized learning space.
""Historically, schools with students receiving extraordinary special education aid have been critically underfunded,"" said Houghtaling. ""Right now, the State devotes $195 million to extraordinary special education aid, while estimates suggest that at least $380 million is necessary to fully meet our commitments. It's time for the State to meet our obligations on these high-cost programs, freeing up millions of dollars in funds statewide for schools to spend across their entire student body.""
Schools in New Jersey receive two types of special education funding. One type, basic funding for special education programs, is received by every school in the state, and is calculated by the school funding formula to match the population of students with special needs in each district.
The second type, extraordinary special education aid, is received only by schools whose students meet a certain threshold of expenses. For a student with special needs attending a public school in-district, the school is able to receive up to 90 percent of the cost for educating that student if those costs exceed $40,000.
A public school educating a student from outside of its district is also eligible if the cost of educating that student exceeds $40,000, but can only receive up to 75 percent of the costs from the State. A private school educating a student with special needs must meet a threshold of $55,000 for educating a single student, and can only receive up to 75 percent reimbursement for the costs of doing so.
Though eligible for greater amounts of extraordinary special education aid, qualifying schools have historically only received less than approximately 50% of their costs due to underfunding. If extraordinary special education aid is more fully funded, those schools would be able to receive funds closer to their cap for reimbursement."
7,/new-jersey/freehold/stolen-explicit-videos-women-lead-jail-monmouth-man,2019-04-18T17:40:52Z,"Man Jailed For Stealing, Posting Explicit Video",0,0,Karen Wall,Patch Staff,"FREEHOLD, NJ — A Monmouth County man who posted sexually explicit videos and photos online of two women after and admitted hacking more than 1,000 private cloud-based accounts has been sentenced to five years in prison, the state attorney general's office announced Thursday.
Patrick S. Farrell, 37, of Clarksburg in Millstone Township, was sentenced Thursday to five years in state prison by Superior Court Judge Richard W. English in Monmouth County. Farrell pleaded guilty on Dec. 7, 2018 to a second-degree charge of computer theft. Farrell admitted he breached more than 1,000 private email accounts during a four-year period, Attorney General Gurbir S. Grewal said.
The investigation revealed that between October 2015 and April 2016, Farrell hacked into the cloud-based storage accounts of two women and, in each case, stole a sexually explicit video of the victim as well as one or more nude photos of the victim.
He did not know either victim and neither woman consented to him accessing her account, Grewal's office said.
In one case, he posted the stolen video on a video-sharing website and posted four nude photos of the victim on another multimedia sharing website. In the other case, he posted the sexually explicit video and a nude photo on the victim's own social media account.
Prosecutors noted at sentencing that Farrell admitted to investigators that he breached over one thousand private email accounts during a four-year period, stealing private photos and other personal information.
""Farrell violated the privacy of his two victims in a devastating way, leaving them fearful and insecure because their most intimate moments were exposed to family members, friends and total strangers,"" Grewal said. ""Beyond the incalculable emotional harm he inflicted, Farrell's breaches left the information in the victims' online accounts vulnerable to exploitation by other cybercriminals.""
""The crimes that Farrell committed were especially cruel and harmful to his victims,"" said Veronica Allende, director of the Division of Criminal Justice. ""We will continue to deploy the expertise and technology needed to bring offenders like Farrell to justice. Meanwhile, we urge people to be vigilant on the internet and social media, and to carefully secure their online accounts, because there are many types of cybercriminal, ranging from sexual predators to tech-savvy thieves.""
Deputy Attorneys General Remy and Huynh prosecuted Farrell under the supervision of Bureau Chief Julia S. Glass and Deputy Bureau Chief Jillian Carpenter of the Division of Criminal Justice Financial & Computer Crimes Bureau.
Grewal commended those attorneys, as well as the detectives and officers who conducted the investigation for the New Jersey State Police Troop C Criminal Investigations Office, Cyber Crimes Unit, and Digital Technology Investigations Unit, and the Middlesex County Prosecutor's Office, New Brunswick Police Department, and Montclair State University Police Department.
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
8,/new-jersey/freehold/freehold-freehold-twp-get-roadwork-grants-nj,2019-04-08T02:36:42Z,"Freehold, Freehold Twp. Get Roadwork Grants",0,0,Karen Wall,Patch Staff,"Freehold and Freehold Township will receive grants from the state Department of Transportation as part of a program to improve roads and bridges around the state.
The grants were among $161.25 million being distributed to 537 towns that were announced Friday by the office of Gov. Phil Murphy under the Municipal Aid ""Commitment to Communities"" program.
The program has seven categories of grants: Roadway Preservation, Roadway Safety, Quality of Life, Mobility, Bikeway, Pedestrian Safety, and Bridge Preservation.
Freehold Borough will receive $250,000 for road improvements to Bannard Street, and Freehold Township will receive $240,000 for the Phase I roadwork on Iron Bridge Road.
The competitive Municipal Aid grant program attracted 681 applications from 544 different municipalities with a total of $377 million in work. Under the program, each county is apportioned a share of the total funding based on population and the number of local centerline miles and towns compete for portions of their county's share. NJDOT provides 75 percent of the grant amount when a town awards a contract and the remaining 25 percent upon completion of the project. The NJDOT also verifies whether a town has adopted Complete Streets policies that require consideration be given to pedestrians and bicyclists when local transportation projects are being planned, designed, and built.
""Supporting New Jersey's communities through funding for infrastructure maintenance and renewal is a core component of good government, and stands at the top of this administration's priorities,"" Murphy said. ""I'm proud to stand with our State's municipalities to help them deliver projects to their residents that improve their mobility and their quality of life.""
""Working directly with municipalities to update the main lines of transportation that run through our towns and cities will have a positive daily impact on people,"" said Lieutenant Governor Sheila Oliver, who also serves as commissioner of the Department of Community Affairs. ""Residents want to see their Transportation Trust Fund dollars at work in their communities and this grant program will help to make infrastructure improvements become a reality statewide.""
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook.."
9,/new-jersey/freehold/ex-cfo-autism-group-gets-3-years-prison-115k-theft,2019-03-22T17:33:31Z,Ex-CFO Of Autism Group Gets 3 Years In Prison ,0,0,Karen Wall,Patch Staff,"TRENTON, NJ – The former chief financial officer of a nonprofit that serves people with autism has been sentenced to three years in prison for stealing nearly $115,000 from the organization, the state attorney general's office announced Friday.
Peter Pflug, 56, of Freehold, the former chief financial officer for New Horizons in Autism, also was ordered to pay full restitution in the sentence handed down by Superior Court Judge Ellen Torregrossa-O'Connor in Monmouth County. Pflug pleaded guilty on Jan. 22 to a second-degree charge of theft by unlawful taking, the attorney general's office said.
Pflug was indicted as a result of an investigation by the state's Office of Public Integrity and Accountability. New Horizons, a nonprofit based in Monmouth County, provides services to those with autism, including through the operation of group homes.
New Horizons receives the vast majority of its program funding through a contract with the New Jersey Division of Developmental Disabilities. Pflug, as chief financial officer of New Horizons, was entrusted with use of the organization's credit cards and checking accounts to make purchases for the nonprofit.
The investigation revealed that from June 2015 through February 2018, Pflug used the nonprofit's accounts to make approximately $114,917 in personal expenditures, frequently recording the products and services as purchases made for group homes operated by the nonprofit. Detectives searched Pflug's home in April 2018 and identified numerous items and home improvements paid for using New Horizons credit cards and financial accounts.
""Pflug abused his position as chief financial officer of this nonprofit by stealing nearly $115,000 in funds – consisting mostly of tax dollars – that were intended to provide services to individuals with autism,"" Attorney General Gurbir S. Grewal said. ""This prison sentence sends a strong message that those who steal and abuse their positions of trust will be held accountable.""
""Pflug betrayed the nonprofit that employed him and the vulnerable population served by the nonprofit,"" said Thomas Eicher, director of the Office of Public Integrity and Accountability. ""Moreover, he stole from New Jersey taxpayers. We have zero tolerance for this type of corrupt conduct.""
The Office of Public Integrity and Accountability has a toll-free tipline 1-844-OPIA-TIPS for the public to report corruption, financial crimes and other illegal activities confidentially.
The Attorney General's Office also has an Anti-Corruption Reward Program that offers a reward of up to $25,000 for tips from the public leading to a conviction for a crime involving public corruption. Information is posted on the Attorney General's website; click here.
Click here to get Patch email notifications on this or other local news articles or get Patch breaking news alerts sent right to your phone with our app. Download here.
Have a news tip? Email karen.wall@patch.com Follow Freehold Patch on Facebook."
