,url,Date,Title,Thank,Reply,author,title,context
0,/minnesota/fridley/anoka-county-community-partners-record-homelessness-numbers-nodx-20220201,2022-02-01T22:54:22Z,"Anoka County, Community Partners Record...",0,0,Press Release Desk,News Partner,"Press release from the Anoka County Government:
January 18, 2022
Read the full news release.
This press release was produced by the Anoka County Government. The views expressed here are the author's own."
1,/minnesota/fridley/anoka-county-parks-programs-activities-nodx-20220201,2022-02-01T22:54:08Z,Anoka County Parks Programs And Activities,0,0,Press Release Desk,News Partner,"Press release from the Anoka County Government:
January 24, 2022
Check out Anoka County Parks for fun seasonal programs and activities. All CDC/MDH COVID-19 guidelines will be followed. To register or for more information, call 763-324-3350 or visit anokacountyparks.com.
Read the full news release.
This press release was produced by the Anoka County Government. The views expressed here are the author's own."
2,/minnesota/fridley/anoka-county-government-county-board-briefs-1-25-22-nodx-20220201,2022-02-01T18:05:05Z,Anoka County Government: County Board Briefs –...,0,0,Press Release Desk,News Partner,"Press release from the Anoka County Government:
January 31, 2022
Anoka County Human Services Manager Wins Outstanding Service Award
Cindy Cesare, Anoka County Human Services Division manager, recently won a 2021 Association of Minnesota Counties' (AMC) Outstanding Service Award for exhibiting excellence, innovation and dedication to her work in county government.  
Cesare, who has been with Anoka County for 30 years, was recognized by AMC for her leadership, continued drive for excellence and her dedication to the mission of serving residents in a respectful, innovative, and fiscally responsible manner. To watch the video on this item, click HERE. To read the news release on this item, click HERE.  
Highway 10 Construction Agreement Approved
The board adopted a resolution that authorizes Anoka County to enter into a cooperative construction agreement with the Minnesota Department of Transportation for the replacement of the U.S. Highway 10 bridge over the Rum River and reconstruction of the Highway 10/Highway 169 (Ferry Street) interchange, including the reconstruction of the 4th Avenue Bridge over Highway 10, in the City of Anoka. To watch the video on this item click HERE. For more information on this item, click HERE.  
Design Services Approved for Congestion Management Lane in Coon Rapids 
The board adopted a resolution authorizing Anoka County to enter into a joint powers agreement with MnDOT for the preliminary design, environmental documentation, and final design services for the U.S. Highway 10 strategic congestion management project from Hanson Boulevard to Round Lake Boulevard, in the City of Coon Rapids. To watch the video on this item, click HERE. For more information on this item, click HERE.  
Construction Administration Services Agreement Approved for 'Anoka Solution'
The board entered into a professional services agreement as a sub client with the City of Anoka for construction administration services related to the proposed interchange improvement project on U.S. Highway 10/169, at the intersection of West Main Street, Fairoak Avenue, and Thurston Avenue in Anoka (this project is known as the Anoka Solution). To watch the video on this item, click HERE. For more information on this item, click HERE.  
Contract Approved with Waste Wise for Services in Schools
The board approved an amendment to a contract for the purchase of services with the Minnesota Waste Wise Foundation for recycling efforts with the Anoka County business and education community. This contract is due to the state establishing aggressive recycling and organics management that calls for 75 percent of the county's waste to be diverted through recycling by 2030. Waste Wise provides technical assistance outreach and consultation services on recycling, food waste and organics recovery programs. To watch the video on this item, click HERE. For more information on this item, click HERE.  
Gifts Accepted for Children in Foster Care
Safe Haven Foster Shoppe donated 18 placement packs for children placed in foster care through Anoka County Children and Family Services. These packs include essentials such as socks, underwear, pajamas, clothing, shoes, jackets, blankets, diaper bags and school supplies. For more information on this item, click HERE.  
Anoka County Applies for Help America Vote Act Funding
The board adopted a resolution authorizing Anoka County to apply for Help America Vote Act (HAVA) funding. The Minnesota Legislature directed the distribution of $3 million from federal HAVA appropriations as grants to political subdivisions. A formula devised by the Office of the Secretary of State indicates that Anoka County will receive a maximum initial distribution of $99,141.40. Funds must be used to improve accessibility to voting, implement security improvements for elections systems, and/or fund other activities to improve the security of federal and regularly scheduled state elections in Minnesota. For more information on this item, click HERE.  
Kennel Club Makes Donation in Support of K-9 Program 
The Anoka County Kennel Club donated $3,000 to support the Anoka County Sheriff's Office K-9 program. This money will be used for training, equipment and maintenance. For more information on this item, click HERE.  
To watch the full board meeting, click HERE.  
 
This press release was produced by the Anoka County Government. The views expressed here are the author's own."
3,/minnesota/fridley/notice-time-change-fridley-city-council-conference-meeting-janu-nodx-20220124,2022-01-24T22:42:49Z,Notice Of Time Change: Fridley City Council...,0,0,Press Release Desk,News Partner,"Press release from the City of Fridley:
January 21, 2022
Notice is hereby given that the January 24, 2022, City Council Conference Meeting will begin at 5:00 p.m. rather than 5:30 p.m. Said meeting will be held in the EOC Room (Upper Level) Fireside Room at the Fridley Civic Center, 7071 University Avenue N.E.
This press release was produced by the City of Fridley. The views expressed here are the author's own."
4,/minnesota/fridley/city-fridley-notice-public-hearing-consider-comprehensive-nodx-20220124,2022-01-24T22:13:20Z,City Of Fridley: Notice Of Public Hearing To...,0,0,Press Release Desk,News Partner,"Press release from the City of Fridley:
January 24, 2022
Notice of Public Hearing to Consider a Comprehensive Plan Amendment by the City of Fridley 
Notice is hereby given that the Planning Commission of the City of Fridley will hold a public hearing on February 16, 2022 at 7:00 pm at Fridley City Hall, 7071 University Avenue N.E.
The public hearing will consider a Comprehensive Plan Amendment, CPA #22-01 by the City of Fridley to amend the Future Land Use Map in the 2040 Comprehensive Plan to change the land use designation for the property at 690 Cheri Lane N.E. from Park and Recreation to Single Family Residential, the legal description is on file and available at Fridley City Hall.
Any person desiring to be heard shall be given an opportunity at the above stated time and placed. Or, comments may be submitted before the meeting to stacy.stromberg@fridleymn.gov or 763–572–3595. The City Council will consider this item on February 28, 2022. 
This press release was produced by the City of Fridley. The views expressed here are the author's own."
5,/minnesota/fridley/city-fridley-notice-public-hearing-consider-housing-improv-nodx-20220124,2022-01-24T22:13:20Z,City Of Fridley: Notice Of Public Hearing To...,0,0,Press Release Desk,News Partner,"Press release from the City of Fridley:
January 24, 2022
CITY OF FRIDLEY, MINNESOTA
NOTICE OF PUBLIC HEARING
NOTICE IS HEREBY GIVEN that the City Council of the City of Fridley, Minnesota (the ""City"") will hold a public hearing on
Monday, February 14, 2022 at 7:00 p.m., or as soon thereafter as the matter may be heard
at the City Council Chambers on the upper level of the Civic Center, 7071 University Avenue NE, Fridley, Minnesota, in response to a petition filed by at least 60% of the owners of the housing units of the Innsbruck North Townhouses Association (the ""Association""), regarding two actions under Minnesota Statutes, Sections 428A.11- 428A.21, as amended (the ""HIA Act""), as follows:
If the Innsbruck North HIA is created, the City will work with the Association to facilitate various improvements to the housing units in the Innsbruck North HIA.  The boundaries of the proposed Innsbruck North HIA are shown in the map below attached hereto as Exhibit A.  Fees imposed on the owners of units within the Innsbruck North HIA (the ""Housing Improvement Fees"") would finance the improvements.
Details regarding the hearing, the improvements, and the Housing Improvement Fees are as follows:
1.         Persons to be heard: All persons owning housing units in the proposed Innsbruck North HIA that would be subject to the Housing Improvement Fees, and all other interested persons, will be given an opportunity to be heard at the hearing regarding the proposed Innsbruck North HIA and the Housing Improvement Fees. 
2.         Proposed Improvements:   The proposed improvements include the following:
Recreation Center improvements, including but not limited to HVAC work; exterior renovation; interior renovation; roof replacement, including gutters, downspouts and garage roof; replacement of windows and doors; pool improvements; handrail improvements.
Property site and utility improvements, including but not limited to street, curb and gutter and driveway improvements and replacement; gutter and garage apron replacement; replacement of sanitary sewer, water and storm sewer mains; replacement of individual water and sewer lines; correct drainage issues; replace retaining walls; replace paths sidewalks and steps; replace light poles, replace pedestal mailboxes; replacement of street and building signs; trash enclosure improvements; playground replacement.
3.         Estimated Cost of Improvements to be paid in whole or in part by Housing Improvement Fees:   The total loan amount is estimated to be no greater than $6,090,000.  The project costs are estimated to be $5,607,840 for construction and soft construction costs, $351,610 for costs associated with bond issuance, rounding, capitalized interest and financing costs, and $95,550 for City administrative and financial costs.  
4.         Amount to be charged against each housing unit: The total costs will be allocated equally to each unit.  Estimates of the Housing Improvement Fee to be imposed on each housing unit in the Innsbruck North HIA is $21,472 (the ""Prepayment Fee"").  Unless prepaid by July 1, 2022, interest on the per-unit fees will be charged at a rate of 4.22% per annum and the total estimated annual fee if not prepaid for each housing unit is equal to $1,690.95 (the ""Annual Fee""). Final Housing Improvement Fees may not be more than the amounts described in this paragraph.
5.         Owner's right to prepay the total Housing Improvement Fee: Housing unit owners may prepay the Prepayment Fee, in whole but not in part, before July 1, 2022.   After July 1, 2022, the fee may not be prepaid except in full upon sale of such housing unit.  The unpaid balance will be imposed as an Annual Fee as described in paragraph 4 above
6.         Number of years the Housing Improvement Fee will be in effect: If owners do not pay the Prepayment Fee by July 1, 2022, an Annual Fee will be imposed and collected at the same time and in the same manner as property taxes.  The Annual Fee will be payable in equal installments over a period not to exceed 20 years beginning in 2023. 
7.         Compliance with Petition Requirement:   Owners of more than 60 percent of the housing units that would be subject to the Housing Improvement Fee in the proposed Innsbruck North HIA have filed a petition with the City requesting a public hearing on the proposed Housing Improvement Fee, the creation of the HIA and the adoption of an ordinance.  This meets the petition requirements for a public hearing under Minnesota Statutes, Section 428A.12 and the City's policy.
For further information on the proposed Housing Improvement Fee, HIA, and ordinance contact Paul Bolin, Assistant Executive Director, Fridley HRA, 763-572-3591, Paul.Bolin@FridleyMN.gov.
Written comments may be submitted to the City via U.S. mail or via email to Paul.Bolin@FridleyMN.gov. Written comments received by the City before the agenda packet is produced and distributed will be included as attachments to the staff report. All comments received after that will be given to the city council at the beginning of the meeting and entered into the public record.
If you need special accommodations or have questions about the meeting please call 763-572-3523.
Melissa Moore, City Clerk
Dated:  February 1, 2022
This press release was produced by the City of Fridley. The views expressed here are the author's own."
6,/minnesota/fridley/city-fridley-notice-time-change-council-conf-mtg-nodx-20220121,2022-01-21T22:12:42Z,City Of Fridley: NOTICE OF TIME CHANGE FOR...,0,0,Press Release Desk,News Partner,"Press release from the City of Fridley:
January 21, 2022
Notice is hereby given that the January 24, 2022, City Council Conference Meeting will begin at 5:00 p.m. rather than 5:30 p.m. Said meeting will be held in the Fireside Room at the Fridley Civic Center, 7071 University Avenue N.E.
This press release was produced by the City of Fridley. The views expressed here are the author's own."
7,/minnesota/fridley/fridley-area-unemployment-still-low-new-update-nodx-20220114,2022-01-14T20:51:35Z,Fridley-Area Unemployment Still Low: New Update,0,0,Local Data,Patch Staff,"FRIDLEY, MN — Job growth slowed near the end of 2021, but the country is within striking distance of pre-pandemic unemployment levels, according to the U.S. Bureau of Labor Statistics' December jobs report.
Nationally, employment rose by 199,000 jobs in December, and the unemployment rate dropped by 0.3 percentage points to 3.9 percent when seasonally adjusted, according to the BLS. The total number of jobs added was the lowest of any month in 2021; however, the BLS tends to revise job estimate figures upward in subsequent months.
The national unemployment rate dropped by 2.8 percentage points over the course of 2021 and continued to move closer to the pre-pandemic rate of 3.5 percent.
The latest available local unemployment figures are for November; that rate improved since October in the Fridley area and continues to be lower than it was after the pandemic first struck.
The Anoka County unemployment rate was 2.2 percent in November, down from 2.5 percent in October. That reflected some improvement from November 2020, when the unemployment rate stood at 4.4 percent.
The November unemployment rate in Anoka County was the same rate as Minnesota, according to the latest figures from the BLS.
Nationally, average hourly earnings increased by 19 cents per hour from November to December, up to $31.31, according to the BLS. Average hourly earnings increased 4.7 percent in 2021.
Some experts predict January and possibly February hiring will slow down due to the omicron coronavirus variant, according to The New York Times.
The leisure/hospitality industry continued to add jobs, with a net gain of 53,000 positions in December. Still, employment in the industry is down by 1.2 million positions, or 7.2 percent, since February 2020.
The BLS also revised previous national monthly employment figures upwards; October's total job growth was revised by 102,000 positions, for a total growth of 648,000. November's job growth went up an additional 39,000 positions to a total of 249,000.
Editor's note: This post was automatically generated using data from the U.S. Department of Labor's Bureau of Labor Statistics Local Area Unemployment Statistics (LAUS) program. National figures are seasonally-adjusted, while county and state figures are not seasonally adjusted. November's figures are preliminary. Please report any errors or other feedback to content@patch.com."
8,/minnesota/fridley/commissioner-jeff-reinert-named-anoka-county-committees-nodx-20220112,2022-01-12T23:49:23Z,Commissioner Jeff Reinert Named To Anoka County...,0,0,Press Release Desk,News Partner,"Press release from the Anoka County Government:
January 6, 2022
Commissioner Jeff Reinert was named chair of the Human Services and Airport committees, co-chair of the Anoka County/Blaine Airport Joint Powers Board and vice chair of the Intergovernmental and Community Relations, Information Technology and Parks committees at the Jan. 4 Anoka County Board of Commissioners organizational meeting.
This press release was produced by the Anoka County Government. The views expressed here are the author's own."
9,/minnesota/fridley/commissioner-mandy-meisner-named-anoka-county-committees-nodx-20220112,2022-01-12T23:48:34Z,Commissioner Mandy Meisner Named To Anoka...,0,0,Press Release Desk,News Partner,"Press release from the Anoka County Government:
January 10, 2022
Commissioner Mandy Meisner was named chair of the Property Records and Taxation Committee during the Jan. 4 Anoka County Board of Commissioners organizational meeting.
Read the full news release.
This press release was produced by the Anoka County Government. The views expressed here are the author's own."
