,url,Date,Title,Thank,Reply,author,title,context
0,/washington/gigharbor/flags-lowered-half-staff-city-gig-harbor,2020-05-22T19:28:50Z,Flags Lowered To Half-Staff In City Of Gig Harbor,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
May 22, 2020
In accordance with Presidential Proclamation, flags will be lowered to half-staff from Friday, May 22, through Sunday, May 24, to honor victims of the novel coronavirus pandemic. Flags will also be lowered on Monday, May 25, in observance of Memorial Day.
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
1,/washington/gigharbor/fireworks-stand-permit-applications-now-being-accepted-city-gig-harbor,2020-05-16T19:31:01Z,Fireworks Stand Permit Applications,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
May 15, 2020
Instructions and applications are available for download here.
For more information contact Helia Johnston.
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
2,/washington/gigharbor/gig-harbor-city-announces-flyover-may-8,2020-05-07T10:50:47Z,Gig Harbor City Announces Flyover On May 8,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
May 5, 2020
Special Message from Col. Erin M. Staine-Pyne, USAF Commander, 62d Airlift Wing: ""My Airmen and I continue to be inspired by the hard work and dedication of the American heroes battling on the front line of the COVID-19 pandemic. We want to thank these heroes with an Air Force Salute flyover throughout the Puget Sound region. A formation of two Boeing C-17A Globemaster III aircraft, piloted by members of the 62d Airlift Wing demonstration team, will begin a flyover route starting with Madigan Army Medical Center at 12:30 p.m. this Friday, May 8th. The formation will continue over numerous healthcare facilities across the region. Thank you for everything you do for our community. Stay safe and healthy.""
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
3,/washington/gigharbor/all-gig-harbor-city-meetings-will-be-conducted-remotely-until-may-31,2020-05-06T10:35:39Z,All City Meetings Will Be Conducted Remotely,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
May 5, 2020
On March 24th, Governor Inslee signed Proclamation 20-28 which suspends certain requirements of the Open Public Meetings Act (OPMA). On May 5th, the Proclamation was extended through May 31st. All OPMA meetings must be held remotely with no in-person attendance. A phone line will be provided for members of the public to call in and listen to the meetings. Recordings of the meetings will be promptly published on the City's website.
City meetings may only be held to address items that are ""necessary and routine"" or necessary to respond to the outbreak and current public health emergency.
Public comment will not be taken at any meetings. Comments may be emailed to towsleem@cityofgigharbor.net and they will be read at the meeting, as appropriate, subject to the three minute time limit.
The Governor's proclamation also temporarily suspends Public Records Act (PRA) language requiring agencies to provide for in-person inspection of records or in-person submission of records requests along with the requirement that agencies respond to records requests within five business days.
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
4,/washington/gigharbor/gig-harbor-city-civic-center-closed-public,2020-05-01T19:02:11Z,Gig Harbor City Civic Center Closed For Public,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
April 30, 2020
We will assess this closure and make a decision on whether to extend the closure by Friday, May 15th. City staff will still be available via phone and email, and city inspections will continue. The main phone number to City Hall is: (253) 851-8136.
All payments must take place over the phone 253-530-7030, submitted via drop box, or made online. Visit: https://www.cityofgigharbor.net/334/Pay-Utilities-Online to access online payment options. Billing questions and inquiries like start or stop service must be completed via phone 253-851-6157 or email utilities@cityofgigharbor.net
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
5,/washington/gigharbor/governor-inslee-announces-plan-allow-construction-projects-previously-underway,2020-04-25T20:21:29Z,Governor Allows Construction Projects,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
April 24, 2020
The recommendations were informed by workers, contractors, health and safety experts, and local government officials, for safe construction standards. The governor signed an addendum to Proclamation 20–25. The memorandum serves as the criteria for a limited Phase 1 Construction Restart.
Phase 1 Construction Restart COVID-19 Job Site Requirements have been provided by the Governor's Office. No jobsite may operate until the contractor can meet and maintain all requirements, including providing materials, schedules and equipment required to comply. Currently operating projects must be in compliance by no later than Friday, May 1.
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
6,/washington/gigharbor/gig-harbor-city-council-approves-waivers-utility-base-rates,2020-04-16T20:10:18Z,City Council Approves Waivers Of Utility Rates,0,0,Press Release Desk,News Partner,"Press release from the City of Gig Harbor:
April 14, 2020
The COVID-19 outbreak and associated mandated limitations on individuals' ability to work and businesses' ability to operate have created serious economic impacts on city residents and businesses. To assist, the City Council passed an ordinance that removes the base rate from all utility bills for the months of March-April or April-May, depending on each customer's billing cycle. This excludes governmental accounts.
The City's prudent management of the Water-Sewer utility has resulted in the City's high AA+ bond rating which in turn resulted in lower borrowing costs putting the City is in the position to offer some short-term rate relief to customers.
Base rates are identified in GHMC Chapter 13.04 for water service and GHMC Chapter 13.32 for sewer service. Base rates for single-family residences start at $20.22 a month for water and $40.25 a month for sewer. The waiver will cover two full months for all residential and business customers.
This press release was produced by the City of Gig Harbor. The views expressed here are the author's own."
7,/washington/gigharbor/reminder-nw-leaving-gig-harbor-addresses-september,2019-09-09T22:35:15Z,Reminder: NW Leaving Gig Harbor Addresses In Sept,0,0,Press Release Desk,News Partner,"City of Gig Harbor: Effective on September 30, 2019, addresses in the Gig Harbor city limits will no longer contain the ""NW"" directional designator. The City of Gig Harbor is in the final stages of implementing these modifications to ensure they are in compliance with the Next Gen 911 standards.
Over 4,700 notices have been sent out throughout the course of the project starting in June to parcel owners and surrounding community. Other agencies notified by the City throughout the process included but were not limited to: the United State Postal Service, state agencies, GPS carriers and Pierce County.
The City of Gig Harbor is encouraging all those affected by this modification to commence making their changes, if they have not done so yet, to their address as well as notifying any billers or other contacts (please visit the City's website for a full list of contacts to notify). The United State Postal Service will continue to deliver mail for approximately one year after the effective date of September 30, 2019.
The City of Gig Harbor is currently in the process of updating street signage to reflect this modification with anticipated changes to be completed by early 2020. The WSDOT is tasked with making all highway changes in accordance with their schedule.
The public can learn more about the ""NW Directional Project"" by visiting https://www.cityofgigharbor.net/682/NW-Directional-Project; by calling 253.851.6170; or via email at ghnwproject@cityofgigharbor.net. Project Contact: Helia Johnston, ghnwproject@cityofgigharbor.net"
8,/washington/gigharbor/illegal-key-peninsula-gun-range-gets-shut-down,2019-09-09T15:44:12Z, Key Peninsula Gun Range Shut Down,0,0,Neal McNamara ,Patch Staff,"LAKEBAY, WA — An illegal gun range that opened recently in a rural area of the Key Peninsula was ordered to stop shooting activity on Friday by a Pierce County code officer. The range, called KP Compound, was in violation of local zoning rules, according to county officials.
KP Compound opened recently at 320 205th Ave. Southwest near Lakebay, advertising itself as a private club. The club asks users to donate $11 to use the range, which is only open Friday through Sunday during the evening, according to the club's website.
Pierce County Councilman Derek Young said local residents immediately began complaining about shooting noise. The Pierce County Sheriff's Office visited the range last week and asked that no long guns be used. The code enforcement officer visited on Friday to issue a cease-and-desist order, although local residents did report that the shooting continued over the weekend.
KP Compound has 14 days to appeal the code enforcement action, but that might not do anything, Young said.
""The zoning code is clear, they're not even allowed to apply. It's not a conditional or permitted use in that zone,"" Young said on Monday.
The gun range is in a ""rural 10"" zone in the Key Peninsula Community Plan zoning regulations.
Young said that a shooting range on the Key Peninsula is actually a good idea because the Gig Harbor Sportsman's Club is often at capacity. The only zone that would allow a gun range in the Lakebay area is an amusement and recreation zone."
9,/washington/gigharbor/who-gig-harbor-supporting-president-2020,2019-08-21T18:33:39Z,The Presidential Candidates Puget Sound Likes,1,0,Neal McNamara ,Patch Staff,"GIG HARBOR, WA — In honor of Gov. Jay Inslee hitting his goal of 130,000 donors Gov. Jay Inslee leaving the presidential race and Democratic Sen. Elizabeth Warren's upcoming Seattle town hall on Sunday, we wanted to take a look at which 2020 candidates Puget Sound residents are backing with campaign donations.
For this analysis, we used Federal Elections Commission campaign finance data from Jan. 1 to June 30. We only looked at the 18 cities covered by Patch in Puget Sound. Not only did we look at how much money each candidate raked in, we also looked at how many donations they got — and how many of those were from one-time donors.
In general, Puget Sound — except for Inslee — is tracking with national polls in support for candidates. That means people like Bernie Sanders, Warren, and even Donald Trump are pretty popular. There were pockets of support for long-shot candidates like Marianne Williamson and Rep. Tulsi Gabbard.
Here are some quick takeaways:
Here are the top five by total amount of money raised:
Here are the top five with the highest percentage of unique donors
But none of those candidates — including Weld, who's running against Trump — really have a shot of winning the nomination. Bullock, the governor of Montana, has raised the most out of the bunch at only $33,000. So here are the top five front-runner Democrats with the highest number of individual donations. We're using the most recent CNN poll for candidates with 5 percent support or better.
And finally, here are those five candidates arranged by most donations including repeat donors.
Here's a look at the top five 2020 candidates residents in Gig Harbor only donated to:"
