,url,Date,Title,Thank,Reply,author,title,context
0,/connecticut/granby-eastgranby/spike-east-granby-covid-cases-halloween-guidance,2020-10-30T14:11:21Z,Spike in East Granby Covid Cases and Halloween...,0,0,Jim Hayden,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Statistics: Since October 21, 2020, the reported COVID cases in East Granby has increased from 19 cases to 27 cases or an increase of 42% in the past 8 days. For many months the Town positivity rate as measured by the Connecticut Department of Public Health has been a low 1.8%. Due to the recent uptick in cases, we have increased to 2.5% (28 reported cases divided by 1107 tests). Another measure that the State uses is the cases per 100,000 residents and they categorize towns as yellow (5-9 cases per 100,000 population) orange (10-14 cases per 100,000) or red for hotspots. Due to the recent spike, East Granby is barely at the yellow level with 9.7 cases per 100,000 and I anticipate that in the report to be released next week, we will escalate to the orange level.
What does this mean for East Granby Residents: Residents should continue to maintain CDC guidelines for frequent hand washing, wearing of masks and social distancing. Residents should also avoid larger events and limit group sizes. In light of Halloween and parties, please note that the State of Connecticut phase 3 guideline for private, social and recreational gathering sizes at private residences are limited to a maximum of 25 people and that fines of up to $500 can be issued to those not adhering to the State guidelines. Traditional ""Trick or Treating"" is a parental decision. Contactless candy distribution is encouraged. Some residents are putting tables of candy a the end of their driveways or on their porches. Social distancing and the wearing of masks is recommended.
Working together, we can continue to maintain the safety of East Granby residents and I thank you in advance for your help and cooperation as we fight back this recent surge in cases.
Jim Hayden
First Selectman
October 30, 2020"
1,/connecticut/granby-eastgranby/conversation-race,2020-10-23T15:26:27Z,A Conversation on Race,0,0,Jim Hayden,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Come Join Us for a Town Sponsored Conversation on Race. On Thursday, November 12th from 7:30 to 8:45 PM we will hold a virtual community meeting on Zoom. The purpose is to provide dialogue space for East Granby community members to address increased awareness of racial inequity on the national stage and the impact this has both personally and to the town. This virtual meeting will be facilitated by Joelle Murchison, founder of ExecMommyGroup LLC, a diversity and inclusion specialist. Please see the Town website www.eastgranbyct.org or the October 24th edition of Let's Talk Turkey for meeting login information. You can also receive the zoom login by emailing info@egtownhall.com"
2,/connecticut/granby-eastgranby/election-2020-granby-east-granby-voter-guide,2020-10-21T14:09:27Z,"Election 2020: Granby, East Granby Voter Guide ",0,0,Brian McCready,Patch Staff,"GRANBY/EAST GRANBY, CT — Voters in Granby and East Granby will head to the polls Tuesday, Nov. 3, for the 2020 general election.
In addition to the presidential and congressional races, all state House of Representative and Senate seats are up for grabs. Voting will be different this year thanks to a law which allows absentee ballot voting for all voters in light of the coronavirus pandemic.
You can check your voting status on the Secretary of State's website, where you can also find your polling place.
There are several ways residents can vote:
Absentee Voting
The Secretary of the State office has mailed absentee ballot applications to all active registered voters in the state. Voters can also download the application online.
Those who want an absentee ballot will have to fill out the application and select a reason for requesting one. All voters are eligible to check the top box that lists ""COVID-19"" as a reason for requesting an absentee ballot.
Applications then need to be sent to the voter's local town clerk office. They can be dropped in the secure drop-off box in front of town hall, hand-delivered in person to the office or mailed in.
The applications will then be processed locally and will begin to be sent out Oct. 2.
Ballots must be completely filled out according to the accompanied instructions, including signing the inner envelope. Ballots can be hand-delivered to the town clerk office, placed in the drop-off box or mailed in. Ballots must be received by the close of polls in order to count.
Voting on Election Day
Polls in Connecticut are open 6 a.m. to 8 p.m. on Election Day. You can use the Secretary of State's website to find your polling place.
Regular voter registration must be received or postmarked by the 7th day before Election Day. Registration can be done in person with the local registrar of voters office by the 7th day before an election.
Connecticut also allows for Election Day registration at designated centers in each town. People must be registered by 8 p.m. in order to vote using Election Day registration.
The following are the key contested races that will be on the ballot for Granby and East Granby voters:
President/Vice President
Joe Biden/Kamala Harris (Democrat)
Donald Trump/Mike Pence (Republican) - Incumbent
Jo Jorgensen and Chip Cohen (Libertarian)
Howie Hawkins and Angela Walker (Green Party)
U.S. Congress
U.S. House District 1
John B. Larson (Democrat) - Incumbent
Mary Fay (Republican)
Thomas E. McCormick (Green Party)
East Granby and Granby Local State Senate Races
7th Senatorial District
Frederick A. Moffa (Democrat)
John A. Kissel (Republican)
8th Senatorial District - Granby
Melissa E. Osborne (Democrat)
Kevin Witkos (Republican)
Keith James McConnell (Independent)
East Granby Local State Representative Race
61st House District
Jack Henrie (Democrat)
Tami Zawistowski (Republican)
East Granby Registrar of Voters
Lucinda Krough Clark (Democrat)
Michele Marin (Democrat)
Granby Local State Representative Race
62nd House District
Audrey Lampert (Democrat)
Mark W. Anderson (Republican)
Granby Registrar of Voters
Laura A. Wolfe (Democrat)
Sonja J. Smith (Democrat)"
3,/connecticut/granby-eastgranby/annual-east-granby-grand-list,2020-02-05T21:41:59Z,Annual East Granby Grand List  ,0,0,Jim Hayden,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
On January 30, 2020 East Granby Assessor Mary Ellen Brown certified and submitted the 2019 Grand List listed below. The town's Grand List is the sum of the values of all taxable properties in town and includes motor vehicles, business personal property and real estate. The Grand List values are as of October 1, 2019 and will be used to calculate Fiscal Year 2020/21 taxes. This year's Grand List is essentially flat to the October 1, 2018 Grand List.
Real Estate Oct 2018 =$471,839,790 / Oct 2019 = $473,288,490 or + $1,448,700 + 0.3%
Motor Vehicles Oct 2018 = $65,911,082 / Oct 2019 = $ 64,924,567 or (- $986,515) (- 1.5%)
Personal Property - Oct 2018 = $69,675,092 / Oct 2019 = $69,084,130 or (-$ 590,962) (- 0.85%)
Total - Oct 2018 = $607,425,964 / Oct 2019 = $607,297,187 or (-$128,777) (- 0.02%)"
4,/connecticut/granby-eastgranby/granby-2019-local-elections-candidates-polling-places-hours-0,2019-11-04T18:58:27Z,Granby 2019 Local Elections: Vote Totals,0,0,Chris Rhatigan ,Patch Staff,"GRANBY, CT — The polls have closed and the votes have been counted in Granby's municipal election. There were numerous positions up for grabs as listed below.
FIRST SELECTMAN
Republican Party B. Scott Kuhnly 1,713 60.32%
Petitioning Candidate Glenn G. Ballard 1,127 39.68%
SELECTMEN
Democratic Party Sally S. King 1,151 19.34%
Democratic Party James C. Lofink 1,052 17.68%
Republican Party Edward E. Ohannessian 1,311 22.03%
Republican Party Mark Neumann 1,439 24.18%
Petitioning Candidate John Alexander Bazyk 998 16.77%
BOARD OF FINANCE FULL TERM
Democratic Party William Kennedy 1,901 29.55%
Republican Party Kelly O. Rome 2,257 35.08%
Republican Party Michael B. Guarco Jr. 2,276 35.37%
BOARD OF FINANCE TO FILL VACANCY FOR TWO YEARS
Republican Party James Tsaptsinos 0 0.00%
BOARD OF EDUCATION
Democratic Party Lynn Guelzow 1,318 12.14%
Democratic Party Christine Peaslee 1,269 11.69%
Democratic Party Monica Logan 1,127 10.38%
Democratic Party Jenny Emery 1,654 15.23%
Republican Party Rosemarie Weber 1,901 17.51%
Republican Party David Peling 1,732 15.95%
Republican Party Mark Fiorentino 1,856 17.09%
BOARD OF ASSESSMENT APPEALS
Republican Party Lowell C. Johnson 2,352 100.00%
PLANNING AND ZONING COMMISSION
Democratic Party Christine L. Chinni 1,898 22.19%
Republican Party Mark Lockwood 2,237 26.15%
Republican Party Brennan Sheahan 2,196 25.68%
Republican Party Jonathan Boardman 2,222 25.98%
PLANNING AND ZONING COMMISSION ALTERNATE
Republican Party Paula H. Johnson 2,359 100.00%
ZONING BOARD OF APPEALS
Democratic Party Suzanne Yucha 1,916 30.24%
Republican Party Steve Muller 2,209 34.86%
Republican Party Ann Crimmins 2,211 34.90%
ZONING BOARD OF APPEALS ALTERNATE
Democratic Party David Hennessey 1,998 100.00%
TOWN MODERATOR
Republican Party John E. Adams 2,443 100.00%
GRANBY, CT — Voters will head to the polls Tuesday, Nov. 5 to vote in Granby's municipal election. The position of first selectman, spots on the boards of education and selectmen are all up for grabs.
Polls are open from 6 a.m. to 8 p.m. Voters who are in line before 8 p.m. will be able to vote even after the deadline passes. You can find your poll location at the Secretary of the State website by inputting your information.
First Seletman: Republican B. Scott Kuhnly and petitioning candidate Glenn G. Ballard.
Selectmen: Democrats Sally S. King, James C. Lofnik; Republicans Edward E. Ohannessian, Mark Neumann; and petitioning candidate John Alexander Bazyk. Voters will choose two candidates.
Board of Finance: Democrat William Kennedy; Republicans Kelly O. Rome and Michael B. Guarco, Jr.
Board of Finance: Republican James Tsaptsinos is running unopposed.
Board of Education: Democrats Lynn Guelzow, Chirstine Peaslee, Monica Logan, James Emery; Republicans Rosemarie Weber, David Peling, Mark Fiorentino. Voters will choose four candidates.
Planning and Zoning Commission: Democrat Christine L. Chinni; Republicans Mark Lockwood, Brennan Sheahan, Jonathan Boardman. Voters will choose four candidates.
Planning and Zoning Commission alternate: Republican Paula H. Johnson.
Zoning Board of Appeals: Democrat Suzanne Yucha; Republicans Steve Muller, Ann Crimmins. Voters will choose three candidates.
Zoning Board of Appeals alternate: Democrat David Hennessey is running unopposed.
Town Moderator: Republican John E. Adams is running unopposed.
Connecticut offers Election Day registration, but those who arrive need to be registered by 8 p.m. in order to vote. Unlike previously registered voters standing in line before 8 p.m. to register won't guarantee the ability to vote.
Absentee ballots are also available for those who won't be in town all of election day or for a multitude of other reasons. Voters can also register online prior to the election."
5,/connecticut/granby-eastgranby/e-granby-2019-local-elections-candidates-polling-places-hours-0,2019-11-04T18:57:47Z,East Granby 2019 Local Elections: Vote Totals,0,0,Chris Rhatigan ,Patch Staff,"EAST GRANBY, CT — The polls have closed and the votes have been counted in East Granby's municipal election. There were numerous positions up for grabs as listed below.
FIRST SELECTMAN
Democratic Party James M. Hayden 1,024 59.67%
Republican Party Todd Zessin 692 40.33%
SELECTMAN
Democratic Party Joe Doering 963 56.78%
Republican Party John Ziobro 733 43.22%
BOARD OF FINANCE FULL TERM
Democratic Party Natalie W. Welsh 897 26.69%
Democratic Party Mike Malloy 864 25.71%
Republican Party Richard Galluccio 809 24.07%
Republican Party Glenn Zaugg 791 23.53%
BOARD OF EDUCATION FULL TERM
Democratic Party John Welsh 920 27.44%
Democratic Party Lynn Landolina 889 26.51%
Republican Party John Corcoran 798 23.80%
Republican Party Lucia S. Ziobro 746 22.25%
BOARD OF EDUCATION TO FILL VACANCY FOR FOUR YEARS
Democratic Party Michele Holt 932 55.68%
Republican Party Rick Bortz 742 44.32%
BOARD OF ASSESSMENT APPEALS
Democratic Party David Tobin 884 31.14%
Republican Party Andrea Ullmann 1,017 35.82%
Republican Party Aaron Nardi 938 33.04%
PLANNING & ZONING COMMISSION
Democratic Party Bob Ravens Seger 807 24.29%
Democratic Party John Welsh 896 26.96%
Republican Party Dan Velcofsky 820 24.68%
Republican Party Angela Ciottone 800 24.07%
PLANNING & ZONING COMMISSION ALTERNATES
Democratic Party Mark Ricketts 841 19.07%
Democratic Party Jennifer Frank 893 20.24%
Republican Party Charlie Allen 875 19.84%
Republican Party Katie Hastings 969 21.97%
Republican Party Jim Luchina 833 18.88%
ZONING BOARD OF APPEALS FIVE YEAR TERM BEGINS 2020
Democratic Party Jennifer Cook 895 53.88%
Republican Party John Burda 766 46.12%
ZONING BOARD OF APPEALS FIVE YEAR TERM BEGINS 2021
Democratic Party Betty Ann Hayden 865 51.98%
Republican Party Philip Chester 799 48.02%
ZONING BOARD OF APPEALS ALTERNATES
Democratic Party Dillon Tyman 1,071 100.00%
EAST GRANBY, CT — Voters will head to the polls Tuesday, Nov. 5 to vote in East Granby's municipal election. The position of first selectman, spots on the boards of education and selectmen are all up for grabs.
Polls are open from 6 a.m. to 8 p.m. Voters who are in line before 8 p.m. will be able to vote even after the deadline passes. You can find your poll location at the Secretary of the State website by inputting your information.
Here are the candidates in East Granby:
First Selectman: Democrat James M. Hayden and Republican Todd Zessin.
Selectman: Democrat Joe Doering and Republican John Ziobro.
Board of Finance: Democrats Natalie W. Welsh and Mike Malloy; Republicans Richard Galluccio and Glenn Zaugg. Voters will choose two candidates.
Board of Education full term: Democrats John Welsh and Lynn Landolina; Republicans John Corcoran and Lucia S. Ziobro. Voters will choose two candidates.
Board of Education four-year term: Democrat Michelle Holt and Republican Rick Bortz.
Board of Assessment Appeals: Democrats David Tobin; Republicans Andrea Ullmann and Aaron Nardi. Voters will choose two candidates.
Connecticut offers Election Day registration, but those who arrive need to be registered by 8 p.m. in order to vote. Unlike previously registered voters standing in line before 8 p.m. to register won't guarantee the ability to vote.
Absentee ballots are also available for those who won't be in town all of election day or for a multitude of other reasons. Voters can also register online prior to the election."
6,/connecticut/granby-eastgranby/e-granby-2019-local-elections-candidates-polling-places-hours,2019-11-01T11:00:00Z,East Granby 2019 Local Elections,0,0,Chris Rhatigan ,Patch Staff,"EAST GRANBY, CT — Voters will head to the polls Tuesday, Nov. 5 to vote in East Granby's municipal election. The position of first selectman, spots on the boards of education and selectmen are all up for grabs.
Polls are open from 6 a.m. to 8 p.m. Voters who are in line before 8 p.m. will be able to vote even after the deadline passes. You can find your poll location at the Secretary of the State website by inputting your information.
Here are the candidates in East Granby:
First Selectman: Democrat James M. Hayden and Republican Todd Zessin.
Selectman: Democrat Joe Doering and Republican John Ziobro.
Board of Finance: Democrats Natalie W. Welsh and Mike Malloy; Republicans Richard Galluccio and Glenn Zaugg. Voters will choose two candidates.
Board of Education full term: Democrats John Welsh and Lynn Landolina; Republicans John Corcoran and Lucia S. Ziobro. Voters will choose two candidates.
Board of Education four-year term: Democrat Michelle Holt and Republican Rick Bortz.
Board of Assessment Appeals: Democrats David Tobin; Republicans Andrea Ullmann and Aaron Nardi. Voters will choose two candidates.
Connecticut offers Election Day registration, but those who arrive need to be registered by 8 p.m. in order to vote. Unlike previously registered voters standing in line before 8 p.m. to register won't guarantee the ability to vote.
Absentee ballots are also available for those who won't be in town all of election day or for a multitude of other reasons. Voters can also register online prior to the election."
7,/connecticut/granby-eastgranby/rep-zawistowski-brings-group-legislators-old-new-gate,2019-07-04T18:19:37Z,Rep. Zawistowski Brings Group of Legislators ,0,0,Press Release Desk,News Partner,"From CT State Reps: State Representative Tami Zawistowski (R-East Granby) invited legislators from across the state to tour Old New-Gate Prison and Copper Mine on Thursday, June 27th.
The group was welcomed by Liz Shapiro from the State Historic Preservation Office (SHPO) and the tour was led by Museum Assistant Morgan Bengel. The bi-partisan group of State Representatives included Tom Delnicki (R-South Windsor), Kerry Wood (D-Wethersfield) Bill Simanski (R-Granby), Cristin McCarthy Vahey (D-Fairfield) and Kevin Ryan (D-Montville).
Rep. Zawistowski commented, ""Northern Connecticut is often overlooked when it comes to tourism and attractions. I was pleased to bring a group of legislators from different areas of the state to share what makes this site special and discuss the long effort to reopen New-Gate after being closed for nearly a decade. The state purchased the property in 1968 and it is one of four museums owned and operated by SHPO. Old New-Gate is now entering its second season of welcoming visitors.""
Old New-Gate Prison and Copper Mine is the oldest surviving state prison structure in the country and has been designated a National Historic Landmark and a State Archaeological Preserve. The site was first opened as a copper mine in 1705 and converted into a prison in 1773. After the state closed the prison in 1827, it became a local tourist attraction.
The museum in open Thursday through Monday from 10:00 a.m. – 4:30 p.m. during the summer season. For more information about Old New-Gate and other Connecticut Museums visit www.cultureandtourism.org or find the museum on social media at www.facebook.com/OldNewGatePrison."
8,/connecticut/granby-eastgranby/north-central-legislators-tour-national-guard-small-air-terminal,2019-06-19T21:52:35Z,Legislators Tour National Guard Small Air Terminal,0,0,Press Release Desk,News Partner,"From Connecticut State House Republicans: State Representatives Bill Simanski (R-62), Christopher Davis (R-57), Tami Zawistowski (R-61) and Tom Delnicki (R-14) toured the recently completed Small Air Terminal at the Bradley Air National Guard Base on Thursday, June 13th.
The Representatives were welcomed by Adjutant General of the Connecticut National Guard Major General Evon and the tour was conducted by 103rd Airlift Wing Commander Colonel Gwinn, and United States Air Force Master Sergeant Ewings.
""I was very impressed with the new facility that the Connecticut Air National Guard has up at Bradley. It's great to know that should disaster arise in Connecticut, and we need support, that they have the ability to get material to where it is needed quickly and efficiently – this facility is key to that success,"" said Rep. Delnicki.
""This new air terminal fits a surprising number of functions under one roof,"" said Rep. Simanski. ""I was thoroughly impressed with the planning that went into its construction. This is truly a state-of-the-art facility that will help the Air National Guard and Air Force efficiently execute their missions.""
The nearly 16,000 square foot facility serves as a deployment processing center, air terminal and houses several logistics and readiness functions in one building. Small Air Terminal was federally funded as part of the 2017 fiscal year military construction program.
Rep. Zawistowski commented, ""I have so much respect and admiration for those who are willing to put their lives at risk to protect our freedom. It was good to see firsthand the important work that goes on at the base to support missions vital to our nation's protection.""
""It was a true honor to tour the new Connecticut Air National Guard terminal and their command operations center at Bradley Air National Guard Base. It was such a privilege to be able to thank the men and women of the Air National Guard for their service to our state and country on behalf of our community,"" said Rep. Davis.
The 103rd Airlift Wing nicknamed the ""Flying Yankees"" is among the oldest units in the country, beginning as an observation unit in World War One. For more information visit their website at www.103aw.ang.af.mil"
9,/connecticut/granby-eastgranby/east-granby-police-blotter-26,2019-04-13T14:48:11Z,East Granby Police Blotter,0,0,Jim Hayden,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
First Selectman Jim Hayden has released the following information regarding police activity for March 2019. Please note that ""Total Calls for Service"" includes among other things: tickets, accidents, patrol checks, community contacts, administrative assignments, well-being checks and business checks.
Total Calls for Service – (1,375) in March and (3,817) year to date
Accidents – (12) in March and (29) year to date
Tickets – (56) in March and (152) year to date
Medicals – (31) in March and (111) year to date
Other Investigations – Total of (8) and (31) year to date
Arrests"
