,url,Date,Title,Thank,Reply,author,title,context
0,/michigan/grand-rapids/michigan-rep-amash-ends-libertarian-bid-president,2020-05-16T20:03:09Z,Amash Ends Libertarian Bid For President,0,1,Associated Press,News Partner,"WASHINGTON, DC— Michigan Rep. Justin Amash, a high-profile critic of President Donald Trump who quit the GOP and became an independent, announced Saturday he would not seek the Libertarian nomination for the White House, weeks after saying he was running because voters wanted an ""alternative"" to the two major parties.
In deciding to drop out, he cited the challenges of trying to campaign as a third-party candidate during the coronavirus pandemic.
""After much reflection, I've concluded that circumstances don't lend themselves to my success as a candidate for president this year, and therefore I will not be a candidate,"" he said in one in a series of tweets explaining his decision. He said ""the new reality of social distancing levels the playing field among the candidates in many respects, but it also means lesser known candidates are more dependent on adequate media opportunities to reach people.""
Amash said he still thinks such a candidacy could prove successful in the future.
""I continue to believe that a candidate from outside the old parties, offering a vision of government grounded in liberty and equality, can break through in the right environment,"" he tweeted. ""But this environment presents extraordinary challenges.""
Amash would have faced nearly impossible odds of winning the presidency. But third-party campaigns can have unpredictable consequences for the Democratic and Republican candidates in the race.
In 2000, Ralph Nader's Green Party presidential bid cost Democrat Al Gore crucial support and was a contributing factor in Republican George W. Bush's narrow victory. Democrat Hillary Clinton's 2016 loss to Trump has been blamed in part on the support that Green Party candidate Jill Stein picked up in states such as Pennsylvania.
Amash left the Republican Party last year and later supported Trump's impeachment in the Democratic-led House.
In announcing his intention in late April to seek the Libertarian nomination, Amash said he wanted to represent the millions of Americans who do not feel well represented by either major party."
1,/michigan/grand-rapids/grand-rapids-announces-economic-dev-engineering-appointments,2019-09-19T18:00:52Z,Grand Rapids Announces New City Appointments ,0,0,Press Release Desk,News Partner,"From the City of Grand Rapids:
September 18 2019
City Announces New Economic Development And Engineering Appointments
GRAND RAPIDS, Mich. – City Manager Mark Washington today announced two appointments: Jono Klooster as acting director of economic development services and Tim Burkman as city engineer.
Klooster will lead the City's efforts around improving Grand Rapids' business environment, which include economic development programs and initiatives that create employment opportunities, encourage sustainable business development and result in business recruitment, retention and expansion. Burkman will lead the City's engineering operations, which include construction projects involving public roads and City-owned utilities and facilities.
Klooster is a familiar face in the City's Economic Development Department. He has been an integral part of the team for more than eight years, most recently as a senior economic development coordinator who has helped to deliver such projects as Studio Park, The Rowe apartments, Michigan State University Grand Rapids Research Center and the newly constructed Warner Building and Hyatt Place hotel.
Klooster has served as the department's second in command under Managing Director Kara Wood, who is leaving later this month for an opportunity in higher education. Klooster begins his new role Sept. 25.
""I am confident Mr. Klooster will continue to lead us forward and advance our strategic priorities around economic prosperity and affordability,"" Washington said. ""He is a rock star within our organization and he is a trusted policy expert who is well-respected in both the business community and the community at large.""
Most recently, Klooster has managed the City's Brownfield Redevelopment program, completing more than 50 projects that have resulted in more than $1 billion in investment. He also has managed the City's real estate acquisition and disposition, resulting in more than 15 acres of riverfront property to support the river restoration project and tax-foreclosed properties for affordable housing. He has assisted new and existing businesses in locating and expanding in Grand Rapids, completing more than 50 business development projects that have resulted in more than $400 million in investment.
""I am committed to ensuring Grand Rapids continues to have a prosperous, vibrant and equitable economy,"" Klooster said. ""I look forward to leading our talented team of economic development professionals to make sure this happens.""
Klooster began his career as a carpenter framing custom homes in Seattle, overseeing small crews of carpenters and laborers. He then spent a year teaching at a bilingual school in Central America before returning to Grand Rapids to use his carpentry skills in the renovation and historic restoration field. He spent three years with a small locally owned contractor, focusing on interior and exterior restoration and remodeling work in Grand Rapids' historic districts, before joining the City. He has a bachelor's degree in business from Calvin College and a master's degree in public administration from Grand Valley State University.
Washington said he was grateful for Woods' 12 years of service to the City, adding she would be missed.
""Ms. Wood has been an instrumental part of a decade of economic development in our city,"" he said. ""I am thankful to her for creating and overseeing many economic development programs and initiatives that have resulted in business recruitment, retention and expansion. I wish her the very best in her future endeavors.""
Burkman, a 17-year professional engineer, will join the City on Oct. 21. He most recently has served as executive director of Macatawa Area Coordinating Council (MACC), the metropolitan planning organization for the Holland-Zeeland area. While serving at the MACC, Burkman was responsible for developing the region's four-year transportation improvement program. This consisted of more than $117 million in federal, state and local investment in roadway, pathway and transit-related projects. He also worked to improve water quality in local lakes and streams through the promotion and implementation of best management practices.
Burkman has spent most of his career working in the City of Valparaiso (Ind.) Engineering Department – first as assistant city engineer for four years and then as city engineer for 11 years – where he earned a reputation for innovative solutions that engaged the community. During his tenure, he helped set the framework for the successful U.S. 30 corridor improvement project. This project reimagined the city's main thoroughfare, making it more walkable and more memorable. Roundabouts were introduced in Valparaiso under his leadership to improve safety at several dangerous intersections. He also led the development of a stormwater management plan and investments based on the plan that reduced neighborhood flooding across the community.
Prior to joining the City of Valparaiso, Burkman served as an engineering consultant for several other cities. The northwest Indiana native received a bachelor's degree in civil engineering from Valparaiso University.
""Grand Rapids is a phenomenal city, and I am thrilled to join the team here to continue the great progress already in the works and beyond.""
Burkman said.Burkman and his family moved to West Michigan last year to be part of the community they love. He said he has enjoyed developing partnerships with many local, regional and statewide leaders.
Washington touted Burkman's experience and ability to build relationships in the community.
""Mr. Burkman is a proven leader who brings experience and a record of innovation to the table,"" Washington said. ""I look forward to working with him to advance our strategic priorities around mobility, health and environment and safe community.""
This press release was produced by the City of Grand Rapids. The views expressed here are the author's own."
2,/michigan/grand-rapids/spruce-your-financial-plan-social-security,2019-05-29T13:00:00Z,Spruce up your Financial Plan with Social Security,0,0,Vonda VanTil,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
A good spring-cleaning can clear out the clutter to let you see a clear path for your future. Social Security is always here to help. Even if you just started working, now is the time to start preparing for retirement. Achieving the dream of a secure, comfortable retirement is much easier with a strong financial plan.

Tip 1: Start Early
Our online retirement planning resources are helpful to people at any stage of their career. Our many calculators, Benefit Eligibility Screening Tool, and disability resources are all available at www.socialsecurity.gov/planners. From here, you can read and download publications and also email and share with colleagues, friends, and family. Remember, the earlier you start, the better chance you have at saving what you need.
Tip 2: Be Informed
We're often asked, ""What's the best age to start receiving retirement benefits?"" The answer is that there's no single ""best age"" for everyone and, ultimately, it's your choice. The most important thing is to make an informed decision, based on your individual and family circumstances. To help you make that decision, see our retirement publications at https://www.socialsecurity.gov/pubs/?topic=Retirement.
Tip 3: Estimate the Benefits You Might Get
Knowing the amount of money you could get is pivotal in planning your finances. With the Retirement Estimator, you can plug in some basic information to get an instant, personalized estimate of your future benefits. Try out different scenarios, such as higher or lower future earnings amounts and various retirement dates to see the various potential effects on your future benefit amounts. Visit www.socialsecurity.gov/benefits/retirement/estimator.html.
Social Security can help you spring into action and take control of your future with the proper planning tools. Share these online resources with friends and family so they, too, will have the tools."
3,/michigan/grand-rapids/connect-social-security-social-media,2019-05-17T13:30:00Z,Connect with Social Security on Social Media,0,0,Vonda VanTil,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
Over the last decade, Social Security's communications strategy has evolved to include electronic messages, through our social media channels. You can share Social Security information, including links to our online tools, with a click of a button.

Using Facebook, we reach millions of people on a platform they're familiar with and comfortable navigating. We can cross generational divides as we encourage users to share their personal experiences with Social Security programs, such as disability, survivors, and retirement benefits. You can follow us and repost our articles at www.facebook.com/socialsecurity.

Our newest social media outlet is our Instagram account. As we do on Facebook, we share stories and resources that can help you and your loved ones. Check out our new Instagram page at www.Instagram.com/SocialSecurity

Have you seen us on YouTube? Our diverse collection of videos covers veterans' benefits, online services, retirement, Social Security scams, and much more. We also offer more in-depth instructions about filing disability claims. Some of our videos are in Spanish as well. You can view and easily share our videos at www.youtube.com/SocialSecurity.

Twitter is another powerful tool we use to keep people informed. We use it to announce new my Social Security features and other service or program changes. You can join our many followers at www.twitter.com/socialsecurity.

Check out our blog, Social Security Matters. You can subscribe and read up-to-date columns about programs, policy, and people like you who are helped by Social Security every day. Read more at blog.socialsecurity.gov.

Connecting with us on social media helps you share important information and knowledge with the people you care about. Follow along and share our pages with someone who you want to positively affect today. See all of our social media channels at www.socialsecurity.gov/socialmedia.
"
4,/michigan/grand-rapids/see-what-you-can-do-online-during-national-social-security-month,2019-04-27T13:30:00Z,See What You Can Do Online During National...,0,0,Vonda VanTil,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.

Last month we featured how you can replace a lost or stolen Social Security card, get a copy of your 1099 (SSA-1099), and check the status of your Social Security benefit application or claim. This month we share three more advantages.

If you already receive Social Security benefits (retirement, survivors or disability) and you have a bank account, you can start or update your direct deposit information online by using the My Profile Tab in your personal my Social Security account. In most cases, you are required to receive federal benefits electronically, so when you choose direct deposit, we will electronically deposit your funds directly into a bank account.

Do you receive Social Security benefits (retirement, survivors, or disability) or are you enrolled in Medicare and getting ready to move? If yes, you can easily change your address online in your personal my Social Security account.

Finally, if you need a benefit verification letter - often called a budget letter, a benefits letter, a proof of income letter or a proof of award letter - you can instantly access this letter online in your personal my Social Security account.

If you do not already have an account, the first thing you need to do is create one at www.socialsecurity.gov/myaccount. Please know that securing your identity and personal information is important to us. We protect your information by using strict identity verification and security features. The application process has built-in features to detect fraud and confirm your identity.

Share with friends and family what you can do online with a my Social Security account at www.socialsecurity.gov."
5,/michigan/grand-rapids/financial-literacy-month-perfect-time-plan-your-future,2019-04-24T12:30:00Z,Financial Literacy Month – A perfect time to...,0,0,Vonda VanTil,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.

The earlier you start saving, the more you can accrue in a 401k individual retirement account and other types of IRAs. Social Security helps secure your future, but Social Security is only one part of a more complete retirement plan.

Financial literacy includes having access to not just the correct general information, but also to your personal financial information. You can open your own personal my Social Security account at www.socialsecurity.gov/myaccount/ and quickly have access to your information from anywhere. There, you can do many things, but the most important thing is to view your Social Security Statement.

Your Social Security Statement is an easy-to-read personal record of the earnings on which you have paid Social Security taxes and a summary of the estimated benefits you and your family could receive, including potential retirement, disability, and survivors benefits. Once you have an account, you can view your Statement at any time. You'll want to verify that your recorded earnings are correct, because your future benefits are based on your recorded earnings.

We also offer the online Retirement Estimator at www.socialsecurity.gov/benefits/retirement/estimator.html that provides immediate and personalized benefit estimates based on your earnings record. The Retirement Estimator is an interactive tool that allows you to compare different retirement scenarios like future earnings and different retirement ages.

One sure way to stay on top of your financial future is to join the more than 38 million people who have opened their own my Social Security account at www.socialsecurity.gov/myaccount/. The sooner you start planning for retirement the better off you will be."
6,/michigan/grand-rapids/one-thing-do-during-national-social-security-month,2019-04-19T20:22:07Z,One thing “to do” during National Social...,0,0,Vonda VanTil,Local Official,"This post was contributed by a community member. The views expressed here are the author's own.
April is National Social Security Month! That means it's time to create a my Social Security account.
In your personal my Social Security account, you can verify your earnings, see an estimate of future benefits while still working, or manage your monthly benefits once you begin receiving them. Managing your benefits means you can set up or change direct deposit, change your address and get a replacement SSA-1099. You can also check the status of your Social Security application or appeal; get a replacement Social Security card; or get a proof of income letter.

If you do not already have an account, the first thing you need to do is create one at www.socialsecurity.gov/myaccount. Please know that securing your identity and personal information is important to us. We protect your information by using strict identity verification and security features. The application process has built-in features to detect fraud and confirm your identity.

For over 80 years, Social Security has transformed to meet the changing needs of our customers. Today,you can apply for retirement, disability, and Medicare benefits online; find answers to over 200 of your most frequently asked questions, and much more.

Celebrate National Social Security Month by creating your account and seeing what you can do online anytime, anywhere at www.socialsecurity.gov."
7,/michigan/grand-rapids/twins-opposite-parties-run-county-board-michigan,2018-07-19T20:36:36Z,Twins Of Opposite Parties Campaign For Same Board,0,0,Beth Dalbey,Patch Staff,"KENTWOOD, MI — Twins Jessica Ann Tyson and Monica Sparks are identical in many respects, but not in their political leanings. But in a country where recent elections have strained some family relationships, the western Michigan siblings running under opposite party banners for positions on the same county governing board say that won't happen to them.
Both are running for seats on the Kent County Board of Commissioners. Tyson, a Republican, filed first for District 13. Democrat Sparks followed her sister, filing for District 12. Tyson is sure to advance to the November midterm elections as the only Republican on the ballot in her district in the Aug. 7 primary, but Sparks has a tougher climb in a four-way race.
The twins are determined not to be divided by their separate campaigns and opposing party ideology. They do agree on some issues, such as equality, justice and liberty for all. Both also say issues like mental health funding and services for senior citizens, veterans and children should be priorities.
""The left wing and the right wing belong to the same bird,"" the women said in unison to television station WXMI.
The twins became interested in politics as children. As kids, they didn't know what party their parents belonged to, but understood as youngsters that voting and civic engagement were not only a right, but a responsibility. Their parents drilled into them that people have died to protect their freedoms.
""My thing is, at the end of the day our parents taught us that we need to stand and stand for something and because we stand and we stand strong, we don't necessarily have to agree on politics or even what we're gonna drink for the evening,"" Sparks said. ""We don't have to agree on that, but one thing we have to do is coexist.""
Their early childhood experience fueled their desire to serve and make life better for Michigan families. Their biological mother was addicted to heroin, and they were abused by foster parents to the point of starvation before they were adopted by a loving family.
""It's so amazing just to be able to sit here and run for county commissioner, are you kidding me?"" Sparks said.
But campaigning separately does bring back some of that pain. The twins were separated from when they were removed from their biological mother's home and ""that was really, really hard,"" Tyson said.
It's not the same thing to be on opposite sides politically, ""but you know, that memory just took me back for just a second,"" she told the television station.
""We are not divided,"" Sparks said. ""Separated for a season, guess you could say because after this we will figure out whichever way it goes.""
Photo by Alex Wong/Getty Images"
8,/michigan/grand-rapids/michigan-lawmakers-ordered-turn-records-over-tesla,2017-08-21T23:38:56Z,Michigan Ordered To Turn Records Over To Tesla,0,0,Associated Press,News Partner,"GRAND RAPIDS, MI — A federal judge has ruled two Michigan lawmakers must surrender to Tesla Motors Inc. records of their communications with lobbyists over a law barring the electric car maker from selling directly to customers.
U.S. Magistrate Judge Ellen Carmody denied efforts by Republican Sen. Joe Hune of Gregory and Republican Rep. Jason Sheppard of Lambertville to quash the subpoenas.
(For more local news, click here to sign up for real-time news alerts and newsletters from Grand Rapids Patch,or click here to find your local Michigan Patch. Also,if you have an iPhone, click here to get the free Patch iPhone app.)
The Detroit Free Press reports the lawmakers had argued their communications with third parties were privileged and should remain private, but Carmody ruled Monday that relevant communications between them and ""non-legislative third parties"" such as lobbyists and constituents must be surrendered.
A message seeking comment was left with Attorney General Bill Schuette's office.
Tesla last year sued Michigan over the 2014 law that ensures automakers can only sell through independent, franchised dealerships.
A marketing salesperson demonstrates an on board command center on a Tesla Model X in downtown Los Angeles on Monday, Oct. 24, 2016. (AP Photo/Richard Vogel)"
9,/michigan/grand-rapids/ex-gymnast-doc-larry-nassar-s-federal-porn-plea-stings-victims,2017-07-11T01:57:52Z,Ex-Gymnast Doc’s Porn Plea Stings Team USA Victims,0,0,Beth Dalbey,Patch Staff,"GRAND RAPIDS, MI — Larry Nassar, the former Michigan State University and Team USA sports doctor who has been accused of sexually assaulting more than 100 gymnasts under the guise of medical treatment, has accepted a plea deal with the government on federal pornography charges, according to media reports.
In exchange for pleading guilty to three charges, Nassar, 53, will escape prosecution on more serious charges of sexually exploiting children at his home, his swimming pool and during ""interstate/international travel,"" according to the agreement with the U.S. Attorney's Office for the Western District of Michigan. The plea agreement drew a sharp reaction from an attorney representing Team USA gymnasts who said they were molested by Nassar at national and international competitions and at the training ranch run by former national team coaches Bela and Marta Karolyi, ESPN reported.
Nassar was a physician for Team USA Gymnastics through four Olympics Games. (For more local news, click here to sign up for real-time news alerts and newsletters from Grand Rapids Patch,or click here to find your local Michigan Patch. Also,if you have an iPhone, click here to get the free Patch iPhone app.)
Nassar's agreement with the Justice Department was signed June 23 and is expected to be filed Tuesday in federal court in Grand Rapids. In it, Nassar pleaded guilty to three charge, including receipt and possession of child pornography and destruction and concealment of records, The Detroit News reported.
Federal agents arrested Nassar on pornography charges last December. According to the testimony of an FBI agent, authorities found 37,000 images or videos of child pornograpy on Nassar's property, including some videos the agent said showed Nassar sexually assaulting young girls in his swimming pool.
Separately, Nassar faces three criminal trials in the assault of nine women or girls in the Lansing area, and civil lawsuits by more than 100 women or girls alleging he sexually abused them.
Among those whose cases won't be prosecuted under the federal plea agreement are two children who said Nassar abused them during international travel between 2006 and 2012, according to the court document obtained last week by The Detroit News.
After news of the settlement broke, Irvine, California, attorney John Manly called the government's agreement not to prosecute Nassar on the most serious cases ""cowardly,"" and said young athletes who gave up their childhoods to compete for their country ""deserve better than this,"" ESPN reported.
""They've told our clients that they are not prosecuting their cases,"" said Manly, one of the lawyers representing more than 90 women or girls who have accused Nassar, including former Olympians and national team members.
""Many of our clients have spoken to and given evidence to the FBI. They gave that evidence and went through the trauma of reliving their experiences with the expectation that they would get justice,"" Manly said. ""Dr. Nassar molested young women at the Olympics. He molested young women at national competitions. And our country is not going to charge him? The message that sends these women is: 'You don't matter.' ""
Nassar exited the international stage without notice just before the 2016 Rio Olympics, and before the Indianapolis Star's explosive report on USA Gymnastics' handling of sexual abuse allegations against Nassar and others associated with the team. The story broke on the eve of the Rio Olympics.
Nassar, who has been denied bond, could spend up to 40 years in prison on the federal charges he is admitting to in the plea agreement.
Michigan Attorney General's Office photo"
