,url,Date,Title,Thank,Reply,author,title,context
0,/new-jersey/hillsborough/hillsborough-condemns-all-acts-racism-bigotry-community,2020-06-11T16:32:26Z,"Hillsborough Condemns All Acts Of Racism, Bigotry",1,0,Alexis Tarrazi,Patch Staff,"HILLSBOROUGH, NJ — The Hillsborough Township Committee passed a resolution condemning racism and bigotry in their community following the recent tragedies across the nation.
""We are profoundly saddened by the deaths and condemn all forms of racism,"" stated
Tomson. ""As a Township and a Community we support and protect all of our residents regardless
of ethnicity, race, faith, sexual orientation, or gender.""
The resolution was unanimously passed during Tuesday night's committee meeting. To read the full resolution click here.
""Hillsborough Township affirms and commits to protect the rights of all people; hate will not be tolerated, and we will stand together to fight any form of bigotry, discrimination, or hate, in speech or action, against any group, from whatever the source,"" according to the resolution.
The resolution further states that the township ""wholeheartedly condemns the actions and injustices that have again wrought division and crisis in our community and across these 'United' states and that Hillsborough Township recommits to working on ways in which we can engage our communities to address and uproot institutionalized racism and implicit bias and offer spaces for dialogue, trainings, and understanding.""
The township had also previously issued a proclamation in honor of the National Day of Racial Healing on Jan. 28.
Hillsborough recently encountered racism after several high school students made 'racist, homophobic, and profane' social media posts in the wake of the killing of George Floyd, and nationwide protests. Hillsborough Township Schools Superintendent Lisa M. Antunes and High School Principal Karen A. Bingert sent a letter condemning their actions. Read More: Hillsborough Schools Condemn Students 'Racist' Online Posts
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here. Don't miss local and statewide announcements. Sign up for Patch alerts and daily newsletters."
1,/new-jersey/hillsborough/hillsborough-allow-temporary-outdoor-dining-permits,2020-06-10T18:47:59Z,Hillsborough To Allow Outdoor Dining Permits,0,0,Alexis Tarrazi,Patch Staff,"HILLSBOROUGH, NJ — The Hillsborough Committee approved a resolution on Tuesday making it easier for township restaurants to apply for a Temporary Outdoor Dining Permit now that Gov. Phil Murphy is allowing operations to resume on June 15 following the coronavirus closure.
""We recognize the significant financial loss and hardship incurred by our food establishment community due to the COVID-19 pandemic and restrictions placed upon their operations. As a result, 'Temporary Dining Permit Applications' to be issued through the Zoning Department, through an expedited and streamlined review process will be issued to applicants wishing to offer outdoor dining,"" stated Deputy Mayor Shawn Lipani, who also serves as Liaison to the Economic and Business Development Commission.
It is free to apply for a permit which will be issued through the Zoning Department with review from the Health Department, Business Advocate and Fire Safety when necessary.
""It is important to note safety of our residents and community is paramount and therefore inspections of the areas will be necessary to ensure all safety measures are being met. However, we believe this temporary permit will further assist the food establishments in Hillsborough during this pandemic,"" Lipani said.
For more information on Outdoor Dining Permits, contact the Business Advocate's Office at 908-369-4313 ext. 7106 or dkois@hillsborough-nj.org.
New Jersey issued rules and guidance for outdoor dining amid the coronavirus outbreak now that Gov. Phil Murphy said that restaurants and bars can resume operations. Read More: Here's What To Do At NJ Bars, Restaurants Under Coronavirus Rules
Some of those rules include tables are going to have to be six feet apart, tables have to be outside, buffet and salad bars will be gone, only takeout will be offered if the weather gets bad, and employees at the bars and restaurants will have to wear masks.
To view and fill out an application, see below:
Hillsborough Outdoor Dining Permit Application by Alexis Tarrazi on Scribd
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here. Don't miss local and statewide announcements. Sign up for Patch alerts and daily newsletters."
2,/new-jersey/hillsborough/black-lives-matter-hundreds-gather-somerset-county-videos,2020-06-08T17:36:04Z,Hundreds Gather In S.C. For Black Lives Matter,0,10,Alexis Tarrazi,Patch Staff,"SOMERSET COUNTY, NJ — Hundreds of residents gathered across Somerset County to spread the message that 'Black Lives Matter' among several peaceful protests held this weekend following the killing of George Floyd in Minnesota.
Somerville
In Somerville, two peaceful protests were held on Saturday and Sunday drawing hundreds of residents holding signs and attracting passing cars to honk their horns in support.
The protests were held on the front lawn of the historic Somerset County Courthouse. The demonstration on Saturday was organized by the same group that organized last weekend's peaceful protest in Franklin Township. Read More: 'I Can't Breathe': Protesters Chant In Somerset County, Video
Video below by Ryan Ozlins:

Bridgewater
A Rutgers Prep student and Bridgewater resident Thalia Grandinetti organized a peaceful march on Sunday that began at Bridgewater Raritan Regional High School and continued to the Township Police Department. Police also helped to block off streets to make sure participants safely were able to walk. Read More: Bridgewater Residents March For Black Lives Matter Movement
Bernardsville
In Bernardsville, a peaceful march was held on Saturday in Bernardsville to put an end to racial injustice. Read More: Black Lives Matter Vigil, March In Basking Ridge, Bernardsville
Organized by Gina Oreficé Beltz the march began at Bernards High School and ended in front of the train station where the Farmer's Market is held. A Bernards High School incoming senior Rai Bindra also rallied students together to join the march. Read More: Bernards Junior Rallies Students To March For Racial Justice
Basking Ridge:
In Basking Ridge, 100 residents gathered outside a private home to hold a candlelight vigil in solidarity with those who are grieving the lives lost to police brutality in communities of color. The vigil was organized by Bernards Township resident Jenny Speal and included five minutes of silence followed by prayers of litany led by the Rev. Rick Morley, pastor of St. Mark's Episcopal Church and the Rev. Dennis Jones of Basking Ridge Presbyterian Church.
Bernards Township Democratic Committeewoman Susan Okin Goldsmith read the Prayer For Our Country from the Jewish Liturgy. Other speakers included Somerset County Freeholder Sara Sooy and Democratic Committee Treasurer Ana Duarte-McCarthy. Sophia Chadda was also in attendance.
Video below by Sara Nichols:
Hillsborough
On Sunday the ICAN (Interfaith Community Action Network) hosted a Virtual Vigil for Justice and Peace in Memory of George Floyd through a Zoom Webinar.
Shanel Robinson, Director of the Somerset County Board of Chosen Freeholders was the keynote speaker and several other civic leaders from both parties offered a unified call to the community to stand up for justice and peace.
Faith leaders offered brief prayers and Scriptures from their traditions. Also included was an extended time of silence for participants to bear witness to the time that passed while Floyd begged for mercy.
All of the protests, marches and vigils in Somerset County were held following the killing of Floyd, 46, when then Minneapolis Police Officer Derek Chauvin kneeled on his neck for nearly nine minutes. Video, which captured Floyd saying ""I can't breathe,"" went viral, and sparked the nationwide protests. Read More: All 4 Minneapolis Officers Charged As Protests Continue
Another march is being planned on Saturday at 2 p.m. to begin at the Bridgewater Library off 1 Vogt Drive. For more information follow instagram.com/bridgewaterforblm.
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here. Don't miss local and statewide announcements. Sign up for Patch alerts and daily newsletters."
3,/new-jersey/hillsborough/i-cant-breathe-protesters-chant-somerset-county-video,2020-06-01T17:55:46Z,'I Can't Breathe': Protesters Chant In Somerset Co,2,4,Alexis Tarrazi,Patch Staff,"SOMERSET COUNTY, NJ — Three peaceful protests were held in Somerset County over the weekend joining cities across the country protesting the killing of George Floyd in Minneapolis, Minnesota.
Floyd, 46, was killed after then Minneapolis Police Officer Derek Chauvin kneeled on his neck for nearly nine minutes. Video, which captured Floyd saying ""I can't breathe,"" went viral, and sparked the nationwide protests.
Edie Velcheck, who organized the Manville protest with Jasmine Griffith, read a speech before starting the march down Main Street.
""Today we stand as one.. speaking with one voice.. to say enough is enough.. enough violence and enough fear.. we are all human, we all bleed, we all fear and we all love. It is time we get with the times and learn a new behavior, our society as we know will continue to perish. We will no longer sit by and watch the injustice of our people go on,"" said Velcheck.
""Today we are here to gather in peace for all of those who's voices have been lost amongst the chaos that has erupted in our country. If you are here today with thoughts of anger, we ask you to redirect those feelings and use them for positive awakening as we move forward to reshape our community into one we will all be able to raise our children in, in harmony. We thank you for being here with us today, never forget their names, shout them from the rooftops.. the world is ours... peace be with you all,"" said Velcheck.
The protests were held in Somerville, Manville and Franklin. Protesters in Manville were captured on video as they marched along North Main Street holding signs and chanting ""I can't breathe.""

Similar protests were held on Main Street in Somerville and in Franklin — all of the protests remained peaceful.
Jasmine Bannon organized the peaceful protest in Franklin with about 200 people who attended. The Franklin Township Police and the Millstone Valley Fire Department helped with the event, according to Franklin Township Police Lt. Frank Rizzo.
""It is important that we do not allow the events occurring around the nation to divide us now. We have work to do, but it is possible when we do it together. The men and women of the Franklin Township Police Department take pride in the relationship they have with the community. I can assure you that our officers will treat everyone they encounter with professionalism, dignity and respect. My command staff and I hold our officers to the highest standards possible. All police officers take an oath to never betray their badge, integrity, character or the public's trust. Officers must also hold each other accountable,"" said Director Quovella Spruill.
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here. Don't miss local and statewide announcements. Sign up for Patch alerts and daily newsletters."
4,/new-jersey/hillsborough/gov-phil-murphy-vetoes-2-coronavirus-bills-signs-tax-bill,2020-05-29T13:43:50Z,Gov. Phil Murphy Vetoes 2 Coronavirus Bills,0,35,Tom Davis,Patch Staff,"NEW JERSEY. – Gov. Phil Murphy has vetoed two bills that were meant to assist people struggling amid the New Jersey coronavirus crisis.
The bills would have afforded more protections for first responders and suspended rental payments for some small businesses (see bills below).
At the same time, Murphy on Thursday signed legislation (A4157) that temporarily extends the deadline to file a property tax appeal to July 1, and the deadline for county boards of taxation to render decisions in tax appeal cases to September 30.
The bill takes effect immediately and applies retroactively to April 1.
""Our current public health crisis has substantially disrupted many of our routine processes, including the ability of New Jersey homeowners to file timely property tax appeals,"" said Murphy. ""Establishing clear dates for tax appeals and decisions will eliminate the potential for a backlog that would only cause further fiscal uncertainty for taxpayers and municipal governments.""
Here are the bills Murphy vetoed:
Rental payments
Murphy vetoed a bill (S2363/A3921) that would have suspended rent payments for some small businesses.
The bill would have authorized a ""distressed small business tenant"" to suspend payments of rent following the issuance of a ""rent suspension executive order.""
The bill would define a distressed small business tenant as a business that had 50 or fewer
employees on February 10, that leases real property for non-residential purposes, and whose monthly revenue does not exceed 80 percent of the tenant's ""reasonable expectations"" as a
result of the COVID-19 pandemic.
Murphy acknowledged that the COVID-19 pandemic is having a ""devastating impact on small businesses throughout the country and here in New Jersey.""
""Our small businesses are not only the storefront shops that anchor Main Street, they are also the engines of our state's economy, responsible for creating jobs and spurring economic growth,"" Murphy said.
He commended the bill's sponsors for their efforts to identify ""creative measures to sustain our small business community during this extraordinarily challenging time. ""
Murphy, however, said he's concerned about the impact emergency rent suspension would have on the state's non-residential property owners ""who are, in many cases, themselves small businesses.""
""The bill disregards the financial position of the impacted parties, shifting the financial burden in all cases from tenants onto property owners, who may not be relieved of their own obligations
to pay mortgage payments and property taxes,"" he said.
Murphy said direct financial aid, including rental assistance, is a better approach and a ""necessary
lifeline for many small businesses struggling to survive these troubling times.""
Protection for first responders
Murphy also vetoed legislation (S-2351/A3924) that affords employment protection to certain emergency medical responders.
The bill would hace prohibited an employer from terminating, dismissing, or suspending an employee who fails to report to work because the employee is serving as an emergency medical responder during a state of emergency.
Murphy commended the sponsors' efforts to preserve the ranks of emergency medical responders, but he doesn't agree with the bill's premise ""that medical first responders are more essential in an emergency than police and fire first responders.""
""The COVID-19 pandemic has placed unprecedented stress on all of New Jersey's first responders,"" he said. ""While this bill would support the staffing levels of emergency medical responders, it would do so at the expense of law enforcement and fire departments.""
Murphy said the work ranks of police and corrections have been ""ravaged"" by the COVID-19 virus.
""I am particularly concerned about how this bill could exacerbate staffing shortages that may result if New Jersey is hit by a second wave of the virus in the fall or winter,"" he said. ""Moreover, because the bill is not limited to the COVID-19 emergency, I am concerned about the unintended consequences it could have on the state's ability to effectively respond to the unique challenges and circumstances presented by future public health emergencies and states of emergency."""
5,/new-jersey/hillsborough/looking-get-hitched-gov-murphy-allow-virtual-weddings,2020-05-01T17:43:20Z,Gov. Murphy Allows Virtual Weddings,0,0,Alexis Tarrazi,Patch Staff,"Gov. Phil Murphy signed two executive orders Friday to allow for virtual weddings and removing a requirement for getting working papers for minors in light of social distancing due to the new coronavirus.
""Even in these times there are still joyous occasions that we can still celebrate safely and smartly,"" Murphy said.
The new order allows wedding ceremonies to be held using video-conferencing technology, with certain safeguards, for couples seeking a marriage license.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Municipalities will still be able to allow in-person ceremonies, subject to social distancing, but will not be required to do so.
Additionally, those seeking working papers for minors will no longer need a school district-designated person to give an in-person sign off.
Gov. Phil Murphy held his public news conference on Friday. Read more: Gov. Murphy To Make Decision On NJ Schools In Coronavirus Crisis"
6,/new-jersey/hillsborough/hillsborough-extends-grace-period-property-tax-payments,2020-04-29T20:52:39Z,Hillsborough Extends Grace Period For Property Tax,0,0,Alexis Tarrazi,Patch Staff,"HILLSBOROUGH, NJ — Hillsborough Mayor Doug Tomson and the township committee unanimously voted to extend the grace period for residents to pay taxes due to the new coronavirus impact.
""The Township Committee recognizes the financial strain the COVID-19 pandemic
has placed on many residents of the Township and desires to provide much-needed relief to those
homeowners who are struggling financially,"" the township resolution states.
Governor Phil Murphy signed Executive Order 130 on Tuesday which authorizes municipalities to extend the grace period on second quarter property tax payment to June 1.
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here."
7,/new-jersey/hillsborough/montgomery-closes-all-township-parks-following-murphys-order,2020-04-08T12:04:38Z,Montgomery Closes All Township Parks,0,0,Alexis Tarrazi,Patch Staff,"MONTGOMERY, NJ — Montgomery has closed all Township parks and pathways as of Tuesday night after Gov. Phil Murphy announced the closure of all state and county parks to stop the spread of the new coronavirus.
""We have seen far too many instances where people are gathering in groups in our parks erroneously thinking since they are outside ans social distancing doesn't matter. Nothing could be further from the truth,"" Murphy said during his press conference Tuesday. (you can watch it here).
Murphy's order closed all state and county parks as of Tuesday night to further social distancing, but left municipal parks to the discretion of each town.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Montgomery also announced there were 32 positive COVID-19 cases and three in Rocky Hill.
The total number of cases has risen to 44,416, and 1,232 people have died in New Jersey. Read more: NJ Coronavirus Updates: Here's What You Need To Know
As of Tuesday Somerset County has 1,033 positive COVID-19 cases and 40 deaths.
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here."
8,/new-jersey/hillsborough/hillsborough-primary-election-candidates-2020-whos-running,2020-04-02T18:01:45Z,Hillsborough Primary Election Candidates 2020,1,3,Alexis Tarrazi,Patch Staff,"HILLSBOROUGH, NJ — There are four candidates who have filed to run in the primary election for two Township Committee seat in Hillsborough for 2020.
Candidates had until 4 p.m. on Monday to file petitions for election.
Township Committee (2 seats)
The candidates are all running for their party's nomination on June 2 and then will move on to the general election on Nov. 3.
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here."
9,/new-jersey/hillsborough/hillsborough-mayor-reads-duck-president-video,2020-03-27T17:10:13Z,Hillsborough Mayor Reads 'Duck For President',1,2,Alexis Tarrazi,Patch Staff,"HILLSBOROUGH, NJ — Hillsborough Mayor Doug Tomson is bringing some joy to township students stuck at home during the coronavirus outbreak.
Tomson recorded himself reading ""Duck For President"" by Doreen Cronin for students to enjoy.
Watch the township's video below:

Hillsborough Township Schools have been closed since March 16 with a flexible learning plan in place at home.
Gov. Phil Murphy said on Thursday the issue of reopening schools will not be revisited until April 17. (See Related: NJ 'Major Disaster' Area: 2,492 New Coronavirus Cases, 19 Deaths)
Have a news tip? Email alexis.tarrazi@patch.com.
Get Patch breaking news alerts sent right to your phone with our new app. Download here. Don't miss local and statewide announcements. Sign up for Patch alerts and daily newsletters."
