,url,Date,Title,Thank,Reply,author,title,context
0,/rhode-island/johnston/understanding-social-security-benefits,2019-06-21T18:51:50Z,Understanding Social Security Benefits,0,0,Dan Rhieu,SSA Public Affairs Specialist,"This post was contributed by a community member. The views expressed here are the author's own.
Social Security touches the lives of nearly every American, whether at the birth of a child, the loss of a loved one, the onset of a disability, or the transition from work to retirement. For more than 80 years, our programs have contributed to the financial security of the elderly and the disabled. Social Security replaces a percentage of a worker's pre-retirement income based on their lifetime earnings. The amount of your average wages that Social Security retirement benefits replaces varies depending on your earnings and when you choose to start benefits. If you start benefits after full retirement age, these percentages are higher. If you start benefits earlier, these percentages are lower. Most financial advisers say you will need about 70 percent of pre-retirement income to live comfortably in retirement, including your Social Security benefits, investments, and personal savings.
You can learn more about retirement benefits at www.socialsecurity.gov/benefits/retirement. Our resources and publications are easy to share with people you think might need the information.
Many people think of Social Security as just a retirement program. And it's true that most of the people receiving benefits are retired, but others receive benefits because they're:
If you can't work because of a physical or mental condition that's expected to last at least one year or result in death, you may be eligible for Social Security disability benefits.
Our disability rules are different from private or other government agency programs. Qualifying for disability from another agency or program doesn't mean you will be eligible for disability benefits from us. Having a statement from your doctor saying you're disabled doesn't mean you'll automatically be eligible for Social Security disability benefits.
. We've made learning about our disability programs very easy at www.socialsecurity.gov/benefits/disability.
Please share these resources with friends and family who might need them."
1,/rhode-island/johnston/beware-scammers-pretending-be-social-security,2019-04-19T20:30:00Z,Beware of Scammers Pretending to be from Social...,0,0,Dan Rhieu,SSA Public Affairs Specialist,"This post was contributed by a community member. The views expressed here are the author's own.
In the digital age, frauds and scams are an unfortunate part of doing business online. Recently, Social Security has seen a spike in phishing scams and we want to protect you as best we can.
We urge you to always be cautious and to avoid providing sensitive information such as your Social Security Number (SSN) or bank account information to unknown individuals over the phone or internet. If you receive a call and aren't expecting one, you must be extra careful. You can always get the caller's information, hang up, and — if you do need more clarification — contact the official phone number of the business or agency that the caller claims to represent. Never reveal personal data to a stranger who called you.
Please take note; there's a scam going around right now. You might receive a call from someone claiming to be from Social Security or another agency. Calls can even display the 1-800-772-1213, Social Security's national customer service number, as the incoming number on your caller ID. In some cases, the caller states that Social Security does not have all of your personal information, such as your Social Security number (SSN), on file. Other callers claim Social Security needs additional information so the agency can increase your benefit payment, or that Social Security will terminate your benefits if they do not confirm your information. This appears to be a widespread issue, as reports have come from people across the country. These calls are not from Social Security.
Callers sometimes state that your Social Security number is at risk of being deactivated or deleted. The caller then asks you to provide a phone number to resolve the issue. People should be aware the scheme's details may vary; however, you should avoid engaging with the caller or calling the number provided, as the caller might attempt to acquire personal information.
Social Security employees occasionally contact people by telephone for customer-service purposes. In only a few special situations, such as when you have business pending with us, a Social Security employee may request the person confirm personal information over the phone."
2,/rhode-island/johnston/april-national-social-security-month,2019-04-15T20:30:00Z,April is National Social Security Month,0,0,Dan Rhieu,SSA Public Affairs Specialist,"This post was contributed by a community member. The views expressed here are the author's own.
It's National Social Security Month and this year we're highlighting some of the time-saving features of the my Social Security account. Once you create an account, you'll see that we already have your work history and secure information to estimate what you could receive once you start collecting benefits. With your personal my Social Security account, you can also:

For over 80 years, Social Security has worked to meet the changing needs of the American public. Today, you can apply for retirement, disability, and Medicare benefits online, as well as take care of other business."
3,/rhode-island/johnston/state-rep-ramon-perez-asks-recount-state-primary,2018-09-18T14:52:46Z,State Rep. Ramon Perez Asks For Recount In Primary,0,0,Jimmy Bentley,Patch Staff,"JOHNSTON, RI — State State Rep. Ramon Perez asked the state Board of Elections for an official recount reviewing last Wednesday's primary election results.
Unofficial results show Perez lost the District 13 state representative Democratic primary in Johnston and Providence to challenger Mario Mendez by 74 votes.
Image via Shutterstock"
4,/rhode-island/johnston/who-johnston-voted-primaries,2018-09-14T05:56:35Z,Who Johnston Voted For In The Primaries,0,0,Jimmy Bentley,Patch Staff,"JOHNSTON, RI — Results from the Rhode Island Secretary of State's office showed support for Gov. Gina Raimondo and Cranston Mayor Allan Fung. However, Matt Brown was more competitive in Johnston than most of the rest of the state. Check out how Johnston voted here:
Governor Democrat:
Governor Republican:
Lieutenant Governor Democrat:
U.S. Senate Democrat:
U.S. Senate Republican:
State Senate District 22 Democrat:
State Representative District 13 Democrat:
Image via Shutterstock"
5,/rhode-island/johnston/ri-aclu-says-lilian-calderon-hearings-begin-monday-boston,2018-08-14T22:30:10Z,RI ACLU Says Lilian Calderon Hearings Begin Monday,0,0,Margo Sullivan,Patch Staff,"JOHNSTON, RI—The Rhode Island American Civil Liberties Union said Tuesday that the government conspired to trap undocumented people like Lilian Calderon. Calderon, who says she has been living in the U.S. since age 3 when her parents brought her here from Guatemala, was arrested in Johnston in January while trying to clear up her immigration status. Although under a final deportation order, Calderon was eligible to apply for citizenship as the wife of an American citizen, thanks to an Obama-era special exception. She was attempting to do that when immigration officials arrested her and took her to prison.
The ACLU took up her cause, and she was released and allowed to return to her family. Her case is still pending, however. In addition, the ACLU in Massachusetts filed a class action lawsuit against the Trump administration to help her and several others who are undocumented but have not broken any other laws. The ACLU case focuses on married couples who are being separated when one is detained.
Photo Courtesy Go Fund Me"
6,/rhode-island/johnston/former-state-representative-john-carnevale-pleads-perjury-ag,2018-08-08T16:55:49Z,Former State Representative John Carnevale Pleads ,0,0,Margo Sullivan,Patch Staff,"PROVIDENCE, RI—Former State Rep. John Carnevale on Wednesday pleaded no contest to a perjury charge, the state Attorney General's office said. Carnevale, 56, is running for his old District 13 seat. However, Secretary of State Nellie Gorbea said Wednesday his name is being removed from the ballot. He was sentenced to five years but with ""nine months to serve on home confinement and the remainder suspended with probation."" The sentence starts on Aug. 22, conditional on the determination Carnevale is eligible for home confinement.
The perjury charge was connected to a July 13, 2016 hearing before Providence Board of Canvassers. According to the state Attorney General's office, he ""lied under oath three times in response to questions stating he resided at 150 Barbara Street, Providence.""
""When elected officials lie, whether it be to a public body like the Board of Canvassers or the people they are elected to serve, it erodes the public's faith in all government,"" said Attorney General Kilmartin. ""Despite this defendant's arrogance and attitude that he was untouchable, today's plea proves just the opposite - no one is above the law. It is my hope that today's plea will help restore some of the public's trust, knowing that police and prosecutors will continue to hold our public officials accountable for their actions.""
Image via Shutterstock"
7,/rhode-island/johnston/turkey-trot-continues-johnston,2018-08-07T15:21:34Z,Turkey Trot Continues In Johnston,0,0,Margo Sullivan,Patch Staff,"JOHNSTON, RI—No more talk about bird brains in Johnston, please. The wild turkeys gave local animal control officers a battle of wits, as law enforcement tried to corral the turkeys. One of the birds is still at large.
The turkeys became an issue when Mayor Joseph Poliseno complained they posed a traffic hazard. He didn't want to see the birds run over or cause an accident.
Here's the latest, according to the state Department of Environmental Management.
""Johnston applied for and now has a DEM 'collector's permit,' allowing it to capture and relocate nuisance turkeys elsewhere in town,"" said Michael Healy, DEM's chief public affairs officer. ""Our understanding is that Johnston's Animal Control Officer (ACO) captured and removed two of the birds earlier this morning. The third turkey got away.""
But there was a glitch.
""As the town requested, DEM had a Wildlife Control Officer at Town Hall at 8 this morning to meet and assist the Johnston ACO. Likely because of a miscommunication, however, our officer wasn't contacted and Johnston handled the relocation on its own,"" Healey said.
He did not say where the birds were relocated. WJAR-TV reported the turkeys were headed for Snake Den State Park.
Image Courtesy U.S. Fish & Wildlife"
8,/rhode-island/johnston/rhode-island-superfund-site-cleanup-be-speeded,2018-07-10T14:57:35Z,Rhode Island Superfund Site Cleanup Sped Up,0,0,Press Release Desk,News Partner,"JOHNSTON, RI - From the Department of Justice; Office of Public Affairs: The U.S. Department of Justice, the U.S. Environmental Protection Agency (EPA), and the Rhode Island Department of Environmental Management (RIDEM) announced today that two subsidiaries of Stanley Black & Decker Inc.—Emhart Industries Inc. and Black & Decker Inc.—have agreed to clean up dioxin contaminated sediment and soil at the Centredale Manor Restoration Project Superfund Site in North Providence and Johnston, Rhode Island.
""We are pleased to reach a resolution through collaborative work with the responsible parties, EPA, and other stakeholders,"" said Acting Assistant Attorney General Jeffrey H. Wood for the Justice Department's Environment and Natural Resources Division. ""Today's settlement ends protracted litigation and allows for important work to get underway to restore a healthy environment for citizens living in and around the Centredale Manor Site and the Woonasquatucket River.""
""This settlement demonstrates the tremendous progress we are achieving working with responsible parties, states, and our federal partners to expedite sites through the entire Superfund remediation process,"" said EPA Acting Administrator Andrew Wheeler. ""The Centredale Manor Site has been on the National Priorities List for 18 years; we are taking charge and ensuring the Agency makes good on its promise to clean it up for the betterment of the environment and those communities affected.""
""Successfully concluding this settlement paves the way for EPA to make good on our commitment to aggressively pursue cleaning up the Centredale Manor Superfund Site,"" said EPA New England Regional Administrator Alexandra Dunn. ""We are excited to get to work on the cleanup at this site, and get it closer to the goal of being fully utilized by the North Providence and Johnston communities.""
""We are pleased that the collective efforts of the State of Rhode Island, EPA, and DOJ in these negotiations have concluded in this major milestone toward the cleanup of the Centredale Manor Restoration Superfund site and are consistent with our long-standing efforts to make the polluter pay,"" said RIDEM Director Janet Coit. ""The settlement will speed up a remedy that protects public health and the river environment, and moves us closer to the day that we can reclaim recreational uses of this beautiful river resource.""
The settlement, which includes cleanup work in the Woonasquatucket River (River) and bordering residential and commercial properties along the River, requires the companies to perform the remedy selected by EPA for the Site in 2012, which is estimated to cost approximately $100 million, and resolves longstanding litigation.
The cleanup remedy includes excavation of contaminated sediment and floodplain soil from the Woonasquatucket River, including from adjacent residential properties. Once the cleanup remedy is completed, full access to the Woonasquatucket River should be restored for local citizens. The cleanup will be a step toward the State's goal of a fishable and swimmable river. The work will also include upgrading caps over contaminated soil in the peninsula area of the Site that currently house two high-rise apartment buildings. The settlement also ensures that the long-term monitoring and maintenance of the site, as directed in the remedy, will be implemented to ensure that public health is protected.
Under the settlement, Emhart and Black & Decker will reimburse EPA for approximately $42 million in past costs incurred at the Site. The companies will also reimburse EPA and the State of Rhode Island for future costs incurred by those agencies in overseeing the work required by the settlement. The settlement will also include payments on behalf of two federal agencies to resolve claims against those agencies. These payments, along with prior settlements related to the Site, will result in a 100 percent recovery for the United States of its past and future response costs related to the Site.
Litigation related to the Site has been ongoing for nearly eight years. While the Federal District Court found Black & Decker and Emhart to be liable for their hazardous waste and responsible to conduct the cleanup of the Site, it had also ruled that EPA needed to reconsider certain aspects of that cleanup. EPA appealed the decision requiring it to reconsider aspects of the cleanup. This settlement, once entered by the District Court, will resolve the litigation between the United States, Rhode Island, and Emhart and Black and Decker, allowing the cleanup of the Site to begin.
The Site spans a one and a half mile stretch of the Woonasquatucket River and encompasses a nine-acre peninsula, two ponds and a significant forested wetland. From the 1940s to the early 1970s, Emhart's predecessor operated a chemical manufacturing facility on the peninsula and used a raw material that was contaminated with 2,3,7,8-tetrachlorodibenzo-p-dioxin, a toxic form of dioxin. The Site property was also previously used by a barrel refurbisher. Elevated levels of dioxins and other contaminants have been detected in soil, groundwater, sediment, surface water and fish.
The Site was added to the National Priorities List (NPL) in 2000, and in December 2017, EPA included the Centredale Manor Restoration Project Superfund Site on a list of Superfund sites targeted for immediate and intense attention. Several short-term actions were previously performed at the Site to address immediate threats to the residents and minimize potential erosion and downstream transport of contaminated soil and sediment. This settlement is the latest agreement EPA has reached since the Site was listed on the NPL. Prior agreements addressed the performance and recovery of costs for the past environmental investigations and interim cleanup actions from Emhart, the barrel reconditioning company, the current owners of the peninsula portion of the Site, and other potentially responsible parties.
The Consent Decree, lodged in the U.S. District Court of Rhode Island, will be posted in the Federal Register and available for public comment for a period of 30 days. The Consent Decree can be viewed on the Justice Department website: www.justice.gov/enrd/Consent_Decrees.html.
EPA information on the Centredale Manor Superfund Site: www.epa.gov/superfund/centredale.
Image via Shutterstock"
9,/rhode-island/johnston/bad-news-lillian-calderon-mass-live-reports,2018-06-26T00:14:45Z,Bad News For Lilian Calderon? Mass Live Reports ,0,0,Margo Sullivan,Patch Staff,"JOHNSTON, RI — Immigration officials have again been ordered to arrest undocumented immigrants who come to government offices, Mass Live is reporting. That's what happened in January to Lilian Calderon, who has lived in Providence and in Johnston. She was arrested while applying for citizenship under an Obama-era exception.
The exception helped immigrants, if they were marrying U.S. citizens, even though they were under a final deportation order,. Calderon was under a final deportation order after her whole family lost its bid to stay in the U.S. According to court papers filed by the American Civil Liberties Union in Boston, her family could have appealed but told prosecutors they had already left the U.S. The ACLU in Boston is trying to help her and several others who are undocumented but have not broken any other laws. Their case focuses on married couples who are being separated when one is detained.
Calderon has said recently her parents brought her to America when she was 3, and she has never left the U.S.
According to Mass Live's report, the new Boston interim director of US Immigration and Customs Enforcement's Boston field office, Rebecca Adducci, filed court papers to reverse the February order that stopped the arrests.
Photo Courtesy Go Fund Me"
