,url,Date,Title,Thank,Reply,author,title,context
0,/florida/lakeland/polk-county-voters-6-municipalities-will-vote-april-7,2020-02-25T19:22:46Z,Polk Voters In 6 Towns Will Vote On April 7,0,0,Paul Scicchitano,Patch Staff,"BARTOW, FL — Less than a month after the March 17 presidential primary election, Polk County voters in six municipalities will head to the polls for local elections on April 7.
""Residents in the cities of Bartow, Davenport, Haines City, Lake Hamilton, Lake Wales and Mulberry will head to the polls on Tuesday, April 7 to cast their ballots,"" said Polk County Supervisor of Elections Lori Edwards.
In announcing Polk County's Municipal Election Day, Edwards said residents in the six communities must register by March 9.
Voter registration applications are available at election offices, banks, libraries and other
public service agencies as well as at PolkElections.com.
For more information, visit PolkElections.com, or call the Polk County Elections Office at 863-534-5888."
1,/florida/lakeland/recruitment-event-planned-polk-county-election-workers,2020-01-15T18:49:24Z,Recruitment Event Planned For Polk County Election,0,1,Paul Scicchitano,Patch Staff,"LAKELAND, FL — If you want to perform a civic duty while earning a little extra cash, you may want to consider becoming an election worker.
Polk County election officials have scheduled an informational recruitment event for 11 a.m. Thursday at the Lake Eva Community Center, 555 Ledwith Avenue in Haines City.
""These are paid positions working at polling places on Election Day,"" explained Supervisor of Elections, Lori Edwards.
It's not necessary to make a reservation. Just show up at the meeting.
""Voters who have served as election workers in Polk County in recent years are welcome, but do not need to attend,"" according to county election officials.
For more information, call the Polk County Supervisor of Elections Office at 863-534-5888 or visit the website."
2,/florida/lakeland/polk-county-runoff-election-results-lakeland-winter-haven,2019-12-04T00:14:27Z,"Polk Runoff Results: Lakeland, Winter Haven",0,0,Paul Scicchitano,Patch Staff,"LAKELAND, FL — The polls closed at 7 p.m. Tuesday in Polk County as voters in Lakeland and Winter Haven cast their ballots in special runoff elections.
Here are the runoff races and unofficial results as they come in:
LAKELAND
Lakeland voters chose between Chad McLeod and Carole Philipson for City Commissioner At-Large #2.
With 25 of 25 precincts reporting, McLeod appeared to defeat Philipson by a margin of 54.8 percent of the vote to 45.2 percent based on unofficial totals.
A native of Polk County, McLeod is the owner and president of McLeod Communications, a public relations and communications consulting firm based in downtown Lakeland.
Philipson is a former vice president at three major health systems, including Lakeland Regional Health, where she worked for 15 years. She also serves as a board member of multiple community organizations.
Click here for more information on the Lakeland runoff election. Click here to view a sample ballot.
WINTER HAVEN
Voters in Winter Haven chose between L. Tracy Mercer and incumbent William J. Twyford in the race for city commission Seat #1.
With six of six precincts reporting, Mercer appeared to best Twyford by a margin of 54.8 percent to 45.16 percent of the vote based on unofficial totals.
Mercer is the owner of Mer-Trac Group and is a former director of public utilities with the city of Clearwater. She has also worked for the city of Winter Haven, the city of Marion, Ohio and the Charlotte County Government in Port Charlotte.
Twyford was the incumbent who was elected to his seat in 2015.
Betsy Cleveland of the Polk County Supervisor of Elections Office told Patch the results from the Nov. 5 municipal elections have been certified and are posted here."
3,/florida/lakeland/polk-county-runoff-elections-where-vote,2019-11-14T16:17:34Z,Polk County Runoff Elections: Where To Vote,0,0,Paul Scicchitano,Patch Staff,"LAKELAND, FL —Polk County voters in Lakeland and Winter Haven will head to the polls for special runoff elections on Dec. 3.
Betsy Cleveland of the Polk County Supervisor of Elections Office told Patch the results from the Nov. 5 municipal elections have also been certified and are posted here.
Voters who received a vote-by-mail ballot for the Nov. 5 election will automatically
be mailed a ballot for the runoff elections.
Other voters may request a ballot be mailed to them by calling
863-534-5888, Monday through Friday from 8 a..m to 5 p.m., or by clicking on the ""Vote by Mail"" button at PolkElections.com. Voted ballots must be returned to the Supervisor of Elections by 7 p.m. Dec. 3.
LAKELAND
Lakeland voters will choose between Chad McLeod and Carole Philipson for City Commissioner At-Large #2.
Voters who are registered to vote and would like to participate in the runoff election can vote by mail; Click here for obtain a mail ballot. Voters can also cast their ballots in person from Nov. 25 to Nov. 27 and again on Dec. 2 at election headquarters, 250 S. Broadway Ave., Bartow or at the Operations Center (Click here for map) at 70 Florida Citrus Blvd. in Winter Haven. Voting will take place during the week from 8:30 a.m. to 4 p.m.
Voters can also cast ballots in their precincts though some voters will have different polling locations for the runoff.
Voters are reminded to inform the elections office of any name or address changes prior to voting. click here to change voter information online.
Here is a list of polling locations:
The voting hours at election headquarters are from 8:30 a.m. to 4 p.m. during the week. Polls will be open from 7 a.m. to 7 p.m. at other polling locations.
Click here for more information on the Lakeland runoff election. Click here to view a sample ballot.
WINTER HAVEN
Voters in Winter Haven will choose between L. Tracy Mercer and incumbent William J. Twyford in the race for city commission Seat #1.
Voters who are registered to vote and would like to participate in the runoff election can vote by mail; Click here for obtain a mail ballot.
Voters can cast their ballots in person from Nov. 25 to Nov. 27 and again on Dec. 2 at election headquarters, 250 S. Broadway Ave., Bartow or at the Operations Center (Click here for map) at 70 Florida Citrus Blvd. in Winter Haven. Voting will take place during the week from 8:30 a.m. to 4 p.m.
Winter Haven voters can also cast ballots in their precincts though some voters will have different polling locations for the runoff.
Voters are reminded to inform the elections office of any name or address changes prior to voting. click here to change voter information online.
Here is a list of polling locations:
Click here for more information on the Lakeland runoff election. Click here to view a sample ballot."
4,/florida/lakeland/polk-county-election-results-2019-lakeland-auburndale-ft-meade,2019-11-06T00:08:15Z,Polk County Election Results: Winners And Losers,0,0,Paul Scicchitano,Patch Staff,"LAKELAND, FL —Polk County voters went to the polls Tuesday to fill several key posts in Lakeland, Auburndale and Fort Meade.

Two commission seats were up for grabs on Tuesday in Lakeland.
Two candidates were vying for the Northeast District B commission seat — Jim Farrell and incumbent Bill ""Tiger"" Read.
With all 25 precincts reporting, Read appeared to have easily defeated Farrell by a margin of 6,754 votes compared to 2,870 for Farrell.
Four candidates were vying for city commission at-large — Chad McLeod, Carole Philipson, Ricky Shirah and Shandale Terrell.
With all 25 participating precincts reporting, it appeared that McLeod win the race based on unofficial totals. He had 4,175 votes; Philipson had 3,228 votes; Terrell had 1,924 votes and Shirah had 926 votes.
Subscribe to Bradenton Patch's free email news alerts and newsletters
Voters also considered three charter amendments:
1. Do you favor an amendment to the Lakeland City Charter eliminating unnecessary or obsolete references and provisions; amending any gender related references; adopting applicable state law provisions; providing periodic commissioner pay adjustments similar to city employees; eliminating reduction in force provisions; creating a charter review committee and providing a periodic charter review process every 8 years; delegating regulation of taxi cabs to the City Commission; eliminating obsolete references to the Hospital Board?
With all 25 participating precincts reporting, the ""yes"" votes narrowly surpassed the ""no"" votes by a margin of 5,215 to 4,834.
2. Do you favor an amendment to the Lakeland City Charter that reduces the maximum allowable terms of city commissioners and mayor from 4 terms to 3; defining a term as any service in office over 2 years; allowing existing incumbent commissioners to serve a total of 4 terms as commissioner and mayor combined?
With all 25 participating precincts reporting, the ""yes"" votes surpassed the ""no"" votes by 6,609 votes to 3,497 votes.
3. Do you favor an amendment to the Lakeland City Charter that changes the approval necessary to sell any water plant or electric utility from the existing requirement of 2/3 of all electors qualified to vote to 2/3 vote of the City Commission and 65% of those actually voting in the next general election following City Commission approval?
With all 25 participating precincts reporting, the ""no"" votes surpassed the ""yes"" votes by 6,476 votes to 3,490 votes.
WINTER HAVEN
Six people were battling over city commission Seat #1: Nikki Becket, Elizabeth P. Davis, Jonathan ""Joey"" Hilliard; James Edward Hogan, Tracy-Mercer and William J. Twyford.
With all six participating precincts reporting, it appeared that the race was headed for a runoff based on unofficial totals. Twyford had 1,334 votes; Mercer had 567 votes; Hillard had 416 votes; Becket had 403 votes and Davis had 368 votes.
Since candidate received the necessary 50 percent plus one votes, it appeared that the contest would be decided by a runoff between Twyford and Mercer.
Fort Meade
Voters considered two charter amendments:
1. By law, the Commission is unable to fill a vacant commission seat, creating a 10-month seat vacancy. This amendment begins the commencement date of that current vacant seat earlier but does not change the expiration date. Question &dash; Shall the above&dash;described amendment be adopted?
With one of one participating precincts reporting, the ""yes"" votes overwhelmingly surpassed the ""no"" votes by 229 to 91.
2. Currently Fort Meade's Charter declares a vacancy for Commission seat without reference to general law, and conflicts with both state law and the City Code by allowing both a special election and commission appointments to fill vacancies. This amendment declares vacancies for Commission seats based on general law and prior criteria, but permits a simple Commission majority to fill vacancies for the remainder of the term. Question &dash; Shall the above&dash;described amendment be adopted?
With one of one participating precincts reporting, the ""yes"" votes surpassed the ""no"" votes 203 to 118.
Auburndale
Voters appeared to chose a commissioner for Seat #4 based on unofficial results.
Vying for the post were Tanner Atkinson, Danny Chandler and Jack R. Myers.
Myers appeared to secure a victory over his opponents by a margin of 620 votes compared to 248 for Chandler and 206 for Atkinson.
All vote totals are considered unofficial."
5,/florida/lakeland/polk-elections-lakeland-winter-haven-auburndale-fort-meade,2019-11-05T08:52:30Z,Polk Elections In 4 Cities,0,1,Paul Scicchitano,Patch Staff,"LAKELAND, FL — Voters in four Polk County cities head to the polls Tuesday, including Lakeland, Winter Haven, Auburndale and Fort Meade.
The polls will be open from 7 a.m. to 7 p.m.
LAKELAND
Two commission seats are up for grabs on Tuesday in Lakeland.
Two candidates are vying for the Northeast District B commission seat — Jim Farrell and incumbent Bill ""Tiger"" Read.
Four candidates are vying for city commission at-large — Chad McLeod, Carole Philipson, Ricky Shirah and Shandale Terrell.
Subscribe to Bradenton Patch's free email news alerts and newsletters
Voters will also consider three charter amendments:
WINTER HAVEN
Six people are vying to win city commission Seat#1: Nikki Becket, Elizabeth P. Davis, Jonathan ""Joey"" Hilliard; James Edward Hogan, Tracy-Mercer, William J. Twyford.
Fort Meade
Voters will consider two charter amendments.
1. By law, the Commission is unable to fill a vacant commission seat, creating a 10-month seat vacancy. This amendment begins the commencement date of that current vacant seat earlier but does not change the expiration date. Question &dash; Shall the above&dash;described amendment be adopted?
2. Currently Fort Meade's Charter declares a vacancy for Commission seat without reference to general law, and conflicts with both state law and the City Code by allowing both a special election and commission appointments to fill vacancies. This amendment declares vacancies for Commission seats based on general law and prior criteria, but permits a simple Commission majority to fill vacancies for the remainder of the term. Question &dash; Shall the above&dash;described amendment be adopted?
Auburndale
Voters will elect a commissioner for Seat #4. Vying for the post are Tanner Atkinson, Danny Chandler and Jack R. Myers."
6,/florida/lakeland/polk-county-9-11-remembrance-marks-17th-anniversary,2019-09-09T14:06:19Z,Polk County 9/11 Remembrance Planned,0,1,Paul Scicchitano,Patch Staff,"WINTER HAVEN, FL — The Polk County Veteran's Council along with Polk County fire and law enforcement agencies will mark the 18th anniversary of 9/11 with an event that honors all county first responders.
This year's event kicks off with a Freedom Walk — a way to symbolically honor the ""dedication and sacrifices"" that first responders make every day.
""The Freedom Walk will be led by the Winter Haven High School Army ROTC honor
guard along with a bagpipe playing as the walkers wind through downtown Winter
Haven,"" organizers explained.
A boot display will honor each Polk County first responder who has perished in
the line of duty.
""This includes law enforcement, fire/EMT as well as military,"" said organizers. Students from Winter Haven Christian School will provide music and a special dramatic reading.
Local Cub Scouts, Boy Scouts and Girl Scouts will lead the Pledge of
Allegiance while a multi-agency honor guard presents the colors. Law
enforcement agencies from across the county will be represented with displays.
The event is sponsored by the Winter Haven Police Department with assistance from the Winter Haven Fire Department.
""All law enforcement and fire agencies in Polk County are set to participate in this memorable event,"" organizers said.
Honoring Our Heroes — Remembering the Day will take place on
Wednesday, Sept. 11 at Central Park in downtown Winter Haven.
The event begins at 6:30 p.m. featuring the Freedom Walk to honor all
military, law enforcement, firefighters and EMS heroes, followed by a moving
service that will pay tribute to all heroes who call Polk County home.
The evening will culminate with a sunset luminary service as every attendee holds
a candle in honor of all of our heroes. Candles will be provided.
""This event is a way to pull all of Polk County together and show our local
heroes how much they mean to us,"" said Gary Clark, Chairman of the Polk County
Veteran's Council. ""As a community, we should pay tribute to all of those who
serve us on a daily basis, putting their lives on the line whether here at
home or abroad.""
American studies scholar Angus Gillespie of Rutgers University said New York's Twin Towers were more than office buildings.
""They are symbols of America, just as the Eiffel Tower and Big Ben represent their countries,"" he explained. ""The builders intended the towers to make a statement about the importance of the Port of New York and New Jersey. The complex rose like Emerald City, with fountains and sculptures from what was once a dilapidated area of half-abandoned stores.""
Gillespie conducted a number of interviews prior to the attacks with bankers, shippers, freight forwarders, traders and other workers in the Twin Towers prior to the attacks.
""It was the people who worked there, however, who gave this complex life, purpose, and vibrancy,"" he added.
Winter Haven Central Park is located at 1-35 4th St NW. For more information about the event, contact Jamie Brown of the Winter Haven Police Department at 863-295-5905 or via email: jbrown@mywinterhaven.com"
7,/florida/lakeland/watch-live-president-trump-set-announce-2020-re-election-bid,2019-06-18T21:11:34Z,WATCH AGAIN: Trump Announces Re-Election Bid,0,14,Paul Scicchitano,Patch Staff,"ORLANDO, FL — Amid chants of USA and a sea of red hats and shirts, President Donald Trump kicked off his 2020 re-election campaign, not on an escalator like last time, but in Orlando Tuesday night with thousands of supporters at the Amway Center.
""We're going to keep making America great again and then we will indeed keep America great,"" the president told the crowd. ""We're going to keep it better than ever before and that is why tonight I stand before you to officially launch my campaign for a second term as president of the United States.""
The event opened a few minutes early as Vice President Mike Pence stepped up to the podium first.
""We're here for one reason and one reason only: America needs four more years of President Donald Trump,"" Pence said. ""It's on everybody. Time for round two. The 503-day campaign for America's future starts tonight.""
The PBS ""News Hour"" livestreamed the rally (See the link below.) The president's political opponents held a counter event ahead of the president's remarks called the Win With Love Rally, featuring the Baby Trump balloon, less than a mile away.
SEE ALSO: Baby Trump To Fly Over Orlando To Protest Trump Re-Election Bid
""I can promise you that I will never ever let you down. I won't,"" the president assured the crowd to cheers before thanking his family members by name, including Melania and his children.
The president began speaking around 8:15 p.m. as he and first lady Melania Trump were introduced by the vice president. He spoke for less than an hour before announcing his run for a second term around 8:54 p.m.
At one point the president called on White House Press Secretary Sarah Sanders, who is leaving at the end of the month, to join him at the podium, saying that he had a feeling she was going to run for a ""certain gubernatorial position"" when she leaves the White House.
""This has been truly the honor of a lifetime, one of the most incredible experiences anybody could ever imagine,"" said Sanders, an Arkansas native who has been discussed as a possible 2022 gubernatorial candidate in Arkansas. Her father, Mike Huckabee, served as governor of the state for more than a decade before becoming a conservative talk show host.
""That's because I've had a chance to be on the front row of history and watch you drastically change our country for the better,"" Sanders said. ""You've made America great. You're going to continue to make America great. I couldn't be prouder to be part of your team.""
Pence touched on familiar Republican themes like pro life, immigration and the threat of socialism as he touted the president's progress in strengthening the military, improving the economy and putting pressure on Mexico to stem the tide of undocumented immigrants.
""President Trump promised to revive the American economy by rolling back red tape, unleashing American energy, fighting for fair trade deals and cutting taxes. And President Trump delivered — 5.8 million new jobs since Election Day and the unemployment rate has hit a 50-year-low,"" said Pence.
""That's what we call promises made and promises kept. But to keep America great, we have to re-elect the president who has been fighting for you every day,"" Pence continued. ""We've done so much but there's much more to do. That's why we need four more years of President Donald Trump in the White House. Four more years means more jobs, more judges, more support for our troops and it's going to take at least four more years to drain that swamp.""
A Quinnipiac University telephone poll of 1,279 self-identified registered voters in Florida gave former Vice President Joe Biden an advantage over the president in a head-to-head matchup.
The poll, released Tuesday, found that Biden would beat the president by a margin of 50 percent to 41 percent if the election were held now. The poll was conducted between June 12 to 17 and has a margin of error of +/- 3.3 percent.
President Trump made references to ""Sleepy Joe"" and ""Crazy Bernie Sanders"" in his remarks.
""America will never be a socialist country — ever,"" Trump declared.
Republicans in the Sunshine State would back the president by a margin of 90 percent to 7 percent, while Biden would take the Democrat vote by a margin of 91 percent to 3 percent, according to the poll. Biden would also take independent voters by a margin of 54 percent to 32 percent while more men than women would choose Trump over Biden, the survey found. Biden leads the president among women by a margin of 58 to 34 percent.
Trump leads Biden 52 percent to 42 percent among white voters, while Biden leads 79 percent to 9 percent among black voters and 57 percent to 32 percent among Florida's Hispanic voters.
The president insisted at the rally that African-Americans were experiencing the lowest unemployment numbers in the history of the country. He said Hispanics, Asians and women were also seeing their best unemployment numbers under his administration.
The Quinnipiac poll also gave Vermont Sen. Bernie Sanders an edge over the president in a head-to-head matchup by a margin of 48 percent to 42 percent. The university said matchups between Trump and other Democratic contenders were too close to call.
""President Donald Trump trails both former Vice President Joseph Biden and Sen. Bernie Sanders in general election matchups and basically ties other leading Democratic challengers,"" said Peter Brown, assistant director of the Quinnipiac University Poll. ""While most Florida voters are feeling better financially, President Trump remains underwater with a 44 percent job approval rating and a 51 percent disapproval rating.""
In addition to the former vice president and Sen. Sanders, the president is also facing a crowded field of Democrats that includes Massachusetts Sen. Elizabeth Warren, former Texas Congressman Beto O'Rourke, South Bend Mayor Pete Buttigieg and Sen. Kirsten Gillibrand of New York, who are all jockeying to face President Trump in next year's general election.
The president asked his supporters at Tuesday's rally to choose between two campaign slogans — Make America Great Again or Keep America Great. The crowd overwhelmingly choose the latter.
""Keep America great,"" the president said of the more popular slogan. ""We're going to keep on fighting for every man, woman and child all across this land.""
The rally ended around 9:37 with a recording of ""You can't Always Get What You Wanted"" by the Rolling Stones.
Watch the video again below:
"
8,/florida/lakeland/florida-governor-orders-security-review-election-systems,2019-05-22T19:27:55Z,DeSantis Orders Review Of Election Systems,0,0,Paul Scicchitano,Patch Staff,"TALLAHASSEE, FL — Florida Gov. Ron DeSantis ordered a review of election security measures throughout the state Wednesday, including all 67 counties, following ""recent information"" from federal officials that Russian hackers gained access to voter databases in two Florida counties ahead of the 2016 presidential election.
In a letter to Florida Secretary of State Laurel M. Lee, DeSantis noted that the breaches did not compromise the election outcome but said they highlight the importance of protecting Florida's election systems.
""Accordingly, I direct the Department of State to immediately initiate a review of the security, particularly the cybersecurity of our state's elections systems and the elections systems of Florida's 67 counties,"" DeSantis stated in the letter. See also FBI's Secrecy About Russian Election Hacking Untenable: FL Reps
The governor has said that he signed an agreement with the FBI not to disclose the names of the counties involved, but that election officials in those counties were aware of the intrusions.
More than $14.5 million in federal election security grants was distributed to supervisors of elections in 2018, while Florida also provided $1.9 million in funding to purchase and install ALBERT network monitoring sensors that can detect cyber threats and quickly alert officials when data may be at risk, according to state officials, who said Florida has more ALBERT sensors than any other state.
Following a briefing with FBI and Homeland Security officials last week, bi-partisan Florida members of the U.S. House of Representatives held a news conference in which they expressed outrage that Florida officials were never informed of the breach.
The 2016 hacking incident came to light last month when the 448-page report by White House Special Counsel Robert Mueller on Russian interference in the 2016 presidential election was released. The report referenced the fact that Russian hackers had launched a phishing attack on the database systems of elections offices throughout Florida.
DeSantis also ordered the Department of State to develop a plan to identify and address any vulnerabilities.
""You are further directed to make this a top priority of the department, and report your findings to the executive office of the governor upon completion of your review,"" the governor's letter said.
DeSantis said his administration will continue to place a high priority on election security and protecting voter information.
""Public faith in our elections is the bedrock of our democracy and we must do everything within our power to preserve the integrity of our elections systems,"" the governor added.
Patch editor D'Ann Lawrence White and the Associated Press contributed to this article."
9,/florida/lakeland/lakelands-confederate-statue-comes-down,2019-03-23T00:16:20Z,Lakeland's Confederate Statue Comes Down,0,0,Paul Scicchitano,Patch Staff,"LAKELAND, FL — If you were born in Lakeland or spent any time here, chances are you've never known Munn Park to be without its Confederate statue — otherwise you'd be pushing 110.
That all changed Friday as a contractor began the painstaking work of moving the more than century old statue to its new home in Veterans Memorial Park.
'This morning, the Munn Park Confederate Monument was removed from its base and is now waiting for its new home in Veterans' Memorial Park to be ready,"" said city officials.
The monument has been a source of controversy in this Florida community just as similar monuments have sparked debates throughout the United States.
Lakeland commissioners voted late last year in favor of using money generated by the city's red light camera citations to pay for the move, which is estimated to cost around $210,000. The vote reversed an earlier decision to require the move to be paid with private funds.
Cities across the nation have faced similar pressure to remove their Confederate monuments following the deadly white nationalist protest in Charlottesville, Virginia, and the 2015 massacre of black worshippers at a South Carolina church by an avowed white supremacist.
Lakeland officials said the cost includes a $20,000 cushion to pay for unforeseen expenses. during the four-day removal and relocation of the monument.
The Associated Press contributed to this report.
Video courtesy city of Lakeland"
