,url,Date,Title,Thank,Reply,author,title,context
0,/new-jersey/longvalley/primary-election-2020-where-vote-long-valley,2020-06-15T14:30:00Z,Election 2020: Where To Vote In Long Valley,0,0,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - The primary election looks different this year as the COVID-19 pandemic has pushed back the date, shuttered polls and made the contest scheduled for July 7 ""primarily"" vote-by-mail.
""Our goals are twofold,"" Gov. Phil Murphy said when he made the announcement in May. ""To maximize our democracy while minimizing the risk of illness. We want everyone to participate in a safe, fully democratic process.""
Murphy also said that there will be polling places open in every municipality to ensure that everyone can exercise their right to vote and at least 50 percent of the normal locations per county.
Murphy added that voters who have not been able to seamlessly transition to a mail-in process, like those with a disability, will be kept safe when they cast their vote.
""Social distancing protocols will be enforced within these polling locations including the sanitizing of every touch screen, voting machine in between voters,"" he said.
All registered Democratic and Republican voters will automatically receive a postage paid vote-by-mail ballot while all unaffiliated and inactive voters will automatically receive a postage paid vote-by-mail application. Those ballots can be sent back by mail or dropped in one of the boxes.
Where To Vote: In-Person
Vote-By-Mail Drop Boxes
Vote-by-Mail Drop Boxes will be installed in five locations across Morris County
for voters to drop their voted VBM in as opposed to mailing it:
Vote-By-Mail Drop Box Locations
1. Morris County Administration & Records Building
10 Court Street, Morristown NJ 07960
(Outside front entrance)
2. Mount Olive Municipal Building
204 Flanders/Drakestown Road, Budd Lake NJ 07828
(Parking Lot entrance to Municipal Offices)
3. Rockaway Twp. Municipal Building
65 Mount Hope Road, Rockaway, NJ 07866
(Outside Police Department)
4. Montville Municipal Building
195 Changebridge Road, Montville, NJ 07045
(In front of Municipal Building)
5. Madison Municipal Building
Hartley Dodge Memorial Building
50 Kings Road, Madison, NJ 07940
(Behind Police Headquarters)
Another key change will be the voting deadline. While all the ballots must still be postmarked by the July 7 election day, Murphy said that the deadline which votes must be received by a county board of elections – to be counted as valid – will be extended from 48 hours after the polls close to seven days after the polls close.
""We expect a greater than normal vote-by-mail turnout the deadline,"" he said. ""And we will ensure that every vote is counted.""
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
1,/new-jersey/longvalley/long-valley-native-joins-college-republicans-executive-board,2020-05-08T15:00:00Z,Long Valley Native Joins College Republicans Board,1,0,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - New Jersey College Republicans has new leadership as students from different schools were elected to the executive board.
Ramapo College senior and Long Valley native Ben Yaskulka was elected Chairman of the New Jersey College Republicans (NJCR), leading an Executive Board with officers from eight different colleges. NJCR is the Garden State's official college group within the College Republicans National Committee.
""I'm honored to be entrusted with this position,"" said Yaskulka, a political science major and aspiring political leader. ""On many college campuses, conservative voices are rarely heard or advocated for. Young conservative voices are underrepresented at the polls. And people with differing views rarely have constructive dialog. I look forward to helping change all of that.""
He is joined by:
""I also want to express my deepest appreciation for outgoing Chairman Peter Shenouda, the entire outgoing Board, and all of the national officials who have already reached out to me,"" Yaskulka said. ""Most of all, I'm thrilled to work with this outstanding group of fellow officers.""
The New Jersey College Republicans are the extension of the Republican Party on New Jersey's college campuses, promoting principles of the Republican Party among college-aged students in the state.
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
2,/new-jersey/longvalley/morris-co-launches-coronavirus-taskforce-looks-toward-recovery,2020-04-27T13:30:00Z,Morris County Launches Coronavirus Taskforce,0,2,Russ Crespolini,Patch Staff,"MORRIS COUNTY, NJ - As New Jersey continues to adapt to the new coronavirus, or COVID-19, officials throughout Morris County are coming up with ways to ease into the new normal.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
""We thank Morris County residents for their great effort to deal with the current crisis, from sewing masks and helping to feed unemployed families to social distancing, hand washing, and caring for their family, friends and neighbors,"" said Freeholder Director Deborah Smith. ""Now we have to consider the next step to determine how recovery will occur, how we will get our great country on its feet again.""
The Morris County Board of Freeholders is creating a Morris County COVID-19 Recovery Task Force, to include a group of key leaders from all segments of Morris County life, to help plan for the county's eventual return to normalcy from the COVID-19 crisis.
The Task Force would operate in concert with President Donald J. Trump's three-phase plan to gradually Open Up America Again. https://www.whitehouse.gov/ope...
The Board of Freeholders voted to create a Task Force subcommittee, including Smith, John Krickus and Tom Mastrangelo, to spearhead the effort.
Leaders from government, health, education, labor, social services, and others would be invited to participate in an effort to gather information, share ideas and develop strategies for the post-COVD-19 world in Morris County, in conjunction with state and federal governments. They would consider how to overcome potential obstacles to recovery, officials said.
The Task Force could:
At the same time, Senator Anthony Bucco and the Morris County Chamber of Commerce announced the formation of a COVID Economic Advisory Committee to develop specific recommendations that can have immediate positive impacts on local businesses, married with ways to safely reopen the economy as the State emerges from this crisis.
Bucco will rely on the business-led blueprint in making recommendations to the Murphy administration while offering proactive solutions that can be used as part of the six-state council to restore the economy.
""Too often, leaders in government create policies and economic funding formulas that sound good on paper, but miss the mark because many politicians have no experience running businesses or creating jobs,"" said Bucco. ""We need business leaders of all sizes to have a voice in the simple ways we orderly and safely get people back to work now, while addressing the long-term measures that can get New Jersey back stronger after the pandemic. For example, our lake-based marinas are permitted to be open for personal boating use, but unable to rent boats and generate sales – which could be done safely with occupancy limits. We've already had successes with cutting red-tape for things like craft brewery deliveries and online car sales, and there is still more to do. I'm excited to get to work with the Morris County Chamber.""
The County Chamber is moving quickly to build an Advisory Committee touching on all sectors – from retail to commercial real estate, hospitality, manufacturing, global pharmaceutical companies, service-based businesses, and entertainment venues, officials said.
""Our members are proud to support this effort with Senator Bucco, to provide them a voice in the policy formation that directly impacts their livelihoods and the jobs they represent across Morris County,"" said Meghan Hunscher, President & CEO of the Morris County Chamber. ""Our goal is to quickly develop concrete solutions that help drive decision-making. We are also exploring survey capabilities for all of our members, regardless of whether they serve on the committee, to provide input.""
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
3,/new-jersey/longvalley/washington-township-municipal-tax-bill-increase-22,2020-04-23T15:00:00Z,Washington Township Municipal Tax Bill To Increase,0,1,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - The new coronavirus, or COVID-19, outbreak has not stopped the work of the municipal government as the Washington Township Committee adopted a 2020-21 municipal budget with a one percent increase on Monday night.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
What that means for residents is the average municipal tax bill, based on the average home value of $436,000, will be increased $22.
This does not take into account county or school taxes.
At the meeting of the governing body on Monday, Mayor Matt Murello said he received some inquiries about the May 1 property tax due date.
""By statute, the municipality can establish a ten-day grace period which we have done. This quarter the due date will be the 11th because the 10th is a Sunday. The state has not authorized a longer extension. There was a bill to do so,"" Murello said. ""This was stopped largely through the efforts of the NJEA because it would have delayed payments to schools and counties until taxes were collected.""
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
4,/new-jersey/longvalley/washington-township-committed-june-graduation,2020-04-22T20:00:17Z,Washington Township 'Committed' To June Graduation,0,0,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - The new coronavirus, or COVID-19, pandemic has turned our lives upside down over the past few weeks and robbed so many of the chance to make memories. But Washington Township Mayor Matt Murello says he wants to preserve one if he can: graduation.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
""Over the weekend, I have had several conversations with Principal Tim Rymer of WMCHS and Chief (Jeffrey) Almer,"" Murello said. ""The HS is committed to having graduation this June and I have promised the Township will offer whatever support the high school needs to make sure that the class of 2020 has a graduation on June 11 at 5 p.m.""
Murello noted that so students have missed out on so much this Spring due to distance learning. Not just the after school activities like sports, clubs and the arts, but the social aspect of school. Murello specifically said no one has felt this more keenly than the West Morris Central Class of 2020, and that helping them get a graduation is a priority.
""I don't know what that's going to look like at this point, but we will make sure that our graduates are given the commencement that they deserve from WMCHS as they start the next chapter of their lives while complying with the Governor's Executive Orders on gatherings and social distancing and keeping everyone safe,"" Murello said.
Murello said that since the beginning of the emergency, he watchedthe community come together like never before.
""People have started online groups to help our medical staff and first responders, offer food and supplies to people that can't get access to them, create PPE for others, shop or deliver groceries to seniors that can't get out and just offer emotional support to our neighbors,"" he said. ""I know that this month has been difficult and we still have some time to go before we can start to get to some level of normalcy. Whatever that new 'normal' may look like. You all have made me very honored to represent you as your Mayor.""
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
5,/new-jersey/longvalley/coronavirus-guidelines-reopen-america,2020-04-17T17:15:57Z,Coronavirus: Guidelines To Reopen America,0,0,Press Release Desk,News Partner,"Press release from the West Morris Central High School:
April 17 2020
Click on the link below to view guidelines for reopening the United States after coronavirus:
Guidelines to reopen America.
This press release was produced by West Morris Central High School. The views expressed here are the author's own."
6,/new-jersey/longvalley/2020-election-season-begins-washington-township,2020-04-06T14:30:00Z,Election Season Begins In Washington Township,0,0,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - Despite the impact of the novel coronavirus, or COVID-19, outbreak in our area the primary election season is gearing up in Washington Township.
Things appear quiet in Washington Township as sitting Mayor Matthew Murello had filed to win his party's nomination in July.
No one else filed by the deadline.
Concerns over the new coronavirus have pushed the primary to July 7.
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
7,/new-jersey/longvalley/governor-murphy-announces-changes-new-jersey-elections-response-coronavirus,2020-03-20T20:54:28Z,Coronavirus: Changes To New Jersey Elections ,0,0,Press Release Desk,News Partner,"Press release from the Washington Township:
Please read the Governor's Executive Order Here:
Executive Order EO-105
This press release was produced by the Washington Township. The views expressed here are the author's own."
8,/new-jersey/longvalley/washington-township-closes-municipal-offices-visitors,2020-03-18T20:24:42Z,Washington Township Closes Municipal Offices ,0,0,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - The encroaching novel coronavirus, or COVID-19, has caused Washington Township to close down the Municipal Offices to visitors in order to limit interaction between employees and the public.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Board/committee meetings and township programs are suspended through March 27.
Public inquiries and requests will be handled online or by email. The Township of Washington offers the ability to make payments online for:
Residents also call ahead to obtain payment amounts for taxes, permits, etc. and identifying info for the memo line if you wish to pay by check and leave it in the municipal building dropbox which will be checked frequently. Department contact phone numbers and email are available online.
Inspections will only be done for outdoor or unoccupied facilities. You will be asked, out of an abundance of caution, if anyone in your household or business has fever, cough or shortness of breath to schedule a date at least two weeks into the future. No indoor inspections of occupied structures will be conducted through March 27. To reschedule contact the appropriate department:
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
9,/new-jersey/longvalley/washington-township-prepared-coronavirus,2020-03-12T21:11:54Z,Washington Township Prepared For Coronavirus,0,0,Russ Crespolini,Patch Staff,"LONG VALLEY, NJ - The Washington Township Committee, OEM, First Responders, and Administration are working closely with the Board of Health, Health Department and emergency preparedness officials at the federal, state and local levels to closely monitor the novel coronavirus, COVID-19, situation and provide updates accordingly, according to Mayor Matt Murello.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
""Ongoing conference calls with myself, our first responders and health officials are occurring with the county and state officials and are monitoring Centers for Disease Control (CDC) and state guidelines,"" Murello said in a statement. ""Township officials are prepared to handle any potential COVID-19, novel Coronavirus, case in accordance with those guidelines.""
The New Jersey Poison Information and Education System (NJPIES) opened a COVID-19 Information Hotline to assist in answering questions from the general public.
""Residents should contact the call center at 1-800-222-1222 or, if in NJ but using a non-NJ cell phone, at 1-800-962-1253. The call center is available 24/7 and can accommodate calls in multiple languages,"" Murello said. ""Clinicians should contact their local health department for guidance.""
The Washington Township Health Department is encouraging all residents to take simple precautions to protect themselves and others from respiratory illness:
Counting the new cases Thursday, there have been 29 people diagnosed with presumptive positive cases of COVID-19 in New Jersey as of Thursday afternoon, with one person dying from the disease. Gov. Phil Murphy has declared a state of emergency, and schools across the state have begun to cancel classes. READ MORE: NJ Coronavirus Updates (Here's What You Need To Know)In general – depending on where they live – New Jersey residents still face a ""low risk"" of contracting COVID-19, State Epidemiologist Christina Tan said during a Wednesday press conference.
There have been more than 1,300 confirmed U.S. cases of the new coronavirus as of Thursday morning according to Johns Hopkins University, which said the disease also has killed 38 people nationwide.
WHAT IS COVID-19?
Coronaviruses are a family of viruses that include the common cold as well as much more serious diseases. The strain that emerged in China in late 2019, now called COVID-19, is related to others that have caused serious outbreaks in recent years, including severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS). The first confirmed case of COVID-19 in the U.S. was on Jan. 21.
The disease, which apparently originated in animals, is now transferring from person to person, although the mechanism is not yet fully understood. Its symptoms include fever, coughing and shortness of breath, and many patients develop pneumonia. There is as yet no vaccine against COVID-19 it and no antiviral treatment.
According to the CDC, the best way of preventing the disease is to avoid close contact with people who are sick, to avoid touching your eyes, nose, and mouth with unwashed hands, to wash your hands often with soap and water for at least 20 seconds, and to use a hand sanitizer that contains at least 60 percent alcohol if soap and water are not available.
To avoid spreading any respiratory illness, the CDC recommends staying at home when you are sick, covering your cough or sneeze with a tissue and throwing the tissue in the trash, cleaning and disinfecting frequently touched objects and surfaces.
The CDC does not recommend that people who are well wear a face mask to protect themselves from respiratory illnesses, including COVID-19. You should only wear a mask if a health care professional recommends it. A face mask should be used by people who have COVID-19 and are showing symptoms. This is to protect others from the risk of getting infected. The use of face masks also is crucial for health workers and other people who are taking care of someone infected with COVID-19 in close settings (at home or in a health care facility).
Residents who have questions about the virus can contact the State of New Jersey's hotline at 1 (800) 222-1222. The hotline is home of the New Jersey Poison Information and Education System, and is staffed 24 hours a day by state health workers.
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
