,url,Date,Title,Thank,Reply,author,title,context
0,/california/losgatos/los-gatos-strong-budgetary-surplus,2020-05-28T16:59:37Z,"Los Gatos Reserves, Surpluses Now Paying Dividends",0,0,Press Release Desk,News Partner,"Press release from the Town of Los Gatos:
May 27, 2020
Over the years, the Town's conservative budgeting practices have resulted in healthy reserves and frequent annual budgetary surplus. Those reserves and surpluses are now paying the Town huge dividends.
On May 27, 2020, the Town Council reallocated $1,900,000 in prior surpluses reserved for downtown streetscape revitalization toward COVID-19 economic stimulus recovery efforts. This is one of the single largest economic recovery packages ever proposed in the Town's history.
In addition, on May 19, 2020, the Town Council moved forward a balanced Operating Budget for Fiscal Year 2020-2021 with no reductions to service, despite significant revenue and other economic impacts from sheltering-in-place.
This press release was produced by the Town of Los Gatos. The views expressed here are the author's own."
1,/california/losgatos/silicon-valley-nonprofits-face-uncertain-future-deficits-loom,2020-05-26T17:07:28Z,Silicon Valley Nonprofits Face Uncertain Future,0,0,Bay City News,News Partner,"By Janice Bitters/San Jose Spotlight
SANTA CLARA COUNTY, CA — Federal, state and local Silicon Valley leaders spoke about the pressures nonprofits are facing in a town hall Tuesday, May 19.
Like everyone, nonprofits are hurting during the coronavirus pandemic, but local leaders are trying to find ways keep those organizations alive until the economy starts to rebound.
Nonprofits offer some of the most critical services in communities, often on the front lines of helping homeless, hungry and mentally ill residents. But as enormous city, state and federal deficits loom, Silicon Valley nonprofits are grappling with how they'll stay afloat through the coronavirus pandemic to meet fast-growing need but dwindling budgets.
Nonprofits are often funded in part by grants and contracts with government agencies and programs, meaning they're likely to feel the trickle-down effect of budget deficits.
Silicon Valley's elected leaders, including Santa Clara County Supervisor Dave Cortese, state Assemblyman Ash Kalra and Congresswoman Zoe Lofgren, who represents Silicon Valley in the U.S. House of Representatives, joined local nonprofit leaders Tuesday to talk about the challenges nonprofits are facing and what the government will do to help during a virtual town hall.
The event was co-hosted by the California Association of Nonprofits.
""I, and all the elected officials here, have been through deep recessions, earthquakes and every known disaster that California can face, but this is an order of magnitude beyond anything we've ever experienced,"" Cortese said. ""Somehow, we have to get tax revenue back into generation quickly enough to avoid local government running out of money and essentially collapsing the entire safety net system.""
Nonprofits working on thin margins make up a critical cross section of California's economy and core services. The industry generates about 15 percent of the gross state product and provides services governments rely on heavily to keep communities healthy and happy, according to recent data by the California Association of Nonprofits.
But early on in the crisis, nonprofits struggled to get some of the help that the private sector businesses got through the federal CARES Act and relationships with major banks as the pandemic began shutting down the economy. Silicon Valley was among the first regions to feel the impact, as local leaders issued the first shelter-in-place order in the country.
Now that seems to be getting better, said Kyra Kazantzis, chief executive officer for the Silicon Valley Council of Nonprofits, who was on the call Tuesday.
""It was a huge pain in the tuchus to get those loans,"" she said. ""The banks weren't ready, some of the banks didn't do what they were supposed to do, obviously the guidelines were late. But now some of that money is in play, and it's going to save a bunch of nonprofits.""
Even so, the help that is available is not enough to meet the need, she added.
Lofgren agreed. She and other House Democrats are pushing for another coronavirus-related stimulus bill, which would funnel about $1 trillion into states, counties and municipalities and would open more funding accessible to businesses and nonprofits.
The $3 trillion bill, known as the HEROES Act, passed the Democrat-majority House last week but has been characterized as ""a grab-bag"" bill and dead on arrival by leaders in the Republican-led Senate.
House Speaker Nancy Pelosi said she hopes the HEROES Act will serve as a starting place for negotiations on a bill that can pass both the House and Senate. But that means it is still unclear what federal relief for states, businesses and individuals hoping for another stimulus check may look like in the future.
""The approach we're taking is that this is obviously an emergency that none of us have experienced in our lifetimes - I mean, no one living in America today has seen anything like this,"" Lofgren said. ""We have to step up to the bat and keep our country from sinking.""
In the meantime, state and local leaders are pushing to support local nonprofits, which employ one in every 14 jobs in California.
Cortese said he'd support an extension of the county's moratorium on evictions for renters affected by the coronavirus and for small businesses. Currently, that moratorium is expected to expire May 31.
He is also advocating for additional funding relief related to mortgages and rent payments at the state and federal levels, and wants the county to continue contracting with nonprofits, though he acknowledged that funds are becoming increasingly scarce.
""If we don't get continued assistance from Washington, especially on the fiscal side, all of us - everybody who's involved in this call - we are going to be in even deeper trouble,"" Cortese said, characterizing the situation as ""a race against time.""
Much of the work that nonprofits do is funded by grants for specific projects, or through events and major fundraisers, many of which have been canceled this year. But cities - particularly San Jose - and local governments have been flexible about rerouting grants to new uses around the pandemic response, Kazantzis said.
At the state level, Kalra has signed letters to Gov. Gavin Newsom to continue to fund and award contracts with nonprofits in the state. He's supported efforts to enact a statewide eviction moratorium on commercial properties that small businesses and nonprofit call home and to approve more funding for food banks and other social safety net programs.
Kalra also co-authored bills aimed at protecting renters and small businesses and nonprofits, though those bills have not yet been approved.
""These letters and legislation we're introducing ... are ways to put pressure on and send signals as we have conversations with the governor to protect our most vulnerable nonprofits and small businesses through this crisis,"" he said. ""And of course, protect our renters, who many of the nonprofits ... support every day, especially through this crisis.""
This story originally appeared in San Jose Spotlight.
Contact Janice Bitters at janice@sanjosespotlight.com
Follow @JaniceBitters on Twitter
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
2,/california/losgatos/south-bay-city-managers-take-pay-cut-amid-budget-crisis-report,2020-05-20T17:25:05Z,South Bay City's Managers Take Pay Cut ,0,0,Gideon Rubin,Patch Staff,"PALO ALTO, CA — Amid a budget crisis precipitated by the coronavirus crisis, Palo Alto City Manager Ed Shikada and the city's non-union managers and professional staffers have agreed to a substantial pay cut.
Shikada has agreed to a 20% pay cut and the city's managers and professional staffers will see their salaries reduced by 15%, Palo Alto Weekly reports.
The ""management and professionals,"" which includes middle managers and other staff, make up the equivalent of 231.75 full-time jobs and their combined pay cuts will save the city $5 million, the report said.
The city faces a $38.8 million budget shortfall, the report said.
The announcement of management accepting salary cuts follows meetings in which council members have had contentious debates over budget cuts, the report said, noting police staffing, library hours and recreational program funding are all on the chopping block, according to the report.
The city's ""manager and professional staff are leading by example,"" Shikada told the council, according to Palo Alto Weekly.
Read more at Palo Alto Weekly"
3,/california/losgatos/silicon-valley-bart-extension-service-begin-june-13,2020-05-19T23:08:32Z,Silicon Valley BART Service To Begin June 13,0,1,Bay City News,News Partner,"SANTA CLARA COUNTY, CA — The Santa Clara Valley Transportation Authority and BART's Berryessa extension to Milpitas and North San Jose will begin passenger service June 13, the two agencies announced Tuesday.
Officials from both agencies as well as Santa Clara County Supervisor Cindy Chavez and San Jose Mayor Sam Liccardo held a signing ceremony for the extension's Project Safety and Security Certificate, signifying the completion and verification of the project's safety tests and allowing passenger service at the two new transit stations to proceed.
While BART ridership remains around 90 percent below the agency's expected baseline figures due to the COVID-19 coronavirus pandemic, the group of BART, VTA and government officials were all smiles in announcing the eight-year project's completion.
""We know these have been some dark months that we've endured,"" Liccardo said. ""But pulling together, this valley, this county, this region, this city have all shown our character, collectively, and we should celebrate great days like this.""
The 10-mile, $2.3 billion Berryessa project extends BART service from the Warm Springs District in Fremont through Milpitas to the Berryessa area of North San Jose.
The completion of the extension also marks BART's first foray into Santa Clara County and gives the transit agency a total of 50 stations and roughly 130 miles of track. Both BART stations will include direct VTA bus connection service, drop-off and pick-up areas for pedestrians and shuttles, bicycle storage and public areas to allow people to meet with each other near each station.
The Milpitas station will also include a direct connection to VTA's Milpitas light-rail station.
""Expanding travel options in one of the Bay Area's most congested corridors is key to an economic revival,"" BART General Manager Bob Powers said.
""Connecting Silicon Valley to the rest of the Bay Area will not only beef up our public transportation network but create new opportunities for much-needed housing near transit.""
The first train serving the two new stations is expected to depart the Berryessa station along the Richmond line at 7:56 a.m. The train will arrive at Milpitas about three minutes later, according to BART and VTA officials. The Berryessa project is the first phase of BART and VTA's effort to extend BART service into San Jose and Santa Clara.
The second phase, totaling about 6 miles, is expected to include the construction of subterranean stations at 28th Street in San Jose's Little Portugal, in downtown San Jose near the intersection of Santa Clara and Market streets, the San Jose Diridon rail depot and a ground-level station just north of Avaya Stadium in Santa Clara.
The $5.6 billion second phase is expected to break ground in 2022, with an estimated completion date around 2030. VTA officials changed both of those estimates last year, increasing the price tag by nearly $1 billion and pushing the opening back roughly four years.
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse
without the express written consent of Bay City News, Inc. is prohibited."
4,/california/losgatos/how-silicon-valley-candidates-campaign-while-social-distancing,2020-05-11T18:14:40Z,How Candidates Campaign While Social Distancing,0,0,Bay City News,News Partner,"By Loan-Anh Pham/San Jose Spotlight
SANTA CLARA COUNTY, CA — Door-knocking, shaking hands and kissing babies is off the table for Silicon Valley political candidates during the coronavirus crisis.
And with stay-at-home orders extending through May, candidates are now devising new strategies to reach voters in a digital campaigning landscape as the November election draws near.
A side effect of shelter-in-place, according to San Jose City Council candidate David Cohen, is the cancellation of events where politicians would normally go to mingle and interact with the community.
""To have events cancelled, like our Berryessa Art and Wine festival that was supposed to happen the first weekend of May, and to not have that opportunity to interact with the community and see everybody ... is hard,"" said Cohen, who is running for the city's District 4 council seat.
With the California primaries in March, there's a ""natural low"" in campaigning, Cohen said.
""We don't know what the landscape's going to look like in September and October, which is really where the bulk of the campaign happens, so we have to be prepared for everything,"" Cohen continued. ""At this point, it is hard to know how to continue to widen your circle and meet more people.""
District 4 Councilmember Lan Diep could not be reached for comment.
Councilmember Dev Davis who is fending off challenger Jake Tonkelin November said her campaign is in the process of planning for the ""new digital age."" But being a councilmember, Davis said, comes before being a candidate.
""I'm much more focused on making sure my residents are safe and healthy and understanding orders that the county has put in place,"" Davis said.
""The whole world turned upside down and we're figuring it out.""
Like several of her colleagues on the San Jose City Council, Davis has hosted online office hours, including a discussion with SJPD Chief Eddie Garcia about public safety last month.
Tonkel is doubling down on social media, such as Instagram, Twitter, Facebook and Nextdoor, to reach voters - a cornerstone of his campaign strategy even before the contagious virus shut down Silicon Valley.
Tonkel's campaign has been hosting digital town hall meetings to reach the community.
""One of the fortunate pieces about being in the digital generation is we're able to connect,"" Tonkel said. ""We understand you have to build trust and relationships and build community over all types of avenues, and this is no different.""
Non-digital strategies
Not everyone is campaigning to fit the era of Zoom meetings.
California Senate Candidate Ann Ravel instead is keeping in touch with voters and supporters via handwritten thank-you cards.
So far, Ravel said, she's penned 300 personalized cards.
""I felt like I had to write to people who were my volunteers, who were my supporters,"" Ravel said. ""I know that when you get a personal 'thankyou' note from someone that you don't expect, it's very meaningful. I think it's much more personal, rather than having your campaign send out some card statement that is exactly the same thing for everybody.""
For Santa Clara County Supervisor Dave Cortese, who is running against Ravel for the District 15 Senate seat, his current job involves plenty of personal interaction - as does his campaign.
""What would ordinarily be a 65-hour week on the Board of Supervisors is now... around the clock, seven days a week,"" he said.
And while his campaign efforts are still moving along with mailers, emails and endorsement announcements, Cortese said his priority is the job he was elected to do.
""What's the point of being in office, if you're not going to help people during a crisis, during a pandemic, during the health emergency?"" Cortese said.
""I've been in office representing people during some pretty significant times, but this is by far, by order of magnitude, the most significant.""
Fundraising
The sudden economic downturn in the past two months also begs the question of whether fundraising in election campaigns will be as robust as before. Fundraising numbers from the latter half of 2019 reached staggering totals among San Jose City Council candidates.
Bob Brunton, California Assembly candidate, makes sure to ask potential supporters whether they're healthy and doing well financially.
""It seems there's huge differences in how this pandemic is affecting people,"" Brunton, who's running for District 25's State Assembly seat, said.
Alex Lee, Brunton's opponent, predicted that fundraising numbers would decrease for his campaign, which does not take money from corporate donors.
""We relied very heavily on individual small-dollar donors,"" Lee told San Jose Spotlight.
""As the impact of the recession might be hurting a lot of families, it might be something that impacts our fundraising efforts a lot - but we're still going to try.""
What the future holds
Despite uncertainty surrounding the November elections, lawmakers expressed relief that Santa Clara County voters don't need to head to the polls physically. Santa Clara County this year rolled out all-mail elections to comply with California's Voter's Choice Act.
""I'm glad we went to mail-in ballots prior to any of this happening,"" Davis told San Jose Spotlight. ""I feel like our county has been, at least elections-wise, prepared.""
Contact Loan-Anh Pham at: the.loananh.lede@gmail.com

Follow her @theLoanAnhLede on Twitter


This story was originally published by San Jose Spotlight
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
5,/california/losgatos/santa-clara-county-aims-expand-covid-19-contact-tracing,2020-05-06T09:24:05Z,SC Co Aims to Expand COVID-19 Contact Tracing,0,0,Bay City News,News Partner,"SANTA CLARA COUNTY, CA — Contact tracing will become a new focus for Santa Clara County public health officials, according to discussions at the Board of Supervisors meeting Tuesday.
Contact tracing and case investigation is ""core to public health efforts to control the spread of a communicable disease,"" Dr. Sara Cody told the board during the meeting. ""And we're going to need to do it at a scale that we've never before done here or in many, many other places.""
The goal is to be able to have county staff investigate every new case of COVID-19, but the county currently traces about 75 cases per day, according to Cody. She said an ideal team of contact tracing staff would be about 1,000 people.
Dr. Jennifer Tong, branch director for the health care surge team at the emergency operations center, said the county's personal protective equipment stock is ""sufficient"" for local healthcare providers to handle current patient volumes, but as hospitals and health care workers move towards resuming regular operations such as elective surgeries, PPE use will go up.
""There is an ongoing supply chain interruption,"" Tong added, but the county gathered roughly 16 million pieces of PPE, despite the nationwide shortfall in supplies. ""But we still continue to have shortages, predominantly in regular-sized N95 respirators and gowns.""
She also said the county's hospitals have been directed to keep a 30-day stock of PPE and notify the county if they have adequate supplies or not.
County officials on Monday announced two new testing sites - one at James Lick High School in San Jose and the other at Christopher High School in Gilroy - available by appointment only.
""I don't yet understand how we're ever going to be able to test enough, or how we'll have enough tests in California, to open up, even slowly,"" board president Cindy Chavez said during Tuesday's coronavirus discussions.
Cody noted that ""we've been very successful with driving down the spread of infection. And we know there are places where we have more intense infection,"" so the county's next move forward is to target isolation of such high intensity areas, such as skilled nursing facilities, and trace those sites' spread to better understand where and when other parts of the county can begin opening back up.
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
6,/california/losgatos/coronavirus-sc-co-unveils-financial-assistance-hotline,2020-04-09T23:56:17Z, Santa Clara County Unveils Coronavirus Hotline ,0,0,Bay City News,News Partner,"SANTA CLARA COUNTY, CA — Workers countywide struggling with unemployment, withheld payments and mounting expenses as Santa Clara County nears one month under a shelter-in-place order can access support through a new hotline for the coronavirus pandemic.
The COVID-19 Assistance Navigation hotline, or ""CAN,"" is a free resource from the Fair Workplace Collaborative and connects residents to lawyers, information about unemployment applications, housing, food banks, and financial aid during the crisis.
The county has been under a shelter-in-place order since March 16, and local leaders have extended the closure of all non-essential businesses until May 3.
An eviction moratorium is in place to protect residents who are unable to pay rent, but many have exhausted their bank accounts to pay off remaining expenses from April, San Jose City Councilwoman Maya Esparza said Thursday.
With no income or reduced hours, many are nearing desperate financial situations. Supervisor Dave Cortese said the hotline is designed to support people in ""oppressive"" and ""untenable"" employment situations.
He gave the example of a young woman who did not receive a paycheck because her employer was only paying senior employees and laying off workers until the crisis passed.
""These are exactly the kind of calls that we want to receive through this hotline, and people should rest assured that they can make that call without fear of repercussion or retaliation,"" Cortese said in a virtual news conference Thursday.
The Fair Workplace Collaborative is partnering with the Legal Advice Hotline to provide individualized advice.
Lawyer Ruth Silver Taube said the hotline has received calls about essential workers being denied personal protective equipment and employers threatening to call U.S. Immigration and Customs Enforcement if an employee skips work.
The legal aid hotline also handles daily requests about navigating online systems to request resources and services.
""We are here for you, Santa Clara County CAN is here to connect you to the resources you and your family may need."" said Jessica Vollmer, director of the Fair Workplace Collaborative through Working Partnerships USA.
Residents can reach the CAN hotline at (408) 809-2124. Services are currently available in English, Spanish, and Vietnamese with more languages being added.
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
7,/california/losgatos/coronavirus-sc-co-supes-mull-testing-life-after-lockdown,2020-04-08T07:17:50Z,"SC Co. Supes Mull Testing, Life After Lockdown",0,0,Bay City News,News Partner,"SANTA CLARA COUNTY, CA — The Santa Clara County Board of Supervisors made clear that they don't know what the future will look like after the county's shelter-in-place order, but teased the idea during their briefing with the county's public health officer Tuesday.
""There's a lot of uncertainty,"" Dr. Sara Cody, the county's public health officer, told the board Tuesday morning. ""We have to get comfortable with uncertainty. And we are in this for the long haul.""
As county residents stay indoors to curb the spread of COVID-19, public health officials expect case numbers to continue to rise and are working hard to lower whatever the future death count may be.
Cody said that while she and the rest of the county's public health experts wonder what to do after the shelter order is lifted, there are a number of checkpoints the county must reach before then.
""I think the next phase is going to be even harder,"" Cody said.
""I think the decisions are going to be even harder.""
She said the county's hospitals must be ready and able to treat every patient that needs care, and the county must be able to test broadly and widely.
While the county's hospitals are currently functioning under capacity, there is no way to open the county's testing capacity publicly.
She added that this is the case throughout the entire country, which has a health care system dependent on the help of the private sector.
By Monday, the county had conducted 11,782 tests for COVID-19 - including 1,285 positive and 1,243 negative confirmations. About 250 tests have not been officially counted yet.
Furthermore, the county can only process results of a test in about 2.27 days, which is ""significantly less"" time than it was earlier last month or last week, according to Dr. Karen Smith, the former California Department of Public Health director and a speaker during the board's Tuesday meeting.
Additionally, the county's public health lab has run just 237 tests compared to Stanford's labs' 4,010 tests.
And Verily, a Google-backed company, has seen 2,558 test subjects, though their tests are run and confirmed through other commercial private labs which report their data independent of the county's official count.
""The good news is there's more testing (and) the time to getting results is much shorter than it was before, but clearly there is a significant need for additional testing,"" the former state public health director said, who added that there is a shortage in testing materials - particularly the swabs clinicians use to gather specimens to test - that further limits testing capabilities in the county, the country and the rest of the world.
She also added that the county needs to be able to test any and all workers at the county's health care facilities in order to be able to move forward into post-shelter life, but the county does not presently have that capability.
The board asked for clarifications and timelines on when these new testing measures can happen, but the health officials were not able to offer specific or definitive dates.
The public is simply waiting for a vaccine and waiting for a peak in confirmed cases to signify a turning point. Until then, the county has continued plans to shelter in place to save as many lives as possible.
""People are going to die no matter what, it's just a matter of what risk we're willing to take,"" the county's executive, Dr. Jeff Smith, said to the board.
""This is not going to be an easy thing to do."" Board president Cindy Chavez noted her concern for departments that have seen high volumes of employees in isolation, noting that some departments have seen between 12 and 50 employees.
She said she wants to know what can be done to make sure certain departments with a finite number of essential workers can be tested to ensure their department can continue to function in the coming months.
""The testing capacity is not there to test everybody that needs to get tested,"" Cody told the board.
Jeff Smith added that the county does not ""have the authority to tell them what to do, how much they can do or whether they do it or not.""
Supervisor Joe Simitian asked Cody to explain what testing for antibodies can do to help locally, to which she replied that it could help health care workers know if they had been infected and had some form of immunity to COVID-19, but that she would need further information to make any official decision on the capabilities of such testing.
Supervisor Mike Wasserman asked if anyone can test positive for the virus, get over the disease and then test positive again, and Supervisor Dave Cortese asked for a new dashboard to display results of homeless individuals who have tested positive for the virus.
Cody said there will certainly be reintroduction of the disease into the public for any number of reasons.
Ky Le, the county's office of supportive housing director, did not offer a new dashboard for the county but did update the board by saying ""at this point we're not aware of any COVID-positive persons who need non-congregate sheltering"" apart from the 17 people identified since last week that have been sheltered and isolated due to possible exposure.
Also, Supervisor Susan Ellenberg asked that the board consider expanded and widely accessible child care services no later than the first week of August. By Monday, Santa Clara County had 1,285 confirmed cases of COVID-19 and 43 deaths.
Full coronavirus coverage: California Coronavirus: Latest Updates On Cases, Orders, Closures
Don't miss updates about coronavirus precautions as they are announced. Sign up for Patch news alerts and newsletters.


Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse
without the express written consent of Bay City News, Inc. is prohibited."
8,/california/losgatos/12-sc-co-sheriff-s-office-have-tested-coronavirus,2020-04-08T07:03:21Z,12 At Sheriff’s Office Have Tested For Coronavirus,0,0,Gideon Rubin,Patch Staff,"SANTA CLARA COUNTY, CA — A dozen staff members of the Santa Clara County Sheriff's Office have tested positive for the coronavirus, sheriff's officials said Tuesday.
Of those infected, one deputy was on patrol duty, and eight deputies were assigned to the sheriff's office's custody bureau.
Two staff members were custody support assistants at the county's main jail and the 12th staff member was a sheriff's records technician.
Two deputies have recovered from illness and are back to work, and the other 10 are self-quarantining at home, according to the sheriff's office.
Full coronavirus coverage: California Coronavirus: Latest Updates On Cases, Orders, Closures
Don't miss updates about coronavirus precautions as they are announced. Sign up for Patch news alerts and newsletters.

Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
9,/california/losgatos/coronavirus-santa-clara-county-unveils-plans-aid-homeless,2020-04-06T23:19:35Z,Coronavirus: SC Co. Unveils Homeless Aid Plans ,0,0,Bay City News,News Partner,"SANTA CLARA COUNTY — Santa Clara County provided an update to the public Monday on what the county is doing to help its homeless population, with 191 intensive care unit beds, 1,438 beds for a surge of patients, and 535 ventilators available throughout its health care system.
""We have the human infrastructure, if you will, to go in and screen and test and make sure that the unhoused population, the unsheltered population -- which is about 8,000 in this county -- get this same kind of attention and care and resources and treatment and compassion that the rest of the population is getting right now,"" Supervisor Dave Cortese said during the morning briefing streamed on Facebook.
Cortese said he is ""very proud"" of how the county is handling resources and outreach for unsheltered people in the county, but ""like with everything with COVID-19, we've got a long way to go.""
The county also said as of Sunday, about 602 additional shelter beds were opened for homeless individuals to access.
That number includes beds at the Gateway Pavilion at the county fairgrounds, beds at San Jose's Parkside Hall and assorted hotel and motel rooms purchased by the county, according to Ky Le, the county's Office of Supportive Housing director.
""We're working to expand the congregate and non-congregate shelter sites in the coming days,"" Le said.
The county's most recent count reported 1,207 confirmed COVID-19 cases and 39 deaths as of Sunday.
The county on Friday also reported 174 homeless people were quarantined because of infection or possible infection and another 215 possibly at risk or possibly infected or exposed people were said to be placed in the appropriate quarantine shelter soon.


Full coronavirus coverage: California Coronavirus: Latest Updates On Cases, Orders, Closures
Don't miss updates about coronavirus precautions as they are announced. Sign up for Patch news alerts and newsletters.

Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
