,url,Date,Title,Thank,Reply,author,title,context
0,/pennsylvania/lowermoreland/3-lower-moreland-residents-die-coronavirus,2020-04-06T20:24:42Z,3 Lower Moreland Residents Die From Coronavirus,0,0,Justin Heinze,Patch Staff,"NORRISTOWN, PA — Five more Montgomery County residents have died from coronavirus, Montgomery County officials announced Monday, bringing the county's death toll to 27. They were among 145 new cases found, bringing the county total over a thousand to 1,134.
The five victims include three residents from Lower Moreland, all of them unrelated: an 80-year-old man, a 78-year-old man, and a 61-year-old woman. Two more victims were announced in Lower Merion, also unrelated: an 84-year-old man and an 87-year-old woman.
>>Sign up for Patch news alerts and the latest coronavirus updates in the local area.
All of the fatalities had underlying medical conditions. Four of them died in a hospital, Montgomery County Commissioner Val Arkoosh said. One died at home.
>>Human Trials Begin On Coronavirus Vaccine Made In Montgomery Co.
Around the county, about 250 residents are currently hospitalized with coronavirus. While concerns about medical equipment shortages and hospital bed availability is ongoing, as of Monday, every hospital still has open beds.
>>>Full coverage of coronavirus in Pennsylvania"
1,/pennsylvania/lowermoreland/lower-moreland-gets-452k-state-maintain-roads-bridges,2019-03-12T14:29:54Z,Lower Moreland Gets $452K From State,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Lower Moreland has received more than $450,000 from the state to help maintain local roads and bridges.
The money is from PennDOT's Municipal Liquid Fuels Program. A total of $500.7 million was committed to municipalities around the state.
""Pennsylvania has the fifth-largest state-maintained road system in the country, and the locally owned network is even larger,"" PennDOT Secretary Leslie S. Richards said in a statement. ""Mobility and safety on all our state's roadways is critical, which is why Governor Wolf has proposed Restore Pennsylvaniato improve roadways in all our communities.""
The total amount of funding is formulated based on local population and the number of roads that are locally owned.
Lower Moreland's net allocation is $452,495.45. That's based on 57.48 miles of local road and a population of 12,982.
The funding also helps local municipalities with things like snow removal and road repaving."
2,/pennsylvania/lowermoreland/lower-moreland-gets-1-2-million-widen-road-handle-traffic,2019-02-05T17:08:38Z,Lower Moreland Gets $1.2 Million For Roads,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Lower Moreland has received $1.2 million in funding to improve roadways in the township.
It's part of $44.5 million in state grants funding transportation-related projects across the state.
Specifically, the money will replace a structurally deficient bridge and expand the roadway on Red Lion to accomodate growing traffic.
""Transportation is critical to connecting communities and economies, and we are an important partner in bringing progress across the state,"" Gov. Wolf said in a statement announcing the funding. ""These investments will improve overall mobility and safety while bolstering commercial projects.""
The money comes from the state's Multimodal Transportation Fund.
Applications were made from around the state, and winners were selected based on a wide variety of criteria, including safety benefits, economic conditions, technical and financial feasibility, job creation, energy efficiency, and sustainability.
The money comes from the state's Multimodal Transportation Fund.
Three other projects in Montgomery County also received funding.
Image via Shutterstock"
3,/pennsylvania/lowermoreland/redistricting-reform-journey-continues,2019-01-22T11:45:49Z,Redistricting Reform: The Journey Continues,0,0,League of Women Voters of Bucks County,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Carol Kuniholm, chair and co-founder of Fair Districts PA and board member of the League of Women Voters of PA, will be the featured speaker on Tuesday, Feb. 19 at 7 PM at the Free Library of Northampton Township, 25 Upper Holland Road in Richboro. Redistricting Reform: The Journey Continues, a public presentation organized by the League of Women Voters of Bucks County (LWVBC), will give people the opportunity to learn what the legislative path forward in 2019 is for reform in Harrisburg. Partisan gerrymandering in PA will be addressed, as will progress toward the reforms advocated by Fair District PA and its coalition partners. The League of Women Voters in Pennsylvania has long recognized that both political parties, when in power, use gerrymandering to their advantage and has been working for redistricting reform since 1990. In addition to her work with both of these nonpartisan groups, Carol Kuniholm received a PhD in literature from the University of Pennsylvania, taught literature and writing at the college level, and worked for over a decade as a youth pastor. In the event on inclement weather, the presentation will be rescheduled to Tuesday, Feb. 26 at 7PM.
The tactics of a few in power in Harrisburg shut down reform and ensured the status quo during the last legislative session despite the tremendous support among both parties for legislation that would have transformed the redistricting process to one handled by an impartial, transparent, and accountable system. ""For too long, policies supported by a majority of Pennsylvanians, common sense solutions that would benefit us all, have been blocked and stalled by special interests and partisan leaders,"" said Kuniholm in December at a Fair Districts PA rally in Harrisburg.
The Pennsylvania Supreme Court declared that Pennsylvania's 2011 congressional district map violated the state constitution. After the 2020 census, Pennsylvania will draft and create new district maps. If the redistricting process isn't changed, the 2021 map will likely be gerrymandered too."
4,/pennsylvania/lowermoreland/county-line-road-be-closed-norfolk-southern,2018-11-30T15:48:37Z,County Line Road Closing Next Week,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Norfolk Southern will shut down a stretch of County Line Road for maintenance next week.
The closure will be in effect from Mann Road to Somers Drive in Upper Southampton and Lower Moreland townships.
The road will be closed from Monday, Dec. 3 to Friday, Dec. 7.
Motorists will be detoured to James Way, Jaymor Road, and Route 232, according to PennDOT.
Backups are possible and motorists should plan for delays.
Patch file photo"
5,/pennsylvania/lowermoreland/lower-moreland-gets-49k-intersection-improvements,2018-11-13T15:40:19Z,LM Gets $49K For Traffic Signal Upgrades,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Lower Moreland has received a grant to replace and modernize traffic signals in the township.
The $49,463 in funding will help improve two intersections: Huntingdon Pike and Philmont Avenue, and Jenkintown Road and Meetinghouse Road. A left turn lane on Philmont will also be altered.
The funding is part of more than $968,000 disbursed to 17 projects around Montgomery County as part of PennDOT's Green Light Go program.
""These grants provide additional support to our municipalities to help them improve their traffic and pedestrian infrastructure,"" Val Arkoosh, Chair of the Montgomery County Board of Commissioners said in a statement. ""The awards will also create savings which will support many other worthwhile municipal projects. Even though they may not always be visible to the motoring public, these projects are important to maintaining the smooth flow of people and goods throughout the county.""
The grants come from revenue sourced from Montgomery County's $5 vehicle registration fee.
Image via Shutterstock"
6,/pennsylvania/lowermoreland/candidates-collett-greenleaf-participate-forum,2018-10-05T12:31:35Z,Candidates Collett and Greenleaf to Participate...,0,0,League of Women Voters of Bucks County,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
(Doylestown) 12th Senatorial District candidates Maria Collett (D) and Stewart Greenleaf, Jr. (R) will be participating in a Candidates Forum moderated by the League of Women Voters of Bucks County on Monday, October 29th. The forum will be held from 7-8:00 PM at Simmons Elementary School, located at 411 Babylon Road in Horsham, PA. Pennsylvania's 12th Senatorial District includes portions of Bucks County and Montgomery County.
In addition to hosting and moderating this nonpartisan forum, the League is encouraging voters to learn more about candidates running in the November 6th General Election by reviewing profiles and position statements submitted by candidates to the website www.Vote411.org. This website is a service of the League of Women Voters' Education Fund. To check on registration status and to find information about absentee ballots, polling locations and much more, visit Pennsylvania's official website www.VotesPa.com.
Residents uncertain of their legislative district can use their address at http://www.legis.state.pa.us/cfdocs/legis/home/findyourlegislator/ to find it or call their county's Board of Elections; Montgomery County call (610­) 278­-3275; Bucks County (215) 348-6154."
7,/pennsylvania/lowermoreland/mosquito-tests-positive-west-nile-virus-lower-moreland,2018-08-09T14:49:03Z,16 Positive Mosquito Samples In Montco,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — The state's latest rounds of testing for West Nile Virus has found 16 positive mosquito samples around Montgomery County, including one in Lower Moreland.
Tests executed on July 31 and Aug. 2 found the positives in seven different communities, including:
Officials have not yet announced any spraying response for these areas. Lower Moreland's Aug. 1 spraying was announced before the latest results were published.
The exact location of each positive sample was not revealed by state authorities, who release the findings of samples each week day during the summer.
While the risk of being infected with West Nile from a mosquito is very low, officials urge residents to take precautions, like using repellent and removing standing water from their property.
The first human positive sample of 2018 in Pennsylvania was found in Allegheny County on July 31. There have been a small handful of cases in the state over the past few years.
West Nile virus appeared for the first time in Pennsylvania in birds, mosquitoes and a horse in 2000.
It is most commonly spread to humans by infected mosquitoes. It can cause febrile illness, encephalitis (inflammation of the brain) or meningitis (inflammation of the lining of the brain and spinal cord), according to the CDC.
Image via Shutterstock"
8,/pennsylvania/lowermoreland/lower-moreland-be-sprayed-west-nile-virus-0,2018-07-30T14:38:47Z,Lower Moreland To Be Sprayed For West Nile Virus ,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Parts of Lower Moreland will be sprayed to help control the mosquito population and limit West Nile Virus.
The spraying will take place on Wednesday, Aug. 1 from 8:15 p.m. to 11:30 p.m. Spraying will take place within the yellow area outlined on the map below. The affected area is bounded by Heaton Road, County Line Road, and Byberry Road.
A rain date for the spraying has been set for Aug. 8.
The spraying will target areas where mosquitoes breed with Duet duel-action adulticide. Spray will be dispersed at a rate of .75 ounces per acre.
It is recommended that residents stay indoors for the duration of the spraying and for about 30 minutes after.
Image via Shutterstock"
9,/pennsylvania/lowermoreland/7-positive-west-nile-samples-found-lower-moreland,2018-07-27T15:50:47Z,West Nile Virus Found Across Montgomery County,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — The latest rounds of West Nile Virus testing found positive samples in 12 communities across Montgomery County, including several in Lower Moreland.
The samples came from five different tests that have been done by the Department of Health's West Nile Control Program.
The testing is done as part of routine surveillance for the virus. Mosquitoes are trapped around the county in breeding areas and are tested daily.
The following towns had positive samples Wednesday, the Pennsylvania's West Nile Control Program announced:
According to the CDC, about one in five people who are infected develop a fever and other symptoms. About one out of 150 infected people develop a serious, sometimes fatal, illness. You can reduce your risk of West Nile Virus by using insect repellent and wearing long-sleeved shirts and long pants to prevent mosquito bites, the CDC said.
West Nile virus appeared for the first time in Pennsylvania in birds, mosquitoes and a horse in 2000.
It is most commonly spread to humans by infected mosquitoes. It can cause febrile illness, encephalitis (inflammation of the brain) or meningitis (inflammation of the lining of the brain and spinal cord), according to the CDC.
Image via Shutterstock"
10,/pennsylvania/lowermoreland/lower-moreland-gets-395k-state-improve-traffic-signal,2018-07-12T17:52:12Z,Funding Awarded For New Local Traffic Signals,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Lower Moreland Township has received $395,000 is state funding to make critical improvements to a local intersection.
The signal at Huntingdon Pike and Philmont Avenue/Welsh Road will be completely modernized, with new mast arms, a controller assembly, vehicle detection, and accessible pedestrian signals, according to Gov. Wolf's Office.
The project is one of nine in Montgomery County and one of 70 across Pennsylvania that was approved Thursday by the state.
""This is the fourth round of funding disbursed to support increased safety and mobility across more Pennsylvania towns,"" Gov. Wolf said in a statement.
Funded through the Pennsylvania Department of Transportation's ""Green Light-Go"" program, grants are provided as reimbursement to municipalities for updates to improve the efficiency and operation of existing traffic signals.
Grant funding through the Green Light – Go Program may be utilized for a range of operational improvements including LED technology, traffic signal retiming, and related issues.
Image via Shutterstock"
11,/pennsylvania/lowermoreland/double-murder-suspect-shot-police-lower-moreland,2018-03-06T15:11:19Z,Double Murder Suspect Shot In Lower Moreland,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA -- A man who police said killed his wife and mother in law was shot to death by police in Lower Moreland, authorities said.
The incident occurred on March 2 at around 7:30 p.m. at a home on the 3400 block of Chippendale Street in Northeast Philadelphia.
The suspect's wife, 42, and mother-in-law, 71, were both shot in the head, and died soon after police arrived on the scene.
The suspect, 44, fled the area after the shooting. His silver Nissan Rogue was spotted on Veree and Red Lion roads in the city's Bustleton section, police said.
Officers pursued the vehicle to Lower Moreland Township, where the vehicle pulled over in the parking lot of the Bethayres Train Depot on Station Avenue, police said.
The suspect got out of his vehicle and allegedly pointed a gun at officers, which led to four officers to shoot at the suspect, striking him in the right arm, police said.
Police said the suspect got back inside his vehicle and was then arrested. He is in stable condition, police said.
Police found a loaded 9mm handgun in the suspect's vehicle.
Authorities have not released the names of the victims or suspect.
Image via Shutterstock"
12,/pennsylvania/lowermoreland/speak-your-mind-pen-letter-editor-lower-moreland-patch,2017-11-09T18:30:55Z,Submit A Letter to the Editor,0,0,Justin Heinze,Patch Staff,"With the 2017 general election all said and done, how do you feel about the state of your town? Did your candidate win? What are the most important issues that you feel winning candidates need to address?
Patch would love to help you make your voice heard. Here's how to do it.
Email your letter to justin.heinze@patch.com with the subject line ""Patch Letter to the Editor"" for consideration. Be sure to include your full name, where you live, the name of the street you live on, and any relevant affiliations.
We try and publish emailed Letters to the Editor within 48 hours (during the week). We do accept letters submitted and published to other outlets. Additionally, we encourage you to submit along with your letter.
Patch file photo"
13,/pennsylvania/lowermoreland/letter-pennsylvania-cpas-weigh-tax-reform,2017-11-09T17:10:30Z,Pennsylvania CPAs Weigh In On Tax Reform,0,0,Justin Heinze,Patch Staff,"The following letter to the editor was submitted by Joseph E. Seibert, CPA, president of the Pennsylvania Institute of CPAs. To submit a letter to the editor at Patch, please email justin.heinze@patch.com. Letters are written by readers and are not reflective of the views of Patch or its employees.
Dear Editor,
The time for tax reform is now, and members of the Pennsylvania Institute of CPAs encourage Congress to address the core issues of good tax policy. Compliance hurdles for taxpayers, administrative complexity, and enforcement challenges for the IRS are primary obstacles in need of change.
Making the business case for the need for change, CPAs note that the last tax reform package was passed more than 30 years ago, and the year-by-year fixes over that time have made it challenging for business owners and entrepreneurs to strategically grow their business. New regulations and extender bills passed annually make it difficult for taxpayers to manage their tax obligations. When cash flow is uncertain, it affects a business owner's ability to hire and expand. America's entrepreneurs need a tax code that is simple, transparent, and certain.
CPAs have long advocated for a tax system that uses a consistent definition of taxable income without any phaseouts. New tax legislation should provide a clear definition of taxable income, simple and transparent tax rate schedules that are applied consistently across all rate brackets, and elimination of additional surtaxes. A taxpayer should understand their tax obligation and be able to plan accordingly.
Pennsylvania CPAs believe in good tax policy, and use 10 guiding principles, as outlined in the PICPA's ""Guiding Principles of Good Tax Policy"" when analyzing a tax law or tax change. Some of these principles include equity and fairness, effective tax administration, simplicity, and economic growth and efficiency.
This framework can help policymakers build an effective roadmap to analyze proposals addressing changes to existing tax laws and has been shared with all members of the Pennsylvania delegation to Congress.
Sincerely,

Joseph E. Seibert, CPA
President – PICPA
Patch file photo"
14,/pennsylvania/lowermoreland/lower-moreland-election-results-republicans-sweep-school-board,2017-11-08T22:19:14Z,Lower Moreland 2017 Election Results,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Here are the results of yesterday's election in Lower Moreland, where races for commissioner and school board director were held.
The township was one of the few locations in Montgomery County where Republicans had an advantage, as conservatives swept the school board (narrowly). Republicans only won one of three Commissioner races, but they won an unopposed tax collector race.
The candidate's party, name, total number of votes, and vote percentage are included below.
The winners are italicized.
Commissioner Ward 2

Dem - Jill Blumhardt 320 55.85%
Rep - Joseph S. Pace 253 44.15%
Commissioner Ward 4
Rep - Ferdinand Gonzales 288 99.65%
Write-In 1 0.35%

Commissioner Ward 6
Dem - Denise A. Kuritz 295 100.00%
Write-In 0 0.00%



Tax Collector
Rep - Jane Ann Saile 1,480 99.80%
Write-In 3 0.20%
School Director
Dem - Carrie Givhan 1,118 11.81%
Dem - Alex Feldman 1,169 12.35%
Dem - Dharshini Chakkaravarthi 1,108 11.71%
Dem - Kristen Repyneck Dennis 1,139 12.04%
Rep - Steven Geiger 1,328 14.03%
Rep - Michael A. Berardi 1,207 12.75%
Rep - Howard Patent 1,221 12.90%
Rep - Lance Wolbransky 1,174 12.40%
Patch file photo"
15,/pennsylvania/lowermoreland/466k-main-replacement-project-launches-lower-moreland,2017-09-22T15:43:25Z,$1.5 Million In Infrastructure Projects Launched,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Aqua Pennsylvania has invested $1.5 million in infrastructure projects that are now underway in Montgomery County, they said on Friday.
Significant projects are underway across the county, including in Cheltenham, Lower Moreland, and Whitemarsh.
Officials said that the projects will reduce discolored water and improve firefighting capabilities in the area. According to Aqua, projects include:
Motorists should plan for delays in these areas and consider alternate routes.
This work is part of Aqua's larger $62.9 million capital program for 2017, officials said.
Patch file photo"
16,/pennsylvania/lowermoreland/lower-moreland-mosquito-spraying-canceled-due-rain,2017-09-06T20:30:19Z,Lower Moreland Mosquito Spraying Cancelled,0,0,Justin Heinze,Patch Staff,"LOWER MORELAND, PA — Mosquito spraying scheduled in Lower Moreland on Wednesday evening has been canceled due to rain, county officials announced.
Spraying will be rescheduled for the agreed upon rain date of Sept. 13, from 8 p.m. to 11 p.m.
The area within the yellow lines on the map below will be sprayed with adulticide to help control the spread of West Nile Virus in the area.
For more information, see Patch's full coverage here.
Patch file photo"
