,url,Date,Title,Thank,Reply,author,title,context
0,/michigan/macomb/vice-president-mike-pence-visit-macomb-county-thursday,2020-06-16T14:55:23Z,Vice President Mike Pence To Visit MI Thursday,0,0,Joey Oliver,Patch Staff,"MACOMB COUNTY, MI — Vice President Mike Pence is planning a visit to Michigan on Thursday, including stops at a pair of Macomb County businesses.
Pence's travel plans include lunch at Engine House, a bar owned by two Detroit firefighters, MLive reported. After the stop in Detroit, Pence will tour Chardam Gear Company and visit Casadei Structural Steel Inc., where he will deliver remarks before returning to Washington D.C.
""In 2016, Donald Trump promised that revitalizing American manufacturing would be one of his top priorities in the White House and since taking office, he has delivered on that promise for the hardworking men and women of Michigan,"" Michigan GOP Chairwoman Laura Cox said. ""I am very grateful that Vice President Pence will get to see two great Michigan manufacturers in action this Thursday, as our state begins its road to reopening.""
The event is part of the president's ""Great American Comeback Tour."" He made a prior tour stop in Pennsylvania on Friday. Additional details, such as whether the stops will be open to the public, have not been released.
Pence's planned visit comes after President Donald Trump visited Michigan in May. Michigan figures to be a contested state for Trump, after recently released polls suggested he trailed Democratic Nominee Joe Biden by 16 points, according to the Detroit Free Press."
1,/michigan/macomb/township-macomb-publishes-update-march-25-board-trustees-meeting,2020-03-20T14:53:40Z,Update On March 25 Board Of Trustees Meeting,0,0,Press Release Desk,News Partner,"Press release from The Township of Macomb:
March 19, 2020
On March 18, 2020, Governor Whitmer issued an executive order regarding the Open Meetings Act, which affects the manner in which the Township conducts its Board of Trustees Meetings. Pursuant to the Governor's orders, the March 25, 2020 Board of Trustees meeting is scheduled to be open to the public. Public comments for both agenda and non-agenda items will be permitted. For the safety of our residents and employees, seating in the Board Room will be sectioned to comply with suggested social distancing guidelines.
The Township will continue to monitor updates as they are released. As we are operating in a rapidly changing environment, Board of Trustees meetings will be conducted only in manners compliant with Executive Orders and the Open Meetings Act.
This press release was produced by the Township of Macomb. The views expressed here are the author's own."
2,/michigan/macomb/macomb-township-important-voter-registration-info,2020-02-28T18:48:03Z,Macomb Important Voter Registration Info,0,0,Press Release Desk,News Partner,"From The Township of Macomb:
February 25, 2020

Beginning February 25, voters still may register and be eligible to vote in the March election by appearing in person in the clerk's office and providing residency verification.
Documents that may be accepted if additional proof of residency is required (these items must include the applicant's name and current address):
• a current utility bill
• bank statement
• paycheck
• government check
• other government document
This press release was produced by the Township of Macomb. The views expressed here are the author's own."
3,/michigan/macomb/macomb-board-review-appointments-march-9-10,2020-02-04T20:50:41Z,Macomb Board Of Review Appointments March 9 & 10,0,0,Press Release Desk,News Partner,"From The Township of Macomb:
February 4, 2020
If you wish to make an appointment for an appeal hearing with the Board of Review, please call the Assessor's Office. An appeal must be made by the party to whom the property is assessed or their authorized agent. Please see ""Policies and Guidelines for Board of Review"" at the end of this section. Property owners protesting assessments should be prepared to present factual evidence to the Board of Review to support their contention that the Assessed Value exceeds 50% of the Market Value (True Cash Value) of the property. You will need to complete a Board of Review Petition form prior to your hearing, so please arrive a few minutes prior to your scheduled time. Also, you must bring three (3) copies of all information you would like the Board to consider (copies will not be returned to you and copies will not be made when you arrive for your scheduled appointment time). You will have approximately 10 Minutes to present your case to the Board. You will be notified by mail of the Board's decision. The March Board of Review does not have the authority to change the increase in taxable value based on the Inflation Rate Multiplier of 1.019%.
A non-resident may protest to the Board of Review by letter. Letter appeals must be accompanied by a completed Board of Review Petition Form L-4035. Letter appeals must be received by the Board of Review prior to their adjournment on March 10th, 2020 at 5:00 p.m.
The Board of Review may also consider Poverty Exemption applications. Poverty Exemption guidelines have been adopted by the Macomb Township Board of Trustees. Property owners applying for a Poverty Exemption must submit a completed Hardship Application, including all required documentation. Applicants must personally appear before the Board of Review and request an application when scheduling an appointment. All hardship applications must be received by the Board of Review no later than Friday, March 6th, 2020 at 5:00 p.m. Hardship applicant hearings will be scheduled on a day following the receipt of the completed application.
March Board of Review date and times:Monday, March 9, 20201:00 p.m. to 9:00 p.m.Tuesday, March 10, 2020 9:00 a.m. to 5:00 p.m.
Appointments are made on a first come, first served basis. Property owners are encouraged to make their appointments as soon as possible.
This press release was produced by the Township of Macomb. The views expressed here are the author's own."
4,/michigan/macomb/how-apply-macomb-townships-open-board-trustees-seat,2019-12-22T02:33:13Z,How To Apply For Macomb Township Board Of Trustees,0,0,Press Release Desk,News Partner,"From the Township of Macomb:
Posted on December 20, 2019
The Supervisors office will be accepting applications for the open seat on the Board of Trustees until January 10. A special meeting will be held on January 15 with the purpose of meeting to review applications and hear remarks from residents seeking appointment to the vacant township trustee seat. Board of Trustees home page click here.
Click here for form.
This press release was produced by the Township of Macomb. The views expressed here are the author's own."
5,/michigan/macomb/state-spending-plan-headed-governor-final-approval,2019-09-24T21:19:02Z,State spending plan headed to governor for...,0,0,Christina Guenthner,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Rep. Jeff Yaroch voted in favor of a new Michigan state budget investing more in education, roads and other essential services – without a tax increase.
Yaroch's votes came as the Legislature completed its work on a new state budget for the fiscal year starting Oct. 1. Last week, Yaroch helped approve substantially increased investment in Michigan students as part of the same overall budget.
The schools budget includes $15.2 billion for Michigan students, increasing the foundation allowance by more than $300 million – up to $240 more per student. Additional support is provided for special education, early literacy, school safety and several other programs.
""As the son of a 1st grade teacher, it's incredibly important to me that we continue to correct the inequity in per pupil funding that Proposal A was meant to fix,"" Yaroch said. ""This budget invests more in every Michigan student, to help them succeed regardless of whether they choose a four-year degree or a skilled trade.""
Yaroch serves as chair of the House's budget subcommittee for the Department of Licensing and Regulatory Affairs. As part of his plan for the LARA budget, Yaroch fought to secure funding for the First Responders Presumed Coverage Fund after the governor's budget proposal failed to provide sustained funding for it. The fund is used to help firefighters with job-related cancers.
""This fund is crucial to ensuring that we take care of the firefighters who take care of us,"" said Yaroch, who served as a firefighter and paramedic for 27 years before becoming a state legislator. ""I'm pleased we were able to shore up the fund and I am committed to a deep dive to pursue long-term funding options.""
The LARA budget includes funding for the state's urban search and rescue team which was also not funded in the governor's budget. This is an important resource that brings unique rescue assets in times of crisis. The Bureau of Fire Services also received additional funding to assist with firefighter training on foam with PFAS.
The Legislature's budget also places a priority on:
""I believe we took a serious needs versus wants approach to prioritize spending,"" Yaroch said. ""I think the residents in my district feel taxed out and they are looking for our state to live within its budget. Unlike Congress, I am confident that the Michigan Legislature and the governor will put people before partisan politics and get the budget done without a shut down."""
6,/michigan/macomb/united-way-ceo-dc-behalf-working-families,2019-01-08T17:11:36Z,United Way CEO to DC on Behalf of Working Families,0,0,Vickie Winn,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.

United Way for Southeastern Michigan President and CEO Dr. Darienne Driver to join nearly 80 new United Way executives on Capitol Hill in Washington, D.C. as part of the New Presidents Forum. The freshmen executives intend to amplify and call attention to the EITC via a digital advocacy call-to-action effort in support of expanding the Earned Income Tax Credit (EITC), considered the most effective anti-poverty tool in the nation. Dr. Driver and her fellow executives will unite in D.C. on behalf of working families for EITC Advocacy Day on Thursday, January 10, 2019.


""This effort speaks to the core of our service within communities toward uplifting people out of poverty and improving lives in measurable and lasting ways,"" says Dr. Driver. ""The EITC is an important viable tool with immediate impact on the lives of working families, helping them keep more of what they earn to pay for life's necessities such as groceries, child care and more. I look forward to joining my fellow United Way executives in this show of unity around this important issue.""


Data from the ALICE (Asset Limited, Income Constrained, Employed) report created by the Michigan Association of United Ways (MAUW) and released last year, shows that among Michigan's 3.86 million households 15 percent earn below the federal poverty level and another 25 percent are ALICE, down slightly from 2010 but still above the 2007 level. In recent years, Michigan's economy saw only incremental growth making it difficult for many households to improve their financial status. Between 2012 and 2015, the economy showed signs of improvement, yet 40 percent of households in Michigan struggled financially, as the cost of living continued to exceed what most wages paid. MAUW is planning to release its latest ALICE report in March.


United Way for Southeastern Michigan seeks the public's support in joining this effort by contacting their members of congress at http://cqrcengage.com/unitedway/lookup. They may also help amplify the benefits of the EITC via their Facebook and Twitter using the hashtags: #ExpandEITC #UWAdvocate #UWNewCEOs.


Driver's visit on Thursday will mark the second time in three years a United Way CEO has traveled to D.C. to advocate on behalf of those in underserved communities in southeast Michigan. In 2016, former United Way President Dr. Herman Gray was invited to a White House Forum on the Social Innovation Fund to give opening remarks.


For more information about United Way for Southeastern Michigan and to learn how you may give, advocate or volunteer, visit UnitedWaySEM.org."
7,/michigan/macomb/rep-marino-calls-governor-remove-macomb-township-trustee,2018-04-18T14:12:08Z,Rep. Marino calls on governor to remove Macomb...,0,0,Christina Guenthner,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
State Reps. Steve Marino and Jeff Yaroch today sent Gov. Rick Snyder letters calling on him to exercise his authority to remove a Macomb Township trustee from office.
Rep. Marino said Trustee Dino Bucci has exhibited corrupt conduct in office and gross neglect of duty, both of which the governor can use as grounds for his removal under the Michigan Constitution.
""Dino Bucci's actions while serving as both a township trustee and public servant in the Macomb County Department of Public Works are disgraceful and unacceptable,"" Marino said. ""Even more shameful is the fact that he continues to receive cadillac health benefits, collect a salary, and hold his title while skipping meetings and avoiding all other official responsibilities.""
Rep. Yaroch said: ""Public Works Commissioner Candice Miller has relieved Mr. Bucci of his duties at the Macomb County Works office, which is rebuilding the trust of Macomb County in that department. It is time for Gov. Snyder to do the same to rebuild the trust of our citizens in their government.""
Bucci was indicted by a federal grand jury in November 2017 on eighteen counts of conspiracy, bribery, embezzlement, extortion, mail fraud and money laundering. The charges are in connection with public contracts in Macomb Township and the Macomb County Department of Public Works, where he worked until 2017.
""Trustee Bucci has clearly lost the trust and confidence of both his colleagues and the public,"" Marino said. ""If he won't resign, it's time for Gov. Snyder to exercise the authority granted to him by the state constitution and allow our community to begin the healing process.""
The legislators, who each represent a portion of Macomb Township in the Michigan House, also sent letters to the Attorney General's Office requesting a formal opinion clarifying the governor's authority to remove Bucci from office."
8,/michigan/macomb/shelby-township-man-arrested-shooting-threat-against-mall,2018-03-13T16:58:10Z,Shelby Man Arrested For Threat Against Mall,0,0,Rebecca Golden,Patch Staff,"Tyler Tindell, 20, could get up to 20 years in prison for making a terrorist threat, according to police. Tindell allegedly sent text messages threatening to commit a mass shooting at Lakeside Mall in Sterling Heights. Three different police departments coordinated Tindell's arrest Friday, also executing a search warrant at his home and finding a gun.
Shelby Township police ""received a credible tip outlining a potential domestic terrorist act planned for Lakeside Mall,"" Shelby Township Deputy Chief Mark Coil said in a release.
Initially held on a cash or surety bond of $150,000 - meaning he would need to post the full amount to be released instead of 10% of the bond - Tindell was given house arrest Monday with the stipulation that he not approach either Lakeside Mall or Eisenhower High School.
Sterling Heights Police Chief Dale Dwojakowski said in a statement the department received help from Macomb's FBI Violent Crimes Task Force ""quickly to locate the suspect,"" adding ""At no time was the safety of anybody at Lakeside Mall in jeopardy.""
Tindell has a probable cause hearing March 26.
Photo via Shelby Township Police."
9,/michigan/macomb/macomb-township-appoints-ethics-committee,2018-03-06T20:31:44Z,Township Selects Ethics Committee Members,0,0,Rebecca Golden,Patch Staff,"The Macomb Township Board of Trustees voted its regular board meeting Wednesday to appoint new members to an ethics advisory committee.
""[T]his committee will research, develop and report to the township board a possible ethics ordinance or other means to address ethical behavior,"" according to Township Treasurer Karen Goodhue.
After reviewing the 23 applications submitted, each board member got to select one person to appoint to the committee.
The new ethics committee members appointed are:
The ethics committees' first meeting has yet to be determined.
At Wednesday's meeting Trustee Timothy Bussineau said that the committee needs to be completely free of ties to the ongoing public corruption scandal that saw former trustees indicted last year for taking bribes, among other charges.
""I wanted to make sure that [the committee members] had no ties or relationships that had the appearance of impropriety to current or former trustees that are part of the ongoing federal investigation or any kind of county document,"" Bussineau said.
Photo of Timothy Bussineau via Macomb Township."
