,url,Date,Title,Thank,Reply,author,title,context
0,/new-jersey/matawan-aberdeen/protest-planned-keyport-saturday,2020-06-06T02:00:35Z,Protest Planned For Keyport Saturday,1,38,Carly Baldwin,Patch Staff,"KEYPORT, NJ — There is a planned Black Lives Matter/March for Justice march Saturday, June 6 in Keyport.
Participants will march in support of justice for George Floyd.
The march will begin at 1:00 p.m. in the area of St. Joseph's Church on Maple Place in Keyport. From there, it will proceed down Maple Pl. to Lower Main St., and onto Main St. in Matawan where it will end at Matawan Police Headquarters.
Matawan police say they support the right of peaceful protest and have ""opened a dialogue with the event organizers, to protect all involved, including those marching and the residences and businesses along the route. We stand united with our community and are here 24/7 to provide a safe community with fairness, compassion and respect."""
1,/new-jersey/matawan-aberdeen/aberdeen-monmouth-county-has-8-455-positive-cases-covid-19-june-4-2020,2020-06-05T17:34:19Z,Monmouth County Updated Coronavirus Totals June 4,0,1,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 5, 2020
6/4/2020 - Monmouth County has 8,455 positive cases of COVID-19 as of 6/4/2020
Monmouth County has 8,455 positive cases of COVID-19
FREEHOLD, NJ – Monmouth County Freeholder Director Thomas A. Arnone and Freeholder Deputy Director Susan M. Kiley have announced that, as of June 4, there are 55 new positive cases of COVID-19 in Monmouth County, bringing the total to 8,455. The State of New Jersey maintains a COVID-19 dashboard, which has useful information on case numbers including long term care information for Monmouth County facilities. To access this information, go to https://www.nj.gov/health/cd/topics/covid2019_dashboard.shtml and click on the long term care tab. To file a complaint regarding a long term care facility in Monmouth County, visit the State of New Jersey's complaints and hotlines page available at www.state.nj.us/health/healthfacilities.
The breakdown by municipality is as follows:
If you would like to read more Monmouth County news updates and information regarding the COVID-19 situation, go to www.visitmonmouth.com
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
2,/new-jersey/matawan-aberdeen/aberdeen-what-know-governor-murphys-executive-order-no-150,2020-06-05T17:32:20Z,Aberdeen: Gov. Murphy's Executive Order No. 150,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 5, 2020
6/4/2020 - Governor Murphy Signed Executive Order No. 150 Allowing Restuarants & Bars to Reopen June 15
Yesterday, Governor Murphy signed Executive Order No. 150 allowing restaurants and bars to open as of June 15 for outdoor dining. take-out and delivery ONLY! Below are the protocols provide by the New Jersey Department of Health for all restaurants & bars.
Food or beverage establishments offering service at outdoor areas pursuant to Executive Order No. 150 (2020) must impose the following requirements on employees:
1. Require employees to wash and/or sanitize their hands when entering the food or beverage establishment.
2. Conduct daily health checks (e.g. temperature screening and/or symptom checking) of employees safely and respectfully.
3. Require employees with symptoms of COVID-19 (fever, cough, or shortness of breath) be sent home.
4. Require all employees to wear face coverings, except where doing so would inhibit the individual's health and require employees to wear gloves when in contact with customers and when handing prepared foods or serving food, utensils, and other items to customers.
5. Provide all employees with face coverings and gloves.
6. Provide employees break time for repeated handwashing throughout the workday.
7. Provide sanitization materials, such as hand sanitizer and sanitizing wipes to staff.
Food or beverage establishments offering service at outside areas pursuant to Executive Order No. 150 (2020) must institute the following policies with respect to customers:
1. Inform customers that safety measures such as social distancing, wearing face coverings when they are away from their table and unable to social distance or when they are inside the indoor portion of the premises of the food or beverage establishment (unless the customer has a medical reason for not doing so or is a child under two years of age). Hygiene practices must be adhered to while in the food or beverage establishment.
2. Encourage reservations for greater control of customer traffic/volume.
3. Require customers to provide a phone number if making a reservation to facilitate contact tracing.
4. Recommend customers wait in their cars or away from the food or beverage establishment while waiting for a table if outdoor wait area cannot accommodate social distancing.
5. Alert customers via calls/texts to limit touching and use of shared objects such as pagers/buzzers.
6. Encourage the use of digital menus.
7. Decline entry to the indoor portion of the establishment to a customer who is not wearing a face covering, unless the customer has a medical reason for not doing so or is a child under two years of age.
8. Provide a hand sanitizer station for customers.
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
3,/new-jersey/matawan-aberdeen/aberdeen-monmouth-county-has-8-400-positive-cases-covid-19-june-3-2020,2020-06-04T17:11:28Z,Monmouth County Coronavirus Update As Of June 3,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 4, 2020
6/3/2020 - Monmouth County has 8,400 positive cases of COVID-19 as of 6/3/2020
Monmouth
County has
8,400 positive cases
of COVID-19

FREEHOLD, NJ – Monmouth County Freeholder Director Thomas A. Arnone and
Freeholder Deputy Director Susan M. Kiley have announced that, as of June 3, there
are 43 new positive cases of COVID-19 in Monmouth
County, bringing the total to 8,400.
The Freeholders remind residents that the Monmouth County
Division on Aging, Disabilities and Veterans Services has put together a COVID19
Pandemic Resource Guide, which serves as a one-stop location for information
about a range of necessary services including food pantries, designated senior
store hours, food delivery and curbside service, pharmacies, crisis counseling,
behavioral health services, health department and poison control, caregiver
support, disability services, veterans and first responders support and
benefits as well as financial assistance. The guide is available on www.visitmonmouth.com
and on www.monmouthacts.org.
The breakdown by municipality is as follows:
If you would like to read more Monmouth County news
updates and information regarding the COVID-19 situation, go to www.visitmonmouth.com.
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
4,/new-jersey/matawan-aberdeen/aberdeen-monmouth-county-has-8-357-positive-cases-covid-19-june-2-2020,2020-06-03T17:16:37Z,Monmouth County Updated COVID-19 Totals - June 2,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 3, 2020
6/2/2020 - Monmouth County has 8,357 positive cases of COVID-19 as of 6/2/2020
Monmouth County has 8,357 positive cases
of COVID-19

FREEHOLD, NJ – Monmouth County Freeholder Director Thomas A. Arnone and Freeholder Deputy Director Susan M. Kiley have announced that, as of June 2, there are 56 new positive cases of COVID-19 in Monmouth County, bringing the total to 8,357.
The Freeholders remind residents that the Monmouth County Division on Aging, Disabilities and Veterans Services has put together a COVID19 Pandemic Resource Guide, which serves as a one-stop location for information about a range of necessary services including food pantries, designated senior store hours, food delivery and curbside service, pharmacies, crisis counseling, behavioral health services, health department and poison control, caregiver support, disability services, veterans and first responders support and benefits as well as financial assistance. The guide is available on www.visitmonmouth.com and on www.monmouthacts.org.
The breakdown by municipality is as follows:
If you would like to read more Monmouth County news updates and information regarding the COVID-19 situation, go to www.visitmonmouth.com.
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
5,/new-jersey/matawan-aberdeen/aberdeen-residents-stage-2-reopening-new-jersey-set-june-15,2020-06-03T17:14:31Z,Aberdeen: Stage 2 Of Reopening New Jersey June 15,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 3, 2020
6/2/2020 - Stage 2 of Reopening New Jersey
Aberdeen Township is happy to announce that Governor Murphy announced yesterday, NJ will be moving into Stage 2 of Reopening as of June 15. Effective June 15, outdoor dining at restaurants can begin as well as non-essential in-person retail shopping. Effective June 22, salons and barbershops can reopen. All reopening must be in strict adherence with New Jersey Department of Health guidance. To follow, will be gyms and health clubs opening
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
6,/new-jersey/matawan-aberdeen/aberdeen-township-host-council-meeting,2020-06-02T17:43:50Z,Aberdeen Township To Host Council Meeting,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 2, 2020
6/5/2020 - Aberdeen Township To Host Council Meeting Thursday, June 4 via Zoom
TOWNSHIP OF ABERDEEN
PUBLIC MEETING NOTICE
PLEASE BE ADVISED THAT THE JUNE 4, 2020 ABERDEEN TOWNSHIP COUNCIL MEETING WILL BE ""BROADCASTED"" DUE TO THE CORONAVIRUS AND THE NEED FOR SOCIAL DISTANCING, THE MEETING WILL BE AVAILABLE TO THE PUBLIC IN A LIVE FEED THROUGH ZOOM.
THE MEETING WILL BEGIN AT 6:30 P.M., THE TOWNSHIP COUNCIL WILL GO IMMEDIATELY INTO EXECUTIVE SESSION. THE REGULAR PUBLIC MEETING WILL BEGIN AT ITS NORMAL TIME OF 7:30 P.M.
BELOW IS THE LINK TO ACCESS THE MEETING. INSTRUCTIONS ARE PROVIDED ON THE TOWNSHIP OF ABERDEEN WEBSITE: WWW.ABERDEENNJ.ORG ON HOW TO OBTAIN REMOTE ACCESS:
Join from a PC, Mac, iPad, iPhone or Android device:
Please click this URL to join.
https://zoom.us/j/93510810478?...
Or join by phone:
Dial (for higher quality,, dial a number based on your current location):
US: +1 929 205 6099 or +1 312 626 6799 or +1 346 248 7799 or +1 669 900 6833
Or +1 253 215 8782 or +1 301 715 8592
Meeting ID: 935 1081 0478
Password: 238247
Karen Ventura, RMC/CMC
Municipal Clerk
Click HERE for Council Meeting Instructions.
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
7,/new-jersey/matawan-aberdeen/aberdeen-what-know-gov-murphys-executive-order-no-149,2020-06-01T17:16:45Z,Aberdeen: Gov. Murphy's EO. 149,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 1, 2020
6/1/2020 - Executive Order No. 149 Allows the Reopening of Child Care Centers, Youth Day Camps and Non-Contact Organized Sports
Governor Phil Murphy has lifted restrictions allowing the reopening of child care centers and youth day camps, and the resumption of non-contact organized sports over the next six weeks.
Please visit https://covid19.nj.gov for the most up to date information from the State of New Jersey.
Please continue to follow all public health guidance so we can continue to re-open all private businesses and public institutions.
Executive Order #149:
Child care centers may reopen effective June 15, 2020
Non-contact organized sports may resume effective June 22, 2020
Youth Day Camps can begin July 6, 2020
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
8,/new-jersey/matawan-aberdeen/aberdeen-monmouth-county-coronavirus-update-june-1-2020,2020-06-01T17:15:06Z,Monmouth County Coronavirus Update As Of June 1,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
June 1, 2020
6/1/2020 - Monmouth County has 8,301 positive cases of COVID-19 as of 6/1/2020
Monmouth County has 8,301 positive cases
of COVID-19

FREEHOLD, NJ – Monmouth County Freeholder Director Thomas A. Arnone and Freeholder Deputy Director Susan M. Kiley have announced that, as of June 1, there are 48 new positive cases of COVID-19 in Monmouth County, bringing the total to 8,301.
The Freeholders remind residents and visitors to go to www.TakeOutinMonmouth.com for information about restaurants, Made in Monmouth vendors, wineries, breweries and garden centers that are open for take-out, delivery and curbside service.
The breakdown by municipality is as follows:
If you would like to read more Monmouth County news updates and information regarding the COVID-19 situation, go to www.visitmonmouth.com.
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
9,/new-jersey/matawan-aberdeen/aberdeen-grass-cut-it-leave-it,2020-05-29T18:13:22Z,Aberdeen: Grass Cut It And Leave It,0,0,Press Release Desk,News Partner,"Press release from Township of Aberdeen:
May 28, 2020
5/28/2020 - Grass Cut It and Leave It
Save money and time and reduce waste by leaving grass clippings on your lawn when you mow, and let nature do the recycling!!
You'll save money on fertilizer since grass clippings return nutrients to the soil. Plus, you'll avoid purchasing yard waste bags. You'll save time since you won't have to stop and empty your lawnmower bag and then haul the bags of clippings to the curb.
You can achieve the lawn you want and also protect our environment when you Cut It and Leave It! Learn more at www.nj.gov/dep/dshw/recycling/Grass%20Cut%20It%20and%20Leave%20It.pdf.
This press release was produced by the Township of Aberdeen>. The views expressed here are the author's own."
