,url,Date,Title,Thank,Reply,author,title,context
0,/new-jersey/morristown/when-will-nj-hit-stage-2-reopening-its-all-testing,2020-05-28T13:00:00Z,When Will NJ Hit Stage 2 Reopening? ,1,31,Russ Crespolini,Patch Staff,"NEW JERSEY - Gov. Phil Murphy has been lifting his coronavirus restrictions over the last several weeks, but says he wants more data before moving the Garden State to ""stage two.""
So he's asking that residents get tested, and he gave some hints that he's ready to announce more reopenings as early as Friday because of the progress New Jersey has made in diagnosing and containing the virus. Read more: Gov. Murphy: 'Hard Dates' For NJ Coronavirus Reopening (UPDATE)
""Every resident in every community has a role to play in our restart and recovery,"" Murphy said at a news conference this week. ""And every resident that gets tested sends a strong message to their neighbors that they are ready to be a part of a bright future for our state.""
Murphy had set a goal of 20,000 tests per day by the end of May, a goal that was met last week. By meeting that goal, New Jersey could find itself moving to stage two as early as this week.
That stage would mean allowing work activities at physical locations if they adhere to safeguarding and modification guidelines.
Phased-in businesses may include:
In stage two, all workers who can work from home continue to do so.
""The more people that do get tested the stronger our data becomes and the stronger our data becomes the stronger our confidence will become that we can take the next steps in responsibly restarting our economy and getting our recovery underway,"" Murphy said.
Murphy did say that New Jersey's numbers backslid slightly on Thursday, noting that the rate of new hospitalizations ticked up slightly. Read more: Gov. Murphy: NJ Backslides Slightly In Coronavirus Outbreak
But Murphy also said that New Jersey is making progress to the point that people may be better able to ""trust"" that they'll be safe to get a haircut or send their kids to daycare.
""Without this trust there can be no restart or recovery,"" he said. ""No one is going to want to go to a restaurant or a store or the gym or to the beach or a graduation if they don't have confidence that they can safely do so.""
Murphy said that building out capacity is key with 164 sites both publicly and privately up and running across the state. Click here to find out where you can get tested.
""Growing our capacity to meet our testing goal is only half the battle,"" he said. ""You getting tested, by the way, is the other half.""
Reiterating that data determines dates, Murphy said New Jersey can't consider specific timetables until specific benchmarks on key factors are met.
""In our hospitals we have seen the numbers we've needed to see to begin our restart,"" he said. ""We need to keep working, and we need to get more data. More data means we get a better picture and more data means we get a better sense of where COVID-19 still exists and where hot spots could become flareups, so we can take quick corrective measures to stamp them out. And that data must come first and foremost from a rigorous testing program.""
New Jersey began COVID-19 testing mid-March with a few hundred tests a day. By the end of that month that number had swelled to 6,000. April saw it double to 12,000 as New Jersey moved closer to the goal of 20,000 tests a day be the end of May.
""I noted that number wouldn't be our ceiling but rather a floor,"" Murphy said.
On Friday there were 27,000 tests, Saturday there were 30,000 and Sunday 21,000 tests. There were 16,000 tests on Memorial Day Monday and Murphy noted that Tuesday the numbers rebounded to 24,400.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about new coronavirus precautions. Sign up for Patch alerts and daily newsletters.
""Currently, New Jersey is ahead of 46 other states in terms of testing per capita and still climbing,"" Murphy said. ""We know that our goals are well within reach and that is a good place for us to be given where we were two months ago. And the data that we get from these tests is invaluable. Out of the 30,000 tests recorded on May 23 only 7 percent were positive.
Murphy said it is not just the data coming but what has already been collected that will allow NJ to move to stage two.
""When you look at a spot positivity rate in the single digits, boy, that gives you a lot of confidence,"" he said. ""And when you take out the serology tests and you look at the 'do you have it at this moment in time' that's hugely valuable so the more data you have in that respect the more confidence we have.""
Department of Health Commissioner Judith Persichilli said the data will allow for the most important containment activity available: isolation and quarantine.
""In order to do that you need to test people, find the positives, isolate positives find their contacts and isolate and quarantine depending on their symptoms,"" she said. ""That's the best tool we have in our toolkit to stop the spread.""
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
1,/new-jersey/morristown/morris-county-voters-concerned-covid-19-vote-mail,2020-05-13T17:00:00Z,Morris County Residents Can Vote-By-Mail,0,3,Russ Crespolini,Patch Staff,"MORRIS COUNTY, NJ - Morris County residents who are hesitant to vote in New Jersey in the upcoming primary election should use the vote-by-mail alternative, according to Morris County Clerk Ann F. Grossi.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about new coronavirus precautions. Sign up for Patch alerts and daily newsletters.
""Citizens concerned about the current COVID-19 pandemic should utilize the vote-by-mail ballot for this year's election,"" she said. ""We are currently awaiting direction from Governor Phil Murphy concerning the manner in which the 2020 Primary Election will be conducted.""
Grossi said that no person should feel they cannot vote out of fear of exposure to COVID-19.
""Our priority in making this announcement is to ensure that the voting public understands the choices that are available to them and feel comfortable exercising their right to vote,"" she said.
To apply for a vote-by-mail ballot, download an application or call our office at 973-285-6066 to have an application mailed.
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
2,/new-jersey/morristown/morristown-extends-property-tax-grace-period,2020-05-01T15:40:47Z,Morristown Extends Property Tax Grace Period ,0,0,Russ Crespolini,Patch Staff,"MORRISTOWN, NJ - In light of the current health crisis, the Morristown Governing Body has elected to take advantage of Executive Order 130 issued by the Governor which permits local governments to extend the property tax payment grace period to June 1.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
According to officials, the purpose of this extension allows residents who are affected by these tenuous economic times additional time to pay taxes for this quarter.
""Though we encourage those who are able to meet the May 1 deadline, this grace period extension lessons the burden on those residents that are most economically affected by the pandemic,"" they said in a statement.
The Morristown Tax Office located at Town Hall, 200 South Street will be open to accept Tax payments (only) every Monday and Friday from 9 a.m. to noon beginning on April 24 thru June 1. For those who chose that option, physical distancing is required and must be maintained. No one will be admitted without a face mask or covering.
Residents also have several options to pay their taxes:
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
3,/new-jersey/morristown/schools-taxes-internet-big-decisions-nj-amid-coronavirus,2020-04-14T13:19:47Z,Big Decisions Coming Amid NJ Coronavirus,0,20,Tom Davis,Patch Staff,"NEW JERSEY — One month after virtually everything was shut down in New Jersey, the questions are getting louder: When — or will — a decision be made to close schools for the rest of the year?
And Gov. Phil Murphy said he's also heard the pleas from people who've asked for a break on their phone and cable bills, as well as their Internet service, amid the coronavirus outbreak.
All of that has become so much more important as many parents are confined to their homes — many of them laid off — and making sure remote learning is working for their children.
Some important news is expected to come this week, and over the past several days, Murphy has provided a glimpse — or more — on what he's going to do about the schools, your cable, phone and Internet bills and your taxes during the coronavirus crisis.
Here is some insight on what to expect:
Schools
Murphy insisted during a weekend news conference that no decisions have been made on reopening the schools before the 2019-20 year ends. But he did say that he's sticking with a date he's talked about for possibly making a decision: Friday.
Murphy has said that Friday would be the day when New Jersey will likely have a clearer picture as to what lies ahead, and he promised to provide an update on the school situation by then.
During his Tuesday press conference, Murphy did provide some idea as to where his administration may be heading, and he seemed to suggest that some sort of reopening could happen.
""Some of you interpreted, I think, my saying we'll make a binary yes-or-no decision on whether or not we're going to close (schools) or stay remote for the rest of the year,"" Murphy said. ""That's actually not the case. We're looking at a number of different alternatives.""
Even though New Jersey's case and hospitalization rates have been flattening, however, Murphy said over the weekend that he's not interested in ""throwing gasoline on the fire"" and reopening the economy too soon before the virus is under control. Read more: NJ Coronavirus Updates: Here's What You Need To Know
Murphy said any decision would have to have ""some harmony"" in the region and be consistent with what neighboring states are doing.
Pennsylvania has already closed schools for the rest of the year. Also, New Jersey, New York and Pennsylvania are joining a coalition of six states hardest hit by the new coronavirus to form a task force for a regional approach to reopen their states in the wake of the outbreak. Read more: NJ, PA Join Regional Coronavirus Reopening Council
""I've been lobbied hard by parents to open schools,"" Murphy said. ""But we have to make our decisions based on data and facts.""
Internet, phone and cable bills
Murphy signed an executive order Monday prohibiting cable and telecommunications providers from terminating Internet and voice service due to nonpayment until 30 days after the current public health emergency has ended.
The order also prohibits all service downgrades, service reductions or late fees due to nonpayment unless they are essentially approved by the New Jersey Board of Public Utilities. Additionally, any Internet or voice service that was disconnected after March 16 due to nonpayment must be reconnected.
""Most of our service providers voluntarily took these steps, in accordance with FCC policy, to protect their customers during this difficult time, and we are grateful for their partnership,"" Murphy said. ""However, these policies have been implemented inconsistently among companies, so today we are prohibiting the termination of internet and voice services due to nonpayment during this time.""
Murphy noted that children need Internet access for remote learning, and ""our workforce needs the resources to telework, and families need to be able to keep each other informed. It is critical for our New Jersey residents to maintain these connections and not have their ability to communicate with the outside world severed.""
Taxes
Murphy announced his intention to sign a bill into a law Tuesday to extend New Jersey's income and corporate tax filing deadline to July 15. The bill received final passage in the Legislature.
""As we continue to battle the COVID-19 pandemic, it is imperative that we give both the state and our residents every opportunity to endure financially,"" Murphy said. ""Pushing this deadline into the summer will give us additional time to combat the virus and get as many taxpayers as possible back on sound financial footing.""
The COVID-19 Fiscal Mitigation Act, (A-3918) extends the deadline for both gross income tax and corporation business tax filings, aligning New Jersey with the new federal deadline announced late last month.
Additionally, the bill extends the 2020 fiscal year to Sept. 30. The bill also extends the deadline for the quarterly payment due this week to July 15. The second-quarter payment will still be due June 15.
In addition to extending the filing deadline, the bill requires the state treasurer to report by May 22 on the financial condition of the budget for Fiscal Years 2020 and 2021. It also requires that, by Aug. 25, the governor will submit a revised budget proposal for Fiscal Year 2021.
The bill was sponsored in the Senate by Sens. Paul Sarlo, Steven Oroho and Anthony M. Bucco, and in the Assembly by Assemblymembers Eliana Pintor Marin, Harold Wirths and John Burzichelli.
""The ongoing public health crisis caused by the coronavirus pandemic is creating severe financial hardship for the people of New Jersey as well as fiscal fallout for the state,"" Sarlo said. ""We don't yet know the full dimensions of the financial consequences for residents, businesses and the state, but there is no doubt that we all face some hard times. The extensions will give taxpayers more time to calculate and manage their finances, and will provide state officials a workable timetable to craft a budget that addresses our critical needs.""
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Here's what else you should know:

How It Spreads
The virus that causes COVID-19 is spreading from person-to-person. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.
There is currently no vaccine for COVID-19.
While the best way to prevent illness is to avoid virus exposure, the Centers for Disease Control and Prevention always recommends taking preventive actions to contain the spread of viruses.
This includes:"
4,/new-jersey/morristown/expect-njs-primary-be-delayed-coronavirus-toll-rises,2020-04-08T13:19:10Z,WATCH LIVE: Gov. Phil Murphy Issues NJ Update ,1,53,Tom Davis,Patch Staff,"UPDATE: Gov. Phil Murphy said the primary will be held on July 7.
Murphy said the new date will allow in-person voting because hopefully the outbreak won't be as severe by then. He also said it would give New Jersey more time to get ready for mail-in voting. Read more: Gov. Murphy: More NJ Restrictions As 275 More Die Of Coronavirus
NEW JERSEY – Expect the June 2 primary election to be delayed as New Jersey continues to deal with the effects of the coronavirus crisis, and lawmakers have a new date in mind.

Sources told Patch that New Jersey will likely postpone its June 2 primary election to July 7, expecting that the coronavirus outbreak will continue to have an impact into the summer.
The possible postponement comes as the number of cases continues to rise in New Jersey. Murphy will speak at a news conference at 1 p.m. Wednesday, and Patch will cover it live. Read more: NJ Coronavirus Updates: Here's What You Need To Know
Last week, Murphy said the Democratic Party's decision to move the national presidential convention to Aug. 17 gave New Jersey ""a lot more flexibility than I thought we had two days ago.""
""We're going to make a decision on that very soon, but I'll be stunned if we stay at June 2,"" Murphy said.
The governor already has taken some steps to make sure that the coronavirus outbreak doesn't impact elections that were supposed to be held in the spring, either postponing them or requiring a vote by mail. Read more: Governor Murphy Moves NJ School District Election Deadlines
The filing deadline for running for the primary elections was March 30, and many candidates are slated to run for local elections. Former Vice President Joe Biden and Vermont Sen. Bernie Sanders are expected to square off in the Democratic presidential primary.
Murphy offered some insight into how long the coronavirus crisis may last in New Jersey just as he was providing an update to the outbreak's toll on Monday: 3,663 new cases and 86 more deaths. The numbers marked the second day in a row that the numbers were much lower than the outbreak's worst day on Saturday. Read more: Gov. Murphy: Coronavirus May 'Spill Meaningfully Into The Summer'

New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Here's what else you should know:


How It Spreads
The virus that causes COVID-19 is spreading from person-to-person. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.
There is currently no vaccine for COVID-19.
While the best way to prevent illness is to avoid virus exposure, the Centers for Disease Control and Prevention always recommends taking preventive actions to contain the spread of viruses. This includes:
"
5,/new-jersey/morristown/sherrills-husband-has-coronavirus-shes-getting-tested,2020-04-04T13:51:39Z,"Sherrill's Husband Has Coronavirus, Her Test Set",0,5,Karen Wall,Patch Staff,"MONTCLAIR, NJ — U.S. Rep. Mikie Sherrill is set to be tested for the new coronavirus after she developed symptoms as her husband tested positive for the virus, the congresswoman announced.
Sherrill, who represents New Jersey's 11th District, said in a Facebook post Friday evening that her husband, Jason Hedberg, tested positive for the virus and ""was diagnosed with COVID-19"" during the week.
""After developing symptoms myself, and speaking to my doctor, I have scheduled a test,"" she said in the post. She did not say what symptoms she has experienced or give information about what symptoms her husband was experiencing.
Don't miss local and New Jersey announcements about coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Sherrill said her work for the district ""to protect and provide our doctors, nurses, and first responders with critical personal protective equipment, and my commitment to deliver relief for our workers and small businesses remains my top priority.""
Six members of Congress have tested positive for the coronavirus so far, according to GovTrack, which follows congressional actions and is keeping a tally of congressmembers who have publicly announced possible contact with the virus.
Sherrill urged New Jersey residents to continue to adhere to Gov. Phil Murphy's stay-at-home executive order. Read more: NJ Coronavirus Updates: Here's What You Need To Know
""I cannot stress enough how important it is that we all follow the recommendations of the CDC and the 'stay at home' order that is in place,"" she said. ""The road ahead for New Jersey is going to be a hard one, so now more than ever, we must take care of each other and work together so that we can end this crisis.""
As of Friday afternoon, there were nearly 30,000 positive cases of the coronavirus in New Jersey, and 646 people have died. Murphy has ordered flags across New Jersey to fly at half-staff until further notice in recognition of those who have died.
"
6,/new-jersey/morristown/morristown-shuts-down-town-hall-public,2020-03-17T13:00:00Z,Morristown Shuts Down Town Hall To The Public,0,0,Russ Crespolini,Patch Staff,"MORRISTOWN, NJ - In light of the novel coronavirus, or COVID-19, Morristown officials are attempting to curb its spread from person-to-person by closing down Town Hall to the public, effective Tuesday.
New Jersey Coronavirus Updates: Don't miss local and statewide announcements about novel coronavirus precautions. Sign up for Patch alerts and daily newsletters.
Essential business will be conducted by appointment only and will require pre-screening over the phone.
Residents are also asked to try online applications for service:
The purpose of this measure is to minimize exposure to our employees and their families as well as encourage social distancing, officials said.
The virus that causes COVID-19 is spreading from person-to-person. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.
There is currently no vaccine for COVID-19.
While the best way to prevent illness is to avoid virus exposure, the Centers for Disease Control and Prevention always recommends taking preventive actions to contain the spread of viruses.
Residents who have questions about the virus can contact the State of New Jersey's hotline at 1 (800) 222-1222. The hotline is home of the New Jersey Poison Information and Education System, and is staffed 24 hours a day by state health workers.
Thanks for reading! Learn more about posting announcements or events to your local Patch site. Have a news tip you'd like to share? Or maybe you have a press release you would like to submit or a correction you'd like to request? Send an email to russ.crespolini@patch.com
Subscribe to your local Patch newsletter. You can also have them delivered to your phone screen by downloading, or by visiting the Google Play store."
7,/new-jersey/morristown/every-nj-towns-average-property-tax-bill-newly-released-list,2020-03-09T13:23:23Z,Every NJ Town's Average Property Tax Bill 2020,0,4,Tom Davis,Patch Staff,"NEW JERSEY - New Jersey's property taxes, which are the highest in the nation, just keep going up and up. So you shouldn't be surprised when you see more money being taken out of your account once again this year.
Patch put together a list of all New Jersey towns and their average annual property tax bills, from highest to lowest. Patch also put together the percentage tax bill increases and decreases from 2018 to 2019 (see lists below).
You may be shocked when you see how expensive it's gotten to live in your town, especially compared to other towns nearby. Patch also put together lists that ranked the highest-to-lowest towns in each county (see county lists below).
At the same time, maybe you'll be pleased to see that property taxes actually rose at a much slower rate in 2019 than they did the year before.
The data, released this past week, comes from the state Department of Community Affairs. On average, the state's property taxes rose 2.12 percent, to $8,953, between 2018 and 2019. It was higher than the 2 percent cap former Gov. Chris Christie put into effect in 2011, according to the analysis.
By contrast, between 2017 and 2018, the average homeowner's tax bill rose to $8,767, an increase of less than 1 percent.
The Murphy Administration said the 2019 numbers revealed the third smallest two-year average statewide tax increase on record, which is well below historical five- and 10-year averages. The figures also show the smallest two-year property tax increase under any governor in their first two years in office, officials said.
The tax data tables also show that tax ratables rose 2.1 percent statewide since 2018, an increase above the five- and 10-year historical averages, with total ratables now at $1.09 trillion. The majority of municipalities in the state had average residential property tax decreases or increases under two percent.
""We're delivering on our promise to provide property tax stability while restoring New Jersey's fiscal standing and growing our economy,"" said Gov. Phil Murphy. ""Statewide property values have grown more in the first two years of my administration than at any point since the Great Recession. That's what we call progress.""
Read more: NJ County-By-County Tax Rates In Atlantic, Bergen, Burlington, Camden, Cape May, Essex, Gloucester, Hudson, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, Sussex, Union, Warren.
Here is the list of communities, their counties and their average tax bills, highest to lowest (below that is a list of communities and their highest-to-lowest tax increases):
Largest to smallest increase, then smallest to largest decrease in tax bills:"
8,/new-jersey/morristown/nj-gov-phil-murphys-tumor-surgery-successful,2020-03-04T18:44:37Z,NJ Gov. Phil Murphy's Tumor Surgery Is Successful,2,18,Tom Davis,Patch Staff,"NEW JERSEY – Gov. Phil Murphy underwent successful surgery on Wednesday to remove a tumor in his kidney, his office said.
Acting Governor Oliver Sheila Oliver announced that Murphy underwent successful surgery and he's resting in a hospital in New York City. The surgery took place early Wednesday.
First Lady Tammy Murphy released a statement:
""I am proud to report that Phil's surgery presented no surprises to his doctors and was a success.
""The tumor was removed, and his left kidney remains largely intact. He is awake and (as expected) is in some discomfort, but he's gone through the entire day with his usual good humor and optimism buoying the nurses, doctors, staff and anyone else in his proximity - present company included! The kids and I are so happy to have him through surgery and now set our sights on healing.
""Home is not far from his mind, and one of his first questions (after asking how the surgery went and how the kids and I were holding up) was, ""Is everything ok in New Jersey?""
""Phil, the kids, and I cannot thank everyone enough for the tremendous outpouring of support we've received at this challenging time. We are so very grateful. And we know that Phil will jump back into the thick of things in no time!""
Murphy announced last week that he has a tumor on his kidney, and he scheduled the surgery to remove it. He learned that there is a 90 percent chance that it's cancer.
Murphy, 62, made the announcement on Twitter. ""The prognosis is very good and I'm profoundly grateful to my doctors for detecting the tumor early,"" Murphy said.
Murphy, who took office in January 2018, noted that more than 50,000 New Jerseyans will hear the words ""you have cancer"" this year, ""so I'm far from alone here.""
""It's a situation that far too many families find themselves in,"" he said. ""That's why we're fighting for them each and every day.""
Murphy then used the opportunity to discuss health care, saying it is ""a right, not a privilege for a select few, and skyrocketing medical costs are a national emergency.""
""If there's anything my diagnosis reminds me of, it's that preventative services are lifesaving and we need to continue fighting for affordable health care for all,"" he said.
This is a developing story. Patch will have more information as it comes in."
9,/new-jersey/morristown/proposed-2020-morris-county-budget-comes-without-tax-increase,2020-02-11T20:04:36Z,See Proposed 2020 Morris County Budget,0,0,Payton Potter,Patch Staff,"MORRISTOWN, NJ — Morris County Freeholders Monday unveiled the county's proposed $315.8 million budget for the 2020 fiscal year, and it includes no increase for county taxpayers.
The budget, which the county is calling fiscally prudent, aims to fund public safety measures, veteran and social services programs, efforts to address the opioid epidemic, infrastructure improvements and more.
You can see the proposed 2020 budget for yourself here.
""We carefully reviewed all aspects of county operations to ensure that we run a modern, efficient and cost-effective county government, and also one that operates with an eye towards fiscal restraint,"" Freeholder Director and Budget Committee Chair Deborah Smith said in a statement. ""This budget addresses and expands our financing of critical services while not increasing the county tax rate.""
According to a press release from Morris County, some new and extended partnerships afforded in the budget include:
Click here for a PowerPoint presentation describing the proposed operating and capital budgets."
