,url,Date,Title,Thank,Reply,author,title,context
0,/connecticut/newcanaan/new-canaan-library-offer-self-service-lending-starting-june-15,2020-05-27T00:31:26Z,Library To Offer Self-Service Lending June 15,0,0,Alfred Branch,Patch Staff,"NEW CANAAN, CT — The New Canaan Library again will begin ""self-service lending"" starting on June 15, officials announced on Tuesday.
Libraries in Darien, Ridgefield, Westport and Weston have announced similar plans, and the buildings for all five libraries will remain closed until further notice.
Books, DVD's and other materials will be available beginning on the 15th under the plan.
""On that date, members may place holds online for materials and will then receive an email advising when to collect them in the Library's vestibule,"" New Canaan Library officials said."
1,/connecticut/newcanaan/new-canaan-reopen-water-tower-turf-fields-waveny-park,2020-05-22T23:42:00Z,Water Tower Turf Fields At Waveny Park To Reopen,0,0,Alfred Branch,Patch Staff,"NEW CANAAN, CT — The town will reopen the Water Tower turf fields at New Canaan's Waveny Park ""to individual and small group recreational activities"" beginning on Sunday, announced First Selectman Kevin Moynihan.
By ""small group,"" Moynihan said five or fewer people, and masks should still be worn if social distancing cannot be maintained.
The fields will be monitored from 9 a.m. to 7 p.m. on Sunday to ensure that people are obeying social distancing protocols.
The move to open the fields comes as the town and the state slowly began to reopen, with stores and restaurants beginning to serve customers again (outdoors) this week.
Additionally, with Memorial Day on Monday, the town has produced a video ceremony in honor of veterans that can be seen on the town's YouTube channel or at 10 a.m. on Channel 79 on Monday.
Below is Moynihan's full Friday announcement and coronavirus update:

Good evening.
This is First Selectman Kevin Moynihan with a coronavirus update.
The re-opening of Downtown retail stores on Wednesday and restaurants for outdoor dining today has gone well, and we are glad to be on track with Governor Lamont's plan to re-open our CT economy in measured steps safely. I encourage you to call your favorite restaurant and make a reservation for this weekend. Please remember that Downtown on Main and Elm, Forest and Pine Streets is a facecovering-required zone when the walkways are busy and you cannot maintain social distancing from other pedestrians or diners. It will take all of us to do our part to make diners and shoppers feel safe.
As Mike Handler mentioned on his outcalls this week, the Town has begun to implement a broad-based community testing program. We have tested nearly 350 first responders, volunteers and Town employees and I'm pleased to report that we have not detected any new active cases of the
coronavirus. Voluntary testing of residents will begin next Wednesday and we will be sharing detailed instructions soon. To get tested you will need to provide insurance information and the name of your primary care physician. Anyone who is uninsured can request to be covered by Government funding.
I am also pleased to announce that this Sunday we will re-open the Water Tower turf fields at Waveny Park to individual and small group recreational activities. There will be monitors on duty from 9:00 am to 7:00 pm to maintain orderly recreation with proper social distancing and groups of less than 5 persons – no team or organized group activity will be permitted. I urge all of you to be courteous and avoid coming into close contact with others without having a face covering pulled over your mouth and nose.
Finally, I want to wish all of you an enjoyable Memorial Day Weekend at home. Unfortunately, we will not be able to see each other on Main Street for our traditional Memorial Day parade. However, we recorded a Memorial Day Ceremony at Lakeview Cemetery with VFW Post 653 for broadcast on Monday morning at 10:00 am on Channel 79. You will also be able to view it on the YouTube link at the top of the homepage of our website at newcanaan.info.
Thank you.
Kevin"
2,/connecticut/newcanaan/letter-editor-new-canaans-strong-financial-position,2020-05-20T21:00:10Z,Letter To The Editor: New Canaan Is Fiscally Sound,0,0,Alfred Branch,Patch Staff,"To the Editor:
As the Board of Finance does each year, this is an update on our current budget and tax projections as we close out our 2019/2020 budget on June 30th as well as an overview of our new 2020/2021 budget that begins on July 1st.
As always, and especially this year, I can never thank our volunteers across the town, our town employees, our volunteers on many Boards and Commissions, our Town Council, our Board of Education, and our First Selectman enough – they make an incredible effort on our behalf in order to keep our town in great shape in every way. And while that is always true, the past 100 days have truly stressed the system. But our town response has been overwhelmingly positive, from our schools, our residents, the donations people have made, and all the volunteer help across the town. An extra grateful thank you to the volunteers and healthcare workers who have gone above and beyond to support our community and our region.
The fiscal year that we are closing in June will show back-to-back years of below budget spending, and declining debt. We will also require less tax income from our taxpayers for the second year in a row. We believe that this is a first. Our mill rate will also slightly decline to 18.16. The mill rates of Wilton (28.5), Ridgefield (28.1), and Weston (32.3) are considerably higher. The Route 1 coastal towns of Westport (16.9) and Darien (16.5) have lower mill rates driven by the much higher commercial revenue tax base of the Route 1 businesses, and higher total grand list values.
Through careful spending and planning, we are fortunate to be able to keep taxes from rising, while not cutting any existing school programs, sports, arts, teachers, police, or fire as many districts have been forced to do across Connecticut. This isn't an easy thing to do with the many demands we have each year for more spending, including contractual annual cost increases. No other town in Fairfield County asked their taxpayers to pay less in total taxation in back to back years while delivering below budget spending two years in a row.
Our single largest expense every year is for Education, representing approximately 62% of our total budget. Nearly 70% of our budget this year will be spent on Education, Police, and Fire. The remaining 30% is spent on roads, building maintenance, town employees, pension expense, Public Works, health care, and debt service.
Regarding debt, over the past 25 years we have borrowed approximately $140M for school renovations and improvements, $20M to purchase Irwin Park, as supported by a town-wide referendum, and $18M for the Town Hall renovation project. We also borrow much smaller amounts each year for building maintenance and road repairs. And we pay down our debt every year on a straight-line basis. Our long-term debt was $127M in 2011. Our town's debt today is $107M. We project that our debt will trend down towards $100M for the first time in 20 years by the end of this calendar year.
But keep our debt in perspective. The combined income of the residents of New Canaan was $2.4B as reported by the State of Connecticut. The total grand list is valued at $7.7B. So $100M of debt represents approximately 4% of our income and 1.3% of our assets. Our debt level is by no means a problem. We will continue to borrow strategically and prudently, leveraging historically low rates for road and building repairs. And we have saved several million dollars of interest expense on our debt over the past three years through refinancing, again driven by low rates and the favorable Aaa bond rating that our town has earned and kept. We want to reduce our annual debt expense as a means of lowering overall town expenses.
It is our expectation that we will continue to evaluate the sale and divestment of certain town-owned assets. Today, those assets cost money to repair and maintain and don't provide tax revenue to the town. As I said in my update last year, if we divest certain properties and assets, we will be able to avoid continued repair costs, use the proceeds to reduce debt if needed, fund other investments, or lower taxes, while adding to our Grand List value as well as property tax revenue. A win win win. We are also evaluating our long-term capital plan to continue to enhance the assets in our town for the next several decades. Our schools, police station, and library will be among the top areas to invest in over the next decade.
From a Board of Finance perspective, our top priorities continue as before: one, our schools must continue the long, multi-decade tradition of being a leading district in Connecticut. Two, we must continue to provide a beautiful downtown, with surrounding parks, activities, and programs throughout the town. Three, we need to continue to provide safety and emergency services for our residents and visitors. Four, we need to maintain financial strength as a town, while enhancing, improving, or renewing our town assets to continuously improve the services and support that our residents expect. In short, provide excellent value while helping New Canaan succeed financially in good times and bad.
Going forward into the new fiscal year, working with the Board of Selectman, Town Council, the Board of Education, and all the other town departments, we will continue to look for ways to spend less. The Board of Finance worked very closely with the Board of Selectman, the Town Council, the Board of Education, and the other departments and organizations across New Canaan during the budget process right as the Covid-19 crisis unfolded. The current crisis reminds us to challenge our spending and borrowing assumptions. We will continue to be prudent in the coming year.
In summary, our Bond rating continues to be Aaa. Our town pensions are fully funded at 105% as of March 30th. Our overall spending this year is projected to be $2.2M below budget, and our debt decreased this year. Our rainy-day, unassigned fund balance maintains an appropriate amount to handle shocks to the system like we are seeing right now. As a benchmark, we hold the equivalent of 15-18% of our annual budget in our unassigned general fund for risk management. Most towns that we compare ourselves with hold 8-14%. Bond agencies want to see at least 10% of the town's annual budget in an unassigned fund to take advantage of the most favorable rates. We ran surpluses in the fiscal years ending in 2018 and 2019 that increased this fund as we spent less than we budgeted, and had more revenue than we planned. For our 2020/2021 budget we are planning to use $4.5M from this fund to offset town expenses. This will reduce the demand for taxes by the same amount. We budgeted similar offsets in prior years but have been able to avoid drawing them down due to reduced spending and increased revenue. For the period of March through June, the town will see less revenue from parking permits, conveyance fees, and other revenue sources. Our fund balance will absorb these shortfalls without adding taxes, but also limits how much we can now contribute.
We certainly need a healthy reserve fund to protect taxpayers from unforeseen shocks and costs, and to maintain our financial strength. However, the Board of Finance believes that we should offset $4.5M of expenses from funds that have built up over time and give it back to the taxpayers at a time like this. This will reduce the burden on our taxpayers while maintaining 'dry powder' to help address future risks.
Todd Lavieri
Chairman, Board of Finance"
3,/connecticut/newcanaan/new-canaan-police-department-honors-its-fallen-officers,2020-05-15T16:44:24Z,New Canaan PD Honors Its Fallen Officers,0,0,Alfred Branch,Patch Staff,"From the Town of New Canaan: NEW CANAAN, CT — In 1962, President Kennedy proclaimed May 15 as National Peace Officers Memorial Day and the calendar week in which May 15 falls, as National Police Week.
Established by a joint resolution of the U.S. Congress in 1962, National Police Week pays special recognition to those law enforcement officers who have lost their lives in the line of duty for the safety and protection of others.
In 2019, across our nation, 87 officers died in the line of duty. We must honor these men and women.
Today, we honor two New Canaan Officers whom died in the line of duty:
Louis Drucker died on January 25, 1888 after being shot in the chest by a bootlegger when responding to a complaint of illegal alcohol sales at a Seminary Street home.
James Martin died on July 24, 1991, during a fierce storm, after coming in contact with a downed electrical wire while responding to a stranded motorist with trees down call on Valley Road.
We honor our officer's ultimate sacrifice and express our sincere condolences to their grieving families, friends, fellow officers and loved ones. These men, as well as all our fallen brothers and sisters in law enforcement, left behind families and friends who will forever carry the ache of loss and grief which accompanies a life lost in its prime.
Police Officers are ordinary people who are at times required to exhibit extraordinary courage in the pursuit of their mission to safeguard the lives of the citizens they serve.
May we never forget!
Images from New Canaan Police Department"
4,/connecticut/newcanaan/first-selectman-wants-senior-dining-hour-reopening-effort,2020-05-08T01:10:07Z,New Canaan Begins Planning For Coronavirus Reopen,0,0,Alfred Branch,Patch Staff,"NEW CANAAN, CT — As New Canaan and other Connecticut communities prepare to reopen as the coronavirus slowly fades, one thing that First Selectman Kevin Moynihan would like to see is a special dining hour or two for senior citizens.
Gov. Ned Lamont has said that restaurants can reopen on May 20 for outdoor dining only, and Moynihan hopes that restaurants will offer a special hour or two for older residents, similar to what many grocery stores did around the state.
""Perhaps during lunchtime,"" Moynihan said on Thursday to a group of reporters during a press conference on Zoom.
Moynihan and other town officials are working with an informal group led by New Canaan Chamber of Commerce Director Tucker Murphy on how New Canaan should handle reopening, with an eye toward helping the downtown area survive. (Don't miss local and statewide news about coronavirus developments and precautions. Sign up for Patch alerts and daily newsletters.)
""There are a lot of residents who want to help the downtown area survive, the shops, the restaurants,"" Moynihan said.
The Department of Public Works is working on a plan for the sidewalks to allow restaurants to put tables outside, and the town plans to close parallel parking on Elm Street temporarily to turn it into a pedestrian walkway, according to the First Selectman.
Also, retail stores will be given disposal masks for their customers to wear inside the store.
Mike Handler, New Canaan's director of Emergency Management, said that the steps alone will not be enough.
""As we prepare to reopen businesses in a measured way, our success will be heavily dependent on our collective behavior,"" Handler said. ""If we wish to continue easing restrictions that are in place for our safety, then we must follow the guidelines and rules in place. This includes wearing face coverings, washing our hands and maintaining social distancing."""
5,/connecticut/newcanaan/new-canaan-police-department-promotes-2-veteran-members,2020-04-29T21:57:41Z,New Canaan Police Department Promotes 2 Veterans,0,0,Alfred Branch,Patch Staff,"NEW CANAAN, CT — The New Canaan Police Department promoted two of its veteran members this month, one to the title of lieutenant and one to the title of sergeant, Chief Leon Krolikowski announced.
Promoted from sergeant to lieutenant by the Board of Police Commissioners on April 21 was Joseph Farenga:
Lieutenant Farenga has served our Department for 20 years. Lieutenant Farenga has been
assigned to various positions including Youth Sergeant, Supervisor of the Motor Enforcement
Program, Human Trafficking Instructor, A.L.I.C.E. Instructor, and is the Special Response Team
Commander.
He has earned several commendations including the Mothers Against Drunk Driving award five
consecutive years, exceptional performance of his duties, and five meritorious duty awards.
Lieutenant Farenga holds a Bachelor's Degree in Criminal Justice.
Effective May 8, 2020, Lieutenant Farenga will be assigned to the 11:00 PM to 7:00 AM shift.
Promoted from officer to sergeant by the Board of Police Commissioners on April 23 was Michael O'Sullivan:
Sergeant O'Sullivan has served our Department for 19 years. Sergeant O'Sullivan has been
assigned to various positions including dispatcher, acting sergeant, and domestic violence
coordinator. Sergeant O'Sullivan developed and introduced the Community Outreach and
Support Team to provide support and resources to those with mental health and substance abuse
issues.
He has earned several awards including, the 2018 Stephen W. Wood Officer of the Year Award,
the Police Cross Award, which is the highest award earned by an officer in more than twenty-six
years, four medical service awards, a unit citation, and the First 100 Award given by the
Connecticut Coalition Against Domestic Violence.
Sergeant O'Sullivan holds a Bachelor's Degree in Criminal Justice from Sacred Heart University.
Effective May 6, 2020, Sergeant O'Sullivan will be assigned to the Investigative Section as the
Youth Sergeant."
6,/connecticut/newcanaan/coronavirus-related-tax-deferment-program-launched-new-canaan,2020-04-23T20:57:36Z,Coronavirus Tax Deferment Program Launched,0,0,Alfred Branch,Patch Staff,"NEW CANAAN, CT — Qualified taxpayers in New Canaan will have the opportunity to defer real estate and other tax payments for three months — to July 1 — due to the coronavirus pandemic, following the Town Council's April 22 approval of a tax deferment program.
In addition to property taxes, residents also can defer payments on personal property taxes
motor vehicle taxes, and sewer fees, in recognition of the financial hardships brought on the by the COVID-19 crisis.
This action was taken in response to Gov. Ned Lamont's April 1, 2020 Executive Order 7S (EO7S) — Protection of Public Health and Safety during COVID-19 Pandemic and Response.
EO7S allows local legislative bodies authority to adopt programs to support local taxpayers
affected by the COVID-19 crisis. (Don't miss local and statewide news about coronavirus developments and precautions. Sign up for Patch alerts and daily newsletters.)
This is from the town's tax deferment announcement:
The tax deferment program is open to all qualified residents, non-profits and
businesses, including landlords. To qualify, non-landlord taxpayers must attest that their
income has decreased by at least 20 percent during the emergency period due to layoffs, furloughs, business closures or other factor related to COVID-19. Landlord taxpayers must attest that their income has decreased by 30 percent. For those who pay their taxes in escrow, financial institutions will continue to remit property taxes to the Town to meet the original July 1st date.
""Tonight the Town Council approved the deferral of property taxes for 3 months
(without interest) for residents who are significantly affected by the COVID-19 crisis,"" said Town Council Chairman John Engel. ""A simple application requiring minimal data will be required. Our goal was to give affected residents the greatest benefit without impacting the town's ability to operate smoothly and I believe we achieved that tonight.
""I want to particularly thank the town's Chief Financial Officer, Lunda Asmani for helping
us better understand the town's financial position in this period of great uncertainty. With his
help the town's leadership delivered the leanest budget in years and now plans its cash
management with confidence that we will continue to provide the excellent services residents
expect.""
Program instructions and forms will be posted on the Tax Collector's page of the Town
website shortly.
For further information on the tax deferral program, contact: Lunda Asmani, Chief
Financial Officer, 203-594-3024.
"
7,/connecticut/newcanaan/first-selectman-defends-business-approach-coronavirus,2020-04-23T15:39:40Z,Resident Urges More Visibility From Kevin Moynihan,1,5,Alfred Branch,Patch Staff,"NEW CANAAN, CT — It is a question that leaders often ask themselves, how much is too much? For New Canaan First Selectman Kevin Moynihan the question centers on his visibility, or lack thereof, during the coronavirus (COVID-19) pandemic.
Moynihan, whose professional background was in corporate law, has largely taken a busy-behind-the-scenes approach during the health crisis, and has delegated the role of the face of the town's response to Emergency Management Director Mike Handler.
As Moynihan likes to say about himself, he's ""a work horse not a show horse,"" happy to eschew the limelight.
""We have an incredible Emergency Management Team and we communicate as a team,"" Moynihan says. ""Mike Handler has been the voice of Emergency Management for the Town for over 10 years even though he is a volunteer and not an employee.""
However, for one resident and some of her friends, that behind-the-scenes approach is not enough. (Don't miss local and statewide news about coronavirus developments and precautions. Sign up for Patch alerts and daily newsletters.)
The resident, who Patch is not naming because she did not send the letter to the publication, recently wrote to Moynihan and criticized the seemingly hands-off approach.
""In times of trouble the citizens of the town expect to have the leader of our town front and center, guiding the way, encouraging us, sharing vital information with us, grieving with us, protecting us, and being truthful and transparent with us on a daily basis,"" she wrote.
""Myself and many others I've spoken to are wondering where you've been, and why you aren't visibly at the helm for all to look toward, rely on and count on?"" she added. ""I don't want to hear emotionless, at times cryptic messages from Mike. I want to hear from you, the leader of our community. And we want to know details and statistics every single day, as we try to follow what's happening within our community.""
Moynihan agrees that there may be a perception in the community that he's not around, nothing could be further from the truth.
He works nine to 10-hour days, participating in daily coronavirus-related meetings while also continuing to run town government.
But Moynihan admits that Handler's dry approach to communications occasionally can appear underwhelming.
""I've discussed [Mike's] style several times with him because many residents find his tone funereal while others find it comforting and reassuring,"" Moynihan says. ""Emergencies usually last a week or two, and Mike and I have debated the messaging style and content in this unprecedented pandemic.""
The resident, however, wants more. ""Mr. Moynihan, we need to hear your voice, your concern for our community, your explanation of the parks closing, the death rate, the testing, the store closings,"" she wrote. ""We need to feel that the leader of our town is standing shoulder to shoulder with us. The calls should be more conversational in tone, strict when warranted, sincere, completely informative. Talk to us about the chaos at Acme, the empty shelves, the fact that we can't find toilet paper, or disinfectant. Guide us on what to do. Give us tips on best days of the week to shop at Acme or Walter Stewarts. Tell us how to keep our elderly out of the stores when there is a limit on how many boxes of kleenex you can purchase. I try to shop for my Dad and my Aunt, but I'm only allowed 'one' of so many items. Tell us what to do in those cases. Talk to us about our neighboring towns, what are they doing, how are they doing?""
While the town does not have a full-time communications person, Moynihan says that he will try to be more visible in the future."
8,/connecticut/newcanaan/opinion-staying-connected-disconnected-world,2020-04-06T19:01:07Z,Opinion: Staying Connected In A Disconnected World,0,0,Alfred Branch,Patch Staff,"The following op-ed was written by Toni Boucher, businesswoman and former Connecticut State Senator and State Representative.
Right now, many are finding it hard to notice the signs of spring. And April may very well be the ""cruelest month."" It may also be difficult to accept that what keeps us apart now will ultimately bring us closer together. But spring is here, and things will get better. The question is when.

Uncertainty has become the norm and the world is changing as we know it. Previous benchmarks and performance no longer apply. Businesses, education, and nonprofits are restructuring daily as they experience disruptive forces like never before. COVID- 19 is accelerating the move to online work and school environments; robotics automates across industries, and virtual marketplace and online delivery options are taking the place of brick and mortar retailers.

Working and learning from home may reverse the emergence of intercity living, thus reducing the need for large office and apartment facilities. Will this permanently change our world?

A recent Forbes' article reports that September tuition payments may determine a college's eventual viability. Colleges have already been struggling with lower enrollment numbers that have tested their ability to survive. The prospect of closures has become very real the longer sequestering continues.

Fear of an unseen enemy, human contact, job loss, savings depletion, and sequestering are also taking a toll on the nation's mental health. Loss of normalcy and predictive schedules have taken away a sense of control. Disappointment in the cancellations of graduations, weddings, funerals and something as simple as major league and local sports, adds to anxiety. Insecurities do not have an easy outlet. Given that 20% of our population are already dealing with some type of stress, there may be an increase in substance abuse and depression. We may need to find new ways to cope.

Necessity is the Mother of Invention
Since this is a world-wide problem there may also be a silver lining. The planet's most brilliant minds are relentlessly working around the clock on solutions that are changing healthcare and its delivery faster and better than anyone could have ever imagined. There are dozens of leading companies that have or will have a vaccine in human clinical trials. There are also promising remedies being tested as we speak. There is even evidence that when a vaccine is developed, a single dose, rather than a yearly flu vaccine, would be needed to prevent a further occurrence. The emergence of tele-healthcare and tele-therapy are rapidly growing in use. Remote diagnosis and treatment are being normalized. New technologies are emerging, and current ones are being adapted and deployed at an astounding rate. Businesses, governments, nonprofits, schools, and families are connecting via Cisco Webex, Zoom, etc. to meet, vote, conduct business, fundraise, invest, teach and… draw closer together. It is inspiring to observe the unleashing of innovation as this global menace tries to wrestle us to the ground. History has shown, however, that we are at our strongest whenever we are severely challenged.

People Helping People
Mr. Rogers said: ""When I was a boy and I would see scary things in the news, my mother would say to me, look for the helpers. You will always find people who are helping."" America is the most generous country on earth. Its people are helpful and compassionate. We find heroes in everyday people lending a hand to each other and their neighbors. They are stepping up to shop and deliver to the elderly and infirm. PPE supplies are being made at home and donated by the thousands. Go Fund me pages are being created for the sick and their families, providing thousands of dollars of financial support. Truckers are delivering critical goods; postal workers are delivering our mail; grocery workers are stocking shelves; manufacturers are producing much needed products; first responders and the medical community are on the front lines, putting themselves in harm's way every day. They remind us that we are all in this together. Together we will overcome the challenge before us and be stronger for it."
9,/connecticut/newcanaan/coronavirus-new-canaan-schedule-upcoming-virtual-meetings,2020-03-23T16:49:02Z,Schedule Released Of Upcoming Virtual Meetings,0,0,Alfred Branch,Patch Staff,"NEW CANAAN, CT — Two New Canaan town meetings are scheduled to be streamed online this week, due the ongoing efforts to slow the spread of the new coronavirus (COVID-19), according to officials:
Board of Selectmen
Tuesday March 24, 2020
8:30 AM
Those wishing to participate in the meeting should connect to Zoom, a Web-based video conferencing tool, on their computers, tablets or phones.
The Zoom link is:
https://zoom.us/j/298138648?pwd=SEtZNGN3a2ZIcXN2MXY3YUx1QjQxdz09
The meeting can also be seen on NCTV – Channel 79.
Town Council
Tuesday March 24, 2020
7:00 PM
Those wishing to participate in the meeting should connect to Zoom, a Web-based video conferencing tool, on their computers, tablets or phones.
The Zoom link is:
https://zoom.us/j/9251671532
The meeting can also be seen on NCTV – Channel 79.
(To sign up for New Canaan breaking news alerts and more, click here.)"
