,url,Date,Title,Thank,Reply,author,title,context
0,/massachusetts/norton/fire-hydrant-flow-test-october-14-2020-10-00-am,2020-10-07T18:40:55Z,"Fire Hydrant Flow Test - October 14, 2020 at 10...",0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
Posted on: October 3, 2020 - 12:00am
ATTENTION NORTON RESIDENTS
On October 8th beginning at 10:00 AM, there will be a Fire Hydrant Flow Test conducted by Rustic Fire Protection Inc. at the location of 69 East Main St., for the purpose of Hydraulic Calculations.
Any discoloration in water will be the results of this test and will only be temporary.
For more information please contact:
This press release was produced by the Town of Norton. The views expressed here are the author's own."
1,/massachusetts/norton/norton-special-town-meeting-postponed-saturday-due-weather,2020-08-28T21:44:10Z,Norton Special Town Meeting Postponed For...,0,0,Scott Souza,Patch Staff,"NORTON, MA —The Norton Special Town Meeting planned for Saturday on the Norton High football field has been postponed due to a threat of thunderstorms.
The meeting has been continued until Sept. 26.
""The town's sound vendor has indicated that they are uncomfortable with placing their equipment outdoors under such circumstances,"" said Town Moderator Walter Eykel on Friday.
Eykel said the meeting could not be moved indoors due to coronavirus concerns where people would be properly spaced.
""Significant planning was taken to hold this meeting outdoors, and the intent of that decision was to provide voters a way to attend town meeting without having to choose between their health or participating as a member of the legislative body of the town.""
The Sept. 26 rain date will also be scheduled for outdoors on the football field, weather permitting."
2,/massachusetts/norton/norton-deadline-request-vote-mail-ballots-special-town-election,2020-08-28T13:51:55Z,Norton Deadline To Request Vote By Mail Ballots...,0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
To all Norton Residents,The deadline to request Vote by Mail Ballots for the SPECIAL TOWN ELECTION is Monday, August 31, 2020, at 4:30 pm.
There is NO Early Voting for this Election.
The election will be held on Saturday, September 12, 2020, at the Norton Middle School. Polling hours are 9:00 am until 3:00 pm.
Thank you.Lucia Longhurst, Town Clerk
This press release was produced by the Town of Norton. The views expressed here are the author's own."
3,/massachusetts/norton/northon-live-early-voting-middle-school-gym-only,2020-08-25T13:21:36Z,Norton Live Early Voting In Middle School Gym Only,0,1,Press Release Desk,News Partner,"Press release from the Town of Norton:
Posted on: August 24, 2020 - 10:04am
To all Norton Residents:Live early voting was originally scheduled to be in both the Cafeteria and Gymnasium of the Norton Middle School. There has been very little activity so I have closed off the Cafeteria and it is being held in the Gymnasium only. If you come to early vote, please enter at the side door leading into the Gymnasium. Signs have been posted.
Early Voting is going on today thru Thursday from 8:30 am until 3:30 and Friday 8:30 am until 12:30 pm.
Please be aware that Wednesday, August 26th is the deadline for the Town Clerks Office to receive Mail-in Voting Application cards for the State Primary.
The State Primary Election will be held on Tuesday, September 1, 2020, at the Norton Middle School. Precincts 1 and 2 will be voting in the cafeteria and Precincts 3, 4, and 5 in the Gymnasium. Polling hours are 7:00 am until 8:00 pm.
I encourage you to wear masks and bring your own pens. Again, please NO red pens, or the machines will reject the ballots. Sanitized pens and masks will be available if needed. The 6-foot distance rule will apply.
As of today, we have started mailing out Ballots for the Special TOWN Election to be held on Saturday, September 12, 2020, at the Norton Middle School. Polling hours will be from 9:00 am until 3:00 pm. Again, Precincts 1 and 2 will be voting in the cafeteria and Precincts 3, 4, and 5 in the Gymnasium.
Residents who sent in mail-in ballot voting cards for all elections will be receiving a ballot for this Special Town Election. I encourage you to use the drop box at the front entrance of Town Hall to return your ballot.
Again, thank you for your patience and understanding.
Lucia LonghurstTown Clerk
This press release was produced by the Town of Norton. The views expressed here are the author's own."
4,/massachusetts/norton/norton-residents-notice-fire-pump-flow-test,2020-08-25T13:17:58Z,Norton Residents Notice Of Fire Pump Flow Test,0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
Posted on: August 21, 2020 - 12:00pm
ATTENTION NORTON RESIDENTS
On Wednesday, August 26th beginning at 9 a.m. there will be a Fire Pump Flow Test conducted by Platinum Fire Protection at the location of 15 Leonard St, Norton, Ma for the purpose of testing a new fire pump.
Any discoloration in water will be the results of this test and will only be temporary.
For more information please contact:Company Contact Person's: Ryan Benedetti, Fire Protection DesignerCompany Name: Platinum Fire ProtectionCompany Phone Number: 508-481-8242
This press release was produced by the Town of Norton. The views expressed here are the author's own."
5,/massachusetts/norton/message-norton-town-clerk-final-notice-early-voting,2020-08-21T13:10:09Z,A Message From The Norton Town Clerk: Final...,0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
To Norton Residents There is a DROPBOX outside the front door at Town Hall for Ballots and Applications.
FINAL NOTICE FOR EARLY VOTING Live Early voting for the State Primary will be held at the Norton Middle School, 215 West Main Street, Norton and set up in both the cafeteria and gym. For Live Early Voting ONLY, precincts will not be set up, so you may vote either in the cafeteria or gym. Again, this is for Live Early Voting ONLY.
The 6' rule will apply and I encourage you to wear a mask. If you do not bring your own pen we will have them at check-in. If you do bring your own pens, please NO RED PENS, the ballot machines reject anything marked in red. We will have sanitizer available and the poll workers will have virus shields and masks.
The dates for Early Voting are as follows:
Saturday, August 22, 2020 8:00 am – 12:00 pm
Sunday, August 23, 2020 8:00 am – 12:00 pm
Monday, August 24, 2020 8:30 am – 3:30 pm
Tuesday, August 25, 2020 8:30 am – 3:30 pm
Wednesday, August 26, 2020 8:30 am – 3:30 pm
Thursday, August 27, 2020 8:30 am – 3:30 pm
Friday, August 28, 2020 8:30 am – 12:30 am
Again, Live Early Voting will be held at the Norton Middle School, 215 West Main Street, Norton.
The State Primary Election will be held on Tuesday, September 1, 2020, at the Norton Middle School, 215 West Main Street. Polling hours will be from 7:00 am until 8:00 pm. Precincts will be set up. Precincts 1 and 2 will vote in the cafeteria and Precincts 3, 4, and 5 will be in the gym.
Again, the 6' rule will apply and I encourage you to wear a mask. If you do not bring your own pen we will have them at check-in. If you do bring your own pens, again, please NO RED PENS, the ballot machines reject anything marked in red.
Special Town Election for a new Select board Member will be held on Saturday. September 12, 2020, at the Norton Middle School, 215 West Main Street, Norton. There will be NO Early Voting for the Special Town Election.
Polling hours for the Special Town Election will be from 9:00 am until 3:00 pm. If you have mailed in your postcard or absentee ballot application for all elections, you will automatically receive your ballot in the mail once they come in.
There will be Live Early Voting for the Presidential Election that will be held on November 3, 2020. Details as to location and hours will be announced once finalized.
If you're going to the Polls to vote, please dress according to the weather and if rain is predicted bring an umbrella in case of long lines.
Should you have any questions, please contact the Town Clerk's Office at 508-285-0230.
Thank you.Lucia Longhurst, Town Clerk
This press release was produced by the Town of Norton. The views expressed here are the author's own."
6,/massachusetts/norton/norton-charter-commission-s-preliminary-charter,2020-08-11T21:34:19Z,Norton Charter Commission’s Preliminary Charter,0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
Posted on: August 10, 2020 - 9:29am
In accordance with Section 9 of MGL Chapter 43B, the Norton Charter Commission has provided their Preliminary Report and Charter to the Town Clerk's office:
To view the Preliminary Report, click here:
To view the Preliminary Charter, click here:
More details can be found on the Charter Commission's page at https://www.nortonma.org/charter-commission
This press release was produced by the Town of Norton. The views expressed here are the author's own."
7,/massachusetts/norton/norton-has-2-candidates-fill-open-select-board-seat,2020-08-07T15:40:12Z,Norton Has 2 Candidates To Fill Open Select...,0,0,Scott Souza,Patch Staff,"NORTON, MA — The Norton Select Board will have two candidates vying for the open seat for its Sept. 12 special election.
The town announced that Megan Artz and Frank Parker will be on the ballot when in-person voting takes place at Norton Middle School from 9 a.m. to 3 p.m.
Those wishing to vote by mail will have a ballot automatically sent to them if they send back their application card and check the box marked ""for all elections this year.""
There will be no early voting for the special town election.
Early, in-person voting for the Sept. 1 state primary election will begin Aug. 22 at Norton Middle School. Polling locations will be set up in both the cafeteria and gym, and registered voters can vote in either location regardless of precinct."
8,/massachusetts/norton/norton-person-early-voting-begins-aug-22-middle-school,2020-08-06T17:32:20Z,Norton In-Person Early Voting Begins Aug. 22 At...,0,0,Scott Souza,Patch Staff,"NORTON, MA — Early, in-person voting for the Sept. 1 state primary election will begin Aug. 22 at Norton Middle School.
Polling locations will be set up in both the cafeteria and gym, and registered voters can vote in either location regardless of precinct.
The town said 6-foot social distancing protocols will be in place and voters are strongly encouraged to wear masks at all times. Voters can bring their own pen — as long as it is not red, which cannot by read by the voting tabulation machine.
Hand sanitizer will be available and poll workers will be wearing both masks and face shields.
Voting will be held from 8 a.m. to noon on Aug. 22 and Aug. 23, 8:30 a.m. to 3:30 p.m. from Aug. 24 through Aug. 27 and 8:30 a.m. to 12:30 a.m. on Aug. 28.
Polling hours for the Sept. 1 election will be 7 a.m. to 8 p.m. at Norton Middle School with Precincts 1 and 2 to vote in the cafeteria, and Precincts 3, 4 and 5 to vote in the gym.
A special town election for a new Select Board member will be Sept. 12 at the middle school. There will be no early voting for the town election.
Polling hours for the special town election will be 9 a.m. to 3 p.m. Those who have requested a vote-by-mail ballot for all elections in the town in 2020 will receive a ballot for the town election.
Details about in-person early voting for the presidential general election on Nov. 3 will be announced at a later date."
9,/massachusetts/norton/mermell-endorsed-norton-select-board-member-michael-toole,2020-08-03T23:33:21Z,Mermell Endorsed by Norton Select Board Member...,0,0,Jesse Mermell for Congress,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Jesse Mermell today earned the endorsements of Norton Select Board Member Michael Toole. Toole is backing Mermell in the crowded Fourth District race because she is the best candidate to stand up to Donald Trump and fight for bold, progressive change.
""Of all the candidates in the Fourth District race for Congress, only one stands above the rest and that is Jesse Mermell,"" said Toole. ""Her vision and experience are why she has earned my vote. No matter what is the issue: workers' rights, women's health she has always been a positive catalyst for change we need here at home and in Washington.""
Mermell was also endorsed by the 4,000-member International Union of Painters and Allied Trades District Council 35 on Monday. The Painters are Mermell's 21st union endorsement, collectively representing 269,000 workers – the most labor union endorsements of any candidate in the 9-person race. She has also now been endorsed by 75 current and former elected leaders throughout the District.
""Elected officials, labor unions, and progressive organizations are uniting behind my candidacy because they know that I'm the proven progressive in this race who has been fighting for economic, social and racial justice my entire career and will do the same in Congress,"" said Mermell. ""I look forward to working hand-in-hand with these leaders to take on Donald Trump, stand up for workers and lead an equitable recovery to COVID-19.""
District Council 35 is an organization of approximately 4,000 members in Massachusetts, Maine, New Hampshire, Vermont, and Rhode Island. They are affiliated with the International Union of Painters and Allied Trades, AFL-CIO. Their members include construction industry painters, wallcoverers, glaziers, drywall finishers, residential painters, glassworkers, sign painters and sign erectors, institutional maintenance trades workers and public employees.
""Jesse Mermell has stood on the side of workers her entire career – fighting for Paid Family and Medical Leave, a higher minimum wage, earned sick time, equal pay and more,"" said Jeff Sullivan, Business Manager & Secretary Treasurer. ""We know that she will continue to fight for us in Congress and will make sure COVID-19 relief benefits workers. District Council 35 is proud to endorse her.""
Last week, Mermell received endorsements from United Auto Workers Region 9A and Boston Carmen's Local 589. She has dominated the crowded field with broad support from top progressive leaders and organizations including Congresswoman Ayanna Pressley, former First Lady Diane Patrick, the National Women's Political Caucus, the SEIU State Council, the Massachusetts Teachers Association, the Massachusetts Nurses Association, IBEW Local 103, the Machinists, and the Coalition for Social Justice, as well as local leaders across the district and state. A full list of endorsements can be found here."
10,/massachusetts/norton/norton-west-main-street-sewer-project-blasting-begin-monday,2020-07-28T13:38:08Z,Norton West Main Street Sewer Project Blasting...,0,2,Press Release Desk,News Partner,"Press release from the Town of Norton:
A-1 Drilling & Blasting Company has been contracted to conduct blasting operations on the West Main St Sewer Project.
A-1 Drilling & Blasting Company personnel are fully qualified and operate at the highest level of competency in the Industry. We adhere to all federal and state regulations controlling blasting. We Monitor all our blasts with the latest seismic equipment available. A-1 Drilling & Blasting Company's highest priority is to ensure your safety and to minimize any inconvenience blasting my cause you.If any problems should arise or if you have any questions or concerns, please call us at 508-779-7737.
If you believe you have any damage from the blasting operation, contact the Norton Fire Department 508-285-0248 and fill out a damage complaint form. All blasts will be monitored with a minimum of 2 seismographs set at the closest structures to the blasting by a qualified A-1 Drilling & Blasting Company employee. Prior to Blasting, Warning Signals Are:3 Long Whistles, (Horns, Sirens, Etc.) Clear Area 5 Min. prior to Blast2 Short Whistles, (Horns, Sirens, Etc.) 1 Min. prior to the Blast1 Long Whistle, (Horns, Sirens, Etc.) All clear
This press release was produced by the Town of Norton. The views expressed here are the author's own."
11,/massachusetts/norton/norton-virtual-public-hearing-package-store-transfer-license,2020-07-28T13:31:42Z,Norton Virtual Public Hearing On Package Store...,0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
Remote Participation Only- All are Invited to Participate Pursuant to Governor Baker's March 12, 2020 Order Suspending Certain Provisions of the Open Meeting Law, G.L. c. 30A, §18, and the Governor's March 15, 2020 order imposing a strict limitation on the number of people that may gather in one place: The Select Board will conduct a Public Hearing on August 20, 2020, at 6:45 P.M. via remote participation in accordance with Chapter 138 of the Massachusetts General Laws.
Meeting participation instructions will be listed on the meeting agenda posted with the Town Clerk a minimum of 48 hours before the meeting date. The agenda will be available at www.nortonma.org.
The Public Hearing Notice is attached below.
This press release was produced by the Town of Norton. The views expressed here are the author's own."
12,/massachusetts/norton/norton-2020-vote-mail-applications,2020-07-28T13:27:04Z,Norton 2020 Vote By Mail Applications,0,0,Press Release Desk,News Partner,"Press release from the Town of Norton:
2020 Vote by Mail Application attached below.
This press release was produced by the Town of Norton. The views expressed here are the author's own."
13,/massachusetts/norton/norton-moves-town-meetings-outdoors-football-field,2020-07-27T21:11:44Z,Norton Moves Town Meetings Outdoors To Football...,0,0,Scott Souza,Patch Staff,"NORTON, MA — Norton is planning to keep its town business outdoors and socially distanced this summer and fall with the decision to move its town meetings to the football field.
The town will hold a special town meeting on the Norton High football on Aug. 29 at 9 a.m. The annual fall town meeting has been set for the Norton High football field on Oct. 17 at 1 p.m. The rain date in the fall is Oct. 24 at 1 p.m.
Warrant articles for the special town meeting will be accepted until 4 p.m. on Aug. 4. Warrant articles for the annual fall town meeting will be accepted until Aug. 20 at 3:30 p.m. at the Select Board's office at the Norton Municipal Office, East Main Street, in Norton."
