,url,Date,Title,Thank,Reply,author,title,context
0,/california/novato/newsom-california-has-dispersed-10-1-million-unemployment,2020-05-05T21:53:24Z,California Has Paid Out $10.1M In Unemployment ,0,3,Bay City News,News Partner,"CALIFORNIA — Gov. Gavin Newsom announced Tuesday that the state has dispersed more than $10 billion in unemployment insurance throughout the state since March 15, shortly before the state's COVID-19 coronavirus shelter-in-place order began.
Roughly 4.1 million California residents have received about $10.1 billion in unemployment insurance, including roughly 450,000 people who are self-employed.
""This is unprecedented in our state's history,"" Newsom said. ""These are numbers that no one thought they'd see in our lifetime.""
Newsom said he plans to work with the state Legislature to include more protections for self-employed and gig economy workers in the May revision of the state budget, which legislators must pass by June 15. For essential workers and workers whose businesses may open in the
next week as the state begins modifying its stay-at-home order, Newsom said the state has procured millions of protective masks and other items in recent weeks.
The state has dispersed some 14 million protective items and still has a stockpile of nearly 20 million items that are ready for use. The state has prioritized health care workers, first responders
and workers in skilled nursing and assisted living facilities for protective gear, but Newsom said grocery and retail workers will begin receiving protective items from the state very soon.
""I can assure you, all of these months, we have never had so many procedure masks, surgical masks in our possession, now able to be distributed all across the state of California,"" Newsom said.
The state is still planning to allow some low-risk businesses and industries to resume operations on Friday. However, Newsom chastised a handful of northern California counties who have announced their intentions to open higher-risk businesses such as hair salons and dine-in restaurants.
""They're making a big mistake,"" Newsom said of Yuba and Sutter counties. ""They're putting their public at risk, they're putting (the state's) progress at risk.""
Health officials around the state have confirmed a total of 56,212 coronavirus cases, including 2,317 deaths, according to Newsom. In addition, 1,157 people are in intensive care due to the virus and 3,369 are currently hospitalized across the state.
Copyright 2020 by Bay City News, Inc. -- Republication, Rebroadcast or any or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
1,/california/novato/bill-seeks-data-how-coronavirus-impacts-lgbtq-community,2020-05-05T18:24:22Z,Bill Seeks Coronavirus Data For LGBTQ Community ,0,0,Bay City News,News Partner,"Sen. Scott Wiener, D-San Francisco, introduced a bill Tuesday requiring the state to collect data on how the COVID-19 coronavirus pandemic affects the LGBTQ community.
Currently, the state collects coronavirus case, death and hospitalization data by race and ethnicity, age and gender but not by sexuality. Wiener's bill, Senate Bill 932, would require the state to begin
collecting virus data on the LGBTQ community to understand how the virus
affects it.
Wiener suggested that LGBTQ people could be suffering more from the virus because the community has higher rates of cancer, HIV and AIDS, respiratory issues due to smoking, homelessness and youth homelessness.
The data collection, Wiener said, would also demonstrate the state government's support for the LGBTQ community, which has been routinely neglected by state and local governments, most notably during the HIV and AIDS crisis in the 1980s.
""We know that COVID-19 is harming the LGBTQ community, but because no data is being collected, we're hamstrung in making the case to devote attention and resources,"" Wiener said. ""The history of the LGBTQ community is a history of fighting against invisibility. Without data, we quickly become an invisible community and risk being erased.""
Equality California is sponsoring the bill, according to Wiener's office. Wiener did not give an estimated date of when the state Legislature could begin discussing the bill. The Legislature reconvened Monday for the first time since mid-March after the pandemic upended the
legislative session. In the coming weeks, state lawmakers will also be required to juggle the pandemic response and the state budget, which must be approved by June 15.
Copyright 2020 by Bay City News, Inc. -- Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
2,/california/novato/measure-c-wildfire-prevention-tax-narrowly-passing-marin,2020-03-07T20:38:30Z,Measure C Wildfire Tax Narrowly Passing In Marin,0,3,Bay City News,News Partner,"MARIN COUNTY, CA — Updated Marin County election results late Friday afternoon show Measure C, a 10-cents-per-square-foot building tax to provide $19.3 million annually to support coordinated wildfire prevention measures is passing by a 1.6-percent margin.
The Marin Wildfire Prevention Authority's measure needs 66.7 percent approval and has received 68.3 percent.
The Marin County Registrar of Voters said Friday morning 33,000 mail-in ballots and 6,000 provisional ballots remained to be counted.
Registrar of Voters Lynda Roberts said it might be another two weeks before all the ballots are processed and tallied.
Election workers will work 9:30 a.m.-3:30 p.m. Saturday, and the public is welcome to observe their efforts at the Elections Office, Suite 121 in the Civic Center at 3500 Civic Center Drive in San Rafael.
Copyright 2019 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
3,/california/novato/marin-sonoma-voters-reject-30-year-smart-tax-extension,2020-03-04T07:23:41Z,Voters Reject 30-Year SMART Tax Extension,0,2,Kristina Houck,Patch Staff,"NORTH BAY, CA — Voters in Marin and Sonoma counties rejected a tax extension for the operation of the Sonoma-Marin Area Rail Transit's SMART train system.
Measure I would have extended an existing quarter-cent sales tax to help finance the operations of the train system for an additional 30 years.
Measure I needed two-thirds approval. In Marin County, the measure received 53.5 percent approval with all 157 precincts reporting as of early Wednesday morning. In Sonoma County, the measure received just 49.8 percent with all 526 precincts reporting.
The tax was first approved by voters in Marin and Sonoma counties in 2008 and generates around $40 million a year for SMART. The existing tax expires in 2029."
4,/california/novato/ca-primary-election-novato-vote-measure-other-measures,2020-03-02T15:00:00Z,"Novato To Vote On Measure A, Other Measures",0,0,Kristina Houck,Patch Staff,"NOVATO, CA — Turnout is expected to be strong election day in California, as many of Marin County's more than 166,000 registered voters cast their ballots in the presidential primary election.
For the first time, California is part of Super Tuesday, when presidential primaries will take place in more than a dozen states. In the past, the Golden State's primary was held in June, when the nominees for both major parties are typically already decided.
There are 20.4 million registered voters in the state, an increase of 3.1 million since the last presidential election in 2016. In fact, 80 percent of eligible Californians are registered to vote, the highest heading into a presidential primary in California in the past 68 years.
A total of 166,260 people are registered to vote in Marin, according to the latest voter registration numbers from Secretary of State Alex Padilla's office. That's nearly 92 percent of eligible voters.
""California entered 2020 with a record 20.4 million registered voters — and I only expect that figure to climb as we reach the presidential primary in March and general election in November,"" Padilla said.
The statewide races dominating the headlines in California are those for the presidential primary and Proposition 13, the only statewide measure on the ballot. Proposition 13 asks voters to authorize the sale of $15 billion in bonds to fund facility improvements at schools from pre-K to public universities.
In Marin County, voters will also weigh in on various local measures and races for city and town councils, the Board of Supervisors, State Assembly and U.S. Congress.
In the 2nd Congressional District, incumbent Democrat Jared Huffman is facing Democrat Rachel Moniz, Republican Dale K. Mensing, Green Party candidate Melissa Bradley and American Independent Party candidate Charles ""Wally"" Coppock. The district spans the North Coast of the state, from the Golden Gate Bridge to the Oregon border, and includes Marin, Sonoma, Mendocino, Humboldt, Trinity and Del Norte counties.
In the 10th Assembly District, incumbent Democrat Marc Levine is facing Democrats Ted Cabral and Veronica ""Roni"" Jacobi and Republican Ron Sondergaard. The district encompasses all of Marin County and some of Sonoma County.
In District 2, Supervisor Katie Rice is running unopposed.
In District 3, Bill Bailey, Jack Kenney and Stephanie Moulton-Peters are competing for the open seat. Supervisor Kate Sears is retiring.
In District 4, Supervisor Dennis Rodoni is facing challenger Alex Easton-Brown.
Elections are being held for the Corte Madera Town Council, Mill Valley City Council, Ross Town Council and Tiburon Town Council.
There are 10 local measures in Marin County. Read more here.
Here are some of the issues facing Novato voters:
Novato Unified School District Measure A
Measure A would add $125 to the current $251 per parcel rate. The measure includes 3 percent annual inflation adjustments. The total parcel tax amount would be $376 annually, raising $6 million per year for 8 years. Funds would be used to attract and retain teachers; protect the quality of academic instruction in core subjects; protect music, art and athletic programs; expand mental health counseling services; provide career and technical training; and minimize increases to class sizes.
Marin Wildfire Prevention Authority Measure C
Measure C would levy an annual special tax to fund Marin Wildfire Prevention Authority, a new wildfire prevention agency formed by 17 fire protection agencies in the county that represent more than 98 percent of the land and more than 96 percent of the residents of Marin.
The annual tax would be up to 10 cents per square foot for improved commercial and residential parcels. The tax would be $75 per unit for multifamily residential structures with three or more units, and $25, $100 or $150 per unimproved parcels based on acreage.
The tax would raise approximately $19.3 million annually for wildfire prevention in the county.
San Geronimo Valley Golf Course Measure D
Measure D would amend the San Geronimo Valley Community Plan and the Marin County Development Code to require voter approval for any change in the primary golf course use of the San Geronimo Valley Golf Course property. The measure would also require the county to prepare economic and environmental analyses of proposed changes.
Sonoma-Marin Area Rail Transit District Measure I
Measure I would extend an existing quarter-cent sales tax to help finance the operations of the Sonoma-Marin Area Rail Transit District's commuter train for an additional 30 years. The tax was first approved by voters in Marin and Sonoma counties in 2008 and generates around $40 million annually for SMART.
Polls open at 7 a.m. and close at 8 p.m. on election day in California. Ballots must be handed in by the time polls close, according to the Secretary of State. Mailed ballots must be postmarked on or before election day.
Find your polling place by using Marin County's online locator and entering your address. Also see this list of polling places.
Also see:"
5,/california/novato/primary-2020-polling-places-novato-where-vote,2020-02-25T17:30:06Z,Primary 2020 Polling Places In Novato,0,0,Kristina Houck,Patch Staff,"NOVATO, CA — Election Day is Tuesday, March 3, but early and vote-by-mail voting is already underway for the Presidential Primary Election in California.
If you're casting a ballot in person, it's important to show up at the correct polling place. Use Marin County's online locator by entering your address. Also see this list of polling places.
If you're voting by mail, drop your vote-by-mail ballot in the mail or drop it off at any polling place or at the county's Elections Department. The Elections Department is open from 8 a.m. to 4:30 p.m. weekdays and from 7 a.m. to 8 p.m. on Election Day.
There is also a dropbox through 8 p.m. Election Day at the main entrance to the Marin Civic Center at 3501 Civic Center Drive in San Rafael. The main entrance is on Peter Behr Drive under the Civic Center's south archway.
Polls open at 7 a.m. and close at 8 p.m. on Election Day in California. Ballots must be handed in by the time polls close, according to the Secretary of State. Mailed ballots must be postmarked on or before Election Day.
Also see:"
6,/california/novato/novatos-2020-state-city-address,2020-02-23T23:34:00Z,Novato's 2020 State Of The City Address,0,0,Press Release Desk,News Partner,"From the City of Novato:
February 19, 2020
The community is invited to attend the 2020 State of the City Address with City Manager Adam McGill on Thursday, February 27 at 8am, Novato City Hall, 901 Sherman Avenue.
The City Manager's address, which is FREE and open to the public, will follow a $10 networking breakfast beginning at 7:30am hosted by the Novato Chamber of Commerce. RSVP for networking breakfast at novatochamber.com.
The address will be live streamed on the City's website at novato.org/watchmeetings.
This press release was produced by the City of Novato. The views expressed here are the author's own."
7,/california/novato/marin-voters-will-consider-parcel-tax-wildfire-prevention,2020-02-16T17:54:56Z,Marin To Vote On Tax For Wildfire Prevention,0,0,Bay City News,News Partner,"MARIN COUNTY, CA — Marin County voters will consider Measure C, a 10-cent per building square-foot tax for 10 years that would raise $19.3 million a year for wildfire prevention measures.
The Yes on C group says the measure will improve emergency alert and warning systems, improve evacuation routes and infrastructure for quicker evacuations, reduce hazardous vegetation and expand defensible space and fire safety inspections.
The Marin Wildfire Prevention Authority, comprised of 17 public agencies responsible for fire services, supports the measure that requires two-thirds approval. Proponents say the county needs a coordinated program for proactive wildfire prevention and preparedness.
The Coalition of Sensible Taxpayers, CO$T, initially opposed the measure because the tax had no expiration, but now supports Measure C. The Marin Conservation League and fireSAFEMARIN also support Measure C.
The Marin Public Policy Institute opposes the measure. Treasurer Michael Hartnett believes the threat of wildfires in Marin County are being exploited to raise taxes for unfounded pensions, and the Marin Wildfire Prevention Authority is a bureaucracy unaccountable to voters.
Hartnett said the unnecessary tax likely will become permanent within five years and there is ample revenue from existing taxes for removing vegetation and evacuation routes.
The Marin Public Policy Institute says competent traffic managers have already established evacuation routes without the need for a $19 million a year tax to burdening taxpayers.
The Tiburon Fire Protection District and the City of Belvedere elected not to join the Marin Wildfire Prevention Authority because they receive revenue for fire services from a local tax.
Copyright 2019 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
8,/california/novato/novato-names-new-finance-director,2020-02-11T22:24:36Z,Novato Hires New Finance Director,0,0,Kristina Houck,Patch Staff,"NOVATO, CA — Novato has hired Amy Cunningham as the city's new finance director.
Cunningham has more than 20 years of local government finance experience working for the cities of Dublin, Moraga, Walnut Creek and Half Moon Bay. Much of her work has focused on strengthening the fiscal stability of cities and increasing transparency to the public, according to Novato city officials.
As finance director, Cunningham will oversee the city's budget preparation, financial reporting, general accounting, purchasing, payroll, debt administration, and management of revenue and invested funds.
""Amy brings a tremendous amount of financial and budgeting expertise to Novato,"" City Manager Adam McGill said. ""I look forward to her leadership as we strengthen our finance department and continue to build trust with our community.""
In her most recent role as the interim administrative services manager with the city of Half Moon Bay, Cunningham assisted in rebuilding the administrative services department and worked to identify process and policy enhancements to improve financial reporting and controls, according to Novato city officials.
A graduate of Cal State Hayward, Cunningham earned a bachelor's degree in political science and a master's degree in public administration. She has served as a board member for the Municipal Management Association of Northern California and served as co-chair of the Preparing the Next Generation initiative for the state affiliate of the International City/County Management Association, Cal-ICMA.
""My enthusiasm for public service has provided me with an in-depth understanding of the many facets of local government,"" Cunningham said. ""I'm happy to be joining the city of Novato team and serving the Novato community and council.""
Cunningham will begin her new role on Feb. 18. She will receive an annual base salary of $174,994, according to the city."
9,/california/novato/marin-offer-affordable-housing-incentives-property-owners,2020-01-20T17:52:13Z,Marin To Offer Affordable Housing Incentives,0,0,Bay City News,News Partner,"MARIN COUNTY, CA — Bay Area cities continue the process of updating their local ordinances governing ""accessory dwelling units"" to conform to new state laws that give cities less control over what they allow.
City councils in Walnut Creek and Piedmont are set to address the issue at their respective meetings Tuesday night.
Changes being considered in these two cities and elsewhere come via several bills signed in October by Gov. Gavin Newsom meant to increase affordable housing stocks statewide. ADUs, sometimes called ""mother-in-law"" units or ""granny flats,"" are one part of the state's ideal formula for providing more such housing.
One new law, AB 68/AB 881, will limit cities' ability to prevent homeowners from building second and third units less than 16 feet tall provided there is enough space to build them at least four feet from property lines. It also prohibits replacement off-street parking when a ""garage, carport or covered parking structure"" is demolished or converted into an ADU.
Walnut Creek planners say the new state laws ""would have nullified the entirety"" of that city's existing zoning regulations for ADUs, because some of its provisions conflicted with those in the new state law. The City Council on Dec. 17 adopted an urgency ordinance that removed these conflicting provisions, but further action is needed to comply with state law.
Between a significant update of Walnut Creek ADU regulations in 2017, and the new state law that ""leaves very little else for the city to regulate in regards to ADUs,"" the City Council is being urged to make its urgency ordinance permanent over the next several months.
The Piedmont City Council is set to take up the issue at its Tuesday meeting, and is poised to implement the proposed ordinance changes. On Jan. 13, the Piedmont Planning Commission voted to recommend updates to the city's ordinance regulating ADUs to bring the city's ordinance in line with the new state laws. Saying they felt their hands, and the city's hands, are tied by the new state laws, commissioners voted to recommend updates to the city's ordinance regulating ADUs that give the city less autonomy in regulating these units.
Meanwhile, Marin County is offering new financial breaks for property owners in unincorporated parts of that county to create affordable rental units on their properties.
Under this program overseen by the Marin County Community Development Agency, property owners renting ADUs to tenants with household income of less than 80 percent of the local median will have as much as $10,000 in permit fees waived, and smaller breaks as the tenants' incomes rise. The financial incentives are extended to cover fines or fees for property owners rehabilitating existing units or legalizing unpermitted ones.
The new local rules are retroactive to Jan. 1 and are valid through Dec. 31.
The Walnut Creek City Council meeting begins at 6 p.m. Tuesday at City Hall, 1666 N. Main St. The Piedmont City Council meeting begins at 7:30 p.m. at City Hall, 120 Vista.
Copyright 2019 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
