,url,Date,Title,Thank,Reply,author,title,context
0,/new-york/nyack/17th-congressional-district-jones-ahead-after-ny-primary-day,2020-06-24T15:10:24Z,17th District: Jones Ahead After Primary Day ,0,0,Lanning Taliaferro,Patch Staff,"HUDSON VALLEY, NY — With voter results in from Primary Day for Congressional District 17, Rockland County resident Mondaire Jones leads his rivals running for the Democratic line on the November ballot. Maureen McArdle Schulman of Westchester holds a commanding lead for the Republican line.
Longtime Rep. Nita Lowey is retiring from the district, which includes most of Westchester County and all of Rockland. Ten people from the two major political parties sought to replace the powerful congresswoman, who chairs the House Appropriations Committee. Catherine Parker dropped out of the race after the ballots were printed.
Results of the primaries are still weeks away. Unofficial election night results do not include the results of absentee ballot voting. State election officials said county boards of elections have received a historically high number of absentee ballots for all the June 23 primaries due to the coronavirus pandemic.
Absentee ballots postmarked by June 23 must be received by the Board of Elections no later than June 30, 2020 to be counted, as per New York State Election Law Section 8-412(1).
Jones, 33, is a former litigator in the Westchester County Law Department and former Department of Justice staffer during the Obama Administration. He has degrees from Stanford University and Harvard Law School.
""I think we get better policy outcomes when we have more people in Congress for whom policy is personal,"" he told Patch. Read his complete candidate profile.
Schulman was one of New York City's first female firefighters. ""Our individual rights and freedoms are currently under attack. We are being forced into conformity of opinion and speech by those claiming to be politically correct,"" she told Patch. Read her candidate profile.
The New York State Board of Elections posted these interim vote tallies:
Democratic primary
Republican primary
In the Demcratic Primary, in Rockland County, Jones ended Tuesday with 39 percent of the votes. Westchester resident Adam P. Schleifer picked up 26 percent of the vote and Rockland resident David Carlucci was the third highest vote getter with 20 percent. In Westchester County, Jones had a stronger showing, picking up 47 percent of the votes. Evelyn Farkas was the second-highest vote getter with 13 percent. Schliefer received 12 percent of the vote.
In the Republican primary, Schulman picked up 61 percent of the vote in Rockland and 78 percent of the vote in Westchester.
You can also check out results on your county's board of elections website."
1,/new-york/nyack/candidate-profile-mondaire-jones-congress,2020-06-16T17:50:53Z,Candidate Profile: Mondaire Jones For Congress,0,0,Lanning Taliaferro,Patch Staff,"HUDSON VALLEY, NY - New Yorkers will be hitting the polls on June 23 for the primary election to choose who will be on the ballot for the general election in November.
Among the local races, some residents of the Hudson Valley will be able to elect who will run for Congressional District 17 on the Democratic line. Longtime Rep. Nita Lowey is retiring at the end of the term.
The district covers Rockland County and most of Westchester.
In anticipation of the election, Patch asked candidates in the contested races to answer questions about their campaigns and will be publishing candidate profiles as election day draws near.
Mondaire Jones is seeking the Democratic line on the ballot in November. His opponents in the June 23 Democratic primary are Evelyn Farkas, Adam P. Schleifer, Allison H. Fine, Asha Castleberry-Hernandez, David Buchwald and David Carlucci.
Jones, 33, is a former litigator in the Westchester County Law Department and former Department of Justice staffer during the Obama Administration. He has degrees from Stanford University and Harvard Law School.
Check out Patch's full Q&A with Mondaire Jones:
Campaign website
www.mondaireforcongress.com
Why are you seeking elective office?
I'm running for Congress because, for me, policy is personal. I know what it is for a working family to struggle and rely on government assistance to survive, and I am going to bring those lived experiences with me to Congress.
I grew up in the working-class village of Spring Valley, where I was raised by a young, single mom who, like so many women throughout my district, and all throughout this country, worked multiple jobs just to provide for our family—even as we relied on Section 8 housing and food stamps. When we talk about the fight for a $15 minimum wage at the federal level, that fight is personal for me.
My mom got help from my grandparents. My grandfather was a janitor at our local middle school, and later, he was a small business owner. My grandmother cleaned homes, and when day care was too expensive, she took me to work with her. Now, I'm running to represent the same people whose homes I watched my grandmother clean growing up. When we talk about the fight for universal child care, that's a fight I'm invested in based on my own experience.
After my grandfather died of cancer, I watched helplessly as my grandmother worked well past the age of retirement just to pay for the high cost of prescription drugs and medical procedures not fully covered by Medicare as we know it. When I quit my job to try to better my community by running for Congress, I lost my health insurance. I believe health care should be a human right in the richest nation on Earth, not tied to employment status or economic means.
I'm 32 years old. I remember what it's like to be a broke college student, because for me, that wasn't so long ago. And the fact is, this country has failed its young people. Thousands of people in my district, my age and younger, despite having college degrees, are still living at home with their parents because they can't afford to pay rent or own a home. We were told that if we just went to college and graduated like our parents may have, things would work out. But we know that that's not true. Part of that is due to low wages in this broken economy -- wages that have been stagnant for decades as the cost of living has soared -- but it's also due to a student debt crisis to the tune of $1.7 trillion. I propose tuition-free public colleges and universities and forgiving college debt to liberate an entire generation of people to meaningfully participate in our economy.
The Green New Deal is personal for me, and in fact the environment is my number one priority. Our generation is inheriting a planet that stands to be devastated by climate catastrophe because people who have been in office for a really long time have failed to act with the kind of urgency the issue requires.
And when Democrats huddle together to talk about how to respond to this President's embrace of white supremacy, and his assault daily on members of the LGBTQ+ community, of which I am a part, I think that more people like me need to be at the table participating in that discussion and indeed driving the conversation. In fact, there has never been an openly gay, black member of Congress in the 244-year history of the United States.
We have never been at a moment in American history when we have more urgently needed people in office for whom policy is personal. I think we get better policy outcomes when we have more people in Congress for whom policy is personal. Representatives like me can be trusted to always fight for the best interests of their constituents, even when the doors are closed in the halls of Congress and our constituents can't see what we are doing.
The fact is, I've been fighting my whole life. First, it was against the odds of my upbringing, to the point where I was able to make it to Stanford University, work in the Obama Administration at the Department of Justice (vetting candidates for federal judgeships and working on criminal justice reform), and then attend Harvard Law School. More recently, as a lawyer in government, I've been fighting in the courtrooms of Westchester County on behalf of my future constituents. Now, I'm running to fight for all of the people in my district and across the country.
The single most pressing issue facing our nation/state/community is _______, and this is what I intend to do about it.
The single most pressing issue facing our nation and our world is climate change, and I will fight tooth and nail to ensure that we have a planet to live on.
Our planet is in peril. According to the United Nations Intergovernmental Panel on Climate Change, we only have 10 years left in which we can act to prevent irreversible damage to Earth due to global warming.
We need bold solutions to meet this unprecedented challenge. The Green New Deal, outlined in H.R. 109, proposes federal mandates to decarbonize our economy instead of unproven market-based ideas. It would transition America to 100% renewable energy by 2030 and avert climate catastrophe, creating 20 million good-paying jobs in the process. It would also ensure that there is a just transition to green jobs for fossil fuel workers who are displaced, hold fossil fuel companies accountable, provide dedicated support to the communities most at risk, and invest in new, sustainable infrastructure across the country.
I will also co-sponsor the Green New Deal for Public Housing Act, which would invest up to $180 billion over 10 years in sustainable retrofits that include all needed repairs; vastly improved health, safety, and comfort; and the elimination of carbon emissions in our federal public housing stock by transitioning them to solar energy.
The transportation sector is the single biggest contributor to carbon emissions globally. We need to wean ourselves off of relying on automobiles and transition to high-speed and light rail powered by clean, renewable energy sources. This would be especially useful in Rockland, where rail service is lacking.
What are the critical differences between you and the other candidates seeking this post?
Health care is a human right. But I am the only candidate in my race who supports Medicare for All, which is the only proposal that would ensure every single American has health care.
I am the only candidate in my race who supports an unadulterated Green New Deal, which would stop climate change while creating millions of good-paying jobs. I am the only candidate supporting universal child care, an issue that is deeply personal for me and which would help so many families throughout our country and district. And I am the only candidate who supports full college debt forgiveness, which would liberate an entire generation of young people to meaningfully participate in this economy.
Unlike many of my opponents in this race, I do not come from money or from a political family. I am not accepting any money from corporate PACs. I am not able to self-fund with millions of dollars of my own money, nor would I if I could because it would be a distortion of our democratic process.
If you are a challenger, in what way has the current board or officeholder failed the community (or district or constituency)
Describe the other issues that define your campaign platform
Some of my other priorities, which are outlined in further detail on my website, include:
Reducing the role of money in our elections, including by passing a system of public financing of our campaigns (as outlined in H.R. 1) and enacting a constitutional amendment to overturn Citizens United.
Universal child care, including co-sponsoring the Universal Child Care and Early Learning Act (H.R. 3315), and supporting paid parental leave.
A massive investment in affordable housing, including co-sponsoring the American Housing and Economic Mobility Act (H.R. 1737) and repealing the Faircloth Amendment.
A $15 minimum wage, and raising the federal poverty line, as I recently wrote about in Crooked Media.
Fully funding our public schools, including increasing Title I funding for our most impoverished schools, as well as increasing funding under Titles II and IV and fully funding the Individuals with Disabilities in Education Act.
LGBTQ+ rights and equity, including co-sponsoring the Equality Act (H.R. 5).
College debt relief and tuition-free public college, which will benefit students of color who are disproportionately burdened by debt.
A suite of criminal justice reforms to redress racial inequalities and harms in our justice system, including repealing the 1994 crime bill that fueled mass incarceration, defunding police and reinvesting this money in health, education, and alternatives to incarceration, eliminating mandatory minimums in sentencing, legalizing cannabis, and banning the box in employment applications.
Reproductive justice, including a constitutional amendment and federal statute to codify Roe v. Wade, repealing the Hyde Amendment, ensuring comprehensive sex education, and ensuring abortion and contraceptive coverage in any Medicare for All legislation that is enacted.
Comprehensive immigration reform, including a pathway to citizenship for our undocumented community, as well as co-sponsoring the DREAM Act (H.R. 6) and ending family separation.
Disability rights, including expanding Social Security Disability Insurance and Supplemental Security Income to end the backlog of 800,000 cases, and ending the sub-minimum wage for people with disabilities.
What accomplishments in your past would you cite as evidence you can handle this job?
My time in the Obama Administration, where I worked in the Office of Legal Policy at the Department of Justice on criminal justice reform and judicial nominations (including now-Supreme Court Justice Kagan), helped me engage with and learn the inner-workings of our federal government and gives me a keen understanding of how to make policy at the federal level. As a lawyer in the Westchester County Law Department, I worked on and won some of the County's biggest cases, and am also proud of drafting legislation and helping the County's Human Rights Commission respond to the uptick in acts of hate in Westchester. My work co-founding a national nonprofit called Rising Leaders, which teaches professional skills to underserved middle-school students and has gotten two grants from the Gates Foundation, has given me hands-on experience in improving the lives of our most vulnerable young people, and insight into what interventions will work best. My activism with the Spring Valley NAACP, and as a former member of the NAACP's National Board of Directors, has given me invaluable experience organizing residents at the local level for important causes, in addition to substantive policy experience nationally.
And I have already demonstrated an ability to organize my community to stand up to systemic racism: as a senior in college, after the Palo Alto Police Chief made comments embracing racial profiling, I successfully organized my fellow students and Palo Alto residents to pressure the department until she resigned and we obtained policing reforms.
I also believe that governing is a moral endeavor as much as it is a technical one, and that your personal experiences inform how hard you fight, and what you fight for. We need more elected officials for whom policy is personal - people who share the lived experiences of so many regular Americans who have to struggle to make ends meet, who have crippling student debt, who have experienced daily the realities of structural racism and inequality. As an attorney, I understand the laws that govern our society - and as a black, gay man and young person, I understand on a personal level how unjust laws affect people's lives. I am running for Congress to fight for a better world for everyone.
The best advice ever shared with me was:
Growing up in the Village of Spring Valley, my mother told me that I could be anything I wanted. It was a radical idea. My mom, who struggled with mental illness, had dropped out of college and was working multiple jobs just to make ends meet — even as we relied on Section 8 housing and food stamps. But I took her advice, and I dreamed big. She opened my world to a universe of possibilities that would have been unthinkable for most people born into my circumstances. That's why I am drawn to public service: because every kid in this district should be able to dream big. My story should not be the exception.
What else would you like voters to know about yourself and your positions?
Our campaign has been endorsed by The New York Times, Sen. Bernie Sanders, Sen. Elizabeth Warren, Sec. Julián Castro, Rep. Alexandria Ocasio-Cortez, Rep. Ayanna Pressley, Rep. Pramila Jayapal, Rep. Deb Haaland, Rep. Ro Khanna, Rep. David Cicilline, Rep. Barbara Lee, Rep. Mark Pocan, the Stony Point Democrats, United Auto Workers, the Congressional Progressive Caucus PAC, the Working Families Party, Democracy for America, The Collective PAC, Victory Fund, the Progressive Change Campaign Committee, New York Communities for Change, Food and Water Action, Rockland United, the Hispanic Democrats of Westchester, Equality PAC, Common Defense, Empire State Indivisible, New York Immigration Coalition, and over 40 local leaders in Westchester and Rockland counties."
2,/new-york/nyack/letter-editor-supporting-reichlin-melnick-ny-senate,2020-06-10T18:27:16Z,Letter To The Editor: Supporting Reichlin-Melnick ,0,0,Lanning Taliaferro,Patch Staff,"To the Editor
The recent COVID-19 pandemic has been a brutal reminder that who we elect to office matters, and can mean the difference between life and death. Whether it's Andrew Cuomo, Donald Trump, or your local mayor, we can see the need for experienced, competent public servants to be in charge. In normal times, our state government is also responsible for our schools, roads, police, libraries, and environment, meaning the stakes couldn't get higher.
I've lived in Nyack almost my entire life, and I can't imagine any home besides Rockland County. After college, I intend on returning home. Yet I can't count how many young people I know who aren't sure if they want to return to Rockland. Property taxes are eye-watering, housing is unaffordable, our schools aren't funded properly, and irresponsible development threatens our quality of life. Decisions made by our officials, especially our State Senator, are critical to addressing this. That's why I'm supporting Elijah Reichlin-Melnick for State Senate.
I've had the chance to see Elijah in action in Nyack, where he is a Village Trustee. He's been a fierce advocate for the community, with no problem too small or large for him to tackle. He has principles and conviction, and he approaches every issue methodically. At Hudson Valley Pattern for Progress, he's done in-depth research into how to make sure the government works for everyone. He has experience at every level of government, and currently serves as a top aide to State Sen. James Skoufis, who has been at the forefront of efforts for government transparency. Elijah's experience in the state legislature means that he won't have a learning curve, and can get right to work advancing our priorities right on day one. As a former elementary school teacher and a fellow Nyack High School graduate, Elijah understands the importance of a public school education in shaping lives and providing opportunity.
Elijah will represent the pragmatic progressive leadership we desperately need. He'll pass stricter gun laws and tax the ultra-wealthy and not the middle class. He'll bring funding home to Rockland and be a doer, not a talker. He knows every issue, inside and out, but is always ready to listen to opinions from others. Elijah's singular priority is making New York State a better place to live for everyone in our vibrant and diverse community.
I hope you'll join me in supporting him with your vote.
Owen Voutsinas-Klose
Nyack, NY
SEE ALSO: Candidate Profile: Elijah Reichlin-Melnick For State Senate"
3,/new-york/nyack/candidate-profile-elijah-reichlin-melnick-state-senate,2020-06-09T14:29:46Z,Profile: Elijah Reichlin-Melnick For State Senate,0,0,Lanning Taliaferro,Patch Staff,"HUDSON VALLEY, NY - New Yorkers will be hitting the polls on June 23 for the primary election to choose who will be on the ballot for the general election in November.
Among the local races, some residents of the Hudson Valley will be able to elect who will run for State Senate in District 38. The seat is being vacated by David Carlucci, who is running to replace Rep. Nita Lowey in Congress.
The oddly-drawn district covers Rockland County and, across the Hudson River, Ossining in Westchester County.
In anticipation of the election, Patch asked candidates in the contested races to answer questions about their campaigns and will be publishing candidate profiles as election day draws near.
Elijah Reichlin-Melnick is seeking the Democratic line on the ballot in November. His opponents in the June 23 primary are Justin L. Sweet and Eudson T. Francois. The winner will face either William J. Weber, Jr. or Matthew R. Weinberg, who are facing off in the Republican primary.
After graduating from Nyack High School, he earned a BA in History & Government from Cornell University, and a Master's in City & Regional Planning from Rutgers University.
He currently serves as the Legislative Director for State Senator James Skoufis, who represents parts of Rockland, Orange, and Ulster counties. He has held this position since January 2019. Over the past decade, he has steadily built his legislative experience by working at all levels of government. After working in Virginia in 2008 to help elect Barack Obama, he returned to Rockland and spent nearly five years as a constituent service specialist and district representative for Congressman Eliot Engel and Congresswoman Nita Lowey.
While completing his Master's degree, Reichlin-Melnick worked as the Executive Assistant for Orangetown Town Supervisor Andy Stewart, and managed Stewart's successful re-election campaigns in 2013 and 2015.
After earning his Bachelor's degree from Cornell University in 2006, he spent two years as an elementary school teacher at an inner city school in New Haven. From 2016-18, he was a Senior Research Planner at Hudson Valley Pattern for Progress, a Newburgh-based non-profit focused on regional planning and local government issues throughout the Hudson Valley.
He has served as a Nyack Village Trustee since being appointed to the board in April 2017. He was elected to the position in November 2017 and re-elected in November 2019.
Check out Patch's full Q&A with Reichlin-Melnick:
Why are you seeking elective office?
In 2018 voters elected a progressive majority in the State Senate for the first time in decades, and in 2019 we saw the results: landmark action on climate change and reproductive health, making the property tax cap permanent, passage of the Child Victims Act, important gun safety reforms, decriminalization of marijuana, major election reforms, and more protections for LGBTQ New Yorkers. Now it's time to continue on the path of bold change while making sure that New York works for everyone, not just the wealthy and well-connected.
I am a proud progressive. I believe government has a vital role to play in protecting our quality of life by ensuring safe neighborhoods, clean water, good roads and mass transit, and well-funded education for our kids. Government exists to serve the people, and improve all our lives.
I love the Hudson Valley. It's why I've chosen to make my home in Nyack, the village where I was born and raised. But while Rockland and Westchester remain wonderful places to live, our region faces many challenges. Property taxes are some of the highest in the nation. Rents are rising rapidly, and healthcare costs are an enormous burden on many families. We're struggling to retain businesses. School districts like East Ramapo and Ossining aren't getting the education funding they deserve. Commuters in Rockland lack access to convenient mass transit.
State government can—and must—do more to help residents of Rockland and Westchester.
The single most pressing issue facing our nation/state/community is _______, and this is what I intend to do about it.
Recovering from the public health and economic consequences of the COVID-19 pandemic. I have put together a detailed plan to help New York families and businesses get back on their feet. We need to establish universal coronavirus testing and guarantee free treatment for anyone with COVID-19 symptoms, build a reliable stockpile of personal protective equipment and take care of vulnerable seniors with delivered meals, case management, homecare services, and increased staffing in nursing homes. To help provide relief for workers businesses we need to secure financial relief for all those negatively impacted by the economic slowdown by waiving state income taxes on unemployment and federal stimulus payments, expand zero interest loans and grants that cover fixed costs and payroll for small businesses and push for tax deferrals, rental assistance and eviction protection for businesses struggling through the crisis.
What are the critical differences between you and the other candidates seeking this post?
I am the only candidate running with experience in local, state, and federal government, having worker for Congresswoman Nita Lowey, Congressman Eliot Engel, former Orangetown Supervisor Andy Stewart, and now serving as a Nyack Village Trustee and the Legislative Director for State Senator James Skoufis. My Albany experience means I'll be able to hit the ground running representing the people of the 38th district in 2021.
I am also the only candidate with a detailed policy platform and stances on the important issues in the race. Neither of the other candidates has released any information about their platform or positions on the issues. I have also received far more endorsements (more than 70) from current and former elected officials, candidates, party and community leaders, unions, and progressive groups.
There is a significant difference between me and my opponent Justin Sweet on the issue of gun safety. While I have been designated by Moms Demand Action for Gun Safety as a ""Gun Sense Candidate of Distinction,"" Justin has a history of troubling ties to the NRA and affiliated groups, having attended local NRA fundraisers, and being supported by leaders in the local NRA affiliate, United Sportsmen Association of Rockland. The Journal News covered this story: https://www.lohud.com/story/ne...
If you are a challenger, in what way has the current board or officeholder failed the community (or district or constituency)
There is no incumbent in this race.
Describe the other issues that define your campaign platform
Education - As a former teacher, I know the importance of education funding. Schools across the 38th district are struggling to find the funding they need to provide students with the education that they deserve. New York State has continually failed to deliver on its promise to fully fund the Foundation Aid program that is supposed to guarantee fair funding to all of our school districts. I will fight for fully funding foundation aid so we can make sure the kids in our community get an excellent education without needing to further raise property taxes on local taxpayers.
Property taxes - Property taxes in Rockland and Westchester Counties are some of the highest in the country. I strongly support maintaining the property tax cap that limits the growth of property taxes and will protect the STAR program from any changes or reductions. Since the bulk of the property tax bill for families in the 38th Senate District goes towards school district taxes, my plan to direct more state funds to local school districts means property taxpayers will get a break. I will also fight for a state fund to help local governments find ways to share services and consolidate operations to save money for taxpayers. And at a time when so many people have lost jobs or seen their hours cut back, I believe we need a comprehensive state plan to help people who could be in danger of losing their homes to eviction or foreclosure after the current moratoriums on evictions and foreclosure expire.
Environment - There is no greater threat to our long term future than climate change. If we don't take this threat seriously, rising temperatures and rising sea levels will ruin ecosystems, damage our agricultural production, and cause hundreds of billions of dollars in flood damage in New York over the coming decades. In 2019, New York passed the most aggressive climate legislation in the nation, the Climate Leadership and Community Protection Act (CLCPA). Elijah believes that we must move quickly to implement the provisions of the CLCPA and provide new funding to develop renewable energy sources and protect coastal communities from the worst impacts of rising sea levels. We don't have to choose between a cleaner, more sustainable future and economic growth--a green economy will be a prosperous economy.
What accomplishments in your past would you cite as evidence you can handle this job?
My extensive record in state, local, and federal government working for other elected officials and understanding the way the process works, and my background in regional planning all have prepared me for this job.
The best advice ever shared with me was:
Treat others the way you'd like to be treated. I always try to live by the golden rule.
What else would you like voters to know about yourself and your positions?
I believe you shouldn't go into politics unless you enjoy working with people and truly want to help them. I'll always have an open door policy and make myself accessible to anyone with questions or concerns. Representing the residents of the district I grew up in would be the greatest honor of my life. I ask for your support in the Democratic Primary on June 23. If you need more information about my positions or want to reach me to ask a question please visit my website (www.elijahforsenate.com) or email me at elijah4senate@gmail.com.
Campaign website: www.elijahforsenate.com"
4,/new-york/nyack/coronavirus-congressional-candidate-loses-both-grandfathers,2020-05-29T17:09:38Z,Candidate Loses Both Grandfathers To Coronavirus,1,0,Lanning Taliaferro,Patch Staff,"ROCKLAND COUNTY, NY — Tragedy struck congressional candidate Yehudis Gottesfeld in the middle of her battle for the Republican line in the race for the 17th New York Congressional District. Both her grandfathers died of COVID-19 during the pandemic.
Her paternal grandfather lived in Rockland County. The disease came on so quickly the family didn't have time to get him to the hospital. Her maternal grandfather lived in Brooklyn. He was hospitalized for 20 days, with no one allowed to visit.
""It was a mess specially at the beginning,"" Gottesfeld told Patch. ""My father, as a precaution, had to self-isolate.""
The first shock was losing her dad's dad March 28. ""My cousin just got engaged virtually. We all thought he would be there.""
The other got sick in March and died April 13. ""It's always different when you don't get to say goodbye,"" she said. ""I was talking to my grandmother on the phone and she was crying. 'They're not letting me in.' All she wanted to do was be there for him.""
Both in their late 70s, they were very different, but both were giving men who worked hard through their lives to provide stable homes for their families, she said.
""Going through the experience you really feel the pain of others. It makes me have an increased desire to really represent people,"" said Gottesfeld, who lost her 17-year-old brother two years ago to cancer. ""It's an emotional ride. The reason I started the campaign was because of times like these. It only makes me fight harder.""
Better preparation for pandemics and more scientific research could have made a difference in finding ways to fight the outbreak and care for patients, she said.
Gottesfeld faces Maureen McArdle Schulman of Westchester County in the Republican primary June 23. They both seek to replace retiring Rep. Nita Lowey, longtime congresswoman and current chair of the Appropriations Committee. The winner will face the winner of the 8-way Democratic primary.
The 17th Congressional District includes all of Rockland County and much of Westchester, including Peekskill, Yorktown, Ossining, New Castle, Mount Pleasant, Tarrytown, White Plains and Harrison."
5,/new-york/nyack/village-wont-amend-nyack-colleges-special-permit,2020-05-27T17:01:11Z,Village Won't Amend Nyack College's Special Permit,0,1,Lanning Taliaferro,Patch Staff,"SOUTH NYACK, NY — Nyack College, which announced in 2018 that it was moving to Manhattan and selling its properties in Rockland County, cannot have its special permit amended to allow residential development on half the main campus, village trustees said Tuesday.
The sale of the three Rockland properties, for which officials said in 2019 they were hoping to get up to $100 million, would help with the college's financial difficulties.
The South Nyack board voted Tuesday to reject the college's request to amend the special permit it received long ago. The area around it is zoned single-family residential and the special permit allows the 107-acre campus to be used for educational purposes.
In its request, the college said it wanted the permit changed to allow higher residential density on about half the main property on behalf of a prospective buyer. The college did not say who that buyer might be. The plan includes selling off existing houses on campus and converting existing buildings such as dormitories into multi-family housing, the Rockland Business Journal reported.
As residents agitated to know the identity of the prospective buyer, Mayor Bonnie Christian issued a statement Wednesday.
The college relocated to Rockland County from Manhattan in 1897. In addition to the campus in South Nyack, its Alliance Theological Seminary has a 37-acre campus on Route 9W in Upper Nyack, and the college owns a 22-acre parcel in Orangetown where its president lived.
College officials re-established a city campus in 1997. The college bought space near Battery Park in 2016 and began creating dorms in Jersey City.
When the college made its announcement at the end of 2018, county and local officials immediately met to discuss a comprehensive approach to ensure appropriate development. SEE: Rockland Officials Meet On Nyack College Closing.
While village law does not allow a special permit to be amended, college officials could apply for a new special permit or request re-zoning, according to the Rockland Business Journal."
6,/new-york/nyack/op-ed-schumer-demands-cdc-guideline-report-ny-reopens,2020-05-14T16:37:52Z,Op-Ed: Schumer Demands CDC Report As NY Reopens,0,0,Lanning Taliaferro,Patch Staff,"As New York uses Centers for Disease Control guidelines to measure its regions' readiness to re-open after the new coronavirus outbreak, Senate Democratic Leader Chuck Schumer has asked that the CDC report entitled, ""Guidance For Implementing The Opening Up America Again"" framework be released uncensored immediately.
SEE ALSO: Cuomo Unveils More Details For Reopening NY Businesses"
7,/new-york/nyack/more-sick-children-covid-linked-syndrome-cuomo,2020-05-08T18:52:03Z,More Sick Kids With COVID-Linked Syndrome: Cuomo,0,0,Lanning Taliaferro,Patch Staff,"POUGHKEEPSIE, NY — The New York State Department of Health is investigating after a five-year-old boy died of a rare pediatric inflammatory syndrome linked to COVID-19, Gov. Andrew Cuomo said Friday.
Speaking at his daily news briefing, which he held at Marist College in Poughkeepsie, Cuomo said there have been 73 reported cases in New York of children ill with symptoms similar to Kawasaki disease and toxic shock-like syndrome.
Calling it ""painful news,"" Cuomo said ""We were led to believe that the good news about this virus was that it didn't affect children.""
According to doctors in Westchester County, 11 children have been hospitalized at the Maria Fareri Children's Hospital with the multi-system inflammatory syndrome. Most tested positive both for COVID-19 and new coronavirus antibodies. Most did not become seriously ill right after they had been exposed to or infected with the virus, but began getting sick up to a month later. They ranged in age from infant to teenager.
Parents should remain vigilant and seek care immediately if their child has symptoms, Cuomo said.
Cuomo reported that the total number of hospitalizations was down statewide, to 8,196, with about 600 new cases entering the hospital per day. A total of 216 new deaths were reported statewide over the past 24 hours.
Health officials had hoped that the number of cases would keep declining, but hospitalizations daily have instead been steady, and projections suggest that there will still be new hospitalizations for COVID-19 every day in June, he said.
Cuomo said he doubted that a dramatic change in the statistics would loosen up restrictions downstate after May 15, when the executive order that sent New Yorkers home will expire. Upstate communities will begin to reopen their economies, however.
Most of the new hospitalizations are occurring in New York City, on Long Island and in southern Westchester County. Most are in communities with higher-than-average minority populations.
State health officials are asking hospitals to report more details about new hospitalizations as they work to cut the number of new infections further."
8,/new-york/nyack/coronavirus-nyack-running-though-village-hall-closed,2020-03-18T14:36:15Z,"Coronavirus: Nyack Is Running, Village Hall Closed",0,0,Lanning Taliaferro,Patch Staff,"NYACK, NY — Due to the new coronavirus outbreak, Nyack officials closed Village Hall Monday, but that doesn't mean the government stopped work.
All village departments will be reachable by phone or email and all calls will be returned the same business day. Village staff will continue to perform necessary operations.
""It is incumbent on each member of our community to do their part to reduce the impact of this virus and the Village feels strongly that this is a necessary measure for both residents and staff,"" officials said.
For example, the Nyack Department of Public Works will continue with regularly scheduled trash and recycling pickups.
However, land use board meetings and public hearings will be postponed until such time as public safety concerns have been satisfied.
Also, Nyack Justice Court scheduled for Tuesdays and Thursdays is postponed through April 9. Anyone with an appearance for traffic court between now and then will receive written notice of a court adjournment to a new future date. Civil actions for the month of March are postponed and adjourned to new future dates. notifications will mailed to all parties. Emergency applications should contact the court office.
Criminal court arraignments will proceed as needed.
Sign up for email blasts here to stay informed about changes to village operations, updated information about community closures and cancellations along with key updates from Federal, State and local authorities, and for other information related to minimizing the impact of the virus officially called COVID-19.
""We are a strong and resilient community, we have all worked together to weather difficult times in the past and we will do so now,"" officials said. ""In order to successfully put this virus in our rear window, every resident in Nyack is going to need to appropriately modify behavior and follow the guidelines set out by medical professionals. This virus must be treated seriously and its potential impact on our lives can not be understated should we disregard the advice of those who understand how to reduce its impact.""
Residents who have business with the village should contact Village Hall via telephone or email. Go to the website for phone numbers, email addresses and other important information.
Don't miss updates about precautions as they are announced. Sign up for Patch news alerts and newsletters.
Coronavirus in New York and beyond:"
9,/new-york/nyack/letter-editor-merging-nys-bridge-thruway-authorities,2020-02-12T18:16:50Z,"Letter: Merging NYS Bridge, Thruway Authorities",0,9,Lanning Taliaferro,Patch Staff,"To the Editor:
Governor Cuomo's proposal to merge the state Bridge Authority and Thruway Authority is an opportunity to streamline government services by bringing together two organizations with overlapping roles and resources. There will be no disruption to the operations of the Bridge Authority: tolls will continue to be kept among the lowest in the nation, serving the authority's operational and capital needs and keeping its long-term capital plan intact.
Both authorities operate roads and bridges. They keep roads in good repair, ensure bridges are structurally sound and clear snow in the winter. Bringing these authorities together will streamline administrative functions to reduce duplication, achieve economies of scale in purchasing and contracting and deliver savings to toll payers.
Thruway is also converting completely to cashless tolling by the end of 2020, while the Bridge Authority is planning to move forward with the initiative at its crossings. A merger between the authorities would allow an experienced team at the Thruway to efficiently and effectively implement cashless tolling at the Hudson Valley bridges moving forward. In addition, both authorities use E-ZPass for tolls, and the Thruway Authority already processes the Bridge Authority's E-ZPass transactions and issues its E-ZPass tags. Streamlining these duplicative processes just makes sense.
The Thruway Authority collects approximately $800 million in revenue annually and the Bridge Authority about $62 million. While the two authorities will merge operationally, their revenue and how it is utilized will – and must be – invested to support their operations and capital programs.
Under Governor Cuomo's leadership, all of us across New York State government are constantly re-examining how we do business to improve efficiency and lower costs. Government should work for the people, and it should do it at the lowest cost possible on behalf of hard-working New Yorkers. This merger is just the latest example of that effort as we continue to strive to make New York State a better place to live, work and raise a family.
Matthew J. Driscoll
Executive Director of the New York State Thruway Authority
Editor's Note: The writer of the letter was incorrectly identified in the original version of this post. Patch regrets the error."
