,url,Date,Title,Thank,Reply,author,title,context
0,/missouri/olivette/should-your-state-legalize-pot-olivette,2014-04-23T21:29:35Z,Should Your State Legalize Pot?,0,0,Megan Taros,Patch Staff,"In January of this year, the state of Colorado began legal sales of marijuana. While the decision to sell marijuana has caused a great deal of controversy and attracted scrutiny from the federal government, one thing that's not debatable is its economic impact.

Since Colorado began allowing the sale of marijuana:"
1,/missouri/olivette/what-child-care-costs-mean-for-you-and-your-family-olivette,2013-11-12T18:00:15Z,What Child Care Costs Mean for You and Your Family,0,0,Patch Staff,Patch Staff,"Written by Brian Stoffel, Daily Finance

Politics aside, Hillary Clinton was right: For most of human history, it usually took a village (or a tribe) of people to raise a child. Humans are social creatures: Though moms and -- to a lesser extent -- dads shouldered the major tasks of child-rearing, the support of the community played a huge role. Meals were cooked, kids were looked after, and social groups helped ensure the safe upbringing of the young.

Today, that same societal structure isn't anywhere near as prevalent. In its place are long waiting lists and sky-high costs associated with putting a child in day care.

How expensive has this gotten? If you lived in Washington, D.C., in 2011, putting your infant in a child care center would have cost $388 per week—or more than $20,000 for a full year. Of course, I'm cherry-picking one of the most expensive locales, but it highlights a nationwide trend. In fact, in every region of the country except for the West, a family with two children in child care spent more for their kids to be looked after than they did on all housing costs combined.

If you're expecting, or already have children, here are some key trends to keep in mind when deciding what to do when it comes to looking after your kids.

Location, Location, Location

This is the mantra of just about every real estate agent, but the same could be said of child care providers. For instance, full-time child care for an infant in Mississippi averaged $4,600 per year in 2011, but was $15,000 in Massachusetts.

But the difference in absolute dollars doesn't mean much when you consider that the average salary in Massachusetts is higher than what it is in Mississippi. Instead, the chart above shows the five least and most expensive states to have an infant in center-based care, as a percentage of median family income.

Even within states, however, there are big differences. And no variable seems to be more important than -- you guessed it -- location. But this time, instead of talking about different states, we're referring to the difference between living in an urban or suburban community (defined as near a city center of at least 50,000) and a rural one.

The most extreme example would be in Oregon, where the cost to put your infant in a child care center in an urban area is more than twice as expensive as it is in a rural area. But Oregon isn't alone (see the Urban Care vs. Rural Care chart above).

Is It a Better Option to Quit Your Job and Stay at Home?

When confronted with such costs -- and endless waiting lists -- many parents are faced with the difficult decision of whether to continue working or to take a few years off to care for their children themselves.

Of course, finances alone aren't the only consideration; for many people, their work is an intrinsically rewarding experience that goes beyond just earning a paycheck. But because one's approach to their work varies from individual to individual, let's just focus on the dollars and cents of such a decision.

One very important matter to be aware of is a federal tax credit available to families who have to pay for child care. The credit is good for up to 35 percent of your child care bill with a limit of $3,000 for one child and $6,000 for two or more children.

Let's take the most average state from our data set—Iowa—and see when it makes more financial sense to stay at home (See first chart for ""Two Working Parents vs. One Working Parent"" above). The income for two working parents is $75,581, about double the income for one parent. As you can see in the chart, after taxes and the cost of childcare, it still makes far more financial sense to have both parents working.

But oftentimes, there's more than one child at home. In fact, let's assume there are three. And instead of assuming that both parents earn the same amount, let's assume the wife makes 77 percent of what the husband makes -- which reflects societal norms. How might that change the equation? (See last chart for ""Two Working Parents vs. One Working Parent"" above).

Even though it still makes financial sense to keep working, the numbers are much closer ($44,193 for two working parents vs. $39,167 for one working parent). Factor in the costs of buying formula and transportation, and you might easily find that staying home is just as good an option.

One thing to note here is that these are incredibly simple calculations, only taking into consideration personal exemptions and standard deductions for filing jointly. In the end, running your own numbers is the only way to know what financially works for you.

Brian Stoffel is a contributing writer to The Motley Fool."
2,/missouri/olivette/three-ways-the-shutdown-hurt-the-economy-olivette,2013-11-09T14:46:35Z,Three Ways the Shutdown Hurt the Economy,0,0,John Ness,Patch Staff,"By Catherine Crawford

Once a day, Patch tackles national news that affects your community. If you have suggestions for tomorrow's story, email catherine.crawford@patch.com.

The Office of Management and Budget (OMB) released a 27-page report on Thursday detailing the expected costs of last month's two and a half week government shutdown. The report is based on information collected from independent forecasters.

The news isn't good. The OMB, an office of the President that aids in the management of the nation's budget, found that the congressional spat over health care and the debt ceiling will cost the United States at least $2 billion, and maybe as much as $6 billion.

Here are a few compelling reasons cited by the OMB:

1) Setback to jobs: In the first half of October, approximately 12,000 fewer private sector jobs were generated, first because of the threat of a shutdown, and then because of the shutdown itself.

2) Money for nothing: During the shutdown, federal workers were furloughed for a whopping combined total of 6.6 million days. After the dust settled, the government shelled out $2 billion to those furloughed federal employees for days that were never worked.

3) Impaired parks: Due to shutdown closures, the country's national parks forfeited about $500 million in visitor spending. Who knows how much the shutdown impacted private tourism companies in the United States.

The numbers above only speak to the economic bruise. The OMB report details further damage felt in areas such as public safety, international relations, federal research, and more.

Go here to read the entire report and see for yourself.

Do you think there will be a repeat of October's shutdown when Congress revisits the budget in January? Tell us in the comments or in a blog post."
3,/missouri/olivette/faa-allows-most-electronic-devices-throughout-flights-olivette,2013-10-31T16:41:35Z,FAA Allows Most Electronic Devices Throughout...,0,0,John Ness,Patch Staff,"Soon there will be no need to stop using your favorite app (or to pretend to stop using it) as your airplane takes off: the Federal Aviation Administration announced Thursday that airlines ""can safely expand passenger use of Portable Electronic Devices (PEDs) during all phases of flight.""

""Each airline will determine how and when this will happen,"" FAA administrator Michael Huerta said Thursday morning.

The easing of restrictions applies to many uses of smartphones, but not to calls themselves. A ban on calls is still in effect.

This will come as a relief to a nation of increasingly smartphone- and Kindle-obsessed travelers, who were banned from using their devices in the takeoff and landing portions of flights in the decade since the September 11 attacks."
4,/missouri/olivette/mccreery-seeks-return-to-general-assembly-in-88th-district-olivette,2013-10-12T04:18:28Z,McCreery Seeks Return To General Assembly In...,0,0,Gregg Palermo,Patch Staff,"Tracy McCreery, who represented the 83rd district in the Missouri General Assembly after winning a special election in 2011 before losing the seat in a primary campaign the following year, has her eyes set on a return to Jefferson City.

McCreery, of Olivette, has formed a campaign committee to run in what is now the 88th district in the Missouri House, which includes parts of Creve Coeur, Olivette, Ladue, Town and Country and Chesterfield. She's looking to succeed Jill Schupp, the Creve Coeur Democrat who is serving her third term in the House. Schupp has launched a campaign for the State Senate.

Before seeking office herself, McCreery was an aide for 8 years in the office of State Senator Joan Bray. She's currently the Manager of Public Policy for PROMO, an organization that lobbies on behalf of Gay, Lesbian, Bisexual and Transgendered Persons.

In a brief phone interview with Patch, she promised a campaign that would support Medicaid expansion in Missouri, and put a focus on education. She was critical of leaders in the GOP-controlled House and State Senate who put emphasis and time into issues such as outlawing the use of Sharia law and federal gun law nullification in the last legislative session instead of focusing on the issues surrounding student transfers from unaccredited school districts.

McCreery made no claims regarding the party's chances of retaking the House but sounded an optimistic note about overcoming what is now a veto-proof majority for Republicans in Jefferson City. 

The 88th District consists of parts of five cities but the largest chunk of real estate is in Creve Coeur. While no GOP candidates have emerged as of yet, at least one Republican activist has suggested that the race could be more appealing now, since McCreery isn't from the city.

McCreery, who points to the fact that she won a 2011 special election as an Independent against a Democrat and a Republican candidate backed by the Tea Party, dismissed the notion.

""We're not running for City Council,"" she said."
5,/missouri/olivette/olivette-city-council-needs-a-new-councilman,2013-09-17T20:01:17Z,Olivette City Council Needs a New Council Member,0,0,Gabrielle Biondo,Patch Staff,"The following information was submitted by the City of Olivette in a post on Patch.
The Olivette City Council is seeking residents interested in applying for the open City Council seat. (Pablo Flinn resigned his position September 3.)
Persons interested are asked to submit a letter of interest and resume to the Olivette City Clerk at 9473 Olive Blvd, Olivette MO 63132. 
Letters and resumes may also be electronically submitted to mbennett@olivettemo.com using the subject line: Council Vacancy.  
Applications are due by end of day September 25.  The four remaining Council Members will hold interviews on October 1."
6,/missouri/olivette/news-nearby-mccaskill-staff-meets-with-public-this-month,2013-09-16T16:21:16Z,NEWS NEARBY: McCaskill Staff Meets With Public...,0,0,Gabrielle Biondo,Patch Staff,"Senator Claire McCaskill's staff is meeting with resident and answering questions at what her office is calling ""Kitchen Table Talks."" 
The event is open to the public and takes place from 10 - 11 a.m., Tues., Sept. 24, at the St. Louis County Public Library headquarters, 1640 S. Lindbergh Blvd., in Frontenac.
Although the senator's staff will meet with the public, McCaskill will not attend the event.
Additional details were provided in the following news release.
ST. LOUIS COUNTY – As members of U.S. Senator Claire McCaskill's staff travel throughout the state to hear directly from Missourians, representatives will be in St. Louis County to talk with local residents about opportunities and challenges they face every day.  
McCaskill's staff will host ""Kitchen Table Talks"" at the Saint Louis County Library headquarters in St. Louis, Mo. on Tuesday, September 24.
The series of talks will take McCaskill's staff statewide in order to hear directly from constituents, address their questions and concerns, and provide Missourians with the resources necessary to receive assistance from federal agencies. Staff will report all feedback they receive directly to Senator McCaskill.
The ""Kitchen Table Talks"" also serve, in part, to inform area residents of the services that are available to them when they contact one of her regional offices. McCaskill has five offices throughout Missouri, in Cape Girardeau, Columbia, Kansas City, Springfield, and St. Louis."
7,/missouri/olivette/olivette-residents-fight-plan-to-repair-old-bonhomme-road-widen-sidewalk,2013-08-28T20:57:26Z,Olivette Residents Hire Attorney Over Old...,0,0,Gabrielle Biondo,Patch Staff,"As previously reported by Patch, despite the opposition of some residents, the City of Olivette is moving forward with the Old Bonhomme Road repair project and selected a company in May to purchase the property needed for the project.
(For instant news updates follow Patch on Facebook and Twitter.)

Some residents who live along the two-mile stretch of road between University City and Olive Boulevard are not on board with with the city's plans to repair road. They've told city council members in the past that the road work will have a significant impact on property values and the charm that led them to the neighborhood.
A recent report by KSDK says residents have even hired an attorney in an effort to gain the city's attention, and it ear.
(View KSDK article here.)
Homeowners say they have been working for nine months or more to have an open dialogue with the city about their concerns over the project, the KSDK article states.  However, according to the report, residents say their attempts have been unsuccessful and the city is not allowing the public to offer input on the plan.
City officials, however, say the Old Bonhomme Road improvements are necessary to meet federal guidelines and the city's Director of Public Services posted the a letter on the city's website earlier this year to explain why.
"
8,/missouri/olivette/too-high-olivette-notifies-owners-of-lawns-with-tall-grass,2013-08-13T18:21:24Z,Too High? Olivette Notifies Owners Of Lawns...,0,0,Jared Grafman,Patch Staff,"Olivette property owners are requested to keep grass at a certain level. Fifteen property owners were sent violation letters in July, according to a City Council report, because they didn't maintain their lawns.
If the city of Olivette becomes aware of excessively tall grass — longer than 7 inches — the city will notify the offending property owner through a violation letter. Carlos Trejo, of the public works department, said the letters are not fines but simply notices that the city had become aware of the violation.
""We issue them a letter if we get a call or it's viewed during an inspection,"" Trejo said. ""A lot of these are brought to our attention, as opposed to inspections, so residents are always welcome to call our office at 314-993-0252.""
The letter gives property owners a five day notice, Trejo explained, and if the property owner doesn't address the high grass then the city will issue a second violation letter. The second notice would inform the owner that the city may use its own staff, or a landscaping service, to cut the offending grass to an acceptable length, Trejo said. Then the property owner would be billed and required to pay for the landscaping service.
""If they fail to reimburse the city we have the right to issue a ticket or court summons,"" Trejo said, but most of the time the high grass is dealt with by the property owners themselves."
9,/missouri/olivette/are-men-or-women-gaining-weight-in-olivette,2013-08-11T18:56:45Z,Are Men or Women Gaining Weight in Olivette?,0,0,Gabrielle Biondo,Patch Staff,"This article was written by Heather Martino
America's epidemic of fatness extends to St. Louis County, with obesity rates at nearly 33 percent for men and 36.8 percent for women in 2011 in the county.
The rate for men jumped 7.4 percentage points for men and 8.6 points for women from 2001 to 2011.
The county figures on the map were obtained from a recent study from the University of Washington, which found that nationwide women are more obese than men.
Obesity in Missouri increased at similar rates, rising for men 8.5 percentage points to 36.6 percent for men; and rising 8.9 points to 38.9 percent for women statewide. Bottom line: The rate of obesity for St. Louis County men is slightly lower than the state average, while the women's rate is slightly higher. 
It's the same story for men when compared to neighboring St. Charles County, where 36.9 percent of men are considered obese; 35.3 percent of St. Charles County women are considered obese.
Both genders track fairly close to the national average, according to the 2011 numbers: 33.8 percent of men nationally are obese (a rate lower than St. Charles County, but just above St. Louis County); 36.1 percent of women nationally are obese. That's higher than the St. Charles County average, but slightly lower than St. Louis County. 
In 2011, obesity prevalence for both genders in the U.S. ranged from 20.7 percent in Colorado to 34.9 percent in Mississippi, according to the CDC.
According to the CDC, obesity affects more than one-third of adults, or 35.7 percent of the population in the United States. Obesity is calculated by measuring a person's height and weight, and deriving at a ratio called the body mass index, or BMI. This number often correlates to an individual's amount of body fat, and is used to ascertain whether a person is considered underweight, a normal weight, overweight or obese.
Obese individuals have a 50-100 percent increased risk of premature death, and it's estimated that obesity may be the cause of 300,000 deaths per year according to the US Department of Health and Human Services.
Interestingly, Americans claim to be exercising more during the same time period that obesity climbed. 
""Around the country, you can see huge increases in the percentage of people becoming physically active, which research tells us is certain to have health benefits,"" said IHME Director Dr. Christopher Murray in a press release. Murray added that ""If communities in the US can replicate this success and tackle the ongoing obesity impact, it will see more substantial health gains."""
