,url,Date,Title,Thank,Reply,author,title,context
0,/nebraska/omaha/omaha-city-council-will-resume-its-regular-meeting-schedule-april-21,2020-04-20T14:17:43Z,City Council Will Resume Its Meeting Schedule,0,0,Press Release Desk,News Partner,"Press release from the City of Omaha:
April 18, 2020
The Omaha City Council will resume its regular meeting schedule on Tuesday, April 21st at 2:00 p.m. This meeting and the April 28th meeting will be moved to the Farnam South Conference Room in the Omaha/Douglas Civic Center. The Legislative Chamber is not available those days because of ongoing repairs to its AV system.
The City Council will modify some procedures because of the alternate meeting location and to reduce the risk of COVID-19 spread. The modified procedures include the following:
Omaha City Council meetings will have a video conference component via Zoom for public participation as authorized by Executive Order No. 20-03 issued by Governor Ricketts
YOU MUST REGISTER WITH THE CITY CLERK TO PARTICIPATE IN THE MEETING VIRTUALLY!
City Council agendas are published on the City's website the Thursday prior to the Tuesday meeting. If you would like to speak on any item through Zoom Meeting, please contact the City Clerk's Office at This email address is being protected from spambots. You need JavaScript enabled to view it. or 402-444-5557. THE CITY CLERK MUST BE NOTIFIED BY NOON THE DAY OF THE MEETING. Please provide your name, address and item(s) you wish to speak on.
Other than applicant(s), preference for speakers will be given to those who are participating virtually. Anyone attending the meeting in person will have a chance to speak after everyone has spoken via phone and video conference.
As always, if you are not able to attend the meeting, you can email testimony to the City Clerk at This email address is being protected from spambots. You need JavaScript enabled to view it.. Your comments will be sent to all Council Members and made part of the record.
If you would like to watch the meeting, but not speak on an item, we ask that you stream the meeting online at YouTube's Omaha City Council Meetings channel.
This press release was produced by the City of Omaha. The views expressed here are the author's own."
1,/nebraska/omaha/public-access-omaha-douglas-civic-center-will-remain-limited-until-may-4,2020-04-15T14:19:46Z,Public Access To Omaha Douglas Civic Center,0,0,Press Release Desk,News Partner,"Press release from the City of Omaha:
(April 14, 2020) - Public access to the Omaha Douglas Civic Center will remain limited through May 4, 2020. The restriction was set to expire on April 19th. The restrictions may be extended again if conditions warrant.
Restrictions and policies currently in place will continue.
Individuals needing access to courts in the Civic Center will be allowed entrance. ""As a reminder, the person or persons scheduled to be at a hearing or court proceeding should be the only attendees. Security officers will escort or direct them to and from the proper location,"" said Paul Cohen, Administrator of the Omaha Douglas Public Building Commission
Some mandatory public meetings scheduled to be held in the Civic Center will continue as planned. The public may attend the meetings; however, attendees will be escorted by Security officers to the location of those meetings. Distancing and gathering density guidelines will be maintained. Meeting locations may be altered due to construction or space requirements.
Douglas County departments located in the Civic Center are staffed and operating but are closed to public walk-ins.
City offices remain open and departments that provide public services continue to provide those services. Mayor Jean Stothert's office is also open and staffed.
Each department and agency in the Civic Center has its own policies and rules in place. Accordingly, employees will continue to have access to the building as determined by the department or agency.
This press release was produced by the City of Omaha. The views expressed here are the author's own."
2,/nebraska/omaha/primary-election-omaha-city-will-be-held-may-12,2020-04-15T14:16:39Z,Primary Election In Omaha City Will Be Held In May,0,0,Press Release Desk,News Partner,"Press release from the City of Omaha:
(April 14, 2020) - Election Day in Nebraska is one month away, and already nearly one-third of Douglas County's registered voters plan to vote by mail.
The primary election is May 12, 12 days after the current public health orders to close some businesses, restrict gatherings and require social distancing are set to expire in Douglas County.
""The election is going to happen,"" said Douglas County Election Commissioner Brian Kruse. ""I want everybody to vote, but I want you to do it by mail. Vote by mail is the safest way to keep voters and poll workers safe.""
The push continues to encourage voters to vote by mail and avoid crowded polling places continues. The deadline to request a ballot is May 1st.
There are approximately 355,000 registered voters in Douglas County; more than 115,000 have already requested mail-in ballots. By comparison, in both the 2016 and 2018 primaries, approximately 70,000 voters cast ballots at either polling places or by mail. Kruse said historically, about 90% of the people who request a mail-in ballot, vote and return it.
Nebraska is a no-excuse early voting state, anyone can vote by mail for any reason.
""I would prefer if everyone would vote by mail,"" said Douglas County Health Director Dr. Adi Pour.
Public health orders issued by Dr. Pour and Governor Ricketts limit gatherings of 10 people or more, and require social distancing of 6-8'. Polling places will be required to follow those orders.
The Election Commissioner also needs approximately 400 additional poll workers for the primary. It takes 1,400 people to staff polling places. This year, about 30% of the expected workers will not be working this year, many are senior citizens who may be most vulnerable to COVID-19 exposure. Poll workers will receive sanitation kits, including gloves, masks and hand sanitizer.
""I love going to the polling place, but I voted by mail today,"" said Mayor Jean Stothert.
This press release was produced by the City of Omaha. The views expressed here are the author's own."
3,/nebraska/omaha/omaha-receives-d-grade-fiscal-health,2020-01-28T10:00:00Z,Omaha receives 'D' grade for fiscal health,0,0,Truth in Accounting,News Partner,"A new report on the financial condition of the 75 most populous cities ranks Omaha no. 49 in the nation for fiscal health. The report is based on the cities' 2018 comprehensive annual financial reports, which are not analyzed on this scale by any other organization.
The analysis by Truth in Accounting (TIA), a nonprofit government finance watchdog group, found Omaha needs $1.2 billion to get out of the red, or $7,100.00 from each of its taxpayers.
According to the watchdog's annual Financial State of the Cities report, Omaha has $1.8 billion in bills and only $623.3 million in available assets to pay those bills after capital and restricted assets are excluded. This results in a $1.2 billion shortfall, or a $7,100.00 Taxpayer Burden™, which is each taxpayer's share of the municipal debt after the city's available assets have been tapped.
TIA's Taxpayer Burden indicator incorporates both assets and liabilities, including all retirement liabilities. Fiscal year 2018 was the first year city governments reported all retirement liabilities, but TIA has been including this information in their analysis for the last several years.
The bottom line is that Omaha does not have enough money to pay its bills, which is why it received a ""D"" grade for its fiscal health.
You can read the full report here and Omaha's individual report here."
4,/nebraska/omaha/sander-named-lead-city-omaha-human-resources-department,2019-10-07T20:29:34Z,Sander Named To Lead City Of Omaha HR Dept.,0,0,Press Release Desk,News Partner,"From the City of Omaha:
(October 7, 2019)
Mayor Jean Stothert has named Deborah Sander as Director of Human Resources. Sander worked in the City of Omaha Finance and Human Resources Departments for 28 years until she retired in December 2018.
The Personnel Board recommended three finalists for the Human Resources Director position, including Sander.
She will begin the new position October 21. Her salary will be $162,000.
""Deb has made substantial contributions over more than two decades working for the City of Omaha. She has excellent credentials in finance, hiring and training, technology, employment and pension policies,"" said Mayor Stothert. ""I am excited to welcome Deb back. Her experience is an asset to the City of Omaha, the taxpayers and our employees.""
Sander held numerous positions beginning in 1990. She retired as Payroll Manager.
Before retirement, Sander managed the implementation of a new Human Resources Information System (HRIS). The system replaced a 30-year old HR/Payroll system, eliminates paperwork and data entry and provides efficient management of all Human Resources processes including hiring, payroll, pension, and employee benefits.
She also served as Chairperson of the DOTComm Oversight Committee (2012-2018).
The City of Omaha Pension Board approved Sander's monthly pension in December. To be eligible to return as Human Resources Director, Sander will return the pension payments already received.
Sander has a Master of Business Administration with emphasis on Human Resource Management from the University of Nebraska at Omaha. She has a Bachelor of Arts in Industrial/Organizational Psychology from Creighton University.
She replaces Tim Young, who resigned in August.
This press release was produced by the City of Omaha. The views expressed here are the author's own."
5,/nebraska/omaha/omaha-omaha-beach-region-sign-sister-city-agreement,2019-06-11T02:10:03Z,Omaha And Omaha Beach To Be Sister Cities,0,0,Press Release Desk,News Partner,"From the City of Omaha: On the 75th anniversary of D-Day, Mayor Jean Stothert and the Omaha Sister Cities Association announced the development of a Sister City relationship with the region along the Normandy Coast of France, including historic Omaha Beach.
Omaha Beach is located in the Isigny-Omaha Intercom, a region of 59 townships in northern France.
""Omaha Beach is part of our country's past, and will always be remembered,"" said Mayor Stothert.
""History connects us, and the future will provide many opportunities for cultural, educational, business, and most importantly, the personal relationships which are fundamental to all Sister Cities. It is an honor for the City of Omaha to develop a Sister City relationship with this region.""
Isigny-Omaha Intercom will be the City of Omaha's seventh Sister City. The others are Shizuoka, Japan; Braunschweig, Germany; Siauliai, Lithuania; Naas, Ireland; Xalapa, Mexico; and Yantai, China.
""The iconic connection between Omaha, Nebraska and Omaha Beach continues and resonates on a deeply personal and emotional level,"" said Andy Schilling, Vice-President of the Omaha Sister Cities Association and Senior Director of International Business Development at the Greater Omaha Chamber of Commerce.
The Association made the initial contact with its counterparts in France, and learned there was shared interest in forming a sister city relationship. ""The memory, the emotion and the reverence for the heroism of our servicemen at D-Day are all still prominent in their gratitude and appreciation for their sacrifice,"" said Schilling.
In early March, a delegation of five Normandy mayors visited Omaha. In April, a delegation from Omaha visited Normandy. The Sister City Friendship Agreement will be signed in October in France.
""Omaha's Sister City Association brings the world to Omaha,"" said Mayor Stothert, who also serves as the Honorary Chair of the Association. ""These relationships are important to our growth as a partner in international trade and education.""
Shizouka was Omaha's first Sister City. The agreement has been in place since 1965. The agreement with Yantai was signed in 2010.
""Our parent organization, Sister Cities International, has a simple but noble mission,"" said Schilling. ""To promote peace through mutual respect, understanding, and cooperation—one individual, one community at a time.""
For more information about the Omaha Sister City Association, please visit http://www.omahasistercities.com/"
6,/nebraska/omaha/usda-offers-snap-school-meal-flexibility-ne-disaster-areas,2019-03-28T18:16:49Z,"USDA Offers SNAP, School Meal Flexibility for...",0,0,John R Harris,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
WASHINGTON, D.C. – Low-income Nebraskans recovering from recent flooding could be eligible for food benefits through the Disaster SNAP (D-SNAP) program approved today by the U.S. Department of Agriculture (USDA). The department also approved the state's request for temporary flexibility in meeting school lunch meal pattern requirements.
Households who may not normally be eligible under regular SNAP rules may qualify for D-SNAP, if they meet the disaster income limits and have qualifying disaster-related expenses.
""USDA is committed to helping Nebraskans get back on their feet in whatever capacity we can,"" Food Nutrition and Consumer Services Acting Deputy Under-Secretary Brandon Lipps said. ""The D-SNAP program is an important step forward to help flood impacted families get food on the table.""
D-SNAP eligible households in the affected areas will receive one month of benefits, equivalent to the maximum amount of benefits normally issued to a SNAP household of their size, to meet their food needs. To be eligible for D-SNAP, a household must live in an identified disaster area, have been affected by the disaster, and meet certain D-SNAP eligibility criteria. Nebraska will share information about D-SNAP operating dates and locations through the local media.
The timing of D-SNAP implementation varies with the unique circumstances of each disaster but always begins after commercial channels of food distribution have been restored and families are able to purchase and prepare food at home. Before operating a D-SNAP program, a state must ensure that proper public information, staffing and resources are in place.
The D-SNAP announcement today is part of USDA's continuing efforts to help Nebraskans cope with the disaster. USDA is also allowing school lunch and breakfast meal pattern flexibility for schools in Nebraska through April 26.
USDA's Food and Nutrition Service (FNS) works to reduce food insecurity and promote nutritious diets among the American people. The agency administers 15 nutrition assistance programs that leverage American's agricultural abundance to ensure children and low-income individuals and families have nutritious food to eat. FNS co-develops the Dietary Guidelines for Americans with the HHS Office of Disease Prevention and Health Promotion. For more information on FNS assistance during times of disaster, visit www.fns.usda.gov/disaster"
7,/nebraska/omaha/usda-announces-additional-flood-emergency-program-support,2019-03-26T04:44:05Z,USDA Announces Additional Flood Emergency...,0,0,John R Harris,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
LINCOLN, NE – USDA Farm Service Agency (FSA) State Executive Director Nancy Johner today announced that emergency grazing of Conservation Reserve Program (CRP) acres has been authorized for all Nebraska counties, due to the impacts of recent adverse weather. Johner also announced that 45 Nebraska counties have been approved to begin accepting applications for the Emergency Conservation Program (ECP) to address damages from recent flooding.
""FSA has a variety of disaster assistance programs to support farmers and ranchers through times of adversity,"" Johner said. ""Once you are able to evaluate your losses, it is important to contact your local FSA office to report all damages and losses and learn more about how we can assist.""
Emergency Grazing
The emergency grazing authorization is effective immediately and ends April 30, 2019. The authorization was granted to address the impacts of the recent extreme weather, including flooding, snowmelt and mud. CRP contract holders who are interested in using this emergency grazing authorization must contact their FSA county office to complete required paperwork before allowing grazing to begin.
""It is important for CRP contract holders to work with their FSA county office before moving their own livestock onto these acres or allowing another producer to move livestock there,"" Johner said.
CRP participants who use this option will need to obtain a modified conservation plan, which includes emergency grazing provisions, from the Natural Resources Conservation Service (NRCS). CRP participants can allow others to use their CRP acres under this emergency grazing authorization; however, the livestock owners also will need to complete FSA paperwork indicating their grazing land was adversely impacted by severe weather. There will be no reduction in CRP rental payments to CRP contract holders who use the emergency grazing authorization. CRP contract holders are not permitted to charge livestock producers for the emergency grazing option.
Emergency Conservation Program
The approved ECP practices under this authorization include debris removal; fencing replacement and repair; grading, shaping and leveling of impacted fields; conservation structure rehabilitation; and shelterbelt rehabilitation.
ECP enrollment deadlines will vary by county as the timeframe is set by each county committee. More information on ECP enrollment deadlines will be provided by FSA county offices.
Counties approved to begin accepting applications include: Antelope, Boone, Boyd, Buffalo, Butler, Brown, Burt, Cass, Cedar, Colfax, Cuming, Custer, Dakota, Dixon, Dodge, Douglas, Franklin, Garfield, Greeley, Hall, Harlan, Holt, Howard, Keya Paha, Knox, Loup, Madison, Merrick, Nance, Nemaha, Otoe, Pierce, Platte, Polk, Richardson, Rock, Sarpy, Saunders, Sherman, Stanton, Thurston, Valley, Washington, Wayne and Wheeler.
ECP assists producers with the recovery cost to restore agricultural land to pre-disaster conditions. Approved ECP applicants may receive up to 75 percent of the cost of approved restoration activity.
""Dealing with natural disasters is never easy, especially when you have to consider the health and safety of livestock, but it's important for producers to call our office before they take action to permanently repair damages,"" said Johner.
Producers with damage must apply for assistance prior to beginning reconstructive work in order to qualify for cost-share assistance. This allows FSA offices to assess the need for on-site inspection and environmental compliance requirements, taking into consideration the type and extent of the damage.
The use of ECP funds is limited to activities to return the land to the relative pre-disaster condition. Conservation concerns that were present on the land prior to the disaster are not eligible for ECP assistance.
More Information
For more information on CRP emergency grazing and ECP, please contact your FSA county office. To find your local FSA office, go to https://offices.sc.egov.usda.gov/locator/app
Visit USDA's disaster resources website to learn more about USDA disaster preparedness and response. The website is located at: https://www.usda.gov/topics/disaster/storms"
8,/nebraska/omaha/ag-peterson-urges-congress-take-action-against-robocalls,2019-03-18T05:32:11Z,AG Peterson Urges Congress to Take Action...,0,0,John R Harris,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
LINCOLN - Attorney General Doug Peterson has urged the U.S. Senate to enact the Telephone Robocall Abuse Criminal Enforcement and Deterrence (TRACED) Act, legislation designed to curb illegal robocalls and spoofing.
A coalition of 53 attorneys general sent a letter to the U. S. Senate Committee on Commerce, Science, and Transportation supporting the TRACED Act. The legislation is sponsored by Sens. John Thune of South Dakota and Ed Markey of Massachusetts.
As well as Attorney General Peterson the coalition is being led by North Carolina Attorney General Josh Stein, New Hampshire Attorney General Gordon J. MacDonald and Mississippi Attorney General Jim Hood.
Attorney General Peterson said, ""State attorneys general are on the front lines of helping consumers who are harassed and scammed by unwanted calls. For years, we have worked with both our federal counterparts and industry participants to encourage the adoption of technological solutions in the fight against these calls. I am proud to support this legislation.""
In their letter, the attorneys general state that the TRACED Act enables states, federal regulators, and telecom providers to take steps to combat these illegal calls. The legislation will require voice service providers to participate in a call authentication framework to help block unwanted calls and creates an interagency working group to take additional actions to reduce robocalls and hold telemarketers and robocallers accountable.
More than 48 billion robocalls were made in 2018, making them the number one source of consumer complaints to the FTC and the FCC and resulting in millions in consumer losses. The state attorneys general work to enforce do-not-call laws and protect consumers in their states from being harassed and scammed by robocalls.
Attorney General Peterson is joined in sending this letter by the Attorneys General of Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, and the District of Columbia.
A copy of the letter can be found here: https://ago.nebraska.gov/sites/ago.nebraska.gov/files/doc/2019%20-03-05%20NAAG%20TRACED%20Act%20Letter%20-%20Final.pdf"
9,/nebraska/omaha/omaha-finances-earn-d-grade,2019-02-11T21:59:51Z,Omaha Finances Earn 'D' Grade,0,0,Truth in Accounting,News Partner,"A new report on the financial condition of the 75 most populous cities ranks Omaha no. 51 in the nation for fiscal health. The report is based on the cities' 2017 comprehensive annual financial reports, the most recent data available.
The analysis by Truth in Accounting, a non-profit government finance watchdog group, found Omaha needs $1,115 million to get out of the red, or $7,300 from each of its taxpayers.
According to the watchdog's annual Financial State of the Cities report, Omaha has $1,509 million in bills and only $394 million in available assets to pay those bills after capital and restricted assets are excluded. This results in a $1,115 million shortfall, or a $7,300 Omaha Taxpayer Burden™, which is each taxpayer's share of the municipal debt after the city's available assets have been tapped. TIA's Taxpayer Burden indicator incorporates both assets and liabilities, including pension debt.
The bottom line is that Omaha does not have enough money to pay its bills, which is why it received a ""D"" grade for its fiscal health.
You can read the full report here and Omaha's individual report here."
