,url,Date,Title,Thank,Reply,author,title,context
0,/alabama/pelham-al/pelham-commercial-development-authority-meeting-set-nov-17,2020-11-11T16:02:27Z,Pelham Commercial Development Authority Meeting...,0,0,Press Release Desk,News Partner,"From the City of Pelham:
November 10, 2020
https://www.pelhamalabama.gov/.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
1,/alabama/pelham-al/pelham-city-council-discuss-city-manager-employment-agreement-today,2020-11-09T17:02:04Z,Pelham City Council To Discuss City Manager...,0,0,Press Release Desk,News Partner,"From the City of Pelham:
November 8, 2020
PLEASE NOTE START TIME BELOW
Monday, November 9, 2020
Pelham Senior Center
3:00 p.m. – Special Work Session
In accordance with public health guidelines the following safety measures have been implemented for Monday night's work session:
Agenda
This press release was produced by the City of Pelham. The views expressed here are the author's own."
2,/alabama/pelham-al/no-brush-service-nov-23-27-pelham,2020-11-05T23:42:44Z,No Brush Service Nov. 23-27 In Pelham ,0,0,Press Release Desk,News Partner,"From City of Pelham:
November 4, 2020
Click here to read more.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
3,/alabama/pelham-al/city-pelham-personnel-board-meeting-set-nov-30,2020-11-05T23:29:53Z,City Of Pelham Personnel Board Meeting Set For...,0,0,Press Release Desk,News Partner,"From City of Pelham:
November 4, 2020
The Personnel Board will hold a meeting at the Pelham Senior Center on Monday, November 30th, beginning at 6:00pm.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
4,/alabama/pelham-al/pelham-zoning-board-adjustment-public-hearing-set-nov-17,2020-11-05T23:27:23Z,Pelham Zoning Board Of Adjustment Public...,0,0,Press Release Desk,News Partner,"From City of Pelham:
November 4, 2020
The Zoning Board of Adjustment for the City of Pelham will hold a public hearing at the Pelham Water Works Building, 3111 Cummings St., Pelham, AL 35124 on Tuesday, November 17, 2020 at 7:30am to consider a request from the terms of the Zoning Ordinance.
Complete Legal Notice
This press release was produced by the City of Pelham. The views expressed here are the author's own."
5,/alabama/pelham-al/pelham-city-council-hold-public-hearing-nov-16-proposed-zoning-change,2020-11-05T23:23:28Z,Pelham City Council To Hold Public Hearing Nov....,0,0,Press Release Desk,News Partner,"From City of Pelham:
November 4, 2020
Notice is hereby given that a public hearing will be held on November 16, 2020 at the Pelham Senior Center at 7:00 p.m. to consider Ordinance No. 135-231 an amendment to the zone district boundaries of the City of Pelham changing the present zoning B-4 (Mini-Warehouse District) to B-2 (General Business District) for property located at 96/98 Hilltop Business Center Drive.
Applicant: Maranatha Properties, LLC, 140 Commerce Court, Pelham, AL 35124
All persons having an interest in the above rezoning application will be given the opportunity to speak for or against said rezoning.
Individuals with disabilities needing special services to participate in applications, activities, programs or services are requested to coordinate their needs in advance. If special accommodations are required, please contact Tom Seale, City Clerk, 205-620-6404.
Tom Seale, MMC
City Clerk/Treasurer
Posted: November 5, 2020
This press release was produced by the City of Pelham. The views expressed here are the author's own."
6,/alabama/pelham-al/pelham-city-offices-be-closed-observance-veterans-day,2020-11-04T16:13:33Z,Pelham City Offices To Be Closed In Observance...,0,0,Press Release Desk,News Partner,"From the City of Pelham:
November 3, 2020
Click here to read more.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
7,/alabama/pelham-al/city-seeking-receptionist-pelham-racquet-club,2020-11-04T16:09:45Z,City Seeking Receptionist For Pelham Racquet Club,0,0,Press Release Desk,News Partner,"From the City of Pelham:
November 2, 2020
The City of Pelham is currently accepting applications for the full-time position of Receptionist II at the Pelham Racquet Club.
This position is responsible for receiving and greeting guests, operating multiline telephone system to answer incoming calls, directs visitors to appropriate personnel, and counts and balances cash drawers.
High school diploma or general education degree (GED); or one to three months related experience and/or training; or equivalent combination of education and experience.
The compensation range for this position is $37,884.22-$49,430.31. The City of Pelham also offers an excellent benefits package including Tier 1 RSA Retirement for all full time employees.
Applicant must satisfactorily pass a background investigation and pre-employment drug screen after receiving conditional offer of employment. Applications are available on this website and are available to download. Email completed applications to jobs@pelhamalabama.gov or mail to the City of Pelham, Human Resources, at P.O. Box 1419, Pelham, AL 35124, or drop off at 401 Southgate Drive in Pelham. We will be accepting applications until November 16, 2020 at 5:00pm. The City of Pelham is an Equal Opportunity Employer and is E-Verify compliant.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
8,/alabama/pelham-al/city-pelham-assistant-well-operator-application-deadline-extended-nov-12,2020-11-04T16:03:36Z,City Of Pelham Assistant Well Operator...,0,0,Press Release Desk,News Partner,"From the City of Pelham:
The City of Pelham is currently accepting applications for the full time position of Assistant Well Operator in the Water Division of the Department of Development Services & Public Works.
This position acts as the water quality supervisor by monitoring and controlling treatment equipment to purify and clarify water for human consumption and for industrial use by performing the following duties:
Potential candidates must have the knowledge skills and abilities to perform each essential duty and are required to have a Grade II or higher Water Operator Certification. Knowledge of wells, pumps, tanks and telemetry systems plus electrical and mechanical experience is preferred. A valid driver's license is required and must be maintained. Candidates must satisfactorily pass a background investigation and pre-employment drug screen after receiving a conditional offer of employment.
The salary range for this position is $38,239.25 to $52,116.17. The City of Pelham offers an excellent benefits package and participates in the Retirement Systems of Alabama Tier 1 for full-time employees.
Applications are available on the City website and can be downloaded. Completed applications may be sent to HR@pelhamalabama.gov, mailed to City of Pelham, Human Resources, PO Box 1419, Pelham, AL 35124, or delivered in person to 401 Southgate Drive, Pelham. The final date to submit applications is Thursday, November 12, 2020 at 5:00 PM.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
9,/alabama/pelham-al/pelham-city-council-organizational-meeting-set-tonight,2020-11-02T15:59:50Z,Pelham City Council Organizational Meeting Set...,0,0,Press Release Desk,News Partner,"From the City of Pelham:
October 30, 2020
The City of Pelham City Council Meeting will hold an organizational meeting on Monday, November 2, 2020, at the Pelham Civic Complex & Ice Arena at 6:00 pm.
Meeting Agenda
This press release was produced by the City of Pelham. The views expressed here are the author's own."
10,/alabama/pelham-al/pelham-zoning-board-adjustment-will-meet-oct-28,2020-10-23T14:56:48Z,Pelham Zoning Board Of Adjustment Will Meet Oct...,0,0,Press Release Desk,News Partner,"From City of Pelham:
October 22, 2020
The Zoning Board of Adjustment for the City of Pelham will hold a public hearing at the Pelham Water Works Building, 3111 Cummings St., Pelham, AL 35124 on Wednesday, October 28, 2020 at 7:45 am to consider a request from the terms of the Zoning Ordinance.
VARIANCE REQUEST:
Item 1: 15' Front yard variance in the south west corner of the property
Item 2: Variance from Zoning Regulations in reference to paving a driveway
APPLICANT: ILS B'ham LLC
LOCATION: 3442 Indian Lake Ln
All persons who desire shall have an opportunity of being heard in opposition or in favor of this request. Individuals with disabilities needing special services to participate in applications, activities, programs or services are requested to coordinate their needs in advance. If special accommodations are required, please contact Tom Seale, City Clerk, at 205.620.6400.
Kelsey Cunningham
Zoning Board of Adjustment
Secretary
This press release was produced by the City of Pelham. The views expressed here are the author's own."
11,/alabama/pelham-al/city-pelham-seeking-assistant-well-operator,2020-10-19T20:00:44Z,City Of Pelham Seeking Assistant Well Operator,0,0,Press Release Desk,News Partner,"From the City of Pelham:
October 16, 2020
The City of Pelham is currently accepting applications for the full time position of Assistant Well Operator in the Water Division of the Department of Development Services & Public Works.
This position acts as the water quality supervisor by monitoring and controlling treatment equipment to purify and clarify water for human consumption and for industrial use by performing the following duties:
Potential candidates must have the knowledge skills and abilities to perform each essential duty and are required to have a Grade II or higher Water Operator Certification. Knowledge of wells, pumps, tanks and telemetry systems plus electrical and mechanical experience is preferred. A valid driver's license is required and must be maintained. Candidates must satisfactorily pass a background investigation and pre-employment drug screen after receiving a conditional offer of employment.
The salary range for this position is $38,239.25 to $52,116.17. The City of Pelham offers an excellent benefits package and participates in the Retirement Systems of Alabama Tier 1 for full-time employees.
Applications are available on the City website and can be downloaded. Completed applications may be sent to HR@pelhamalabama.gov, mailed to City of Pelham, Human Resources, PO Box 1419, Pelham, AL 35124, or delivered in person to 401 Southgate Drive, Pelham. The final date to submit applications is Thursday, October 29, 2020 at 5:00 PM.
This press release was produced by the City of Pelham. The views expressed here are the author's own."
