,url,Date,Title,Thank,Reply,author,title,context
0,/california/redwoodcity-woodside/coronaviris-42-5m-child-protective-services-funding-announced,2020-04-13T23:05:19Z,New Child Protective Services Funding Announced,0,1,Bay City News,News Partner,"SACRAMENTO, CA — Gov. Gavin Newsom announced a $42 million statewide effort Monday to support Child Protective Services casework during the novel coronavirus pandemic.
With schools closed during the pandemic and statewide orders tore main indoors as much as possible, Child Protective Services activities like in-person visits and responding to referrals from teachers and others who frequently interact with children have been significantly limited, Newsom said.
The funding will support things like social worker outreach, family resource centers, county-level child protection programs and more resources for state Health and Human Services workers in order to support the roughly 86,500 children in the state's welfare system, including about 59,000in the foster care system, according to Newsom.
""When the schools are closed, that's another point of contact where people are able to make referrals based upon the interaction of children, interactions of school nurses to one another, interactions with our caregivers, not least of which our teachers,"" he said.
""Those referrals are down. Those in-home visits are down as a consequence of the virus.
""The state is providing about $40.6 million of the $42 million effort.
Full coronavirus coverage: California Coronavirus: Latest Updates On Cases, Orders, Closures.

Don't miss updates about coronavirus precautions as they are announced. Sign up for Patch news alerts and newsletters.
More than half of the total funding will be used to send $200 per month to families that are deemed ""at risk"" to help them buy groceries and other necessities.
""It absolutely is an investment on a continuum to support both families at risk and our system, as well as those who are currently serving as resource families for our foster youth across the state,"" state Director of Social Services Kim Johnson said.
Public health officials across the state have confirmed 22,348cases of the virus, including 687 deaths.
There were also 3,015 people hospitalized due to the virus, 1,178 of whom were in intensive care, as of Sunday night, according to Newsom.
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
1,/california/redwoodcity-woodside/coronavirus-san-mateo-county-issuing-parking-ticket-refunds,2020-04-10T00:03:34Z,San Mateo County Issuing Parking Ticket Refunds,0,1,Bay City News,News Partner,"SAN MATEO, CA — The city of San Mateo announced this week that it will dismiss or refund some 1,200 parking tickets issued over the last three weeks and modify its parking enforcement standards as a result of the coronavirus pandemic and San Mateo County's shelter-in-place order.
City officials completed an evaluation of parking enforcement standards and plan to refocus their efforts on education while issuing tickets for parking violations that represent an immediate safety concern, such as improperly parking in a handicapped or red zone.
Citation issuance is already down 40 percent since the pandemic began, compared to the same period in 2019, according to the city.
The enforcement changes will take effect Thursday. As of Monday, the city is also suspending enforcement of metered parking, street sweeping, residential parking and expired registration.
As a result, residents who received one of the 1,241 parking tickets issued between March 17 and Wednesday will have their citations dismissed or refunded.
The city will contact affected residents and no action is required on the part of residents.
Residents with questions can contact the city's traffic unit at traffic@cityofsanmateo.org.
Full coronavirus coverage: California Coronavirus: Latest Updates On Cases, Orders, Closures
Don't miss updates about coronavirus precautions as they are announced. Sign up for Patch news alerts and newsletters.


Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
2,/california/redwoodcity-woodside/what-my-petri-dish-coronavirus,2020-04-08T13:30:00Z,What Is In My Petri Dish? Coronavirus? ,0,0,Tania Solé,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
When Governor Newsom first announced California's Shelter in Place directive, one of the questions he was asked led to him explaining that it was still OK to have a barbecue with your family in your backyard. Today, listening to New York's Governor Cuomo talk about going to a family birthday party and social distancing six feet away from each other, I had to wonder if we are misunderstanding social distancing.
As the recent paper by Sima Asadi, Nicole Bouvier, Anthony S. Wexler & William D. Ristenpart (2020) on Covid-19 transmission: The coronavirus pandemic and aerosols: Does COVID-19 transmit via expiratory particles? In Aerosol Science and Technology, DOI: 10.1080/02786826.2020.1749229 notes:
""modeling [from China] indicated that 79% of the actual documented cases were infected by undocumented individuals. Furthermore, inspection of the average delay time between infection and initial manifestation of symptoms led them to conclude that ""…pre-symptomatic shedding [of virus] may be typical among documented cases""
In addition,
""given the large numbers of expiratory particles known to be emitted during breathing and speech, and given the clearly high transmissibility of COVID-19, a plausible and important hypothesis is that a face-to-face conversation with an asymptomatic infected individual, even if both individuals take care not to touch, might be adequate to transmit COVID-19.""
Essentially, they conclude ""that speech plausibly serves as an important and under-recognized transmission mechanism for COVID-19.""
https://www.tandfonline.com/doi/full/10.1080/02786826.2020.1749229
The reality is that social distancing may not be enough. While:
""Direct or indirect 'contact' modes require a susceptible individual to physically touch themselves with, for example, a virus-contaminated hand; 'direct' indicates that person-to-person contact transfers the virus between infected and susceptible hosts (such as by a handshake), while 'indirect' implies transmission via a 'fomite,' which is an object like a hand-rail or paper tissue that has been contaminated with infectious virus. ""
Aerosol transmission takes that further and says when you speak and emit this virus, this virus is alive and able to infect a new host for as far as it moves in the air and says alive which may be in the case of COVID-19 as long as an hour.
In addition, Dr. Lydia Bourouiba, PhD from MIT has found:
""Owing to the forward momentum of the cloud, pathogen-bearing droplets are propelled much farther than if they were emitted in isolation without a turbulent puff cloud trapping and carrying them forward. Given various combinations of an individual patient's physiology and environmental conditions, such as humidity and temperature, the gas cloud and its payload of pathogen-bearing droplets of all sizes can travel 23 to 27 feet (7-8 m)"" https://jamanetwork.com/journals/jama/fullarticle/2763852?appId=scweb
Are we really going to be able to social distance 23 to 27 feet?
Which brings us to masks. Having traveled to China a fair amount, I know that a lot of people use a mask there when they are personally sick as a polite way of protecting others from their own infection. In addition, my work at AirSpeQ, an air pollution sensor company, has taken me to several aerosol and air pollution conferences including the first ever world air pollution conference organized by the World Health Organization (WHO) in Geneva about eighteen months ago in Geneva. At both conferences the experts were clear, masks don't do very much.
A recent small study from Korea notes:
""During respiratory viral infection, face masks are thought to prevent transmission……Neither surgical nor cotton masks effectively filtered SARS–CoV-2 during coughs by infected patients. Prior evidence that surgical masks effectively filtered influenza virus (1) informed recommendations that patients with confirmed or suspected COVID-19 should wear face masks to prevent transmission (2). However, the size and concentrations of SARS–CoV-2 in aerosols generated during coughing are unknown. Oberg and Brousseau (3) demonstrated that surgical masks did not exhibit adequate filter performance against aerosols measuring 0.9, 2.0, and 3.1 μm in diameter. Lee and colleagues (4) showed that particles 0.04 to 0.2 μm can penetrate surgical masks. The size of the SARS–CoV particle from the 2002–2004 outbreak was estimated as 0.08 to 0.14 μm (5); assuming that SARS-CoV-2 has a similar size, surgical masks are unlikely to effectively filter this virus.""
(https://annals.org/aim/fullarticle/2764367/effectiveness-surgical-cotton-masks-blocking-sars-cov-2-controlled-comparison_)
I realize that the WHO is now in process of changing its guidance but unfortunately, the reality is that the science isn't there yet and people rarely wear masks properly. Additionally, if you are already sick with a respiratory disease and having trouble breathing normally, wearing a mask only makes the problem worse for you from the point of view of your own health. Moreover, if by wearing a mask you get overconfident and become more willing to go out and less careful about social distancing any benefits may be lost. So yes, like social distancing, masks help but they are no panacea.
At this point, the debate about how far to distance from each other and whether or not to use masks, may not be the best way to think about exposure. They each help but not that much. The better way may be to think in terms of petri dishes. Who do you want and trust in your own petri dish? There have been numerous articles as well as explanations from government officials including California Governor Newsom, New York Governor Cuomo and Dr. Anthony Fauci at the Federal level as to how the virus moves person to person.
As we have now seen cruise ships are the real-world human equivalents of petri dishes in the lab: contained environments that one can use to grow cultures be it COVID-19, H1N1 or any other germ or virus. Staying six feet away from someone who speaks and ejects viruses into the air, unless you are downwind from them, doesn't really help. Using a mask may reduce the virus' ability to travel through air but is not likely to be a guarantee. The only thing that really works in this scenario is simply not to be in the same petri dish, not at home, not when you are out shopping for food, and certainly not in a hospital or already contaminated environment. Create your own effective petri dish of people and places you are willing to be in and don't go outside it. If you don't believe it can be done on a nationwide basis just look at New Zealand. They were able to close their borders, quarantine and stop the virus. (https://www.washingtonpost.com/world/asia_pacific/new-zealand-isnt-just-flattening-the-curve-its-squashing-it/2020/04/07/6cab3a4a-7822-11ea-a311-adb1344719a9_story.html
I doubt however that the US can become its own petri dish a la New Zealand. In which case, we will have to wait for mass immunity which involves a fair number of deaths or a vaccine which is about twelve to eighteen months out. Our personal outcomes will be determined by how many other people and how much air by design or not, we let into our personal petri dish. So create your own petri dish."
3,/california/redwoodcity-woodside/1-million-confirmed-cases-worldwide-coronavirus,2020-04-02T20:30:00Z,1 Million confirmed cases worldwide of...,0,0,Tania Solé,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
It is truly hard to fathom but the John Hopkins database has just hit one million cases and that that it is probably more due to underreporting and lack of tests than to the fact that we really just hit that number. Yes, we now know that at least eighty percent of confirmed cases do not need hospitalization, that about fifteen percent will need hospitalization, and five percent will need ventilators.
Individual states have raced around instituting variations of shelter at home, shelter in place, do not travel, pause programs under whatever name and description they think is most appropriate for anywhere from two weeks to eight weeks. Nonetheless, it is clear that so many lives could have been saved by having one national program in place.
The purported economic harm that some people have been making noise about makes one think that the choice is between a vibrant economy and lives, when as Mr. Afuko Addo, President of Ghana, has been quoted as saying ""we know how to bring the economy back to life. What we do not know is how to bring people back to life."" The reality is that if you are dead, you don't really care what the state of the economy is.
As someone who is based out of the US, although Europe as in Italy, Spain, Germany and France, has actually outpaced the US in infections and deaths, this isn't in any way comforting. As already pointed out Italy, Spain, Germany and France have yet to see the outrageous spike in layoffs that the US has. Not only have applications for unemployment hit over six million but the punditry and government officials act like the current healthcare system isn't half of the problem. For small main street businesses that must continue to pay healthcare expenses even when they aren't open for business, the double whammy means that it is simply easier to layoff employees then to carry the healthcare expense for the unknown length of time this epidemic might run.
As noted above different states are implementing stay at home / social distancing directives of different lengths, the longest of which is Virginia's June 10th; however the models being presented by different groups including those by the Gates Foundation only show the epidemic flattening out late summer and potentially flatlining for quite some time after. We are way too early to really now for sure. Unfortunately, small businesses need to make decisions now.
It would be nice as New York Governor Cuomo outlined in his daily press conference yesterday to emerge from this pandemic with a more resilient economy that includes intergovernmental coordination, more tele-medicine and tele-education and even more local medical suppliers, researchers and first responders. We have a choice. Transformation could be negative but it doesn't have to be. We should be able to learn, grow and find the silver lining in this horribly dark cloud."
4,/california/redwoodcity-woodside/state-virginia-win-stay-home-order-until-jun-10,2020-03-30T23:18:06Z,State of Virginia in for the Win! Stay at Home...,0,0,Tania Solé,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
The Koch brothers and Trump wanted to reopen the country and the economy to ensure that the stock market shot back up and everyone went to mass on Easter Sunday. But is that really what the country needs right now? First Governor Cuomo of NY extended the NY PAUSE directive through April 15th. Then Trump finally agreed that the earliest we can start trying to reopen is April 30th. Today, Governor Northam of Virginia lapped them for the win with a stay at home order through June 10th .(https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-55-Temporary-Stay-at-Home-Order-Due-to-Novel-Coronavirus-(COVID-19).pdf )
At some point however, we will have to start considering what it will take to reopen the country not so much in terms of date but in terms of process. One of the proposals has as its lead author, Scott Gottlieb, a former Trump FDA commissioner.
https://www.aei.org/research-products/report/national-coronavirus-response-a-road-map-to-reopening/
The report lays out four phases:
Phase 1: which we are all in right now and has as its goal providing an increase in hospital critical care beds and an increase of testing to 750,000 people a week to track the epidemic.
Phase 2: A state sees a sustained reduction in new cases for at least 14 days, and its hospitals are able to provide care without being overwhelmed.
Phase 3: The nation has a vaccine or drugs to treat covid-19 in place and the government launches mass vaccinations.
Phase 4: The nation starts rebuilding its capacity to deal with the next pandemic by building up its scientific and public health infrastructure.
https://www.washingtonpost.com/health/2020/03/29/coronavirus-strategy-economy-plan/
Sounds reasonable enough until you realize that getting to Phase 2 could be very easy to achieve by simply no longer reporting the true numbers. When Chinese officials faced pressure to reopen the economy, magically the numbers improved almost overnight which is why informed people had trouble understanding them.
As the NY Times has noted in China:
""Hospitals could input patients' details into a computer and instantly notify government health authorities in Beijing, where officers are trained to spot and smother contagious outbreaks before they spread.
It didn't work.
After doctors in Wuhan began treating clusters of patients stricken with a mysterious pneumonia in December, the reporting was supposed to have been automatic. Instead, hospitals deferred to local health officials who, over a political aversion to sharing bad news, withheld information about cases from the national reporting system — keeping Beijing in the dark and delaying the response.""
https://www.nytimes.com/2020/03/29/world/asia/coronavirus-china.html
If we want the same thing to happen here, this is the way to do it. Incentivize public officials and hospital administrators to stop telling the truth.
Think this isn't going to happen. We already we have the following articles
https://www.bostonglobe.com/2020/03/17/metro/mass-official-coronavirus-count-is-197-experts-say-true-number-could-now-be-high-6000/
https://www.latimes.com/science/story/2020-03-10/us-coronavirus-cases-far-above-official-tally-scientists
Dr. Fauci has explained and Governor Cuomo has stated that right now we are behind the eight ball. In other words, the virus is setting the timeline. Essentially Governor Northam acknowledged that by setting a more realistic timetable ten weeks out. Thinking that we can set a shorter timeline assumes we have answers to a lot of questions. The reality is that we still don't know how to stop the virus. Maybe we will get lucky and the virus will turn out not to like warm weather. However, if that is not the case; the Chinese example not to mention the Italian example would lead one to believe that Governor Northam's order is the most appropriate. It will surely be quickly adopted by a lot of states.
Our ability to get to phase 2 depends on whether we are able to test enough people to make quarantine and isolation decisions based on tests but even more importantly on whether or not getting the disease once really provides immunity to the disease for the individual going forward. I don't think we really know enough about either aspect. The first assumes that the person cannot test negative even though he/she is a carrier. The second assumes that antibodies will remain in an individual and protect that individual going forward. The newspapers are full of cases of someone who tests negative first and then tests positive. The assumption is that the individual got the virus between the two events. However, that is really only an assumption and it may prove to be wrong. In addition, there have already been cases of reinfection in China which is why China closed its borders. It is hard to know whether in the cases of reinfection, the body hadn't produced enough antibodies or whether the virus mutated enough to work around the former antibodies.
As Governor Cuomo noted this morning, healthcare workers are our soldiers in this fight we need to support them in any way we can through this first critical phase 1. We need to get them sufficient personal protective equipment so that they do not get infected. We need to get them more support as in more healthcare workers so that the ones on the frontline don't collapse from exhaustion. And just as importantly, we need to admire and thank them for their efforts.
At this point moving to Phase 2 is the goal. When we can get there we can then start trying to get ahead of the virus with proper planning for Phase 3 and Phase 4.
E pluribus unum!"
5,/california/redwoodcity-woodside/dear-governor-cuomo,2020-03-29T17:05:31Z,Dear Governor Cuomo,1,0,Tania Solé,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Dear Governor Cuomo,
On March 20th, I stumbled onto your live press conference on the PAUSE being implemented in NY. I was impressed with your comments about bad information among young people. You stated they think: ""'I can't get it.' Yeah. That is wrong. That is wrong. That young people can't get it. THAT IS WRONG. It is not a factual statement. 20% of coronavirus cases according to the CDC ages 20-44. OK. France more than 50% of coronavirus cases in ICU under 60 years old. You can get it! ….""
It was nice to see someone come out with a direct statement ""That is wrong."" And repeat it three times each time more emphatically.
This Saturday March 28th, I made a concerted effort to listen into your coronavirus update hoping to be just as impressed if not more. ( https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-issues-executive-order-moving-new-york You are getting so much good press.) Sadly, just a couple of minutes into your press conference, I was stumped. How could you, Mr. Facts / Mr. Reality, be saying that in perspective China's coronavirus epidemic had started twelve weeks ago. For a second there I thought I had tuned into an old press conference, you surely couldn't be speaking live. I was wrong. You were speaking live on March 28th. However, if we are going to be giving facts then let's give the correct facts. The first case in Wuhan, China was traced back to November 17th, that is closer to 19 weeks ago. Yes, it is true the doctors in Wuhan didn't notify their equivalent of the CDC for another four weeks but then they didn't realize that this was the beginning of a pandemic. It took them about four weeks to do so. Finally Chinese officials acknowledged the pandemic on December 31st. Nonetheless, to contextualize a New York State first case as being only 27 days ago, you need to compare it if anything really to the first case in Wuhan.
Why do I care? Because the step everyone is now trying to talk about is when do we reopen the economy and/or the country? Well if the coronavirus cycles through NY the way it did in Wuhan, you should realize that Wuhan is just barely now beginning to lift restrictions a full 19 weeks after the first case. So yes, Governor Cuomo this is a marathon not a sprint. But just to be clear this is a full marathon, not a half marathon. NY and really the US is maybe four weeks into this at least 19 week cycle.
You go on to talk about testing but some of your ideas seem a bit flawed. Yes, a lot depends on whether we are able to test enough people to make quarantine and isolation decisions based on tests but even more importantly on whether or not getting the disease once really provides immunity to the disease for the individual going forward. I don't think we really know enough about either aspect. The first assumes that the person cannot test negative even though he/she is a carrier. The second assumes that antibodies will remain in an individual and protect that individual going forward. The newspapers are full of cases of someone who tests negative first and then tests positive. The assumption is that the individual got the virus between the two events. But that is really only an assumption and it may prove to be wrong. In addition, there have already been cases of reinfection and it is hard to know whether there weren't enough antibodies present or whether the virus mutated enough to work around the former antibodies. Reminds me of the fact that the flu mutates year to year which is why people require new updated flu vaccines. Not to mention that even if Wuhan is now lifting some restrictions; China, in fact, is closing its borders out of concern for reinfections.
But getting back to basics Governor. I know you want to be positive. I know you want to reopen the economy and the country. But just like the young people partying on the beaches in Florida and elsewhere, you are wrong to think this is going to be a half marathon. This really is a full marathon! In fact today you extended the New York PAUSE to April 15th.
I hope you, New York State and the country have the patience, more like the endurance, to face the harsh realities that it will require to finish in one piece. Yes, we are all in this together. We are going to get through this and get back to whatever we were doing before. But as you put it, if we use this time well like for example to reconnect with family, talk to one another and have Sunday dinner together, it will have been priceless.
""Excelsior. E pluribus unum.""
Sincerely,
Tania Sole"
6,/california/redwoodcity-woodside/dear-president-trump,2020-03-26T20:30:00Z,Dear President Trump,0,0,Tania Solé,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Dear Mr. President,
The news is getting worse and worse by the day. Today was quite a double whammy! We now have according to the John Hopkins coronavirus tracker (https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6 ) the distinction of being number 1, number 1, in worldwide confirmed cases (do I really trust the Chinese numbers, I am not sure but nonetheless this is nothing to dismiss.)
In addition, we learned earlier today that over 3.3 million Americans have filed for unemployment. That number actually dwarfs the numbers during the 2008-2009 recession. And of course, it doesn't include all those who are self-employed and cannot file for unemployment. A much larger number today than during the recession. Do you really believe that all those people will be rehired or able to support themselves by Easter? Yes, they may still go and fill the churches but they won't be there out of joy they will be there for the comfort that at moments like these only religion can provide.
If you really think that the best thing is to reopen the country for Easter, please go ahead and do so. It won't be the people who understand and apply science in their daily lives who will die, it will be your followers who deluded by your magnificence will as you have alluded to allow themselves to be shot by you. Or those in desperate circumstances that no longer really care what the outcome is. But is that really what you want to do? I thought you wanted to win in November. Ensuring that 5-10% of your voters die before they cast their votes for you is no way to win an election.
The fact is that the Imperial College report ( https://www.imperial.ac.uk/media/imperial-college/medicine/sph/ide/gida-fellowships/Imperial-College-COVID19-NPI-modelling-16-03-2020.pdf ) clearly states:
""The major challenge of suppression is that this type of intensive intervention package – or something equivalently effective at reducing transmission – will need to be maintained until a vaccine becomes available (potentially 18 months or more) – given that we predict that transmission will quickly rebound if interventions are relaxed. ""
Bold is mine: 18 months! November is slightly over eight months away. Over three million people are now desperate and probably going to have to take jobs on what to do are the frontlines namely Amazon delivery and supermarket stocking such as at chains like Safeway.
Most experts are expecting at least another month of increasingly worse numbers. In any case, the Imperial College report continues:
""We show that intermittent social distancing – triggered by trends in disease surveillance – may allow interventions to be relaxed temporarily in relative short time windows, but measures will need to be reintroduced if or when case numbers rebound.""
Even China, five months into the process, is now closing its borders due to a fear of reinfection from the outside. We are barely one month into testing and identifying how the virus is beginning to move through our population. Do you really want the virus coming back in October just as people are starting to vote? I wouldn't think so but maybe you know better.
Later in the paper they suggest:
""In the (unlikely) absence of any control measures or spontaneous changes in individual behaviour, we would expect a peak in mortality (daily deaths) to occur after approximately 3 months….. 2.2 million in the US, not accounting for the potential negative effects of health systems being overwhelmed on mortality.""
And that doesn't even account for deaths due to unemployment or underemployment, surely the next wave.
One last quick thought: I would also suggest you reconsider who your friends are. Is Fox TV really your friend? Murdock cancelled his birthday party:
""But one elderly Fox News viewer, a crucial supporter of President Trump, took the threat seriously: The channel's chairman, Rupert Murdoch, who was to celebrate his 89th birthday on March 11.
On March 8, as the virus was spreading, the Murdoch family called off a planned party out of concern for the patriarch's health, according to a person familiar with the cancellation. There were about 20 people on the guest list.""
https://www.nytimes.com/2020/03/23/business/media/fox-news-coronavirus-rupert-murdoch.html
They know the danger is real. So why would the network claim that you need to reopen the country for economic reasons? Maybe they aren't really as supportive as you think. Maybe they don't want you to get re-elected. When you assume that, all of a sudden their calls to reopen the economy make sense. Let your supporters die and you won't get reelected. You really ought to start thinking through what your supposed advisors are blaring at you. They may not be the supporters you thought they were.
Take care, Mr. President, your decisions today could make a big difference in November. I am sure you recognize that.
Sincerely,
Tania Sole"
7,/california/redwoodcity-woodside/san-mateo-county-supes-launch-coronavirus-emergency-relief-fund,2020-03-24T22:52:28Z,Supes Launch Coronavirus Emergency Relief Fund,0,0,Bay City News,News Partner,"REDWOOD CITY, CA — The San Mateo County Board of Supervisors launched an emergency relief fund Tuesday to support those that are particularly affected by the novel coronavirus outbreak.
The board provided $3 million in seed funding to the San Mateo County Strong Fund, which will support residents, non-profit organizations and small businesses that are particularly hard hit by the outbreak.
The fund is also accepting donations from residents at SMCStrong.org.
""We know that many of our neighbors are being hit hard financially by layoffs, cutbacks in hours and shutdowns,"" Board of Supervisors President Warren Slocum said.
""We ask that anyone who has the means to help today to make a donation right away.""
The fund will assist residents afford household necessities and help small businesses and nonprofits maintain their staffs and operating expenses, according to the board.
The board used revenue from 2016's Measure K, a voter-approved half-cent local sales tax extension, to launch the fund. Donations and fully tax deductible and all money donated to the fund will remain in San Mateo County, according to the board.
""For too many of my constituents right now, April's rent payment is simply out of reach,"" Supervisor David Canepa said.
""We are standing up to this moment in time by taking unprecedented actions to protect us all. But mark my words, this is just the beginning.""
The board also plans to launch a parallel fund with the San Mateo County Economic Development Association and the Silicon Valley Community Foundation that will seek donations from the county's large companies and philanthropic organizations.
""Every city, school district, hospital, companies of all sizes, chambers of commerce, and legions of volunteers have come together to make sure we weather the crisis and come out stronger on the other side -- that's what makes San Mateo County special,"" Slocum said.
Copyright 2020 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited.
"
8,/california/redwoodcity-woodside/rep-khanna-hold-virtual-town-hall-facebook,2020-03-23T18:16:04Z,Rep. Khanna To Hold Virtual “Town Hall”,0,0,Bay City News,News Partner,"SANTA CLARA COUNTY, CA — U.S. Rep. Ro Khanna, D-Santa Clara, will hold his monthly live ""town hall"" meeting from 6:30 to 9:30 p.m. Monday on his Facebook page.
Khanna plans to discuss recent actions by Congress, his current legislative activities and take questions from the audience as selected from the live comments section.
Everyone, especially residents of his South Bay district, is welcome to listen in and submit questions.







Copyright 2020 by Bay City News, Inc. -- Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited."
9,/california/redwoodcity-woodside/eviction-ban-relief-fund-considered-san-mateo-county-supes,2020-03-22T16:54:19Z,"San Mateo Co. Considers Eviction Ban, Relief Fund",0,4,Bay City News,News Partner,"SAN MATEO COUNTY, CA — San Mateo County supervisors on Tuesday will consider a pair of actions to relieve financial stress caused by the novel coronavirus crisis.
The measures are an emergency regulation that would ban evicting tenants suffering financially during the emergency for nonpayment of rent and an emergency $3 million ""San Mateo County Strong"" fund to help residents, nonprofit organizations and small businesses.
The Board of Supervisors meets at 9 a.m. Tuesday in the board chambers at the Hall of Justice in Redwood City.
""Our county's most vulnerable residents and small businesses have been hit the hardest by this crisis,"" County Manager Mike Callagy said in a news release. ""The impacts from COVID-19 have been swift and far-reaching.""
The emergency eviction ban is intended to protect renters in the 105,000 rental units countywide from being evicted as they deal with lost work hours and health concerns during the shelter in place order.
""Job loss, cutbacks in work hours, staying home with school-age children, caring for a stricken loved one, or becoming ill with the disease would qualify under the emergency protections,"" the county said.
County departments are developing a process for renters to petition landlords for rent relief, officials said.
If the emergency order is approved, tenants would be liable for back rent 180 days following the termination of the emergency. Supervisors and the county manager will review the emergency regulation as needs dictate.
The San Mateo County Strong Fund would provide $3 million in emergency aid to assist prescreened individuals and families; small businesses; and nonprofit organizations that serve the community's most vulnerable residents, the board said.
Funds would come from Measure K, a half-cent, voter-approved sales tax extension and would be administered by the Silicon Valley Community Foundation. The foundation would seek additional donors and the fund would only be available to San Mateo County residents, nonprofits and businesses.
The county, the foundation and the San Mateo County Economic Development Association are creating a website where donors can add to the fund and those in need can apply for assistance.
""San Mateo County's residents and businesses, and especially our small businesses and sole proprietors who do not qualify for unemployment benefits, are reeling from this crisis,"" said Rosanne Foust, SAMCEDA president and CEO.
The Board of Supervisors meeting will not be open to the public die to the shelter in place order, but a video broadcast will be available at sanmateocounty.legistar.com. Comments can be submitted by email to boardfeedback@smcgov.org.
Copyright 2019 by Bay City News, Inc. — Republication, Rebroadcast or any other Reuse without the express written consent of Bay City News, Inc. is prohibited.
Full coronavirus coverage: California Coronavirus: Live Updates On Cases, Updates, Closures"
