,url,Date,Title,Thank,Reply,author,title,context
0,/michigan/royaloak/royal-oak-civic-foundation-schedules-meeting-april-8,2020-04-07T15:31:32Z,Royal Oak Civic Foundation Schedules Meeting,0,0,Press Release Desk,News Partner,"Press release from the City of Royal Oak:
April 7, 2020
The Royal Oak Civic Foundation will hold a meeting 3:00 p.m. Wednesday, April 8, 2020.
On March 10, 2020, Governor Whitmer issued Executive Order 2020-04, which declared a state-wide state of emergency due to the spread of the novel coronavirus (COVID-19). COVID-19 is a new strain of coronavirus that had not been previously identified in humans, can spread easily from person to person, and can result in serious illness or death. To mitigate the spread of COVID-19, to protect the public health, and provide essential protections to vulnerable Michiganders, it is crucial that all Michiganders take steps to limit in-person contact. The critical mitigation measures include social distancing and limiting the number of people interacting at public gatherings. Therefore, the April 8, 2020 Royal Oak Civic Foundation Meeting will be held electronically, in compliance with the Open Meetings Act and Executive Order 2020-15, as issued by Governor Whitmer on March 18, 2020.
Members of the public may participate in the meeting by viewing /listening:
Join the live meeting webinar at: https://zoom.us/j/225951222?pwd=SGU2QnFNRXJwUzR0L3k1ckljRkVsQT09
You will land in a webinar wait room until the host opens the line. (Please log-in by 2:40 PM on April 8, 2020 to minimize meeting distractions)
Members of the public can also contact the Royal Oak Civic Foundation's executive director to provide input or ask questions on any business that will come before the civic foundation at the meeting via e-mail as follows:
This press release was produced by the City of Royal Oak. The views expressed here are the author's own."
1,/michigan/royaloak/royal-oak-city-commission-meet-electronically-wednesday,2020-03-31T23:48:04Z,Royal Oak City Commission To Meet Electronically,0,0,Press Release Desk,News Partner,"Press release from the City of Royal Oak:
March 30, 2020
NOTICE OF SPECIAL CITY COMMISSION MEETING
The Royal Oak City Commission will hold a special meeting at 6:00 p.m. Wednesday, April 1, 2020.
On March 10, 2020, Governor Whitmer issued Executive Order 2020-04, which declared a state-wide state of emergency due to the spread of the novel coronavirus (COVID-19). COVID-19 is a new strain of coronavirus that had not been previously identified in humans, can spread easily from person to person, and can result in serious illness or death. To mitigate the spread of COVID-19, to protect the public health, and provide essential protections to vulnerable Michiganders, it is crucial that all Michiganders take steps to limit in-person contact. The critical mitigation measures include social distancing and limiting the number of people interacting at public gatherings. Therefore, the April 1, 2020 Royal Oak City Commission Special Meeting will be held electronically, in compliance with the Open Meetings Act and Executive Order 2020-15, as issued by Governor Whitmer on March 18, 2020.
Members of the public can watch the meeting in any of the following ways:
On WROK, the city's municipal access cable channel or using the webstream video player at :https://www.romi.gov/523/Live-Stream-and-Video-on-Demand .
Learn more: https://www.romi.gov/AgendaCenter/ViewFile/Agenda/_04012020-1912
This press release was produced by the City of Royal Oak. The views expressed here are the author's own."
2,/michigan/royaloak/absentee-ballots-royal-oak-have-new-look-see-it-here,2020-02-14T18:11:11Z,Royal Oak Absentee Ballot's New Look ,0,0,Jessica Strachan,Patch Staff,"ROYAL OAK, MI — Absentee ballots for the March 10 presidential primary are arriving in mailboxes across Michigan and they have a new look.
The specially designed envelope with a blue and white look replaces the former larger-style manila envelopes, and the return envelopes have a new green and white design.
Here's a look at what Royal Oak residents who requested absentee ballots can expect:
The colorful new envelopes were designed to make it easier for the United States Postal Service to process them, Royal Oak city officials said.
Click here for the timeline on voting absentee in the March 10 election."
3,/michigan/royaloak/royal-oak-senator-accuses-sen-lucido-sexual-harassment,2020-01-21T14:24:01Z,Royal Oak Senator Files Sexual Harassment Suit ,0,6,Jessica Strachan,Patch Staff,"ROYAL OAK, MI — Michigan Sen. Mallory McMorrow, 33, will file a sexual harassment lawsuit against Sen. Peter Lucido, according to reports.
McMorrow, D-Royal Oak, told Crain's Business Detroit that she is planning to file the suit Tuesday with the Senate Business Office. The report says the lawsuit is over an incident that happened with Lucido more than 14 months ago right after McMorrow was elected to office in November 2018.
""He shook my hand and with his other hand held my low back with his fingers on my hips, effectively upper rear, and we had a back-and-forth conversation,"" McMorrow told Crain's.
Last week, Lucido, a Republican who represents Michigan's 8th district, came under fire earlier for a comment he allegedly made to a female reporter in Lansing, saying boys ""could have a lot of fun with you"" during an exchange.
Rep. Peter J. LucidoLucido tweeted an apology.
Read the full story here."
4,/michigan/royaloak/clarkston-resident-appointed-ochn-board-directors,2020-01-13T18:20:31Z,Clarkston Resident Appointed to OCHN Board of...,0,0,Oakland Community Health Network,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Oakland County's Board of Commissioners recently appointed Clarkston resident, Patrick Kemp, to serve a three-year term on Oakland Community Health Network's (OCHN) Board of Directors from January 2020 to March 2023.
Kemp is a former General Motors (GM) executive and dedicated advocate for people with special needs, spanning four decades. He is also the father of a young man living with autism. Following his career at GM, Kemp joined Autism Speaks as Executive Vice President of Marketing, Communications, and Corporate Fundraising. He introduced the ""Light It Up Blue"" campaign instrumental in building autism awareness and generating funds throughout the world.
Kemp joined the Autism Alliance of Michigan as Executive Vice President of Marketing and Adult Services in 2013. He introduced the highly recognized, lime-green puzzle piece while he was there. He also co-chaired a statewide committee of non-profit organizations that developed the blueprint of housing options for adults with disabilities. These housing options currently appear on the State of Michigan website. Further, Pat created and ran Extraordinary Ventures of Michigan, which was a portfolio of small businesses that employed adults with autism.
He was President of the Autism Society of Oakland County in the mid-80's, as well as served on the Michigan Autism Society Board during that same timeframe. Kemp joined the Jack's Place for Autism Board when it was formed in 2001 and was influential in aligning Jack's Place with Oakland University. After Kemp joined Autism Speaks, Oakland University created OUCares.
Kemp is married, has seven children and five grandchildren, and lives in Clarkston, Michigan."
5,/michigan/royaloak/oakland-county-overwhelmingly-approves-occ-millage,2019-11-06T15:10:30Z,Oakland County Overwhelmingly Approves OCC Millage,0,0,Jessica Strachan,Patch Staff,"OAKLAND COUNTY, MI — The Oakland Community College millage renewal passed on Tuesday with a resounding 72% of voters approving the measure.
""We are grateful to the voters for maintaining their support of OCC,"" said Chancellor Peter Provenzano. ""With this renewal, we will continue delivering high-quality educational opportunities that empower our economy and benefit the entire community.""
The renewal provides OCC with $45 million per year for 10 years without raising the local tax rate above current levels. The millage represents 27 percent of OCC's annual operating budget.
""Oakland Community College serves a critical role in advancing our community by delivering a quality education at an affordable rate,"" OCC Board Chair John McCulloch added.
With small class sizes and expert faculty, OCC offers nearly 100 programs of study in fields such as robotics, IT, health care, emergency-services and advanced manufacturing to meet the demand for a highly-skilled workforce.
The College is also the top transfer institution in Michigan, with nearly 50 percent of students continuing their education after OCC."
6,/michigan/royaloak/royal-oak-election-2019-mayoral-race-results,2019-11-06T02:50:28Z,Royal Oak Mayoral Race Results ,0,3,Jessica Strachan,Patch Staff,"ROYAL OAK, MI — Royal Oak had an unprecedented election as record numbers turned out to vote in the city election, according to City Clerk Melanie Halas.
Royal Oak Mayor Mike Fournier ran for re-election facing Stephen Miller. Unoffocial results had Fournier projected to win, holding his seat with 56 percent of the votes, or 7,371 votes in, compared to Miller's 5,538 votes, which earned roughly 43 percent of the vote in Tuesday's election.
Michigan 2019 Election Results
Some 36,329 voters turned out in Royal Oak's citywide election."
7,/michigan/royaloak/michigan-2019-election-live-results,2019-11-06T01:04:24Z,Michigan 2019 Election: Live Results ,0,1,Jessica Strachan,Patch Staff,"METRO DETROIT, MI — Vote totals are in after thousands of Michigan voters headed to polls Tuesday to cast ballots in local races. Cities voted on mayoral races, city council seats and bonds.
Here's a look at the races we are watching:
Cities reported an overall steady voter turnout, with single issues and projects drawing 20 percent turnout in Dearborn, while cities like Royal Oak saw record numbers of voters thanks to no-reason absentee voting.
Related:
Michigan Election 2019 In Photos: Voter Pride
Dearborn's Projected Voter Turnout
Royal Oak Sees Record Turnout For City Election Thanks To Absentee Ballots
A Look At Both Sides Of The Dearborn School Bond Proposal
Dearborn's Single-Item Ballot Could Bring Low Turnout
4 Metro Detroit Cities Voting On Marijuana Businesses
Stay with Patch for live results. Subscribe to free news alerts.
"
8,/michigan/royaloak/michigan-election-2019-photos-voter-pride,2019-11-05T19:28:34Z,Michigan Election 2019 In Photos: Voter Pride ,0,0,Jessica Strachan,Patch Staff,"METRO DETROIT, MI — Residents all across the region are making their voices heard this election by casting their ballots for local races.
Patch has seen all kinds of ""I voted"" stickers, selfies and fun set-ups to display voters' pride — from outside the polls to absentee voters.
Here are some of our favorites:
Voting doesn't get more adorable than this. Kelsey Ellasser-Fox made it a family affair in Royal Oak:
Greg Swetka voted today in Grosse Pointe:
Lisa Reed Sementkowski was one of the residents that made it a record turnout for Royal Oak absentee ballots:
Ronda Evola did her part by voting absentee in Grosse Pointe:
David John Bourgeois made his voice heard today at the polls:
Thanks to David Benvenuto for giving us his best post-poll selfie:
Thumbs up to Kristin Berry Scripter who got out this morning to vote early:
Cheryl Palmer McDonald was voter number 138 at the Royal Oak Farmers Market:
Katie Acebo Cosgrove voted then shared the moment with her fur baby:"
9,/michigan/royaloak/royal-oak-sees-record-votes-city-election,2019-11-04T14:22:00Z,Royal Oak Sees Record Votes In City Election,0,2,Jessica Strachan,Patch Staff,"ROYAL OAK, MI — Royal Oak is having an unprecedented election. According to City Clerk Melanie Halas, this election marks the highest amount of ballots issued for a citywide election.
That's based on absentee ballots, which now Michigan residents can cast without reason. In Royal Oak, they have issued 8216 ballots and over 5,000 have been returned so far, the clerk said.
Not all cities are seeing this kind of turnout.
RELATED: Michigan Election 2019: What To Know
In Dearborn, where there is only one non-contested race — a bond proposal — turnout is the same as usual for a city election. But in Royal Oak, with heated races, there is a record turnout this year.
So what's on the ballot in Royal Oak?
Royal Oak Mayor Mike Fournier is running for re-election, facing Stephen Miller, a leader behind the city's recent city center developments.
There are six candidates for three seats with a four year term on the Royal Oak City Commission. Incumbents Kyle DuBuc, Randy LeVasseur, and Patricia Paruch are running for re-election and Tom Hallock, Pamela Lindell, and Belem Morales are also on the ballot."
