,url,Date,Title,Thank,Reply,author,title,context
0,/massachusetts/seekonk-swansea/swansea-annual-town-meeting-set-monday,2020-06-10T22:04:52Z,Swansea Annual Town Meeting Set For Monday,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
The Annual Town Meeting is scheduled for Monday, June 15, 2020 at 7PM; it will be held at the Venus deMilo Restaurant, 75 GAR Highway. The last day to register to vote at the Annual Town Meeting is Friday, June 5, 2020 at 8PM. Please contact the Clerk's Office for instructions on how to register in person (508-678-9389 ext. 2) due to the fact that the Town Hall is closed to the public. Once again, all safety protocols will be in place and followed, as they were for the Special Town Meeting held on June 1st - please see below the ATM & STM Warrants.
Click here for the Annual Town Meeting Warrant
Click here for the Special Town Meeting Warrant
The following safety measures will be in place for the meeting:1. Residents who are not registered voters will NOT be allowed to attend.2. Voters must have been registered prior to March 13, 2020.3. Check-in will begin at 5:45 p.m., and residents are urged to arrive early.4. The use of the front building entrance will be prohibited.5. Residents whose last names begin with the letters A-L are asked to enter through the West entrance of the building.6. Residents whose last names begin with the letters M-Z are asked to enter through the East entrance of the building.7. Temperature screenings will be conducted, along with verbal health screenings, for all attendees prior to entry.
In accordance with Gov. Charlie Baker's orders, face coverings will be required for entry. A limited number of masks will be available, but residents are urged to bring their own.A separate seating area will be designated for those individuals unable to wear a mask due to health issues or other circumstances.Movement within the meeting room will be limited to ensure appropriate social distancing. Socially distanced seating will be provided.
The Annual Town Meeting was originally scheduled for May 18, 2020, was recessed and continued to June 15, 2020.The decision to hold the meeting on June 15 was made in consultation with the Swansea Board of Selectmen and Board of Health, in accordance with Governor Baker's orders.Though municipal legislative bodies are exempt from orders prohibiting gatherings of more than 10 people, numerous precautions are being taken to ensure the safety and health of residents attending the meeting.
It is imperative that residents who attend Annual Town Meeting follow the measures in place and adhere to strict social distancing guidelines. This is an unprecedented way to hold such a meeting, and we ask that all residents be patient and respectful during the process.
Any resident with questions about the June 1 Special Town Meeting should contact the Swansea Town Clerk's office at 508-678-9389 ext. 2
article
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
1,/massachusetts/seekonk-swansea/call-letters-old-providence-road-bridge-causeway-0,2020-06-05T13:29:03Z,..Old Providence Road Bridge Causeway,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
The Swansea Conservation Commission is seeking letters of support for a grant application under the Municipal Vulnerability Grant Program for funds for design engineering to elevate the causeway of the Miles Bridge on Old Providence Rd to prevent over-wash and floodtide inundation of the causeway during Moon High Tides and moderate storm events. The application would also design specific flood inundation barriers to protect the intake and pump station for the desalination plant.
Please email Colleen Brown, Swansea Conservation Agent at cbrown@town.swansea.ma.us or mail to Colleen Brown, Conservation Agent, 68 Stevens Rd. Swansea, MA 02777.
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
2,/massachusetts/seekonk-swansea/call-letters-old-providence-road-bridge-causeway,2020-05-27T14:34:04Z,Call For Letters: Old Providence Road Bridge,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
The Swansea Conservation Commission is seeking letters of support for a grant application under the Municipal Vulnerability Grant Program for funds for design engineering to elevate the causeway of the Miles Bridge on Old Providence Rd to prevent over-wash and floodtide inundation of the causeway during Moon High Tides and moderate storm events. The application would also design specific flood inundation barriers to protect the intake and pump station for the desalination plant.
Please email Colleen Brown, Swansea Conservation Agent at cbrown@town.swansea.ma.us or mail to Colleen Brown, Conservation Agent, 68 Stevens Rd. Swansea, MA 02777
article
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
3,/massachusetts/seekonk-swansea/swansea-special-town-meeting-postponed-june-1,2020-05-19T20:29:36Z,Swansea Special Town Meeting Postponed To June 1,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
The Special Town Meeting (originally set for 03/23/2020) has been further recessed and continued to June 1, 2020. There has been a change of location also - the Special Town Meeting will be held at the Venus deMilo Restaurant, 75 GAR Highway, Swansea, MA. The meeting is scheduled to begin at 7:00 PM.
Notice of Further Recess and Continuance to June 1, 2020 - Official Announcement from Town Moderator Paul Burke
article
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
4,/massachusetts/seekonk-swansea/coronavirus-swansea-special-town-meeting-delayed-june-1,2020-05-07T14:09:47Z,Coronavirus: Swansea Town Meeting June 1,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
Posted on: April 30, 2020 - 2:07pm
The Special Town Meeting (originally set for 03/23/2020) has been further recessed and continued to June 1, 2020.
Notice of Further Recess and Continuance to June 1, 2020 - Official Announcement from Town Moderator Paul Burke
article
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
5,/massachusetts/seekonk-swansea/coronavirus-swansea-shellfishing-permits-suspended-until-further,2020-05-05T15:10:25Z,Coronavirus: Swansea Shellfishing Permits Halted,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
Please be advised - until further notice, no Shellfishing Permits will be issued by either the Police Department or the Town Clerk's Office. Please check back to this website frequently for updates. STAY SAFE!
article
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
6,/massachusetts/seekonk-swansea/calls-investigation-after-violence-ice-detention-center,2020-05-03T13:08:58Z,Calls For Investigation After Violence,0,38,Mike Carraggi,Patch Staff,"NORTH DARTMOUTH, MA — U.S. Sen. Elizabeth Warren, U.S. Rep Joe Kennedy and the ACLU are among those calling for an independent investigation of an immigration detention facility after violence erupted during attempted coronavirus testing.
Bristol County Sheriff Thomas Hodgson said Friday night 10 ICE detainees at the C. Carlos Carreiro Immigration Detention Center ""rushed violently"" at he and correctional officers after the detainees were told they had to be tested for the coronavirus. Hodgson said the detainees each reported multiple symptoms of COVID-19, prompting the necessity for testing.
Hodgson said the detainees barricaded themselves in the the center's B-Wing, ""ripped washing machines and pipes off the wall, broke windows and trashed the entire unit."" They caused an estimated $25,000 in damage, he said.
Three detainees were taken to the hospital: One for a panic attack, another with a pre-existing condition and a third for ""a a medical incident after being removed from the ICE wing.""
No correctional officers were injured.
The Boston Immigration Justice Accompaniment Network was among those saying detainees reporting they were attacked by Hodgson himself and only wanted to be treated for symptoms in their own unit.
""All people held at this facility deserve to be treated with humanity and dignity,"" Kennedy tweeted, calling for an independent investigation.
""I'm concerned by yesterday's incident at the Bristol County House of Correction, & the conflicting accounts,"" Warren tweeted.
Carol Rose, executive director of the ACLU of Massachusetts, called the reports ""deeply disturbing.""
""Immigration detention has expanded at record levels under the Trump administration; now more than ever, we will not allow the increasingly horrific conditions of ICE detention to be normalized,"" Rose said in a statement.
"
7,/massachusetts/seekonk-swansea/swansea-payment-deadline-extensions-waivers,2020-04-16T21:13:19Z,Swansea Tax Payment Deadlines,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
SWANSEA, MA — The Board of Selectmen voted on April 7 to extend the due date for 4th quarter Real Estate and Personal Property taxes. They also voted to waive penalty and interest on the 4th quarter Real Estate and Personal Property tax and the 1st commitment of 2020 Excise tax so long as taxes are paid in full by June 30, 2020.
For more information, please see Tax Department - Extensions and Waivers.
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
8,/massachusetts/seekonk-swansea/coronavirus-swansea-annual-town-election-postponed,2020-04-08T21:47:13Z,Coronavirus; Swansea Town Election Postponed,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
ANNUAL TOWN ELECTION UPDATE: Annual Town Election has been postponed by a vote of the Board of Selectmen to a date no later than June 30, 2020. The new date will be discussed further by the Board and you will be updated.
Due to the current health crisis, the State of Massachusetts has amended the laws and are allowing EARLY VOTING for the upcoming municipal election by Mail Only. All registered voters in the Town of Swansea may request an Early Ballot to avoid voting in person at the polls on Election Day. Any person who requested an Absentee Ballot can still return that ballot without any penalty as that application was being allowed due to the COVID-19 crisis. Moving forward, the State now recommends that you use the Early Ballot application. Per State Law, the deadline to request an early ballot is noon on the day before the election, and the voted ballot MUST be received by our office before the close of the polls (8:00 pm) on Election Day. As a note, until the new date for Annual Town Election is set, voter registration is still open up until 10 days prior to the new date. The new deadline for registration will be posted once a new Election date is set.
To obtain an Early Ballot application:1. You can contact the office at 508-678-9389 ext. 2 to request an application be mailed to you.2. You can open the attachment below, print out the application, complete it and (a) mail it to the Swansea Town Clerk, 81 Main Street, Swansea, MA 02777 or (b) fax it to 508-324-6700 or (c) scan and email it to dpelland@town.swansea.ma.us3. If you prefer, you can provide a handwritten note that includes (a) your name and Swansea address, (b) the address to which you want your ballot mailed to, (c) remember, YOU MUST SIGN YOUR REQUEST.
In anticipation of a large response to Early Voting applications, please submit your requests as soon as possible, allowing our office time to process them in a timely fashion.
Sample - Official Annual Town Election Ballot
2020 Municipal Election Early Ballot Application
Absentee Ballot Application
Mail-In Voter Registration Form
article
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
9,/massachusetts/seekonk-swansea/swansea-sewer-commission-vacancies,2020-03-29T16:32:24Z,Swansea Sewer Commission Vacancies,0,0,Press Release Desk,News Partner,"Press release from the Town of Swansea:
The Board of Selectmen are looking for residents interested in serving on the Swansea Sewer Commission for three vacant positions.
Interested parties should send a letter of interest and resume to contact@town.swansea.ma.us, or mail to:
Board of Selectmen
81 Main Street
Swansea, MA 02777
This press release was produced by the Town of Swansea . The views expressed here are the author's own."
