,url,Date,Title,Thank,Reply,author,title,context
0,/washington/shoreline/stay-home-stay-healthy-order-extended-until-may-4-shoreline-city,2020-04-10T21:19:30Z,"Stay Home, Stay Healthy Order Extended Until May 4",0,0,Press Release Desk,News Partner,"Press release from the City of Shoreline:
April 9, 2020
The Governor's Stay Home, Stay Healthy order remains in effect through May 4. Abiding by the Stay Home order is critical to stopping the spread of the COVID-19 virus. Our frontline medical workers, vulnerable residents, and displaced workers need you to stay home. Nice weather makes it tempting to go somewhere or do something, but now is not the time. The statewide ""Stay Home, Stay Healthy"" order requires us to stick very close to home - your yard and your neighborhood. Help slow the spread of COVID-19 and save lives.
All Shoreline residents need to follow the Governor's order and stay home, unless you are:
We urge everyone, even people who are young and healthy, to stay home to slow the spread of COVID-19. If you must go out, stay at least six feet apart from others. This includes in our parks and at the beach. Staying home and avoiding all non-essential contact with others is the best way to stay healthy, keep others healthy, and prevent the new coronavirus from suddenly spreading rapidly and overwhelming our healthcare system.
The virus that causes COVID-19 is highly contagious, and each face-to-face interaction is an opportunity for it to spread.
This press release was produced by the City of Shoreline. The views expressed here are the author's own."
1,/washington/shoreline/shoreline-city-releases-its-first-sustainability-report,2020-04-09T12:25:08Z,City Releases Its First Sustainability Report,0,0,Press Release Desk,News Partner,"Press release from the City of Shoreline:
April 8, 2020
In celebration of the 50th Anniversary of Earth Day, the City of Shoreline recently released its first Sustainability Report. The City has a long-standing commitment to environmental sustainability and took several steps in 2019 to reduce our environmental footprint and provide beneficial programs and resources for the community. Programs related to waste reduction, green building, pollution prevention, and natural habitat have helped establish Shoreline as a regional leader in sustainability and climate action.
The report provides an overview of the City's 2019 achievements for five core focus areas, and associated indicators, as outlined in our Sustainable Shoreline program. The focus areas include:
You can view the report on the Sustainable Shoreline webpage at shorelinewa.gov/sustainability.
This press release was produced by the City of Shoreline. The views expressed here are the author's own."
2,/washington/shoreline/shoreline-city-manager-issues-emergency-orders-response-coronavirus-crisis,2020-04-02T15:36:43Z,Shoreline City Manager Issues Emergency Orders,0,0,Press Release Desk,News Partner,"Press release from the City of Shoreline:
March 31, 2020
On March 23, Shoreline City Council passed Resolution 456 authorizing the City Manager to issue temporary emergency waivers or suspensions of regulatory obligations in the Shoreline Municipal Code during the declared state of emergency if necessary to preserve and maintain public life, health, and safety in response to COVID-19. Below are temporary emergency orders recently executed by the City Manager:
The City Manager has approved a temporary waiver of certain provisions of the City's tax code to ease the financial impact on businesses. The Business & Occupation Tax and Gambling Tax filing and payment deadlines for the first and second quarters of 2020 have been moved to October 31, 2020.
Temporary Emergency Order - Waiver/Suspension of B &O Tax and Gambling Tax Reporting and Payment Deadlines
This waiver of the municipal code allows for cancellation of recreation facility rentals without a monetary loss serves to assist in preventing the spread of COVID-19 in the City.
Temporary Emergency Order - Waiver/Suspension of Recreation Program Refund Request Deadlines
This order suspends the policy requiring a five business day response time for records requests as well as the policies providing for in-person submittal of requests and in-person inspection of requests.
Temporary Emergency Order - Suspension of Public Records Disclosure Requirements
This order allows retail establishments to provide plastic carryout bags through May 31, 2020.
Temporary Emergency Order - Suspension of Prohibition on Plastic Retail Carryout Bags
This press release was produced by the City of Shoreline. The views expressed here are the author's own."
3,/washington/shoreline/shoreline-council-candidate-resigns-church-seen-anti-gay,2019-09-12T22:28:18Z,CRISTA Controversy In Shoreline Council Race,0,1,Neal McNamara ,Patch Staff,"SHORELINE, WA — A City Council candidate quit his job at Shoreline-based CRISTA Ministries this week after reports that the Christian organization asked staff to disavow same-sex relationships.
David Chen is a first-time candidate running to unseat longtime Councilwoman Doris McConnell. Chen said in a statement Thursday that he quit his job as CRISTA's general counsel in protest.
""Every person—regardless of sexual orientation, gender identity, race, and religion—deserves equal rights and to be treated with dignity and respect. The letter sent by my former employer in July detailing their anti-LGBTQ+ beliefs made working for them untenable. The positions reflected in CRISTA's letter are wrong. This kind of discrimination by an organization that is supposed to support and educate students is completely unacceptable,"" Chen's statement read.
On Monday, the Seattle Times reported that several teachers quit King's High School after leaders told staff that CRISTA's officials stance is that marriage should only be between one man and one woman.
CRISTA is a global Christian powerhouse, operating schools, media outlets, and senior living facilities. The ministry operates several schools in the area, including the King's Schools campus in Shoreline. This year, CRISTA opened the Seattle Urban Academy along Renton Avenue in South Seattle.
Chen emerged from the August primary in the top spot, earning just under 50 percent of the 13,200 votes cast in the Position 4 race. McConnell earned about 32.5 percent of the vote, but has said that she barely had time to campaign due to a family issue."
4,/washington/shoreline/shoreline-may-lose-dog-park-over-lease-renewal,2019-09-06T21:20:26Z,Shoreline May Lose Dog Park,0,1,Neal McNamara ,Patch Staff,"SHORELINE, WA — State officials have informed the city of Shoreline that they will not renew a lease on the Eastside Off-Leash Area, which could leave the city with only one year-round dog park.
The Eastside dog park is located at the state Department of Social and Health Services-owned Fircrest campus. The city's lease with the state expires on Dec. 31. City officials say they will try to work with DSHS on a compromise.
""The city has leased the Eastside Off-Leash Dog Park from DSHS for the past six years. As the landlord, DSHS has the authority to make these changes. However, we will continue to work collaboratively with them to see if we can help resolve their concerns around safety and access in order to keep this valuable amenity accessible to our community,"" city officials said in a statement on Friday.
The Fircrest campus is home to about 200 developmentally disabled adults, and has occupied the property since 1959. The dog park is located on the south end of the campus west of South Woods Park. DSHS over the Labor Day weekend began closing the gates at the entrance to the park at 6 p.m. each night, reopening them at 6 a.m. each morning.
The city's other dog park is at Shoreview Park. There is an off-leash area at Richmond Beach Park that's open between November and March each year."
5,/washington/shoreline/shoreline-city-council-approve-gender-neutral-language,2019-09-04T15:22:38Z,Gender-Neutral Shoreline Council Meetings,0,0,Neal McNamara ,Patch Staff,"SHORELINE, WA — The Shoreline City Council is headed toward approving a change to its rules that would remove gender pronouns from meeting language.
Councilman Chris Roberts proposed the idea in early August to help non-binary people feel more included in city business.
""Throughout the Council Rules there are gender references (he/she, him/her) for the Mayor and Councilmembers. The amendment will replace these references with gender-neutral language to be inclusive of people who are gender non-binary,"" a Shoreline city staff report described the change.
Roberts said he got the idea after serving on the state Democratic party rules committee. In 2016, the party noticed that presidential delegates were required to be either men or women, which caused non-binary Democrats to ask for change.
""Two years working with that opened my eyes to whenever I see he or him, or he and her, in government documents,"" Roberts said.
He raised the issue at the Aug. 12 Council dinner meeting, and the rest of Council agreed that the change should be made, he said.
Shoreline isn't the first government in Washington to make the bureaucracy more gender-neutral.
In 2016, King County voters approved a measure that would remove gendered language from the King County Charter and the King County Code. The Council passed ordinances in 2018 to complete that work.
""The ordinance replaces gendered pronouns such as he, him, she, or her with the title of the subject in impacted sentences. For example 'he' could be converted to the position's title such as 'director.' The ordinance will also take the gendered pronoun out of terms such as 'workmanship' which could be converted to 'quality of work,"" a March 2018 county press release described.
But way back in 2013, Washington lawmakers completed a six-year edit of state law to remove references to gender. Words like ""freshman"" became ""first-year student,"" for example.
Washington now also has an option for people to select ""X"" as a gender on drivers licenses, indicating someone who doesn't identify as either a man or woman.
The Shoreline Council will vote to make the change on Sept. 9 along with a few other changes to Council rules, including banning the promotion of political candidates during public comment, and loosening rules around when Councilmembers' surnames have to be used."
6,/washington/shoreline/who-shoreline-lfp-residents-are-supporting-president-2020,2019-08-21T17:01:53Z,The Presidential Candidates Puget Sound Likes,0,0,Neal McNamara ,Patch Staff,"SHORELINE, WA — In honor of Gov. Jay Inslee hitting his goal of 130,000 donors Gov. Jay Inslee leaving the presidential race and Democratic Sen. Elizabeth Warren's upcoming Seattle town hall on Sunday, we wanted to take a look at which 2020 candidates Puget Sound residents are backing with campaign donations.
For this analysis, we used Federal Elections Commission campaign finance data from Jan. 1 to June 30. We only looked at the 18 cities covered by Patch in Puget Sound. Not only did we look at how much money each candidate raked in, we also looked at how many donations they got — and how many of those were from one-time donors.
In general, Puget Sound — except for Inslee — is tracking with national polls in support for candidates. That means people like Bernie Sanders, Warren, and even Donald Trump are pretty popular. There were pockets of support for long-shot candidates like Marianne Williamson and Rep. Tim Ryan.
Here are some quick takeaways:
Here are the top five by total amount of money raised:
Here are the top five with the highest percentage of unique donors
But none of those candidates — including Weld, who's running against Trump — really have a shot of winning the nomination. Bullock, the governor of Montana, has raised the most out of the bunch at only $33,000. So here are the top five front-runner Democrats with the highest number of individual donations. We're using the most recent CNN poll for candidates with 5 percent support or better.
And finally, here are those five candidates arranged by most donations including repeat donors.
Here's a look at the top five 2020 candidates residents inside Shoreline only donated to:
And Lake Forest Park only:"
7,/washington/shoreline/shoreline-woodinville-northshore-fire-depts-explore-merger,2019-08-16T00:02:05Z,"Fire District Merger In Woodinville, Shoreline?",0,0,Neal McNamara ,Patch Staff,"SHORELINE, WA — The Shoreline, Woodinville, and Northshore fire departments are studying whether to merge into a single firefighting agency that would cover over 100,000 people living in North King County.
The talks are in early stages, but the commissioners for each department have already met twice this summer. Ahead of planned meetings in August and September, the three districts are crunching numbers to see if combining operations would save money, Shoreline Fire Chief Matt Cowan and Woodinville fire officials say. The districts are also working on a draft organizational chart.
""We want to take the best things we're doing and incorporate that into the new organization,"" Cowan said.
The three departments already often assist each other on calls. And all three, plus the city of Bothell department, are on the verge of combining training operations. That could be complete by early 2020, Cowan said.
""I can't imagine the timing being better. We all have great support from the community, we're all financially viable,"" Cowan said. ""One of the biggest overreaching factors as well is we all have retirements occurring.""
A wave of attrition through retirements, Cowan said, could help make consolidation easier. The new department would only need one fire chief, for example.
There are several options for a merger. The departments could form a regional fire authority (RFA), creating a new municipal corporation with the ability to levy taxes. There are three RFAs in King County: Renton, which covers the entire city east to an unincorporated area near Issaquah; Puget Sound, which serves Covington, Kent, and SeaTac; and Valley Regional, covering Auburn, Pacific, and Algona.
If the three departments form an RFA, citizens in each area may still have elected fire commissioners. The Renton Regional Fire Authority, for example, includes the city of Renton and King County Fire District 25, which serves an unincorporated area east of Renton with about 10,000 residents. King County Fire District 25 maintains its own independent three-member board of commissioners, but those three commissioners also sit on the larger Renton Regional Fire Authority board.
Another option would be for the cities involved — including the Northshore cities of Kenmore and Lake Forest Park — to consolidate fire services into one new agency run through an interlocal agreement. An example of that model is Eastside Fire and Rescue, which provides protection for Sammamish, Issaquah, North Bend, and other communities along I-90.
This isn't the fire push for consolidation in North King County. In 2015, Woodinville, Northshore, and the city of Bothell explored forming and RFA, but decided not to move forward."
8,/washington/shoreline/interview-roger-millar-wsdot-secretary-transportation,2019-08-01T01:19:01Z,"Interview With Roger Millar, WSDOT Secretary Of...",0,0,Bernie Wagenblast,Community Contributor,This post was contributed by a community member. The views expressed here are the author's own.
9,/washington/shoreline/103m-shoreline-aquatics-center-measure-going-voters,2019-07-30T18:39:14Z,Shoreline Aquatics Center On Ballot,0,0,Neal McNamara ,Patch Staff,"SHORELINE, WA — Shoreline residents will be asked to approve a $103 million bond measure this November to build a new combination aquatics and recreation center. The measure approved by City Council Monday night is slightly larger than the $88 million plan that has been bounced around for months.
If approved, most of the money would be spent on a new 75,000 square-foot aquatics facility — the city is calling it the ""ShARCC"" or Shoreline Aquatics, Recreation, and Community Center — with rooms for community events, a walking and jogging track, an 8-lane lap pool with room for 500 spectators, and an activity pool that will feature a ""lazy river.""
The facility would replace the Shoreline Pool and the Spartan Recreation Center, which are both more than 40 years old.
City officials estimate the bond measure will cost about $20 extra per month for homes valued around $500,000.
The rest of the money will be used to make upgrades at city parks, like adding new play equipment and building splash pads. Brugger's Bog, Hillwood, Richmond Highlands, and Hamlin Park are part of the upgrade plan.
Read past Patch coverage of the Shoreline aquatics center plan:

"
