,url,Date,Title,Thank,Reply,author,title,context
0,/illinois/shorewood-il/gop-women-reps-call-governor-convene-legislature,2020-05-01T06:57:29Z,GOP Women Reps Call on Governor to Convene...,0,0,Lori Solyom,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
April 28, 2020
Dear Governor Pritzker,
During this unprecedented challenge to our state, you stressed multiple times your willingness and eagerness to work with legislators from both sides of the aisle and from every part of the state. As the women of the House Republican Caucus, we stand ready to offer solutions and work with you to implement a safe and reasonable regional plan to open Illinois. We are business owners, scientists, mayors, lawyers, community organizers, volunteers, officers, mothers, sisters, grandmothers, caregivers, and legislators. We represent 880,000 Illinoisans across all regions of the state—from the Chicago suburbs to regions in northern, western, eastern, southern, and central Illinois.
Our family members and constituents are fighting on the front lines as healthcare workers. We know and love people who are diagnosed with and suffering from COVID-19. We know, love, and represent people who lost their jobs, closed their small businesses, and exhausted their savings. For us, this is not political. This is personal.
We asked many questions concerning IDPH modeling, PPE procurement process and inventory, IDOC policies for transfers and releases, issues at IDES, safeguarding Long Term Care Facilities, and protecting state facilities for veterans and the developmentally disabled. We made many suggestions to promote physical and mental wellbeing, including opening state parks, locking down our prisons, housing our homeless, and protecting our most vulnerable populations. You did respond to our request for IDNR to open our state parks, thank you.
Unfortunately, a majority of our questions and suggestions are not acknowledged. We reached out to you, but you have not contacted one Republican woman legislator to discuss our concerns, suggestions, or solutions. We are writing to tell you as a matter of record the House Republican Women are here for Illinois. We are ready to offer suggestions, strategies, and solutions; and we are calling for the legislature to reconvene. We want to do our job as essential employees for our state and want to work with you to safely and regionally reopen our state.
SAFELY
● As elected officials, we have a responsibility to all Illinois citizens. Our number one priority as wereopen Illinois is to protect those who are vulnerable to this virus and ensure they have the appropriate support and necessary resources.
REASONABLY
● Illinois needs a reasoned and common-sense plan to reopen our state region by region understanding the virus affects each region differently. Some of these common sense steps include:
RESPONSIBLY
● Our constituents deserve a responsible government—a government where there are effective checks and balances and a government where all voices are heard. A responsible government means calling the legislature back to session.
REGIONALLY
● One size does not fit all. We must safely open our state on a regional basis. Other states including New York, Michigan, Pennsylvania, and Iowa proposed measured, regional reopening strategies.
We, the women of the House Republican Caucus, ask you to work with us. We are prepared to work on a serious plan to reopen Illinois safely, reasonably, responsibly, and regionally. We request you meet with us collectively as a group to share our ideas and offer solutions. We must continue to protect our vulnerable populations and safeguard our healthcare delivery systems, while we must also save our economy and our families. We are prepared to assist in developing and implementing a plan to safely get Illinois back to business reasonably, regionally, and responsibly.
Finally, as members of a co-equal branch of government, we request you call a special legislative session to start work on reopening Illinois safely and regionally.
We are ready and await a meeting with you.
Sincerely,
Rep. Avery Bourne
Rep. Terri Bryant
Rep. Amy L. Grant
Rep. Norine K. Hammond
Rep. Deanne M Mazzochi
Rep. Tony M. McCombie"
1,/illinois/shorewood-il/bertino-bill-taxpayers-would-fund-2-years-college-il-residents,2020-01-16T16:49:53Z,Illinois Lawmakers Propose Taxpayers Pay,0,18,The Center Square Illinois,News Partner,"From The Center Square
By Cole Lauterbach
Another measure has been filed to create a taxpayer-funded program to ensure Illinois residents have their first two years of college tuition paid for.
State Sen. Jennifer Bertino-Tarrant, D-Shorewood, filed Senate Bill 2324 on Jan. 8. It mirrors legislation filed in 2019 by Chicago Democratic state Rep. Will Guzzardi. The new bill would ensure residents ""seeking an associate degree, certificate, or diploma from an institution of higher learning"" a taxpayer-funded state grant that would pay for tuition and fees, minus any other aid awarded, starting in 2021.
The bill said the cost could exceed that of a local community college's tuition and fees.
The measure is part of a national push for states to offer grants for the first two years of higher education, called College Promise.
Campaign Executive Director Martha Kanter said more than 300 local communities and 25 states have committed to providing some sort of grants to students in their first couple of years of higher education.
""Most of them are seeking to make the first one or two years of college universally available,"" she said Wednesday.
The program would be implemented through the Illinois Student Assistance Commission, which could set parameters on who is eligible.
Washington state's ""Washington College Promise"" has a household income limit of $61,000 for partial tuition and $44,000 for full tuition grants. Other states have grade and class load requirements. New York's Excelsior program cuts off eligibility for families who make more than $125,000 a year.
The money would come from potential donors and Illinois' annual state budget, which economists have deemed shaky at best and one of only a couple that is unprepared to weather a moderate recession. Should an economic downturn occur, it would put pressure on the state's budget while simultaneously making the proposed program more costly since job retraining at community colleges typically spikes during recessions. Kanter said the organization is diligent, watching for states that may break their promise to pay for school.
Statewide programs can be expensive. In California, lawmakers added $42.6 million to the state's current budget to support the second year of free tuition for about 33,000 students, according to EdSource. Washington state estimates it will support more than 90,000 students in 2021.
Kanter said the programs often expand as demand increases for free schooling.
The University of Illinois already has a tuition guarantee program called the Illinois Commitment that provides four-year students who reside in Illinois and come from a family with less than $61,000 in household income a grant paying for tuition and mandatory fees.
The focus of the work of The Center Square Illinois is state- and local-level government and economic reporting that approaches stories with a taxpayer sensibility. For more stories from The Center Square, visit TheCenterSquare.com."
2,/illinois/shorewood-il/shorewood-discuss-marijuana-shops-tuesdays-forum,2019-11-12T03:41:04Z,Shorewood To Discuss Marijuana Shops On Tuesday,1,3,John Ferak,Patch Staff,"SHOREWOOD, IL — The Shorewood Village Board will hold a special meeting at 6 p.m. Tuesday to discuss whether the village's elected officials want to allow merchants interested in the sale of recreational marijuana and other marijuana-related businesses into the community.
Tuesday's public meeting will include a public forum for audience members who are for or against the proposal to address the village board for up to three minutes each.
Shorewood's Village Hall is located at One Towne Center Boulevard. It's on the far west edge of the community off U.S. 52."
3,/illinois/shorewood-il/alden-courts-hit-negligence-lawsuit-over-2018-death,2019-10-17T03:47:50Z,Alden Faces Negligence Lawsuit For 2018 Death,0,0,John Ferak,Patch Staff,"SHOREWOOD, IL — A recently filed negligence lawsuit at the Will County Courthouse accuses Alden Courts of Shorewood of deviating from its standard of care surrounding the Jan. 18, 2018 death of Joliet resident Betty Stukel, who was 90.
""Betty Stukel was denied the opportunity for proper assessment and standard medical care at Alden Courts of Shorewood and as a direct result she suffered rental failure, dehydration"" and a urinary tract infection, argues the lawsuit filed by Michael Stukel, administrator of her estate.
The plaintiff retained the Chicago law firm of Kralovec, Jambois & Schwartz. The defendants consist of: Dial Willow Falls, Dial Senior Management Inc., Alden Courts of Shorewood, Alden Management Services and Alden Estates of Shorewood.
According to her obituary published by Fred C. Dames Funeral Home, Betty Stukel had retired from the dental office of Dr. Nicholas Grabavoy after 15 years of service. She previously worked for the Joliet Area YMCA and Joliet School District 86.
""A devout Catholic, Betty was a member of St. Mary Magdalene Catholic Church and an avid bingo player. Betty was blessed and blessed others with a remarkable 90 years of giving and sharing her joy and love,"" her obituary reads.
So far, the defendants have not filed any legal briefs in response to the lawsuit.
Patch left a message seeking comment on Tuesday with Alden management representatives in Chicago, but no one called back.
On Sept. 26, a board-certified physician licensed to practice medicine submitted his medical opinion regarding last year's death of Betty Stukel as part of the plaintiff's suit.
As is customary in such lawsuits, the physician's name is redacted from the court records.
""Betty Stukel was a 91-year-old woman with a medical history including arthritis, bilateral knee replacement, falls with complications including brain bleed and dementia. She was not decisional,"" the medical expert opined, in a letter provided to the plaintiff's Chicago law firm.
Betty Stukel fractured her left hip on Oct. 4, 2017, causing her to remain hospitalized at Presence St. Joseph Medical Center for 17 days, according to the plaintiff.
Afterward, she was admitted to Alden Estates of Shorewood for skilled therapy, where she developed skin impairments in November 2017, according to the lawsuit.
By Nov. 30, 2017, Betty Stukel was moved to the memory care unit at Alden Courts in Shorewood. ""She was assessed as at risk for dehydration due to her dementia because she would forget to drink and how to drink, although her initial care planning did not address this risk,"" the plaintiff's physician expert wrote in a letter accompanying the lawsuit.
(Article continues below this photo.)
During her first three weeks at Alden Courts in Shorewood, Betty Stukel lost 12 pounds and ""she continued to lose weight over the following weeks and months, yet the physician was not notified. She also suffered four falls,"" the plaintiff's contend.
By Jan. 6, 2018, Betty Stukel was transferred back to St. Joe's hospital because she was dehydrated. After three days in the Joliet hospital, she was discharged to home hospice. She died on Jan. 18, 2018, the lawsuit notes.
""The Alden Courts of Shorewood staff failed to promptly notify the physician about her poor intake and general declining condition,"" the plaintiff's medical expert stated. ""They also failed to recommend a patient care conference with the family to discuss treatment options and end of life wishes.
""Betty Stukel was denied the opportunity for proper assessment and standard medical care at Alden Courts of Shorewood ... These deviations and injuries at Alden Courts of Shorewood caused significant pain and distress, led to hospital care and ongoing care needs, caused Betty Stukel's overall decline and deconditioning and contributed to her death,"" the plaintiff's physician expert stated.
Willows Falls Retirement Community was also named in the lawsuit because that's where Betty Stukel resided prior to her steep decline in health in 2017.
The lawsuit states that Willow Falls failed to protect the resident from abuse and or neglect.
According to court records, Betty Stukel resided at Willow Falls Retirement Community from Dec. 18, 2015 until Oct. 4, 2017, she then stayed at Alden Estates of Shorewood from Oct. 20, 2017 through Nov. 30, 2017 and Alden Courts of Shorewood from Nov. 30, 2017 until Jan. 12, 2018."
4,/illinois/shorewood-il/where-shorewood-criminal-defendant-louis-goode,2019-10-15T16:45:06Z,Louis Goode: Where Is Shorewood's Defendant?,0,29,John Ferak,Patch Staff,"JOLIET, IL — Seven weeks have passed since Louis Goode was at the Will County Courthouse with his private criminal defense attorney, George Lenard, and then Goode seemed to vanish. The son of recently retired Will County Circuit Judge Carla Alessio-Policandriotes learned at his Aug. 23 court hearing that he needed to report for random drug testing that day. Instead, Goode left the courthouse, court records show.
A bench warrant was immediately issued for his arrest. But two months later, the Will County Sheriff's Office has yet to take Goode into custody. Court records indicate that Goode currently resides in the 900 block of Shorewood's Valencia Drive.
According to court records, the following events happened at the courthouse on Aug. 23:
Because Goode is accused of violating the conditions of his bond, a judge has ordered the defendant will remain incarcerated without bail, pending the disposition of his October 2018 criminal case.
Goode, formerly of Channahon, is charged with four counts of domestic battery against his now-ex-wife.
Joliet Patch previously reported that Goode, now 34, had punched his wife in her mouth back on Oct. 12, 2018 and then he yanked her out of a Hummer Jeep, left her on a road near Coal City area and then drove off, according to court documents.
Goode's ex-wife obtained a protection order against Goode, writing the judge: ""I believe he could kill me. I don't know what he is capable of and am fearful of what he might do next if he is released from jail.""
Goode remained in Will County's Jail between Dec. 6, 2018 and Feb. 19, 2019, at which time Will County Judge Edward Burmila agreed to modify the conditions of Goode's bail, Patch reported at the time.
Then, in July, a judge ordered that Goode's ""bond is modified and he shall be required to continue to participate in any treatment that was recommended by family guidance and comply with the terms of their program. This includes maintain (sic) contact with any assigned counselors, attend groups as directed and drug test as ordered."""
5,/illinois/shorewood-il/bertino-tarrant-passes-law-mandate-government-transparency,2018-07-31T22:25:08Z,Bertino-Tarrant passes law to mandate...,0,0,rtandon,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
PLAINFIELD — A new law co-sponsored by State Senator Jennifer Bertino-Tarrant (D-Shorewood) will put an end to misleading accounting practices in the governor's office.
House Bill 5121, which was signed into law Tuesday, ends the practice of ""offshoring"" the governor's payroll costs within state agencies – a practice that depletes funds for vital state programs.
""Taxpayers deserve to know how state dollars are being spent,"" Bertino-Tarrant said, ""This new commonsense law promotes transparency and responsible accounting to ensure state dollars are spent wisely and responsibly.""
This measure was passed in response to reports that nearly 60 percent of employees currently working for the governor's office are paid by state agencies with funds intended for priorities such as economic development, public safety and child protection.
Offshoring has been utilized by governors of both parties for years to make it appear their office budgets are smaller than they actually are.
Examples of offshoring include paying the governor's education advisor $250,000 from the Department of Human Services budget or a deputy chief of staff $140,000 from the Illinois State Police budget.
The most recent payroll data shows only 44 of 102 employees in Gov. Bruce Rauner's office are paid from the governor's budget. The rest – 58 staffers – are hidden in other agencies' payrolls.
If the governor's entire staff was accurately reported, his office budget would come in at more than $10 million, instead of the $4.9 million budgeted for the current fiscal year."
6,/illinois/shorewood-il/sen-bertino-tarrant-continues-fight-opioid-epidemic,2018-05-11T20:51:21Z,Sen. Bertino-Tarrant continues to fight the...,0,0,rtandon,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
SPRINGFIELD – The General Assembly may soon have a better idea on how to combat the opioid epidemic sweeping the nation.
State Senator Jennifer Bertino-Tarrant (D-Shorewood) advanced a bipartisan measure this week that would require the Illinois Department of Public Health to annually report to the General Assembly on data collected concerning opioid overdose related deaths.
""The national opioid epidemic has affected all of us,"" Bertino-Tarrant said. ""A major component of combating this issue is ensuring that we have a complete picture of this crisis. This new measure will give us additional information to ensure the General Assembly has every tool available to institute meaningful legislation to overdoses related deaths and fight addiction in our communities.""
DPH would be required to report the data broken down by each county. Bertino-Tarrant believes it is important to localize the data as much as possible to work with local law enforcement, mental health providers and school districts to fight this crisis from every angle.
According to the Centers for Disease Control, about 115 people die every day in the United State of an opioid overdose — about 42,000 in 2016.
""Addiction does not see age, socioeconomic standing or race,"" Bertino-Tarrant said. ""This is a national epidemic that we must work together to fight. Every life we save is priceless.""
Under House Bill 4331, hospitals must include the age, gender, race and county of residence of each patient that a hospital diagnoses as having an opioid overdose within 48 hours of the diagnosis.
Additionally, in every case in which an opioid overdose is determined to be a contributing factor in a death, a coroner must report the death and the age, gender, race and county of residence of the decedent to DPH.
House Bill 4331 passed the Senate's Committee on Public Health with bipartisan support."
7,/illinois/shorewood-il/bertino-tarrant-continues-statewide-education-tour-staunton,2018-05-08T20:09:55Z,Bertino-Tarrant continues statewide education...,0,0,rtandon,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
STAUNTON—State Senator Jennifer Bertino-Tarrant, the new chairwoman of the Illinois Senate Education Committee, continued her statewide ""Chalk Talk"" tour of schools on Monday at Staunton Community Unit School District 6.
Bertino-Tarrant and local State Senator Andy Manar (D-Bunker Hill) met with members of the District Improvement Team to discuss the teacher shortage faced by many schools in the area.
""For far too long we have been using legislative Band-Aids as solutions to address the teacher shortage across Illinois,"" Bertino-Tarrant said. ""We need to get to the root of the problem to guarantee our children and teachers have the means to be successful.
""Visits and discussions like these help me gain a better understanding of how decisions we make in Springfield impact children and educators throughout the state,"" she added.
Bertino-Tarrant and Manar have sponsored measures that would make college more affordable for new teachers, making it easier for retired teachers to fill in as substitute teachers and streamlining the teacher licensure process.
""It's important that the chair of the Senate Education Committee visits smaller towns and schools in Illinois,"" Manar said. ""Having Senator Bertino-Tarrant here today is valuable because we live in a diverse state, and it's important that schools in the 48th Senate District are heard in Springfield.""
Manar and Bertino-Tarrant participated in a group discussion led by Staunton Superintendent Dan Cox to address the challenges facing Staunton schools, such as high class sizes, lack of social emotional supports for students and a lack of core interventions services.
""Senator Manar and Senator Bertino-Tarrant have long been champions for education,"" Cox said. ""By them taking the time to visit schools and listen to teachers in the field, it shows their commitment to working with us as partners to build great schools for our young people and our communities.""
Under the new school funding formula championed by Manar and Bertino-Tarrant last year, Staunton Community Unit School District 6 schools will receive an additional $421,337 in state funding.
""In my eighth year as superintendent of schools, this is the first time I have been able to have discussions about how to invest new resources into our schools instead of having discussions about which programs and services to cut,"" Cox said."
8,/illinois/joliet/several-joliet-area-bond-referenda-election-ballot,2018-03-20T16:46:15Z,Troy Fire Pension Referendum Easily Defeated ,0,0,John Ferak,Patch Staff,"SHOREWOOD, IL - The Troy Fire Protection District, which consists of Will and Kendall Counties, had a ballot measure asking voters whether or not they want to create a new tax for pension fund purposes. With all of the votes tallied in Will County, the measure was easily defeated, only gaining about 34 percent of the vote. There were less than 10 votes tallied in Kendall County.
The ballot question asked voters, ""Shall the Troy Fire Protection District, Will and Kendall Counties, Illinois, be authorized to levy a new tax for firefighters' pension purposes and have an additional tax of 0.073% of the equalized assessed value of the taxable property therein extended for such purposes?""
In Will County, two out of three voters were against the tax increase to fund firefighters' pensions. There were 1,382 yes votes but 2,736 no votes.
(With 100 percent of Will County precincts reporting)
Yes – 34%
No – 66%
(With all three Kendall County precincts reporting, there were only seven votes tabulated, five yes, and two no votes.)
RELATED: Illinois Primary Election 2018 Races
Image via Shorewood Patch"
9,/illinois/shorewood-il/sen-bertino-tarrant-responds-rauners-budget-address,2018-02-14T19:09:08Z,Sen. Bertino-Tarrant responds to Rauner's...,0,0,rtandon,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
SPRINGFIELD – Senator Jennifer Bertino-Tarrant (D-SHOREWOOD) released the following statement in response to Gov. Bruce Rauner's budget address:
""Gov. Bruce Rauner spent months touting himself as the education governor yet once again his budget fails to put the necessary money into our schools to ensure the bipartisan school funding formula achieves our goals of ending years of disparities and inequality in our classrooms. His budget is going to force schools to raise property taxes despite the historic reforms we passed last year."""
