,url,Date,Title,Thank,Reply,author,title,context
0,/connecticut/stafford-willington/all-connecticut-registered-voters-will-be-allowed-cast-absentee,2020-07-08T15:52:49Z,Information On Absentee Ballots ,0,0,Press Release Desk,News Partner,"From the Town of Willington:
July 7, 2020
Due to the ongoing COVID-19 pandemic, Governor Ned Lamont signed an executive order allowing all registered voters in Connecticut to vote absentee in the August 11, 2020 primary. Secretary of the State Denise Merrill mailed every registered Democrat and Republican in the state an application that they will need to fill out and return in order to obtain an absentee ballot. That application, which will be sent via U.S. Postal Service, will include a postage paid return envelope. Beginning July 21, 2020, all voters who requested an absentee ballot will receive the ballots in the mail, which will also include a postage paid return envelope.
The Town of Willington will also have a secure ballot drop box, located in the front of the building to allow voters to deliver their absentee ballots in person without close personal contact. For those who would still like to appear in person to cast their vote, our polling locations will remain open, however, the ability to vote absentee will ensure that the democratic process continues safely and securely.
This press release was produced by the Town of Willington. The views expressed are the author's own."
1,/connecticut/stafford-willington/town-hall-update-stafford-officials,2020-06-08T18:26:40Z,Town Hall Update From Stafford Officials,0,0,Press Release Desk,News Partner,"Press release from the Town of Stafford:
June 8, 2020 - 2:16pm
Attached is a Town of Stafford update for June 2020, containing Stafford-specific information from various municipal departments. We will continue to provide updates and resources as our community navigates this unprecedented time. [More Information]
This press release was produced by the Town of Stafford. The views expressed here are the author's own."
2,/connecticut/stafford-willington/see-town-staffords-fy-2020-2021-budget,2020-05-27T01:31:02Z,See The Town Of Stafford's FY 2020-2021 Budget,0,0,Press Release Desk,News Partner,"Press release from the Town of Stafford:
Please review the attached budgets. In lieu of a traditional public hearing, we ask that if you wish to forward any questions or comments to the Board of Finance before our final approval action, please email to: erink@staffordct.org by noon, Thursday, May 28, 2020. Please note: there will be no mill rate increase. Questions/comments and respective answers will be posted here for public viewing. [More Information]
This press release was produced by the Town of Stafford. The views expressed here are the author's own."
3,/connecticut/stafford-willington/willington-town-budget-hearing-set-may-28,2020-05-26T21:57:28Z,Willington Town Budget Hearing Set For May 28,0,0,Press Release Desk,News Partner,"From the Town of Willington:
May 26, 2020
Documents for the Budget Hearing are attached as PDF files. These documents can also be found on the Board of Finance page on the left hand side.
If you plan to attend this hearing, you may want to review these documents ahead of time.
A Zoom link will be made available within the Board of Finance Agenda for this Hearing.
This press release was produced by the Town of Willington. The views expressed are the author's own."
4,/connecticut/stafford-willington/applications-temporary-outdoor-dining-or-merchandise-display,2020-05-19T23:00:21Z,Temporary Outdoor Applications For Businesses ,0,0,Press Release Desk,News Partner,"From the Town of Willington:
May 19, 2020
Today we're launching an online resource for Willington businesses that focuses on restaurants seeking to expand or create temporary outdoor dining areas or retailers seeking outdoor merchandise display. Business owners may use this website to apply for town approval: http://ow.ly/9zd350zKxqI
If you have questions, contact the land use office at 860-487-3123
This press release was produced by the Town of Willington. The views expressed are the author's own."
5,/connecticut/stafford-willington/letter-willington-selectwomen-committed-new-chapter,2019-11-08T21:16:40Z,Willington Selectwomen Committed to New Chapter,0,0,Tim Jensen,Patch Staff,"Thank you to the voters of Willington for re-electing us as your First Selectwoman and Selectwoman. We are humbled by your support and the energy our townspeople put into the elections. It was a lively campaign, and we are committed to the work ahead of us.
We vow to weigh wisely the issues of our aging schools and the best education we can offer our children, to address the crumbling infrastructure in some of our homes and roadways, to push for creative economic development that meshes with our small-town charm, and to be watchful of our tax rate – one of the lowest in the region – as we do all of the above.
But we need your help. We encourage you to take part in town events, share your best thinking with us, and engage our town boards at meetings. The next opportunity for the public is our Nov. 13 town meeting, Wednesday at 7 p.m. in the Old Town Hall on the Green. Several meaty issues are on tap for a yea or nay vote.
We hope to see you there, offering your questions and comments.
We are proud to be leaders in Willington and are serious about our commitment to the town and every one of you.
Erika G. Wiecenski, First Selectwoman
Liza Boritz, Selectwoman
Willington
Patch welcomes letters to the editor on any topic, and reserves the right to edit letters for brevity or clarity. Email letters, including the writer's name, address and phone, to tim.jensen@patch.com."
6,/connecticut/stafford-willington/complete-stafford-willington-election-results-all-offices,2019-11-06T18:47:42Z,"Staford, Willington Election Results: All Offices",0,0,Tim Jensen,Patch Staff,"STAFFORD-WILLINGTON, CT — In addition to the election of first selectman, Board of Selectmen and Board of Education members, there were several other races included on Tuesday's election ballots in Stafford and Willington. Here are those results, courtesy of the Secretary of the State's office.
STAFFORD

WILLINGTON
"
7,/connecticut/stafford-willington/stafford-local-election-results-2019-polls-close,2019-11-06T01:00:00Z,Stafford Election Results 2019: 1st Selectman Wins,0,0,Tim Jensen,Patch Staff,"STAFFORD, CT — The votes have been counted in Stafford, and Republican incumbent First Selectman Mary Mitta has retained her seat by a comfortable margin over Open Party challenger Dock Sellers. Mitta collected 1,652 votes to 1,044 for Sellers, with write-in candidate Harold Blake Hatch receiving 35.
Two Board of Selectmen members, Republican John Locke Sr. and Democrat Richard Hartenstein Jr., were also on the ballot for re-election. Their unofficial vote totals from the office of the Secretary of the State were:
Candidates for spots on the Board of Education included three incumbents: Republican chair Sonya Shegogue, Republican Mike Delano and Democrat Jennifer Julian Davis. Challenging for a seat was Democrat Laura Lybarger. Their totals were:"
8,/connecticut/stafford-willington/willington-2019-elections-candidates-polling-places-hours,2019-11-02T21:00:00Z,Willington 2019 Local Election Information,0,0,Tim Jensen,Patch Staff,"WILLINGTON, CT — Voters began heading to the polls at 6 a.m. Tuesday, Nov. 5 to vote in Willington's municipal election. Positions of first selectman, Board of Selectmen, Board of Education, treasurer, Board of Finance, Planning & Zoning Commission, Board of Assessment Appeals, library board of directors and Regional Board of Education are all up for grabs.
Polls are open from 6 a.m. to 8 p.m. Voters who are in line before 8 p.m. will be able to vote even after the deadline passes.
First Selectman
Incumbent First Selectman Erika Wiecenski, a Democrat, is being challenged by Republican Peter Tanaka.
Board of Selectmen
Democratic Board of Selectmen member Liza Boritz and Republican John Blessington are also on the ballot to retain their seats.
Board of Education
Candidates for spots on the Board of Education include three incumbents: Democratic chair Michelle Cunningham, Democrat Chiara Bambara and Republican Herb Arico. Challengers seeking election are Democrat Meghan Szabo and Republicans Donna Cook, Brenda Abrams and Liz Perry.
A sample ballot is shown below.
The polling place in Willington is the Common Room on the upper level at the Willington Town Office Building, 40 Old Farms Road.
Connecticut offers Election Day registration, but those who arrive need to be registered by 8 p.m. in order to vote. Unlike previously registered voters, standing in line before 8 p.m. to register won't guarantee the ability to vote."
9,/connecticut/stafford-willington/stafford-2019-elections-candidates-polling-places-hours,2019-11-02T02:40:27Z,Stafford 2019 Local Election Information,0,1,Tim Jensen,Patch Staff,"STAFFORD, CT — Voters began heading to the polls at 6 a.m. Tuesday, Nov. 5 to vote in Stafford's municipal election. Positions of first selectman, Board of Selectmen, Board of Education, Board of Finance, Planning & Zoning Commission, Zoning Board of Appeals, town clerk, town treasurer, tax collector, Board of Assessment Appeals and constables are all up for grabs.
Polls are open from 6 a.m. to 8 p.m. Voters who are in line before 8 p.m. will be able to vote even after the deadline passes.
First Selectman
Incumbent First Selectman Mary Mitta, a Republican, is being challenged by Open Party candidate Dock Sellers.
Board of Selectmen
Two Board of Selectmen members, Republican John Locke Sr. and Democrat Richard Hartenstein Jr., are also on the ballot for re-election.
Board of Education
Candidates for spots on the Board of Education include three incumbents: Republican chair Sonya Shegogue, Republican Mike Delano and Democrat Jennifer Julian Davis. Challenging for a seat is Democrat Laura Lybarger.
A sample ballot is shown below.
Polling places in Stafford are:
Connecticut offers Election Day registration, but those who arrive need to be registered by 8 p.m. in order to vote. Unlike previously registered voters, standing in line before 8 p.m. to register won't guarantee the ability to vote."
