,url,Date,Title,Thank,Reply,author,title,context
0,/california/temecula/temecula-cancels-july-4-fireworks-show,2020-05-28T02:57:18Z,Temecula Cancels July 4 Fireworks Show,1,30,Toni McAllister,Patch Staff,"TEMECULA, CA — Although Temecula City Council said earlier this month that a July 4 fireworks show must go on amid coronavirus, the city announced Wednesday that the holiday display at Ronald Reagan Sports Park has been canceled.
Concerns over mass gatherings prompted Wednesday's announcement. In a May 27 letter to Temecula City Manager Aaron Adams, City Attorney Peter Thorson wrote, ""As of this date, the Governor's Executive Orders and the State Health Officer's orders would prohibit a July 4th fireworks show at Ronald Reagan Sports Park that involves the gathering of people in or near the park and surrounding streets.""
In a 3-2 vote on May 6, Temecula City Council chose to move forward with a July 4 fireworks show amid coronavirus challenges — provided the county and/or state did not ban the display. Council members Matt Rahn and Zak Schwank cast the dissenting votes. Read more: Temecula's July 4 Fireworks Show Will Go On, Despite Coronavirus
Since the council vote, Gov. Gavin Newsom has not lifted the state's stay-home order although he has eased many of its restrictions. The California Department of Public Health has issued guidance on gatherings, and has stated that all should be postponed or canceled, according to Thorson's letter.
Citing an inquiry to the CDPH by the city of Norco regarding an outdoor church service proposed to take place on 130 acres with an attendance of 8,000 people, Thorson provided the state's response to Norco: ""Mass gatherings are not permitted under the Stay-at-Home order.""
""The July 4th fireworks show, in which people are allowed to gather in-person at Ronald Reagan Sports Park, its parking lot or the surrounding streets, would be a 'mass gathering' and would not be permitted by the Governor's Executive Orders, the State Public Health Officer's Orders or the interpretations of these Orders by the California Department of Public Health,"" Thorson wrote.
Garden State Fireworks, the city's fireworks vendor, is working with the city and will apply the deposit for the July 4 display to a future show, date to be determined, according to the city.
On Tuesday, Lake Elsinore City Council voted 5-0 to go ahead with its July 4 fireworks display over the lake. Read more: Lake Elsinore To Hold July 4 Fireworks Show"
1,/california/temecula/temecula-dmv-reopens-thursday-amid-coronavirus,2020-05-27T18:20:37Z,Temecula DMV Reopens Thursday Amid Coronavirus,0,3,Toni McAllister,Patch Staff,"TEMECULA, CA — The California Department of Motor Vehicles will reopen 46 more field offices throughout the state on Thursday, including in Temecula, for limited in-person transactions.
The DMV is selecting offices to reopen based on location, size, service capacity and the ability to offer enhanced service to commercial driver license customers, according to the state. Behind-the-wheel drive tests continue to be suspended.
To minimize the spread of coronavirus, DMV employees will use physical distancing, disinfecting wipes, hand sanitizer, facial shields and gloves. The DMV is also providing hand-washing stations for customer use in select locations. Customers are required to wear a face covering and remain 6 feet apart in line.
For customers who want to wait outside the building before their turn is called, employees will offer text messaging. Entry into the building will be metered, and customers may experience extended wait times, according to the state.
The DMV, which initially reopened 25 offices earlier this month, continues to encourage customers to use online services, its expanded virtual services and other service channels to complete transactions, including eligible driver license and vehicle registration renewals.
In addition to the Temecula office at 27851 Diaz Rd., the Riverside office at 6425 Sycamore Canyon Blvd. is also reopening Thursday. On May 8, the Palm Desert office reopened, making it the only DMV location in Riverside County to serve customers. All DMV offices shuttered March 27 amid coronavirus.
According to the state, the DMV plans to continue reopening its remaining offices in phases during the coming weeks.
The following services are being offered in-person at all reopened DMV offices:
The reopened DMV office hours are Monday through Friday from 8 a.m. to 5 p.m.
The DMV continues to provide essential services via mail, online, kiosks, call centers, available business partners and virtually to process critical transactions, including eligible driver license and vehicle registration renewals, during the COVID-19 pandemic. Customers can use the Service Advisor on the DMV website to learn their options to complete DMV tasks.
The DMV has taken a number of actions during the COVID-19 pandemic, including:"
2,/california/temecula/worshipping-riverside-county-state-guidelines,2020-05-26T16:46:27Z,Worshipping In Riverside County: State Guidelines,1,5,City News Service,News Partner,"RIVERSIDE COUNTY, CA — Riverside County health officials said churches and houses of worship can reopen immediately in light of Gov. Gavin Newsom issuing statewide guidance on how they can safely reopen amid the ongoing COVID-19 pandemic.
Under the guidelines issued Monday, places of worship must limit attendance to 25% of building capacity or 100 attendees, whichever is lower. This limitation will be in effect for the first 21 days of each county public health department's approval of religious services within their jurisdictions, after which the California Department of Public Health will review the limits.
They must also arrange for social distancing of at least 6 feet between people, establish and implement a COVID-19 prevention plan for every location, train staff and regularly evaluate workplaces for compliance.
""This is a significant step in the reopening process and we look forward to working with our places of worship with any assistance they need,"" said Fourth District Riverside County Supervisor V. Manuel Perez. ""A cornerstone of many religions is to take care of each other. Let's continue to take care of each other by praying and observing 6 feet apart.""
Riverside County Second District Supervisor Karen Spiegel said people of all faiths had been looking forward to this day.
""An important part of getting through this together is keeping our faith strong. By taking these safety precautions, we can choose to practice our faith in person again and do so safely,"" she said.
Other guidelines include:
-- Shortening the length of services;
-- Limiting visitation outside of scheduled services;
-- Discontinuing large gatherings, such as concerts, large holiday and life event celebrations;
-- Closing children's play areas and discontinuing activities for children where physical distancing cannot be maintained;
-- Propping or hold doors open during peak periods when congregants enter and exit;
-- Restricting the use of common areas, such as break rooms;
-- Reconfiguring podiums and speaker areas, office spaces, meeting rooms, conference rooms, etc., to allow for social distancing;
-- Face coverings;
-- Establishing directional passageways for foot traffic to help maintain physical distancing;
-- Removing pamphlet displays and bookshelves;
-- Limiting the number of people that use the restroom at one time;
-- Discouraging handshakes, hugs and similar greetings;
-- Reconfiguring parking lots to create more space between vehicles;
-- Discontinuing potlucks or similar family-style eating and drinking events;
-- Discontinuing singing, group recitation, and other practices and performances where there is increased likelihood for transmission from contaminated exhaled droplets; and
-- Modifying practices that are specific to particular faith traditions that might encourage the spread of COVID-19 (such as the kissing of ritual objects and use of a common cup).
The guidelines also recommend reduced visitor capacity and staggered visitation times at funerals, wakes, weddings, and other events, if possible, and modifying religious or cultural practices when washing or shrouding bodies of those who have died from COVID-19, in accordance with guidance from the U.S. Centers for Disease Control.
""This guidance does not obligate places of worship to resume in-person activity,"" the guidelines state. ""Further, it is strongly recommended that places of worship continue to facilitate remote services and other related activities for those who are vulnerable to COVID-19, including older adults and those with co-morbidities. Even with adherence to physical distancing, convening in a congregational setting of multiple different households to practice a personal faith carries a relatively higher risk for widespread transmission of the COVID-19 virus, and may result in increased rates of infection, hospitalization, and death, especially among more vulnerable populations. In particular, activities such as singing and group recitation negate the risk-reduction achieved through 6 feet of physical distancing.""
The guidelines can be found here.
Attorney Robert Tyler, president of Advocates for Faith & Freedom and partner of the Murrieta-based nonprofit law firm Tyler & Bursch, LLP, said California's new guidelines for worship remain too limiting.
""While we appreciate the efforts made to allow places of worship to resume services, the guidance limiting occupancy to 25% or 100 people, whichever is less, is not acceptable because it still discriminates against places of worship,"" Tyler said. ""... While many churches will have no problem complying with the 100-person limit, some of our clients have churches that seat 2,500 people and more. Limiting places of worship to 100 people is arbitrary, unreasonable and unconstitutional. Our clients will continue to make plans to hold services on May 31, 2020, and many will not limit themselves to 100 persons."""
3,/california/temecula/saluting-our-graduates,2020-05-24T20:00:00Z,Saluting Our Graduates,0,0,Assemblymember Marie Waldron,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.

By Assemblymember Marie Waldron
It's graduation time and unfortunately the events that our college and high school students, 8th graders, kindergarteners and many others have been eagerly working toward all year have been significantly impacted by the COVID-19 pandemic, and that includes canceling traditional graduations and grad nights, school dances and other large gatherings. These events and ceremonies are the focal point of the school year and of a student's academic career.
From Temecula to Fallbrook and Bonsall, to Valley Center, San Marcos and Escondido, schools and colleges at all grade levels throughout this region are grappling with new ways to recognize and honor hard work, dedication and achievement while safeguarding their students' and their families' health. In many cases, students and their immediate families are being invited to virtual graduation ceremonies that may include the usual pomp and circumstance, including decorated stages, guest speakers and diploma presentations, Some of these individual presentations will be photographed, videotaped and live-streamed. But virtual programs aren't a substitute for the real thing, and many schools are planning summer and fall gatherings complete with photo opportunities, yearbook signings and a chance for students to finally say goodbye and move on, surrounded by their family and friends.
Telling students that this pandemic is an historic, once-in-a-lifetime event (we hope) that they'll always remember may not help much right now. During this graduation season, our hardworking students deserve a shout-out from all of us, and in a small way, I'm happy to help.
If you and your graduating student would like to receive a State Assembly certificate recognizing this important milestone in their lives, please visit my website and send a request to me at: asm.ca.gov/75.
Assembly Republican Leader Marie Waldron, R-Escondido, represents the 75th Assembly District in the California Legislature, which includes the communities of Bonsall, Escondido, Fallbrook, Hidden Meadows, Pala, Palomar Mountain, Pauma Valley, Rainbow, San Marcos, Temecula, Valley Center and Vista.
###"
4,/california/temecula/coronavirus-reopening-riverside-county-waits-san-diego-gets-ok,2020-05-21T23:49:46Z,Coronavirus Reopening: Riverside County Waits,0,33,Toni McAllister,Patch Staff,"RIVERSIDE COUNTY, CA — As Riverside County awaits news from the state to move into an expanded phase 2 reopening of the local economy amid coronavirus, its neighbor to the south was given a green light to do just that.
On Wednesday night, the state approved San Diego County's request to allow dining at restaurants and in-store shopping, both with social-distancing restrictions — something Riverside County has sought.
As of Thursday afternoon, San Diego is the only Southern California county to receive the state's variance. The county reports 6,315 COVID-19 cases and 241 deaths.
Riverside County now reports 6,343 cases and 284 deaths, an uptick from yesterday of 159 and 14, respectively.
Riverside County residents who've undergone COVID-19 testing stands at 93,101, which means the county is still below the state's 8% ""positivity rate"" — one of the criteria Gov. Gavin Newsom said was needed to move into an accelerated reopening. Hospitalizations continue to decline. The county reports 183 patients are undergoing care — 67 of them in ICU. Previous day's reporting showed 189 hospitalizations with 69 in ICU.
Riverside County residents who've recovered from the virus is now at 4,016.
As San Diego County restaurants work to reopen, they must adhere to county guidelines, including having tables six feet apart, having temperature screening of employees, requiring facial coverings on employees at all times and on customers unless they are seated. Reservations are encouraged.
Retail stores in San Diego County have similar restrictions, including limiting the number of shoppers in stores to maintain social distancing and requiring facial coverings for employees and customers at all times.
Jeff Rossman, president of the San Diego branch of the California Restaurant Association, urged diners to be patient with businesses, who were doing everything they could with limited supplies, information and staff.
""We encourage people to take their time,"" he said, noting he would open his own two restaurants the first week of June. ""Please don't come in if you're sick. Please be courteous, comply with signage and give yourselves extra time to comply. We've seen the long lines at casinos reopening, we don't want people queuing. Wait in your car if possible until your table is ready.""
San Diego County also sent a letter to Gov. Gavin Newsom Tuesday night asking him to approve a pilot program for Phase 3 of the state's reopening plan. If approved, it could allow for the reopening of certain facilities, including youth and sports clubs, salons, fitness clubs and outdoor religious services.
In-person funerals, both indoors and outdoors, are now being allowed in San Diego County, provided every person in attendance wears a face covering and different household units maintain six feet of distancing from each other.
While houses of worship can open for funerals in San Diego County, they are a one-time situation. Any regularly scheduled religious services are still prohibited in person by the California's reopening guidelines.
The Riverside County Board of Supervisors had announced that Riverside, San Diego, San Bernardino and Orange counties were working together to persuade the governor to allow an accelerated phase 2 reopening on a regional level. Besides San Diego County, the nearest county allowed the variance is Santa Barbara.
According to the supervisors, Riverside County boasts one of the highest per-capita testing rates in California. But the county also has generated the second-highest number of cases and deaths in the state, second only to Los Angeles County.
Newsom said Monday that the state may significantly ease restrictions in the next few weeks, and that roughly 53 of the state's 58 counties would likely qualify to move deeper into phase 2 of the state's recovery roadmap.
—City News Service contributed to this report."
5,/california/temecula/431m-federal-aid-formally-accepted-rivco-coronavirus,2020-05-19T20:47:53Z,$431M In Federal Aid Formally Accepted By RivCo,0,1,City News Service,News Partner,"RIVERSIDE COUNTY, CA — Riverside County supervisors Tuesday established a $150 million coronavirus relief account in the current fiscal year using federal grant funds intended to assist health care facilities, businesses and county agencies impacted by the coronavirus emergency.
In a 5-0 vote, the board accepted a $431 million Coronavirus Aid, Relief & Economic Security Act distribution from the U.S. Treasury Department. The vote formally set aside $150 million for obligations running to June 30, with an immediate $50 million designation to fund programs that aid businesses impacted by the governor's stay-at-home order and other state and county regulations that forced private sector entities to close to slow the spread of COVID-19.
The grant is retroactive to March 1 and is intended to be expended by Dec. 31, according to documents posted to the board's agenda.
Officials said the balance of the grant — $281 million — will roll over into the 2020-21 fiscal year, starting July 1.
""The county received a direct allocation from the federal government as we are the tenth largest (county) in the nation by population,"" according to an Executive Office statement. ""County leadership continues to work with state and federal partners to interpret eligible uses of this CARES Act funding.""
According to the EO, the county Emergency Operations Center has already identified $40 million in expenses that qualify to be offset using the CARES funding.
The federal money can be utilized for expansion and maintenance of virus testing, supporting staff at public health clinics, providing assistance to ""congregate care"" facilities including nursing homes, purchasing personal protective equipment for health care facilities and businesses, funding sanitation operations in county detention centers and securing hotel and motel rooms to shelter homeless individuals, who are considered part of the ""vulnerable population"" amid the virus crisis.
No money can be expended to ""backfill"" the county's budgetary losses stemming from drops in tax revenue directly related to regulations implemented because of the virus.
Officials said 16 regional hospitals have incurred sizable expenses tied to COVID-19 treatment and response, and will be in line for reimbursements drawn from the CARES grant.
The county Emergency Operations Center will be accepting and assessing inquiries related to relief funding.
The Executive Office stressed that the CARES money will be held in trust because ""federal funding is tied to rigorous oversight, so segregated budgeting and accounting is paramount."""
6,/california/temecula/open-business,2020-05-17T19:00:00Z,Open for Business?,0,0,Assemblymember Marie Waldron,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.

By Assemblymember Marie Waldron
Governor Newsom's May Revise budget projection for the coming Fiscal Year shows that the $21 billion surplus we had has become a $54 billion deficit in our state budget!
The economic activity that generates tax revenues supporting state programs has collapsed because of Covid-19. We are now in a serious recession, with unemployment levels greater than those of the Great Depression. It is imperative that we safely open up our economy to reduce the hit on our economic outlook and help Californians recover.
I've joined a group of western state leaders asking the federal government to provide funding to help make up this shortfall and support public safety, local governments, schools, hospitals and Medi-Cal. Unlike the federal government, California cannot print its own money. State tax revenues have decreased, while the demand for state services, including unemployment insurance, has increased exponentially.
Safety is essential. We've learned a lot over the past months, and protocols like social distancing have allowed essential businesses to remain open. Thousands of customers safely visit local big box-stores each week; there's no reason those same protocols can't be used by smaller businesses with far fewer customers.
A regional approach is best as local county health authorities should make the call. Many businesses have learned to think outside the box, and they should be given the chance to open safely. We've been saying we're all in this together, but in thousands of cases, small businesses have been forced to carry the heaviest burden.
From public safety (fire season is upon us) to education, from highway funding and Medi-Cal to programs for the elderly, the disabled and handicapped, all state programs are facing disastrous cuts. The social costs of allowing our shutdown to become a depression are incalculable. By using caution and the lessons we've all learned, California's economy can safely reopen.
Assembly Republican Leader Marie Waldron, R-Escondido, represents the 75th Assembly District in the California Legislature, which includes the communities of Bonsall, Escondido, Fallbrook, Hidden Meadows, Pala, Palomar Mountain, Pauma Valley, Rainbow, San Marcos, Temecula, Valley Center and Vista.
###"
7,/california/temecula/riverside-county-tells-state-ready-safely-cautiously-reopen,2020-05-16T01:41:33Z,Riverside County Tells State: Ready To Reopen,2,15,Toni McAllister,Patch Staff,"RIVERSIDE COUNTY, CA — Riverside County has notified Gov. Gavin Newsom and state officials that it is ready to ""cautiously and safely"" reopen for business based on public health data, it was announced late Friday.
In a May 14 letter and ""attestation"" to the governor and officials, Riverside County supervisors said the county has the ability to ""meet, exceed or plan to achieve"" all but one of the criteria required to accelerate through the state's current stage 2 reopening of the economy.
The criteria the county cannot immediately meet is the ""epidemiologic stability of COVID-19,"" which requires zero COVID-19 deaths and no more than 1 case per 10,000 people in the past 14 days.
In the letter, the county asks for a variance on that criteria. ""In our opinion, the metrics are unrealistic for urban counties, and Riverside County in particular, where our geographic size and population make it impossible that no"" COVID-19 death would take place during the 14-day period.
Instead, the letter states, ""it is appropriate to adopt the federal epidemiology benchmarks,"" which the county said it is already achieving because of a downward trend in data.
The county and state are currently in stage 2 of the governor's reopening plan, which allows for curbside delivery and pick up of some retail businesses. With the letter and attestation, the county is requesting to move to the governor's accelerated stage two, which could reopen additional businesses.
To support the request, the Board of Supervisors on May 12 unanimously approved its Readiness and Reopening Framework, which officials described as a ""commonsense plan"" that meets both goals of protecting our public health and restoring the economy. Read more about the plan: Reopening Riverside County: Supes Take Another Step Forward
""We are ready to cautiously reopen based on public health data,"" the letter states. Read the entire letter here.
Get the latest Riverside County coronavirus stats and news for Friday, May 15: Coronavirus Antibodies, Reopening, Stats: Riverside County Update"
8,/california/temecula/john-crater-appointed-temecula-fire-division-chief,2020-05-14T18:36:19Z,Temecula Appoints New Fire Division Chief,0,0,Toni McAllister,Patch Staff,"TEMECULA, CA — Temecula has a new fire chief. John Crater was appointed to division chief for the city of Temecula, effective May 11, it was announced Wednesday.
Crater replaces Interim Division Chief Bill Weiser, who stepped in temporarily to serve Temecula. Weiser will now resume his post as Division Chief for Bautista/San Jacinto.
""Although the COVID-19 pandemic is on everyone's mind, we have not lost sight that fire safety and protection from wildland fires remain a critical priority for our region, and I'm pleased to
announce Chief Crater brings 26 years of frontline public safety expertise to Temecula,"" said Temecula Mayor James ""Stew"" Stewart.
According to the city, Crater started his firefighting career in November 1994 as a volunteer firefighter at Station 9 Good Meadow in Riverside County. He was hired in 1999 by the California Department of Forestry and Fire Protection (Cal Fire), San Diego, as a seasonal firefighter in Deluz. In 2001, he began serving as a permanent firefighter II for the Riverside Unit in the Lake Elsinore battalion. He also worked in Battalions 2 and 13 as a fire apparatus engineer.
In 2008, Crater was promoted to fire captain in the Lake Elsinore battalion and worked at
Stations 11, 61, and truck 97. In 2017, he accepted a promotion to battalion chief working
in the cities of Desert Hot Springs and Lake Elsinore.
""I am confident that Chief Crater's leadership style and long history of experience within Southwest Riverside County will be an asset to the city of Temecula,"" said City Manager Aaron Adams.
Crater and his family reside in Southwest Riverside County, city officials said."
9,/california/temecula/temecula-works-toward-reopening-possible-sub-region,2020-05-13T23:10:55Z,Temecula Works Toward Reopening As 'Subregion',7,30,Toni McAllister,Patch Staff,"TEMECULA, CA — While the city of Temecula hopes Gov. Gavin Newsom will grant Riverside County a green light to reopen its economy on a fast track under his ""regional variance"" program, local officials aren't standing idle despite state and county restrictions.
Instead of defying orders, the city is looking for opportunities to back the county's efforts and possibly reopen Temecula as a ""subregion."" On Tuesday, Temecula City Council members unanimously approved a 39-page ""Community Recovery and Reopening Plan"" that provides local businesses and organizations with guidance on reopening amid coronavirus. The outlined plan aligns with state and county orders, and is a living document that can be updated based on changes and community feedback.
While the plan may seem benign, its intent is not. Councilmember Matt Rahn said the document shows the city is doing its due diligence.
In a May 13 letter to the county introducing the plan, the five council members advocate that Temecula, nearby Wine Country, and the city of Murrieta already meet Gov. Gavin Newsom's criteria to reopen under his regional variance program.
The governor's program is a fast-track to reopening for counties, not cities, if they meet stringent criteria, including hospital capacity that can accommodate at least a 35% surge in COVID-19 cases; proper PPE and protections for hospital workers; no more than 1 COVID-19 case per 10,000 residents in the last 14 days; no COVID-19 deaths in the last 14 days; minimum daily testing of 1.5 people per 1,000 residents; at least 15 contact tracers per 100,000 residents; ability to temporarily house at least 15% of the county's homeless; proper protection for employees returning to work (protective gear, sick time); at least a 14-day supply of PPE at skilled nursing facilities; and the ability to tighten county restrictions if needed.
It's not clear if Newsom will make allowances for cities under his regional variance program, but he has signaled there is some flexibility.
As of Wednesday afternoon, Temecula has 119 coronavirus cases and zero deaths. The data provided to the public by the county is somewhat opaque though. For example, it doesn't give breakdowns-by-city on the age groups of those infected, what type of facility they live in, and whether they are hospitalized or self-quarantined at home. Moreover, information about contact tracing is not provided.
The city of Murrieta has five coronavirus-related fatalities and 108 cases as of Wednesday afternoon. The county data doesn't provide any information on the ages or underlying health conditions of those who died.
Temecula argues in its May 13 advocacy letter that the city ""is in the recovery phase of the disease curve.""
""We have experienced a decline in the number of COVID-19 patients that require hospitalization over the past month, we have more than sufficient hospital and critical care beds, and adequate supplies of PPE,"" the letter reads.
The city is prepared to resume stricter public health measures if there's an uptick in the number of confirmed cases or a lack of capacity within the hospital and health care system, according to the letter.
""We also acknowledge that public health measures may change rapidly on the recommendations and orders of public health officials and the State, and it is incumbent upon the City and community to remain flexible in adjusting any reopening efforts accordingly,"" the letter reads.
Given the governor's stringent regional variance criteria, ""the only opportunity for meaningful forward progress in our community at this point is for the State to either change its criteria for acceleration or allow our County to approve accelerated plans by subregions within the County,"" the letter continues.
The city of Temecula is pushing forward, as outlined in the letter. ""Working with surrounding counties in similar situations through coalitions, our professional associations for cities and counties, and other community and industry stakeholders, can lead to this change.""
According to the letter, Temecula deems all of its businesses and houses of worship as essential.
Residents and business owners can submit comments on the reopening plan to the city clerk at randi.johl@temeculaca.gov. The city council is scheduled to review the comments during its May 26 meeting.
Read the full letter here. The Community Recovery and Reopening Plan, which was drafted in collaboration with officials from the city, Temecula Valley Chamber of Commerce, Visit Temecula Valley, Promenade Temecula Mall, and Temecula Valley Hospital, can be found here."
