,url,Date,Title,Thank,Reply,author,title,context
0,/wisconsin/waukesha/waukesha-county-courthouse-expand-open-hours,2020-05-07T19:34:38Z,Waukesha County Courthouse To Expand Open Hours,0,0,Scott Anderson,Patch Staff,"WAUKESHA, WI — On Monday, May 11, the Waukesha County Courthouse will expand public access hours to 9 a.m. to 4 p.m. Monday through Friday. The expanded public hours of operation will increase the number of hearings and essential court functions that can be handled daily, officials said.
""Life-changing legal matters for thousands of Waukesha County residents have been on hold as we navigated the best way to serve them while protecting them from this public health crisis,"" said Judge Jennifer Dorow, Presiding Judge in Waukesha County and Chief Judge of the Third Judicial District in a statement. ""Unresolved court matters have added significant anxiety to many people's lives in an already uncertain time. Now that enhanced safety measures have been in place for several weeks, we can safely increase our caseload to help those who still need their matters heard.""
In March, public access hours to the courthouse were reduced as part of efforts to limit court operations to essential functions while mitigating public health risks associated with the COVID-19 pandemic. The expanded hours will allow Courts staff to increase in-person services by appointment ONLY, as well as referrals following court appearances.
Circuit Court divisional staff will continue to be available by phone from 8 a.m. to 4:30 p.m. on weekdays. The Clerk of Court's Service Counters will remain closed to the public.
All court filings and documents will continue to be processed via U.S. mail, fax, the drop box and the Wisconsin Courts' eFiling System available online at www.wicourts.gov/ecourts/efilecircuit.
Payments can be processed online at www.wicourts.gov/ecourts/payonline.htm.
Payments by check or money order will be accepted by regular mail or in the drop box. Credit card payments can be made over the phone by calling 262-548-7494.
The Waukesha County Administration Center remains closed to the public.
Offices continue to be staffed and able to provide government services online, over the phone, by mail, through drop-off sites, or by appointment. All changes to Waukesha County operations and hours are posted online at www.waukeshacounty.gov. Courts information is available at www.waukeshacounty.gov/circuitcourts/."
1,/wisconsin/waukesha/new-waukesha-police-chief-named,2020-05-06T15:51:32Z,New Waukesha Police Chief Named,0,0,Scott Anderson,Patch Staff,"WAUKESHA, WI — Daniel Thompson has been named as the next Chief of Police in Waukesha.
Thompson, who was named to the post earlier this week by the City Police and Fire Commission, assumed leadership on Monday, and follows recently-retired Chief Russell Jack.
Thompson comes to the City of Waukesha after more than 29 years with the City of Milwaukee
Police Department where he most recently served as Inspector of Police. He was also on the executive team with the Milwaukee Police Department.
Thompson's recent assignments include him playing an integral team leadership role in the department's coordination with the 2020 Democratic National Convention planned for Milwaukee later this year.
""The men and women of the Waukesha Police Department are extremely professional and have contributed to Waukesha's reputation as a safe community. We are very happy to have Chief Thompson join our organization to continue this legacy,"" Waukesha Mayor Shawn Reilly said in a statement.
Thompson was chosen from 40 applicants for the position. Waukesha's Police and Fire Commission conducted extensive outreach and interviews throughout the search that began in late 2019."
2,/wisconsin/waukesha/3-600-absentee-ballots-still-out-waukesha-some-may-not-count,2020-04-08T17:50:53Z,"3,600 Absentee Ballots Still Out In Waukesha",0,1,Scott Anderson,Patch Staff,"WAUKESHA, WI — City election officials in Waukesha are busy wrapping up from the April 7 election and are processing absentee ballots in advance of the April 13 vote-counting day. Election Results have not been posted, city officials said on April 8, citing a court order which prevents election results from being released until April 13.
For this election, the city sent out 18,448 absentee ballots and 14,829 have been returned as of Wednesday morning. A total 2,580 people voted at the polls on election day, officials said. About 3,600 absentee ballots still need to come back. Some may count, others may not depending on whether they have witness signatures and are postmarked by April 7.
Sign up for Patch alerts and daily newsletters. Don't miss local and statewide news about coronavirus developments and precautions.
""If you are still in possession of an absentee ballot, there is no longer an option for it to be cast,"" Waukesha election officials said. ""All absentee ballots needed to be hand-delivered by April 7 or postmarked by April 7.""
Election officials in Waukesha were effusive in their praise for the volunteers, staff and voters who risked exposure to the coronavirus to participate in the April 7 election.
""We understand the amount of changes that occurred with the Spring Election. We sincerely appreciate your patience as we all navigated through these truly unprecedented and tumultuous times,"" officials said."
3,/wisconsin/waukesha/waukesha-voting-information,2020-04-08T14:15:14Z,Waukesha Voting Information,0,0,Press Release Desk,News Partner,"Press release from the City of Waukesha:
April 3, 2020
As a result of a federal court decision, please note the following updates for the April 7, 2020 Spring Election and Presidential Preference Primary.
Absentee Ballot Requests: The deadline to request a mailed absentee ballot has been extended to today, Friday, April 3 at 5:00 pm. To help keep you and our community safe all residents are requested to vote absentee by mail. Request a ballot online at https://myvote.wi.gov/en-us/ . A copy of a photo ID is required if not previously submitted.
Witness Affirmation Requirement: The absentee ballot witness affirmation has been lifted if an absentee voter provides a written affirmation or other statement that they were unable to safely obtain a witness certification despite reasonable efforts to do so, provided that the ballots are otherwise valid.
Absentee Ballot Return Deadline: The deadline for completed ballots to be received by the City has been extended to 4 p.m. on April 13. Completed Ballots can be mailed, OR, put in the City Hall depository next to the employee entrance on the Delafield side of the building, OR, dropped off at the Schuetze Recreation Center, 1120 Baxter St, from 10am-2pm on Monday, April 6.Election Day: In-person voting on April 7, 2020 WAS NOT DELAYED. The only polling place open in the City will be the Schuetze Recreation Center, 1120 Baxter St. Voting will be available from 7:00 am to 8:00 pm on Election Day, Tuesday, April 7.
This press release was produced by the City of Waukesha. The views expressed here are the author's own."
4,/wisconsin/waukesha/wisconsin-election-day-long-lines-little-social-distancing,2020-04-07T14:42:01Z,Wisconsin Election Day: Long Lines ,0,1,Scott Anderson,Patch Staff,"MILWAUKEE, WI — Amid the coronavirus public health emergency, thousands of voters in Wisconsin are taking to the polls to vote in the state's presidential primary and statewide general election. Early reports coming in show voters waiting in long lines to cast their ballots while also facing the challenge of maintaining at least six feet of distance between others.
Voters and poll workers did not know whether they would be participating in the election on Monday, after Gov. Tony Evers sought to postpone in-person voting until June via an executive order. The state has seen more than 2,440 confirmed COVID-19 cases, and 77 coronavirus-related deaths. Schools were closed in mid-March, non-essential businesses have been shut down, and residents are restricted from non-essential travel in a ""safer at home"" order.
Sign up for Patch alerts and daily newsletters. Don't miss local and statewide news about coronavirus developments and precautions in Wisconsin.
Republican opponents fought back against Evers' order to delay in-person voting, filing a lawsuit with the State Supreme Court within hours. The conservative-leaning court ruled that Evers did not have the authority to postpone the election. Then, hours later, the U.S. Supreme Court ruled that the state's absentee ballot deadline extension was also unconstitutional, meaning that thousands of voters who had absentee ballots out — or who had yet to get them in the mail — have to turn them in or have them postmarked by Tuesday in order for them to count.
Results were not expected to be released election night, the Associated Press is reporting as of Tuesday morning. In the wake of a legal battle over whether to conduct the election as scheduled, a court ruling appeared to prevent results from being made public earlier than April 13.
Hundreds Of Absentee Ballots Won't Count
Neil Albrecht, executive director of the Milwaukee Election said a minimum of 750 absentee ballots in the City of Milwaukee do not have witness signatures and won't count in the election, he said in a JSOnline report. Voters are waiting more than two-and-a-half hours to cas their ballots at some Milwaukee polling locations. ""We have moved forward with an election, but we have not moved forward with democracy in the state of Wisconsin,"" he said.
Afternoon: Social Distancing 'Nearly Impossible'
According to a JSOnline report, Jeff Pothof, chief quality and safety officer for UW Health in Madison said it's "" nearly impossible to maintain social distancing throughout the process of going to the polls and voting. You can see some people quite close to each other, some wearing masks, some not,"" he said in the report.
Election Morning: Long Lines, Masks and Hand Sanitizer
In Madison, city workers erected Plexiglas barriers to protect poll workers, and voters were encouraged to bring their own pens to mark the ballots. Across the state, poll workers donned masks and gloves. Some wore surgical scrubs and protective gowns to the polling place. In many suburban Milwaukee communities, voters were either handed single-use pens or were asked to bring their own.
Kat Devlin, a magazine editor who works from her home in Milwaukee, applied for an absentee ballot during the third week in March but never received it. The state should have postponed the election, she said. ""It's just dangerous to have so many people going to the polls,"" she said.
Earlier last week, Waukesha officials consolidated all of the city's polling places into one at the Schuetze Recreation Center on Baxter Street.
One report from early Tuesday morning from Matt Smith showed voters — some with masks and some without — in long lines outside the polling place doors waiting for them to open.
An hour after polls opened Tuesday, Milwaukee journalist Mike De Sisti recorded a video showing voters slowly advancing in a line that stretched more than a block long outside Milwaukee's Riverside High School polling place. De Sisti reported wait times as long as 90 minutes just to get inside, with many people standing in close quarters.
Related Reading
The Associated Press Contributed To This Report"
5,/wisconsin/waukesha/waukesha-spring-election-presidential-preference-primary-update,2020-04-07T12:36:13Z,Waukesha Spring Election Update,0,0,Press Release Desk,News Partner,"Press release from the City of Waukesha:
April 3, 2020
Please note the following updates for the April 7, 2020 Spring Election and Presidential Preference Primary:
Your options for returning your completed ballot:
Witness Affirmation Requirement: On the evening of April 3 the 7th Circuit Court of Appeals issued an order removing the option for an absentee voter to submit a statement indicating they were unable to obtain a witness signature, in lieu of including a witness signature on the certificate envelope. Therefore, effective immediately, all voters MUST have a witness signature on their ballot for it to be counted. All discussion of this exemption in other materials, memos, and webinars related to this option which had been authorized by the decision of the District Court is now outdated and should be ignored.

Election Day: In-person voting is on April 7, 2020. The only polling place open in the City will be the Schuetze Recreation Center, 1120 Baxter St. Voting will be available from 7:00 am to 8:00 pm on Election Day, Tuesday, April 7.
This press release was produced by the City of Waukesha. The views expressed here are the author's own."
6,/wisconsin/waukesha/wisconsins-april-7-election-whats-my-ballot-waukesha,2020-04-03T20:37:21Z, What's On My Ballot In Waukesha,0,1,Scott Anderson,Patch Staff,"WAUKESHA, WI — The Tuesday, April 7 election in Wisconsin will continue as planned, state officials say after several legal challenges, including one before a federal judge, failed to result in a postponement.
In Waukesha, voters will be able to choose which candidate they want to see in the fall presidential election. Voters will also get to decide a number of statewide, county and local races that will appear on the ballot.
Polling Place Change
Due to a lack of available poll workers, on Election Day, Tuesday, April 7, the City of Waukesha will have only one Election polling location, officials said.
Waukesha officials said all residents will vote at the Schuetze Recreation Center, 1120 Baxter Street, from 7 a.m. to 8 p.m. No other polling locations will be open on April 7.
Inside the Schuetze Recreation Center, residents will be directed via signs showing their specific voting location.
New Rules For Absentee Ballots
Voters with absentee ballots will have to turn them in or have them postmarked by Tuesday to have them counted after a late ruling by the U.S. Supreme Court Monday night.
The U.S. Supreme Court handed down a consequential ruling for Wisconsin voters late Monday, overturning a lower court's ruling that extended Wisconsin's absentee ballot submissions by nearly a week.
On Thursday, U.S. District Judge William M. Conley of the U.S. District Court - Western District of Wisconsin extended the deadline for absentee ballots to be received by election officials from 8 p.m. on election night to 4 p.m. on April 13. The move would have given poll workers more time to tally votes.
On Monday night, the U.S. Supreme Court overturned Conley's ruling, voting along 5-4 lines to restore Wisconsin's former absentee ballot deadline. That means poll workers cannot accept absentee ballots that are postmarked after election day.
What's On My Ballot?
President of the United States - Democratic
Tulsi Gabbard
Amy Klobuchar
John Delaney
Deval Patrick
Bernie Sanders
Andrew Yang
Pete Buttigieg
Tom Steyer
Elizabeth Warren
Michael Bennet
Michael R. Bloomberg
Joe Biden
Uninstructed Delegate
Write In
President Of The United States - Republican

Donald J. Trump
Uninstructed Delegate
Write In
Justice Of The Supreme Court

Jill J. Karofsky
Daniel Kelly
Write In
Court Of Appeals Judge District 2
Lisa Neubauer
Paul Bugenhagen Jr
Write In
Waukesha County Circuit Court Judge Branch 5
Jack Melvin
Sarah A. Ponath
Write In

Waukesha County Supervisor races
District 1
Tyler Foti i
District 2
David Zimmerman i
District 3
Richard Morris i
District 4
Jim Batzko i
District 5
Timothy Dondlinger i
District 6
Jeremy Walz i
District 7
Jennifer Grant i
District 8
Thomas A. MIchalski i
District 9
James A. Heinrich i
District 10
David W. Swan i
District 11
Christine Howard i
District 12
Peter M. Wolff i
District 13
Paul L. Decker
District 14
Chuck Wood i
Chris Mommaerts
District 15
William Mitchell i
District 16
Michael Crowley i
District 17
Duane E. Paulson i
WIlliam Kerr
District 18
Larry Nelson i
District 19
Kathleen Cummings i
District 20
Thomas J. Schellinger i
District 21
Joel Gaughan i
District 22
Ted Wysocki i
District 23
Keith Hammitt i
District 24
Steve Whittow i
District 25
Darlene M. Johnson i
Waukesha Aldermanic Races
District 1
Don Paul Browne
District 2
Eric J. Payne
District 3
Cassie Rodriguez
District 6
Jack Wells
District 7
Daniel Manion
District 10
Steve Johnson
District 13
Dean Lemke
Waukesha School District School Board Member
Vote For Not More Than Three
Karin Sue Rajnicek
Joseph Lee Como, Jr.
Corey Andrew Montiho
Write In
Write In
Write In
Statewide Referendum
QUESTION 1: ""Additional rights of crime victims. Shall section 9m of article I of the constitution, which gives certain rights to crime victims, be amended to give crime victims additional rights, to require that the rights of crime victims be protected with equal force to the protections afforded the accused while leaving the federal constitutional rights of the accused intact, and to allow crime victims to enforce their rights in court?""
Yes
No
"
7,/wisconsin/waukesha/april-election-2020-dnc-impacted-coronavirus-top-dems-say,2020-04-01T18:51:07Z,Democratic Leaders Say Coronavirus Impacting WI,0,3,Scott Anderson,Patch Staff,"MILWAUKEE, WI — Bernie Sanders and Joe Biden — considered the top two Democratic candidates remaining in presidential primary — say the coronavirus public health emergency is having an impact on the April 7 election in Wisconsin and the upcoming 2020 Democratic National Convention, which is still scheduled for mid-July in Milwaukee.
DNC officials say they're considering contingency plans for the 2020 DNC, and Wisconsin Gov. Tony Evers said he's staunchly in favor of keeping the April 7 presidential primary and statewide general election on-track despite critical shortages of poll workers, and the ongoing public health risks.
When MSNBC talk show host Brian Williams asked Biden whether he envisions seeing Democratic party faithful packing Milwaukee's Fiserv Forum for a week in July for the 2020 Democratic National Convention, amid the current coronavirus public health emergency, Biden said he was doubtful.
Sign up for Patch alerts and daily newsletters. Don't miss local and statewide news about coronavirus developments and precautions.
""It's hard to envision that,"" he said. ""We should listen to the scientists.""
Biden said the U.S. was able to have elections, and conventions during wartime because authorities could guarantee public safety. ""The fact is, it may have to be different,"" he said of the 2020 DNC.
Meanwhile, Sanders is calling on Wisconsin leadership to postpone the April 7 election.
""People should not be forced to put their lives on the line to vote, which is why 15 states are now following the advice of public health experts and delaying their elections,"" Bernie Sanders said in a statement. ""We urge Wisconsin to join them. The state should delay Tuesday's vote, extend early voting and work to move entirely to vote-by-mail.""
Sanders' statement comes on the heels of Evers saying he's going to call out the National Guard to shore up critical shortages of poll workers across the state.
Evers said he's calling out the National Guard to staff polling places across the state after election officials said nearly 60 percent of Wisconsin municipalities have an urgent shortage of poll workers.
Many jurisdictions have ""dramatically consolidated polling places,"" state official said. According to the Wisconsin Election Commission, there are 111 communities that do not have the ability to staff even one polling place on April 7. Wisconsin local election officials say they're about 7,000 poll workers short for election day.
By The Numbers
All data has been compiled by the Wisconsin Election Commission. This data was compiled when officials surveyed local municipalities about their capabilities on election day, April 7.
Critical: jurisdictions cannot staff even one polling place.
671 Poll Worker Shortage
111 Number of Jurisdictions
Serious: jurisdiction is unable to staff all desired polling places.
2,713 Poll Worker Shortage
126 Number of Jurisdictions
Concerning: jurisdiction has fewer staff than needed for efficient operations.
3,469 Poll Worker Shortage
542 Number of Jurisdictions
Stable: jurisdiction has enough poll workers to function efficiently.
86 Poll Worker Shortage
541 Number of Jurisdictions
Did not report a status.
n/a Poll Worker Shortage
530 Number of Jurisdictions"
8,/wisconsin/waukesha/waukesha-will-have-1-polling-place-open-election-day,2020-04-01T16:33:56Z,Waukesha Will Have 1 Polling Place Open ,0,0,Scott Anderson,Patch Staff,"WAUKESHA, WI — Due to a lack of available poll workers, on Election Day, Tuesday, April 7, the City of Waukesha will have only one Election polling location, officials said.
Waukesha officials said all residents will vote at the Schuetze Recreation Center, 1120 Baxter Street, from 7 a.m. to 8 p.m. No other polling locations will be open on April 7.
Inside the Schuetze Recreation Center, residents will be directed via signs showing their specific voting location.
Sign up for Patch alerts and daily newsletters. Don't miss local and statewide news about coronavirus developments and precautions.
All residents will need to bring a Photo ID to vote on Election Day. Residents will be able to register to vote at the Schuetze Recreation Center on Election Day with proper documentation.
Bring These Items To The Polls
Waukesha officials said residents voting on election day are encouraged to bring their own black ball-point pens, to wash their hands or use hand sanitizer upon entering and leaving, and to maintain social distancing while at the polling location.
The City will have in place additional safety and cleaning measures.
Accessibility
The polling place is accessible to elderly and disabled voters.
Polling Hours
The Poll is open at 7 a.m. and closes at 8 p.m.
Related Reading"
9,/wisconsin/waukesha/vote-absentee-mail-waukesha,2020-04-01T14:31:59Z,Vote Absentee By Mail In Waukesha,0,0,Press Release Desk,News Partner,"Press release from the City of Waukesha:
March 11, 2020
The Spring Election and Presidential Preference will be held on Tuesday, April 7. For everyone's safety, please go online and request an absentee ballot be mailed to you with a postage-paid return envelope.
More Information...
This press release was produced by the City of Waukesha. The views expressed here are the author's own."
