,url,Date,Title,Thank,Reply,author,title,context
0,/illinois/wilmette/township-selects-max-rosen-peer-jury-scholar-2020,2020-05-13T21:44:31Z,Township Selects Max Rosen As Peer Jury Scholar...,0,0,New Trier Township,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Max Rosen of Glencoe has been selected to receive New Trier Township's Peer Jury Scholarship Award for 2020. The $1,500 prize will be used toward his education at George Washington University in Washington D.C. where he begins freshman year this fall.
Community Services Director Brian Leverenz said, ""His essay was outstanding, but Max's leadership, attendance and thoughtful participation as a juror put him over the top against other candidates.""
Created in 1998, the township's Peer Jury program provides an opportunity for first-time, (non-violent) offenders to face a jury of his/her peers. The jury hears the charges presented by a police officer, and the jurors, under the supervision of the Peer Jury Coordinator agrees on an appropriate sentence - usually a number of hours of community service and sometimes a written paper or an apology.
The Peer Jury Scholarship is normally presented at the Township's Annual Town Meeting, which was postponed due to the COVID-19 pandemic.
For more information on the township's Peer Jury Program, please phone Brian Leverenz, Community Service Administrator at (847) 446-8203 or visit NewTrierTownship.com.
Media Contact:
Jack Macholl
Mobile (847) 727-9510
###
New Trier Township's mission is to provide leadership, advocacy and resources to benefit the physical, mental and social well being of Township residents. Established in 1850, New Trier Township government serves the 56,000 residents in the villages of Glencoe, Kenilworth, Wilmette and Winnetka, plus portions of Glenview and Northfield. The Township Office is located at 739 Elm Street in Winnetka or on-line at www.newtriertownship.com"
1,/illinois/wilmette/gop-women-reps-call-governor-convene-legislature,2020-05-01T07:50:11Z,GOP Women Reps Call on Governor to Convene...,0,0,Lori Solyom,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
April 28, 2020
Dear Governor Pritzker,
During this unprecedented challenge to our state, you stressed multiple times your willingness and eagerness to work with legislators from both sides of the aisle and from every part of the state. As the women of the House Republican Caucus, we stand ready to offer solutions and work with you to implement a safe and reasonable regional plan to open Illinois. We are business owners, scientists, mayors, lawyers, community organizers, volunteers, officers, mothers, sisters, grandmothers, caregivers, and legislators. We represent 880,000 Illinoisans across all regions of the state—from the Chicago suburbs to regions in northern, western, eastern, southern, and central Illinois.
Our family members and constituents are fighting on the front lines as healthcare workers. We know and love people who are diagnosed with and suffering from COVID-19. We know, love, and represent people who lost their jobs, closed their small businesses, and exhausted their savings. For us, this is not political. This is personal.
We asked many questions concerning IDPH modeling, PPE procurement process and inventory, IDOC policies for transfers and releases, issues at IDES, safeguarding Long Term Care Facilities, and protecting state facilities for veterans and the developmentally disabled. We made many suggestions to promote physical and mental wellbeing, including opening state parks, locking down our prisons, housing our homeless, and protecting our most vulnerable populations. You did respond to our request for IDNR to open our state parks, thank you.
Unfortunately, a majority of our questions and suggestions are not acknowledged. We reached out to you, but you have not contacted one Republican woman legislator to discuss our concerns, suggestions, or solutions. We are writing to tell you as a matter of record the House Republican Women are here for Illinois. We are ready to offer suggestions, strategies, and solutions; and we are calling for the legislature to reconvene. We want to do our job as essential employees for our state and want to work with you to safely and regionally reopen our state.
SAFELY
● As elected officials, we have a responsibility to all Illinois citizens. Our number one priority as wereopen Illinois is to protect those who are vulnerable to this virus and ensure they have the appropriate support and necessary resources.
REASONABLY
● Illinois needs a reasoned and common-sense plan to reopen our state region by region understanding the virus affects each region differently. Some of these common sense steps include:
RESPONSIBLY
● Our constituents deserve a responsible government—a government where there are effective checks and balances and a government where all voices are heard. A responsible government means calling the legislature back to session.
REGIONALLY
● One size does not fit all. We must safely open our state on a regional basis. Other states including New York, Michigan, Pennsylvania, and Iowa proposed measured, regional reopening strategies.
We, the women of the House Republican Caucus, ask you to work with us. We are prepared to work on a serious plan to reopen Illinois safely, reasonably, responsibly, and regionally. We request you meet with us collectively as a group to share our ideas and offer solutions. We must continue to protect our vulnerable populations and safeguard our healthcare delivery systems, while we must also save our economy and our families. We are prepared to assist in developing and implementing a plan to safely get Illinois back to business reasonably, regionally, and responsibly.
Finally, as members of a co-equal branch of government, we request you call a special legislative session to start work on reopening Illinois safely and regionally.
We are ready and await a meeting with you.
Sincerely,
Rep. Avery Bourne
Rep. Terri Bryant
Rep. Amy L. Grant
Rep. Norine K. Hammond
Rep. Deanne M Mazzochi
Rep. Tony M. McCombie"
2,/illinois/wilmette/face-coverings-required-wilmette-slow-spread-coronavirus,2020-04-20T16:00:00Z,Face Coverings Required In Wilmette,0,1,Jonah Meadows,Patch Staff,"WILMETTE, IL — Face coverings are mandatory for shoppers and workers at essential businesses in Wilmette under an amended coronavirus disaster declaration signed by Village President Bob Bielinski. An order requiring everyone aged 3 and up within village limits to cover their nose and mouth while engaging in essential activities or riding in public transportation, taxis or ride-hailing vehicles took effect Monday. It does not apply while outdoors or in personal cars.
Village staff were already required to wear face covering anytime they have contact with the public or come within 6 feet of another employee, Bielinski said in a letter to residents and business owners. Business managers may refuse admission or service or anyone who fails to wear a face covering, ""should the business feel that the safety of customer or employees would be best served by doing so,"" he said.
""We, as residents, business owners and visitors, are all part of the community that makes Wilmette a great place. As part of that communal relationship, we all owe each other a duty to help prevent the spread of this disease,"" he said. ""Wearing a face covering when entering a business open to the public is a simple task that we can all do for the good of not only Wilmette, but for everyone near and far.""
Illinois Coronavirus Update April 20: Don't miss updates about precautions in the Wilmette area as they are announced. Sign up for Wilmette-Kenilworth news alerts and newsletters.

On April 3, the Centers for Disease Control and Prevention issued a recommendation people wear face coverings when they are unable to practice socially distancing. The effort is aimed at reducing the risk of coronavirus transmission, especially from those who do not show symptoms of infection. Due to a chronic shortage of protective equipment across the country, public health officials have called for surgical masks and N95 respirators to be reserved for emergency personnel and health care workers. The CDC has published instructions on how to make, wear and clean cloth face coverings at home.
According to the village's second amended local disaster declaration, acceptable face coverings in Wilmette include, but are not limited to, non-medical grade face masks, cloth or plastic masks, scarfs, bandanas or handkerchiefs. Face coverings are not required for employees of Amazon, FedEx, UPS or the United States Postal Service, according to the village's website. Landscapers do not have to wear face coverings while working outside, and private contractors are not required to cover their faces while working indoors, although village officials encouraged homeowners to ask them to do so.
As of Monday, Wilmette had 75 confirmed COVID-19 cases, and there were 13 cases detected among Kenilworth residents, according to the Cook County Department of Public Health. Cook County Medical Examiner's Office records indicate one Wilmette resident, a 101-year-old woman, died of the virus, however, the CEO of the nursing home listed as her residence said she had not lived there under its current ownership.
Municipal officials in Wilmette followed those in the Chicago-area suburbs of Glenview, Cicero, Skokie, Morton Grove, Niles, Northbrook and Highland Park in issuing local face-covering orders. Gov. J.B. Pritzker has said he is considering a statewide requirement, describing wearing a mask in public as a ""common sense way"" to reduce the spread of COVID-19."
3,/illinois/wilmette/township-assessor-announces-new-may-1-tax-appeal-deadline,2020-04-10T17:24:18Z,Township Assessor Announces New May 1 Tax...,0,0,New Trier Township,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
Jan Churchwell, Assessor of New Trier Township shared an update from Cook County Assessor Kaegi's office regarding a new deadline for property tax appeals, which is now May 1, 2020.
Although members of the public are not currently permitted access the Assessor's offices at the township hall, property owners can telephone or reach out via email. Should you have questions or require immediate assistance, phone (847) 446-8200 or email jchurchwell@newtriertownship.com and lshifflett@newtriertownship.com.
Media Contact:
Jack Macholl
Mobile (847) 727-9510
###
New Trier Township's mission is to provide leadership, advocacy and resources to benefit the physical, mental and social well being of Township residents. Established in 1850, New Trier Township government serves the 56,000 residents in the villages of Glencoe, Kenilworth, Wilmette and Winnetka, plus portions of Glenview and Northfield. The Township Office is located at 739 Elm Street in Winnetka or on-line at www.newtriertownship.com"
4,/illinois/wilmette/township-clerk-postpones-annual-town-meeting,2020-04-08T18:52:05Z,Township Clerk Postpones Annual Town Meeting   ...,0,0,New Trier Township,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
As Illinois residents continue to follow ""shelter in place"" requirements established by Governor Pritzker, New Trier Township Clerk Jerome Hoynes and the Board of Trustees announced that the Township's 171st Annual Town Meeting, originally scheduled for April 14, 2020 will be postponed to a date to be determined when social distancing and other public space gathering restrictions are lifted.
The township will post the rescheduled date of the Annual Town Meeting at Clerk Hoynes' web page, on social media, newsletters and other communications.
New Trier Township continues to provide Food Pantry services during the pandemic. Food pantry clients will be able to pick-up one bag of pre-selected food. Paper goods and grocery donations will be accepted by appointment. Please phone Brian Leverenz, Community Service Administrator at (847) 446-8203 to make arrangements for pick-up or donations.
Media Contact:
Jack Macholl
Mobile (847) 727-9510
###
New Trier Township's missionis to provide leadership, advocacy and resources to benefit the physical, mental and social well being of Township residents. Established in 1850, New Trier Township government serves the 56,000 residents in the villages of Glencoe, Kenilworth, Wilmette and Winnetka, plus portions of Glenview and Northfield. The Township Office is located at 739 Elm Street in Winnetka or on-line at www.newtriertownship.com"
5,/illinois/wilmette/wilmette-gives-small-businesses-375-000-coronavirus-tax-rebate,2020-03-27T15:31:04Z,"Wilmette Gives Local Businesses $375,000 Rebate",0,0,Jonah Meadows,Patch Staff,"WILMETTE, IL — At an electronically conducted meeting, the Wilmette Village Board Tuesday unanimously approved an economic relief package for local small businesses suffering during the public health emergency triggered by the spread of the new coronavirus.
The $375,000 tax rebate program allows eligible businesses to receive half of the municipal sales tax they collected last year as a grant. That money can be used for payroll, paying bills and operating expenses but cannot be used for capital improvements or rent, according to village staff.
""We recognize that COVID-19 has placed a substantial burden on the Village's small business community. This program will provide funds for businesses that need help now making payroll or paying suppliers,"" Village President Bob Bielinski said in a release. ""As a local government, Wilmette has the ability to move faster than the federal and state governments which are implementing more substantial financial assistance programs for small businesses. The intent of this program is to put money into the hands of businesses immediately so they can continue to remain in business until they are able to access those larger programs.""
Illinois Coronavirus Update March 27: U.S. Surpasses China: Don't miss updates about precautions in the Chicago area as they are announced. Sign up for Patch news alerts and newsletters.

The grants are available to businesses with village businesses licenses that generated between $50,000 and $7.5 million in municipal sales tax-eligible revenue in 2019. Those sales must have declined by at least 15 percent between March 21 and the application date, compared to the prior year. Chains with five or more locations, franchisees, private clubs and home occupations are not eligible, according to program rules.
""Because our local businesses are a critical part of the vitality of the Village and because the sales tax they generate is an important funding source for municipal services and infrastructure, supporting local businesses is good public policy,"" Bielinski added. ""While we are hopeful that this program will give businesses some short-term economic relief, it is absolutely vital that Wilmette residents continue to support our local restaurants and retailers by responsibly shopping at local businesses which remain open because the State has deemed them essential, ordering takeout and delivery from restaurants, and making online purchases. We can all work together to help our business community during this very challenging time.""
Municipal sales tax is separate from the village's home rule sales tax. In 2019, the village received $2.63 million from municipal sales tax, which is equal to 1 percent of all retail sales that occurred in a given municipality.
To receive the tax relief from the village, local businesses must have been operational March 17 and must not have permanently ceased operations, according to rules. Businesses that plan to reopen after being forced to close due to Gov. JB Pritzker's stay-at-home order are eligible for the rebate.
Bielinski declared a local disaster public health emergency on March 17, and the amendment to the village code and resolution extending the disaster declaration approved Tuesday added the authorization to spend up to $500,000 to help local businesses, according to a memo to the board from Village Manager Michael Braiman and Corporation Counsel Jeffrey Stein. The declaration also allowed the village to request reimbursements from the state and federal government in the future.
Other amended emergency authorities include:
Watch the full March 24, 2020, Wilmette Village Board Meeting below and read more about the village's economic relief program and emergency declaration and code amendment:"
6,/illinois/wilmette/new-trier-township-covid-19-update-temporary-office-hours,2020-03-26T04:26:02Z,New Trier Township COVID-19 Update-Temporary...,0,0,New Trier Township,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
New Trier Township officials are working to keep everyone healthy, meeting via video conferencing to discuss the latest Coronavirus news. Our team is planning for the best ways to serve our communities in the weeks ahead.
The township will limit office hours to minimize the spread of COVID-19. The township hall remains closed to the public for non-essential services until further notice. To protect township personnel and clients, our hours of operation have been adjusted as follows:
Monday: 10:00 a.m. until 2:00 p.m.
Tuesday: 10:00 a.m. until 2:00 p.m.
Wednesday: 10:00 a.m. until 2:00 p.m.
Thursday: Closed
Friday: 10:00 a.m. until 2:00 p.m.
Residents in need of emergency food assistance can receive one bag of non-perishable food that will be distributed through the front door. Clients are asked to phone Brian Leverenz at (847) 446-8203 or Lorrecia Pearson (847) 446-8202 during the hours listed above. No inside pantry shopping is permitted during the pandemic.
These uncertain times will also create financial complications for many residents. If you are in need of emergency financial assistance, please phone Jeanne Winsted Rosser at (847) 446-8201.
Due to increasing demand and difficulty sourcing all necessary items, we are in need of donations of paper goods and groceries. Of particular need are staples such as rice, peanut butter, pasta, canned soup, instant mashed potatoes, canned vegetables and fruit. Contributions of toilet paper, facial tissues and paper towels are greatly appreciated. We will gratefully accept these items by appointment. Please phone Brian Leverenz, Community Service Administrator at (847) 446-8203 and he will meet you at the township entrance.
We are all being asked to do our part by sheltering in-place. Certainly this is a difficult time, and we encourage everyone to make some phone calls, engage on social media, and look out for one another. If someone you know is not a subscriber to the New Trier Township Dispatch, please encourage them to visit www.NewTrierTownship.com select Resident Services and click the link to register for the Dispatch eNewsletter, delivered every other Friday.
Please know your township officials have been closely monitoring the COVID-19 pandemic. Rest assured that we are committed to providing essential services during this national emergency situation.
Media Contact:
Jack Macholl
Mobile (847) 727-9510
###
New Trier Township's mission is to provide leadership, advocacy and resources to benefit the physical, mental and social well being of Township residents. Established in 1850, New Trier Township government serves the 56,000 residents in the villages of Glencoe, Kenilworth, Wilmette and Winnetka, plus portions of Glenview and Northfield. The Township Office is located at 739 Elm Street in Winnetka or on-line at www.newtriertownship.com"
7,/illinois/wilmette/educational-forum-navigating-illinois-disability-system,2020-03-11T13:41:04Z,		Educational Forum—Navigating the Illinois...,0,0,New Trier Township,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
New Trier Township is hosting an Educational Forum that addresses navigation of the Illinois disability system in the post school years. A panel of experts in special education and adult disability services will be on hand to offer information and answer questions.
Kim Berenberg, Chief Operating Officer of Glenkirk, a non-profit that provides lifetime supports and services to individuals with intellectual disabilities,
Vicki Klein, Transition Specialist from the North Suburban Special Education District and Diane Wojik, Transition Specialist at New Trier High School, will address the need for transition planning from school to adult life.
Attendees will learn about the status of state services, employment opportunities and the necessity to begin the planning process early in economically challenging times. Township Supervisor Alan Goldberg stated, "" The township board understands the difficulty people face securing services for children once they age out of the school system. This program connects residents with proven experts who are here to help them plan a successful future for their child.""
The event is free and open to the public, however seating is limited. Guests are asked to RSVP to Jack Macholl, jmacholl@newtriertownship.com by April 6, 2020.
Media Contact:
Jack Macholl
Mobile (847) 727-9510
###
New Trier Township's missionis to provide leadership, advocacy and resources to benefit the physical, mental and social well being of Township residents. Established in 1850, New Trier Township government serves the 56,000 residents in the villages of Glencoe, Kenilworth, Wilmette and Winnetka, plus portions of Glenview and Northfield. The Township Office is located at 739 Elm Street in Winnetka or on-line at www.newtriertownship.com"
8,/illinois/wilmette/2020-real-estate-assessment-appeals-begin-march-5th,2020-02-27T02:03:07Z,2020 Real Estate Assessment Appeals Begin March...,0,0,New Trier Township,Community Contributor,"This post was contributed by a community member. The views expressed here are the author's own.
The window to appeal your property's 2020 assessed value with the Cook County Assessor will begin March 5, 2020 and end approximately 40 days later. New Trier Township Assessor Jan Churchwell suggests property owners carefully check any notice they may receive to make certain it states the Assessed Value that is expected for the property. Any reductions received from appeals made in 2019 will be in effect through 2021 (subject to further reductions from subsequent appeals). Property owners may file their appeal in writing using the Assessor's form or online using the Assessor's portal. Both the printed form and the online portal can be accessed on the Assessor's website https://www.cookcountyassessor...
New Trier Township property owners seeking assistance can visit the Assessor's office at 739 Elm Street in Winnetka. Office hours are Monday-Friday, 9:00 a.m. to 12:30 p.m. and 1:30 p.m. to 5:00 p.m. Inquires can also be made via phone at (847) 446-8200 or email jchurchwell@newtriertownship.com, or Deputy Assessor Len Shifflett at lshifflett@newtriertownship.com.
Media Contact:
Jack Macholl
Mobile (847) 727-9510
###
New Trier Township's mission is to provide leadership, advocacy and resources to benefit the physical, mental and social well being of Township residents. Established in 1850, New Trier Township government serves the 56,000 residents in the villages of Glencoe, Kenilworth, Wilmette and Winnetka, plus portions of Glenview and Northfield. The Township Office is located at 739 Elm Street in Winnetka or on-line at www.newtriertownship.com"
9,/illinois/wilmette/election-2020-wilmette-we-want-hear-voters,2020-02-21T23:45:00Z,2020 Primary Election: Wilmette Voter Survey,0,0,Jonah Meadows,Patch Staff,"WILMETTE, IL — Illinois' 2020 primary election is less than a month away and Patch wants to know what's on the minds of voters in Wilmette and Kenilworth.
The March 17 vote, which happens to fall on St. Patrick's Day, will allocate the state's delegates to the Democratic and Republican national presidential nominating conventions this summer, and voters will also pick candidates in some contested statehouse and congressional party primaries.
With the recent impeachment of Republican President Donald Trump and 13 Democratic candidates set to appear on the Illinois ballot, eight of whom are still campaigning for the nomination, the race for the White House is heating up.
Six Democratic candidates submitted lists of delegates they are seeking to represent them from the 9th Congressional District. The list of potential delegates set to appear on the ballot included Wilmette resident Christoper Dunn, who hopes to be a convention delegate for former Vice President Joe Biden. Billionaires Mike Bloomberg and Tom Steyer did not submit delegate lists, nor did U.S. Rep. Tulsi Gabbard.
There are no competitive congressional primaries in the 9th District, where Sargis Sangari makes his second attempt to unseat U.S. Rep. Jan Schakowsky.
Likewise, voters will not have a choice in local races for the Illinois General Assembly. In the 17th District, Rep. Jennifer Gong-Gershowitz, of Glenview, is unopposed in the Democratic Party primary and Yesoe Yoon, of Skokie, has no opposition in the Republican primary. No Republicans or Democrats are seeking the nomination to run against Rep. Robyn Gabel, of Evanston, in the 18th District.
Before early voting begins on March 2, Patch wants to hear from the community. What are the biggest issues facing Illinois and the nation heading into the primary? What impact does national politics have on local voters?
To share your views, take a moment to fill out the brief election survey below. Unless otherwise noted, responses may be used in future news coverage, though no names will be posted on Patch without authorization. Responses are due Feb. 27.
Illinois 2020 Primary Election Deadlines"
